Sequence Code	Primary Sequence Name	Mean Log Ratio	Min	Max	nb Up	nb Low	p-value
A_32_P158433	THC2086431	-0.304938889	-1.52477	1.09057	0.185185185	0.814814815	0.009731653
A_32_P143824	A_32_P143824	-0.206445556	-1.14343	0.37053	0.296296296	0.703703704	0.006361173
A_23_P33444	SNTB2	-0.18252	-0.85847	0.31122	0.296296296	0.703703704	0.003339018
A_23_P19691	HEBP2	-0.120965556	-0.46594	0.18661	0.222222222	0.777777778	0.000511784
A_23_P56746	FAP	-0.165848519	-0.7438	0.53262	0.333333333	0.666666667	0.00776357
A_23_P10127	SFRP1	0.355295185	-0.83575	1.59953	0.851851852	0.148148148	0.002499043
A_23_P365738	ARC	-0.220467407	-1.04023	0.31136	0.37037037	0.62962963	0.00766063
A_23_P253345	C8orf4	-0.380066296	-1.52615	0.49812	0.296296296	0.703703704	0.001472169
A_23_P253350	C8orf4	-0.369490741	-1.72038	0.64297	0.37037037	0.62962963	0.005616994
A_32_P627	BX537732	-0.174985185	-0.81469	0.64737	0.333333333	0.666666667	0.006783559
A_32_P46351	THC2127077	-0.143920741	-0.49927	0.48226	0.296296296	0.703703704	0.004680959
A_24_P529168	C13orf25	0.233981111	-0.40586	0.84739	0.777777778	0.222222222	0.001134343
A_23_P25194	HRK	-0.380241852	-1.2352	0.90402	0.222222222	0.777777778	0.002002155
A_23_P411379	C6orf1	-0.156288889	-0.5141	0.39604	0.333333333	0.666666667	0.001777488
A_24_P506977	C7orf40	-0.158336667	-0.6607	0.53419	0.259259259	0.740740741	0.005737934
A_23_P40433	C21orf63	-0.214394444	-0.95098	0.37161	0.37037037	0.62962963	0.002916095
A_24_P649388	C21orf63	-0.202415926	-0.88061	0.36921	0.37037037	0.62962963	0.003044116
A_23_P52761	MMP7	-0.586621481	-2.18996	1.18588	0.37037037	0.592592593	0.00311288
A_24_P381901	CX3CL1	-0.206653333	-0.78691	0.37847	0.296296296	0.703703704	0.00097265
A_23_P58506	ELL2	-0.224339259	-1.01666	0.77768	0.222222222	0.777777778	0.005450723
A_24_P410453	SYNE1	-0.226826296	-1.04443	0.38222	0.333333333	0.666666667	0.002074137
A_23_P159424	ACYP2	-0.143963333	-0.59151	0.26852	0.259259259	0.740740741	0.005325123
A_23_P256988	ACYP2	-0.139511481	-0.61687	0.27079	0.259259259	0.740740741	0.006538402
A_23_P110879	TRAF3IP2	-0.19212	-1.04592	0.32532	0.296296296	0.703703704	0.005308229
A_32_P170847	A_32_P170847	-0.146186296	-0.65466	0.25568	0.259259259	0.740740741	0.00293797
A_32_P177934	AA194728	-0.220379259	-1.11963	0.94454	0.222222222	0.777777778	0.00391671
A_23_P315273	MT3	-0.540772222	-1.3402	0.95963	0.074074074	0.925925926	1.07106E-05
A_23_P129629	MT3	-0.535608148	-1.41106	0.99126	0.074074074	0.925925926	1.88679E-05
A_23_P79199	DBI	-0.158408889	-0.89877	0.50375	0.185185185	0.814814815	0.008266257
A_23_P54918	LDHD	-0.195602222	-0.67373	0.38146	0.185185185	0.814814815	0.00143821
A_23_P128094	ABCB9	-0.245276667	-0.98909	0.65492	0.333333333	0.666666667	0.00724156
A_23_P206413	WWOX	-0.230538889	-0.68313	0.14441	0.148148148	0.851851852	4.9453E-05
A_32_P22549	BC036361	-0.166262222	-0.65254	0.38842	0.259259259	0.740740741	0.003137025
A_32_P206415	FAT3	-0.261751111	-1.08513	0.59947	0.296296296	0.703703704	0.004232935
A_24_P520551	BC040195	-0.322054074	-1.46703	0.17126	0.148148148	0.851851852	0.00030197
A_32_P2844	BC040195	-0.314375185	-1.29662	0.37058	0.222222222	0.777777778	0.000344583
A_23_P70318	ENPP4	-0.152335185	-0.61506	0.31072	0.259259259	0.740740741	0.003321484
A_23_P364517	SELK	-0.112754815	-0.39303	0.19278	0.259259259	0.740740741	0.001740677
A_23_P17811	SEC14L2	-0.273994074	-0.97726	0.53072	0.222222222	0.777777778	0.000230661
A_32_P113462	THC2227602	-0.374996667	-2.18701	0.46571	0.222222222	0.777777778	0.005635889
A_24_P213370	AK129982	-0.198135926	-0.61428	0.20052	0.074074074	0.925925926	1.70404E-05
A_23_P114084	PHEX	-0.295682963	-1.28955	0.60643	0.296296296	0.703703704	0.002499193
A_24_P715719	AL049443	-0.252945185	-1.17773	0.40018	0.259259259	0.740740741	0.000757294
A_23_P32454	TG	-0.187739259	-0.73928	0.34861	0.296296296	0.703703704	0.005257475
A_23_P401	CENPF	0.278490741	-0.86589	1.11763	0.851851852	0.148148148	0.001665143
A_23_P34788	KIF2C	0.183003704	-0.4159	1.16186	0.814814815	0.185185185	0.004699567
A_23_P52017	ASPM	0.350053704	-1.0436	1.97627	0.814814815	0.185185185	0.008654885
A_23_P133956	KIFC1	0.252554074	-0.51037	1.29215	0.777777778	0.222222222	0.002851458
A_23_P385861	CDCA2	0.207215556	-0.54523	1.3476	0.777777778	0.222222222	0.009004757
A_24_P322354	C18orf24	0.262365185	-0.59187	1.20641	0.740740741	0.259259259	0.003848876
A_24_P680947	LOC146909	0.238796296	-0.74589	1.46331	0.777777778	0.222222222	0.006082172
A_23_P122197	CCNB1	0.190412963	-0.47958	0.89059	0.703703704	0.296296296	0.003789292
A_23_P70249	CDC25C	0.260145926	-0.75744	1.38067	0.740740741	0.259259259	0.004578251
A_23_P340909	C13orf3	0.269234815	-0.82545	1.61841	0.740740741	0.259259259	0.009193274
A_23_P388812	CKAP2L	0.338517778	-0.84961	1.86246	0.740740741	0.259259259	0.006448
A_23_P52278	KIF11	0.22725037	-0.6963	1.08026	0.777777778	0.222222222	0.002238082
A_23_P23303	EXO1	0.263887778	-0.69445	1.22554	0.777777778	0.222222222	0.001464617
A_23_P10385	DTL	0.327982222	-0.87764	1.65422	0.666666667	0.333333333	0.004301838
A_32_P24165	FANCD2	0.20226963	-0.27327	1.20637	0.740740741	0.259259259	0.001666726
A_23_P12816	HELLS	0.214675556	-0.64758	1.14028	0.777777778	0.222222222	0.003940816
A_23_P119254	ASF1B	0.189722593	-0.41933	1.05132	0.703703704	0.296296296	0.008472173
A_23_P63789	ZWINT	0.241563333	-0.42603	1.5416	0.666666667	0.333333333	0.007027309
A_23_P163481	BUB1B	0.282777407	-0.63722	1.7048	0.777777778	0.222222222	0.006057017
A_23_P74349	CDCA1	0.258254074	-0.77173	1.50962	0.740740741	0.259259259	0.006822409
A_23_P161474	MCM10	0.31115963	-0.88696	1.67879	0.740740741	0.259259259	0.009240716
A_23_P206059	PRC1	0.196174444	-0.17019	1.05864	0.740740741	0.259259259	0.001023841
A_23_P415443	NCAPH	0.217055185	-0.45271	1.4211	0.740740741	0.259259259	0.008966547
A_23_P375	CDCA8	0.224977778	-0.32022	1.47175	0.740740741	0.259259259	0.006579285
A_23_P353717	C16orf75	0.224566296	-0.45075	1.41862	0.740740741	0.259259259	0.006524073
A_24_P320284	DHFR	0.154847407	-0.28502	0.66154	0.777777778	0.222222222	0.000736148
A_23_P170491	TRAIP	0.143875185	-0.29432	1.01744	0.777777778	0.222222222	0.004311123
A_23_P74115	RAD54L	0.216855926	-0.40262	1.28952	0.740740741	0.259259259	0.005209424
A_24_P53519	CHAF1A	0.134534444	-0.3254	0.58212	0.851851852	0.148148148	0.000807725
A_23_P26557	C16orf59	0.195008519	-0.66674	1.34746	0.888888889	0.111111111	0.005420212
A_23_P69537	NMU	0.394445556	-1.12155	1.98819	0.777777778	0.222222222	0.004958751
A_32_P151800	FAM72A	0.212142963	-0.34791	0.76026	0.851851852	0.148148148	2.78566E-05
A_32_P140030	FOXN4	0.361068148	-1.17732	1.37485	0.814814815	0.185185185	0.001168983
A_23_P213424	ENC1	0.316131852	-0.43008	1.24504	0.851851852	0.148148148	0.000229176
A_23_P129925	SLFN11	0.309018889	-0.39279	0.93519	0.851851852	0.148148148	2.86575E-05
A_24_P349965	TCF19	0.176075556	-0.14527	0.70519	0.777777778	0.222222222	0.00013028
A_24_P58187	LOC120364	0.118192963	-0.2183	0.51271	0.777777778	0.222222222	0.003177942
A_24_P409521	ENST00000318909	0.131155556	-0.2113	0.56494	0.740740741	0.259259259	0.004170119
A_24_P493116	A_24_P493116	0.141394074	-0.19671	0.60847	0.777777778	0.222222222	0.002811731
A_24_P517901	HNRPA1	0.121293704	-0.23692	0.54552	0.777777778	0.222222222	0.00454165
A_24_P32849	ENST00000357495	0.128995926	-0.17729	0.50631	0.814814815	0.185185185	0.000741223
A_24_P307075	A_24_P307075	0.130248148	-0.30075	0.55749	0.777777778	0.222222222	0.003634811
A_23_P78892	FBL	0.122512963	-0.31805	0.51235	0.777777778	0.222222222	0.00930036
A_32_P50924	HNRPA1	0.167650741	-0.1764	0.62652	0.777777778	0.222222222	8.92749E-05
A_32_P8015	HNRPA1	0.173437037	-0.16969	0.61995	0.777777778	0.222222222	6.08515E-05
A_23_P93690	MCM7	0.159483704	-0.325	0.77023	0.814814815	0.185185185	0.001818736
A_23_P91900	SMC4	0.180900741	-0.4419	0.91085	0.666666667	0.333333333	0.007644585
A_24_P346855	MKI67	0.392663333	-0.58932	2.00578	0.777777778	0.222222222	0.002320943
A_32_P169500	THC2085111	0.250173704	-0.71986	0.90964	0.666666667	0.296296296	0.003590519
A_24_P96780	CENPF	0.322738148	-1.07761	0.96305	0.814814815	0.185185185	0.001713334
A_23_P149668	KIF14	0.372701481	-0.47801	1.43972	0.740740741	0.259259259	0.000459525
A_32_P51084	NUP205	0.110914074	-0.18418	0.29906	0.851851852	0.148148148	0.000496013
A_23_P434944	ILF3	0.119454815	-0.32102	0.47142	0.740740741	0.259259259	0.004615581
A_23_P256855	XPO5	0.117664444	-0.34403	0.47906	0.814814815	0.185185185	0.008908633
A_32_P99097	TNPO1	0.160284815	-0.38631	0.5863	0.740740741	0.259259259	0.002656115
A_23_P35916	ATM	0.165253704	-0.2281	0.69249	0.703703704	0.296296296	0.000823914
A_32_P86962	MGC21881	0.150661481	-0.42172	0.76781	0.777777778	0.222222222	0.00810287
A_32_P2807	LOC158257	0.183740741	-0.43131	0.84286	0.703703704	0.296296296	0.004665693
A_32_P78349	AK022024	0.27329	-0.76726	1.24215	0.703703704	0.222222222	0.008846326
A_32_P40327	THC2053765	0.24274963	-0.57052	1.44146	0.740740741	0.259259259	0.008616783
A_23_P75071	MPHOSPH1	0.254572593	-0.43291	0.87731	0.888888889	0.111111111	7.46797E-05
A_23_P5611	RIF1	0.17849963	-0.59325	0.7289	0.814814815	0.185185185	0.003846878
A_32_P103633	MCM2	0.211960741	-0.71588	0.96437	0.703703704	0.296296296	0.005043188
A_23_P165937	C20orf172	0.135076296	-0.27093	0.77015	0.666666667	0.333333333	0.004345701
A_23_P210853	GINS1	0.257215556	-0.38724	1.18326	0.740740741	0.259259259	0.000891533
A_23_P411335	SGOL2	0.172785185	-0.38622	0.80146	0.703703704	0.296296296	0.005423169
A_23_P155969	PLK4	0.227145926	-0.56621	1.11326	0.703703704	0.296296296	0.001869011
A_24_P113144	C17orf41	0.216645926	-0.48507	1.06262	0.703703704	0.296296296	0.005090331
A_24_P412088	MCM10	0.349407037	-0.66163	2.09278	0.740740741	0.259259259	0.004167819
A_32_P200934	AK021443	0.312102593	-0.72181	1.55653	0.777777778	0.222222222	0.002178919
A_23_P215976	CCNE2	0.25186037	-0.72966	1.31319	0.703703704	0.296296296	0.009839534
A_24_P14156	KNTC2	0.320411852	-0.62874	1.81402	0.814814815	0.148148148	0.001943874
A_23_P356684	ANLN	0.372628889	-0.23896	1.48537	0.851851852	0.148148148	0.000555586
A_23_P143994	FANCD2	0.17224963	-0.299	0.94025	0.666666667	0.333333333	0.003075428
A_32_P96752	AW946823	0.189465926	-0.43258	1.03784	0.592592593	0.407407407	0.008629345
A_24_P911676	SOX4	0.220890741	-0.39016	1.08301	0.703703704	0.296296296	0.004675743
A_24_P171549	CDCA7	0.216884444	-0.42787	1.05462	0.666666667	0.333333333	0.004338555
A_24_P69095	ENC1	0.35759	-0.45546	1.3682	0.777777778	0.185185185	0.000226093
A_23_P28295	LRP2	0.263182963	-0.0185	0.85627	0.62962963	0.074074074	3.32235E-05
A_24_P260300	AK057480	0.195001111	-0.43451	1.27724	0.703703704	0.296296296	0.007864655
A_23_P90845	TIA1	0.16295	-0.43039	0.80664	0.814814815	0.185185185	0.005016376
A_23_P12113	FLVCR	0.176574074	-0.37773	0.97387	0.777777778	0.222222222	0.001570546
A_23_P99762	RBM25	0.131759259	-0.39121	0.53399	0.740740741	0.259259259	0.002554251
A_24_P321715	THC2176123	0.215774444	-0.26071	0.7509	0.740740741	0.259259259	0.001367519
A_23_P327361	DMXL2	0.149958519	-0.33937	0.74369	0.777777778	0.222222222	0.002883676
A_24_P90878	THUMPD1	0.09179	-0.21781	0.44314	0.777777778	0.222222222	0.009882514
A_23_P336198	GLCCI1	0.166078519	-0.39956	0.66059	0.703703704	0.296296296	0.001593603
A_23_P166109	FLRT3	0.259075556	-0.64424	1.27526	0.740740741	0.259259259	0.006933269
A_24_P100517	C9orf140	0.200781111	-0.47059	0.98135	0.740740741	0.259259259	0.002016941
A_32_P152696	LOC401495	0.196473333	-0.46846	0.97705	0.740740741	0.259259259	0.001696995
A_23_P21706	CTPS	0.188900741	-0.22757	0.75327	0.851851852	0.148148148	6.16037E-05
A_24_P136653	NFE2L3	0.313715556	-1.26372	1.0444	0.814814815	0.185185185	0.001644849
A_23_P343104	FLJ30901	0.393883333	-0.47696	1.45578	0.777777778	0.222222222	0.000210494
A_32_P166693	THC2042343	0.21166	-0.25119	0.79126	0.777777778	0.222222222	0.000445521
A_24_P772488	AL117427	0.197108519	-0.24532	0.84761	0.777777778	0.222222222	0.000299252
A_23_P162322	WNT10B	0.241792963	-0.54551	0.93581	0.666666667	0.296296296	0.009902754
A_24_P940999	FLJ39609	0.211744074	-0.57758	0.71819	0.703703704	0.259259259	0.001662296
A_24_P914043	LOC643201	0.303104815	-0.86254	1.04473	0.740740741	0.185185185	0.001848434
A_23_P500464	COL2A1	0.328309259	-0.90255	1.30827	0.703703704	0.259259259	0.008671986
A_24_P687326	C9orf109	0.366007037	-1.51908	1.12513	0.851851852	0.148148148	0.002811424
A_23_P333498	KIAA1706	0.192328889	-0.29335	0.69998	0.703703704	0.296296296	0.001061515
A_23_P167920	DLL1	0.153809259	-0.88047	0.60862	0.814814815	0.185185185	0.005822222
A_23_P13725	SLC6A15	0.306118148	-0.72878	1.45404	0.666666667	0.185185185	0.008442733
A_24_P307653	SLC6A15	0.31444037	-0.54503	1.46104	0.666666667	0.185185185	0.002943744
A_24_P114142	CNTN2	0.33483	-0.29402	1.14103	0.814814815	0.185185185	6.81276E-05
A_23_P63557	CNTN2	0.256172222	-0.48795	1.48078	0.703703704	0.296296296	0.006919256
A_24_P132703	ENST00000259676	0.27511	-0.59111	1.01463	0.740740741	0.259259259	0.00254279
A_24_P137501	SFRP2	0.436225185	-0.51121	2.52643	0.62962963	0.37037037	0.005582558
A_23_P81103	SFRP2	0.386141481	-0.5269	1.79874	0.592592593	0.407407407	0.006955531
A_23_P49546	GRIN2C	0.287025926	-0.42242	1.09479	0.777777778	0.222222222	0.000884288
A_23_P431971	CRTAC1	0.267160741	-0.06539	0.92186	0.814814815	0.185185185	1.08957E-05
A_23_P418556	ELOVL2	0.265224074	-0.56269	1.23195	0.592592593	0.37037037	0.00417644
A_23_P19733	SLC22A3	0.23383037	-0.35549	1.10696	0.666666667	0.333333333	0.003045993
A_32_P208350	TDRD9	-0.295381481	-1.21278	0.56159	0.185185185	0.814814815	0.001358464
A_24_P398500	MPHOSPH9	0.13478963	-0.33094	0.55021	0.703703704	0.296296296	0.002946865
A_23_P258463	PROM1	0.282833333	-0.53039	1.2038	0.777777778	0.222222222	0.000483504
A_32_P89976	POLR1E	0.179232963	-0.22632	0.50713	0.740740741	0.259259259	0.000151455
A_23_P396858	FZD8	0.298852593	-0.26524	1.17172	0.777777778	0.222222222	0.0003039
A_23_P151870	GLCE	0.184386296	-0.42034	0.92013	0.851851852	0.148148148	0.001261195
A_23_P130376	FAM38B	0.381204815	-0.44589	2.13739	0.925925926	0.074074074	0.000506325
A_24_P124349	PDGFD	0.316786296	-0.63667	1.6538	0.703703704	0.296296296	0.008185917
A_24_P184803	COCH	0.264452593	-0.25757	1.09258	0.777777778	0.222222222	0.001016645
A_23_P94103	SCARA5	0.326814074	-0.83682	1.53953	0.703703704	0.296296296	0.008195211
A_32_P48949	A_32_P48949	0.32457037	-0.63104	1.12372	0.703703704	0.222222222	0.001211209
A_23_P88678	C15orf27	0.211245556	-0.27349	1.03604	0.703703704	0.296296296	0.004295364
A_32_P74140	THC2092781	0.205661481	-0.52783	0.91559	0.740740741	0.259259259	0.006603127
A_23_P122662	GFOD1	0.170837037	-0.30781	0.85141	0.62962963	0.37037037	0.004876071
A_23_P43679	ZNF618	0.157144444	-0.39338	0.53495	0.777777778	0.222222222	0.00410749
A_23_P210224	DPYSL5	0.163342963	-0.37288	0.75786	0.666666667	0.333333333	0.00494834
A_23_P29083	SLC19A1	0.134776296	-0.19836	0.40967	0.703703704	0.296296296	0.000283063
A_23_P200741	DPT	-0.194407037	-0.53096	0.20595	0.222222222	0.777777778	0.000121712
A_23_P19030	ARSI	0.193267037	-0.42106	0.77256	0.777777778	0.222222222	0.003040749
A_32_P139196	C13orf25	0.257847407	-0.47847	0.99996	0.777777778	0.222222222	0.00208005
A_24_P205242	RPL23	0.19801	-0.25137	0.66623	0.777777778	0.222222222	0.000871358
A_24_P557355	AF070564	0.212246296	-0.62364	0.90456	0.851851852	0.148148148	0.001959338
A_24_P481431	GOLGA1	0.202994074	-0.42765	0.92714	0.814814815	0.185185185	0.001708807
A_32_P193792	AF161353	0.17174	-0.27758	0.69847	0.814814815	0.185185185	0.001332582
A_32_P18300	A_32_P18300	0.324515185	-0.33224	1.61689	0.740740741	0.259259259	0.0027489
A_24_P450372	L40520	0.248370741	-0.38079	1.18617	0.666666667	0.333333333	0.004570555
A_24_P649357	SMA4	0.187496296	-0.33839	0.87354	0.666666667	0.333333333	0.006824612
A_32_P122089	A_32_P122089	0.291827407	-0.45446	1.20722	0.703703704	0.296296296	0.004787401
A_24_P602168	THC2176510	0.228109259	-0.58719	0.78697	0.666666667	0.333333333	0.005411879
A_24_P921402	THC2030652	0.177093333	-0.43509	0.59622	0.740740741	0.259259259	0.00739652
A_32_P187817	AW967501	0.186617778	-0.46387	0.97103	0.740740741	0.259259259	0.008732993
A_23_P82412	NSUN5B	0.074615185	-0.20375	0.30902	0.703703704	0.296296296	0.009134306
A_32_P141708	THC2050920	0.176573704	-0.43856	0.73476	0.814814815	0.185185185	0.001452356
A_23_P154818	C21orf15	0.23058037	-0.51814	0.81348	0.777777778	0.222222222	0.001230137
A_32_P146898	AA353695	0.150854444	-0.5466	0.66718	0.703703704	0.296296296	0.007120306
A_32_P139708	THC2185851	0.22354	-0.45023	1.02308	0.62962963	0.37037037	0.007213853
A_23_P52058	TARBP1	0.191798148	-0.23178	0.98545	0.703703704	0.296296296	0.002444775
A_32_P220750	THC2082463	0.181827778	-0.50898	0.79725	0.666666667	0.333333333	0.008709619
A_32_P6535	THC2082463	0.184764074	-0.40296	0.75806	0.703703704	0.296296296	0.004578346
