Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
224212_s_at	protocadherin alpha 8	PCDHA8	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha 9	PCDHA9	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha subfamily C, 1	PCDHAC1	0.045	-2.34	Miscellaneous
224212_s_at	protocadherin alpha subfamily C, 2	PCDHAC2	0.045	-2.34	Miscellaneous
39650_s_at	pecanex-like 2 (Drosophila)	PCNXL2	0.026	-2.21	Miscellaneous
204209_at	phosphate cytidylyltransferase 1, choline, alpha	PCYT1A	0.002	1.63	Miscellaneous
240061_at	Pigeon homolog (Drosophila)	PION	0.013	-1.71	Miscellaneous
221605_s_at	pipecolic acid oxidase	PIPOX	0.042	1.52	Miscellaneous
237783_at	PLAC8-like 1	PLAC8L1	0.005	1.74	Miscellaneous
215807_s_at	plexin B1	PLXNB1	0.011	1.52	Miscellaneous
216105_x_at	protein phosphatase 2A activator, regulatory subunit 4	PPP2R4	0.011	-2.07	Miscellaneous
201606_s_at	PWP1 homolog (S. cerevisiae)	PWP1	0.046	-2.75	Miscellaneous
210296_s_at	peroxisomal membrane protein 3, 35kDa	PXMP3	0.043	2.05	Miscellaneous
209180_at	Rab geranylgeranyltransferase, beta subunit	RABGGTB	0.029	2.55	Miscellaneous
219112_at	Rap guanine nucleotide exchange factor (GEF) 6	RAPGEF6	0.018	-2.84	Miscellaneous
51228_at	RNA binding motif protein 12B	RBM12B	0.04	-1.79	Miscellaneous
212973_at	ribose 5-phosphate isomerase A	RPIA	0.025	-2.16	Miscellaneous
213459_at	ribosomal protein L37a	RPL37A	0.05	2.05	Miscellaneous
219370_at	reprimo, TP53 dependent G2 arrest mediator candidate	RPRM	0.026	-1.79	Miscellaneous
232221_x_at	round spermatid basic protein 1-like	RSBN1L	0.038	-1.7	Miscellaneous
219507_at	arginine/serine-rich coiled-coil 1	RSRC1	0.032	-1.75	Miscellaneous
212845_at	sterile alpha motif domain containing 4A	SAMD4A	0.026	1.6	Miscellaneous
234491_s_at	salvador homolog 1 (Drosophila)	SAV1	0.007	-2.62	Miscellaneous
212417_at	secretory carrier membrane protein 1	SCAMP1	0.049	-1.92	Miscellaneous
1555495_a_at	serologically defined colon cancer antigen 10	SDCCAG10	0.049	-1.68	Miscellaneous
238406_x_at	seizure related 6 homolog (mouse)-like 2	SEZ6L2	0.005	-1.86	Miscellaneous
230375_at	splicing factor, arginine/serine-rich 18	SFRS18	0.006	-1.74	Miscellaneous
219083_at	SHQ1 homolog (S. cerevisiae)	SHQ1	0.026	-2.05	Miscellaneous
203727_at	superkiller viralicidic activity 2-like (S. cerevisiae)	SKIV2L	0.022	-1.56	Miscellaneous
204230_s_at	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7	SLC17A7	0.011	1.71	Miscellaneous
1560741_at	small nuclear ribonucleoprotein polypeptide N	SNRPN	0.008	-1.51	Miscellaneous
240204_at	small nuclear ribonucleoprotein polypeptide N	SNRPN	0.036	-1.76	Miscellaneous
1555883_s_at	spindlin family, member 3	SPIN3	0.032	-1.76	Miscellaneous
204090_at	serine/threonine kinase 19	STK19	0.035	-2.2	Miscellaneous
244030_at	serine/threonine/tyrosine interacting protein	STYX	0.034	1.52	Miscellaneous
212894_at	suppressor of var1, 3-like 1 (S. cerevisiae)	SUPV3L1	0.041	-3.87	Miscellaneous
209024_s_at	synaptotagmin binding, cytoplasmic RNA interacting protein	SYNCRIP	0.014	-1.71	Miscellaneous
1555764_s_at	translocase of inner mitochondrial membrane 10 homolog (yeast)	TIMM10	0.004	1.63	Miscellaneous
223462_at	transmembrane protein 175	TMEM175	0.028	-1.57	Miscellaneous
241402_at	tRNA splicing endonuclease 54 homolog (S. cerevisiae)	TSEN54	0.013	-1.5	Miscellaneous
209890_at	tetraspanin 5	TSPAN5	0.021	-1.64	Miscellaneous
216768_x_at	Tetratricopeptide repeat domain 38	TTC38	0.034	-2.09	Miscellaneous
211460_at	testis-specific transcript, Y-linked 9A /// testis-specific transcript, Y-linked 9B	TTTY9A /// TTTY9B	0.05	1.51	Miscellaneous
214817_at	unc-13 homolog A (C. elegans)	UNC13A	0.004	-1.73	Miscellaneous
221247_s_at	Williams-Beuren syndrome chromosome region 16	WBSCR16	0.027	-1.53	Miscellaneous
243835_at	Zinc finger, DHHC-type containing 21	ZDHHC21	0.015	-1.68	Miscellaneous
201368_at	zinc finger protein 36, C3H type-like 2	ZFP36L2	0.024	2.27	Miscellaneous
244165_at	chromosome 10 open reading frame 18	C10orf18	0.003	-2.09	Unknown
215788_at	chromosome 1 open reading frame 222	C1orf222	0.022	1.6	Unknown
225551_at	chromosome 1 open reading frame 71	C1orf71	0.031	-1.72	Unknown
236631_at	chromosome 21 open reading frame 125	C21orf125	0.005	1.56	Unknown
220943_s_at	chromosome 2 open reading frame 56	C2orf56	0.027	-1.5	Unknown
213872_at	Chromosome 6 open reading frame 62	C6orf62	0.011	1.71	Unknown
225576_at	chromosome 6 open reading frame 72	C6orf72	0.018	1.85	Unknown
239490_at	chromosome 7 open reading frame 44	C7orf44	0.027	-2.16	Unknown
243589_at	KIAA1267	KIAA1267	0.039	-1.56	Unknown
227710_s_at	hypothetical LOC100190939	LOC100190939	0.01	1.6	Unknown
212113_at	hypothetical protein LOC552889	LOC552889	0.027	-1.6	Unknown
215123_at	hypothetical LOC642778 /// NPIP-like protein ENSP00000283050 /// nuclear pore complex interacting protein-like 3	LOC642778 /// LOC729602 /// NPIPL3	0.009	-1.82	Unknown
240230_s_at	hypothetical LOC642826	LOC642826	0.047	-1.61	Unknown
230000_at	ring finger protein 213	RNF213	0.004	-2.06	Unknown
1555303_at			0.012	-1.86	Unknown
1556650_at			0.002	-2.27	Unknown
1556683_x_at			0.038	-1.7	Unknown
1556904_at			0.02	1.79	Unknown
1557242_at			0.015	-1.9	Unknown
1557346_a_at			0.01	-1.63	Unknown
1557507_at			0.006	-1.71	Unknown
1558604_a_at			0.001	1.66	Unknown
1559663_at			0.008	-1.52	Unknown
1562891_at			0.035	1.61	Unknown
1563494_at			0.028	-2.39	Unknown
1566638_at			0.031	-2.05	Unknown
1569180_at			0.005	-1.52	Unknown
1569181_x_at			0.005	-1.58	Unknown
1569499_at			0.044	-5.38	Unknown
1570227_at			0.031	-2.01	Unknown
227343_at			0.047	2.75	Unknown
227765_at			0.045	-2.21	Unknown
228694_at			0.026	-1.65	Unknown
229746_x_at			0.031	-1.65	Unknown
230314_at			0.046	-1.65	Unknown
230407_at			0.047	-2.36	Unknown
231101_at			0.014	-1.65	Unknown
231171_at			0.043	1.63	Unknown
232064_at			0.012	-1.76	Unknown
232174_at			0.025	-1.94	Unknown
