Probesets	Symbol	AveExpr	F	P.Value	adj.P.Val
214608 s at	EYA1	-3.39E-17	4.019	0.01798	0.1677
202096 s at	TSPO	-4.57E-16	3.979	0.01871	0.1677
203795 s at	BCL7A	-1.54E-16	3.955	0.01916	0.1677
212192 at	KCTD12	-1.30E-16	3.948	0.01929	0.1677
213502 x at	LOC91316	1.47E-16	3.938	0.01948	0.1677
202177 at	GAS6	-2.85E-17	3.938	0.01949	0.1677
209348 s at	MAF	-4.63E-17	3.935	0.01955	0.1677
218409 s at	DNAJC1	2.47E-17	3.929	0.01966	0.1677
205945 at	IL6R	-2.08E-16	3.92	0.01984	0.1677
200706 s at	LITAF	-4.18E-16	3.883	0.02058	0.1685
212442 s at	LASS6	1.73E-16	3.882	0.02061	0.1685
213245 at	ADCY1	-1.30E-16	3.876	0.02073	0.1685
201681 s at	DLG5	1.80E-16	3.828	0.02176	0.1709
201212 at	LGMN	-1.56E-16	3.785	0.02271	0.1709
201841 s at	HSPB1	-4.13E-16	3.765	0.02316	0.1709
202933 s at	YES1	1.77E-16	3.751	0.0235	0.1709
206641 at	TNFRSF17	2.60E-16	3.745	0.02364	0.1709
203986 at	STBD1	-1.23E-16	3.741	0.02373	0.1709
208892 s at	DUSP6	-7.86E-17	3.731	0.02396	0.1709
200824 at	GSTP1	-1.11E-16	3.712	0.02443	0.1709
205229 s at	COCH	1.38E-16	3.685	0.02509	0.1709
219696 at	DENND1B	-3.37E-16	3.681	0.0252	0.1709
217995 at	SQRDL	-1.66E-16	3.678	0.02526	0.1709
209198 s at	SYT11	1.89E-16	3.671	0.02546	0.1709
205718 at	ITGB7	-3.12E-16	3.661	0.02571	0.1709
203476 at	TPBG	5.86E-17	3.659	0.02575	0.1709
204960 at	PTPRCAP	2.21E-16	3.657	0.0258	0.1709
203411 s at	LMNA	2.21E-16	3.649	0.02601	0.1709
200839 s at	CTSB	1.58E-16	3.625	0.02665	0.1709
209340 at	UAP1	-3.30E-16	3.624	0.02666	0.1709
218404 at	SNX10	-1.85E-16	3.621	0.02677	0.1709
219010 at	C1orf106	-3.48E-16	3.615	0.02691	0.1709
219551 at	EAF2	5.20E-16	3.612	0.027	0.1709
205943 at	TDO2	-1.28E-16	3.61	0.02705	0.1709
212096 s at	MTUS1	1.79E-16	3.594	0.02748	0.1709
207039 at	CDKN2A	-2.10E-17	3.594	0.02749	0.1709
204254 s at	VDR	-2.39E-17	3.565	0.02829	0.1741
202242 at	TSPAN7	2.14E-16	3.543	0.02892	0.1763
202136 at	ZMYND11	-2.38E-16	3.522	0.02955	0.1764
218847 at	IGF2BP2	1.34E-16	3.52	0.02961	0.1764
212843 at	NCAM1	-3.29E-17	3.499	0.03021	0.1764
218718 at	PDGFC	-9.25E-18	3.495	0.03035	0.1764
201647 s at	SCARB2	1.52E-16	3.48	0.03079	0.1764
200697 at	HK1	3.84E-16	3.463	0.03134	0.1764
209619 at	CD74	-1.06E-16	3.458	0.0315	0.1764
203397 s at	GALNT3	-8.48E-17	3.457	0.03152	0.1764
201828 x at	FAM127A	-5.09E-16	3.451	0.03172	0.1764
60474 at	FERMT1	-1.16E-16	3.441	0.03202	0.1764
221122 at	HRASLS2	2.57E-16	3.433	0.03229	0.1764
204688 at	SGCE	-3.70E-16	3.431	0.03236	0.1764
212097 at	CAV1	-7.71E-18	3.41	0.03304	0.1764
217967 s at	FAM129A	1.66E-16	3.41	0.03306	0.1764
202946 s at	BTBD3	-7.63E-17	3.407	0.03314	0.1764
206632 s at	APOBEC3B	-2.02E-16	3.393	0.03362	0.1764
219003 s at	MANEA	-3.19E-16	3.367	0.03448	0.1764
205903 s at	KCNN3	-3.30E-16	3.366	0.03452	0.1764
206700 s at	KDM5D	1.42E-16	3.363	0.03464	0.1764
218974 at	SOBP	-2.21E-16	3.359	0.03478	0.1764
206609 at	MAGEC1	1.29E-16	3.359	0.03479	0.1764
205297 s at	CD79B	-1.77E-16	3.317	0.03625	0.1802
205933 at	SETBP1	1.20E-17	3.314	0.03635	0.1802
202388 at	RGS2	-2.22E-16	3.31	0.03652	0.1802
201462 at	SCRN1	-4.16E-17	3.293	0.03716	0.1802
203167 at	TIMP2	4.32E-17	3.284	0.03747	0.1802
205098 at	CCR1	-9.25E-17	3.277	0.03772	0.1802
219014 at	PLAC8	1.48E-16	3.272	0.03792	0.1802
214452 at	BCAT1	-1.59E-16	3.271	0.03795	0.1802
202017 at	EPHX1	-1.22E-16	3.268	0.03808	0.1802
210473 s at	GPR125	-1.51E-16	3.247	0.0389	0.1827
204409 s at	EIF1AY	1.23E-17	3.233	0.03944	0.183
220603 s at	MCTP2	6.63E-17	3.225	0.03975	0.183
212345 s at	CREB3L2	-2.83E-16	3.208	0.04044	0.183
203710 at	ITPR1	-5.55E-17	3.208	0.04045	0.183
200999 s at	CKAP4	-1.82E-16	3.203	0.04066	0.183
204923 at	SASH3	-1.54E-17	3.202	0.04069	0.183
204364 s at	REEP1	-1.74E-16	3.155	0.04263	0.1894
218618 s at	FNDC3B	3.52E-16	3.153	0.04272	0.1894
203324 s at	CAV2	-5.86E-17	3.143	0.04316	0.1895
211105 s at	NFATC1	-5.86E-17	3.136	0.04346	0.1895
220306 at	FAM46C	-4.04E-16	3.132	0.04364	0.1895
213135 at	TIAM1	9.21E-17	3.118	0.04424	0.1896
206624 at	USP9Y	2.56E-16	3.116	0.04432	0.1896
211373 s at	PSEN2	9.06E-17	3.106	0.04478	0.1896
206167 s at	ARHGAP6	-3.55E-17	3.096	0.04522	0.1896
201858 s at	SRGN	6.09E-17	3.095	0.04529	0.1896
201540 at	FHL1	-1.74E-16	3.088	0.04557	0.1896
218450 at	HEBP1	-1.16E-16	3.085	0.04575	0.1896
213913 s at	TBC1D30	-1.37E-16	3.067	0.04654	0.1916
217551 at	OR7E14P	-1.11E-16	3.039	0.04789	0.1946
221666 s at	PYCARD	5.71E-17	3.039	0.04789	0.1946
214131 at	CYorf15B	-6.17E-17	3.032	0.04822	0.1947
219812 at	PVRIG	1.37E-16	3.005	0.04954	0.1983
213478 at	KAZ	2.28E-16	2.999	0.04985	0.1983
