Gene	Description	Probeset	Gene expression status in IG/IRF4+
SIPA1L3	signal-induced proliferation-associated 1 like 3	37831_at	Up-regulated
FAM102A	family with sequence similarity 102, member A	212400_at	Up-regulated
CLCA2	chloride channel accessory 2	206166_s_at	Up-regulated
IL16	interleukin 16 (lymphocyte chemoattractant factor)	209828_s_at	Up-regulated
TGIF1	TGFB-induced factor homeobox 1	203313_s_at	Up-regulated
LOXL2	lysyl oxidase-like 2	202998_s_at	Up-regulated
NET1	neuroepithelial cell transforming 1	201829_at	Up-regulated
DLGAP1	discs, large (Drosophila) homolog-associated protein 1	206490_at	Up-regulated
SLC12A8	solute carrier family 12, member 8	219874_at	Up-regulated
IDE	insulin-degrading enzyme	203327_at	Up-regulated
SFN	stratifin	33322_i_at	Up-regulated
AQP3	aquaporin 3 (Gill blood group)	39248_at	Up-regulated
RAB33A	RAB33A, member RAS oncogene family	206039_at	Up-regulated
DDAH1	dimethylarginine dimethylaminohydrolase 1	209094_at	Up-regulated
MTA2	metastasis associated 1 family, member 2	203444_s_at	Up-regulated
STYXL1	serine/threonine/tyrosine interacting-like 1	218321_x_at	Up-regulated
GAGE12I	G antigen 12I	208155_x_at	Up-regulated
ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5	204765_at	Up-regulated
MBD4	methyl-CpG binding domain protein 4	214047_s_at	Up-regulated
APBB2	amyloid beta (A4) precursor protein-binding	212985_at	Up-regulated
GSTZ1	glutathione transferase zeta 1	209531_at	Up-regulated
MAST2	microtubule associated serine/threonine kinase 2	215903_s_at	Up-regulated
COBLL1	COBL-like 1	215393_s_at	Up-regulated
FAM169A	family with sequence similarity 169, member A	213954_at	Up-regulated
TCL6	T-cell leukemia/lymphoma 6	219840_s_at	Up-regulated
FAM164C	family with sequence similarity 164, member C	220107_s_at	Up-regulated
CASP3	caspase 3, apoptosis-related cysteine peptidase	202763_at	Up-regulated
CADM1	cell adhesion molecule 1	209031_at	Up-regulated
COBLL1	COBL-like 1	211032_at	Up-regulated
STK4	serine/threonine kinase 4	205411_at	Up-regulated
ITGAL	integrin, alpha L (antigen CD11A (p180))	213475_s_at	Up-regulated
RYR2	ryanodine receptor 2 (cardiac)	214044_at	Up-regulated
SLC25A17	solute carrier family 25 (mitochondrial carrier)	214210_at	Up-regulated
MAPK13	mitogen-activated protein kinase 13	210059_s_at	Up-regulated
GATM	glycine amidinotransferase	203178_at	Up-regulated
FLJ14082	hypothetical protein FLJ14082	206659_at	Up-regulated
ADAM8	ADAM metallopeptidase domain 8	205180_s_at	Up-regulated
MAPK13	mitogen-activated protein kinase 13	210058_at	Up-regulated
DCTN5	dynactin 5 (p25)	209232_s_at	Up-regulated
C11orf71	chromosome 11 open reading frame 71	218789_s_at	Up-regulated
PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	219238_at	Up-regulated
CCNA1	cyclin A1	205899_at	Up-regulated
PRKD3	protein kinase D3	211084_x_at	Up-regulated
PPIL2	peptidylprolyl isomerase (cyclophilin)-like 2	217407_x_at	Up-regulated
SMPD3	sphingomyelin phosphodiesterase 3, neutral membrane	219695_at	Up-regulated
CSNK2A2	casein kinase 2, alpha prime polypeptide	203575_at	Up-regulated
BLNK	B-cell linker	207655_s_at	Up-regulated
ITSN1	intersectin 1 (SH3 domain protein)	209298_s_at	Up-regulated
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	209112_at	Up-regulated
TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	208944_at	Up-regulated
ZNF37A	zinc finger protein 37A	214878_at	Up-regulated
TMEM39A	transmembrane protein 39A	218615_s_at	Up-regulated
ITGA4	integrin, alpha 4	213416_at	Up-regulated
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	209240_at	Up-regulated
ZNF238	zinc finger protein 238	212774_at	Up-regulated
AAGAB	alpha- and gamma-adaptin binding protein	202852_s_at	Up-regulated
BLNK	B-cell linker	207655_s_at	Up-regulated
ITSN1	intersectin 1 (SH3 domain protein)	209298_s_at	Down-regulated
CDKN1B	cyclin-dependent kinase inhibitor 1B (p27, Kip1)	209112_at	Down-regulated
TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	208944_at	Down-regulated
ZNF37A	zinc finger protein 37A	214878_at	Down-regulated
TMEM39A	transmembrane protein 39A	218615_s_at	Down-regulated
ITGA4	integrin, alpha 4	213416_at	Down-regulated
OGT	O-linked N-acetylglucosamine (GlcNAc) transferase	209240_at	Down-regulated
ZNF238	zinc finger protein 238	212774_at	Down-regulated
AAGAB	alpha- and gamma-adaptin binding protein	202852_s_at	Down-regulated
