Biological processes	Gene name	Gene description	Fold change; TRO; 5	Fold change; TRO; 20	Fold change; TRO; 40	Fold change; ROSI; 20	Fold change; ROSI; 50	Fold change; ROSI; 100	Fold change; MURA; 20	Fold change; MURA; 50	Fold change; TESA; 300
Mitochondrial beta-oxidation and oxidative phosphorylation	Hadhb	Hydratase beta subunit	1.1	1.7	2	1.6	1.8	1.9	1.9	2.8	2.3
Mitochondrial beta-oxidation and oxidative phosphorylation	Txnip	Thioredoxin interacting protein	-1.1	2.3	3.2	1.9	1.8	1.3	2.5	3.7	5
Mitochondrial beta-oxidation and oxidative phosphorylation	Slc22a5	Solute carrier family 22 member 5	1.2	2	2.1	1.9	2.1	1.8	2.3	2.2	2.9
Mitochondrial beta-oxidation and oxidative phosphorylation	Ucp2	Uncoupling protein 2	1.8	2.4	2.1	3.3	3.6	2.7	3.1	2.7	5.1
Mitochondrial beta-oxidation and oxidative phosphorylation	Slc25a20	Carnitine/acylcarnitine translocase). Member 20	1.4	2.1	1.9	1.9	1.7	1.2	2	2.1	2.5
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadl	Acetyl-Coenzyme A dehydrogenase. long-chain	1.1	1.2	1.2	1.4	1.3	1.2	1.4	1.3	1.5
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadm	Acetyl-Coenzyme A dehydrogenase. medium chain	1.3	2	1.7	2	1.7	1.1	2.3	2.7	3
Mitochondrial beta-oxidation and oxidative phosphorylation	Acadvl	Acyl-Coenzyme A dehydrogenase. very long chain	1.2	1.5	1.3	1.5	1.4	-1	1.5	1.7	1.9
Mitochondrial beta-oxidation and oxidative phosphorylation	Cpt1a	Carnitine palmitoyltransferase 1a. Liver	1.2	2.4	2.8	2.3	2.4	2.2	2.4	2.4	3
Mitochondrial beta-oxidation and oxidative phosphorylation	Cpt1b	Carnitine palmitoyltransferase 1b. Muscle	1.3	2.7	3.4	2.5	2.7	3	3	3.5	4.1
Mitochondrial beta-oxidation and oxidative phosphorylation	Cpt2	Carnitine palmitoyltransferase 2	1.4	2.7	2.8	2.5	2.2	1.9	2.2	2.7	2.7
Mitochondrial beta-oxidation and oxidative phosphorylation	Crat	Carnitine acetyltransferase	1.4	2.4	1.9	2.7	2.6	1.7	2.9	3.4	3.6
Mitochondrial beta-oxidation and oxidative phosphorylation	Etfdh	Electron-transferring-flavoprotein dehydrogenase	1.1	1.3	1.2	1.6	1.6	1.1	1.8	1.9	2
Ketogenesis	Fgf21	Fibroblast growth factor 21	1.5	3	7	2.2	2.1	2.9	2.6	4.1	2.5
Ketogenesis	Hmgcs2	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 2	1.1	1.7	1.6	2	1.5	-1.4	1.8	2.2	2.1
Ketogenesis	Acat1	Acetyl-Coenzyme A acetyltransferase 1	1.2	1.8	1.8	1.9	1.9	1.3	2.8	3.2	3.3
Ketogenesis	Bdh1	3-Hydroxybutyrate dehydrogenase. type 1	-1	-1.6	-2.6	-1	-1	-1.7	1.2	-1.2	1.3
Peroxisomal beta-oxidation	Acaa1	Acetyl-Coenzyme A acyltransferase 1	1.4	2.1	1.8	2	1.7	-1	2.9	2.7	3
Peroxisomal beta-oxidation	Abcd3	ATP-binding cassette. sub-family D member 3	1.3	2.1	2	2.2	2.1	1.4	2.6	2.9	3.1
Peroxisomal beta-oxidation	Acox1	Acyl-Coenzyme A oxidase 1. palmitoyl	1.2	2.2	2.2	1.9	1.9	1.5	2.6	3	3.6
Peroxisomal beta-oxidation	Decr1	2.4-Dienoyl CoA reductase 1. mitochondrial	1.6	2.4	2.1	2.7	2.5	1.6	3.6	3.5	3.9
Peroxisomal beta-oxidation	Decr2	2-4-Dienoyl-Coenzyme A reductase 2. peroxisomal	1.6	2.4	1.5	2.4	2	1	3.2	3.3	3.5
Peroxisomal beta-oxidation	Ech1	Enoyl Coenzyme A hydratase 1. peroxisomal	1.5	3	2.9	3.1	2.6	1.6	4.2	4.1	5.9
Peroxisomal beta-oxidation	Ehhadh	Coenzyme A dehydrogenase	1.7	14.9	12.5	10.8	7.9	2	26.7	37.8	61.9
Peroxisomal beta-oxidation	Hsd17b4	Hydroxysteroid (17-beta) dehydrogenase 4	1.2	1.6	1.5	1.7	1.7	1.1	2.2	2.2	2.3
Peroxisomal beta-oxidation	Peci	Peroxisomal delta3 isomerase	1.2	1.6	1.4	1.7	1.6	1.1	1.8	2.2	2.3
Peroxisomal beta-oxidation	Crot	Carnitine O-octanoyltransferase	1.2	2	1.7	2.7	2.9	1.9	3.6	3.6	4.5
Peroxisomal beta-oxidation	Pex11a	Peroxisomal biogenesis factor 11A	1.6	5	6.3	4.6	5.8	4.4	5.4	7.5	8.8
Peroxisomal beta-oxidation	Pex19	Peroxisome biogenesis factor 19	1.2	1.3	1.3	1.4	1.3	1	1.5	1.5	1.5
Peroxisomal beta-oxidation	Pex16	Peroxisome biogenesis factor 16	1.2	1.5	1.6	1.4	1.3	1.1	1.5	1.6	1.4
Microsomal omega-hydroxylation	Aldh3a2	Aldehyde dehydrogenase family 3. subfamily A2	1	1.2	-1.1	1.3	1.1	-1.4	1.4	1.4	1.7
Microsomal omega-hydroxylation	Cyp4a1	Cytochrome P450. family 4. subfamily a. polypeptide 1	1.7	7.5	6.5	7.4	5.5	3	13.8	13.4	18.4
Microsomal omega-hydroxylation	Cyp4a2	Cytochrome P450. family 4. subfamily a. polypeptide 2	2.6	5	3.9	7	7.9	5.8	9	8.9	10
Microsomal omega-hydroxylation	Cyp4a8	Cytochrome P450. family 4. subfamily a. polypeptide 8	2.7	5.2	4.1	6.5	7.2	5.5	7.6	8.3	9.3
Microsomal omega-hydroxylation	Cyp4a3	Cytochrome P450. family 4. subfamily a. polypeptide 3	1.7	3	3.3	3.1	3.3	2.8	3.8	4.2	4.2
Lipogenesis	Acacb	Acetyl-Coenzyme A carboxylase beta	1.1	1	-1.4	1.1	1.5	1.4	-1.1	-1.2	1
Lipogenesis	Elovl6	ELOVL family member 6.	1.4	2.3	2	2.2	3.1	2.5	1.5	2	2.2
Lipogenesis	Fads1	Fatty acid desaturase 1	1.2	1.2	1	1.5	2	1.8	1.1	1.2	-1.1
Lipogenesis	Fasn	Fatty acid synthase	1	1.1	1	1.2	1.8	1.9	-1.3	-1.2	-1.1
Lipogenesis	Gpam	Glycerol-3-phosphate acyltransferase. Mitochondrial	-1	1.1	-1.2	1	1.1	-1.1	1.1	1.5	1.4
Lipogenesis	Hsd17b2	Hydroxysteroid (17-beta) dehydrogenase 2	-1	-1.8	-2.4	1.2	1.2	1.1	1.6	-1	1.2
Lipogenesis	Mlycd	Malonyl-CoA decarboxylase	1.3	1.5	1.6	1.7	1.8	1.6	1.6	1.8	1.9
Lipogenesis	Srebf1	Sterol regulatory element binding factor 1	1.1	1.3	1.2	1.3	-1.3	-1.5	1.1	2.3	1
Lipase and lipid droplets	G0s2	G0/G1 switch gene 2	2	3.5	2.4	3.2	3	1.7	5	5.5	3.9
Lipase and lipid droplets	Mgll	Monoglyceride lipase	1.3	2	1.5	1.9	1.7	1.1	1.8	1.8	2.3
Lipase and lipid droplets	Plin	Perilipin	-1.1	-1.1	1.4	1	-1	2.4	-1.1	-1	-1
Lipase and lipid droplets	Lipe	Lipase. Hormone sensitive	1.9	2.7	3	2.4	2.7	2.4	1.6	1.3	2.3
Lipoprotein uptake and metabolism	Angptl4	Angiopoietin-like 4	1.7	2.8	3.1	3	3.2	2.1	2.8	2.4	3.1
Lipoprotein uptake and metabolism	Apoa2	Apolipoprotein A-II	-1.4	-1.4	-1.1	-1	1.2	1.1	1.1	1.2	1.5
Lipoprotein uptake and metabolism	Apoa5	Apolipoprotein A-V	-1.2	-1.8	-2.5	-1.3	-1.4	-1.5	-1.2	-1.3	-1.5
Lipoprotein uptake and metabolism	Lpl	Lipoprotein lipase	-1.2	1.2	-1.9	2	1.9	1.8	1	-1	1.2
Lipoprotein uptake and metabolism	Pctp	Phosphatidylcholine transfer protein	-1	-1.1	1	1.3	1.3	-1.3	1.2	1.3	1.6
Lipoprotein uptake and metabolism	Mttp	Microsomal triglyceride transfer protein	1.2	1.8	1.3	1.6	1.4	-1.1	1.8	1.9	2.2
Lipoprotein uptake and metabolism	Vldlr	Very low density lipoprotein receptor	1.4	1.5	2.2	1.5	2.1	2.5	2.1	2.8	2.7
Cholesterol tansport and metabolism	Abcg5	ATP-binding cassette. sub-family G member 5	1.5	7.4	10	3.5	4.4	2.3	3.5	6.5	4.6
Cholesterol tansport and metabolism	Cyp27a1	Cytochrome P450. Family 27. Subfamily a. Polypeptide 1	-1.1	1.1	1.1	-1.2	-1.4	-1.5	-1.3	1.1	-1.5
Cholesterol tansport and metabolism	Cyp7a1	Cytochrome P450. Family 7. Subfamily a. Polypeptide 1	-1	1.7	1	1.6	1	-1.1	1.7	2.1	1.1
Cholesterol tansport and metabolism	Cyp8b1	Cytochrome P450. Family 8. Subfamily b. Polypeptide 1	1.4	2.4	-1.2	2.4	1.5	-2.3	4	2	4.6
Cholesterol tansport and metabolism	Slc10a2	Solute carrier family 10. Member 2	-1.2	-1.5	-2	-1.4	-2.4	-3.3	-1.8	-3.3	-1.3
Cholesterol tansport and metabolism	Abcc2	ATP-binding cassette. sub-family C member 2	-1.3	1	1.1	-1.1	-1.1	-1	-1.6	-1.4	-1.4
Cholesterol tansport and metabolism	Nr1h4	Nuclear receptor subfamily 1. group H. member 4	-1.1	-1	-1.2	-1.1	-1.1	-1.6	-1.1	-1.3	-1.1
Cholesterol tansport and metabolism	Cav1	Caveolin. caveolae protein 1	1.1	-1.2	-2	1	1.2	-1.1	-1.1	-1.4	-1.2
Glucose/glycerol tranport and metabolism	Aqp3	Aquaporin 3	-1	3	2.2	-1	1	-1.1	-1	10.5	20.2
Glucose/glycerol tranport and metabolism	Aqp7	Aquaporin 7	1.2	1.7	1.4	1.5	1.4	-1.2	1.9	1.5	4.7
Glucose/glycerol tranport and metabolism	Aqp9	Aquaporin 9	-1.1	1.5	3.1	-1	-1	1.3	-1.2	-1.1	-1.3
Glucose/glycerol tranport and metabolism	Fbp2	Fructose-1.6-bisphosphatase 2	1.2	3.3	3.5	2.5	2.4	1.6	2.2	3.3	5.8
Glucose/glycerol tranport and metabolism	G6pc	Glucose-6-phosphatase. Catalytic	-1.1	1	1.1	1.1	1.2	1.3	1.6	1.5	1.3
Glucose/glycerol tranport and metabolism	Gpd2	Glycerol-3-phosphate dehydrogenase 2	1.2	1.3	1.4	1.3	1.4	1.6	1.7	1.7	2.1
Glucose/glycerol tranport and metabolism	Gys2	Glycogen synthase 2	1.2	1.7	1.7	1.4	1.2	-1.4	1.6	1.7	2.1
Glucose/glycerol tranport and metabolism	Ldha	Lactate dehydrogenase A	1.2	1.1	-1.2	1.4	1.5	1.2	1.5	1.3	1.7
Glucose/glycerol tranport and metabolism	Pck1	Phosphoenolpyruvate carboxykinase 1	1.1	-1.1	1.1	1.4	2.2	2.4	2.2	2.8	1
Glucose/glycerol tranport and metabolism	Pfkl	Phosphofructokinase, liver, B-type	1.4	-1	-1.5	1.6	1.5	1.2	1.8	1.7	1.8
Glucose/glycerol tranport and metabolism	Pdk4	Pyruvate dehydrogenase kinase. Isoenzyme 4	1.4	1.8	2.9	2.2	3.1	4.4	2.6	3.4	3.2
Biotransformation	Akr1b10	Aldo-keto reductase family 1. Member b10	-1	-1	1	-1	-1	16.4	1	1	-1
Biotransformation	Cyp2b2	Cytochrome p450, family 2, subfamily b, polypeptide 2	1.1	2.1	1.5	1.7	1.9	1.5	1.5	1.8	7.7
Biotransformation	Cyp1a1	Cytochrome p450. family 1. subfamily a. polypeptide 1	-1	?2.1	?6.5	2.2	2.7	?2.8	1.1	1.3	1.1
Biotransformation	Cyp2e1	Cytochrome P450. family 2. subfamily e. polypeptide 1	-1	1	1.5	1.1	1.6	2	-1.1	1.3	1
Biotransformation	Ephx2	Epoxide hydrolase 2. cytoplasmic	1.7	2.6	1.9	2.8	2.4	1.5	3.6	4	4.8
Amino acid metabolism	Abat	4-aminobutyrate aminotransferase	-1	-1	-1.8	-1.3	?2.5	?4.6	-1.1	-1.1	?1.9
Amino acid metabolism	Arg1	Arginase 1	-1	-1	?1.6	1.1	-1	-1.7	1.2	1.2	1.1
Amino acid metabolism	Aldh6a1	Aldehyde dehydrogenase family 6, subfamily A1	1.1	1.5	1.3	1.2	-1.1	-1.5	1.8	1.9	1.2
Amino acid metabolism	Hibch	3-Hydroxyisobutyryl-Coenzyme A hydrolase	1.2	1.7	1.6	1.8	1.7	1.4	2	2.4	1.5
Amino acid metabolism	Acmsd	2-Amino-3-carboxymuconate-6-semialdehyde decarboxylase	-1.2	1.2	-1.1	-1.4	-1.2	?3	-1.4	-1	?1.9
Amino acid metabolism	Agxt2	Alanine-glyoxylate aminotransferase 2	1.1	-1	-1.5	1.1	-1.1	-1.8	1.2	1.4	1.4
Amino acid metabolism	Aldh3a2	Aldehyde dehydrogenase family 3, subfamily A2	1	1.2	-1.1	1.3	1.1	-1.4	1.4	1.4	1.7
Amino acid metabolism	Cbs	Cystathionine beta synthase	1.5	3.1	2.2	2.2	1.5	-1.3	2	2.7	2.3
Amino acid metabolism	Cth	Cystathionase	1.1	1.2	1.3	1.3	1.1	-1.4	1.6	1.4	-1.1
Amino acid metabolism	Hal	Histidine ammonia lyase	-1.2	1	-1.2	-1.2	-1.5	-1.7	-1.1	-1.2	?1.5
Amino acid metabolism	Oat	Ornithine aminotransferase	1.2	1	1.4	1.3	1.6	1.2	1.7	1.7	1.9
Amino acid metabolism	Odc1	Ornithine decarboxylase 1	1.2	1.4	1.6	1.2	1.3	1.3	1.1	-1	1.2
Amino acid metabolism	Otc	Ornithine transcarbamylase	-1	1	?2	-1	-1.3	?2	-1.2	-1	1.1
Amino acid metabolism	Pah	Phenylalanine hydroxylase	-1	-1	-1.3	-1	-1.4	?2.2	1	1.4	-1.2
Amino acid metabolism	Psat1	Phosphoserine aminotransferase 1	1.3	1.3	1.3	1.5	1.5	1.7	1.6	1.7	1.6
Amino acid metabolism	Tat	Tyrosine aminotransferase	-1	1.3	1.5	1.1	1.2	1.1	1.3	2	-1.2
Inflammation	Cd68	CD68 antigen	1.1	-1.2	-1	1.1	1.5	2.6	-1	-1.2	-1
Inflammation	Cebpb	CCAAT/enhancer binding protein (C/EBP). beta	1.4	1.4	1.6	1.4	1.4	1.4	1.5	1.3	1
Inflammation	Cxcl10	Chemokine (C-X-C motif) ligand 10	-1.3	-1.3	-1.2	-1.1	-1.4	-1.3	-1.3	?2.1	-1.4
Inflammation	Emr1	EGF-like module containing. mucin-like.	-1.7	-1.7	?2.4	-1.7	?2	-1.8	-1.1	?5.6	?2.3
Inflammation	Icam1	Intercellular adhesion molecule 1	-1	-1.4	-1.5	-1.2	-1.3	-1.7	-1.3	?2	-1.3
Inflammation	Nfkb1	Nuclear factor of kappa light chain gene enhancer in B-cells 1.	-1	-1.5	-1.7	-1.1	-1.1	-1.3	-1.2	-1.6	-1.3
Inflammation	Nfkb2	Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2.	-1	-1.4	-1.7	-1.1	-1.1	-1.3	-1.3	?2.1	-1.1
Inflammation	Il1b	Interleukin 1 beta	-1.4	?3.4	?5.5	?2.1	?3.2	?4	1.1	?4.8	-1.9
Inflammation	Il1r1	Interleukin 1 receptor. Type i	1.1	1	-1.2	-1	-1.1	-1.1	-1.4	-1.6	-1.9
Inflammation	Il6	Interleukin 6	-1.3	-1.1	-1.4	-1.5	-1.5	-1.5	-1.2	-1.4	-1.2
Inflammation	Ccl2	Chemokine (C-C motif) ligand 2	-1.3	?2.3	?4.2	?2	?2.6	?3.7	-1.7	?5.5	?2.4
Inflammation	Ccl3	Chemokine (C-C motif) ligand 3	-1.5	-1.9	?3	?2	?2.8	?2.1	-1.2	?5.8	-1.9
Inflammation	Lcn2	Lipocalin 2	1.2	1.6	1.4	1.3	1.1	-1	-1	-1.8	-1.1
Inflammation	Lifr	Leukemia inhibitory factor receptor	1.1	1.2	1.5	1.1	1.6	2.1	-1	-1.1	-1
Inflammation	Mt1a	Metallothionein 1a	-1	1.1	1.7	-1	1.2	1.8	-1.1	-1	-1.2
Inflammation	Vcam1	Vascular cell adhesion molecule 1	1	-1.3	-1.3	-1	1.1	-1.3	1.1	?2.2	1.2
Inflammation	Vnn1	Vanin 1	1.4	2.6	2	2.6	2.3	1.3	2.8	2.7	4.7
Miscellanous	Por	P450 (cytochrome) oxidoreductase	1.2	1.3	1.3	1.6	1.8	1.8	1.4	2.1	2
Miscellanous	Hmox1	Heme oxygenase (decycling) 1	1.2	-1	-1.4	1.3	1.5	1.3	1.3	-1.1	1.5
Miscellanous	Mbl2	Mannose binding lectin 2 (protein C)	-1.2	-1.2	-1.8	-1.3	-1.5	?2.1	1	-1	-1
Miscellanous	Cd14	CD14 antigen	-1.1	-1.1	1	-1	-1	-1	-1.1	-1.2	?1.6
Miscellanous	Sgk2	Serum/glucocorticoid regulated kinase 2	1.4	2.2	2.3	1.6	1.3	1.9	1.1	-1.1	1.4
Miscellanous	Smad3	MAD homolog 3 (Drosophila)	?6.3	?6.2	?6.4	?5.6	?5.6	?5.8	?6.9	?5.0	?6.0
Miscellanous	Itga2	Integrin, alpha 2	1	-1.2	?2.0	-1.3	-1.4	-1.6	?2.5	?2.6	?2.4
Miscellanous	Smoc1	SPARC-related modular calcium binding protein 1	1.1	1	-1.3	-1	1.1	-1.2	1.6	1.7	1.7
Miscellanous	Gsn	Gelsolin	1.3	1.4	1.1	1.7	1.4	-1.1	2.2	1.9	3.3
Miscellanous	Tgfb3	Transforming growth factor, beta 3	-1.1	-1.3	?3.6	-1.5	?2.3	?2.1	-1.9	?2.5	-1.9
Miscellanous	S100a6	S100 calcium binding protein A6 (calcyclin)	-1.2	-1.2	-1.5	-1.6	-1.7	-1.6	?2.0	?3.1	?2.0
Miscellanous	Irs1	Insulin receptor substrate 1	-1.5	-1.5	-1.8	-1.3	-1.5	-1.6	-1.2	-1.3	-1.5
Miscellanous	Agtr1b	Angiotensin receptor 1b	-1.5	-1.1	1	1.6	2	1.4	1.1	1	1.5
Miscellanous	Ramp1	Receptor (calcitonin) activity modifying protein 1	1.2	1.5	1.1	1.7	1.7	1.6	1.8	1.8	1.7
Miscellanous	Cxcl12	Chemokine (C-X-C motif) ligand 12	1.2	-1	-2.1	1.7	1.2	-1.8	3	1.5	2
Miscellanous	Runx1	Runt related transcription factor 1	-1.3	-1.4	-1.8	-1.6	-1.4	1	-2.5	-3.5	-1.6
Miscellanous	Cdh1	Cadherin 1	-1.3	-1.4	-2	-1.3	-1.4	-1.7	-1.5	-1.9	-1.7
Miscellanous	Cyp26a1	Cytochrome P450, family 26, subfamily A, polypeptide 1	1.9	2.2	3.2	6.9	21.9	11	5.3	16.4	1.6
Miscellanous	Soat1	Sterol O-acyltransferase 1	6.6	19.5	6.5	-1.2	1	-1	-1.4	-1.2	-1.3
Miscellanous	Dhrs3	Dehydrogenase/reductase (SDR family) member 3	1.2	1.5	1.2	1.7	2	-1.1	1.7	1.7	1.3
