Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	RATIO AM vs PL	P_INT_GEA_R_AGE_TR
RAE230A:1371065_at	1371065_at	"RT1 class II, locus Bb"	0.31	0.17	0.55	1.6E-04
RAE230A:1368842_at	1368842_at	transcription factor 4	1.59	0.87	0.55	4.9E-04
RAE230A:1372701_at	1372701_at	"heat shock protein 1, alpha"	2.98	1.63	0.55	2.0E-05
RAE230A:1370169_at	1370169_at	unr protein	2.5	1.36	0.54	2.6E-04
RAE230A:1388236_x_at	1388236_x_at	"RT1 class Ib, locus Aw2"	0.57	0.31	0.54	2.8E-07
RAE230A:1371973_at	1371973_at	Similar to Eukaryotic translation initiation factor 3 subunit 6 (eIF-3 p48) (eIF3e) (Mammary tumor-associated protein INT-6) (Viral integration site protein INT-6) 	2.1	1.14	0.54	2.1E-05
RAE230A:1372079_at	1372079_at	Transcribed sequences	2.01	1.09	0.54	1.9E-04
RAE230A:1388317_at	1388317_at	Transcribed sequences	2.84	1.54	0.54	3.8E-04
RAE230A:1382307_at	1382307_at	"myosin phosphatase, target subunit 1"	1.92	1.04	0.54	3.8E-04
RAE230A:1389647_at	1389647_at	Transcribed sequences	2.05	1.11	0.54	1.8E-04
RAE230A:1371710_at	1371710_at	Transcribed sequences	1.48	0.8	0.54	1.4E-05
RAE230A:1373862_at	1373862_at	"Clone UV36Sp6 ultraviolet B radiation-activated UV36 mRNA, partial sequence"	2.63	1.42	0.54	1.5E-04
RAE230A:1373517_at	1373517_at	Similar to conserved helix-loop-helix ubiquitous kinase 	2.51	1.35	0.54	6.0E-05
RAE230A:1374525_at	1374525_at	Transcribed sequences	1.73	0.93	0.54	3.5E-04
RAE230A:1371884_at	1371884_at	no description	1.75	0.94	0.54	3.5E-04
RAE230A:1374662_at	1374662_at	Similar to CMP-sialic acid transporter 	1.64	0.88	0.54	1.4E-04
RAE230A:1398813_at	1398813_at	ubiquitin-activating enzyme E1C	2.24	1.2	0.54	1.1E-04
RAE230A:1388383_at	1388383_at	Transcribed sequences	2.67	1.43	0.54	1.8E-04
RAE230A:1373578_at	1373578_at	Transcribed sequence with strong similarity to protein sp:P07197 (H.sapiens) NFM_HUMAN Neurofilament triplet M protein	2.82	1.51	0.54	4.0E-04
RAE230A:1388563_at	1388563_at	Similar to RIKEN cDNA 1700034P14 	2.57	1.37	0.53	4.1E-05
RAE230A:1368151_at	1368151_at	matrin 3	2.42	1.29	0.53	1.0E-04
RAE230A:1372777_at	1372777_at	Transcribed sequences	1.82	0.97	0.53	1.9E-05
RAE230A:1372242_at	1372242_at	Similar to RNA helicase 	2.14	1.14	0.53	1.6E-06
RAE230A:1372201_at	1372201_at	Similar to dioxin inducible factor 3	2.09	1.11	0.53	2.6E-04
RAE230A:1370035_at	1370035_at	Kirsten rat sarcoma viral oncogene homologue 2 (active)	2.58	1.37	0.53	4.3E-05
RAE230A:1389150_at	1389150_at	Transcribed sequences	1.74	0.92	0.53	5.9E-05
RAE230A:1376173_at	1376173_at	Transcribed sequences	1.97	1.04	0.53	2.5E-04
RAE230A:1371856_at	1371856_at	Transcribed sequence with moderate similarity to protein ref:NP_060231.1 (H.sapiens) hypothetical protein FLJ20312 [Homo sapiens]	2.11	1.11	0.53	7.8E-05
RAE230A:1374580_at	1374580_at	Similar to SUMO-1-specific protease	2.13	1.12	0.53	1.0E-04
RAE230A:1399018_at	1399018_at	Similar to cisplatin resistance-associated overexpressed protein 	2.55	1.34	0.53	3.0E-05
RAE230A:1388557_at	1388557_at	Transcribed sequences	2.3	1.2	0.52	1.6E-04
RAE230A:1399017_at	1399017_at	Transcribed sequences	2	1.04	0.52	1.7E-04
RAE230A:1383053_x_at	1383053_x_at	Similar to zinc finger protein 91 isoform 1	1.83	0.95	0.52	3.5E-04
RAE230A:1374956_at	1374956_at	pericentriolar material 1	2.1	1.09	0.52	4.9E-04
RAE230A:1391485_at	1391485_at	Transcribed sequences	1.65	0.85	0.52	3.0E-04
RAE230A:1388752_at	1388752_at	Similar to Bcl-2-associated transcription factor 	2.12	1.09	0.51	4.7E-05
RAE230A:1389147_at	1389147_at	"Transcribed sequence with strong similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	1.54	0.79	0.51	7.2E-05
RAE230A:1374318_at	1374318_at	Transcribed sequences	2.54	1.3	0.51	2.0E-05
RAE230A:1373507_at	1373507_at	Similar to RIKEN cDNA 1300014E15	2.7	1.37	0.51	2.7E-05
RAE230A:1376665_at	1376665_at	Transcribed sequences	2.85	1.44	0.51	3.7E-04
RAE230A:1376275_at	1376275_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	1.94	0.98	0.51	9.7E-05
RAE230A:1389524_at	1389524_at	Similar to hypothetical protein FLJ31657 	2.72	1.37	0.5	2.7E-04
RAE230A:1377047_at	1377047_at	no description	1.79	0.9	0.5	4.8E-04
RAE230A:1372558_at	1372558_at	Similar to N-terminal aceyltransferase 1 	3.78	1.9	0.5	1.6E-04
RAE230A:1376749_at	1376749_at	Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human	2.57	1.29	0.5	3.3E-05
RAE230A:1398948_at	1398948_at	Tax1 binding protein 1 homolog	2.89	1.45	0.5	1.9E-06
RAE230A:1371823_at	1371823_at	Transcribed sequences	2.46	1.23	0.5	9.2E-05
RAE230A:1389397_at	1389397_at	Transcribed sequences	1.62	0.81	0.5	7.0E-05
RAE230A:1368040_at	1368040_at	synaptojanin 2 binding protein	2.27	1.13	0.5	5.6E-05
RAE230A:1388737_at	1388737_at	Transcribed sequences	2.13	1.06	0.5	4.6E-04
RAE230A:1389590_at	1389590_at	Transcribed sequences	1.67	0.83	0.5	6.8E-05
RAE230A:1390199_at	1390199_at	Transcribed sequences	2.8	1.39	0.5	3.0E-04
RAE230A:1398389_at	1398389_at	Transcribed sequences	2.4	1.19	0.5	2.0E-05
RAE230A:1372223_at	1372223_at	Transcribed sequences	2.18	1.08	0.5	7.9E-06
RAE230A:1399044_at	1399044_at	Transcribed sequences	1.7	0.84	0.49	1.7E-05
RAE230A:1373087_at	1373087_at	Transcribed sequences	2.33	1.15	0.49	4.6E-06
RAE230A:1376660_at	1376660_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	2.82	1.39	0.49	8.0E-06
RAE230A:1399132_at	1399132_at	Similar to cullin 3 	2.55	1.25	0.49	9.9E-07
RAE230A:1388800_at	1388800_at	small GTP-binding protein rab5	2.47	1.2	0.49	4.8E-05
RAE230A:1383263_at	1383263_at	Similar to osteoglycin precursor 	2.45	1.19	0.49	1.1E-04
RAE230A:1371776_at	1371776_at	"phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1"	1.71	0.83	0.49	5.0E-06
RAE230A:1370973_at	1370973_at	"sodium channel, voltage-gated, type 6, alpha polypeptide"	1.59	0.77	0.48	2.8E-05
RAE230A:1373123_at	1373123_at	Similar to RIKEN cDNA 4932432N11 gene 	1.59	0.77	0.48	4.5E-05
RAE230A:1373367_at	1373367_at	Similar to Ac2-190 	1.82	0.88	0.48	5.6E-07
RAE230A:1372772_at	1372772_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	2.07	1	0.48	2.4E-06
RAE230A:1389070_at	1389070_at	Similar to Transcription intermediary factor 1-gamma (TIF1-gamma) (RET-fused gene 7 protein) (Rfg7 protein) (Tripartite motif protein 33) 	2.05	0.99	0.48	2.7E-04
RAE230A:1368228_at	1368228_at	zinc finger protein 265	2.22	1.07	0.48	1.3E-05
RAE230A:1389040_at	1389040_at	Similar to PEST-containing nuclear protein 	1.93	0.93	0.48	2.0E-06
RAE230A:1387117_at	1387117_at	zinc finger protein 265	2.16	1.04	0.48	8.1E-05
RAE230A:1376620_at	1376620_at	"Transcribed sequence with moderate similarity to protein pdb:1LBG (E. coli) B Chain B, Lactose Operon Repressor Bound To 21-Base Pair Symmetric Operator Dna, Alpha Carbons Only"	2.41	1.16	0.48	1.1E-04
RAE230A:1372817_at	1372817_at	Transcribed sequence with weak similarity to protein sp:Q62513 (M.musculus) OZF_MOUSE Zinc finger protein OZF	1.87	0.9	0.48	2.2E-05
RAE230A:1375841_at	1375841_at	YME1 (S.cerevisiae)-like 1	3.22	1.54	0.48	3.4E-05
RAE230A:1399141_at	1399141_at	Similar to Clk4 protein	2.29	1.09	0.48	1.1E-04
RAE230A:1399082_at	1399082_at	Transcribed sequences	2.46	1.17	0.48	4.8E-06
RAE230A:1369248_a_at	1369248_a_at	baculoviral IAP repeat-containing 4	3.03	1.43	0.47	1.0E-04
RAE230A:1376606_a_at	1376606_a_at	"Similar to DC6 protein (LOC299865), mRNA"	1.87	0.88	0.47	3.7E-05
RAE230A:1387631_at	1387631_at	NAD-dependent 15-hydroxyprostaglandin dehydrogenase	8.02	3.77	0.47	6.7E-05
RAE230A:1399022_at	1399022_at	Similar to protein kinase STY (EC 2.7.1.-) - mouse 	2.32	1.09	0.47	1.6E-06
RAE230A:1374325_at	1374325_at	Transcribed sequences	2.07	0.97	0.47	1.5E-04
RAE230A:1377617_at	1377617_at	Transcribed sequences	2.67	1.25	0.47	2.8E-06
RAE230A:1368175_at	1368175_at	zinc-fingers and homeoboxes 1	2.04	0.95	0.47	2.8E-04
RAE230A:1374422_at	1374422_at	Similar to mKIAA1225 protein 	3.36	1.56	0.46	2.6E-06
RAE230A:1375305_at	1375305_at	LOC362256	1.9	0.88	0.46	2.6E-04
RAE230A:1379739_at	1379739_at	Transcribed sequences	2.03	0.94	0.46	7.2E-06
RAE230A:1374432_at	1374432_at	activated leukocyte cell adhesion molecule	2.19	1.01	0.46	2.6E-04
RAE230A:1369220_at	1369220_at	dynamin 1-like	2.67	1.23	0.46	1.2E-04
RAE230A:1375979_at	1375979_at	Similar to putative phosphatase subunit	1.96	0.9	0.46	7.5E-06
RAE230A:1374513_at	1374513_at	"CDC10 (cell division cycle 10, S.cerevisiae, homolog)"	3.11	1.42	0.46	6.3E-07
RAE230A:1376627_at	1376627_at	Transcribed sequences	3.25	1.48	0.46	2.8E-05
RAE230A:1389148_at	1389148_at	Similar to RIKEN cDNA 9430083G14 	3.25	1.48	0.46	7.1E-05
RAE230A:1387440_at	1387440_at	iron-regulatory protein 2	2.84	1.28	0.45	6.3E-06
RAE230A:1374750_at	1374750_at	Transcribed sequences	2.67	1.2	0.45	5.4E-06
RAE230A:1391125_at	1391125_at	Transcribed sequences	2.48	1.11	0.45	8.1E-07
RAE230A:1375904_at	1375904_at	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	3.91	1.75	0.45	5.4E-05
RAE230A:1372830_at	1372830_at	Transcribed sequences	2.68	1.19	0.44	6.3E-07
RAE230A:1372489_at	1372489_at	Transcribed sequences	2.19	0.97	0.44	5.5E-07
RAE230A:1368817_at	1368817_at	no description	2.24	0.99	0.44	2.3E-07
RAE230A:1387073_at	1387073_at	synaptosomal-associated protein	1.7	0.75	0.44	1.3E-04
RAE230A:1376887_at	1376887_at	Transcribed sequences	1.93	0.85	0.44	1.1E-05
RAE230A:1377262_at	1377262_at	Similar to KIAA2010 protein 	3.25	1.43	0.44	9.4E-05
RAE230A:1379429_at	1379429_at	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	3.32	1.46	0.44	1.2E-05
RAE230A:1388895_at	1388895_at	Similar to parallel sister chromatids protein (84.3 kD) (4F208) 	2.98	1.31	0.44	3.4E-05
RAE230A:1388575_at	1388575_at	Transcribed sequences	3.13	1.37	0.44	8.7E-08
RAE230A:1388896_at	1388896_at	"Similar to Vdu1-pending protein (LOC310960), mRNA"	2.75	1.2	0.44	1.3E-06
RAE230A:1398251_a_at	1398251_a_at	calcium/calmodulin-dependent protein kinase II beta subunit	4.18	1.82	0.44	3.3E-05
RAE230A:1374290_at	1374290_at	Transcribed sequences	1.93	0.84	0.44	1.4E-06
RAE230A:1388856_at	1388856_at	kit ligand	3.13	1.36	0.43	1.1E-05
RAE230A:1390478_at	1390478_at	"origin recognition complex, subunit 4"	2.31	1	0.43	1.7E-06
RAE230A:1388978_at	1388978_at	Similar to RIKEN cDNA 2010200I23 	2.29	0.98	0.43	3.6E-07
RAE230A:1376706_at	1376706_at	Transcribed sequences	2.08	0.89	0.43	1.9E-06
RAE230A:1374456_at	1374456_at	no description	2.06	0.88	0.43	2.3E-05
RAE230A:1374941_at	1374941_at	Transcribed sequences	1.57	0.67	0.43	4.2E-08
RAE230A:1374405_at	1374405_at	Similar to Hypothetical protein MGC37309	2.35	1	0.43	1.1E-06
RAE230A:1398355_at	1398355_at	"transient receptor potential-related protein, ChaK"	2.68	1.14	0.43	2.1E-05
RAE230A:1372760_at	1372760_at	no description	2.83	1.2	0.42	6.1E-06
RAE230A:1373626_at	1373626_at	Transcribed sequences	3.99	1.68	0.42	2.6E-08
RAE230A:1398964_at	1398964_at	Transcribed sequence with moderate similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	2.92	1.22	0.42	2.5E-09
RAE230A:1373643_at	1373643_at	Transcribed sequences	1.82	0.76	0.42	6.3E-06
RAE230A:1388850_at	1388850_at	"heat shock protein 1, alpha"	3.74	1.56	0.42	2.9E-09
RAE230A:1398845_at	1398845_at	eukaryotic initiation factor 5 (eIF-5)	2.33	0.97	0.42	2.0E-10
RAE230A:1378536_at	1378536_at	Transcribed sequences	4.16	1.73	0.42	6.5E-07
RAE230A:1367896_at	1367896_at	carbonic anhydrase 3	4.81	2	0.42	4.4E-05
RAE230A:1375714_at	1375714_at	Similar to mKIAA1225 protein 	4.25	1.76	0.41	4.2E-07
RAE230A:1368843_at	1368843_at	YME1 (S.cerevisiae)-like 1	3.61	1.49	0.41	6.7E-08
RAE230A:1370333_a_at	1370333_a_at	insulin-like growth factor 1	2.4	0.99	0.41	2.2E-04
RAE230A:1390398_at	1390398_at	"bone morphogenetic protein receptor, type 1A"	1.97	0.81	0.41	1.6E-06
RAE230A:1388553_at	1388553_at	Transcribed sequences	3.39	1.39	0.41	1.8E-06
RAE230A:1373143_at	1373143_at	Similar to hypothetical protein FLJ10652 	2.59	1.06	0.41	8.4E-06
RAE230A:1375185_at	1375185_at	Transcribed sequences	2.31	0.94	0.41	8.5E-08
RAE230A:1372928_at	1372928_at	Transcribed sequences	2.56	1.03	0.4	5.7E-06
RAE230A:1388915_at	1388915_at	Transcribed sequences	2.19	0.88	0.4	1.3E-07
RAE230A:1374751_at	1374751_at	Transcribed sequences	3.77	1.51	0.4	4.8E-08
RAE230A:1374435_at	1374435_at	Transcribed sequences	3.08	1.23	0.4	4.3E-06
RAE230A:1389301_at	1389301_at	Transcribed sequences	3.12	1.23	0.39	2.5E-09
RAE230A:1373029_at	1373029_at	tyroid receptor interacting protein 15	3.71	1.46	0.39	1.4E-07
RAE230A:1372347_at	1372347_at	Transcribed sequences	2.24	0.88	0.39	1.4E-12
RAE230A:1374447_at	1374447_at	Similar to FAM 	2.63	1.03	0.39	7.6E-09
RAE230A:1390443_at	1390443_at	Transcribed sequences	2.86	1.12	0.39	2.4E-04
RAE230A:1389700_at	1389700_at	Transcribed sequences	3.7	1.44	0.39	2.0E-06
RAE230A:1374935_at	1374935_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	2.78	1.08	0.39	7.3E-08
RAE230A:1372463_at	1372463_at	Similar to hypothetical protein 5832424M12 	3.04	1.18	0.39	9.8E-08
RAE230A:1373836_at	1373836_at	"Ac1176 mRNA, complete cds"	3.48	1.34	0.39	6.1E-06
RAE230A:1390723_at	1390723_at	Transcribed sequence with weak similarity to protein pir:T12486 (H.sapiens) T12486 hypothetical protein DKFZp566H033.1 - human	4.84	1.85	0.38	1.5E-05
RAE230A:1390643_at	1390643_at	Transcribed sequences	2.46	0.94	0.38	5.6E-06
RAE230A:1372355_at	1372355_at	Transcribed sequences	4.35	1.64	0.38	1.6E-08
RAE230A:1389459_at	1389459_at	Transcribed sequences	2.52	0.94	0.37	1.6E-08
RAE230A:1372733_at	1372733_at	Similar to intracellular membrane-associated calcium-independent phospholipase A2 gamma 	3.67	1.35	0.37	6.1E-06
RAE230A:1389444_at	1389444_at	Transcribed sequence with weak similarity to protein sp:Q9JL04 (M.musculus) FMN2_MOUSE Formin 2	3.62	1.33	0.37	1.9E-08
RAE230A:1373549_at	1373549_at	Similar to Ddx10 protein 	4.65	1.68	0.36	3.9E-05
RAE230A:1390719_at	1390719_at	Transcribed sequences	3.88	1.39	0.36	3.5E-05
RAE230A:1387345_at	1387345_at	no description	2.3	0.81	0.35	1.8E-10
RAE230A:1373983_at	1373983_at	"Transcribed sequence with moderate similarity to protein ref:NP_075388.1 (H.sapiens) hypothetical protein FLJ11021 similar to splicing factor, argini [Homo sapiens]"	3.07	1.08	0.35	2.0E-10
RAE230A:1372785_at	1372785_at	Transcribed sequences	2.29	0.8	0.35	1.3E-07
RAE230A:1387436_at	1387436_at	"CDC10 (cell division cycle 10, S.cerevisiae, homolog)"	3.87	1.35	0.35	2.9E-06
RAE230A:1388830_at	1388830_at	Transcribed sequences	3.58	1.23	0.34	1.1E-10
RAE230A:1399066_at	1399066_at	Transcribed sequences	5.81	1.99	0.34	7.1E-08
RAE230A:1376451_at	1376451_at	Similar to krev interaction trapped 1 	3.51	1.2	0.34	1.6E-05
RAE230A:1375371_at	1375371_at	Similar to Ran-binding protein 2 	4.73	1.59	0.34	2.2E-05
RAE230A:1374527_at	1374527_at	Similar to hypothetical protein D4Ertd765e 	2.06	0.68	0.33	4.8E-06
RAE230A:1373466_at	1373466_at	calpastatin	4.86	1.6	0.33	8.1E-07
RAE230A:1376194_at	1376194_at	Transcribed sequences	2.43	0.8	0.33	1.7E-07
RAE230A:1391428_at	1391428_at	Transcribed sequences	3.56	1.15	0.32	9.5E-06
RAE230A:1390489_at	1390489_at	Transcribed sequences	5.37	1.73	0.32	3.3E-07
RAE230A:1379497_at	1379497_at	no description	0.6	0.19	0.32	3.8E-09
RAE230A:1376917_at	1376917_at	zinc finger protein 292	12.03	3.79	0.32	1.7E-04
RAE230A:1375054_at	1375054_at	Transcribed sequence with weak similarity to protein pir:A53184 (H.sapiens) A53184 myc far upstream element-binding protein - human	4.21	1.32	0.31	3.1E-06
RAE230A:1371146_at	1371146_at	transcription factor EC	0.29	0.09	0.31	1.8E-05
RAE230A:1376865_at	1376865_at	Transcribed sequences	2.4	0.74	0.31	9.0E-12
RAE230A:1384204_at	1384204_at	Transcribed sequences	4.78	1.43	0.3	9.2E-06
RAE230A:1389730_at	1389730_at	Transcribed sequences	3.98	1.19	0.3	2.9E-06
RAE230A:1389539_at	1389539_at	Transcribed sequence with weak similarity to protein sp:Q13573 (H.sapiens) SKIP_HUMAN Nuclear protein SkiP	2.73	0.81	0.3	2.6E-06
RAE230A:1375442_at	1375442_at	"Similar to U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10) (LOC293828), mRNA"	4.08	1.18	0.29	6.5E-05
RAE230A:1371579_at	1371579_at	Transcribed sequence with strong similarity to protein ref:NP_068747.1 (H.sapiens) hypothetical protein FLJ22649 similar to signal peptidase SPC22/ [Homo sapiens]	5.39	1.54	0.29	0.0E+00
RAE230A:1373913_at	1373913_at	Similar to polynucleotide phosphorylase-like protein	6.46	1.82	0.28	1.9E-08
RAE230A:1375689_at	1375689_at	Transcribed sequences	2.56	0.72	0.28	8.8E-05
RAE230A:1370428_x_at	1370428_x_at	"RT1 class Ib, locus Aw2"	0.29	0.08	0.28	0.0E+00
RAE230A:1373434_at	1373434_at	Transcribed sequences	4.68	1.28	0.27	2.6E-11
RAE230A:1372371_at	1372371_at	Rho-associated coiled-coil forming kinase 2	7.18	1.94	0.27	7.8E-10
RAE230A:1387379_at	1387379_at	Rho-associated coiled-coil forming kinase 2	10.05	2.71	0.27	1.4E-06
RAE230A:1390467_at	1390467_at	Transcribed sequences	3.82	1.03	0.27	5.1E-05
RAE230A:1368195_at	1368195_at	protein associating with small stress protein PASS1	2.82	0.75	0.27	1.5E-04
RAE230A:1384584_at	1384584_at	Transcribed sequences	7.29	1.93	0.26	3.6E-09
RAE230A:1387301_at	1387301_at	fibroblast growth factor 1	3.97	1.01	0.25	1.2E-04
RAE230A:1389986_at	1389986_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	3.68	0.91	0.25	0.0E+00
RAE230A:1376886_at	1376886_at	Transcribed sequences	2.52	0.62	0.25	5.5E-05
RAE230A:1372954_at	1372954_at	"Sprague-Dawley UV73 mRNA, partial sequence"	9.98	2.33	0.23	2.2E-05
RAE230A:1387716_at	1387716_at	utrophin	3.52	0.78	0.22	1.6E-05
RAE230A:1369747_at	1369747_at	N-Acetyltransferase-2	7.87	1.71	0.22	1.5E-11
RAE230A:1385248_a_at	1385248_a_at	Transcribed sequence with moderate similarity to protein pir:B35272 (H.sapiens) B35272 osteoinductive factor - human	8.52	1.73	0.2	8.3E-07
RAE230A:1398411_at	1398411_at	no description	2.01	0.4	0.2	4.5E-10
RAE230A:1369472_a_at	1369472_a_at	RATF2	4.28	0.83	0.19	1.8E-06
RAE230A:1389310_at	1389310_at	Transcribed sequences	3.78	0.61	0.16	3.3E-09
RAE230A:1369059_at	1369059_at	"transient receptor potential-related protein, ChaK"	5.47	0.8	0.15	2.7E-15
RAE230A:1387988_at	1387988_at	"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"	5.9	0.8	0.14	2.3E-04
RAE230A:1370996_at	1370996_at	RAS protein-specific guanine nucleotide-releasing factor 1	2.66	0.33	0.12	7.8E-16
RAE230A:1375111_at	1375111_at	no description	4.46	0.55	0.12	3.1E-04
RAE230A:1369654_at	1369654_at	"protein kinase, AMP-activated, alpha 2 catalytic subunit"	8.08	0.81	0.1	0.0E+00
RAE230A:1392890_at	1392890_at	Transcribed sequences	8.24	0.71	0.09	4.8E-15
RAE230A:1375005_at	1375005_at	Transcribed sequences	17.21	1.33	0.08	2.0E-04
RAE230A:1375535_at	1375535_at	Transcribed sequences	26.36	1.1	0.04	0.0E+00
