Biological pathways	Gene ID	Name of gene/protein	Fold change Postnatal treated	Adult treated	Postnatal + adult treated
Growth factor	VEGFC	Vascular endothelial growth factor	-1.1	-1.64	-2.16
Growth factor	PDGFA	Platelet-derived growth factor alpha polypeptide	1.11	1.78	2.45
Cytoskeleton	VIM	Vimentin	-1.18	-2.27	-1.99
Cytoskeleton	ITGB3	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	1.01	3.57	1.73
Cytoskeleton	JUP	Junction plakoglobin	-1.21	-1.51	-2.3
Cell adhesion	NCAM1	Neural cell adhesion molecule 1	-1.1	-4.53	-18.8
Energy metabolism	ATP6S14	ATPase, vacuolar, 14 kD	1.03	2.25	16.54
Energy metabolism	COX4	Cytochrome c oxidase subunit IV	1.14	2.05	5.2
Ion channel	KCNJ9	Potassium inwardly-rectifying channel, subfamily J, member 9	-1.07	-6.36	-1.83
DNA repair	ERCC2	Excision repair cross-complementing rodent repair	-1.1	-3.91	-8.86
DNA repair	NSEP1	Nuclease sensitive element binding protein 1	1.13	1.71	1.78
Ribosomal protein	RPS29	Ribosomal protein S29	-1.09	-2.15	-1.75
Ribosomal protein	LAMR1	Laminin receptor (2H5 epitope)	1.15	2.15	1.73
Cellular transport	SCAMP2	Secretory carrier membrane protein 2	-1.07	-1.7	-2.64
Cellular transport	COPG2	Coatomer protein complex, subunit gamma 2	-1.14	-2.96	-2.13
Cellular transport	RNP24	Coated vesicle membrane protein	-1.15	-1.89	-2.3
Proteasomal degradation system	UBB	Ubiquitin B	-1.19	-2.21	-2.29
Muscle movement	Nebuliin	Nebuliin	-1.13	-2.15	-1.92
Transcription factor	GATA-2	GATA-binding protein-2	-1.19	-1.89	-3.01
