	G.B.Acc	Name	Unigene	Symbol	Chromosome	Cytoband	Function	Ontology	Expt_75	Expt_76	Expt_92	Ratio
	AA150063	Complement component 1, s subcomponent	Hs.458355	C1S	12	12p13	-	calcium ion binding - chymotrypsin activity - complement activation, classical pathway - complement component C1s activity - extracellular region - proteolysis and peptidolysis - trypsin activity	0.185615104	0.217266867	0.203892559	0.202258177
	R24989	Leucine zipper-EF-hand containing transmembrane protein 1	Hs.120165	LETM1	4	4p16.3	-	calcium ion binding - development - integral to plasma membrane - mitochondrion - signal transduction	0.148746527	0.126250229	0.33501966	0.203338805
	BG740274	RNA binding motif protein 35B	Hs.436585	RBM35B	16	16q22.1	-	nucleic acid binding	0.171182289	0.093746489	0.348430021	0.204452933
	AA010333	zi08c12.r1 Soares_fetal_liver_spleen_1NFLS_S1 Homo sapiens cDNA	-	-	-	-	-	-	0.217929282	0.094663693	0.302597568	0.205063514
	AV711358	AV711358 Cu Homo sapiens cDNA clone CuAAEC12 5, mRNA sequence.	-	-	-	-	-	-	0.072136329	0.262620413	0.285287524	0.206681422
	R10182	Transcribed locus, moderately similar to XP_538167.1 LOC481044 [Canis familiaris]	Hs.130370	-	X	-	-	-	0.122066253	0.146190513	0.35185569	0.206704152
	W57953	V-raf-1 murine leukemia viral oncogene homolog 1	Hs.159130	RAF1	3	3p25	Raf-1 is a MAP kinase kinase kinase (MAP3K) which functions downstream of the Ras family of membrane associated GTPases to which it binds directly. Once activated Raf-1 can phosphorylate to activate the dual specificity protein kinases MEK1 and MEK2 which in turn phosphorylate to activate the serine/threonine specific protein kinases ERK1 and ERK2. Activated ERKs are pleiotropic effectors of cell physiology and play an important role in the control of gene expression involved in the cell division cycle, apoptosis, cell differentiation and cell migration. [Contributed text]	ATP binding|apoptosis|cell proliferation|diacylglycerol binding|intracellular signaling cascade|mitochondrial outer membrane|protein amino acid phosphorylation|protein binding|protein serine/threonine kinase activity|protein-tyrosine kinase activity|receptor signaling protein activity|transferase activity	0.155399913	0.10672562	0.3599381	0.207354544
	AA137130	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	Hs.533526	ATRX	X	Xq13.1-q21.1	The protein encoded by this gene contains an ATPase/helicase domain, and thus it belongs to the SWI/SNF family of chromatin remodeling proteins. The mutations of this gene are associated with an X-linked mental retardation (XLMR) syndrome most often accompanied by alpha-thalassemia (ATRX) syndrome. Theses mutations have been shown to cause diverse changes in the pattern of DNA methylation, which may provide a link between chromatin remodeling, DNA methylation, and gene expression in developmental processes. This protein is found to undergo cell cycle-dependent phosphorylation, which regulates its nuclear matrix and chromatin association, and suggests its involvement in the gene regulation at interphase and chromosomal segregation in mitosis. Three alternatively spliced transcript variants encoding distinct isoforms have been reported.	ATP binding - DNA binding - DNA helicase activity - DNA methylation - DNA recombination - DNA repair - chromosome organization and biogenesis (sensu Eukaryota) - helicase activity - hydrolase activity - nuclear heterochromatin - nucleus - perception of sound - regulation of transcription, DNA-dependent - transcription factor activity	0.157738839	0.149416884	0.323900752	0.210352158
	N44142	3-hydroxy-3-methylglutaryl-Coenzyme A reductase	Hs.643495	HMGCR	5	5q13.3-q14	HMG-CoA reductase is the rate-limiting enzyme for cholesterol synthesis and is regulated via a negative feedback mechanism mediated by sterols and non-sterol metabolites derived from mevalonate, the product of the reaction catalyzed by reductase. Normally in mammalian cells this enzyme is suppressed by cholesterol derived from the internalization and degradation of low density lipoprotein (LDL) via the LDL receptor.  Competitive inhibitors of the reductase induce the expression of LDL receptors in the liver, which in turn increases the catabolism of plasma LDL and lowers the plasma concentration of cholesterol, an important determinant of atherosclerosis.	biosynthesis - cholesterol biosynthesis - endoplasmic reticulum membrane - germ cell migration - gonad development - hydroxymethylglutaryl-CoA reductase (NADPH) activity - integral to membrane - lipid metabolism - membrane fraction - oxidoreductase activity - peroxisome	0.149422191	0.17360345	0.308540777	0.210522139
	AA134529	Anaphase promoting complex subunit 13	Hs.106909	ANAPC13	3	3q22.1	-	-	0.10671335	0.11090404	0.415136508	0.210917966
	N45997	MRNA; cDNA DKFZp434G1972 (from clone DKFZp434G1972)	Hs.102981	-	15	-	-	-	0.206249381	0.088271462	0.338572969	0.211031271
	R73318	Glycerophosphodiester phosphodiesterase domain containing 3	Hs.289015	GDPD3	16	16p11.2	-	glycerol metabolism - glycerophosphodiester phosphodiesterase activity	0.153840521	0.195092316	0.284272706	0.211068514
	AA127314	Hypothetical protein FLJ39575	Hs.396189	FLJ39575	7	7q31.1	-	-	0.161042705	0.179978588	0.292344911	0.211122068
	BM968507	protein phosphatase 1, regulatory (inhibitor) subunit 12A	Hs.49582	PPP1R12A	-	12q15-q21	-	-	0.138265376	0.118857638	0.383438437	0.213520484
	BQ067819	DTW domain containing 1	Hs.127432	DTWD1	15	15q21.2	-	-	0.158435053	0.104127942	0.380314406	0.214292467
	BI768209	Ankyrin 3, node of Ranvier (ankyrin G)	Hs.499725	ANK3	10	10q21	Ankyrins are a family of proteins that are believed to link the integral membrane proteins to the underlying spectrin-actin cytoskeleton and play key roles in activities such as cell motility, activation, proliferation, contact, and the maintenance of specialized membrane domains. Multiple isoforms of ankyrin with different affinities for various target proteins are expressed in a tissue-specific, developmentally regulated manner. Most ankyrins are typically composed of three structural domains: an amino-terminal domain containing multiple ankyrin repeats; a central region with a highly conserved spectrin binding domain; and a carboxy-terminal regulatory domain which is the least conserved and subject to variation. Ankyrin 3 is an immunologically distinct gene product from ankyrins 1 and 2, and was originally found at the axonal initial segment and nodes of Ranvier of neurons in the central and peripheral nervous systems. Alternatively spliced variants may be expressed in other tissues. Although multiple transcript variants encoding several different isoforms have been found for this gene, the full-length nature of only two have been characterized.	Golgi apparatus - cytoskeletal anchoring - cytoskeleton - cytoskeleton - endoplasmic reticulum - protein binding - protein targeting - signal transduction - structural constituent of cytoskeleton	0.277099376	0.127761369	0.240423961	0.215094902
	BM455686	F-box protein 33	Hs.324342	FBXO33	14	14q21.1	Members of the F-box protein family, such as FBXO33, are characterized by an approximately 40-amino acid F-box motif. SCF complexes, formed by SKP1 (MIM 601434), cullin (see CUL1; MIM 603134), and F-box proteins, act as protein-ubiquitin ligases. F-box proteins interact with SKP1 through the F box, and they interact with ubiquitination targets through other protein interaction domains (Jin et al., 2004 [PubMed 15520277]).[supplied by OMIM]	ubiquitin cycle	0.199151283	0.103664703	0.344592019	0.215802668
	AA149375	Cytochrome b-245, beta polypeptide (chronic granulomatous disease)	Hs.292356	CYBB	X	Xp21.1	Cytochrome b (-245) is composed of cytochrome b alpha (CYBA) and beta (CYBB) chain. It has been proposed as a primary component of the microbicidal oxidase system of phagocytes. CYBB deficiency is one of five described biochemical defects associated with chronic granulomatous disease (CGD). In this disorder, there is decreased activity of phagocyte NADPH oxidase; neutrophils are able to phagocytize bacteria but cannot kill them in the phagocytic vacuoles. The cause of the killing defect is an inability to increase the cells respiration and consequent failure to deliver activated oxygen into the phagocytic vacuole.	antimicrobial humoral response (sensu Vertebrata) - electron transport - electron transporter activity - inflammatory response - integral to membrane - membrane - mitochondrion - oxidoreductase activity - transport - voltage-gated ion channel activity	0.251032446	0.175514218	0.224805011	0.217117225
	AA047336	TATA element modulatory factor 1	Hs.267632	TMF1	3	3p21-p12	-	DNA binding - RNA polymerase II transcription factor activity - regulation of transcription, DNA-dependent - transcription - transcription cofactor activity - transcription from RNA polymerase II promoter	0.271992655	0.094713463	0.288643919	0.218450012
	BQ050022	DCP2 decapping enzyme homolog (S. cerevisiae)	Hs.443875	DCP2	5	5q22.2	-	RNA binding - hydrolase activity - mRNA catabolism, nonsense-mediated decay - manganese ion binding - nucleus	0.112066502	0.10692773	0.438100569	0.2190316
	W25190	TRAF-interacting protein with a forkhead-associated domain	Hs.310640	TIFA	4	4q25	-	nucleus	0.162416373	0.224396219	0.270323391	0.219045328
	R92833	Zinc finger protein 24 (KOX 17)	Hs.591057	ZNF24	18	18q12	-	negative regulation of transcription|nucleus|regulation of transcription, DNA-dependent|transcription|transcription factor activity|transcriptional repressor activity|zinc ion binding	0.178447713	0.094909238	0.385144518	0.21950049
	AA009870	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	Hs.381167	SERPINB1	6	6p25	-	cytoplasm - serine-type endopeptidase inhibitor activity	0.174875268	0.140811099	0.343284856	0.219657074
	H87076	HCV F-transactivated protein 1	Hs.173705	LOC401152	4	4q26	-	-	0.157166817	0.248588908	0.253636478	0.219797401
	BG287142	Hypermethylated in cancer 2	Hs.592456	HIC2	22	22q11.21	-	DNA binding - negative regulation of transcription, DNA-dependent - nucleus - protein C-terminus binding - transcription - zinc ion binding	0.155525128	0.161980765	0.344356389	0.220620761
	AA040636	Methionine-tRNA synthetase 2 (mitochondrial)	Hs.116602	MARS2	2	2q33.1	-	ATP binding - ligase activity - methionine-tRNA ligase activity - methionyl-tRNA aminoacylation - protein biosynthesis	0.162164739	0.196348834	0.303887685	0.220800419
	W16685	N-glycanase 1	Hs.368960	NGLY1	3	3p24.2	-	-	0.30703436	0.116180013	0.239644698	0.220953024
	T83058	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.184719728	0.078861432	0.40024503	0.221275397
	N53308	proline/serine-rich coiled-coil 1	Hs.405925	PSRC1	1	1p13.3	This gene encodes a proline-rich protein. Studies of the related mouse gene suggest that this gene is a p53 regulated gene and may participate in p53-mediated growth suppression. Two transcript variants encoding different isoforms have been found for this gene.	-	0.213777133	0.08648413	0.364131728	0.22146433
	N90843	Chromosome 6 open reading frame 155	Hs.368337	C6orf155	6	6q13	-	-	0.158549471	0.098062681	0.408053088	0.22155508
	AA203298	Homo sapiens transcribed sequence	-	-	-	-	-	-	0.228534523	0.168786222	0.26975664	0.222359128
	R52912	receptor accessory protein 1	Hs.368884	REEP1	2	2p11.2	-	receptor activity	0.160619563	0.170250692	0.336350948	0.222407068
	W31152	WD repeat domain 20	Hs.36859	WDR20	14	14q32.32	This gene encodes a WD repeat-containing protein. Multiple alternatively spliced transcript variants have been found for this gene, but the full-length nature of some variants has not been defined.	-	0.251487244	0.178553982	0.242171738	0.224070988
	W31529	methyltransferase like 7A	Hs.655369	METTL7A	12	12q13.12	-	S-adenosylmethionine-dependent methyltransferase activity - transferase activity	0.174103352	0.120988636	0.379911859	0.225001282
	H94763	SH3-domain GRB2-like endophilin B1	Hs.136309	SH3GLB1	1	1p22.3	-	acyltransferase activity - apoptosis - cytoplasm - lipid binding - protein binding - transferase activity	0.171147326	0.267035998	0.239568564	0.225917296
	AA043301	Collagen, type IV, alpha 1	Hs.17441	COL4A1	13	13q34	This gene encodes the major type IV alpha collagen chain of basement membranes. Like the other members of the type IV collagen gene family, this gene is organized in a head-to-head conformation with another type IV collagen gene so that each gene pair shares a common promoter.	collagen - collagen type IV - cytoplasm - extracellular matrix structural constituent - phosphate transport	0.16746114	0.174527792	0.3360312	0.226006711
	R56167	RIC3 protein	Hs.655660	RIC3	11	11p15.4	-	-	0.256394165	0.074485595	0.348618787	0.226499516
	R47818	Rap guanine nucleotide exchange factor (GEF) 3	Hs.8578	RAPGEF3	12	12q13.1	-	3,5-cAMP binding - cAMP-dependent protein kinase complex - cAMP-dependent protein kinase regulator activity - cell proliferation - guanyl-nucleotide exchange factor activity - membrane fraction - nucleotide binding - protein amino acid phosphorylation - small GTPase mediated signal transduction	0.218214604	0.14218027	0.322362702	0.227585859
	H06802	yl83b09.r1 Soares infant brain 1NIB Homo sapiens cDNA clone	-	-	-	-	-	-	0.21356751	0.156793191	0.31307077	0.22781049
	R73184	Major histocompatibility complex, class II, DQ beta 1	Hs.409934	HLA-DQB1	6	6p21.3	HLA-DQB1 belongs to the HLA class II beta chain paralogues. This class II molecule is a heterodimer consisting of an alpha (DQA) and a beta chain (DQB), both anchored in the membrane. It plays a central role in the immune system by presenting peptides derived from extracellular proteins. Class II molecules are expressed in antigen presenting cells (APC: B lymphocytes, dendritic cells, macrophages). The beta chain is approximately 26-28 kDa and it contains 6 exons. Exon one encodes the leader peptide, exons 2 and 3 encode the two extracellular domains, exon 4 encodes the transmembrane domain and exon 5 encodes the cytoplasmic tail. Within the DQ molecule both the alpha chain and the beta chain contain the polymorphisms specifying the peptide binding specificities, resulting in up to 4 different molecules. Typing for these polymorphisms is routinely done for bone marrow transplantation.	MHC class II receptor activity - MHC class II receptor activity - antigen presentation, exogenous antigen - antigen processing, exogenous antigen via MHC class II - immune response - immune response - integral to membrane - membrane - membrane	0.201855801	0.245227622	0.236416707	0.227833377
	W19961	Transcribed locus	Hs.54542	-	3	-	-	-	0.145407433	0.095421171	0.443752549	0.228193718
	AA151028	syndecan 4 (amphiglycan, ryudocan)	-	-	-	-	-	-	0.200154997	0.091906409	0.393795113	0.22861884
	N22132	Mitogen-activated protein kinase kinase kinase 4	Hs.390428	MAP3K4	6	6q26	The central core of each mitogen-activated protein kinase (MAPK) pathway is a conserved cascade of 3 protein kinases: an activated MAPK kinase kinase (MAPKKK) phosphorylates and activates a specific MAPK kinase (MAPKK), which then activates a specific MAPK. While the ERK MAPKs are activated by mitogenic stimulation, the CSBP2 and JNK MAPKs are activated by environmental stresses such as osmotic shock, UV irradiation, wound stress, and inflammatory factors. This gene encodes a MAPKKK, the MEKK4 protein, also called MTK1. This protein contains a protein kinase catalytic domain at the C terminus. The N-terminal nonkinase domain may contain a regulatory domain. Expression of MEKK4 in mammalian cells activated the CSBP2 and JNK MAPK pathways, but not the ERK pathway. In vitro kinase studies indicated that recombinant MEKK4 can specifically phosphorylate and activate PRKMK6 and SERK1, MAPKKs that activate CSBP2 and JNK, respectively but cannot phosphorylate PRKMK1, an MAPKK that activates ERKs. MEKK4 is a major mediator of environmental stresses that activate the CSBP2 MAPK pathway, and a minor mediator of the JNK pathway. Two alternatively spliced transcripts encoding distinct isoforms have been described.	ATP binding - JNK cascade - MAP kinase kinase kinase activity - activation of MAPKK - magnesium ion binding - protein amino acid phosphorylation - protein serine/threonine kinase activity - protein-tyrosine kinase activity - response to stress - transferase activity	0.150940617	0.219405912	0.315733016	0.228693182
	H25594	RAB27B, member RAS oncogene family	Hs.25318	RAB27B	18	18q21.2	-	GTP binding - GTPase activity - small GTPase mediated signal transduction	0.148490919	0.172447764	0.365971774	0.228970152
	BM966774	Bone morphogenetic protein 8b (osteogenic protein 2)	Hs.664022	BMP8B	1	1p34.2	The bone morphogenetic proteins (BMPs) are a family of secreted signaling molecules that can induce ectopic bone growth. Many BMPs are part of the transforming growth factor-beta (TGFB) superfamily. BMPs were originally identified by an ability of demineralized bone extract to induce endochondral osteogenesis in vivo in an extraskeletal site. Based on its expression early in embryogenesis, the BMP encoded by this gene has a proposed role in early development. In addition, the fact that this BMP is closely related to BMP5 and BMP7 has led to speculation of possible bone inductive activity.	cell differentiation - cytokine activity - extracellular region - growth - growth factor activity - skeletal development	0.116641149	0.146753493	0.423700356	0.229031666
	N32672	Dynein, cytoplasmic 1, intermediate chain 2	Hs.546250	DYNC1I2	2	2q31.1	-	cytoplasm - dynein complex - microtubule motor activity - microtubule-based movement	0.240479439	0.086501926	0.360556661	0.229179342
	AA045461	zk67a06.s1 Soares_pregnant_uterus_NbHPU Homo sapiens cDNA clone	-	-	-	-	-	-	0.098176882	0.091343483	0.498261139	0.229260501
	R46281	Family with sequence similarity 49, member A	Hs.467769	FAM49A	2	2p24.3-p24.2	-	-	0.29100434	0.175002378	0.222912834	0.229639851
	N36068	Nitrilase family, member 2	Hs.439152	NIT2	3	3q12.2	-	cellular_component unknown - hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds - nitrogen compound metabolism	0.195527934	0.163470931	0.330651493	0.229883453
	AL565941	Formin binding protein 4	Hs.6834	FNBP4	11	11p11.2	-	G-protein coupled receptor protein signaling pathway - actin cytoskeleton - cell adhesion - histamine receptor activity - integral to membrane - structural molecule activity	0.22716015	0.083097327	0.380791626	0.230349701
	N77560	Homo sapiens, clone IMAGE:5559366, mRNA	Hs.460540	-	X	-	-	-	0.207975086	0.161276279	0.32210036	0.230450575
	R69702	mastermind-like 2 (Drosophila)	Hs.428214	MAML2	11	11q21	-	-	0.185879996	0.091973323	0.41516717	0.23100683
	R77022	Microtubule associated serine/threonine kinase-like	Hs.276905	MASTL	10	10p12.1	-	ATP binding - protein amino acid phosphorylation - protein serine/threonine kinase activity - protein-tyrosine kinase activity - transferase activity	0.259762784	0.095965997	0.338090297	0.231273026
	N57120	KIAA1432	Hs.211520	KIAA1432	9	9p24.1	-	-	0.079389561	0.134692298	0.481898844	0.231993568
	N51155	Mitofusin 1	Hs.478383	MFN1	3	3q26.32	The protein encoded by this gene is a mediator of mitochondrial fusion. This protein and mitofusin 2 are homologs of the Drosophila protein fuzzy onion (Fzo). They are mitochondrial membrane proteins that interact with each other to facilitate mitochondrial targeting. Two alternatively spliced transcript variants encoding different isoforms have been found for this gene.	GTP binding - GTPase activity - hydrolase activity - integral to membrane - mitochondrial fusion - mitochondrial outer membrane - mitochondrion	0.171283724	0.092961513	0.432384628	0.232209955
	T96234	Clone DNA93013 RVLA1944 (UNQ1944) mRNA, complete cds	Hs.137552	-	17	-	-	-	0.258823157	0.106310161	0.33248312	0.232538813
	AA126378	Meningioma expressed antigen 5 (hyaluronidase)	Hs.500842	MGEA5	10	10q24.1-q24.3	-	glycoprotein catabolism - hyalurononglucosaminidase activity	0.19997942	0.108679883	0.389028154	0.232562486
	AI494175	Histone 1, H4j	Hs.278483	HIST1H4J	6	6p22-p21.3	Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a member of the histone H4 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the small histone gene cluster on chromosome 6p22-p21.3.	-	0.132692607	0.108258706	0.457844114	0.232931809
	AA058944	Methionine-tRNA synthetase 2 (mitochondrial)	Hs.116602	MARS2	2	2q33.1	-	ATP binding - ligase activity - methionine-tRNA ligase activity - methionyl-tRNA aminoacylation - protein biosynthesis	0.199591814	0.200180828	0.299748455	0.233173699
	BQ027022	Actin related protein 2/3 complex, subunit 5, 16kDa	Hs.518609	ARPC5	1	1q25.3	This gene encodes one of seven subunits of the human Arp2/3 protein complex. The Arp2/3 protein complex has been implicated in the control of actin polymerization in cells and has been conserved through evolution. The exact role of the protein encoded by this gene, the p16 subunit, has yet to be determined.	Arp2/3 protein complex - actin cytoskeleton organization and biogenesis - cell motility - cytoplasm - cytoskeleton - regulation of actin filament polymerization - structural constituent of cytoskeleton	0.262645468	0.084487559	0.355154718	0.234095915
	AA011522	Homo sapiens transcribed sequences	-	-	-	-	-	-	0.218914189	0.119814485	0.364447977	0.234392217
	W01762	yy69c10.r1 Soares_multiple_sclerosis_2NbHMSP Homo sapiens cDNA	-	-	-	-	-	-	0.242110492	0.143716229	0.318140144	0.234655622
	BM804585	Ribosomal protein L37	Hs.80545	RPL37	5	5p13	Ribosomes, the organelles that catalyze protein synthesis, consist of a small 40S subunit and a large 60S subunit. Together these subunits are composed of 4 RNA species and approximately 80 structurally distinct proteins. This gene encodes a ribosomal protein that is a component of the 60S subunit. The protein belongs to the L37E family of ribosomal proteins. It is located in the cytoplasm. The protein contains a C2C2-type zinc finger-like motif. As is typical for genes encoding ribosomal proteins, there are multiple processed pseudogenes of this gene dispersed through the genome.	protein biosynthesis - ribosome - structural constituent of ribosome	0.147552353	0.220519778	0.336928219	0.235000117
	T92153	Phosphatidylserine synthase 1	Hs.292579	PTDSS1	8	8q22	-	integral to membrane|phosphatidylserine biosynthesis|phospholipid biosynthesis|transferase activity	0.16781775	0.202433627	0.335046398	0.235099258
	BI004008	Neutrophil cytosolic factor 2 (65kDa, chronic granulomatous disease, autosomal 2)	Hs.587558	NCF2	1	1q25.3	This gene encodes neutrophil cytosolic factor 2, the 67-kilodalton cytosolic subunit of the multi-protein complex known as NADPH oxidase found in neutrophils. This oxidase produces a burst of superoxide which is delivered to the lumen of the neutrophil phagosome. Mutations in this gene, as well as in other NADPH oxidase subunits, can result in chronic granulomatous disease.	binding - cellular defense response - cytosol - electron transporter activity - soluble fraction - superoxide metabolism	0.156371468	0.108823168	0.44130896	0.235501199
	H25214	Chromosome 9 open reading frame 61	Hs.118003	C9orf61	9	9q13-q21	-	biological_process unknown - cellular_component unknown - molecular_function unknown	0.128569469	0.103777719	0.474668343	0.235671844
	W85686	Serine (or cysteine) proteinase inhibitor, clade C (antithrombin), member 1	Hs.75599	SERPINC1	1	1q25.1	-	blood coagulation|extracellular region|heparin binding|protein binding|serine-type endopeptidase inhibitor activity|serine-type endopeptidase inhibitor activity	0.149324161	0.279856121	0.278452883	0.235877722
