Affy ID	Gene Title	Gene Symbol	q-value	Fold-Change	non metastatic vs. Metastatic
Cfa.18463.1.S1_s_at	aurora kinase A	AURKA	0.000121604	-5.85437	non metastatic down vs metastatic
CfaAffx.29929.1.S1_at	acyl-CoA thioesterase 7	ACOT7	0.00030516	-5.75672	non metastatic down vs metastatic
CfaAffx.7108.1.S1_at	cyclin A2	CCNA2	0.000965136	-5.74691	non metastatic down vs metastatic
CfaAffx.20006.1.S1_at	cell division cycle 2, G1 to S and G2 to M	CDC2	0.000334282	-5.70241	non metastatic down vs metastatic
Cfa.231.1.A1_at	cell division cycle associated 2	CDCA2	0.000312561	-5.68919	non metastatic down vs metastatic
Cfa.1475.1.S1_at	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	TGM2	0.000680646	-5.68077	non metastatic down vs metastatic
CfaAffx.28162.1.S1_at	NDC80 homolog, kinetochore complex component (S. cerevisiae)	NDC80	0.000254759	-5.4992	non metastatic down vs metastatic
CfaAffx.11424.1.S1_at	extra spindle pole bodies homolog 1 (S. cerevisiae)	ESPL1	6.23E-05	-5.46365	non metastatic down vs metastatic
Cfa.12906.1.A1_s_at	solute carrier family 39 (zinc transporter), member 8	SLC39A8	0.000617896	-5.41346	non metastatic down vs metastatic
Cfa.15293.1.A1_at	kinesin family member 23	KIF23	0.00077128	-5.40304	non metastatic down vs metastatic
CfaAffx.5317.1.S1_at	deoxycytidine kinase	DCK	2.43E-05	-5.38988	non metastatic down vs metastatic
CfaAffx.9248.1.S1_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha	P4HA3	5.48E-05	-5.37038	non metastatic down vs metastatic
CfaAffx.2235.1.S1_at	defective in sister chromatid cohesion 1 homolog (S. cerevisiae)	DSCC1	3.05E-05	-5.32589	non metastatic down vs metastatic
CfaAffx.16308.1.S1_s_at	tubulin, alpha 3e	TUBA3E	1.98E-05	-5.32313	non metastatic down vs metastatic
CfaAffx.13791.1.S1_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrof	MTHFD2	2.10E-05	-5.30102	non metastatic down vs metastatic
CfaAffx.23752.1.S1_s_at	epithelial cell transforming sequence 2 oncogene	ECT2	0.000568577	-5.27106	non metastatic down vs metastatic
CfaAffx.13280.1.S1_s_at	PDZ binding kinase	PBK	0.000281002	-5.08177	non metastatic down vs metastatic
CfaAffx.27026.1.S1_s_at	polo-like kinase 1 (Drosophila)	PLK1	0.000468147	-5.05146	non metastatic down vs metastatic
CfaAffx.15029.1.S1_at	tetraspanin 4	TSPAN4	0.000872184	-5.04272	non metastatic down vs metastatic
Cfa.21063.1.S1_at	similar to Protein C21orf45	C21orf45	0.000201402	-4.97025	non metastatic down vs metastatic
CfaAffx.21868.1.S1_at	peptidylprolyl isomerase (cyclophilin)-like 5	PPIL5	2.37E-05	-4.95983	non metastatic down vs metastatic
Cfa.12063.1.A1_at	solute carrier family 4, sodium borate transporter, member 11	SLC4A11	2.37E-05	-4.94286	non metastatic down vs metastatic
Cfa.19571.1.S1_s_at	nucleolar and spindle associated protein 1	NUSAP1	8.86E-05	-4.93632	non metastatic down vs metastatic
CfaAffx.8071.1.S1_at	minichromosome maintenance complex component 10	MCM10	0.000143925	-4.88503	non metastatic down vs metastatic
Cfa.4549.1.A1_at	baculoviral IAP repeat-containing 5	BIRC5	0.000343067	-4.88179	non metastatic down vs metastatic
CfaAffx.12430.1.S1_at	centromere protein H	CENPH	0.000818864	-4.8534	non metastatic down vs metastatic
CfaAffx.5845.1.S1_at	cell division cycle associated 8	CDCA8	1.48E-05	-4.8217	non metastatic down vs metastatic
Cfa.19941.1.S1_s_at	minichromosome maintenance complex component 4	MCM4	0.00017838	-4.76991	non metastatic down vs metastatic
CfaAffx.2093.1.S1_at	G-2 and S-phase expressed 1	GTSE1	0.000372966	-4.7351	non metastatic down vs metastatic
CfaAffx.21576.1.S1_at	cell division cycle associated 5	CDCA5	2.20E-05	-4.72986	non metastatic down vs metastatic
Cfa.85.1.S1_s_at	RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)	RAD51	0.000518297	-4.70118	non metastatic down vs metastatic
CfaAffx.8781.1.S1_s_at	non-SMC condensin II complex, subunit G2	NCAPG2	0.000226362	-4.66587	non metastatic down vs metastatic
CfaAffx.10818.1.S1_s_at	non-SMC condensin I complex, subunit H	NCAPH	5.93E-05	-4.63356	non metastatic down vs metastatic
Cfa.10823.1.A1_s_at	folate hydrolase (prostate-specific membrane antigen) 1	FOLH1	0.000581203	-4.63175	non metastatic down vs metastatic
CfaAffx.4317.1.S1_s_at	centromere protein P	CENPP	0.000106384	-4.62276	non metastatic down vs metastatic
CfaAffx.26488.1.S1_at	similar to Zwilch	Zwilch	1.44E-05	-4.56222	non metastatic down vs metastatic
CfaAffx.30639.1.S1_s_at	ATM interactor	ATMIN	0.000235168	-4.52206	non metastatic down vs metastatic
Cfa.10679.1.S1_a_at	DPH3, KTI11 homolog (S. cerevisiae)	DPH3	4.17E-06	-4.50035	non metastatic down vs metastatic
CfaAffx.11953.1.S1_at	centromere protein K	CENPK	0.000139071	-4.49827	non metastatic down vs metastatic
CfaAffx.9177.1.S1_at	similar to CG9804-PA	CG9804-PA	9.96E-05	-4.43831	non metastatic down vs metastatic
CfaAffx.4364.1.S1_s_at	maternal embryonic leucine zipper kinase	MELK	0.000239435	-4.41379	non metastatic down vs metastatic
CfaAffx.30591.1.S1_at	immediate early response 5-like	IER5L	0.000117897	-4.39543	non metastatic down vs metastatic
CfaAffx.14615.1.S1_at	coagulation factor II (thrombin) receptor-like 1	F2RL1	0.000106879	-4.39541	non metastatic down vs metastatic
CfaAffx.15058.1.S1_at	similar to bone morphogenetic protein 6	BMP6	0.000490169	-4.37066	non metastatic down vs metastatic
CfaAffx.11383.1.S1_s_at	Ras association (RalGDS/AF-6) domain family member 4	RASSF4	2.47E-05	-4.27805	non metastatic down vs metastatic
CfaAffx.20470.1.S1_s_at	phosphatidylserine decarboxylase	PISD	0.000192511	-4.2397	non metastatic down vs metastatic
Cfa.3719.1.S1_s_at	glutaminyl-peptide cyclotransferase	QPCT	0.00063623	-4.23564	non metastatic down vs metastatic
CfaAffx.25205.1.S1_s_at	MAD2 mitotic arrest deficient-like 1 (yeast)	MAD2L1	0.000785624	-4.21277	non metastatic down vs metastatic
CfaAffx.20937.1.S1_at	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma po	YWHAG	0.000602793	-4.19692	non metastatic down vs metastatic
CfaAffx.22478.1.S1_s_at	CDC45 cell division cycle 45-like (S. cerevisiae)	CDC45L	0.000420765	-4.16757	non metastatic down vs metastatic
CfaAffx.5276.1.S1_s_at	sorting nexin 10	SNX10	0.000943973	-4.15965	non metastatic down vs metastatic
CfaAffx.1747.1.S1_at	F-box protein 5	FBXO5	0.000465723	-4.15441	non metastatic down vs metastatic
CfaAffx.18433.1.S1_at	SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)	SPC25	0.000499386	-4.12002	non metastatic down vs metastatic
CfaAffx.15203.1.S1_s_at	chromatin assembly factor 1, subunit B (p60)	CHAF1B	3.87E-05	-4.09056	non metastatic down vs metastatic
Cfa.19990.1.S1_s_at	similar to chromosome 15 open reading frame 23	C15orf23	0.000565661	-4.08926	non metastatic down vs metastatic
Cfa.18780.1.S1_s_at	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	PRPF3	1.39E-05	-4.01145	non metastatic down vs metastatic
CfaAffx.17148.1.S1_s_at	activator of basal transcription 1	ABT1	0.00033286	-3.99055	non metastatic down vs metastatic
CfaAffx.6951.1.S1_at	SCL/TAL1 interrupting locus	STIL	9.85E-05	-3.98482	non metastatic down vs metastatic
Cfa.20006.1.S1_s_at	similar to exonuclease NEF-sp	LOC81691	0.000592926	-3.95878	non metastatic down vs metastatic
Cfa.21584.1.S1_s_at	BCL2-associated transcription factor 1	BCLAF1	0.000187159	-3.91139	non metastatic down vs metastatic
Cfa.18144.1.S1_s_at	isoleucyl-tRNA synthetase	IARS	1.23E-05	-3.88846	non metastatic down vs metastatic
CfaAffx.24613.1.S1_s_at	flap structure-specific endonuclease 1	FEN1	1.23E-05	-3.83108	non metastatic down vs metastatic
CfaAffx.17004.1.S1_s_at	centrosomal protein 72kDa	CEP72	6.17E-05	-3.81508	non metastatic down vs metastatic
CfaAffx.7838.1.S1_s_at	CD300 molecule-like family member f	CD300LF	0.000686816	-3.80226	non metastatic down vs metastatic
CfaAffx.6762.1.S1_s_at	polo-like kinase 4 (Drosophila)	PLK4	0.000531938	-3.76375	non metastatic down vs metastatic
CfaAffx.15493.1.S1_s_at	similar to anti-silencing function 1B	ASF1B	0.000311445	-3.75074	non metastatic down vs metastatic
CfaAffx.23427.1.S1_s_at	similar to Ig lambda chain V-I region BL2 precursor	LOC129021	0.000313874	-3.74448	non metastatic down vs metastatic
CfaAffx.26239.1.S1_at	excision repair cross-complementing rodent repair deficiency, complementation gr	ERCC6L	0.000609116	-3.72638	non metastatic down vs metastatic
CfaAffx.31154.1.S1_at	centromere protein T	CENPT	7.96E-05	-3.70382	non metastatic down vs metastatic
CfaAffx.17386.1.S1_s_at	uracil-DNA glycosylase	UNG	0.000533676	-3.69617	non metastatic down vs metastatic
Cfa.4092.1.S1_at	MIF4G domain containing	MIF4GD	7.76E-06	-3.68726	non metastatic down vs metastatic
CfaAffx.24152.1.S1_s_at	2,3-cyclic nucleotide 3 phosphodiesterase	CNP	0.000155791	-3.66711	non metastatic down vs metastatic
Cfa.20425.1.S1_at	cyclin E1	CCNE1	1.80E-05	-3.63831	non metastatic down vs metastatic
CfaAffx.25383.1.S1_at	similar to RS21-C6 protein	RS21-C6 protein	0.00017369	-3.61793	non metastatic down vs metastatic
Cfa.20054.1.S1_s_at	similar to Cytochrome P450 51A1 (CYPLI) (P450LI) (Sterol 14-alpha demethylase) (	CYP51A1	0.000281062	-3.6083	non metastatic down vs metastatic
CfaAffx.3292.1.S1_at	triggering receptor expressed on myeloid cells 1	TREM1	0.00094018	-3.60214	non metastatic down vs metastatic
Cfa.21239.1.S1_s_at	procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha	P4HA1	0.000429879	-3.59495	non metastatic down vs metastatic
CfaAffx.3765.1.S1_s_at	COMM domain containing 8	COMMD8	1.67E-05	-3.56036	non metastatic down vs metastatic
CfaAffx.23012.1.S1_at	Wolf-Hirschhorn syndrome candidate 1	WHSC1	0.000451596	-3.5537	non metastatic down vs metastatic
Cfa.6525.2.A1_s_at	similar to CG4025-PA	CG4025-PA	0.000278617	-3.5497	non metastatic down vs metastatic
CfaAffx.3459.1.S1_at	minichromosome maintenance complex component 5	MCM5	0.000376502	-3.54567	non metastatic down vs metastatic
CfaAffx.21683.1.S1_at	CUB domain containing protein 1	CDCP1	0.000477195	-3.5453	non metastatic down vs metastatic
Cfa.4663.1.S1_s_at	adaptor-related protein complex 2, beta 1 subunit	AP2B1	0.000533921	-3.54302	non metastatic down vs metastatic
CfaAffx.474.1.S1_at	COMM domain containing 6	COMMD6	0.000235168	-3.53896	non metastatic down vs metastatic
Cfa.11970.1.A1_s_at	serine/threonine kinase 4	STK4	0.000229567	-3.52677	non metastatic down vs metastatic
CfaAffx.4735.1.S1_at	ubiquitin-conjugating enzyme E2S	UBE2S	0.000293506	-3.50713	non metastatic down vs metastatic
CfaAffx.26814.1.S1_at	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	SPC24	0.000167002	-3.50506	non metastatic down vs metastatic
CfaAffx.19073.1.S1_at	GPN-loop GTPase 2	GPN2	4.46E-06	-3.49063	non metastatic down vs metastatic
CfaAffx.3845.1.S1_s_at	tec protein tyrosine kinase	TEC	0.00027514	-3.48857	non metastatic down vs metastatic
CfaAffx.19087.1.S1_s_at	solute carrier family 26, member 6	SLC26A6	9.02E-05	-3.45828	non metastatic down vs metastatic
Cfa.15283.1.A1_at	ATPase, class V, type 10D	ATP10D	1.24E-05	-3.44204	non metastatic down vs metastatic
Cfa.18349.1.S1_at	methyltransferase 10 domain containing	METT10D	4.17E-06	-3.43724	non metastatic down vs metastatic
CfaAffx.11922.1.S1_s_at	StAR-related lipid transfer (START) domain containing 4	STARD4	1.39E-05	-3.43377	non metastatic down vs metastatic
CfaAffx.20046.1.S1_s_at	transferrin receptor (p90, CD71)	TFRC	0.000700646	-3.42077	non metastatic down vs metastatic
Cfa.17889.1.S1_s_at	nuclear prelamin A recognition factor	NARF	0.000121032	-3.4062	non metastatic down vs metastatic
Cfa.17911.1.S1_s_at	leucine-rich PPR-motif containing	LRPPRC	0.000402273	-3.39141	non metastatic down vs metastatic
CfaAffx.22747.1.S1_s_at	ERO1-like (S. cerevisiae)	ERO1L	0.000305849	-3.38286	non metastatic down vs metastatic
Cfa.20666.1.S1_s_at	RAD21 homolog (S. pombe)	RAD21	0.000323225	-3.38078	non metastatic down vs metastatic
CfaAffx.8309.1.S1_s_at	diaphanous homolog 3 (Drosophila)	DIAPH3	0.000620839	-3.37373	non metastatic down vs metastatic
CfaAffx.27241.1.S1_s_at	vaccinia related kinase 1	VRK1	9.21E-05	-3.37343	non metastatic down vs metastatic
Cfa.8412.1.S1_at	centrosomal protein 76kDa	CEP76	0.000103177	-3.37253	non metastatic down vs metastatic
CfaAffx.2073.1.S1_at	1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransf	AGPAT4	0.000334282	-3.37072	non metastatic down vs metastatic
CfaAffx.1386.1.S1_at	methyltransferase like 1	METTL1	0.000574595	-3.35123	non metastatic down vs metastatic
Cfa.6832.1.A1_at	solute carrier family 2 (facilitated glucose transporter), member 6	SLC2A6	5.68E-05	-3.34545	non metastatic down vs metastatic
Cfa.468.1.S1_s_at	NudC domain containing 1	NUDCD1	1.44E-05	-3.3383	non metastatic down vs metastatic
CfaAffx.30492.1.S1_at	GINS complex subunit 2 (Psf2 homolog)	GINS2	0.000410925	-3.32253	non metastatic down vs metastatic
CfaAffx.23160.1.S1_at	cytidine deaminase	CDA	0.000402851	-3.30391	non metastatic down vs metastatic
Cfa.18408.1.S1_s_at	protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform	PPP2R1B	0.000223079	-3.29945	non metastatic down vs metastatic
Cfa.17323.1.S1_s_at	nucleoporin 93kDa	NUP93	7.21E-05	-3.27147	non metastatic down vs metastatic
CfaAffx.14260.1.S1_s_at	OTU domain containing 6B	OTUD6B	0.000592139	-3.251	non metastatic down vs metastatic
CfaAffx.10563.1.S1_at	PRELI domain containing 2	PRELID2	0.000444333	-3.25037	non metastatic down vs metastatic
CfaAffx.738.1.S1_x_at	GINS complex subunit 1 (Psf1 homolog)	GINS1	0.000177003	-3.24697	non metastatic down vs metastatic
Cfa.3736.1.S1_s_at	neuroblastoma RAS viral (v-ras) oncogene homolog	NRAS	0.000156836	-3.24335	non metastatic down vs metastatic
CfaAffx.18496.1.S1_at	solute carrier family 19 (folate transporter), member 1	SLC19A1	9.15E-06	-3.24198	non metastatic down vs metastatic
CfaAffx.600.1.S1_at	serine/threonine/tyrosine interacting protein	STYX	0.000494843	-3.24045	non metastatic down vs metastatic
Cfa.20904.1.S1_s_at	acetyl-Coenzyme A acetyltransferase 2	ACAT2	7.71E-05	-3.23249	non metastatic down vs metastatic
CfaAffx.14608.1.S1_s_at	DNA cross-link repair 1B (PSO2 homolog, S. cerevisiae)	DCLRE1B	0.000590097	-3.23128	non metastatic down vs metastatic
Cfa.21039.1.S1_s_at	serine/threonine kinase 11	STK11	6.20E-05	-3.21795	non metastatic down vs metastatic
CfaAffx.23845.1.S1_s_at	similar to sarcoma antigen NY-SAR-48 isoform a	HAUS8	3.19E-05	-3.21045	non metastatic down vs metastatic
CfaAffx.29806.1.S1_at	mitochondrial ribosomal protein S34	MRPS34	0.000121032	-3.20889	non metastatic down vs metastatic
Cfa.1126.1.S1_s_at	cancer susceptibility candidate 5	CASC5	0.00073238	-3.18368	non metastatic down vs metastatic
Cfa.21180.1.S1_s_at	centromere protein C 1	CENPC1	1.97E-05	-3.18268	non metastatic down vs metastatic
Cfa.6777.1.S1_s_at	ethanolamine kinase 2	ETNK2	0.000802856	-3.1816	non metastatic down vs metastatic
Cfa.21020.1.S1_s_at	DnaJ (Hsp40) homolog, subfamily C, member 2	DNAJC2	3.00E-06	-3.17353	non metastatic down vs metastatic
CfaAffx.2202.1.S1_at	interferon regulatory factor 1	IRF1	0.000393193	-3.16015	non metastatic down vs metastatic
Cfa.11380.1.A1_at	dolichol kinase	DOLK	0.000568454	-3.1425	non metastatic down vs metastatic
CfaAffx.7630.1.S1_s_at	abhydrolase domain containing 5	ABHD5	0.000177003	-3.1377	non metastatic down vs metastatic
Cfa.11661.1.A1_s_at	ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)	UBE2J1	0.000278617	-3.13238	non metastatic down vs metastatic
CfaAffx.7939.1.S1_at	cell growth regulator with EF-hand domain 1	CGREF1	0.000162579	-3.12732	non metastatic down vs metastatic
CfaAffx.24312.1.S1_s_at	similar to R53.5	R53.5	0.000152672	-3.12216	non metastatic down vs metastatic
CfaAffx.16413.1.S1_at	tyrosyl-tRNA synthetase 2, mitochondrial	YARS2	2.11E-05	-3.09998	non metastatic down vs metastatic
CfaAffx.14723.1.S1_at	dpy-19-like 4 (C. elegans)	DPY19L4	8.65E-05	-3.0981	non metastatic down vs metastatic
Cfa.18376.1.S1_at	baculoviral IAP repeat-containing 3	BIRC3	0.00060771	-3.09433	non metastatic down vs metastatic
Cfa.18010.1.S1_s_at	CHK2 checkpoint homolog (S. pombe)	CHEK2	0.000314369	-3.09394	non metastatic down vs metastatic
CfaAffx.16314.1.S1_s_at	geminin, DNA replication inhibitor	GMNN	0.00028225	-3.0848	non metastatic down vs metastatic
CfaAffx.24324.1.S1_s_at	tetraspanin 14	TSPAN14	0.000574595	-3.07657	non metastatic down vs metastatic
CfaAffx.18548.1.S1_s_at	coiled-coil domain containing 117	CCDC117	9.99E-05	-3.07182	non metastatic down vs metastatic
CfaAffx.26063.1.S1_at	similar to CG3408-PA	CG3408-PA	0.000188896	-3.04915	non metastatic down vs metastatic
CfaAffx.30647.1.S1_at	spindle assembly 6 homolog (C. elegans)	SASS6	5.28E-05	-3.04331	non metastatic down vs metastatic
CfaAffx.27780.1.S1_at	dual specificity phosphatase 14	DUSP14	2.86E-05	-3.03355	non metastatic down vs metastatic
Cfa.14188.1.A1_a_at	replication factor C (activator 1) 3, 38kDa	RFC3	2.10E-05	-3.03253	non metastatic down vs metastatic
CfaAffx.3132.1.S1_s_at	transmembrane protein 209	TMEM209	0.000163666	-3.03028	non metastatic down vs metastatic
CfaAffx.14947.1.S1_at	adenosine deaminase	ADA	0.000533162	-3.00242	non metastatic down vs metastatic
CfaAffx.12224.1.S1_at	phosphoinositide-3-kinase, catalytic, beta polypeptide	PIK3CB	2.03E-05	-3.00216	non metastatic down vs metastatic
CfaAffx.31094.1.S1_s_at	synovial sarcoma, X breakpoint 2 interacting protein	SSX2IP	0.000362357	-2.99782	non metastatic down vs metastatic
CfaAffx.24708.1.S1_at	lin-9 homolog (C. elegans)	LIN9	4.59E-06	-2.9926	non metastatic down vs metastatic
Cfa.10513.1.A1_at	intercellular adhesion molecule 2	ICAM2	0.000420765	-2.98902	non metastatic down vs metastatic
CfaAffx.22815.1.S1_s_at	similar to myo-inositol 1-phosphate synthase A1	ISYNA1	0.000299782	-2.98739	non metastatic down vs metastatic
Cfa.15640.1.A1_s_at	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	CBX5	0.000264202	-2.9839	non metastatic down vs metastatic
Cfa.21045.1.S1_s_at	thymopoietin	TMPO	0.000114682	-2.98084	non metastatic down vs metastatic
Cfa.18131.1.S1_s_at	heat shock 105kDa/110kDa protein 1	HSPH1	0.000468976	-2.97437	non metastatic down vs metastatic
Cfa.20057.1.S1_s_at	kinesin family member 18A	KIF18A	0.000207502	-2.97129	non metastatic down vs metastatic
CfaAffx.20531.1.S1_s_at	similar to Membrane-bound transcription factor site 2 protease (S2P endopeptidas	MBTPS2	3.01E-05	-2.95817	non metastatic down vs metastatic
CfaAffx.22584.1.S1_s_at	DnaJ (Hsp40) homolog, subfamily C, member 9	DNAJC9	1.44E-05	-2.95624	non metastatic down vs metastatic
CfaAffx.21653.1.S1_s_at	FK506 binding protein 3, 25kDa	FKBP3	0.000200444	-2.95548	non metastatic down vs metastatic
Cfa.18455.1.S1_s_at	ATP citrate lyase	ACLY	0.000192511	-2.95539	non metastatic down vs metastatic
CfaAffx.22856.1.S1_s_at	SKI-like oncogene	SKIL	8.25E-05	-2.9526	non metastatic down vs metastatic
CfaAffx.24158.1.S1_s_at	exonuclease 1	EXO1	0.000603204	-2.94362	non metastatic down vs metastatic
Cfa.15094.1.S1_at	non-metastatic cells 1, protein (NM23A) expressed in /// NME1-NME2	NME1	7.11E-05	-2.94174	non metastatic down vs metastatic
CfaAffx.1261.1.S1_s_at	serine hydroxymethyltransferase 2 (mitochondrial)	SHMT2	5.27E-05	-2.93926	non metastatic down vs metastatic
CfaAffx.15646.1.S1_s_at	signal transducer and activator of transcription 4	STAT4	0.000603204	-2.93623	non metastatic down vs metastatic
Cfa.7788.1.A1_s_at	phosphatidylglycerophosphate synthase 1	PGS1	2.10E-05	-2.92524	non metastatic down vs metastatic
CfaAffx.6562.1.S1_at	Gen homolog 1, endonuclease (Drosophila)	GEN1	0.000503622	-2.92291	non metastatic down vs metastatic
CfaAffx.20898.1.S1_s_at	similar to ADP-ribosylation factor 2	ARL2	0.000323224	-2.91714	non metastatic down vs metastatic
CfaAffx.28106.1.S1_at	v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1	YES1	0.000497879	-2.91283	non metastatic down vs metastatic
CfaAffx.16348.1.S1_at	HIV-1 Rev binding protein	HRB	0.00027374	-2.89212	non metastatic down vs metastatic
Cfa.17896.1.S1_s_at	CDC5 cell division cycle 5-like (S. pombe)	CDC5L	0.000433712	-2.87965	non metastatic down vs metastatic
Cfa.17359.1.S1_at	THAP domain containing 5	THAP5	4.00E-05	-2.86279	non metastatic down vs metastatic
CfaAffx.15080.1.S1_at	translocase of outer mitochondrial membrane 34	TOMM34	0.000995907	-2.86216	non metastatic down vs metastatic
CfaAffx.15382.1.S1_at	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A	DYRK1A	9.96E-05	-2.85301	non metastatic down vs metastatic
Cfa.19466.1.S1_s_at	zinc finger protein 367	ZNF367	0.000102626	-2.84104	non metastatic down vs metastatic
CfaAffx.7221.1.S1_s_at	solute carrier family 1 (neutral amino acid transporter), member 5	SLC1A5	0.000791918	-2.83757	non metastatic down vs metastatic
CfaAffx.12827.1.S1_s_at	similar to basic FGF-repressed Zic binding protein isoform a	UQCC	0.000943278	-2.83365	non metastatic down vs metastatic
Cfa.18573.1.S1_at	coiled-coil domain containing 99	CCDC99	0.000281002	-2.83147	non metastatic down vs metastatic
CfaAffx.19687.1.S1_at	similar to MRG-binding protein	C20orf20	7.13E-05	-2.83095	non metastatic down vs metastatic
CfaAffx.8936.1.S1_at	G protein-coupled receptor 180	GPR180	0.000156526	-2.82907	non metastatic down vs metastatic
CfaAffx.29572.1.S1_s_at	potassium channel tetramerisation domain containing 5	KCTD5	5.62E-05	-2.82693	non metastatic down vs metastatic
CfaAffx.16993.1.S1_at	similar to pyroglutamyl-peptidase I /// similar to pyroglutamyl-peptidase I	PGPEP1	0.000913658	-2.82602	non metastatic down vs metastatic
CfaAffx.9824.1.S1_at	zinc finger, matrin type 2	ZMAT2	0.000613488	-2.82186	non metastatic down vs metastatic
Cfa.18685.1.S1_s_at	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrof	MTHFD1	0.000339127	-2.81565	non metastatic down vs metastatic
