Probe set ID	Gene symbol	Entrez gene ID	Biopsy Average signal intensity	Surgical Average signal intensity	Ratio (Surgical/Biopsy)
34303_at	ZCCHC24	219654	571.36	1532.05	2.68
38427_at	COL15A1	1306	674.28	1805.19	2.68
36792_at	TPM1	7168	3581.29	9587	2.68
38833_at	HLA-DPA1	3113	5040.97	13063.1	2.59
36638_at	CTGF	1490	3619.86	9374.79	2.59
2087_s_at	CDH11	1009	572.85	1477.3	2.58
31672_g_at	RBMS1	5937	732.87	1888.58	2.58
40949_at	DYNC1LI2	1783	484.1	1246.54	2.57
32306_g_at	COL1A2	1278	10004.56	25674.2	2.57
31690_at	GLUD2	2747	393.39	1002.07	2.55
40496_at	C1S	716	4504.86	11426.52	2.54
1717_s_at	BIRC3	330	746.13	1879.42	2.52
32249_at	CFH /// CFHR1	3075 /// 3078	768.86	1917.83	2.49
36976_at	CDH11	1009	478.53	1190.51	2.49
37542_at	LHFPL2	10184	978.27	2432.17	2.49
40078_at	PRSS23	11098	1182.27	2933.24	2.48
34375_at	CCL2	6347	1157.1	2860.03	2.47
718_at	HTRA1	5654	1691.33	4170.73	2.47
479_at	DAB2	1601	457.92	1122.47	2.45
33412_at	LGALS1	3956	7936.72	19399.55	2.44
1403_s_at	CCL5	6352	1325.68	3239.81	2.44
31897_at	FILIP1L	11259	428.46	1046.53	2.44
38096_f_at	HLA-DPB1	3115	3088.84	7518.44	2.43
1737_s_at	IGFBP4	3487	1639.34	3973.97	2.42
34777_at	ADM	133	2947.16	7099.22	2.41
33439_at	SIK1	150094	2041.01	4902.39	2.4
39071_at	ITGAV	3685	717.03	1722.07	2.4
32066_g_at	CREM	1390	463.53	1111.1	2.4
1104_s_at	HSPA1A /// HSPA1B	3303 /// 3304	5072.73	12155.68	2.4
39317_at	CMAH	8418	525.56	1255.67	2.39
31432_g_at	FCGRT	2217	1082.12	2572.44	2.38
41199_s_at	SFPQ	6421	459.83	1091.42	2.37
37759_at	LAPTM5	7805	1244.69	2950.16	2.37
581_at	LAMB1	3912	687.11	1616.78	2.35
36227_at	IL7R	3575	757.3	1780.73	2.35
1911_s_at	GADD45A	1647	924.83	2166.23	2.34
33813_at	TNFRSF1B	7133	1357.71	3161.15	2.33
36773_f_at	HLA-DQB1	3119	1601.78	3728.72	2.33
34268_at	RGS19	10287	575.1	1337.33	2.33
875_g_at	CCL2	6347	2137.19	4938.43	2.31
31692_at	HSPA1A	3303	2055.12	4737.04	2.3
37024_at	LITAF	9516	857.29	1969.94	2.3
38095_i_at	HLA-DPB1	3115	7877.02	18099.73	2.3
1519_at	ETS2	2114	1257.45	2887.37	2.3
38972_at	KCTD12	115207	1577.78	3600.2	2.28
317_at	LGMN	5641	1803.39	4114.96	2.28
35735_at	GBP1	2633	822.18	1866.86	2.27
33352_at	HIST2H2BE	8349	1216.88	2759.3	2.27
32593_at	RFTN1	23180	457.1	1034.57	2.26
1867_at	CFLAR	8837	1357.2	3062.11	2.26
40848_g_at	MICAL2	9645	678.27	1529.69	2.26
40008_at	CCL11	6356	678.72	1527.9	2.25
38125_at	SERPINE1	5054	1915.17	4298.29	2.24
34859_at	MAGED2	10916	798.48	1789.82	2.24
38422_s_at	FHL2	2274	977.05	2176	2.23
32250_at	CFH	3075	606.79	1349.84	2.22
33930_at	SCFD1	23256	561.94	1249.93	2.22
514_at	CBLB	868	462.43	1025.41	2.22
37344_at	HLA-DMA /// HLA-DMB	3108 /// 3109	1212.58	2683.69	2.21
40856_at	SERPINF1	5176	2721.35	5979.74	2.2
943_at	RUNX1	861	455.76	1001.17	2.2
37352_at	SP100	6672	537.55	1179.1	2.19
333_s_at	RBMS1	5937	1650.73	3607.51	2.19
1842_at	DDIT3 /// NR1H3	10062 /// 1649	1100.57	2395.13	2.18
39166_s_at	SERPINH1	871	3810.87	8291.91	2.18
39728_at	IFI30	10437	11064.71	24065.34	2.17
35366_at	NID1	4811	943.28	2043.22	2.17
39333_at	COL4A1	1282	3645.2	7891.87	2.17
33367_s_at	AZIN1	51582	900.92	1943.97	2.16
34800_at	LRIG1	26018	501.58	1080.38	2.15
40448_at	ZFP36	7538	6264.17	13485.9	2.15
36030_at	IFFO1	25900	479.51	1027.31	2.14
33339_g_at	STAT1	6772	1437.05	3072.38	2.14
1850_at	MLH1	4292	491.22	1048.96	2.14
37187_at	CXCL2	2920	639.53	1364.57	2.13
38566_at	COL10A1	1300	1085.19	2306.65	2.13
32587_at	ZFP36L2	678	2707.58	5739.47	2.12
39397_at	NR2F2	7026	655.01	1387.7	2.12
37242_at	FTO	79068	780.73	1653.88	2.12
39420_at	DDIT3 /// NR1H3	10062 /// 1649	1143.59	2415.19	2.11
39710_at	C5orf13	9315	1632.28	3439.8	2.11
34342_s_at	SPP1	6696	7361.19	15471.06	2.1
38864_at	NFATC2IP	84901	556.79	1170.1	2.1
2092_s_at	SPP1	6696	3605.64	7560.45	2.1
35016_at	CD74	972	4468.21	9357.85	2.09
32818_at	TNC	3371	6114.74	12730.97	2.08
34753_at	VAMP7	6845	898.36	1869.24	2.08
1495_at	LTBP1	4052	1318.71	2743.52	2.08
36103_at	CCL3	6348	802.36	1666.72	2.08
32034_at	ZNF217	7764	493.87	1021.06	2.07
39753_at	ITGA5	3678	1098.97	2265.52	2.06
442_at	HSP90B1	7184	4576.46	9420.36	2.06
33143_s_at	SLC16A3	9123	1136.9	2336.89	2.06
36927_at	IFI44L	10964	611.48	1255.6	2.05
1815_g_at	TGFBR2	7048	842.39	1718.33	2.04
35303_at	INSIG1	3638	571.99	1166.37	2.04
781_at	RABGGTB	5876	730.67	1488.19	2.04
34311_at	GLRX	2745	608.42	1238.99	2.04
39376_at	HIPK1	204851	696.21	1416.21	2.03
39409_at	C1R	715	2505.24	5076.18	2.03
41191_at	PALLD	23022	5730.64	11600.01	2.02
40928_at	WSB1	26118	1922.82	3872.37	2.01
32539_at	COPS8	10920	637.51	1281.98	2.01
37381_g_at	GTF2B	2959	710.44	1426.83	2.01
38797_at	SLC39A14	23516	2721.76	5465.58	2.01
31859_at	MMP9	4318	1130.57	2269.35	2.01
33849_at	NAMPT	10135	1290.18	2582.08	2
41215_s_at	ID2 /// ID2B	3398 /// 84099	1017.58	2035.85	2
32700_at	GBP2	2634	616.58	1233.51	2
