Gene name	Description	Entrez Gene ID	Fold Change	P-value
dcxr	Dicarbonyl/L-xylulose reductase	335062	1.6	1.59E-22
dedd1	Death effector domain-containing 1	58125	1.62	3.72E-13
DKEY-105N5.1	Novel protein similar to vertebrate S100 calcium binding protein A11 (S100A11)	100005433	2.03	3.19E-12
DKEY-20I6.3	Hypothetical LOC573816	573816	1.59	9.83E-11
dkfzp564o0523	Dkfzp564o0523 protein homolog (human)	402897	1.84	1.78E-13
dkk1	Dickkopf 1	30197	1.51	1.34E-09
Dock8	Similar to dedicator of cytokinesis 8	403040	1.6	4.14E-09
Dr.101170	Transcribed locus		3.66	6.60E-08
Dr.105658	Transcribed locus		2.76	2.16E-25
Dr.107716	Transcribed locus		1.74	4.76E-15
Dr.109930	Transcribed locus		1.5	5.40E-06
Dr.112733	Transcribed locus		14.59	6.11E-20
Dr.115379	Transcribed locus, weakly similar to XP_001095661.1  similar to Testis expressed sequence 264 protein precursor (Secreted protein ZSIG11) isoform 1 [Macaca mulatta]		1.51	1.09E-07
Dr.119809	Transcribed locus, weakly similar to NP_001036132.1  hormone receptor [Macaca mulatta]		1.87	3.16E-08
Dr.12016	Transcribed locus, moderately similar to XP_001103216.1  ectodermal-neural cortex (with BTB-like domain) [Macaca mulatta]		1.58	5.40E-11
Dr.122080	Transcribed locus		2.81	8.71E-19
Dr.122092	Transcribed locus		2.39	1.97E-07
Dr.122107	Transcribed locus		2.13	0
Dr.122174	Transcribed locus		1.68	1.63E-15
Dr.122689	Transcribed locus		1.83	0.00003
Dr.122708	Transcribed locus, strongly similar to XP_691320.2  hypothetical protein [Danio rerio]		1.51	8.42E-09
Dr.122710	Transcribed locus		1.54	6.32E-07
Dr.122716	Transcribed locus		2.09	3.84E-14
Dr.122812	Transcribed locus		1.52	4.84E-06
Dr.122871	Transcribed locus		2.31	6.93E-06
Dr.122919	Transcribed locus		1.6	8.05E-07
Dr.122944	Transcribed locus		1.69	2.53E-06
Dr.122965	Transcribed locus		1.79	9.14E-20
Dr.123009	Transcribed locus		2.68	0
Dr.123030	Transcribed locus		1.73	6.99E-11
Dr.123077	Transcribed locus, weakly similar to NP_001038735.1  protein LOC692298 [Danio rerio]		1.56	6.99E-23
Dr.123115	Transcribed locus		2.05	7.40E-09
Dr.123146	Transcribed locus		2.21	4.36E-15
Dr.123167	Transcribed locus		1.58	7.22E-22
Dr.123206	Transcribed locus		1.98	2.81E-06
Dr.123214	Transcribed locus		18.59	4.96E-32
Dr.123322	Transcribed locus		2.38	3.19E-10
Dr.123328	Transcribed locus		1.68	5.71E-08
Dr.123334	Transcribed locus		2.11	1.29E-14
Dr.123342	Transcribed locus		7.29	1.12E-17
Dr.123376	Transcribed locus		1.74	7.89E-14
Dr.123540	Transcribed locus		2.72	1.01E-16
Dr.123541	Transcribed locus		2.59	1.47E-37
Dr.123559	Transcribed locus, strongly similar to XP_001331660.1  hypothetical protein [Danio rerio]		1.74	0.00002
Dr.123669	Transcribed locus, weakly similar to NP_001012986.2  protein LOC139886 [Homo sapiens]		1.58	2.22E-07
Dr.123770	Transcribed locus		1.59	6.93E-13
Dr.123774	Transcribed locus		1.55	2.68E-09
Dr.123950	Transcribed locus		2.78	1.38E-22
Dr.124020	Transcribed locus		2.76	4.88E-17
Dr.124148	Transcribed locus, weakly similar to XP_507827.2  similar to KIAA1279 protein [Pan troglodytes]		2.07	3.71E-10
Dr.124893	Transcribed locus, weakly similar to XP_001097188.1  similar to neurofascin isoform 3 [Macaca mulatta]		1.54	1.94E-10
Dr.125518	Transcribed locus, strongly similar to XP_001343378.1  similar to interleukin-1 receptor type II [Danio rerio]		1.83	5.66E-06
Dr.125570	Transcribed locus, weakly similar to XP_001338456.1  similar to CC chemokine-1 [Danio rerio]		5.38	6.64E-07
Dr.125813	Transcribed locus		1.79	7.30E-15
Dr.125893	Transcribed locus		2.78	6.23E-06
Dr.126366	Transcribed locus		1.88	5.98E-13
Dr.127434	Transcribed locus		2.18	1.57E-29
Dr.127540	Transcribed locus		1.83	0.00002
Dr.127651	Transcribed locus		2.17	4.06E-40
Dr.128077	Transcribed locus		2.34	3.29E-20
Dr.128166	Transcribed locus		5.33	1.80E-14
Dr.128394	Transcribed locus		2.81	2.07E-13
Dr.128421	Transcribed locus		2.19	2.22E-10
Dr.128654	Transcribed locus, moderately similar to XP_697745.1  similar to NACHT, LRR and PYD containing protein 14 [Danio rerio]		2.26	1.15E-12
Dr.128964	Transcribed locus		2.93	0.00007
Dr.129477	Transcribed locus		2.81	1.29E-11
Dr.130426	Transcribed locus		3.13	1.04E-10
Dr.131342	Transcribed locus		2.37	3.41E-42
Dr.131969	Transcribed locus, moderately similar to XP_001332429.1  hypothetical protein [Danio rerio]		1.93	4.84E-11
Dr.132086	Transcribed locus		1.97	5.78E-20
Dr.132109	Transcribed locus		11.23	2.16E-43
Dr.132286	Transcribed locus		1.65	6.63E-09
Dr.132583	Transcribed locus		1.61	0.00001
Dr.132991	Transcribed locus		2.41	7.19E-16
Dr.133008	Transcribed locus		2.4	0
Dr.133131	Transcribed locus		1.68	2.22E-14
Dr.133192	Transcribed locus		4.85	2.62E-41
Dr.133265	Transcribed locus		3.19	9.13E-16
Dr.133359	Transcribed locus		1.61	9.63E-18
Dr.133397	Transcribed locus		1.67	4.85E-07
Dr.133492	Transcribed locus		2.66	2.08E-12
Dr.133494	Transcribed locus		3.7	0
Dr.133672	Transcribed locus		1.51	0.00003
Dr.133677	Transcribed locus		7.17	9.30E-10
Dr.134510	Transcribed locus		4.31	5.10E-21
Dr.134511	Transcribed locus		4.23	7.22E-12
Dr.134707	CDNA clone IMAGE:7074225		1.88	1.03E-06
Dr.134725	Transcribed locus		2.7	9.80E-10
Dr.134967	Transcribed locus		2.21	0.00002
Dr.135070	Transcribed locus, weakly similar to XP_001111465.1  similar to zinc finger CCCH-type containing 12A isoform 1 [Macaca mulatta]		1.78	2.46E-06
Dr.140310	Transcribed locus		3.24	0
Dr.140329	Transcribed locus		1.81	3.46E-24
Dr.140362	Transcribed locus		1.73	1.50E-10
Dr.140502	Transcribed locus		2.54	0
Dr.140503	Transcribed locus, weakly similar to NP_001074221.1  protein LOC559830 [Danio rerio]		6	1.17E-40
Dr.140588	Transcribed locus		1.77	6.98E-18
Dr.140603	Transcribed locus, weakly similar to XP_001114123.1  similar to Wdr45 like [Macaca mulatta]		2.17	3.43E-22
Dr.140779	Transcribed locus, strongly similar to NP_001002622.1  protein LOC436895 [Danio rerio]		1.62	0.00005
Dr.14084	Transcribed locus		5.33	3.71E-14
Dr.141516	Transcribed locus, strongly similar to XP_708111.1  hypothetical protein XP_703019 isoform 3 [Danio rerio]		2.21	3.90E-07
Dr.141555	Transcribed locus		1.51	2.27E-06
Dr.14609	Transcribed locus		1.7	1.19E-18
Dr.14694	Transcribed locus		2	2.33E-07
Dr.15033	CDNA clone IMAGE:6034066		3.27	1.99E-39
Dr.16155	Transcribed locus		1.5	1.27E-10
Dr.16239	Transcribed locus		2.63	4.60E-15
Dr.19019	Transcribed locus		2.04	0.00005
Dr.22827	Transcribed locus		1.54	2.18E-10
Dr.23039	Transcribed locus		2.76	2.48E-08
Dr.28338	Transcribed locus		1.55	9.15E-09
Dr.28772	Transcribed locus		2.9	1.10E-20
Dr.40661	Transcribed locus		2.02	2.49E-11
Dr.41210	Transcribed locus		1.59	0.00005
Dr.41304	Transcribed locus, weakly similar to XP_001088440.1  similar to leucine-rich repeats and immunoglobulin-like domains 1 [Macaca mulatta]		2.18	1.26E-16
Dr.41420	Transcribed locus		1.58	9.90E-09
Dr.43835	Transcribed locus, moderately similar to XP_001088707.1  similar to rTS beta protein isoform 3 [Macaca mulatta]		1.82	6.67E-07
Dr.51495	Transcribed locus		1.65	5.05E-14
Dr.74706	Transcribed locus, weakly similar to XP_001102400.1  similar to solute carrier family 43, member 1 isoform 1 [Macaca mulatta]		1.96	1.57E-07
Dr.75870	Transcribed locus		1.98	3.57E-29
Dr.76090	Transcribed locus		2.45	1.55E-12
Dr.76487	Transcribed locus		1.74	4.60E-11
Dr.76690	Transcribed locus		1.99	6.46E-11
Dr.77029	Transcribed locus		1.5	4.20E-44
Dr.77755	Transcribed locus		1.64	1.92E-20
Dr.77989	Transcribed locus, weakly similar to XP_001096004.1  dual specificity phosphatase 1 [Macaca mulatta]		2.33	0
Dr.78034	Transcribed locus		1.65	6.24E-11
Dr.78624	Transcribed locus		1.54	3.99E-06
Dr.7870	Transcribed locus		2.28	4.01E-08
Dr.79361	Transcribed locus		1.87	1.67E-06
Dr.79873	Transcribed locus		1.85	0.00009
Dr.80621	Transcribed locus		2.69	0.00004
Dr.81021	Transcribed locus		2.05	3.70E-10
Dr.81063	Transcribed locus		2.03	0
Dr.81405	Transcribed locus		1.69	1.03E-06
Dr.81561	Transcribed locus		1.87	4.43E-31
Dr.81575	Transcribed locus		2.16	0
Dr.81749	Transcribed locus		1.9	4.66E-07
Dr.82200	Transcribed locus		1.67	2.76E-17
Dr.83060	Transcribed locus		2.1	2.20E-35
Dr.83121	Transcribed locus		1.59	0.00004
Dr.83180	Transcribed locus		1.52	6.79E-28
Dr.83191	Transcribed locus		1.8	8.15E-10
Dr.83280	Transcribed locus		1.63	0.00006
Dr.83349	Transcribed locus		1.85	3.91E-06
Dr.83450	Transcribed locus, moderately similar to NP_001007398.1  protein LOC492525 [Danio rerio]		1.72	4.60E-08
Dr.83485	Transcribed locus		1.62	1.88E-08
Dr.83759	Transcribed locus		3.24	1.06E-38
Dr.84361	Transcribed locus		1.61	3.68E-06
Dr.84382	Transcribed locus		1.65	0.00007
Dr.84419	Transcribed locus		1.72	2.04E-13
Dr.84436	Transcribed locus		6.13	3.34E-08
Dr.84845	Transcribed locus		1.71	2.56E-17
Dr.85215	Transcribed locus		2.38	4.91E-13
Dr.86052	Transcribed locus		1.59	1.13E-06
Dr.86079	Transcribed locus		2.2	7.19E-41
Dr.86704	Transcribed locus, strongly similar to XP_696353.1  similar to trinucleotide repeat containing 15 [Danio rerio]		3.88	1.33E-28
Dr.89757	Transcribed locus		2.8	1.28E-37
Dr.9013	Transcribed locus		1.76	9.67E-08
Dr.90436	Transcribed locus		1.88	6.45E-07
Dr.90630	Transcribed locus		2.31	6.97E-08
Dr.92138	Transcribed locus		2.52	6.63E-07
Dr.93901	Transcribed locus		4.12	4.57E-12
Dr.9513	Transcribed locus		1.71	6.76E-12
Dr.95457	Transcribed locus		1.62	5.67E-08
Dr.9594	Transcribed locus		1.97	2.20E-15
Dr.96470	Transcribed locus		2.01	3.92E-06
Dr.98974	Transcribed locus		1.91	1.13E-07
dusp1	Dual specificity phosphatase 1	406340	2.08	0
dusp5	Dual specificity phosphatase 5	114436	2.41	0
efna1	Ephrin A1	494151	1.52	2.80E-14
egr2a	Early growth response 2a	368241	3.04	3.40E-33
elf3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	336816	1.94	2.07E-06
enc1	Ectodermal-neural cortex (with BTB-like domain)	327531	1.6	3.40E-13
exoc7	Exocyst complex component 7	406723	1.54	0
f5	Coagulation factor V	327320	2.22	0
faah2b	Fatty acid amide hydrolase 2b	768298	1.98	1.04E-24
fbxl2	F-box and leucine-rich repeat protein 2	378737	1.71	9.77E-16
fbxo32	F-box protein 32	393891	17.3	2.02E-41
fbxw4	F-box and WD-40 domain protein 4	58035	1.57	8.34E-25
fkbp5	FK506 binding protein 5	368924	2.06	7.50E-16
fkrp	Fukutin related protein	571426	1.89	0.00001
fos	V-fos FBJ murine osteosarcoma viral oncogene homolog	394198	4.8	0
foxa3	Forkhead box A3	30559	1.55	1.03E-11
foxi3a	Forkhead box I3a	387257	1.52	9.52E-06
foxi3b	Forkhead box I3b	387258	1.84	6.19E-20
foxk1	Forkhead box K1	334470	1.82	2.04E-06
fuca1	Fucosidase, alpha-L- 1, tissue	335494	2.02	6.25E-15
fut8	Fucosyltransferase 8 (alpha (1,6) fucosyltransferase)	445378	3.09	9.54E-14
g12	Gastrulation specific protein	30600	1.51	1.29E-19
gadd45a	Growth arrest and DNA-damage-inducible, alpha	431763	2.17	1.33E-26
gadd45b	Growth arrest and DNA-damage-inducible, beta	406304	3.24	5.29E-20
gadd45bl	Growth arrest and DNA-damage-inducible, beta like	497646	1.89	0
galnt14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	562739	2.34	2.99E-08
gata4	GATA-binding protein 4	30483	1.77	0.00002
gats	Opposite strand transcription unit to Stag3	327294	1.65	1.87E-12
gbp	Glycogen synthase kinase binding protein	30719	1.83	0
gc2	Guanylyl cyclase 2	140425	1.55	0.00004
gfra1a	Gdnf family receptor alpha 1a	79376	1.54	9.60E-06
glulb	Glutamate-ammonia ligase (glutamine synthase) b	336473	1.6	5.86E-20
guca1c	Guanylate cyclase activator 1C	373099	1.61	1.17E-22
h1fx	H1 histone family, member X	322508	2.25	2.52E-11
hamp1	Hepcidin antimicrobial peptide 1	402837	27.06	8.00E-19
has1	Hyaluronan synthase 1	403130	1.68	0.0001
hbae1	Hemoglobin alpha embryonic-1	30597	2.26	8.77E-06
hel_dr5	Helentron 5 helitron-like transposon replicase/helicase/endonuclease	386718	4.73	5.40E-13
hif1al	Hypoxia-inducible factor 1, alpha subunit, like	393376	1.61	4.68E-12
hist2h2l	Histone 2, H2, like	386920	1.57	5.85E-06
hm:zeh0377	Hm:zeh0377	321390	1.61	5.70E-07
homez	Homeodomain leucine zipper gene	368671	1.9	1.72E-16
hoxa13b	Homeo box A13b	30438	1.56	2.66E-38
hpse	Heparanase	492625	1.61	3.27E-06
hsf2	Heat shock factor 2	140427	1.95	1.25E-06
hspb11	Small heat shock protein HSPB11	796767	2.29	0
icn2	Ictacalcin-2	100005083	1.6	2.13E-07
id:ibd5036	Id:ibd5036	338252	1.78	1.14E-09
ifng1-2	Interferon, gamma 1-2	405790	1.67	1.18E-08
igfbp1	Insulin-like growth factor binding protein 1	317638	3.17	1.66E-21
ighv2-2	Immunoglobulin heavy variable 2-2	378757	2.82	4.62E-12
igiv1s4	Immunoglobulin light iota variable 1, s4	619525	4.07	1.84E-08
il1b	Interleukin 1, beta	405770	2.96	1.22E-27
ildr1	Immunoglobulin-like domain containing receptor 1	447904	2.55	3.04E-22
im:6904812	Im:6904812	553003	1.62	6.38E-18
im:6911408	Im:6911408	448897	1.65	2.76E-06
im:7136220	Im:7136220	497317	1.68	3.01E-14
im:7140950	Im:7140950	449948	1.51	1.59E-19
im:7144703	Im:7144703	492647	1.82	1.57E-11
im:7148262	Im:7148262	503936	1.69	2.01E-13
ing3	Inhibitor of growth family, member 3	393911	1.69	0
ivns1abpb	Influenza virus NS1A binding protein b	334334	1.52	3.12E-12
jun	V-jun sarcoma virus 17 oncogene homolog (avian)	335916	2.5	0
junb	Jun B proto-oncogene	407086	2.33	0
junbl	Jun B proto-oncogene, like	336038	2.1	0
kcnk5	Potassium channel, subfamily K, member 5	393606	1.63	6.55E-10
klf11	Kruppel-like factor 11	324847	1.52	3.26E-06
klf11b	Kruppel-like factor 11b	559076	3.72	0
klf2a	Kruppel-like factor 2a	117508	3	0
klf2b	Kruppel-like factor 2b	117509	1.64	1.03E-17
klhl21	Kelch-like 21 (Drosophila)	404613	1.99	9.12E-28
kptn	Kaptin (actin binding protein)	445248	1.97	0
limk2	LIM domain kinase 2	436924	1.7	5.04E-09
LOC100000242	Hypothetical protein LOC100000242	100000242	2.24	1.26E-29
LOC100000484	Hypothetical protein LOC100000484	100000484	5	7.20E-06
LOC100001298	Similar to Coronin, actin binding protein, 2A	100001298	1.61	1.09E-11
LOC100001701	Hypothetical protein LOC100001701	100001701	1.64	4.14E-10
LOC100001846	Hypothetical protein LOC100001846	100001846	2.09	0.00008
LOC100002033	Similar to POMT2	100002033	1.65	0.00004
LOC100003154	Hypothetical protein LOC100003154	100003154	1.59	0.00003
LOC100003387	Hypothetical protein LOC100003387	100003387	1.61	6.30E-11
LOC100003388	Hypothetical protein LOC100003388	100003388	2.09	4.85E-30
LOC100003573	Hypothetical protein LOC100003573	100003573	1.69	0.00004
LOC100003732	Hypothetical protein LOC100003732	100003732	3.72	2.36E-06
LOC100003900	Hypothetical protein LOC100003900	100003900	1.53	3.79E-06
LOC100003911	Hypothetical protein LOC100003911	100003911	2.33	2.36E-12
LOC100004573	Hypothetical protein LOC100004573	100004573	2.83	0.00005
LOC100004989	Hypothetical protein LOC100004989	100004989	2.77	9.47E-15
LOC100005297	Similar to epigen	100005297	1.7	4.93E-07
LOC100006212	Similar to MGC132380 protein	100006212	1.7	0.00003
LOC100007011	Similar to interferon-inducible protein Gig2	100007011	2.39	1.50E-07
LOC100007087	Similar to Jun dimerization protein 1 JDP-1	100007087	22.36	0
LOC100007152	Hypothetical protein LOC100007152	100007152	2.32	3.13E-13
LOC100007403	Hypothetical protein LOC100007403	100007403	2.36	7.04E-14
LOC100007612	Hypothetical protein LOC100007612	100007612	1.67	4.90E-12
LOC402795	Hypothetical protein LOC402795	402795	1.57	1.22E-08
LOC402829	Hypothetical protein LOC402829	402829	1.99	1.60E-18
LOC407646	Hypothetical protein LOC407646	407646	1.71	2.29E-12
LOC553334	Hypothetical protein LOC553334	553334	4.15	8.32E-06
LOC553366	Hypothetical protein LOC553366	553366	2.51	1.54E-24
LOC553974	NaPi-2b1 antisense	553974	2.13	3.42E-06
LOC553977	Granulin 1	553977	2.5	1.08E-14
LOC555064	Hypothetical LOC555064	555064	1.82	8.19E-09
LOC555414	Similar to Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	555414	1.65	5.94E-15
LOC555795	Similar to tumor protein p53 inducible nuclear protein 2	555795	2.45	0
LOC555838	Hypothetical LOC555838	555838	2	0.00004
LOC557059	Similar to prolyl 4-hydroxylase, alpha I subunit isoform 1 precursor	557059	2.55	5.36E-12
LOC557196	Similar to solute carrier family 24 (sodium/potassium/calcium exchanger), member 3	557196	1.66	1.84E-07
LOC557444	Hypothetical LOC557444	557444	1.7	3.98E-10
LOC558353	Hypothetical LOC558353	558353	4.52	9.84E-38
LOC558391	Similar to sidekick-1	558391	2.6	4.60E-42
LOC558848	Hypothetical LOC558848	558848	2.01	3.10E-10
LOC558951	Hypothetical LOC558951	558951	3.92	5.93E-12
LOC559122	Hypothetical LOC559122	559122	1.9	8.59E-06
LOC559141	Similar to PERQ amino acid rich with GYF domain protein 1 (Grb10-interacting GYF domain-containing protein 1)	559141	1.61	1.97E-08
LOC559667	Hypothetical LOC559667	559667	1.52	0.00002
LOC559754	Hypothetical LOC559754	559754	1.55	1.42E-25
LOC560275	Similar to SNF1/AMP-activated protein kinase	560275	1.97	9.30E-14
LOC560532	Hypothetical LOC560532	560532	1.75	2.54E-14
LOC560548	Similar to TRAF2 binding protein	560548	2.82	2.67E-30
LOC560773	Hypothetical LOC560773	560773	1.8	1.62E-06
LOC561001	Hypothetical LOC561001	561001	2.75	1.33E-39
LOC561538	Hypothetical LOC561538	561538	2.6	0.00002
LOC561690	Hypothetical LOC561690	561690	2	7.97E-07
LOC562246	Similar to chemokine CXC-like protein	562246	1.78	4.74E-16
LOC562579	Similar to complement C4-2	562579	2.11	0.00002
LOC562858	Similar to cardiac titin fetal N2BA isoform middle Ig	562858	1.56	2.24E-06
LOC563964	Similar to CXC chemokine	563964	1.96	3.13E-06
LOC564023	Similar to CG6282-PA, isoform A	564023	1.86	1.33E-14
LOC564158	Hypothetical LOC564158	564158	2.69	1.46E-08
LOC564267	Hypothetical LOC564267	564267	2.17	7.81E-06
LOC564559	Similar to CCCH zinc finger protein C3H-1	564559	2.32	0
LOC565274	Similar to putative transmembrane 4 superfamily member protein	565274	1.68	1.07E-10
LOC565728	Similar to novel GTPase activating protein	565728	1.87	8.85E-07
LOC565869	Hypothetical LOC565869	565869	2.31	1.08E-15
LOC566383	Similar to Elastase inhibitor	566383	1.51	0.00007
LOC566384	Similar to H01CJC protein	566384	1.51	1.43E-06
LOC567090	Similar to Centrosomal protein of 27 kDa (Cep27 protein)	567090	3.08	1.30E-22
LOC567163	Similar to Heme oxygenase 2 (HO-2)	567163	1.79	1.46E-12
LOC567340	Hypothetical LOC567340	567340	4.14	0
LOC567444	Similar to Interleukin-1 receptor-associated kinase-3 (IRAK-3) (IL-1 receptor-associated kinase M) (IRAK-M)	567444	2.78	0.00001
LOC567537	Similar to interleukin-8	567537	1.85	6.92E-10
LOC567756	Similar to fmHP	567756	1.7	0.00004
LOC568005	Similar to B-type natriuretic peptide	568005	6.48	6.06E-14
LOC568288	Similar to 1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase epsilon 1 (Phospholipase C-epsilon-1) (PLC-epsilon-1) (Phosphoinositide-specific phospholipase C epsilon-1)	568288	1.97	4.99E-09
LOC569249	Hypothetical LOC569249	569249	2.01	5.74E-16
LOC569366	Hypothetical LOC569366	569366	2.63	2.81E-10
LOC569376	Similar to phospholipase c beta-2	569376	1.7	0.00002
LOC569481	Hypothetical LOC569481	569481	4.14	5.16E-10
LOC569969	Hypothetical LOC569969	569969	10.48	0
LOC570060	Hypothetical LOC570060	570060	2.8	2.45E-09
LOC570832	Similar to complement protein component C7-1	570832	4.63	9.36E-15
LOC571448	Similar to caspase recruitment domain protein	571448	3.48	5.18E-31
LOC571952	Similar to Stx1b2-prov protein	571952	2.03	4.10E-12
LOC571990	Hypothetical LOC571990	571990	1.92	1.08E-09
LOC572001	Hypothetical LOC572001	572001	1.87	1.24E-12
LOC573723	Hypothetical LOC573723	573723	1.51	1.01E-17
LOC792230	Hypothetical protein LOC792230	792230	1.92	3.26E-12
LOC792364	Similar to Cfb protein	792364	2.78	3.13E-12
LOC792456	Hypothetical protein LOC792456	792456	1.67	2.59E-06
LOC792601	Similar to ovary-specific C1q-like factor	792601	5.23	4.49E-14
LOC792645	Hypothetical protein LOC792645	792645	1.56	1.19E-06
LOC793301	Similar to Solute carrier family 15 (oligopeptide transporter), member 1	793301	2.19	1.69E-09
LOC793904	Hypothetical protein LOC793904	793904	1.54	2.65E-07
LOC794012	Hypothetical protein LOC794012	794012	1.55	3.08E-15
LOC794083	Hypothetical protein LOC794083	794083	7.05	2.52E-44
LOC794398	Hypothetical protein LOC794398	794398	2.47	2.62E-13
LOC794927	Hypothetical protein LOC794927	794927	1.57	6.99E-09
LOC795099	Hypothetical protein LOC795099	795099	3.41	2.42E-20
LOC795305	Hypothetical protein LOC795305	795305	12.55	0
LOC795529	Hypothetical protein LOC795529	795529	2.54	1.37E-19
LOC795785	Hypothetical protein LOC795785	795785	3.96	4.32E-43
LOC796152	Similar to m-cadherin	796152	1.96	0.00006
LOC796302	Hypothetical protein LOC796302	796302	2.51	2.47E-09
LOC796734	Hypothetical protein LOC796734	796734	1.96	1.64E-15
LOC797085	Similar to BACR44L22.4-like protein	797085	1.59	0.00004
LOC797178	Hypothetical protein LOC797178	797178	1.7	8.71E-07
LOC797263	Hypothetical protein LOC797263	797263	1.76	4.63E-12
LOC797869	Hypothetical protein LOC797869	797869	1.84	6.98E-07
LOC798011	Hypothetical protein LOC798011	798011	10.15	3.86E-35
LOC798012	Similar to Uncoupling protein 2	798012	1.99	1.06E-09
LOC798216	Similar to ubiquitin	798216	1.51	1.03E-10
LOC798292	Hypothetical protein LOC798292	798292	1.92	2.13E-10
LOC798571	Hypothetical protein LOC798571	798571	3.72	0
LOC798623	Similar to LOC495244 protein	798623	2.34	9.59E-06
LOC799803	Hypothetical protein LOC799803	799803	1.67	5.97E-08
LOC799819	Hypothetical protein LOC799819	799819	1.57	5.78E-08
LOC799873	Similar to Spinster-like	799873	1.55	0.00001
