Rank	GenBank	Name	Symbol	Rank	HepG2	Hep3B
37	AL080157	WD repeat domain 21	WDR21	0.33	0.52	1.58
38	BG427872	Ubiquitin specific protease 46	USP46	0.33	0.52	1.57
39	AF208850	Protein tyrosine phosphatase type IVA, member 2	PTP4A2	0.33	0.47	1.44
40	AL512725	Midnolin	MIDN	0.33	0.43	1.32
41	BE888791	Hepatocellular carcinoma related protein 1	FLJ32642	0.33	0.39	1.2
42	AA400519	Polyhomeotic like 3 (Drosophila)	PHC3	0.32	0.37	1.14
43	NM_021170	bHLH factor Hes4	Hes4	0.32	0.45	1.41
44	NM_014501	Ubiquitin-conjugating enzyme E2S	UBE2S	0.32	0.4	1.27
45	NM_014595	5, 3-nucleotidase, cytosolic	NT5C	0.31	0.37	1.17
46	D30612	Zinc finger protein 282	ZNF282	0.31	0.49	1.55
47	BC001043	Splicing factor 4	SF4	0.31	0.42	1.36
48	NM_018688	Bridging integrator 3	BIN3	0.31	0.41	1.35
49	NM_001439	Exostoses (multiple)-like 2	EXTL2	0.3	0.46	1.53
50	BG340148	HESB like domain containing 1	HBLD1	0.3	0.45	1.52
51	NM_005186	Calpain 1, (mu/I) large subunit	CAPN1	0.3	0.38	1.3
52	NM_003739	Aldo-keto reductase family 1, member C3	AKR1C3	0.29	0.47	1.6
53	NM_002673	Plexin B1	PLXNB1	0.29	0.44	1.53
54	NM_007246	Kelch-like 2, Mayven (Drosophila)	KLHL2	0.29	0.5	1.73
55	NM_002226	Jagged 2	JAG2	0.28	0.46	1.61
56	NM_002661	Phospholipase C, Á 2	PLCG2	0.28	0.48	1.72
57	NM_012116	Cas-Br-M ecotropic retroviral transforming sequence C	CBLC	0.27	0.45	1.63
58	NM_001703	Brain-specific angiogenesis inhibitor 2	BAI2	0.27	0.5	1.85
59	BF115152	G protein-coupled receptor 110	GPR110	0.27	0.37	1.36
60	NM_000819	Phosphoribosylglycinamide formyltransferase	GART	0.27	0.54	2.02
61	AF207881	Cytosolic ovarian carcinoma antigen 1	COVA1	0.26	0.55	2.16
62	NM_012164	F-box and WD-40 domain protein 2	FBXW2	0.24	0.17	0.68
63	NM_015953	Nitric oxide synthase interacting protein	NOSIP	0.24	0.43	1.8
64	BG254520	MADS box transcription enhancer factor 2A	MEF2A	0.23	0.33	1.44
65	NM_005652	Telomeric repeat binding factor 2	TERF2	0.22	0.39	1.79
66	AF277181	PNAS-123	LOC85028	0.22	0.37	1.71
67	NM_003686	Exonuclease 1	EXO1	0.19	0.2	1.05
68	NM_005873	Regulator of G-protein signalling 19	RGS19	0.19	0.34	1.8
69	D87452	Inositol hexaphosphate kinase 1	IHPK1	0.18	0.48	2.72
70	NM_016434	Tumor necrosis factor receptor superfamily, member 6b	TNFRSF6B	0.15	0.54	3.64
