probeset	interaction.pvalue	FDR	OR.T/FAC	OR.LCI.T/FAC	OR.UCI.T/FAC	OR.p.valT/FAC	OR.FAC	OR.LCI.FAC	OR.UCI.FAC	OR.p.valFAC	accNum	entrezID	geneSymbol	geneName	ChrLoc
205354_at	0.462429129	NA	0.021586038	0.00027477	1.6958106	0.084928241	0.00077951	3.49945E-07	1.736376652	0.068804824	NM_000156	2593	GAMT	guanidinoacetate N-methyltransferase	19:-1348088; 19:-1349607
212745_s_at	0.472983466	NA	0.127421942	0.003074756	5.280533698	0.278248775	3.863281712	0.000754023	19793.75042	0.756465169	AI813772	585	BBS4	Bardet-Biedl syndrome 4	15:70765587
203930_s_at	0.506788111	NA	0.000476202	3.37327E-07	0.672251712	0.038703792	0.025815367	2.37441E-06	280.6733131	0.440602143	NM_016835	4137	MAPT	microtubule-associated protein tau	17:41327623
212207_at	0.527859884	NA	0.004154134	1.57956E-05	1.092505688	0.053745855	0.078535722	5.70407E-05	108.1307964	0.49022634	BG426689	23389	MED13L	mediator complex subunit 13-like	12:-114880765
202204_s_at	0.635808888	NA	0.013271063	0.000169109	1.041462235	0.052167523	0.079323579	0.000201265	31.2633712	0.405930092	AF124145	267	AMFR	autocrine motility factor receptor	16:-54952865
208945_s_at	0.659849843	NA	0.002997276	5.6177E-06	1.599171219	0.069760615	0.042310364	1.96389E-06	911.5417326	0.534422513	NM_003766	8678	BECN1	beclin 1, autophagy related	17:-38215677
215616_s_at	0.787350715	NA	0.020164196	5.32639E-05	7.633594826	0.197426623	0.004236408	2.70865E-07	66.25875053	0.267464524	AB020683	23030	JMJD2B	jumonji domain containing 2B	19:4920131
204825_at	0.859694567	NA	5.855282708	0.920344572	37.25163014	0.061196367	4.273400181	0.221096776	82.59708464	0.336440185	NM_014791	9833	MELK	maternal embryonic leucine zipper kinase	9:36562904
201508_at	0.875027348	NA	0.462236868	0.115567313	1.848817938	0.275235488	0.372088015	0.036522325	3.790818066	0.4038397	NM_001552	3487	IGFBP4	insulin-like growth factor binding protein 4	17:35853201
203693_s_at	0.881412401	NA	8.48436819	0.993238471	72.47454232	0.050724794	11.5923532	0.351783013	382.0043826	0.169403598	NM_001949	1871	E2F3	E2F transcription factor 3	6:20510376
203929_s_at	0.917424296	NA	0.067778747	0.007409804	0.619983839	0.01715715	0.084398757	0.002534589	2.810376776	0.166894035	AI056359	4137	MAPT	microtubule-associated protein tau	17:41327623
213234_at	0.959887556	NA	0.021408764	0.00027767	1.650647604	0.082929966	0.017408074	1.9578E-05	15.47869034	0.242298873	AB040900	57613	KIAA1467	KIAA1467	12:13088581
