Molecules	Category	P-value
EPOR	Hematological System Development and Function	0.00537-0.0473
EPOR	Hepatic System Development and Function	0.00537-0.0265
GSK3B	Hepatic System Development and Function	0.00537-0.0265
TPI1	Metabolic Disease	0.00537-0.00537
BTD	Metabolic Disease	0.00537-0.00537
EPOR	Nervous System Development and Function	0.00537-0.0213
GSK3B	Nervous System Development and Function	0.00537-0.0213
EIF4EBP1	Nervous System Development and Function	0.00537-0.0213
UNG	Nucleic Acid Metabolism	0.00537-0.0107
NUDT15	Nucleic Acid Metabolism	0.00537-0.0107
EPOR	Organ Development	0.00537-0.0265
GSK3B	Organ Development	0.00537-0.0265
STAR	Organ Development	0.00537-0.0265
FBL	RNA Damage and Repair	0.00537-0.00537
EPOR	Reproductive System Development and Function	0.00537-0.0265
STAR	Reproductive System Development and Function	0.00537-0.0265
EPOR	Reproductive System Disease	0.00537-0.0473
PTTG1	Reproductive System Disease	0.00537-0.0473
LSM1	Reproductive System Disease	0.00537-0.0473
TPI1	Reproductive System Disease	0.00537-0.0473
GSK3B	Reproductive System Disease	0.00537-0.0473
BRF2	Reproductive System Disease	0.00537-0.0473
ASH2L	Reproductive System Disease	0.00537-0.0473
STAR	Reproductive System Disease	0.00537-0.0473
EPOR	Respiratory Disease	0.00537-0.037
PTTG1	Respiratory Disease	0.00537-0.037
GSK3B	Respiratory Disease	0.00537-0.037
TPI1	Respiratory Disease	0.00537-0.037
STK35	Respiratory Disease	0.00537-0.037
TUBB	Respiratory Disease	0.00537-0.037
ALDOC	Respiratory Disease	0.00537-0.037
PAK2	Skeletal and Muscular System Development and Function	0.00537-0.0421
EPOR	Skeletal and Muscular System Development and Function	0.00537-0.0421
GSK3B	Skeletal and Muscular System Development and Function	0.00537-0.0421
HYAL2	Small Molecule Biochemistry	0.00537-0.0473
SLC7A1	Small Molecule Biochemistry	0.00537-0.0473
ALDH3B1	Small Molecule Biochemistry	0.00537-0.0473
PIK3CB	Small Molecule Biochemistry	0.00537-0.0473
ACO1	Small Molecule Biochemistry	0.00537-0.0473
OLR1	Small Molecule Biochemistry	0.00537-0.0473
NUDT15	Small Molecule Biochemistry	0.00537-0.0473
UNG	Small Molecule Biochemistry	0.00537-0.0473
STAR	Small Molecule Biochemistry	0.00537-0.0473
EPOR	Tissue Development	0.00537-0.016
OLR1	Tissue Development	0.00537-0.016
EPOR	Tissue Morphology	0.00537-0.0473
EIF4EBP1	Tissue Morphology	0.00537-0.0473
EIF4EBP1	Tumor Morphology	0.00537-0.016
GSK3B	Vitamin and Mineral Metabolism	0.00537-0.00537
PTTG1	Immunological Disease	0.00666-0.0399
TPI1	Immunological Disease	0.00666-0.0399
TUBB	Immunological Disease	0.00666-0.0399
PTTG1	Cell Morphology	0.0105-0.016
EMD	Cell Morphology	0.0105-0.016
OLR1	Cell Morphology	0.0105-0.016
STAR	Endocrine System Development and Function	0.0107-0.0421
PIK3CB	Lipid Metabolism	0.0107-0.0473
OLR1	Lipid Metabolism	0.0107-0.0473
STAR	Lipid Metabolism	0.0107-0.0473
EPOR	Organ Morphology	0.0107-0.0213
PTTG1	Organ Morphology	0.0107-0.0213
GSK3B	Organ Morphology	0.0107-0.0213
EPOR	Organismal Injury and Abnormalities	0.0107-0.016
OLR1	Organismal Injury and Abnormalities	0.0107-0.016
STAR	Organismal Injury and Abnormalities	0.0107-0.016
GSK3B	Cellular Movement	0.016-0.0265
OLR1	Cellular Movement	0.016-0.0265
EPOR	Cellular Response to Therapeutics	0.016-0.0213
GSK3B	Cellular Response to Therapeutics	0.016-0.0213
EPOR	Ophthalmic Disease	0.016-0.0318
E2F6	Skeletal and Muscular Disorders	0.016-0.016
EIF4EBP1	Skeletal and Muscular Disorders	0.016-0.016
PTTG1	Gastrointestinal Disease	0.0178-0.0466
CCT5	Gastrointestinal Disease	0.0178-0.0466
GSK3B	Gastrointestinal Disease	0.0178-0.0466
TUBB	Gastrointestinal Disease	0.0178-0.0466
UNG	Gastrointestinal Disease	0.0178-0.0466
EIF4H	Protein Synthesis	0.0203-0.0488
DNPEP	Protein Synthesis	0.0203-0.0488
EIF4EBP1	Protein Synthesis	0.0203-0.0488
EPOR	Respiratory System Development and Function	0.0213-0.0213
YWHAQ (includes EG:10971)	Dermatological Diseases and Conditions	0.0234-0.0473
PAK2	Dermatological Diseases and Conditions	0.0234-0.0473
GSK3B	Dermatological Diseases and Conditions	0.0234-0.0473
BAG4	Dermatological Diseases and Conditions	0.0234-0.0473
EPOR	Neurological Disease	0.0265-0.0473
PTTG1	Neurological Disease	0.0265-0.0473
GSK3B	Neurological Disease	0.0265-0.0473
SH3KBP1	Neurological Disease	0.0265-0.0473
UNG	Neurological Disease	0.0265-0.0473
EPOR	Inflammatory Disease	0.0318-0.0318
SLC7A1	Molecular Transport	0.0318-0.0421
PIK3CB	Molecular Transport	0.0318-0.0421
OLR1	Molecular Transport	0.0318-0.0421
EIF4EBP1	RNA Trafficking	0.0318-0.0318
GSK3B	Hepatic System Disease	0.0421-0.0421
EPOR	Organismal Development	0.0421-0.0421
PIK3CB	Organismal Development	0.0421-0.0421
