Gene symbol	Fold Change (MCF7 control/MCF7-miR210)
ATF5	0.313081464
ATG5	1.998697308
ATL2	0.483587883
ATL3	0.397308069
ATP13A3	2.020174617
ATP2A3	0.475260366
ATP2A3	0.49045409
ATP2B1	0.407378007
ATP5C1	3.407019017
ATP5S	0.423363852
ATP6AP2	2.370349836
ATP6V0E1	0.435821719
ATP6V1A	10.71128752
ATP6V1C1	2.833038092
ATRIP	0.470514145
AVEN	0.443061846
AZIN1	3.500133622
B2M	2.00223318
B2M	4.746157576
B3GNT2	3.921049895
B4GALT1	0.427184143
B4GALT1	0.470481532
B4GALT1	2.055116244
BANK1	0.494540301
BAT2	0.48372198
BAT4	0.470028454
BBS10	0.500124782
BCAT1	0.337247581
BCHE	0.271469119
BCL2L11	2.02666832
BCL6	2.084339088
BCLAF1	4.914347922
BCR	0.459950337
BICD2	2.133496879
BIRC5	0.367745604
BMS1P5	2.844943498
BOK	0.487349949
BOP1	0.409010561
BRAP	0.304410494
BRCA1	0.338008165
BRCC3	3.739304609
BRD3	2.715259341
BRIP1	3.30593876
BRMS1	0.500967876
BRWD1	2.024099204
BST2	5.774756041
BTN3A2	3.509997493
BTN3A3	2.206332156
BTN3A3	3.274262526
BTRC	0.364292702
BUB1	5.84109966
C10orf114	0.345091298
C10orf119	0.461601558
C10orf12	0.356170516
C10orf12	0.406326116
C10orf140	0.371967892
C10orf18	3.378797761
C10orf46	2.088258051
C10orf76	0.470074068
C11orf2	0.464129724
C11orf59	0.44557494
C11orf71	0.474516448
C11orf80	2.252848034
C11orf83	0.450540905
C12orf4	0.408846161
C13orf3	0.471215859
C14orf1	4.279226372
C14orf106	2.267747478
C14orf126	0.444412099
C14orf82	0.360327333
C15orf29	2.34841927
C15orf37	0.380904173
C16orf35	0.392512363
C16orf42	0.351361981
C16orf42	0.485781684
C16orf84	0.40271748
C17orf48	2.327014177
C17orf62	0.472042938
C17orf96	0.479037333
C18orf45	0.500579113
C19orf6	2.252926113
C19orf6	2.669815414
C19orf66	2.01884479
C1orf107	0.445155103
C1orf174	2.025867754
C1orf25	2.334510375
C1orf43	0.334750937
C1orf43	3.451348124
C1orf53	0.28830145
C1orf56	2.756848524
C1orf63	2.022220058
C1orf63	2.932091245
C1orf69	0.419586452
C1orf86	0.472386618
C1orf97	0.46537964
C1S	2.095667738
C20orf29	0.410075086
C20orf30	5.203635829
C21orf87	0.504683211
C21orf91	0.400154767
C22orf9	0.50382688
C2orf44	0.39367036
C2orf56	0.49239909
C3orf59	0.477638157
C4orf30	0.480743748
C4orf43	0.48710679
C5orf22	2.228464533
C5orf41	2.590894014
C6orf106	0.407841362
C6orf114	0.446412707
C6orf153	0.41407385
C6orf153	0.49732815
C6orf62	5.135198341
C6orf64	0.456671924
C6orf97	2.234016746
C8orf82	0.392675638
C9orf100	0.485539307
C9orf122	0.486836756
C9orf140	0.491447769
C9orf3	0.414286295
C9orf5	2.078870658
C9orf5	2.824665437
C9orf86	0.414533327
C9orf86	0.499016699
CA12	4.561916373
CAB39L	3.58969184
CABLES1	0.416725706
CALM3	0.407044943
CALR	0.317084662
CALR	0.447434994
CALU	2.361837979
CALU	3.214423463
CAMK2B	0.452164615
CAMTA1	0.420290864
CAPN7	3.661056402
CAPRIN1	2.648104399
CARD8	0.486094933
CARS	2.722854704
CASP6	0.483960095
CASP8	3.202480975
CAT	2.065197848
CBX6	0.499927225
CC2D1A	0.436238801
CCDC137	0.370154635
CCDC85C	0.480287445
CCL5	2.677729074
CCL5	3.886037977
CCL5	4.071950433
CCND1	0.382149752
CCND1	0.475932869
CCNE2	3.389799633
CCNF	0.43541409
CCNG2	2.600790155
CCNG2	5.26440324
CCNJ	0.493886007
CCNL1	2.107014146
CCNL1	2.167767453
CCT2	3.611028984
CD2BP2	0.467802021
CD3EAP	0.470990544
CD46	1.995485783
CD46	2.17938337
CD47	2.325385654
CD9	0.504669219
CDC2	2.073028571
CDC2	2.334300023
CDC25A	0.409450229
CDC25A	0.444942249
CDC25C	1.999792067
CDC27	2.465499568
CDC27	4.098795466
CDC42	0.421858185
CDC42EP4	0.471202794
CDC42SE2	2.785333349
CDC5L	3.849550509
CDCA2	0.461329674
CDCA7L	0.390249855
CDH1	3.869480797
CDH18	0.443645734
CDK2	2.150481917
CDK5RAP2	0.470250049
CDK7	2.221509021
CDK8	2.553241496
CDS2	0.445695407
CDT1	0.501409071
CDV3	3.104519514
CDYL	2.590175765
CENPF	0.372334189
CENPJ	2.407740649
CENPN	0.442371393
CENPN	0.500107449
CENPO	0.43961728
CEP70	2.236092703
CFL1	2.644949175
CFLAR	2.038333336
CGGBP1	2.000346604
CHD1L	2.168413659
CHD3	0.473130477
CHDH	0.458216082
CHDH	0.491805577
CHMP1A	0.477846779
CHMP1B	2.040595174
CHMP6	0.435076199
CHPT1	0.391368623
CHRNB1	2.143873825
CHST12	0.465650683
CHST14	0.41879032
CHST6	0.319527056
CIRBP	0.402527708
CKAP5	2.819970362
CLCA2	0.35688471
CLCA2	0.491740811
CLDN3	2.702997167
CLDND1	3.860773719
CLEC11A	0.430680527
CLEC3B	0.486388155
CLGN	2.325337299
CLIP1	2.549050579
CLMN	0.4070393
CLN5	0.458454353
CLN6	0.490913246
CLTB	0.478599236
CMPK2	4.012718634
CNOT1	2.082288547
CNOT8	2.09664121
CNPY2	0.482830929
COBRA1	0.480637127
COG3	2.172490698
COMMD10	2.618571504
COMMD9	0.481180472
COPA	4.277773214
COPS8	2.569397321
CORO1A	0.332010322
CORO1B	0.466765553
COTL1	0.240368542
CPM	0.486290395
CPSF3L	0.450550274
CPSF6	0.419397452
CPT1A	0.339600385
CREB1	0.468483454
CREB1	2.343768373
CREB1	3.022830323
CRIP1	0.450765811
CRK	3.573579788
CRKRS	0.382321967
CRTAP	4.0948199
CSAG2	2.201489556
CSNK1A1	2.006456669
CSNK1A1	2.342826308
CSNK1A1	2.411181077
CSNK1A1	3.802214702
CSNK1E	0.450572135
CSNK2A1	2.543896544
CSPG5	0.403511026
CSPP1	0.486067979
CSTA	0.348258386
CSTF2	0.491883989
CTDSP1	0.440330902
CTNNA1	8.927585218
CTSC	2.549527678
CTSH	0.462745222
CTSLL3	2.859018589
CTTNBP2	0.460914162
CUGBP1	0.399107695
CUGBP1	2.233304548
CUL5	0.430444757
CXCR4	0.38262154
CYB5B	0.417089818
CYB5R3	2.377886739
CYP1A1	4.713569499
CYP1B1	2.266238973
CYP1B1	2.911353452
CYP1B1	3.286131014
CYP2B6	0.49973321
CYR61	0.381670609
CYTSA	0.473032102
DAPK3	3.221047643
DAZAP2	2.426337094
DBT	2.027005495
DDOST	2.110097994
DDX11	2.251599136
DDX20	0.412881591
DDX28	0.307027545
DDX28	0.359681036
DDX3X	2.825507463
DDX3X	2.894351222
DDX42	5.411693004
DDX51	0.404572454
DDX52	0.477472649
DDX54	0.430579041
DDX58	3.112340706
DDX58	3.723992068
DDX60	21.65052344
DDX60L	3.940011935
DEF8	0.458305022
DEGS1	2.47795502
DFFA	0.429869304
DGCR8	0.432763281
DHFR	0.311926926
DHFR	0.33427561
DHFR	0.467183103
DHRS13	0.426276078
DHX15	2.366688774
DHX37	0.451381752
DHX37	0.458991709
DHX9	4.48444672
DHX9	6.005689966
DIAPH3	0.450815805
DIAPH3	0.481617594
DICER1	4.304095234
DIMT1L	2.335173914
DIMT1L	2.635615653
DIMT1L	5.613653434
DIP2A	0.453174943
DLEU2	0.379517943
DLG1	4.021266638
DLK1	0.344207396
DNAJB1	2.152793589
DNAJB14	2.18004815
DNAJB4	2.762970196
DNAJB6	2.058923176
DNAJB6	2.67557691
DNAJB9	2.058238264
DNAJB9	2.309883355
DNAJC1	0.44102734
DNAJC1	0.50301384
DNAJC10	2.176092676
DNAJC14	2.465602107
DNAJC4	2.139613186
DNMT3A	0.482640203
DOHH	0.489699966
DOK3	0.486600599
DOK7	0.238428731
DSG2	4.61634165
DSN1	0.476596413
DSTYK	3.196138662
DTNA	0.392294768
DUSP4	0.457850975
DUSP8	0.495346513
DYNC1H1	2.179020849
DYRK2	2.851300315
DZIP3	0.409663141
EBP	0.453149815
EBP	2.266207556
ECHDC1	0.468155593
ECT2	2.395488687
EDEM3	2.840116284
EFCAB2	0.504200691
EFHD2	0.434687345
EFNA5	3.502997601
EGR1	0.432343529
EGR3	0.319252539
EHD1	0.490039517
EID1	0.36232594
EIF2AK2	2.557722948
EIF2C1	0.386754505
EIF2C4	2.178703691
EIF2S3	2.213930602
EIF4A2	2.096074507
EIF4A2	7.257084155
EIF4B	2.416702691
EIF4E	0.468386046
EIF4EBP2	0.47635862
EIF4G1	2.695120915
EIF5A	3.777076489
EIF5A2	0.461150638
EIF5B	0.315617696
EIF5B	0.492167057
ELOVL2	0.341048778
EMILIN3	2.351171864
EML3	0.501857611
ENO1	12.55238846
ENSA	0.466196475
EP300	0.503802435
EPB41L4B	2.056655278
EPC1	0.431831383
EPRS	3.616188794
EPS8L2	2.098182254
ERCC8	2.013506319
ERGIC1	0.502748926
ERGIC1	2.011818283
ERLIN1	3.161918101
ERRFI1	0.383649293
ETNK1	2.219892785
ETNK2	0.495837744
EVL	0.39542884
EXD2	2.616956602
EXOC4	2.617682277
EXOC5	5.603351515
EXOC6	2.380046895
EXOC7	0.503666262
EXOSC2	0.440877574
EXOSC6	0.4825733
EZR	4.626560318
EZR	5.07673164
F11R	0.334347446
FAF1	3.840462333
FAM100A	0.468282166
FAM115A	3.01996117
FAM120A	0.473685035
FAM134C	0.349656444
FAM174B	0.479529009
FAM29A	2.821084735
FAM46A	0.495751829
FAM55C	2.105568776
FAM60A	2.601078608
FAM62B	2.313632944
FAM62B	3.368998999
FAM73A	2.047523486
FAM83H	0.400066019
FAM98B	0.402020228
FAR1	2.576423935
FAS	2.323484467
FAS	2.551525394
FBRSL1	0.479276464
FBXL17	0.439641658
FBXO5	2.208795724
FBXO7	2.067016636
FBXO8	2.048673389
FBXW7	0.481090428
FCF1	0.458886732
FDFT1	2.131604819
FDFT1	2.375316897
FEN1	0.453693533
FGD3	0.447453603
FGFR1	0.49337619
FGFR1OP2	0.2295404
FGFR1OP2	2.498877189
FGFR4	0.472638809
FH	4.452698723
FIGN	0.333259983
FIGN	0.45879768
FIGN	0.478804959
FKBP1A	2.007110437
FLJ10038	0.400840448
FLJ12993	0.305503328
FLJ12993	0.36593771
FLJ20021	0.407677432
FLJ35848	0.401196243
FLJ38717	0.395056253
FLJ90757	0.324286304
FNBP4	2.17746571
FNIP2	0.431600966
FNIP2	0.470592424
FOLR1	3.127673681
FOXM1	0.352682036
FOXO3B	2.519958544
FOXP1	0.431693717
FOXP1	0.466998558
FOXP1	0.503198665
FRK	0.500488908
FRMD8	0.46936104
FRS2	0.445757198
FRS2	2.085538579
FRYL	2.302131111
FST	0.470912199
FST	0.479037333
FSTL1	2.058680577
FSTL5	0.398182025
FTH1	2.042448923
FTSJ2	0.500318949
FUS	0.394249273
FUS	2.023818623
FUS	5.681138206
FUSIP1	0.484487047
FUSIP1	1.995057047
FXC1	0.447174554
FXR1	3.400837329
FYTTD1	4.100301509
G2E3	2.59290617
GAB1	0.448748804
GABARAPL2	2.11762921
GABRA1	0.342239931
GABRB2	0.279445723
GABRB2	0.343964123
GADD45B	2.565606653
GALC	0.406227553
GALM	0.464126507
GALNT6	0.470074068
GAPDH	2.415295991
GART	2.444856857
GART	4.477644529
GAS2L3	0.392830813
GBE1	0.458848565
GBP1	3.364051985
GBP3	3.170169546
GDAP1	0.371316158
GDE1	3.969369869
GDF15	3.344869673
GDI2	4.200001957
GEN1	0.220547299
GFER	0.423863017
GFM2	2.323999889
GFM2	2.76490517
GFPT1	2.282666349
GGA2	0.444982344
GGA2	2.200757219
GGT6	0.469409843
GHITM	2.008780599
GHR	0.468688077
GINS2	0.385691699
GINS4	0.459421411
GLRX	2.440234849
GLUD1	0.166233148
GLUD2	0.455767513
GMEB1	0.394933047
GNA11	0.468337349
GNA12	0.396353604
GNA13	4.012412691
GNAS	2.191988151
GNB1	2.164539308
GNG7	0.476031847
GOLGA2	2.500124605
GOLGA7	2.059594039
GOLGA8A	2.389154248
GPATCH4	0.481317239
GPHN	2.057040217
GPHN	2.17378612
GPR137C	0.38540575
GPR180	0.477959407
GPR39	0.495923673
GPRC5A	0.463367897
GPX8	0.333685291
GRIK1	2.005664086
GSPT1	2.65678227
GSS	0.483664984
GTF2A1	0.375993597
GTF2H2	2.078654524
GTF2H2	2.19671849
GTPBP8	0.433597998
GTSE1	0.368089882
GTSE1	0.471219125
GULP1	2.799695644
GUSBL2	0.442138417
H2AFV	0.494615721
H2AFY	2.697999349
H3F3B	2.032943331
HADHA	4.11901677
hCG_2008140	0.44507797
HDAC8	0.370855739
HECTD1	3.039007004
HERC5	3.709282119
HERC6	2.281005618
HERV-V2	0.421116118
HEY2	0.338960719
HEY2	0.393329419
HGD	2.038969225
HGD	2.383497315
HIF1AN	0.374757693
HIF1AN	0.47680458
HINT3	2.869401797
HINT3	3.942088048
HIPK1	2.371500216
HIPK1	7.530992456
HIST1H2AG	0.41357188
HIST1H3E	0.401468862
HLA-A	2.042902002
HLA-B	2.604560592
HLA-B	3.267642155
HLA-B	3.376011925
HLA-C	2.137374927
HLA-C	2.139880155
HLA-C	2.306315684
HLA-C	2.418579566
HLA-E	2.443213603
HLA-F	2.292799182
HLA-F	2.408992664
HLA-G	2.038262694
HLA-G	2.343524699
HLA-G	2.684400628
HM13	2.097586056
HMGB1	0.337750544
HMGCS1	4.37126245
HMOX1	2.381400053
HN1L	2.20072671
HNRNPC	2.721552752
HNRNPUL1	0.430361224
HOMER2	0.47883151
HOMER3	0.423915905
HOXB7	0.386899294
HOXB7	0.414366708
HPGD	0.230271856
HPGD	0.346109393
HPGD	0.425204862
HPS3	2.355706821
HPSE	0.308961719
HRAS	0.440080698
HS2ST1	0.487900883
HS6ST2	0.306319688
HSD17B1	0.478393602
HSP90AA1	2.369150749
HSP90AB1	2.302434317
HSP90AB1	23.1564148
HSP90B1	3.236736676
HSP90B1	4.378145801
HSP90B1	8.244545706
HSPA13	2.144616963
HSPA1A	2.035199188
HSPA1A	3.277509586
HSPA1B	2.226519119
HSPA4	9.879855901
HSPA8	3.264789555
HSPB8	2.20181003
HSPD1	0.352938813
HSPD1	2.992331478
HSPH1	3.027653279
HTATSF1	3.161698941
IDI1	1.997977034
IER5L	0.413030435
IFI27	24.28729646
IFI35	2.764541061
IFI44	7.537259166
IFI44	28.33473884
IFI44L	28.59438556
IFI6	9.951472402
IFIH1	2.498652028
IFIH1	13.44296993
IFIT1	21.30883773
IFIT2	3.402393491
IFIT2	13.21743201
IFIT3	10.29805518
IFIT3	24.81103476
IFITM1	12.39597633
IFITM1	13.32653673
IFITM2	2.623876833
IFITM3	3.399682458
IFNAR1	0.385731802
IFNB1	2.868387628
IFNGR1	2.139894987
IFT57	3.142581151
IFT80	0.497921425
IGF1R	0.43176853
IGFBP5	0.329504483
IGSF10	3.078953331
IKIP	0.397633166
IL13RA1	2.381796244
IL23A	2.11801088
IL27RA	0.390715393
IL28A	5.568350405
IL28B	3.108373786
IL29	2.886817689
ILF3	2.250818927
IMMP1L	0.49310268
ING3	0.470680503
ING3	0.480790402
INHBC	0.395124716
INO80C	0.448811018
INO80D	0.459169907
INO80D	2.110083368
INPP4B	0.318797009
INPP4B	0.45477347
INPP5A	2.074365332
INPP5F	0.448583979
INSIG1	2.886457533
INSIG1	4.109434847
INSR	0.494009263
INTS1	0.477035984
INTS5	0.37803193
INTS9	0.399858095
IPO4	0.419182386
IPP	0.424562837
IQGAP1	2.440217935
IRAK1	2.540266749
IRF1	2.368756661
IRF9	4.276705901
IRS1	0.433799411
IRS1	0.466778495
ISCU	2.621640745
ISG15	6.449780217
ITGA8	1.995900775
ITGB1	3.871734434
ITGB1	5.006352932
ITGB5	0.456849221
ITPR2	0.504368472
IWS1	2.50249988
JAK1	2.128799387
JAK1	4.407284412
JMJD2B	0.500360566
JMJD4	0.455013104
JUB	0.251142831
JUN	0.424586381
KBTBD2	2.082606105
KBTBD2	3.05012845
KBTBD4	2.640589425
KCNK2	2.772946919
KHSRP	0.378968542
KHSRP	0.435432199
KIAA0090	0.494605436
KIAA0907	2.988641811
KIAA0999	0.477191417
KIAA1033	4.652802663
KIAA1219	0.479821597
KIAA1524	0.490443891
KIAA1549	0.446186881
KIAA1919	0.502811656
KIAA2018	0.39539595
KIAA2022	0.457676461
KIF15	0.49627098
KIF22	3.576603027
KIF26A	0.398035772
KIF4A	0.431113606
KIF9	0.451237853
KITLG	3.943864539
KITLG	7.626388362
KLF4	2.312174048
KLF4	3.610077979
KLF6	2.999412614
KLHDC4	0.377568418
KLHL20	2.565660004
KLHL22	2.12875512
KLHL24	2.062422632
KLHL24	2.141156132
KLHL24	2.507170309
KLHL36	0.502111614
KMO	0.423992309
KPNA1	0.498280493
KRI1	0.431319845
KRIT1	2.208734484
L2HGDH	2.375037018
LAMP1	0.495782757
LAMP1	2.601385124
LANCL2	0.43474761
LAPTM4B	2.448859494
LAPTM4B	6.740473779
LARP4	0.447165255
LARP4	2.213117424
LARP4	2.4633643
LARP4	2.677116645
LARP5	2.910062221
LCN2	2.515368902
LDLR	2.401490331
LDLR	3.053894027
LETM1	0.48759661
LGALS3BP	3.062606471
LIG1	0.499390402
LIMA1	2.087939632
LIME1	0.355004693
LIPA	2.084714758
LMAN1	3.352204122
LMAN1	5.46079122
LMBR1	0.456823888
LMNB2	0.502916224
LOC100128809	2.830290229
LOC100129673	0.48711692
LOC100131262	0.467613991
LOC100131851	0.499317716
LOC100131914	0.458177971
LOC100131998	0.493352252
LOC100132884	0.40154122
LOC100132999	0.239879205
LOC100133724	3.217432764
LOC100190986	9.399669296
LOC116349	0.290121677
LOC221710	0.404238882
LOC254128	0.440419423
LOC257396	0.492737098
LOC284805	2.277198414
LOC284900	0.469413097
LOC285412	2.157170186
LOC338758	0.263875626
LOC375295	0.49881958
LOC387763	0.396732915
LOC400099	0.350233745
LOC401504	2.04205256
LOC440248	2.067131259
LOC440288	0.303363622
LOC440345	2.086059055
LOC440983	2.562549726
LOC595101	2.023538082
LOC643224	0.494663721
LOC644450	0.401719389
LOC644613	0.384248092
LOC645166	0.38779067
LOC646214	0.483386806
LOC65998	0.437550063
LOC728806	0.431059821
LOC728855	0.49638795
LOC728875	0.39736866
LOC729034	2.113332836
LOC729148	2.435503405
LOC730092	2.472670494
LOC84989	0.499234659
LOC90784	0.504483853
LONP2	0.477734178
LPAR2	0.468373059
LRRC16A	2.413271112
LRRC41	2.304989214
LRRC68	0.482493028
LRSAM1	2.217186303
LSG1	0.4858524
LSM14B	0.495085637
LSM4	2.467089408
LSM5	0.471209327
LSM5	0.472242569
LUC7L	2.097935029
LYPLA1	2.389220491
M6PR	2.35244338
MAD2L1	4.058368872
MAFF	2.707910394
MAGOH	2.564557645
MALAT1	2.333167689
MALAT1	2.462493643
MALAT1	2.873402308
MALAT1	3.706686239
MALAT1	4.267171221
MALAT1	4.407925987
MALAT1	5.606265233
MALAT1	6.48115079
MALAT1	15.23544781
MAP2K2	0.427640383
MAP2K3	0.450497186
MAP3K2	3.21408927
MAP3K7	2.771986055
MAP3K7	3.44993696
MAP4K4	0.48444675
MAPK1	2.236836799
MAPK13	0.318675497
MAPK13	0.500888016
MAPK1IP1L	2.039619449
MAPKAP1	2.450081941
MARCH6	2.465397033
MARCH7	2.336679715
MARCKS	0.478858063
MARVELD2	0.48169772
MATR3	8.641669163
MAZ	0.404575258
MAZ	2.126926236
MBD3	0.428486008
MBNL1	2.36691845
MBNL1	3.861603394
MBTPS1	3.121501156
MCL1	3.613557873
MCM4	3.142363332
MCM5	0.354478492
MCM7	0.437246882
MCOLN3	0.428601855
MDC1	0.460333072
MDM2	2.1295373
MDM2	3.683379382
MDN1	0.47901077
MDP-1	0.341462724
MDP-1	0.433339604
ME1	2.073617789
ME2	2.722156478
MED13L	0.4250369
MED16	0.292068768
MED16	0.48947599
MED22	0.338991264
MED6	2.789603347
MED7	0.474582234
MEF2B	0.393746772
MEIS1	0.504239136
MEIS3P1	0.378719077
METTL1	0.450381664
MFN1	2.773831208
MFN2	2.145999887
MFSD6	2.198561669
MGAT4A	0.405274132
MGAT4A	0.476523742
MGC16385	0.402778896
MGC21881	0.380223604
MGC21881	0.440169168
MGC2752	0.489835758
MGP	0.359147904
MGST1	2.133127204
MGST1	2.672407476
MGST1	2.804104277
MICALL1	0.380521533
MIDN	0.458921722
MITF	0.457647911
MLF1	0.473872222
MLF1IP	0.280225471
MLL3	2.521408724
MLL5	2.869859284
MLLT10	2.880761053
MLLT3	0.459564735
MMP16	0.462876749
MNS1	0.459341807
MOBKL1B	2.026907147
MOBKL2A	0.457219868
MORF4L2	9.306766426
MOSPD1	2.639381692
MPHOSPH6	0.465279652
MPHOSPH9	3.062542786
MPPED2	0.48666806
MR1	2.123729469
MRPL20	0.470210937
MRPL30	2.378678019
MRPL4	0.489659235
MRPS10	2.870098002
MRPS10	3.562030822
MRPS5	2.479913844
MSH6	3.310272537
MSI2	0.45786367
MSI2	0.46219386
MSL1	0.424659962
MSRB2	0.39824827
MSRB2	0.487498606
MSTO1	0.491294502
MSX2	0.458012856
MT1F	3.218927314
MT1F	3.489716891
MT1H	3.364868208
MT1P2	3.57367887
MT1X	3.255750173
MT1X	4.069749509
MT2A	3.151830607
MTG1	0.379857444
MTHFD2L	0.429911021
MTHFD2L	0.500665864
MTMR12	0.491679462
MTPAP	3.676212086
MTRF1	0.496184991
MTRF1L	0.359083185
MTSS1L	0.398204105
MTUS1	2.317099505
MUM1	2.320587344
MUM1L1	0.200610636
MYB	0.387398427
MYBL2	0.464709164
MYCBP2	2.084035712
MYLIP	0.470745758
MYO1B	2.343346021
MYOF	2.557900242
N4BP2L1	2.348923942
N4BP2L2	2.118172376
NAB1	0.358024445
NAF1	0.456801724
NAMPT	2.807157479
NAMPT	3.344266921
NAT11	0.472923914
NAT14	0.366305686
NBEAL1	2.046785616
NBPF10	2.865982897
NBPF10	3.634306261
NBPF14	3.844270889
NCAPG	0.414533327
NCK1	2.984501544
NCKAP1	3.298865596
NCLN	0.301914092
NCOA3	2.132550639
NCOA3	3.509389309
NCOA5	0.281885271
NCRNA00084	3.012017182
NCRNA00084	5.321378413
NCRNA00084	6.183012833
NCRNA00084	6.35036713
NCRNA00117	0.344706402
NDE1	0.451350465
NDE1	2.169060059
NEBL	0.493130025
NEDD1	3.903558796
NEIL2	0.493065085
NEK2	2.394144119
NET1	0.476755009
NF2	0.407838535
NF2	0.46232523
NFATC1	0.501273544
NFATC2IP	2.665045197
NFE2L2	3.451180667
NFIA	0.472547087
NFIB	0.366966431
NFKB2	3.922110005
NFKBIZ	2.361494213
NFS1	2.731853275
NFX1	2.405188557
NFYB	0.469784168
NFYC	0.434509613
NLE1	0.410350894
NMD3	2.88779834
NMU	0.483970159
NNT	2.328321044
NOL10	0.49033172
NOL9	0.488845338
NOP14	0.439413165
NOP56	0.490838391
NPC1	1.996827904
NPEPL1	0.34177529
NPIPL1	2.440133365
NPY1R	0.217602947
NQO1	2.286292518
NR1D2	4.342181407
NR4A2	2.35678475
NR4A2	2.520919413
NRIP1	0.421884503
NRP1	3.073494706
NSD1	0.425641286
NSL1	0.421729545
NSUN4	2.232948535
NT5DC1	0.490974499
NTN4	2.22482213
NUAK1	0.434133302
NUB1	2.094941561
NUBPL	0.494437475
NUCKS1	2.274532423
NUDT15	0.439358345
NUDT16L1	0.436562465
NUDT18	0.467873363
NUMB	2.351106677
NUP43	2.02384668
NUSAP1	3.581490214
NXT2	2.555844387
OAS1	7.097790539
OAS1	10.17318838
OAS2	5.227604512
OAS2	6.902169963
OAS3	5.143819434
OASL	8.007156478
OASL	9.602965536
OBFC2A	0.471764904
OBFC2B	0.469816732
OBSL1	0.387562261
OCIAD1	3.415815377
OGT	2.511135712
OPA1	0.440227141
OPTN	2.341495069
ORAOV1	0.499632767
OSBPL6	0.434085158
OSBPL6	0.446004447
OSTC	2.052155423
P4HB	2.116235231
P4HB	11.88631818
PA2G4	0.489214815
PACS2	0.425110559
PACS2	0.475178017
PACSIN3	0.435091278
PAF1	0.410373649
PAK1IP1	0.492518561
PAPD4	2.226519119
PAPD4	2.228325518
PAPOLA	2.262095755
PAPOLA	7.311867869
PARP6	2.067718801
PARP9	3.24315955
PARVA	0.443316818
PARVA	0.487103414
PCDH19	0.232825342
PCDH7	0.453259763
PCDHB16	0.393787712
PCGF5	2.38283656
PCMTD1	3.255095792
PCNP	2.251677172
PCYOX1	3.757622142
PCYT1A	0.495796503
PCYT2	0.408126983
PDE4B	0.434801855
PDE4DIP	2.004955199
PDE6D	2.012822564
PDE7A	4.208890569
PDE8A	2.513155605
PDE9A	0.486469075
PDGFA	2.23471368
PDLIM5	0.334639581
PDLIM7	0.487302659
PDXDC1	2.101544492
PEBP1	0.38037913
PEBP1	0.389228701
PEG10	0.260719429
PELI3	0.456833388
PELP1	0.331925184
PER1	2.125231498
PER2	0.458123984
PER3	2.640369796
PES1	0.443941043
PEX1	2.046501891
PGD	2.287227704
PGPEP1	0.422545908
PHF12	0.358943829
PHF17	0.490590091
PHF19	0.410800545
PHF19	0.475270249
PHF23	2.698111558
PHKB	0.484087585
PICALM	2.781860354
PICALM	7.271384071
PIF1	0.386703573
PIGC	2.209806429
PIGW	0.34978977
PIGY	2.622167781
PIK3C2A	2.245458408
PIK3C2A	2.553878693
PIK3C2A	4.112797385
PIK3C2A	9.597641998
