PROBE_ID	SYMBOL	WT.AVG_Signal	KO.AVG_Signal	KO vs WT
ILMN_2612018	Prokr1 (PkR1)	25.15965	55.27299	2.2
ILMN_2734712	Ptpla	1445.361	1160.691	0.8
ILMN_1220975	Ptpn22	73.36398	50.56988	0.69
ILMN_2625377	Rgs1	381.8839	784.0363	2.05
ILMN_2974460	Rhobtb2	34.25098	49.0472	1.43
ILMN_2823778	Sc4mol	770.5494	604.8676	0.78
ILMN_2438153	scl0003073.1_164	50.33593	33.76628	0.67
ILMN_2604226	Sema5a	52.63049	86.59303	1.65
ILMN_2790357	Sema7a	471.5188	745.5958	1.58
ILMN_2762966	Siglec1	295.4647	375.85	1.27
ILMN_2598622	Slamf8	13.60057	30.82592	2.27
ILMN_2663249	Slamf9	189.2236	311.4405	1.65
ILMN_2589412	Slc20a1	46.59295	75.47462	1.62
ILMN_2648089	Snx25	51.75263	69.42368	1.34
ILMN_1255551	Sorbs1	21.21191	9.259736	0.44
ILMN_2778151	Sox9	297.6266	440.1626	1.48
ILMN_2759762	Stard10	21.9308	35.57774	1.62
ILMN_2907499	Tatdn2	111.7395	218.1983	1.95
ILMN_1215928	Tcf12	87.67834	115.0274	1.31
ILMN_3100258	Theg	1.178659	12.94413	10.98
ILMN_2513826	Tnfrsf11b (osteoprotegerin)	807.6978	1225.656	1.52
ILMN_2479124	Tnfrsf26	77.81873	100.818	1.3
ILMN_2915118	Trpc6	12.39336	24.81742	2
ILMN_1377919	Tubb2b	605.0316	422.2271	0.7
ILMN_1220029	Vgll3	348.5578	211.3462	0.61
ILMN_2476329	Whrn	142.6681	206.7843	1.45
ILMN_2789692	Wnt7b	154.5219	324.5524	2.1
ILMN_1239055	Xdh	151.2303	221.4215	1.46
ILMN_1242159	Zfp820	7.394837	17.66341	2.39
