Curated Gene Symbol	Probe Set ID	Gene Title	Gene Symbol	p-value	FC Absolute	Function
PAIP1	208051_s_at	poly(A) binding protein interacting protein 1	PAIP1	0.02	-2.26	Metabolism
PAIP1	209064_x_at	poly(A) binding protein interacting protein 1	PAIP1	0.02	-2.21	Metabolism
PM20D2	225421_at	peptidase M20 domain containing 2	PM20D2	0.03	-2.31	Metabolism
PPAT	209433_s_at	phosphoribosyl pyrophosphate amidotransferase	PPAT	0.01	-2.16	Metabolism
SLC16A7	207057_at	solute carrier family 16, member 7 (monocarboxylic acid transporter 2)	SLC16A7	0.01	-2.34	Metabolism
SLC23A2	209236_at	solute carrier family 23 (nucleobase transporters), member 2	SLC23A2	0.05	-3.07	Metabolism
STK35	225649_s_at	serine/threonine kinase 35	STK35	0.02	-2.3	Metabolism
	220691_at			0.02	2.25	Metabolism
ALKBH5	234302_s_at	alkB, alkylation repair homolog 5 (E. coli)	ALKBH5	0.005	-2.05	DNA replication, recombination and repair
ASF1A	203427_at	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	0.006	-2.88	DNA replication, recombination and repair
NBPF12	1569519_at	KIAA1245	KIAA1245	0.047	2.09	DNA replication, recombination and repair
NBPF1	1569519_at	neuroblastoma breakpoint family, member 1	NBPF1	0.047	2.09	DNA replication, recombination and repair
NBPF10	1569519_at	neuroblastoma breakpoint family, member 10	NBPF10	0.047	2.09	DNA replication, recombination and repair
NBPF11	1569519_at	neuroblastoma breakpoint family, member 11	NBPF11	0.047	2.09	DNA replication, recombination and repair
NBPF20	1569519_at	neuroblastoma breakpoint family, member 12	NBPF20	0.047	2.09	DNA replication, recombination and repair
NBPF8	1569519_at	neuroblastoma breakpoint family, member 20	NBPF8	0.047	2.09	DNA replication, recombination and repair
NBPF9	1569519_at	neuroblastoma breakpoint family, member 8	NBPF9	0.047	2.09	DNA replication, recombination and repair
	1569519_at	neuroblastoma breakpoint family, member 11-like	RP11-94I2.2	0.047	2.09	DNA replication, recombination and repair
PAPD5	229043_at	PAP associated domain containing 5	PAPD5	0.016	-2.12	DNA replication, recombination and repair
POLH	219380_x_at	polymerase (DNA directed), eta	POLH	0.028	2.01	DNA replication, recombination and repair
REV3L	238736_at	REV3-like, catalytic subunit of DNA polymerase zeta (yeast)	REV3L	0.045	-2.51	DNA replication, recombination and repair
SMC3	209258_s_at	structural maintenance of chromosomes 3	SMC3	0.037	-2.14	DNA replication, recombination and repair
XRCC2	207598_x_at	X-ray repair complementing defective repair in Chinese hamster cells 2	XRCC2	0.042	2.49	DNA replication, recombination and repair
	224778_s_at			0.031	-2.8	DNA replication, recombination and repair
	240141_at			0.005	-2.44	DNA replication, recombination and repair
ATXN7	243259_at	ataxin 7	ATXN7	0.002	-2.46	Apoptosis and cell death
C3orf38	229174_at	chromosome 3 open reading frame 38	C3orf38	0.035	-2.11	Apoptosis and cell death
SMNDC1	200071_at	survival motor neuron domain containing 1	SMNDC1	0.032	-2.83	Apoptosis and cell death
DERL1	222543_at	Der1-like domain family, member 1	DERL1	0.036	-2.2	Ubiquitin-mediated proteolysis
KIAA0368	212427_at	KIAA0368	KIAA0368	0.011	-2.02	Ubiquitin-mediated proteolysis
SMURF2	205596_s_at	SMAD specific E3 ubiquitin protein ligase 2	SMURF2	0.023	-2.15	Ubiquitin-mediated proteolysis
	227754_at			0.03	-2.05	Ubiquitin-mediated proteolysis
AHCTF1	226115_at	AT hook containing transcription factor 1	AHCTF1	0.021	-2.68	Transcription
ANGEL2	221825_at	far upstream element (FUSE) binding protein 3	ANGEL2	0.028	-2.02	Transcription
ARID4A	230141_at	AT rich interactive domain 4A (RBP1-like)	ARID4A	0.026	-2.25	Transcription
ARID4A	205062_x_at	AT rich interactive domain 4A (RBP1-like)	ARID4A	0.018	-2.14	Transcription
CHD9	212616_at	chromodomain helicase DNA binding protein 9	CHD9	0.014	-2.29	Transcription
EN2	207060_at	engrailed homeobox 2	EN2	0.023	2.01	Transcription
FUBP3	212824_at		FUBP3	0.018	-2.01	Transcription
ID2	201565_s_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	ID2	0.046	-2.81	Transcription
IKZF5	226680_at	IKAROS family zinc finger 5 (Pegasus)	IKZF5	0.008	-2.48	Transcription
MED13L	212209_at		MED13L	0.02	-2.07	Transcription
PBRM1	221212_x_at	polybromo 1	PBRM1	0.031	2.8	Transcription
PER2	205251_at		PER2	0.033	-2.3	Transcription
PLAGL1	207943_x_at	pleiomorphic adenoma gene-like 1	PLAGL1	0.005	-2.22	Transcription
PLAGL1	207002_s_at	pleiomorphic adenoma gene-like 1	PLAGL1	0.006	-2.2	Transcription
PLEKHA5	220952_s_at	pleckstrin homology domain containing, family A member 5	PLEKHA5	0.011	-2.28	Transcription
RB1	203132_at	retinoblastoma 1	RB1	0.032	-2.28	Transcription
RBM39	227223_at	similar to RNA binding motif protein 39	RBM39	0.049	-2.07	Transcription
		RNA binding motif protein 39				Transcription
RBM47	229421_s_at	RNA binding motif protein 47	RBM47	0.01	2.29	Transcription
RRN3	222204_s_at	RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae)	RRN3	0.043	-2.03	Transcription
SATB1	203408_s_at	SATB homeobox 1	SATB1	0.024	-2.26	Transcription
SRSF11	213742_at	splicing factor, arginine/serine-rich 11	SFRS11	0.041	-2.15	Transcription
TFAM	203177_x_at	transcription factor A, mitochondrial	TFAM	0.046	-2.14	Transcription
TMF1	213024_at	TATA element modulatory factor 1	TMF1	0.015	-2.23	Transcription
TSC22D2	204094_s_at	TSC22 domain family, member 2	TSC22D2	0.034	-2.31	Transcription
ZBTB38	225512_at	zinc finger and BTB domain containing 38	ZBTB38	0.041	-2.42	Transcription
ZNF12	1554021_a_at	zinc finger protein 12	ZNF12	0.008	-2.04	Transcription
ZNF146	200050_at	zinc finger protein 146	ZNF146	0.018	-2.22	Transcription
ZNF148	239024_at	zinc finger protein 148	ZNF148	0.027	-2	Transcription
ZNF189	207513_s_at	zinc finger protein 189	ZNF189	0.042	-2.61	Transcription
	1557300_s_at			0.029	-2.11	Transcription
	1557543_at			0.007	3.02	Transcription
	1566900_at			0.01	2	Transcription
	237893_at			0.005	2.25	Transcription
	240393_at			0.028	2.01	Transcription
ARMC1	222550_at	armadillo repeat containing 1	ARMC1	0.015	-2.75	Miscellaneous
ATP10B	220920_at	ATPase, class V, type 10B	ATP10B	0.038	2.49	Miscellaneous
ATP13A3	212297_at	ATPase type 13A3	ATP13A3	0.03	-2.26	Miscellaneous
LACC1	228937_at	chromosome 13 open reading frame 31	C13orf31	0.015	-2.11	Miscellaneous
CAST	212586_at	calpastatin	CAST	0.026	-2.85	Miscellaneous
CMBL	227522_at	carboxymethylenebutenolidase homolog (Pseudomonas)	CMBL	0.015	-2.16	Miscellaneous
COX11	211727_s_at	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	COX11	0.048	-2.1	Miscellaneous
EIF2A	223015_at	eukaryotic translation initiation factor 2A, 65kDa	EIF2A	0.041	-2.01	Miscellaneous
FBXO21	212231_at	F-box protein 21	FBXO21	0.02	-2.55	Miscellaneous
G2E3	223257_at	G2/M-phase specific E3 ubiquitin ligase	G2E3	0.012	-2.23	Miscellaneous
GNAQ	224862_at	Guanine nucleotide binding protein (G protein), q polypeptide	GNAQ	0.045	-2.17	Miscellaneous
HELZ	203674_at	helicase with zinc finger	HELZ	0.025	-2.04	Miscellaneous
HSP90AA1	211968_s_at	heat shock protein 90kDa alpha (cytosolic), class A member 1	HSP90AA1	0.038	-2.99	Miscellaneous
IPW	241834_at	imprinted in Prader-Willi syndrome (non-protein coding)	IPW	0.008	-2.07	Miscellaneous
KCNH5	1555074_a_at	potassium voltage-gated channel, subfamily H (eag-related), member 5	KCNH5	0.013	2.01	Miscellaneous
KCTD18	226493_at	potassium channel tetramerisation domain containing 18	KCTD18	0.038	-2.15	Miscellaneous
KLHL21	203068_at	kelch-like 21 (Drosophila)	KLHL21	0.017	-2.03	Miscellaneous
KPNA5	229317_at	karyopherin alpha 5 (importin alpha 6)	KPNA5	0.031	-2.07	Miscellaneous
	241642_x_at	tousled-like kinase 1	LOC100133905 /// TLK1	0.017	2.86	Miscellaneous
MAT2A	200768_s_at	methionine adenosyltransferase II, alpha	MAT2A	0.022	-2.04	Miscellaneous
MGAT2	203102_s_at	mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	MGAT2	0.041	-2.02	Miscellaneous
MINA	213188_s_at	MYC induced nuclear antigen	MINA	0.041	-2.01	Miscellaneous
PRDM2	203056_s_at	PR domain containing 2, with ZNF domain	PRDM2	0.024	-2.07	Miscellaneous
TRMT10A	242442_x_at	RNA (guanine-9-) methyltransferase domain containing 2	RG9MTD2	0.007	-2.06	Miscellaneous
RPE	225040_s_at	ribulose-5-phosphate-3-epimerase	RPE	0.021	-2.03	Miscellaneous
RSF1	218166_s_at	remodeling and spacing factor 1	RSF1	0.013	-2.53	Miscellaneous
SEC31A	200945_s_at	SEC31 homolog A (S. cerevisiae)	SEC31A	0.041	-2.42	Miscellaneous
STAG2	209023_s_at	stromal antigen 2	STAG2	0.018	-2.09	Miscellaneous
TIMM8A	210800_at	translocase of inner mitochondrial membrane 8 homolog A (yeast)	TIMM8A	0.023	2.12	Miscellaneous
YOD1	227309_at	YOD1 OTU deubiquinating enzyme 1 homolog (S. cerevisiae)	YOD1	0.003	-2.39	Miscellaneous
ZNF304	207753_at	zinc finger protein 304	ZNF304	0.046	-2.05	Miscellaneous
ZNF816	217541_x_at	zinc finger protein 816A	ZNF816A	0.028	2.22	Miscellaneous
	1558226_a_at			0.03	-2.12	Miscellaneous
	1570482_at			0.024	2.24	Miscellaneous
	215387_x_at			0.041	2.66	Miscellaneous
	228178_s_at			0.013	2.14	Miscellaneous
	228498_at			0.01	2.45	Miscellaneous
	233553_at			0.012	2.61	Miscellaneous
	234032_at			0.011	-2.23	Miscellaneous
	234224_at			0.02	2.14	Miscellaneous
	238408_at			0.042	2.62	Miscellaneous
	242619_x_at			0.04	2.06	Miscellaneous
	243827_at			0.04	-2.18	Miscellaneous
ANKRD13C	223418_x_at	ankyrin repeat domain 13C	ANKRD13C	0.016	-2.02	Unknown
ARRDC3	224797_at	arrestin domain containing	ARRDC3	0.023	-4.04	Unknown
ATXN1L	227373_at	ataxin 1-like	ATXN1L	0.016	-2.52	Unknown
C22orf28	239980_at	Chromosome 22 open reading frame 28	C22orf28	0.018	2.21	Unknown
C5orf44	218674_at	chromosome 5 open reading frame 44	C5orf44	0.039	-2.24	Unknown
CPEB4	224829_at	cytoplasmic polyadenylation element binding protein 4	CPEB4	0.023	-2.08	Unknown
CPEB4	224831_at	cytoplasmic polyadenylation element binding protein 4	CPEB4	0.038	-2.61	Unknown
CPOX	204172_at	coproporphyrinogen oxidase	CPOX	0.023	-2.11	Unknown
DENND5B	215058_at	DENN/MADD domain containing 5B	DENND5B	0.033	2.07	Unknown
DENND5B	228551_at	DENN/MADD domain containing 5B	DENND5B	0.035	-2.18	Unknown
	1565786_x_at	hypothetical LOC645566	FLJ45482	0.049	2.26	Unknown
HEATR1	218595_s_at	HEAT repeat containing 1	HEATR1	0.023	-2.11	Unknown
INO80D	231152_at	INO80 complex subunit D	INO80D	0.001	2.09	Unknown
GLTSCR1L	213208_at	KIAA0240	KIAA0240	0.042	-3.3	Unknown
KIAA0895	213424_at	KIAA0895	KIAA0895	0.046	-2.53	Unknown
KIAA0907	202220_at	KIAA0907	KIAA0907	0.013	-2.22	Unknown
KLHL24	226158_at	kelch-like 24 (Drosophila)	KLHL24	0.012	-2.38	Unknown
	229699_at	hypothetical LOC100129550	LOC100129550	0.025	-2.06	Unknown
	238661_at	hypothetical protein LOC100130155	LOC100130155	0.004	-2.05	Unknown
	236841_at	hypothetical LOC100134445	LOC100133859	0.007	-2.07	Unknown
	228909_at	hypothetical LOC642852	LOC642852	0.022	-2.14	Unknown
	234341_x_at	hypothetical protein LOC91548	LOC91548	0.026	2.48	Unknown
MALAT1	223578_x_at	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	MALAT1	0.026	-2.91	Unknown
	232568_at	hypothetical MGC24103	MGC24103	0.027	2.47	Unknown
PPM1K	244011_at	protein phosphatase 1K (PP2C domain containing)	PPM1K	0.02	-2.09	Unknown
	1554089_s_at	Shwachman-Bodian-Diamond syndrome	SBDS /// SBDSP	0.034	-2.37	Unknown
TIGD1	1553099_at	tigger transposable element derived 1	TIGD1	0.002	-2.3	Unknown
UBN2	225444_at	ubinuclein 2	UBN2	0.011	-2.27	Unknown
UBN2	225445_at	ubinuclein 2	UBN2	0.03	-2.1	Unknown
WDR53	227814_at	WD repeat domain 53	WDR53	0.001	-2.03	Unknown
WDR89	238650_x_at	WD repeat domain 89	WDR89	0.021	2.1	Unknown
YEATS2	221203_s_at	YEATS domain containing 2	YEATS2	0.048	-2.08	Unknown
	1556321_a_at			0.001	-2.07	Unknown
	1559867_at			0.004	2.06	Unknown
	1560745_at			0.013	2.1	Unknown
	1561754_at			0.028	2.37	Unknown
	1561909_at			0.04	2.28	Unknown
	1561995_at			0.001	2.13	Unknown
	1562086_at			0.006	2.05	Unknown
	1562766_at			0.002	2.69	Unknown
	1562849_at			0.025	2.2	Unknown
	1562905_at			0.023	2.29	Unknown
	1566452_at			0.004	3.22	Unknown
	224429_x_at			0.012	2.43	Unknown
	224438_at			0.049	2.44	Unknown
	224546_at			0.031	2.76	Unknown
	228191_at			0.027	-2.13	Unknown
	228528_at			0.007	-2.53	Unknown
	230959_at			0.003	2.33	Unknown
	231597_x_at			0.026	5.2	Unknown
	232562_at			0.019	-2.25	Unknown
	232615_at			0.029	-2.31	Unknown
	233330_s_at			0.027	2.9	Unknown
	233412_x_at			0.011	2.14	Unknown
	234625_at			0.022	2.16	Unknown
	234997_x_at			0.038	-2.07	Unknown
	235017_s_at			0	-2.32	Unknown
	235018_at			0	-2.14	Unknown
	235617_x_at			0.034	2.55	Unknown
	237201_at			0.002	2.06	Unknown
	239017_at	dual von Willebrand factor A domains		0.016	2.62	Unknown
	239577_at			0.042	-2.11	Unknown
	239735_at			0.044	2.02	Unknown
	242246_x_at			0.016	-2.06	Unknown
	242862_x_at			0.028	2.26	Unknown
	243125_x_at			0.001	2.13	Unknown
	243489_at			0.033	8.31	Unknown
	243626_at			0.031	2.11	Unknown
	243866_x_at			0.05	2.13	Unknown
	244866_at			0.048	2.25	Unknown
