Probe ID	p	Fold Change	Symbol	Entrez Gene Name
ILMN_1720113	0.2885	0.389	PTPRO	Protein tyrosine phosphatase, receptor type, O
ILMN_1805410	0.3197	0.374	C15orf48	Chromosome 15 open reading frame 48
ILMN_1771482	0.3102	0.363	KIAA1324	KIAA1324
ILMN_1680874	0.4134	0.325	TUBB2B	Tubulin, b 2B
ILMN_1710875	0.3904	0.311	MYEOV	Myeloma overexpressed (in a subset of t(11;14) positive multiple myelomas)
ILMN_1740938	0.4287	0.308	APOE	Apolipoprotein E
ILMN_1791759	0.4057	0.291	CXCL10	Chemokine (C-X-C motif) ligand 10
ILMN_1740586	0.4581	0.288	PLA2G2A	Phospholipase A2, group IIA (platelets, synovial fluid)
ILMN_1672776	0.4607	0.278	COL10A1	Collagen, type X, a 1
ILMN_1709139	0.5966	0.26	BGN	Biglycan
ILMN_1730706	0.4763	0.249	FOSB	FBJ murine osteosarcoma viral oncogene homolog B
ILMN_1659984	0.5378	0.237	MEP1A	Meprin A, a (PABA peptide hydrolase)
ILMN_1810172	0.5196	0.236	SFRP4	Secreted frizzled-related protein 4
ILMN_1739582	0.5399	0.223	HOXA9	Homeobox A9
ILMN_1786720	0.5943	0.208	PROM1	Prominin 1
ILMN_1685608	0.6595	0.186	NPTX2	Neuronal pentraxin II
ILMN_1709348	0.6008	0.183	ALDH1A1	Aldehyde dehydrogenase 1 family, member A1
ILMN_1793593	0.6314	0.179	FZD10	Frizzled homolog 10(Drosophila)
ILMN_1744951	0.6961	0.165	H19	H19, imprinted maternally expressed transcript (nonprotein coding)
ILMN_1652199	0.7663	0.165	LOC642113	LOC642113 Ig k chain V-III region HAH-like
ILMN_1685387	0.7891	0.159	PIGR	Polymeric immunoglobulin receptor
ILMN_1761946	0.7403	0.116	PROM2	Prominin 2
ILMN_1798496	0.7702	0.111	HOXB8	Homeobox B8
ILMN_1699214	0.8776	0.087	LOC647450	LOC647450 similar to Ig ê chain V-I region HK101 precursor
ILMN_1669046	0.8199	0.083	FOXQ1	Forkhead box Q1
ILMN_1715401	0.8399	0.074	MT1G	Metallothionein 1G
ILMN_1692223	0.8748	0.066	LCN2	Lipocalin 2
ILMN_1739508	0.9163	0.061	LOC652493	Ig k chain V-I region HK102-like
ILMN_1772218	0.8679	0.058	HLA-DPA1	Major histocompatibility complex, class II, DP á 1
ILMN_1790529	0.8827	0.052	LUM	Lumican
ILMN_1795190	0.9297	0.037	CLDN2	Claudin 2
ILMN_1685403	0.9605	0.022	MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)
ILMN_1760087	0.9722	0.018	SLC26A3	Solute carrier family 26, member 3
ILMN_1771919	0.981	0.013	LOC652694	Similar to Ig k chain V-I region HK102 precursor
ILMN_1666845	0.9909	0.004	KRT17	Keratin 17
ILMN_1696339	0.9697	0.014	ZIC2	Zic family member 2 (odd-paired homolog, Drosophila)
ILMN_1686573	0.8671	0.06	DEFB1	Defensin, b 1
ILMN_1726448	0.8772	0.062	MMP1	Matrix metallopeptidase 1 (interstitial collagenase)
ILMN_1697499	0.8796	0.077	HLA-DRB5	Major histocompatibility complex, class II, DR â 5
ILMN_1799020	0.8441	0.077	MUC12	Mucin 12, cell surface associated
ILMN_1689655	0.8045	0.091	HLA-DRA	Major histocompatibility complex, class II, DR á
ILMN_1679194	0.7946	0.091	UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7
ILMN_1755897	0.7821	0.096	UGT2B7	UDP glucuronosyltransferase 2 family, polypeptide B7
ILMN_1696245	0.8371	0.104	IGJ	Immunoglobulin J polypeptide, linker protein for immunoglobulin á and m polypeptides
ILMN_1801205	0.7537	0.113	GPNMB	Glycoprotein (transmembrane) nmb
ILMN_1681260	0.7586	0.113	LOC643272	LOC643272 hypothetical protein LOC643272
ILMN_1730054	0.7378	0.125	GSTT1	Glutathione S-transferase è 1
ILMN_1653026	0.7281	0.13	PLAC8	Placenta-specific 8
ILMN_1791711	0.6921	0.145	DUOXA2	Dual oxidase maturation factor 2
ILMN_1792404	0.6728	0.147	TM4SF4	Transmembrane 4 L 6 family member 4
ILMN_1804357	0.6907	0.149	GNG4	Guanine nucleotide binding protein (G protein), g 4
ILMN_1695631	0.6601	0.156	CHP2	Calcineurin B homologous protein 2
ILMN_1725193	0.5803	0.207	IGFBP2	Insulin-like growth factor binding protein 2, 36 kDa
ILMN_1733998	0.5423	0.216	DHRS9	Dehydrogenase/reductase (SDR family) member 9
ILMN_1806386	0.587	0.229	FAM55D	Family with sequence similarity 55, member D
ILMN_1721354	0.5321	0.237	KRT6B	Keratin 6B
ILMN_1792748	0.5543	0.248	CPS1	Carbamoyl-phosphate synthase 1, mitochondrial
ILMN_1768469	0.574	0.252	TCN1	Transcobalamin I (vitamin B12 binding protein, R binder family)
ILMN_1722489	0.5442	0.26	TFF1	Trefoil factor 1
ILMN_1674228	0.5446	0.266	LOC651751	LOC651751 similar to Ig ê chain V-II region RPMI 6410 precursor
ILMN_1763196	0.5115	0.27	WDR72	WD repeat domain 72
ILMN_1680757	0.4815	0.271	LRRC26	Leucine-rich repeat containing 26
ILMN_1660041	0.553	0.273	CEACAM7	CEA-related cell adhesion molecule 7
ILMN_1808245	0.454	0.273	C8orf84	Chromosome 8 open reading frame 84
ILMN_1695924	0.4592	0.282	KLK11	Kallikrein-related peptidase 11
ILMN_1799887	0.4089	0.287	CTSE	Cathepsin E
ILMN_1696584	0.4131	0.29	ORM1/ORM2	Orosomucoid 1
ILMN_1764266	0.5012	0.291	CKMT2	Creatine kinase, mitochondrial 2 (sarcomeric)
ILMN_1771970	0.4427	0.292	ALDOB	Aldolase B, fructose-bisphosphate
ILMN_1728787	0.4381	0.321	AGR3	Anterior gradient homolog 3 (Xenopus laevis)
ILMN_1804601	0.5229	0.33	LOC649923	LOC649923 similar to Ig g-2 chain C region
ILMN_1808405	0.363	0.345	HLA-DQA1	Major histocompatibility complex, class II, DQ a 1
ILMN_1752592	0.358	0.352	HLA-DRB4	Major histocompatibility complex, class II, DR b 4
ILMN_1793888	0.3426	0.371	SERPINB5	Serpin peptidase inhibitor, clade B (ovalbumin), member 5
ILMN_1808677	0.2996	0.382	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17
ILMN_1741566	0.2898	0.394	BMP7	Bone morphogenetic protein 7
ILMN_1766650	0.2565	0.421	FOXA1	Forkhead box A1
ILMN_1724375	0.3813	0.422	MUC17	Mucin 17, cell surface associated
ILMN_1740717	0.2217	0.43	ADH1C	Alcohol dehydrogenase 1C (class I), g polypeptide
ILMN_1693192	0.3259	0.452	PI3	Peptidase inhibitor 3, skin-derived
ILMN_1774570	0.2597	0.453	HLA-DRB5	HLA-DRB5 major histocompatibility complex, class II, DR b 5
ILMN_1666536	0.2468	0.465	VSIG2	V-set and immunoglobulin domain containing 2
ILMN_1651282	0.1915	0.468	COL17A1	Collagen, type XVII, a 1
ILMN_1743797	0.2093	0.473	LOC652102	Similar to Ig heavy chain V-I region HG3 precursor
ILMN_1768227	0.1899	0.477	DCN	Decorin
ILMN_1753954	0.3287	0.48	OLFM4	Olfactomedin 4
ILMN_1699704	0.2835	0.491	MSLN	Mesothelin
ILMN_1764309	0.1652	0.512	ADH1A	Alcohol dehydrogenase 1A (class I), á polypeptide
ILMN_1739390	0.2315	0.512	ZG16	Zymogen granule protein 16 homolog (rat)
ILMN_1698659	0.1449	0.534	ST6GALNAC1	ST6 (a-N-acetyl-neuraminyl-2,3-b-galactosyl-1,3)-N-acetylgalactosaminide a-2,6-sialyltransferase 1
ILMN_1791545	0.1304	0.547	KRT23	Keratin 23 (histone deacetylase inducible)
ILMN_1718984	0.2259	0.548	FCGBP	Fc fragment of IgG binding protein
ILMN_1690223	0.0901	0.601	CNTNAP2	Contactin-associated protein-like 2
ILMN_1780255	0.1095	0.637	KLK6	Kallikrein-related peptidase 6
ILMN_1695157	0.1299	0.671	CA4	Carbonic anhydrase IV
ILMN_1728075	0.0885	0.747	REG4	Regenerating islet-derived family, member 4
ILMN_1652431	0.0371	0.752	CA1	Carbonic anhydrase I
ILMN_1712082	0.0625	0.759	GCNT3	Glucosaminyl (N-acetyl) transferase 3, mucin type
ILMN_1699996	0.0522	0.787	ITLN1	Intelectin 1 (galactofuranose binding)
ILMN_1666733	0.0309	0.81	IL8	Interleukin 8
ILMN_1715169	0.1251	0.817	HLA-DRB1	Major histocompatibility complex, class II, DR b 1
ILMN_1695891	0.0372	0.819	LOC652775	LOC652775 similar to Ig k chain V-V region L7 precursor
ILMN_1681263	0.1212	0.85	SPINK4	Serine peptidase inhibitor, Kazal type 4
ILMN_1797219	0.0658	0.852	CLCA1	Chloride channel accessory 1
ILMN_1815205	0.011	1.169	LYZ	Lysozyme
