probeset_id	Gene Title	Gene Symbol	A-Value Base	A-Value +1833 CM	BH adjusted p-Value	M value fold change	Fold Change
1416299	Shc SH2-domain binding protein 1	Shcbp1	8.35	7.37	3.00E-04	-0.98	2
1426560	nephronectin	Npnt	8.82	7.84	7.00E-03	-0.98	2
1416757	Zwilch, kinetochore associated, homolog (Drosophila)	Zwilch	7.46	6.47	3.00E-03	-0.99	2
1448219	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	LOC100043	11.85	10.86	4.00E-03	-0.99	2
1421429	nephronectin	Npnt	8.47	7.48	5.00E-03	-0.99	2
1431530	tetraspanin 5	Tspan5	6.92	5.93	6.00E-03	-0.99	2
1422884	small nuclear ribonucleoprotein D3	Snrpd3	10.41	9.42	7.00E-04	-0.99	2
1416250	B-cell translocation gene 2, anti-proliferative	Btg2	10.03	9.03	9.00E-03	-0.99	2
1434752	zinc finger protein 207	Zfp207	5.46	4.46	2.00E-02	-1	2
1454659	dCMP deaminase	Dctd	7.67	6.66	2.00E-03	-1.01	2
1418150	myotubularin related protein 4	Mtmr4	7.27	6.26	4.00E-03	-1.01	2
1418772	cDNA sequence BC016423	BC016423	7.31	6.3	7.00E-03	-1.01	2
1438016	dyskeratosis congenita 1, dyskerin homolog (human)	Dkc1	9.39	8.38	2.00E-04	-1.01	2
1415931	insulin-like growth factor 2	Igf2	6.21	5.19	5.00E-03	-1.02	2
1452242	centrosomal protein 55	Cep55	8	6.98	3.00E-03	-1.02	2
1422944	diaphanous homolog 3 (Drosophila)	Diap3	5.92	4.9	5.00E-04	-1.02	2
1420816	3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma polypeptide	Ywhag	8.39	7.37	7.00E-03	-1.02	2
1417910	cyclin A2	Ccna2	9.6	8.58	1.00E-04	-1.02	2
1416076	cyclin B1, related sequence 1 /// cyclin B1/// predicted gene, EG434175 /// similar to cyclin B1	Ccnb1	7.11	6.09	8.00E-04	-1.02	2
1417911	cyclin A2	Ccna2	9.29	8.26	1.00E-04	-1.02	2
1418677	actinin alpha 3	Actn3	8.72	7.69	5.00E-04	-1.02	2
1455945	zinc finger protein 817	Zfp817	6.31	5.28	3.00E-02	-1.03	2
1424292	DEP domain containing 1a	Depdc1a	7.72	6.68	2.00E-03	-1.03	2
1416258	thymidine kinase 1	Tk1	8.7	7.66	5.00E-04	-1.03	2
1452534	high mobility group box 2	Hmgb2	9.49	8.46	2.00E-04	-1.04	2.1
1452690	KH-type splicing regulatory protein	Khsrp	8.57	7.53	1.00E-02	-1.04	2.1
1416102	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	Ywhaz	10.79	9.75	9.00E-03	-1.04	2.1
1417949	interleukin enhancer binding factor 2	Ilf2	8.97	7.93	1.00E-02	-1.04	2.1
1449250	papillary renal cell carcinoma (translocation-associated)	Prcc	7.32	6.28	4.00E-02	-1.04	2.1
1417464	troponin C2, fast	Tnnc2	7.36	6.32	4.00E-05	-1.04	2.1
1450851	WD repeat domain 1	Wdr1	11.05	10.01	2.00E-03	-1.04	2.1
1417926	non-SMC condensin II complex, subunit G2	Ncapg2	7.61	6.57	5.00E-04	-1.04	2.1
1437313_x	high mobility group box 2	Hmgb2	9.11	8.07	3.00E-04	-1.04	2.1
1417938	RAD51 associated protein 1	Rad51ap1	7.64	6.6	1.00E-03	-1.04	2.1
1445268	Transcribed locus	---	7.6	6.55	1.00E-04	-1.05	2.1
1426988	kelch domain containing 5	Klhdc5	9.36	8.3	2.00E-02	-1.05	2.1
1434079_s	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)	Mcm2	10.11	9.06	1.00E-04	-1.05	2.1
1455246	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Smarcc1	8.63	7.58	1.00E-02	-1.05	2.1
1426262	ADNP homeobox 2	Adnp2	7.27	6.22	1.00E-02	-1.06	2.1
1423169	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor	Taf7	6.19	5.13	4.00E-03	-1.06	2.1
1434342	S100 protein, beta polypeptide, neural	S100b	10.21	9.15	8.00E-05	-1.06	2.1
1437611_x	kinesin family member 2C	Kif2c	7.71	6.65	3.00E-04	-1.06	2.1
1418911_s	acyl-CoA synthetase long-chain family member 4	Acsl4	7.7	6.64	3.00E-02	-1.06	2.1
1448635	structural maintenance of chromosomes 2	Smc2	9.04	7.97	5.00E-04	-1.07	2.1
1455482	adaptor protein complex AP-2, alpha 2 subunit	Ap2a2	8.32	7.24	2.00E-02	-1.08	2.1
1433848	cell division cycle 27 homolog (S. cerevisiae)	Cdc27	7.18	6.1	3.00E-03	-1.08	2.1
1438320_s	minichromosome maintenance deficient 7 (S. cerevisiae)	Mcm7	10.01	8.93	5.00E-04	-1.08	2.1
1421731	flap structure specific endonuclease 1	Fen1	8.46	7.38	6.00E-04	-1.08	2.1
1422430	fidgetin-like 1	Fignl1	8.41	7.32	1.00E-04	-1.08	2.1
1436329	early growth response 3	Egr3	6.63	5.54	9.00E-04	-1.08	2.1
1434695	denticleless homolog (Drosophila)	Dtl	7.06	5.97	8.00E-04	-1.09	2.1
1416516	fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)	Fscn1	9.1	8.02	5.00E-03	-1.09	2.1
1417450	transforming, acidic coiled-coil containing protein 3	Tacc3	7.38	6.29	6.00E-03	-1.09	2.1
1452401	Wilms tumour 1-associating protein	Wtap	10.89	9.8	9.00E-03	-1.09	2.1
1415849_s	stathmin 1	Stmn1	10.91	9.8	1.00E-04	-1.1	2.1
1420028_s	minichromosome maintenance deficient 3 (S. cerevisiae)	LOC100045	8.53	7.43	5.00E-04	-1.11	2.2
1448885	RAP2B, member of RAS oncogene family	Rap2b	9.45	8.34	6.00E-03	-1.11	2.2
1418206	stromal cell-derived factor 2-like 1	Sdf2l1	8.65	7.52	9.00E-03	-1.13	2.2
1418764	bisphosphate 3-nucleotidase 1	Bpnt1	7.59	6.46	8.00E-04	-1.13	2.2
1450378	TAP binding protein	Tapbp	10.55	9.41	1.00E-02	-1.14	2.2
1460291	cyclin-dependent kinase 6	Cdk6	5.8	4.66	3.00E-02	-1.14	2.2
1429509	LSM12 homolog (S. cerevisiae)	Lsm12	7.58	6.43	2.00E-02	-1.15	2.2
1419153	RIKEN cDNA 2810417H13 gene	2810417H13R	9.93	8.78	2.00E-04	-1.15	2.2
1424046	budding uninhibited by benzimidazoles 1 homolog (S. cerevisiae)	Bub1	7.72	6.55	1.00E-03	-1.17	2.3
1426652	minichromosome maintenance deficient 3 (S. cerevisiae)	LOC100045	7.86	6.69	2.00E-04	-1.17	2.3
1423520	lamin B1	Lmnb1	6.51	5.33	2.00E-04	-1.18	2.3
1437187	E2F transcription factor 7 /// similar to E2F transcription factor 7	E2f7///LOC6	7.08	5.9	2.00E-04	-1.18	2.3
1416497	protein disulfide isomerase associated 4	Pdia4	9.44	8.25	3.00E-02	-1.19	2.3
1429295_s	thyroid hormone receptor interactor 13	Trip13	6.81	5.61	1.00E-03	-1.2	2.3
1416120	ribonucleotide reductase M2	Rrm2	8.02	6.81	2.00E-04	-1.21	2.3
1417541	helicase, lymphoid specific	Hells	8.32	7.11	7.00E-04	-1.21	2.3
1423311_s	trophoblast glycoprotein	Tpbg	8.48	7.27	2.00E-02	-1.21	2.3
1448777	minichromosome maintenance deficient 2 mitotin (S. cerevisiae)	Mcm2	9.19	7.97	1.00E-04	-1.22	2.3
1428392	Ras association (RalGDS/AF-6) domain family 2	Rassf2	8.22	7.01	4.00E-03	-1.22	2.3
1450075	polymerase (DNA directed), eta (RAD 30 related)	Polh	6.94	5.72	2.00E-03	-1.22	2.3
1436847_s	cell division cycle associated 8	Cdca8	8.04	6.82	9.00E-04	-1.22	2.3
1425514	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	Pik3r1	8.48	7.25	1.00E-02	-1.22	2.3
1428105	TPX2, microtubule-associated protein homolog (Xenopus laevis)	Tpx2	7.08	5.84	1.00E-04	-1.24	2.4
1437904	similar to developmentally regulated RNA-binding protein 1	LOC100046	6.97	5.72	4.00E-03	-1.25	2.4
1426818	arrestin domain containing 4	Arrdc4	8.03	6.78	8.00E-04	-1.25	2.4
1416558	maternal embryonic leucine zipper kinase	Melk	7.93	6.65	8.00E-05	-1.27	2.4
1434437_x	ribonucleotide reductase M2	Rrm2	9.41	8.13	3.00E-04	-1.28	2.4
1438852_x	minichromosome maintenance deficient 6 (MIS5 homolog, S. pombe) (S. cerevisiae) Mcm6		8.76	7.49	1.00E-04	-1.28	2.4
1421024	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	Agpat1	8.4	7.1	6.00E-03	-1.3	2.5
1426561	nephronectin	Npnt	10.18	8.88	2.00E-03	-1.31	2.5
1455338	alpha 1,4-galactosyltransferase	A4galt	8.4	7.09	3.00E-02	-1.31	2.5
1425349	myelin basic protein expression factor 2, repressor	Myef2	6.29	4.98	5.00E-03	-1.31	2.5
1450886	germ cell-specific gene 2	Gsg2	5.81	4.48	1.00E-03	-1.32	2.5
1416038	staphylococcal nuclease and tudor domain containing 1	Snd1	10.38	9.06	4.00E-03	-1.33	2.5
1424278	baculoviral IAP repeat-containing 5	Birc5	9.67	8.33	1.00E-04	-1.34	2.5
1416515	fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)	Fscn1	9.51	8.16	4.00E-03	-1.35	2.5
1417764	signal sequence receptor, alpha	LOC636537	9.35	7.99	6.00E-03	-1.35	2.6
1439197	phosphatidylinositol 4-kinase, catalytic, beta polypeptide	Pi4kb	7.7	6.35	1.00E-03	-1.35	2.6
1436808_x	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	Mcm5	8.78	7.41	2.00E-04	-1.37	2.6
1417705	OTU domain, ubiquitin aldehyde binding 1	LOC100046	9.34	7.97	4.00E-03	-1.37	2.6
AFFX-18SRNAM	18S RNA	Rn18s	11.19	9.82	2.00E-02	-1.37	2.6
1422845	calnexin	Canx	11.31	9.92	4.00E-03	-1.39	2.6
1441788_s	dyskeratosis congenita 1, dyskerin homolog (human)	Dkc1	7.93	6.53	1.00E-03	-1.4	2.6
1443755	Transcribed locus, weakly similar to XP_001068222.1 similar to arylsulfatase E precursor [Rattus norvegicus]	---	8.65	7.24	3.00E-02	-1.41	2.7
1428304	establishment of cohesion 1 homolog 2 (S. cerevisiae)	Esco2	5.71	4.27	4.00E-04	-1.45	2.7
1452912	RIKEN cDNA 2600005O03 gene	2600005O03R	5.97	4.51	1.00E-04	-1.46	2.7
1417724	THO complex 4	Thoc4	9.6	8.14	6.00E-04	-1.46	2.8
1454791	retinoblastoma binding protein 4	Rbbp4	10.13	8.64	1.00E-03	-1.48	2.8
1422535	cyclin E2	Ccne2	7.21	5.73	3.00E-04	-1.48	2.8
AFFX-18SRNAM	18S RNA /// BAI1-associated protein 2-like 1 /// NLR family, CARD domain containing 3	Baiap2l1//	10.58	9.04	2.00E-02	-1.54	2.9
1415810	ubiquitin-like, containing PHD and RING finger domains, 1	Uhrf1	8.83	7.25	3.00E-05	-1.58	3
1420863	dynactin 4	Dctn4	6.59	5	9.00E-03	-1.59	3
1422993_s	THO complex 4 /// RNA and export factor binding protein 2	Refbp2///	9.58	7.98	1.00E-03	-1.6	3
1425753	uracil DNA glycosylase	Ung	7.52	5.92	8.00E-05	-1.61	3
1415945	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	Mcm5	7.71	6.1	2.00E-04	-1.61	3.1
1417019	cell division cycle 6 homolog (S. cerevisiae)	Cdc6	6.93	5.24	4.00E-05	-1.68	3.2
1415811	ubiquitin-like, containing PHD and RING finger domains, 1	Uhrf1	7.79	6.08	5.00E-05	-1.72	3.3
1420988	polymerase (DNA directed), eta (RAD 30 related)	Polh	6.12	4.39	5.00E-03	-1.73	3.3
1449018	profilin 1	Pfn1	12.3	10.55	2.00E-03	-1.74	3.3
1448226	ribonucleotide reductase M2	Rrm2	8.8	7.03	5.00E-06	-1.77	3.4
1424101	heterogeneous nuclear ribonucleoprotein L	Hnrnpl	9.35	7.56	1.00E-03	-1.79	3.5
1431804	trans-acting transcription factor 3	Sp3	9.3	7.47	1.00E-02	-1.83	3.5
1419152	RIKEN cDNA 2810417H13 gene	2810417H13R	7.8	5.87	5.00E-05	-1.94	3.8
1417461	CAP, adenylate cyclase-associated protein 1 (yeast)	Cap1	8.99	6.74	6.00E-03	-2.25	4.8
1421431	polymerase I and transcript release factor	Ptrf	8.75	6.5	5.00E-03	-2.25	4.8
1415997	thioredoxin interacting protein	Txnip	10.75	8.27	1.00E-06	-2.48	5.6
1415996	thioredoxin interacting protein	Txnip	11.5	8.97	2.00E-06	-2.53	5.8
1417462	CAP, adenylate cyclase-associated protein 1 (yeast)	Cap1	8.23	5.5	3.00E-03	-2.72	6.6
