Curated Gene Symbol	gene_symbol	A? (Log2 Ratio)	A?AL (Log2 Ratio)	AL (Log2 Ratio)	RefSeq	description
TIGD7	TIGD7	-0.39	-1.22	0.6	NM_033208	tigger transposable element derived 7 [Source:RefSeq_peptide;Acc:NP_149985]
		1.1	-1.21	0.51		Similar to Metalloprotease 1
MAMDC2	MAMDC2	-0.26	-1.21	-0.48	NM_153267	MAM domain containing protein 2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q7Z304]
		-0.23	-1.21	-0.29	XM_498385	-
		0.5	-1.21	-0.27		79 kDa protein [Source:IPI;Acc:IPI00479482]
		0.55	-1.21	0.56	XM_498383	-
		0.45	-1.2	-0.21	XM_210515	-
		0.38	-1.2	0.69	NM_015393	-
OR10Z1	OR10Z1	-0.34	-1.2	0.72	NM_001004478	Olfactory receptor 10Z1. [Source:Uniprot/SWISSPROT;Acc:Q8NGY1]
RNF151	RNF151	0.58	-1.2	-0.17	XM_370927	PREDICTED: hypothetical protein LOC146310 [Source:RefSeq_peptide;Acc:XP_370927]
	Q9BSL4_HUMAN	0.15	-1.2	-0.26	XM_498903	MGC10955 protein. [Source:Uniprot/SPTREMBL;Acc:Q9BSL4]
EML2	EML2	1.76	-1.2	0.02	NM_012155	Echinoderm microtubule-associated protein-like 2 (EMAP-2) (HuEMAP-2). [Source:Uniprot/SWISSPROT;Acc:O95834]
		-0.37	-1.19	0.25		20 kDa protein [Source:IPI;Acc:IPI00232867]
	RPB10_HUMAN	0.98	-1.19	0.89	NM_021128	DNA-directed RNA polymerase II 7.6 kDa polypeptide (EC 2.7.7.6) (RPB10) (RPB7.6) (RPABC5). [Source:Uniprot/SWISSPROT;Acc:P62875]
CTHRC1	CTHRC1	-0.16	-1.18	-0.01	NM_138455	collagen triple helix repeat containing 1 [Source:RefSeq_peptide;Acc:NP_612464]
	Q8NGQ7_HUMAN	-0.06	-1.18	-0.23		Seven transmembrane helix receptor. [Source:Uniprot/SPTREMBL;Acc:Q8NGQ7]
		0.39	-1.18	-0.17		12 kDa protein [Source:IPI;Acc:IPI00479012]
		0.06	-1.18	0.21	NM_024317	leukocyte immunoglobulin-like receptor, subfamily A, member 5 [Source:RefSeq_peptide;Acc:NP_077293]
		0.5	-1.18	-0.27		Hypothetical protein
		0.71	-1.18	1.15		Hypothetical protein
MTTP	MTP	0.06	-1.17	-0.33	NM_000253	Microsomal triglyceride transfer protein large subunit precursor. [Source:Uniprot/SWISSPROT;Acc:P55157]
		-0.22	-1.17	1.45		13 kDa protein [Source:IPI;Acc:IPI00478647]
		-0.16	-1.17	-0.13		Non-protein coding transcript
C20orf187	C20orf187	0.11	-1.17	-0.46		OTTHUMP00000030283. [Source:Uniprot/SPTREMBL;Acc:Q9UGB4]
OR4L1	OR4L1	1.22	-1.17	0.31	NM_001004717	Olfactory receptor 4L1. [Source:Uniprot/SWISSPROT;Acc:Q8NH43]
SPP2	SPP2	1.42	-1.17	-0.45	NM_006944	Secreted phosphoprotein 24 precursor (Spp-24) (Secreted phosphoprotein 2). [Source:Uniprot/SWISSPROT;Acc:Q13103]
HIP1	HIP1	-0.21	-1.17	0.11	NM_005338	Huntingtin interacting protein 1 (HIP-I). [Source:Uniprot/SWISSPROT;Acc:O00291]
		0.15	-1.17	-0.15	XM_371778	-
		0.43	-1.17	-0.47	NM_001001683	similar to HSPC296 [Source:RefSeq_peptide;Acc:NP_001001683]
	PEPP1_HUMAN	-0.39	-1.17	0.68	NM_139282	Paired-like homeobox protein PEPP-1 (Ovary-, testis- and epididymis- expressed gene protein). [Source:Uniprot/SWISSPROT;Acc:Q8NHV9]
		0.8	-1.17	0.8	XM_374066	-
		0.16	-1.16	0.11		85 kDa protein [Source:IPI;Acc:IPI00333154]
	Q8NES6_HUMAN	0	-1.16	0.15	NM_020948	mesoderm induction early response 1 [Source:RefSeq_peptide;Acc:NP_065999]
		-0.15	-1.16	-0.17		PREDICTED: hypothetical protein XP_372224 [Source:RefSeq_peptide;Acc:XP_372224]
		0.59	-1.16	-0.21		Non-protein coding transcript
		0.14	-1.16	0.73	XM_378203	-
		-0.28	-1.16	-0.35		AF012331 Human Endogenous Retrovirus K1,2-17 5 retroviral regulatory terminal end
		1.49	-1.16	1.33		Hypothetical protein
PPP1R3D	PPP1R3D	0.29	-1.16	1.8	NM_006242	Protein phosphatase 1, regulatory subunit 3D (Protein phosphatase 1, regulatory subunit 6) (Protein phosphatase 1 binding subunit R6). [Source:Uniprot/SWISSPROT;Acc:O95685]
		-0.24	-1.16	0.05		Hypothetical protein
	STNB_HUMAN	0.31	-1.15	0.08	NM_033104	Stonin 2 (Stoned B). [Source:Uniprot/SWISSPROT;Acc:Q8WXE9]
C5AR1	C5R1	-0.13	-1.15	0.29	NM_001736	C5a anaphylatoxin chemotactic receptor (C5a-R) (C5aR) (CD88 antigen). [Source:Uniprot/SWISSPROT;Acc:P21730]
		0.18	-1.15	1.39	XM_374173	-
		0.7	-1.15	0.58	NM_207503	-
	Q9BYW7_HUMAN	0	-1.15	0.17		OTTHUMP00000029966 (Fragment). [Source:Uniprot/SPTREMBL;Acc:Q9BYW7]
TWSG1	TWSG1	0.24	-1.15	-0.44	NM_020648	twisted gastrulation [Source:RefSeq_peptide;Acc:NP_065699]
		0.69	-1.15	1.05		PREDICTED: similar to Hypothetical protein DJ845O24.2 [Source:RefSeq_peptide;Acc:XP_291638]
C11orf1	C11orf1	0.26	-1.14	0.82	NM_022761	-
		0.79	-1.14	1.23		Hypothetical protein
		-0.31	-1.14	0.1	XM_497928	-
ENPP4	ENPP4	0.21	-1.14	-0.37	NM_014936	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative function) [Source:RefSeq_peptide;Acc:NP_055751]
ZBED2	ZBED2	0.87	-1.14	-0.11	NM_024508	Zinc finger BED domain containing protein 2. [Source:Uniprot/SWISSPROT;Acc:Q9BTP6]
	TSKS_HUMAN	0.29	-1.14	0.88		Testis-specific serine kinase substrate (Testis-specific kinase substrate) (STK22 substrate 1). [Source:Uniprot/SWISSPROT;Acc:Q9UJT2]
		0.27	-1.14	0.33	NM_201565	-
		-0.01	-1.13	-0.33	NM_001002915	-
		0.48	-1.13	-0.37	NM_018211	-
