Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_010738_at	Ly6a	lymphocyte antigen 6 complex, locus A	11.76	P	10.09	P	11.18	P	1.67	0.003	type I
NM_144551_at	Trib2	tribbles homolog 2 (Drosophila)	6.35	P	4.8	P	6.94	P	1.55	0.003	cytoplasmic
NM_009510_at	Ezr	ezrin	11.53	P	10.02	P	11.57	P	1.51	0.003	cytoplasmic
NM_001145821_at	Ggta1	glycoprotein galactosyltransferase alpha 1, 3	7.39	P	5.87	P	6.36	P	1.52	0.004	type II
NM_007987_at	Fas	Fas (TNF receptor superfamily member 6)	6.98	! PPM	5.45	! PMA	6.19	A	1.53	0.003	cytoplasmic, type II
NM_173030_at	Galnt13	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 13	6.91	P	5.37	P	6.14	P	1.53	0.004	type II
NM_178682_at	4933426M11Rik	RIKEN cDNA 4933426M11 gene	9.1	P	7.62	P	8.25	P	1.48	0.004	multipass
NM_178907_at	Mapkapk3	mitogen-activated protein kinase-activated protein kinase 3	8.68	P	7.2	P	8	P	1.48	0.004	cytoplasmic, type II
NM_178804_at	Slit2	slit homolog 2 (Drosophila)	10.08	P	8.6	P	10.41	P	1.48	0.004	cytoplasmic
XM_001479889_at	LOC100048267	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 EST	6.6	P	5.11	! APA	5.88	! AP	1.49	0.004	cytoplasmic
NM_181585_at	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	8.79	P	7.31	P	8.36	P	1.48	0.004	cytoplasmic
NM_010515_at	Igf2r	insulin-like growth factor 2 receptor	9.01	P	7.55	P	8.43	P	1.46	0.004	type I
NM_027040_at	1700007K13Rik	RIKEN cDNA 1700007K13 gene	5.56	P	4.06	A	4.63	A	1.5	0.004	cytoplasmic
NM_007680_at	Ephb6	Eph receptor B6	6.76	P	5.27	A	5.63	A	1.49	0.004	type I
NM_144916_at	Tmem150	transmembrane protein 150	8.23	P	6.79	! PPM	7.37	P	1.44	0.004	multipass
NM_134076_at	Abhd4	abhydrolase domain containing 4	9.74	P	8.27	P	8.67	P	1.47	0.004	cytoplasmic
NM_016923_at	Ly96	lymphocyte antigen 96	6.52	P	5.05	! PPM	6.07	P	1.47	0.004	secreted
NM_001159711_at	Ly96	lymphocyte antigen 96	6.59	P	5.08	! PPM	6.08	P	1.52	0.004	secreted
NM_022025_at	Slc5a7	solute carrier family 5 (choline transporter), member 7	6.95	P	5.42	! MAA	6.35	P	1.54	0.004	multipass
NM_015744_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	7.71	P	6.17	P	8.58	P	1.54	0.004	type II
NM_001136077_at	Enpp2	ectonucleotide pyrophosphatase/phosphodiesterase 2	7.76	P	6.45	A	8.73	P	1.31	0.013	type II
NM_011977_at	Slc27a1	solute carrier family 27 (fatty acid transporter), member 1	8.55	P	7.09	! PPA	8.58	P	1.46	0.005	cytoplasmic, secreted
NM_054087_at	Slc19a2	solute carrier family 19 (thiamine transporter), member 2	8.41	P	6.97	P	7.26	P	1.44	0.004	multipass
NM_008409_at	Itm2a	integral membrane protein 2A	6.76	P	5.33	! PPA	6.23	P	1.43	0.005	type II
NM_001038015_at	Gnpda2	glucosamine-6-phosphate deaminase 2	5.4	P	3.97	A	5.72	P	1.44	0.005	cytoplasmic
NM_011729_at	Ercc5	excision repair cross-complementing rodent repair deficiency, complementation group 5	8.08	P	6.7	P	7.07	P	1.38	0.006	cytoplasmic, type II
XM_916287_at	LOC637082	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 2 mRNAs, 58 ESTs, 2 Proteins	8.13	P	6.74	! PPA	7.86	P	1.39	0.006	cytoplasmic
NM_001033293_at	Uap1l1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	10.55	P	9.17	P	10.26	P	1.38	0.006	cytoplasmic
NM_054041_at	Antxr1	anthrax toxin receptor 1	10.74	P	9.37	P	9.73	P	1.36	0.006	type I, type II
NM_001113461_at	Tec	tec protein tyrosine kinase	7.63	P	6.27	! MAA	7.59	P	1.36	0.006	cytoplasmic
NM_001040684_at	Hsd3b7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	6.76	P	5.38	P	5.83	P	1.38	0.006	cytoplasmic, multipass
NM_011825_at	Grem2	gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis)	8.86	P	7.43	P	8.44	P	1.43	0.006	secreted
NM_019861_at	Ctsf	cathepsin F	7.18	P	5.82	A	6.19	A	1.36	0.006	cytoplasmic, secreted
NM_012031_at	Spag1	sperm associated antigen 1	6.5	P	5.04	! PAA	5.38	A	1.45	0.006	cytoplasmic
NM_001005863_at	Mtus1	mitochondrial tumor suppressor 1	6.37	P	5.01	P	5.27	P	1.36	0.006	cytoplasmic, type II
NM_001033636_at	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2	5.03	P	3.67	! PPA	4.57	P	1.36	0.006	cytoplasmic
NM_007421_at	Adssl1	adenylosuccinate synthetase like 1	6.01	! APA	4.64	A	5.8	A	1.38	0.007	cytoplasmic
NM_027166_at	Ypel5	yippee-like 5 (Drosophila)	9.02	P	7.66	P	8.22	P	1.36	0.007	cytoplasmic
NM_007899_at	Ecm1	extracellular matrix protein 1	10.32	P	8.97	P	9.45	P	1.36	0.007	secreted
NM_146120_at	Gsn	gelsolin	12.48	P	11.13	P	11.71	P	1.35	0.007	cytoplasmic, secreted
NM_019753_at	Cdh17	cadherin 17	5.68	P	4.31	A	6.64	P	1.38	0.007	type I
NM_001001979_at	Megf10	multiple EGF-like-domains 10	6.26	! PPM	4.79	! PAA	5.63	! PA	1.47	0.007	type I
NM_183315_at	Ctxn1	cortexin 1	9.98	P	8.65	P	9.26	P	1.32	0.007	type II
XM_988868_at	LOC676300	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 mRNAs, 31 ESTs, 6 Proteins	7.53	P	6.09	P	7.04	P	1.44	0.007	multipass
NM_145133_at	Tifa	TRAF-interacting protein with forkhead-associated domain	8.11	P	6.78	! PPA	7.84	P	1.33	0.007	cytoplasmic
NM_013886_at	Hdgfrp3	hepatoma-derived growth factor, related protein 3	5.71	P	4.37	A	5.56	P	1.34	0.007	cytoplasmic
NM_017400_at	Sh3gl3	SH3-domain GRB2-like 3	7.64	P	6.28	! PPA	6.55	! PA	1.36	0.007	cytoplasmic
NM_021507_at	Sqrdl	sulfide quinone reductase-like (yeast)	9.6	P	8.24	P	9.15	P	1.36	0.007	cytoplasmic
NM_012048_at	Polk	polymerase (DNA directed), kappa	8.01	P	6.68	P	7.05	P	1.33	0.007	cytoplasmic
NM_009906_at	Tpp1	tripeptidyl peptidase I	9.8	P	8.47	P	9.41	P	1.34	0.007	cytoplasmic, secreted
NM_153098_at	Cd109	CD109 antigen	9.51	P	8.19	P	8.99	P	1.32	0.007	cytoplasmic, secreted
NM_148933_at	Slco4a1	solute carrier organic anion transporter family, member 4a1	6.88	P	5.58	! PAA	7.96	P	1.31	0.008	type II, multipass
NM_001039056_at	Kcnj15	potassium inwardly-rectifying channel, subfamily J, member 15	7.69	P	6.34	P	7.09	P	1.35	0.008	multipass
NM_009655_at	Alcam	activated leukocyte cell adhesion molecule	7.49	P	6.18	P	6.62	P	1.32	0.008	secreted, type I
NM_007486_at	Arhgdib	Rho, GDP dissociation inhibitor (GDI) beta	7.26	P	5.96	A	7.19	P	1.3	0.008	cytoplasmic
NM_010189_at	Fcgrt	Fc receptor, IgG, alpha chain transporter	8.25	P	6.95	P	7.29	P	1.3	0.008	type I
NM_030700_at	Maged2	melanoma antigen, family D, 2	9.56	P	8.24	P	8.9	P	1.32	0.008	cytoplasmic
NM_020003_at	0610031J06Rik	RIKEN cDNA 0610031J06 gene	10.7	P	9.41	P	10.79	P	1.29	0.008	type I
NM_019687_at	Slc22a4	solute carrier family 22 (organic cation transporter), member 4	5.47	! PPM	4.14	A	4.35	A	1.33	0.009	multipass
NM_027309_at	Lysmd2	LysM, putative peptidoglycan-binding, domain containing 2	6.67	A	5.4	A	6.38	A	1.27	0.009	cytoplasmic
NM_008182_at	Gsta2	glutathione S-transferase, alpha 2 (Yc2)	5.08	! PPA	3.61	A	4.82	P	1.47	0.009	cytoplasmic
NM_023143_at	C1ra	complement component 1, r subcomponent A	6.19	P	4.89	A	5.07	A	1.3	0.009	secreted
XM_001475499_at	LOC100046560	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 30 ESTs, 13 Proteins	9.58	P	8.29	P	8.94	P	1.29	0.009	cytoplasmic
NM_010387_at	H2-DMb1	histocompatibility 2, class II, locus Mb1	5.44	P	4.17	! PPA	4.41	A	1.28	0.009	type I
NM_001081279_at	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	8.35	P	7.1	P	7.78	P	1.25	0.009	type II
NM_053267_at	Selm	selenoprotein M	10.99	P	9.74	P	10.24	P	1.25	0.01	cytoplasmic
NM_178111_at	Trp53inp2	transformation related protein 53 inducible nuclear protein 2	8.49	! MPM	7.25	A	8.05	! MM	1.24	0.01	cytoplasmic
NM_172691_at	B230312A22Rik	RIKEN cDNA B230312A22 gene	8.53	P	7.29	P	7.68	P	1.24	0.01	cytoplasmic
XR_035269_at	4930429B21Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 2 mRNAs, 8 ESTs	5.56	P	4.31	! PAA	4.69	! PA	1.25	0.01	type II
XM_906857_at	LOC632664	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 48 ESTs, 2 Proteins	9.01	P	7.78	P	8.37	P	1.23	0.011	cytoplasmic
NM_178751_at	Orai2	ORAI calcium release-activated calcium modulator 2	7.66	P	6.39	! PPA	6.65	P	1.27	0.011	multipass
NM_198411_at	2610204M08Rik	RIKEN cDNA 2610204M08 gene	9.2	P	7.97	P	8.73	P	1.22	0.011	cytoplasmic, type II
XR_033249_at	LOC100047142	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 4 mRNAs, 61 ESTs, 7 Proteins	9.2	P	7.97	P	8.73	P	1.22	0.011	pseudogene
NM_026376_at	Plxnd1	plexin D1	8.37	P	7.15	P	7.3	P	1.22	0.011	cytoplasmic, type I
NM_008979_at	Ptpn22	protein tyrosine phosphatase, non-receptor type 22 (lymphoid)	7.66	P	6.33	P	7.18	P	1.33	0.011	cytoplasmic
NM_007635_at	Ccng2	cyclin G2	9.03	P	7.77	P	9.13	P	1.26	0.011	cytoplasmic
XM_001476518_at	LOC100046469	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 8 mRNAs, 134 ESTs, 8 Proteins	6.82	P	5.61	P	7.19	P	1.22	0.011	cytoplasmic
NM_001159536_at	Adcy3	adenylate cyclase 3	6.8	P	5.58	A	6.49	P	1.22	0.011	multipass
NM_027627_at	4931408A02Rik	RIKEN cDNA 4931408A02 gene	8.16	P	6.94	P	7.75	P	1.22	0.011	secreted, type II
NM_177340_at	Synpo	synaptopodin	7.04	P	5.8	P	6.78	P	1.24	0.011	cytoplasmic
NM_011452_at	Serpinb9b	serine (or cysteine) peptidase inhibitor, clade B, member 9b	7.03	P	5.77	! APA	6.96	! PM	1.25	0.011	cytoplasmic
NM_145508_at	Dyrk3	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3	7.72	! PPM	6.49	A	7.94	! PM	1.23	0.011	cytoplasmic
NM_145619_at	Parp3	poly (ADP-ribose) polymerase family, member 3	8.01	P	6.8	P	7.27	P	1.2	0.011	cytoplasmic
XM_001473280_at	LOC100044897	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 64 ESTs, 10 Proteins	8.28	P	7.08	P	7.77	P	1.2	0.012	multipass
NM_172767_at	Vwa5a	von Willebrand factor A domain containing 5A	7.59	P	6.38	P	7.15	P	1.21	0.012	cytoplasmic
NM_153420_at	Acpl2	acid phosphatase-like 2	9.77	P	8.5	P	9.46	P	1.26	0.012	type II
XM_128949_at	2310002L13Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 8 ESTs	5.98	! PPA	4.65	! MAA	6.16	! PA	1.33	0.012	type II
XM_001479990_at	LOC100048309	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 33 ESTs, 12 Proteins	5.4	P	4.13	! PPA	4.59	P	1.28	0.013	cytoplasmic
NM_146115_at	A830007P12Rik	RIKEN cDNA A830007P12 gene	8.11	P	6.91	P	7.34	P	1.2	0.013	cytoplasmic
NM_011173_at	Pros1	protein S (alpha)	7.79	P	6.58	P	6.78	P	1.21	0.013	secreted, type II
NM_009636_at	Aebp1	AE binding protein 1	10.6	P	9.42	P	9.82	P	1.18	0.013	cytoplasmic, secreted
NM_153559_at	Qsox2	quiescin Q6 sulfhydryl oxidase 2	8.1	P	6.93	P	7.05	P	1.17	0.014	secreted, type II, multipass
NM_009983_at	Ctsd	cathepsin D	11.24	P	10.07	P	10.86	P	1.18	0.014	secreted
NM_207204_at	Ninl	ninein-like	5.36	P	4.08	P	5.09	P	1.28	0.015	cytoplasmic
NM_009656_at	Aldh2	aldehyde dehydrogenase 2, mitochondrial	11.73	P	10.55	P	11.32	P	1.18	0.015	cytoplasmic
NM_026192_at	Calcoco1	calcium binding and coiled coil domain 1	7.96	P	6.78	P	7.21	P	1.18	0.015	cytoplasmic
NM_027760_at	Rassf8	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8	4.85	! MMM	3.65	! MAA	3.79	! MM	1.21	0.015	cytoplasmic
NM_001037987_at	Edil3	EGF-like repeats and discoidin I-like domains 3	4.7	P	3.52	A	3.82	P	1.18	0.015	secreted
NM_007950_at	Ereg	epiregulin	10.22	P	8.98	P	9.29	P	1.24	0.015	type I
NM_001159394_at	Nfkbiz	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta	7.91	P	6.75	P	6.9	P	1.16	0.015	cytoplasmic
NM_016753_at	Lxn	latexin	10.22	P	9.02	P	9.64	P	1.2	0.015	cytoplasmic
NM_024263_at	Mxra8	matrix-remodelling associated 8	10.51	P	9.33	P	9.54	P	1.18	0.015	type I
NM_001080995_at	4632434I11Rik	RIKEN cDNA 4632434I11 gene	8.23	P	7.07	P	7.54	P	1.17	0.015	cytoplasmic, type II
NM_008006_at	Fgf2	fibroblast growth factor 2	6.5	P	5.26	! PAM	6.33	P	1.25	0.016	cytoplasmic
NM_026791_at	Fbxw9	F-box and WD-40 domain protein 9	8.18	P	7.02	A	7.1	! PA	1.16	0.016	cytoplasmic
NM_010358_at	Gstm1	glutathione S-transferase, mu 1	10.09	P	8.92	P	10.43	P	1.17	0.016	cytoplasmic
NM_028724_at	Rin2	Ras and Rab interactor 2	7.6	P	6.44	P	7.28	P	1.17	0.016	cytoplasmic
NM_194269_at	Morn2	MORN repeat containing 2	7.31	P	6.16	P	6.24	P	1.15	0.016	cytoplasmic
NM_001077411_at	Gba	glucosidase, beta, acid	9.65	P	8.49	P	9.24	P	1.15	0.016	secreted
NM_028705_at	Herc3	hect domain and RLD 3	6.44	P	5.28	P	5.61	P	1.16	0.017	cytoplasmic
NM_145450_at	BC022687	cDNA sequence BC022687	8.07	P	6.92	P	7.25	P	1.14	0.017	cytoplasmic
NM_010376_at	H13	histocompatibility 13	7.65	P	6.53	P	7.06	P	1.12	0.017	multipass
NM_001159551_at	H13	histocompatibility 13	7.16	P	6.06	P	6.57	P	1.1	0.02	multipass
NM_007527_at	Bax	BCL2-associated X protein	11.13	P	10.01	P	10.47	P	1.12	0.018	type II
NM_011580_at	Thbs1	thrombospondin 1	12.32	P	11.19	P	11.87	P	1.13	0.018	secreted
NM_026837_at	Tmem53	transmembrane protein 53	7.21	P	6.09	A	6.48	A	1.12	0.019	type II
NM_133234_at	Bbc3	BCL2 binding component 3	7.29	P	6.19	! APM	6.49	! PM	1.11	0.019	cytoplasmic
NM_019749_at	Gabarap	gamma-aminobutyric acid receptor associated protein	12.7	P	11.59	P	12.38	P	1.11	0.019	cytoplasmic
NM_172285_at	Plcg2	phospholipase C, gamma 2	6.54	P	5.44	A	5.69	A	1.1	0.019	cytoplasmic
NM_198425_at	Eid2	EP300 interacting inhibitor of differentiation 2	5.93	P	4.82	A	5.17	A	1.11	0.018	cytoplasmic
NM_178417_at	Zfp867	zinc finger protein 867	5.59	P	4.49	! PAA	4.55	! PM	1.1	0.018	cytoplasmic
NM_011116_at	Pld3	phospholipase D family, member 3	9.36	P	8.26	P	8.55	P	1.11	0.02	type II
NM_025808_at	Lztr1	leucine-zipper-like transcriptional regulator, 1	8.64	P	7.54	P	8.08	P	1.1	0.021	cytoplasmic
NM_023168_at	Grina	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	10.28	P	9.19	P	10.22	P	1.1	0.021	multipass
NM_029432_at	4930402H24Rik	RIKEN cDNA 4930402H24 gene	7.54	P	6.45	P	7.06	P	1.09	0.021	cytoplasmic
NM_144804_at	Depdc7	DEP domain containing 7	7.27	P	6.16	P	7.05	P	1.1	0.021	cytoplasmic
NM_029861_at	Cnrip1	cannabinoid receptor interacting protein 1	5.45	P	4.36	! APA	4.36	A	1.1	0.021	cytoplasmic
NM_001113424_at	Amn1	antagonist of mitotic exit network 1 homolog (S. cerevisiae)	7.88	P	6.79	P	7.39	P	1.09	0.021	cytoplasmic
NM_001083929_at	Gpx3	glutathione peroxidase 3	6.72	A	5.63	A	5.68	A	1.08	0.021	secreted
NM_009148_at	Exoc4	exocyst complex component 4	8.99	P	7.89	P	8.22	P	1.11	0.022	cytoplasmic
NM_011542_at	Tcea3	transcription elongation factor A (SII), 3	5.81	P	4.72	! AMA	4.99	A	1.09	0.022	cytoplasmic
NM_010893_at	Neu1	neuraminidase 1	7.89	P	6.81	P	7.65	P	1.08	0.023	secreted
NM_031177_at	Ift122	intraflagellar transport 122 homolog (Chlamydomonas)	6.82	P	5.74	P	5.94	P	1.08	0.023	cytoplasmic
NM_001038492_at	Ctsa	cathepsin A	9.21	P	8.14	P	9.1	P	1.07	0.024	secreted
NM_008452_at	Klf2	Kruppel-like factor 2 (lung)	9.23	P	8.18	P	8.38	P	1.05	0.025	cytoplasmic
NM_172770_at	Ttc12	tetratricopeptide repeat domain 12	6.22	P	5.17	! PPA	5.72	! MP	1.06	0.025	cytoplasmic
NM_133697_at	1110003E01Rik	RIKEN cDNA 1110003E01 gene	10.53	P	9.45	P	10.34	P	1.08	0.026	type II
NM_013760_at	Dnajb9	DnaJ (Hsp40) homolog, subfamily B, member 9	8.92	P	7.86	P	8.85	P	1.06	0.026	secreted
NM_133688_at	Lyrm5	LYR motif containing 5	8.94	P	7.88	P	8.03	P	1.06	0.026	cytoplasmic
NM_028281_at	Pcbd2	pterin 4 alpha carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha (TCF1) 2	8.4	P	7.34	P	8.45	P	1.06	0.026	cytoplasmic
NM_024217_at	Cmtm3	CKLF-like MARVEL transmembrane domain containing 3	9.72	P	8.66	P	10.03	P	1.06	0.026	multipass
NM_021439_at	Chst11	carbohydrate sulfotransferase 11	8.43	P	7.3	P	7.39	P	1.13	0.027	type II
NM_133754_at	Fblim1	filamin binding LIM protein 1	8.67	P	7.64	P	8.07	P	1.03	0.027	cytoplasmic
NM_153150_at	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	9.34	P	8.31	P	8.44	P	1.04	0.027	cytoplasmic
NM_013535_at	Grcc10	gene rich cluster, C10 gene	11.17	P	10.14	P	10.85	P	1.04	0.027	cytoplasmic
NM_177814_at	Erc2	ELKS/RAB6-interacting/CAST family member 2	5.92	P	4.89	! PAA	5.48	! PA	1.03	0.027	cytoplasmic
NM_001146153_at	Homer3	homer homolog 3 (Drosophila)	8.08	P	7.03	P	7.68	P	1.05	0.028	cytoplasmic
NM_030721_at	Acox3	acyl-Coenzyme A oxidase 3, pristanoyl	5.86	P	4.81	! APA	4.97	! PA	1.05	0.028	cytoplasmic
NM_010398_at	H2-T23	histocompatibility 2, T region locus 23	4.53	! AMM	3.48	! AMA	4.44	! MM	1.05	0.028	secreted, type I
NM_009318_at	Tapbp	TAP binding protein	9.07	P	8.04	P	9.06	P	1.03	0.027	type I
NM_001025313_at	Tapbp	TAP binding protein	9.05	P	8.03	P	9.05	P	1.01	0.029	type I
NM_009644_at	Ahrr	aryl-hydrocarbon receptor repressor	5.98	P	4.93	! AMA	5.56	! PA	1.04	0.028	cytoplasmic
NM_011434_at	Sod1	superoxide dismutase 1, soluble	11.41	P	10.38	P	11.11	P	1.02	0.028	cytoplasmic, type II
NM_001042534_at	Capg	capping protein (actin filament), gelsolin-like	10.84	P	9.81	P	10.19	P	1.03	0.029	cytoplasmic
NM_001130412_at	Lpin1	lipin 1	6.81	P	5.79	! PPA	6.31	P	1.02	0.029	cytoplasmic
NM_015761_at	Dos	downstream of Stk11	7.63	P	6.6	P	6.82	P	1.03	0.029	cytoplasmic
NM_026436_at	Tmem86a	transmembrane protein 86A	7.35	P	6.32	P	7.27	P	1.03	0.029	multipass
NM_175398_at	6530418L21Rik	RIKEN cDNA 6530418L21 gene	5.54	P	4.5	A	4.96	A	1.03	0.029	cytoplasmic
NM_008981_at	Ptprg	protein tyrosine phosphatase, receptor type, G	7.42	P	6.39	P	6.68	P	1.02	0.029	cytoplasmic, multipass
XR_035220_at	D330050I23Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 6 mRNAs, 129 ESTs, 3 Proteins	6.26	P	5.22	! PMA	6.41	P	1.04	0.029	cytoplasmic
NM_001136088_at	Sh3bp2	SH3-domain binding protein 2	6.83	P	5.79	! PAA	6.63	P	1.04	0.029	cytoplasmic
NM_177688_at	H2afj	H2A histone family, member J	8.13	P	7.12	P	7.65	P	1.02	0.029	cytoplasmic
