Gene symbol	Accession no.	Adjusted P value	Fold change	Gene name
LOC100045988	BM199323	0.039	2.49	similar to OPR
Socs1	AB000710	0.015	2.474	suppressor of cytokine signaling 1
Lsm2	AF204156	0.025	2.466	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)
Emp2	AF083876	0.032	2.427	epithelial membrane protein 2
Gm941	BB479096	0.032	2.4	predicted gene 941
Dync1i1	NM_010063	0.046	2.351	dynein cytoplasmic 1 intermediate chain 1
Fut9	AU067636	0.013	2.317	fucosyltransferase 9
Rtn4ip1	NM_130892	0.01	2.299	reticulon 4 interacting protein 1
Lamc2	NM_008485	0.018	2.259	laminin, gamma 2
Rfx4	AV255458	0.024	2.253	regulatory factor X, 4 (influences HLA class II expression)
Mt3	NM_013603	0.022	2.208	metallothionein 3
Atrn	AW558010	0.043	2.181	attractin
Grhl2	AK005410	0.049	2.099	grainyhead-like 2 (Drosophila)
Rnasek	BI156989	0.047	2.094	ribonuclease, RNase K
Psd3	NM_030263	0.027	2.088	pleckstrin and Sec7 domain containing 3
Lonp1	AK004820	0.026	2.083	lon peptidase 1, mitochondrial
Rfx5	BB392192	0.013	2.076	regulatory factor X, 5 (influences HLA class II expression)
A330068G13Rik	BB246530	0.045	2.062	RIKEN cDNA A330068G13 gene
3110043O21Rik	AK014175	0.034	2.02	RIKEN cDNA 3110043O21 gene
Map6d1	BB762333	0.045	1.951	MAP6 domain containing 1
Hnf1b	AI987804	0.024	1.949	HNF1 homeobox B
Hira	AW537496	0.017	1.94	histone cell cycle regulation defective homolog A (S. cerevisiae)
C030005G22Rik	BB355326	0.024	1.935	RIKEN cDNA C030005G22 gene
Gfra1	BE534815	0.025	1.904	glial cell line derived neurotrophic factor family receptor alpha 1
Ppif	NM_134084	0.043	1.883	peptidylprolyl isomerase F (cyclophilin F)
Arl13b	AV225959	0.017	1.856	ADP-ribosylation factor-like 13B
2210409E12Rik	NM_028218	0.008	1.835	RIKEN cDNA 2210409E12 gene; coilin
Hmga1	NM_016660	0.048	1.826	high mobility group AT-hook I, related sequence 1
Rrn3	AA866997	0.028	1.815	RRN3 RNA polymerase I transcription factor homolog (yeast)
Idh2	NM_008322	0.032	1.81	isocitrate dehydrogenase 2 (NADP+), mitochondrial
Ccnj	BB051001	0.024	1.764	cyclin J
Med20	NM_020048	0.032	1.759	mediator complex subunit 20
Fastkd3	AK009264	0.043	1.739	FAST kinase domains 3
4930420K17Rik	BB323696	0.024	1.727	RIKEN cDNA 4930420K17 gene
Cyb5b	NM_025558	0.024	1.697	cytochrome b5 type B
BC037704	BM938208	0.045	1.691	cDNA sequence BC037704
Tomm40	AF109918	0.033	1.654	translocase of outer mitochondrial membrane 40 homolog (yeast)
Egln3	BB284358	0.043	1.646	EGL nine homolog 3 (C. elegans)
Flrt1	BQ173985	0.03	1.638	fibronectin leucine rich transmembrane protein 1
Il11	NM_008350	0.028	1.637	interleukin 11
Usp3	BM206593	0.04	1.56	ubiquitin specific peptidase 3
Hspa4l	NM_011020	0.048	1.535	heat shock protein 4 like
Lrrc47	AK013512	0.016	1.523	leucine rich repeat containing 47
Dph2	AK011199	0.024	1.51	DPH2 homolog (S. cerevisiae)
Gbf1	BM948896	0.013	1.506	golgi-specific brefeldin A-resistance factor 1
