Gene	Product description	Sessile vs Inoculation FC	Sessile vs Inoculation P-value	Sessile vs Suspension FC	Sessile vs Suspension P-value	Category
lpl0497icmJ/dotN	Unknown	2.02	2.261023	2.85	7.661027	Induced genes
lpl0588prs	Ribose-phosphate pyrophosphokinase	3.32	7.861028	2.52	1.461025	Induced genes
lpl0606	Unknown	5.94	3.3610213	2.74	3.261025	Induced genes
lpl0628	Similar to unknown protein	7.95	0	2.68	2.061025	Induced genes
lpl0629	Similar to aminodeoxychorismate lyase (PabC)	6.72	0	2.39	3.661025	Induced genes
lpl0820csrA	Global regulator CsrA	4.29	3.3610211	2.67	7.161026	Induced genes
lpl0843	Similar to other proteins	2.03	6.761023	2.61	9.861025	Induced genes
lpl1001	Hypothetical protein	3.03	1.761026	2.54	5.161025	Induced genes
lpl1010	Similar to single-stranded DNA-binding protein (ssb)	3.02	3.061026	2.98	2.261027	Induced genes
lpl1089	Unknown	2.28	5.861024	2.73	2.461025	Induced genes
lpl1095	Unknown	2.51	9.361025	2.21	4.761024	Induced genes
lpl1126	Unknown	2.67	1.661024	3.47	5.261028	Induced genes
lpl1129	Unknown	3.15	2.761026	6.78	0	Induced genes
lpl1144	Unknown	3.04	3.961026	2.96	5.661027	Induced genes
lpl1163	Similar to aminopeptidase	2.01	2.161023	2.40	6.161025	Induced genes
lpl1450	Hypothetical protein	2.60	3.161025	2.57	1.261025	Induced genes
lpl1583	Similar to transposase	2.78	1.861025	2.21	8.061024	Induced genes
lpl1656	Conserved hypothetical protein	2.08	1.461023	3.92	2.261029	Induced genes
lpl1882	Weakly similar to endoglucanase	2.37	3.161024	3.45	7.561029	Induced genes
lpl1957	Some similarity with eukaryotic proteins	4.03	8.4610210	2.85	1.861026	Induced genes
lpl1970mltA	Similar to membrane-bound lytic murein transglycosylase	2.47	7.861025	2.23	1.861024	Induced genes
lpl2013	Similar to transporters	2.05	2.461023	2.04	6.661024	Induced genes
lpl2032	Similar to transposase	7.25	0	4.05	3.1610210	Induced genes
lpl2072	Protein with ankyrin repeat and a F-Box domain	2.03	1.661022	2.61	1.161024	Induced genes
lpl2123	Unknown	2.25	3.961024	3.10	7.761027	Induced genes
lpl2197	Unknown	3.66	2.561028	2.42	3.661025	Induced genes
lpl2213	Similar to phosphatase	2.35	1.461024	2.15	2.861024	Induced genes
lpl2214	Ribosomal large subunit pseudouridine synthase	2.23	5.161024	2.66	1.761025	Induced genes
lpl2271	Similar to alkyl hydroperoxide reductase AhpD	10.74	0	9.78	0	Induced genes
lpl2272	Similar to alkyl hydroperoxide reductase AhpC	30.72	0	23.30	0	Induced genes
lpl2366	Unknown	2.42	2.561024	2.17	8.561024	Induced genes
lpl2462	Unknown	3.08	4.961027	5.44	0	Induced genes
lpl2514	Unknown	2.77	3.761025	3.22	1.461027	Induced genes
lpl2576	50S ribosomal protein L21	6.10	3.3610213	2.44	3.361025	Induced genes
lpl2686	30S ribosomal protein S15	3.21	2.661027	2.10	1.361023	Induced genes
lpl2719	Unknown	3.59	1.761028	4.09	4.8610211	Induced genes
lpl2728	Unknown	3.12	8.961027	4.27	2.5610211	Induced genes
lpl2780	Unknown	3.15	4.561027	3.46	5.661028	Induced genes
lpl2868	Similar to transposase	2.08	5.161023	2.44	5.361024	Induced genes
lpl2916	Highly similar to H+-transporting ATP synthase chain a	6.31	0	3.06	2.361027	Induced genes
lpl2917	Similar to ATP synthase subunit i	5.57	0	2.61	1.561025	Induced genes
