Probeset	Symbol	Name	Asym		Sym		p53Sym		FC	pfp	Localization
NM_011252_at	Rbmx	RNA binding motif protein, X chromosome	6.76	P	7.99	P	7.25	P	-1.22	0.002	cytoplasmic
NM_001080967_at	Tmsb15b2	thymosin beta 15b2	3.77	A	5.03	! PPA	3.56	A	-1.26	0.002	cytoplasmic
NM_178396_at	Car12	carbonic anyhydrase 12	5.55	P	6.77	P	4.93	! MA	-1.22	0.002	secreted, type I
NM_024437_at	Nudt7	nudix (nucleoside diphosphate linked moiety X)-type motif 7	4.49	A	5.68	P	4.67	A	-1.2	0.002	cytoplasmic
NM_026047_at	Rnf219	ring finger protein 219	5.45	P	6.62	P	5.52	P	-1.17	0.002	cytoplasmic
NM_138744_at	Ssx2ip	synovial sarcoma, X breakpoint 2 interacting protein	6.6	P	7.78	P	7.1	P	-1.18	0.002	cytoplasmic
NM_008697_at	Nin	ninein	5.34	P	6.53	P	5.99	P	-1.19	0.002	cytoplasmic
NM_001111119_at	Ccnb1ip1	cyclin B1 interacting protein 1	4.23	! APA	5.38	! PAP	3.87	A	-1.16	0.002	cytoplasmic
NM_027263_at	Apitd1	apoptosis-inducing, TAF9-like domain 1	6.61	P	7.76	P	6.95	P	-1.14	0.002	cytoplasmic
NM_175265_at	6720463M24Rik	RIKEN cDNA 6720463M24 gene	7.22	P	8.36	P	6.63	! PM	-1.14	0.002	cytoplasmic
NM_007974_at	F2rl1	coagulation factor II (thrombin) receptor-like 1	5.05	A	6.23	P	5.11	A	-1.17	0.002	multipass
NM_025525_at	Rnf113a2	ring finger protein 113A2	4.87	! AAP	6.01	P	4.29	A	-1.13	0.002	cytoplasmic
NM_007855_at	Twist2	twist homolog 2 (Drosophila)	8.26	P	9.4	P	7.95	P	-1.13	0.002	cytoplasmic
NM_011057_at	Pdgfb	platelet derived growth factor, B polypeptide	5.84	P	6.96	P	5.85	P	-1.12	0.003	secreted
NM_001122958_at	Rad54l	RAD54 like (S. cerevisiae)	7.52	P	8.64	P	7.72	P	-1.12	0.003	cytoplasmic
NR_004445_at	Snord22	small nucleolar RNA, C/D box 22	7.78	P	8.91	P	8.27	P	-1.13	0.003	small nucleolar RNA
NM_177420_at	Psat1	phosphoserine aminotransferase 1	11.3	P	12.41	P	11.71	P	-1.11	0.003	cytoplasmic
NM_028315_at	Dis3	DIS3 mitotic control homolog (S. cerevisiae)	9.68	P	10.79	P	9.4	P	-1.11	0.003	cytoplasmic
NM_175643_at	Adamts2	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2	5.26	! AAM	6.42	! PPM	5.93	A	-1.16	0.003	secreted
NM_010573_at	Irx1	Iroquois related homeobox 1 (Drosophila)	4.16	A	5.29	! MPP	4.76	A	-1.13	0.003	type II
NM_011404_at	Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	9.64	P	10.8	P	9.45	P	-1.16	0.003	cytoplasmic, multipass
NM_170779_at	Wwc1	WW, C2 and coiled-coil domain containing 1	7.64	P	8.74	P	7.87	P	-1.1	0.004	cytoplasmic
NM_011284_at	Rpa2	replication protein A2	8.83	P	9.89	P	9.2	P	-1.06	0.005	cytoplasmic
NM_010353_at	Gsg2	germ cell-specific gene 2	6.38	P	7.44	P	6.86	P	-1.06	0.004	cytoplasmic
NM_001100449_at	Taf4b	TAF4B RNA polymerase II, TATA box binding protein (TBP)-associated factor	6.58	P	7.64	P	7.45	P	-1.06	0.004	cytoplasmic
NM_001081346_at	Rtkn2	rhotekin 2	6.84	P	7.92	P	7.12	P	-1.08	0.004	cytoplasmic
NM_001012273_at	Birc5	baculoviral IAP repeat-containing 5	10.35	P	11.41	P	11.02	P	-1.06	0.004	cytoplasmic
XR_032830_at	LOC100046666	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 12 ESTs, 2 Proteins	7.45	P	8.51	P	8.02	P	-1.05	0.004	pseudogene
NM_024184_at	Asf1b	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)	8.63	P	9.68	P	9.34	P	-1.04	0.004	cytoplasmic
NM_009860_at	Cdc25c	cell division cycle 25 homolog C (S. pombe)	7.15	P	8.19	P	8.03	P	-1.04	0.005	cytoplasmic
NM_026560_at	Cdca8	cell division cycle associated 8	9.37	P	10.41	P	9.67	P	-1.04	0.005	cytoplasmic
NM_020577_at	As3mt	arsenic (+3 oxidation state) methyltransferase	4.15	! PAP	5.19	P	4.05	A	-1.04	0.005	cytoplasmic
NM_010140_at	Epha3	Eph receptor A3	3.63	! APA	4.67	P	3.58	A	-1.04	0.005	secreted, type I
NM_007801_at	Ctsh	cathepsin H	5.78	P	6.83	P	5.07	P	-1.05	0.005	secreted
NM_172756_at	Ankle1	ankyrin repeat and LEM domain containing 1	6.13	! AMA	7.16	P	6.65	! AM	-1.03	0.006	cytoplasmic
NM_172578_at	C79407	expressed sequence C79407	7.59	P	8.6	P	8.55	P	-1.02	0.006	cytoplasmic
NM_009728_at	Atp10a	ATPase, class V, type 10A	4.99	P	6	P	4.94	P	-1.01	0.006	multipass
NM_001110129_at	Ppih	peptidyl prolyl isomerase H	6.59	P	7.61	P	6.84	P	-1.02	0.006	cytoplasmic
NM_008638_at	Mthfd2	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	9.28	P	10.29	P	9.24	P	-1.01	0.006	secreted
XM_001473288_at	LOC100044675	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 2 ESTs, 5 Proteins	4.72	! PPA	5.75	P	5.11	A	-1.03	0.006	secreted
NM_001146292_at	Brunol4	bruno-like 4, RNA binding protein (Drosophila)	6.13	P	7.15	P	5.43	P	-1.02	0.007	cytoplasmic
NM_001146081_at	Fancb	Fanconi anemia, complementation group B	6.86	P	7.86	P	6.58	P	-1	0.007	cytoplasmic
NM_001081099_at	2610002D18Rik	RIKEN cDNA 2610002D18 gene	7.48	P	8.47	P	8.01	P	-1	0.007	cytoplasmic
NM_134082_at	Farp1	FERM, RhoGEF (Arhgef) and pleckstrin domain protein 1 (chondrocyte-derived)	10.58	P	11.58	P	10.3	P	-0.99	0.007	cytoplasmic
NM_009014_at	Rad51l1	RAD51-like 1 (S. cerevisiae)	4.91	P	5.9	P	5.25	! PM	-0.99	0.007	cytoplasmic
NM_001003898_at	Tardbp	TAR DNA binding protein	7.21	P	8.2	P	7.54	P	-0.99	0.007	cytoplasmic
NM_145556_at	Tardbp	TAR DNA binding protein	7.37	P	8.24	P	7.7	P	-0.88	0.018	cytoplasmic
NM_001003899_at	Tardbp	TAR DNA binding protein	7.23	P	8.2	P	7.58	P	-0.97	0.009	cytoplasmic
NM_008817_at	Peg3	paternally expressed 3	4.21	A	5.19	! PPA	4.42	A	-0.99	0.007	cytoplasmic
XR_035382_at	Marveld1	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 40 ESTs, 2 Proteins	4.72	! AAM	5.71	P	4.96	! PM	-1	0.007	multipass
NM_008017_at	Smc2	structural maintenance of chromosomes 2	6.83	P	7.89	P	7.53	P	-1.06	0.007	cytoplasmic, type II
NM_001081223_at	Rbbp8	retinoblastoma binding protein 8	7.53	P	8.51	P	8.07	P	-0.99	0.007	cytoplasmic
NM_178645_at	Blmh	bleomycin hydrolase	8.31	P	9.29	P	8.55	P	-0.98	0.007	cytoplasmic
NM_207267_at	Tmsb15b1-Tmsb15b2	Tmsb15b1-Tmsb15b2 readthrough transcript	3.9	A	4.95	P	3.74	A	-1.05	0.007	cytoplasmic
XM_986352_at	2810026P18Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 34 ESTs	9.8	P	10.77	P	9.98	P	-0.97	0.008	cytoplasmic
NM_010022_at	Dbt	dihydrolipoamide branched chain transacylase E2	6.35	P	7.35	P	5.63	P	-1	0.009	cytoplasmic
NM_182928_at	Adm2	adrenomedullin 2	5.45	A	6.4	! PAA	5.49	A	-0.96	0.01	secreted
NM_011568_at	Thoc4	THO complex 4	10.54	P	11.49	P	10.59	P	-0.95	0.01	cytoplasmic
NM_020506_at	Xpo4	exportin 4	7.06	! MMM	8.01	! MMM	7.81	! MM	-0.95	0.01	cytoplasmic
NM_134142_at	Tmem109	transmembrane protein 109	8.59	P	9.54	P	8.98	P	-0.95	0.011	multipass
NM_172746_at	Hirip3	HIRA interacting protein 3	8.42	P	9.36	P	9	P	-0.94	0.011	cytoplasmic
NM_016692_at	Incenp	inner centromere protein	8.86	P	9.8	P	9.49	P	-0.94	0.011	cytoplasmic
NM_001034882_at	Gm5465	predicted gene 5465	3.95	! PAA	4.91	P	3.87	! AP	-0.96	0.011	cytoplasmic
NM_001122948_at	Tcfap2a	transcription factor AP-2, alpha	4.32	! AMA	5.27	P	4.69	A	-0.95	0.011	cytoplasmic
NM_001025779_at	Cdc6	cell division cycle 6 homolog (S. cerevisiae)	8.51	P	9.45	P	8.63	P	-0.94	0.012	cytoplasmic
NM_177342_at	Taf5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor	7.53	P	8.45	P	7.57	P	-0.93	0.012	cytoplasmic
NM_178347_at	Cdc23	CDC23 (cell division cycle 23, yeast, homolog)	7.62	P	8.55	P	8.29	P	-0.93	0.013	cytoplasmic
XM_001473775_at	LOC100047577	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 mRNAs, 158 ESTs, 15 Proteins	9.19	P	10.11	P	9.6	P	-0.92	0.014	type II
NM_172779_at	Ddx26b	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	6.7	P	7.62	P	6.5	P	-0.92	0.014	cytoplasmic, type II
NM_028242_at	Htatsf1	HIV TAT specific factor 1	9.23	P	10.16	P	9.27	P	-0.93	0.014	cytoplasmic
NM_146144_at	Usp1	ubiquitin specific peptidase 1	9.18	P	10.09	P	9.65	P	-0.92	0.014	cytoplasmic
NM_001040691_at	Ung	uracil DNA glycosylase	7.14	P	8.06	P	7.14	P	-0.92	0.014	cytoplasmic
NM_025582_at	2810405K02Rik	RIKEN cDNA 2810405K02 gene	5.24	A	6.16	P	5.33	A	-0.93	0.015	cytoplasmic
NM_010275_at	Gdnf	glial cell line derived neurotrophic factor	6.48	P	7.38	P	6.34	A	-0.91	0.015	secreted, type I
NM_144835_at	Heatr1	HEAT repeat containing 1	7.02	P	7.93	P	7.35	P	-0.91	0.015	cytoplasmic
NM_001139516_at	Rbl1	retinoblastoma-like 1 (p107)	6.21	P	7.16	P	6.59	P	-0.95	0.016	cytoplasmic
NM_023209_at	Pbk	PDZ binding kinase	9.53	P	10.43	P	10.46	P	-0.9	0.016	cytoplasmic
NM_134137_at	Lars	leucyl-tRNA synthetase	9.78	P	10.67	P	10.59	P	-0.9	0.016	cytoplasmic
NM_028760_at	Cep55	centrosomal protein 55	8.58	P	9.48	P	8.99	P	-0.9	0.016	cytoplasmic
NM_011514_at	Suv39h1	suppressor of variegation 3-9 homolog 1 (Drosophila)	8.46	P	9.35	P	8.98	P	-0.89	0.016	cytoplasmic
NM_028279_at	Naalad2	N-acetylated alpha-linked acidic dipeptidase 2	4.36	A	5.28	P	5.13	! AP	-0.91	0.016	cytoplasmic, type II
XM_001471788_at	LOC100044227	Derived by automated computational analysis using gene prediction method: BestRefseq. Supporting evidence includes similarity to: 1 mRNA	9.59	P	10.49	P	10.04	P	-0.9	0.016	cytoplasmic
NM_027204_at	Mrpl12	mitochondrial ribosomal protein L12	10.35	P	11.23	P	10.48	P	-0.89	0.016	cytoplasmic
NM_008987_at	Ptx3	pentraxin related gene	7.45	P	8.39	P	7.68	P	-0.94	0.017	secreted
NM_030143_at	Ddit4l	DNA-damage-inducible transcript 4-like	4.29	! PPA	5.18	P	4.35	! AP	-0.89	0.017	cytoplasmic
NM_029485_at	5133400G04Rik	RIKEN cDNA 5133400G04 gene	5.5	! APM	6.24	! PPM	5.18	A	-0.74	0.049	cytoplasmic
NM_027733_at	5133400G04Rik	RIKEN cDNA 5133400G04 gene	6.21	! MMM	7.1	! MMM	5.18	A	-0.89	0.017	cytoplasmic
NM_024250_at	Phf10	PHD finger protein 10	10.04	P	10.99	P	10	P	-0.95	0.017	cytoplasmic
NM_173763_at	Ccbl2	cysteine conjugate-beta lyase 2	5.83	P	6.72	P	6.19	! AM	-0.89	0.017	cytoplasmic
NM_145924_at	Cenpi	centromere protein I	8.08	P	8.97	P	8.56	P	-0.88	0.017	cytoplasmic, type II
NM_025866_at	Cdca7	cell division cycle associated 7	7.38	! MMM	8.29	! MMM	7.5	! MM	-0.91	0.017	cytoplasmic
NM_027394_at	Ube2cbp	ubiquitin-conjugating enzyme E2C binding protein	6.71	P	7.61	P	6.79	! MA	-0.9	0.017	cytoplasmic
NM_019703_at	Pfkp	phosphofructokinase, platelet	6.01	P	6.92	P	6.17	! PM	-0.9	0.017	cytoplasmic
NM_173762_at	Cenpe	centromere protein E	6.96	P	7.87	P	7.71	P	-0.91	0.018	cytoplasmic
NM_001002929_at	Nup85	nucleoporin 85	8.63	P	9.5	P	9.01	P	-0.87	0.018	cytoplasmic
NM_145443_at	L2hgdh	L-2-hydroxyglutarate dehydrogenase	7.49	P	8.38	P	7.58	! PA	-0.89	0.018	cytoplasmic
NM_013490_at	Chka	choline kinase alpha	7.55	P	8.45	P	7.9	P	-0.9	0.018	cytoplasmic
NM_011595_at	Timp3	tissue inhibitor of metalloproteinase 3	9.08	P	9.97	P	8.53	P	-0.89	0.018	secreted
NM_172605_at	Tdrd3	tudor domain containing 3	7.53	P	8.4	P	7.38	P	-0.87	0.018	cytoplasmic
NM_145706_at	Nup43	nucleoporin 43	8.82	P	9.69	P	8.7	P	-0.86	0.018	cytoplasmic
NM_133774_at	Stard4	StAR-related lipid transfer (START) domain containing 4	8.47	P	9.36	P	8.85	P	-0.89	0.018	cytoplasmic
XM_001481298_at	Wnk3	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 3 mRNAs, 29 ESTs, 8 Proteins	5.69	! PAP	6.61	! PPA	5.7	A	-0.93	0.019	cytoplasmic
NM_019428_at	Rpp30	ribonuclease P/MRP 30 subunit (human)	10.57	P	11.43	P	10.67	P	-0.87	0.018	cytoplasmic
NM_010818_at	Cd200	CD200 antigen	3.54	! AAP	4.42	! PAP	3.42	A	-0.88	0.019	type I
NM_170786_at	Cntf	ciliary neurotrophic factor	6.7	P	7.57	P	6.42	P	-0.86	0.019	cytoplasmic
NM_016768_at	Pbx3	pre B-cell leukemia transcription factor 3	7.02	! AMP	8.04	P	7.74	P	-1.02	0.019	cytoplasmic
NM_010104_at	Edn1	endothelin 1	6.54	! PPM	7.43	P	6.2	A	-0.89	0.019	cytoplasmic
NM_008566_at	Mcm5	minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)	9.98	P	10.84	P	10.09	P	-0.86	0.019	cytoplasmic
NM_027930_at	Fam54a	family with sequence similarity 54, member A	7.26	! PPA	8.12	P	7.23	P	-0.86	0.019	cytoplasmic
NM_008893_at	Pola2	polymerase (DNA directed), alpha 2	9.02	P	9.88	P	9.74	P	-0.86	0.019	cytoplasmic
NM_134471_at	Kif2c	kinesin family member 2C	8.33	P	9.19	P	8.83	P	-0.86	0.019	cytoplasmic
NM_138745_at	Mthfd1	methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase	9.11	P	9.96	P	9.22	P	-0.85	0.02	cytoplasmic
NM_022021_at	Cables1	CDK5 and Abl enzyme substrate 1	6.26	P	7.11	P	6.02	P	-0.85	0.021	cytoplasmic
NM_026209_at	1810063B07Rik	RIKEN cDNA 1810063B07 gene	6.82	P	7.68	P	6.44	P	-0.86	0.021	type II
NM_009387_at	Tk1	thymidine kinase 1	9.83	P	10.68	P	10.17	P	-0.86	0.022	cytoplasmic
NM_173396_at	Tgif2	TGFB-induced factor homeobox 2	6.19	A	7.05	A	6.61	A	-0.86	0.022	cytoplasmic
XM_001473812_at	LOC669787	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 Protein	4.56	P	5.42	P	3.91	A	-0.86	0.022	secreted
NM_009004_at	Kif20a	kinesin family member 20A	9.76	P	10.6	P	10.67	P	-0.84	0.022	cytoplasmic
NM_173866_at	Gpt2	glutamic pyruvate transaminase (alanine aminotransferase) 2	7.29	P	8.13	P	6.82	P	-0.84	0.023	cytoplasmic
NM_027101_at	Polr2d	polymerase (RNA) II (DNA directed) polypeptide D	8.68	P	9.52	P	7.94	P	-0.84	0.023	cytoplasmic
NM_001033966_at	Ak2	adenylate kinase 2	10.26	P	11.09	P	10.33	P	-0.83	0.024	cytoplasmic
NM_016895_at	Ak2	adenylate kinase 2	10.04	P	10.87	P	10.06	P	-0.83	0.024	cytoplasmic
NM_012055_at	Asns	asparagine synthetase	10.35	P	11.18	P	10.55	P	-0.83	0.024	cytoplasmic
NM_011155_at	Ppp5c	protein phosphatase 5, catalytic subunit	8.6	P	9.43	P	8.72	P	-0.83	0.024	cytoplasmic
NM_020265_at	Dkk2	dickkopf homolog 2 (Xenopus laevis)	7.69	P	8.54	P	7.94	P	-0.85	0.024	secreted
XM_001477790_at	LOC100047005	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 208 ESTs, 12 Proteins	10.04	P	10.87	P	10.06	P	-0.83	0.024	cytoplasmic
NM_146032_at	Srp68	signal recognition particle 68	9.61	P	10.43	P	9.66	P	-0.83	0.025	cytoplasmic
NM_026114_at	Eif2s1	eukaryotic translation initiation factor 2, subunit 1 alpha	7.31	P	8.16	P	6.79	P	-0.85	0.026	cytoplasmic
NM_001039474_at	Tcerg1	transcription elongation regulator 1 (CA150)	8.42	P	9.24	P	9.38	P	-0.83	0.026	cytoplasmic
NM_001039351_at	Nolc1	nucleolar and coiled-body phosphoprotein 1	9.4	P	10.23	P	9.53	P	-0.83	0.026	cytoplasmic
NM_011015_at	Orc1l	origin recognition complex, subunit 1-like (S.cereviaiae)	7.27	P	8.09	P	7.22	P	-0.83	0.026	cytoplasmic
NM_023908_at	Slco3a1	solute carrier organic anion transporter family, member 3a1	4.43	A	5.25	! AAM	4.76	A	-0.82	0.027	multipass
NM_026282_at	Spc24	SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)	8.21	P	9.02	P	8.28	P	-0.82	0.027	cytoplasmic, secreted
XM_915679_at	2700023E23Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 37 ESTs	8.13	P	8.96	P	7.58	P	-0.82	0.027	cytoplasmic
NM_029384_at	2210411K11Rik	RIKEN cDNA 2210411K11 gene	7.36	P	8.18	P	7.38	P	-0.82	0.028	multipass
NM_010723_at	Lmo4	LIM domain only 4	8.25	P	9.06	P	8.88	P	-0.8	0.028	cytoplasmic
NM_026344_at	Dph2	DPH2 homolog (S. cerevisiae)	7.12	P	7.95	P	7.14	P	-0.82	0.029	cytoplasmic
NM_207215_at	Mycbp2	MYC binding protein 2	7.23	P	8.05	P	7.06	P	-0.82	0.029	type II, multipass
XR_035298_at	1810032O08Rik	Derived by automated computational analysis using gene prediction method: GNOMON. Supporting evidence includes similarity to: 1 mRNA, 5 ESTs, 1 Protein	7.92	A	8.73	! PAP	8.5	A	-0.8	0.029	cytoplasmic
NM_144844_at	Pcca	propionyl-Coenzyme A carboxylase, alpha polypeptide	7.45	P	8.27	P	6.92	P	-0.81	0.029	cytoplasmic
NM_146234_at	Mmgt1	membrane magnesium transporter 1	8.97	P	9.78	P	9.17	P	-0.81	0.029	type I
NM_010615_at	Kif11	kinesin family member 11	8.23	P	9.05	P	9.14	P	-0.81	0.029	cytoplasmic
NM_001109661_at	Bach2	BTB and CNC homology 2	5.93	P	6.77	P	5.15	P	-0.84	0.03	cytoplasmic
NM_146208_at	Neil3	nei like 3 (E. coli)	6.3	P	7.09	P	6.76	! PM	-0.8	0.031	cytoplasmic
NR_027699_at	Serp2	stress-associated endoplasmic reticulum protein family member 2	6.24	P	7.04	P	6.75	P	-0.81	0.031	type II, multipass, cytoplasmic
NM_026410_at	Cdca5	cell division cycle associated 5	9.37	P	10.17	P	9.63	P	-0.8	0.031	cytoplasmic
NM_144861_at	Rprd1a	regulation of nuclear pre-mRNA domain containing 1A	6.99	P	7.8	P	7.04	! MA	-0.81	0.031	cytoplasmic
NM_028866_at	Wdr33	WD repeat domain 33	7.2	P	8.02	P	7.02	P	-0.82	0.031	cytoplasmic, multipass
NM_183046_at	Kif20b	kinesin family member 20B	7.55	P	8.36	P	8.05	P	-0.81	0.031	cytoplasmic
NM_009397_at	Tnfaip3	tumor necrosis factor, alpha-induced protein 3	7.61	P	8.44	P	7.7	P	-0.82	0.031	cytoplasmic
NM_019626_at	Cbln1	cerebellin 1 precursor protein	4.82	! PPM	5.66	P	4.86	! MA	-0.84	0.031	cytoplasmic, secreted
NM_001033528_at	Usp36	ubiquitin specific peptidase 36	6.69	P	7.49	P	6.81	P	-0.8	0.031	cytoplasmic
NM_001030307_at	Dkc1	dyskeratosis congenita 1, dyskerin homolog (human)	9.47	P	10.29	P	9.76	P	-0.81	0.031	type II
NM_010481_at	Hspa9	heat shock protein 9	10.38	P	11.17	P	11.35	P	-0.79	0.032	cytoplasmic
NM_173867_at	Rcc2	regulator of chromosome condensation 2	9.58	P	10.37	P	10.12	P	-0.79	0.032	cytoplasmic
NM_133654_at	Cd34	CD34 antigen	7.75	P	8.56	P	6.88	P	-0.81	0.032	type I
NM_144866_at	Etf1	eukaryotic translation termination factor 1	10.24	P	11.04	P	10.96	P	-0.8	0.032	cytoplasmic
NM_007854_at	Slc29a2	solute carrier family 29 (nucleoside transporters), member 2	5.24	! PPM	6.05	P	6.19	P	-0.81	0.033	multipass
NM_009272_at	Srm	spermidine synthase	10.65	! MMM	11.44	! MMM	9.97	! MM	-0.79	0.033	cytoplasmic
NM_008149_at	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	5.95	! APP	6.74	P	6.43	P	-0.79	0.033	type II
NM_028727_at	Nol9	nucleolar protein 9	7.53	P	8.33	P	7.92	P	-0.79	0.033	cytoplasmic
NM_001159599_at	Nol9	nucleolar protein 9	7.9	P	8.69	P	8.22	P	-0.79	0.034	cytoplasmic
NM_028777_at	Sec14l1	SEC14-like 1 (S. cerevisiae)	8.02	P	8.81	P	8.03	P	-0.79	0.033	cytoplasmic
NM_178113_at	Ncapd3	non-SMC condensin II complex, subunit D3	7.22	P	8.01	P	7.75	P	-0.8	0.034	cytoplasmic
NM_031196_at	Slc19a1	solute carrier family 19 (sodium/hydrogen exchanger), member 1	8.93	P	9.72	P	8.62	P	-0.79	0.034	cytoplasmic, multipass
NM_016750_at	H2afz	H2A histone family, member Z	10.58	! MMM	11.39	! MMM	11	! MM	-0.8	0.034	cytoplasmic
NM_021303_at	Noc2l	nucleolar complex associated 2 homolog (S. cerevisiae)	8.86	P	9.65	P	8.31	P	-0.79	0.034	cytoplasmic, type II, multipass
NM_009471_at	Umps	uridine monophosphate synthetase	8.49	P	9.28	P	8.61	P	-0.78	0.035	cytoplasmic
NM_027269_at	1110034A24Rik	RIKEN cDNA 1110034A24 gene	8.04	P	8.85	P	8.23	P	-0.81	0.035	cytoplasmic
NM_008234_at	Hells	helicase, lymphoid specific	9.72	P	10.51	P	9.93	P	-0.79	0.036	cytoplasmic
