ProbeUID	ProbeName	GeneName	SystematicName	Description	AverageLog	Average P-value
28715	A_68_P23199432	Osbpl9	chr4:108619250-108619306	PROMOTER	1.026784958	6.17E-19
65328	A_68_P32374359	Rap2c	chrX:047264882-047264932	PROMOTER	1.163527238	6.26E-19
30951	A_68_P31162071	Prr3	chr17:035591835-035591889	PROMOTER	1.033044754	7.17E-19
198592	A_68_P22308518	Etv3	chr3:087608101-087608160	PROMOTER	1.157175995	7.51E-19
219325	A_68_P27212573	Gm237	chr10:066949225-066949274	PROMOTER	1.158892462	7.79E-19
106056	A_68_P27932285	Abr	chr11:076286279-076286333	INSIDE	1.210103198	8.00E-19
128159	A_68_P21244678	Galnt5	chr2:057813900-057813952	INSIDE	1.041380176	9.43E-19
188702	A_68_P28186847	Dus1l	chr11:120616469-120616518	PROMOTER	1.002208622	1.01E-18
60800	A_68_P25354375	Capn5	chr7:098056592-098056651	PROMOTER	1.154481491	1.06E-18
40407	A_68_P31301712	Vapa	chr17:065518470-065518529	PROMOTER	1.055604258	1.25E-18
182165	A_68_P23441913	Tnfrsf18	chr4:154869723-154869782	PROMOTER	1.124024786	1.27E-18
37171	A_68_P23754701	Klhl5	chr5:065411612-065411671	INSIDE	1.128409201	1.30E-18
41154	A_68_P25385704	Olfr631	chr7:103790217-103790276	INSIDE	1.008736702	1.37E-18
99442	A_68_P22864037	Arid3c	chr4:041919022-041919081	PROMOTER	1.056143343	1.38E-18
204627	A_68_P20453458	Agxt	chr1:094965888-094965936	INSIDE	1.009415478	1.59E-18
158076	A_68_P22480138	Abca4	chr3:122038831-122038885	INSIDE	1.143553041	1.71E-18
15594	A_68_P25819789	Zfp42	chr8:044804807-044804866	INSIDE	1.155505453	1.72E-18
88368	A_68_P28057388	Ormdl3	chr11:098408281-098408329	PROMOTER	0.981493832	1.94E-18
226641	A_68_P23284638	Gja4	chr4:126813976-126814024	INSIDE	0.959285338	1.98E-18
207971	A_68_P26892630	Tmem42	chr9:122871256-122871315	INSIDE	0.966836663	2.12E-18
204287	A_68_P25090679	AI480556-Rras	chr7:044885049-044885108	DIVERGENT_PROMOTER	0.966101756	2.41E-18
238350	A_68_P32247073	Cybb	chrX:008624065-008624124	INSIDE	1.051240303	2.41E-18
109355	A_68_P28578889	Smoc1	chr12:081947104-081947158	INSIDE	1.04014737	2.45E-18
22670	A_68_P25391253	Olfr686	chr7:105077732-105077783	INSIDE	0.973561135	2.66E-18
154566	A_68_P31960199	Olfr1434	chr19:012352358-012352417	DOWNSTREAM	0.9911389	2.74E-18
59039	A_68_P20441686	Espnl	chr1:093153655-093153708	INSIDE	0.971573727	2.89E-18
14906	A_68_P22223819	Gm414	chr3:070093949-070094008	PROMOTER	1.096931927	2.89E-18
150915	A_68_P25464306	Acsm2	chr7:119350050-119350109	PROMOTER	1.198667696	3.04E-18
217618	A_68_P32287976	Slc9a7	chrX:019449446-019449503	PROMOTER	1.146132093	3.20E-18
212824	A_68_P25265458	Cib1	chr7:080102246-080102295	INSIDE	1.101944419	3.74E-18
104302	A_68_P25379494	Trim21	chr7:102438346-102438404	INSIDE	0.928209276	4.01E-18
91072	A_68_P21821351	Cd40	chr2:164744003-164744062	PROMOTER	0.928505991	4.16E-18
224624	A_68_P25510679	Rgs10	chr7:128208164-128208223	INSIDE	1.021165359	4.16E-18
100917	A_68_P24430349	Svs1	chr6:048915983-048916039	PROMOTER	1.085745306	4.25E-18
63351	A_68_P22342935	Mllt11-Cdc42se1	chr3:095313847-095313906	DIVERGENT_PROMOTER	1.110036225	4.73E-18
76594	A_68_P32277725	Ndph	chrX:016067164-016067223	INSIDE	1.119996075	4.84E-18
184832	A_68_P22393362	Mov10	chr3:104948563-104948622	PROMOTER	1.095803597	5.12E-18
94238	A_68_P26982186	Il22ra2	chr10:019312601-019312660	INSIDE	1.11393848	5.35E-18
51740	A_68_P26465733	C1qtnf5	chr9:043857053-043857101	PROMOTER	0.92990759	5.40E-18
97168	A_68_P20999188	Itih5	chr2:010070702-010070761	PROMOTER	0.945139482	6.07E-18
90393	A_68_P21628947	Idh3b-Ebf4	chr2:129978350-129978403	DIVERGENT_PROMOTER	1.017117523	6.32E-18
31925	A_68_P23006675	Megf9	chr4:070023676-070023734	PROMOTER	1.354308198	6.43E-18
129627	A_68_P23331523	Lypla2	chr4:135246178-135246236	PROMOTER	1.0006934	6.88E-18
207208	A_68_P29050160	Arl10	chr13:054585813-054585871	INSIDE	1.015117726	7.14E-18
213922	A_68_P24728919	Lrrn1	chr6:107493494-107493547	PROMOTER	1.029493274	7.25E-18
66364	A_68_P22568649	Adh4	chr3:138347579-138347638	PROMOTER	0.938380649	7.28E-18
144780	A_68_P21069057	Wdr85	chr2:024786238-024786296	INSIDE	0.940665082	8.03E-18
30752	A_68_P21624110	Ckap2l	chr2:128988288-128988339	INSIDE	0.897503193	8.40E-18
88710	A_68_P28048244	Scrn2	chr11:096844264-096844320	PROMOTER	1.020417	8.89E-18
218575	A_68_P25188315	Aldh1a3	chr7:066311039-066311098	PROMOTER	0.937990879	8.90E-18
196701	A_68_P20261948	Als2cr11	chr1:059043573-059043632	PROMOTER	0.97967109	9.01E-18
3124	A_68_P21409398	Olfr1176	chr2:088142536-088142595	DOWNSTREAM	1.05551026	9.08E-18
52672	A_68_P25386377	Olfr642	chr7:103923647-103923694	INSIDE	0.97217705	9.50E-18
86210	A_68_P22332484	Sprrl3	chr3:092740260-092740319	PROMOTER	1.086831847	9.85E-18
124781	A_68_P28122168	Abca8a	chr11:109908837-109908892	PROMOTER	1.10951997	1.01E-17
56096	A_68_P23379947	Dhrs3	chr4:144156243-144156297	PROMOTER	0.899403387	1.04E-17
100604	A_68_P30494855	Krt4	chr15:101750598-101750657	INSIDE	1.065137827	1.18E-17
114946	A_68_P21562098	Thbs1	chr2:117804943-117805000	INSIDE	1.023917187	1.38E-17
111087	A_68_P31093921	Tceb2	chr17:023559922-023559970	PROMOTER	0.95222102	1.44E-17
21125	A_68_P28917620	Uqcrfs1	chr13:030554100-030554151	PROMOTER	0.973952422	1.47E-17
198670	A_68_P30514006	Ppl	chr16:005049351-005049404	PROMOTER	1.064427508	1.49E-17
10194	A_68_P31931659	Cdc42ep2	chr19:005917838-005917897	INSIDE	1.238851925	1.53E-17
80556	A_68_P24152575	Wipi2	chr5:142876700-142876750	PROMOTER	0.958050269	1.54E-17
227444	A_68_P20441489	Scly	chr1:093123510-093123569	PROMOTER	0.904309814	1.54E-17
11050	A_68_P32017864	Mamdc2	chr19:023513892-023513951	INSIDE	1.17368518	1.62E-17
207443	A_68_P25415589	Rnf141	chr7:110634699-110634757	INSIDE	0.872869856	1.69E-17
106843	A_68_P21776615	Manbal	chr2:157057161-157057220	PROMOTER	1.188275979	1.77E-17
213105	A_68_P26512793	Rdx	chr9:051795473-051795532	PROMOTER	1.294341441	1.84E-17
21519	A_68_P23141892	Angptl3	chr4:098519447-098519506	PROMOTER	0.873518862	1.93E-17
79655	A_68_P31354408	Ltbp1	chr17:074911534-074911580	INSIDE	0.943176413	2.03E-17
238937	A_68_P23392299	Agtrap	chr4:146929477-146929533	INSIDE	0.95939602	2.04E-17
222429	A_68_P24389480	Olfr460	chr6:040499705-040499764	PROMOTER	1.182188656	2.05E-17
131452	A_68_P25993820	Mmaa	chr8:082188838-082188897	INSIDE	1.036015742	2.06E-17
23600	A_68_P21320143	Dlx2	chr2:071347878-071347937	PROMOTER	1.017357425	2.12E-17
153593	A_68_P23566399	Rnf32	chr5:029522542-029522597	PROMOTER	0.92776839	2.30E-17
238783	A_68_P22061887	Il2	chr3:037320758-037320804	PROMOTER	0.856854993	2.74E-17
189512	A_68_P25583445	Olfr60	chr7:140199063-140199122	PROMOTER	1.083300386	2.91E-17
96054	A_68_P26991416	Myb	chr10:020854064-020854118	PROMOTER	0.911184919	3.05E-17
202103	A_68_P21752011	Fkhl18	chr2:152627164-152627208	PROMOTER	0.952644098	3.12E-17
120708	A_68_P22409816	Gstm3	chr3:108096914-108096969	INSIDE	0.92607796	3.38E-17
81564	A_68_P27807863	Slc22a4	chr11:053874064-053874118	PROMOTER	0.902866745	3.40E-17
88974	A_68_P25005895	Lypd3	chr7:024340600-024340659	PROMOTER	0.896288073	3.40E-17
101462	A_68_P21066261	Pax8	chr2:024302791-024302848	PROMOTER	0.892500913	3.48E-17
134019	A_68_P24946383	Tfpt	chr7:003224064-003224113	INSIDE	0.861719162	3.56E-17
86795	A_68_P30325002	Kcnk9	chr15:072371775-072371829	INSIDE	0.890007107	3.58E-17
14233	A_68_P32203560	Vwa2	chr19:056923448-056923501	PROMOTER	0.903386544	3.63E-17
194024	A_68_P24991558	Fbxo46	chr7:018276694-018276742	PROMOTER	0.877210388	3.71E-17
156924	A_68_P32151503	Col17a1	chr19:047749339-047749397	PROMOTER	0.892158761	3.81E-17
107284	A_68_P25350660	Ints4	chr7:097353013-097353067	PROMOTER	0.858481782	4.12E-17
79289	A_68_P24454696	Jazf1	chr6:052999724-052999777	PROMOTER	0.944701837	4.46E-17
179556	A_68_P31610636	Epb4.1l4a	chr18:034136628-034136687	PROMOTER	1.001069561	4.60E-17
177986	A_68_P25957226	Plvap	chr8:074440596-074440643	INSIDE	0.881912389	4.80E-17
208458	A_68_P22410470	Ampd2-Gnat2	chr3:108220132-108220184	DIVERGENT_PROMOTER	0.836353516	4.85E-17
66390	A_68_P27292908	Tdg	chr10:082057871-082057925	PROMOTER	0.939118612	5.04E-17
168361	A_68_P22308965	Arhgef11	chr3:087706592-087706649	INSIDE	0.891409133	5.08E-17
203914	A_68_P20971496	Mcm10	chr2:004933070-004933127	PROMOTER	0.884036311	5.09E-17
106760	A_68_P22442162	Olfm3	chr3:115074388-115074447	INSIDE	1.171683834	5.34E-17
53614	A_68_P21256615	Baz2b	chr2:059926672-059926731	PROMOTER	1.102171809	5.35E-17
140841	A_68_P32457081	Magea4	chrX:068470109-068470165	PROMOTER	1.107655581	5.40E-17
189498	A_68_P21741364	Abhd12	chr2:150534724-150534773	PROMOTER	0.939163183	5.41E-17
24888	A_68_P31994415	Rorb	chr19:019072160-019072219	PROMOTER	0.988119254	5.42E-17
71881	A_68_P23360916	Padi2	chr4:140175428-140175477	PROMOTER	0.846599564	5.48E-17
39956	A_68_P31099190	Rnf151-Rps2	chr17:024446229-024446284	DIVERGENT_PROMOTER	0.96444275	5.52E-17
36282	A_68_P20728383	Rgs16	chr1:155503583-155503639	INSIDE	0.991445162	5.61E-17
215121	A_68_P30152107	Slc25a32	chr15:038940674-038940733	INSIDE	0.972455714	5.88E-17
161907	A_68_P28883335	Hist1h4b	chr13:023764410-023764468	PROMOTER	0.929027598	5.89E-17
215831	A_68_P21137863	Lhx6	chr2:035930593-035930652	PROMOTER	0.901137953	6.01E-17
168913	A_68_P21141621	Pdcl	chr2:037179915-037179969	INSIDE	0.917996736	6.03E-17
207025	A_68_P25598355	R74862	chr7:142865796-142865844	PROMOTER	0.846741481	6.06E-17
88051	A_68_P24776827	Alox5	chr6:116424449-116424508	INSIDE	1.107166288	6.21E-17
204261	A_68_P20351390	Ccdc108	chr1:074868212-074868271	INSIDE	1.010379973	6.34E-17
3758	A_68_P24803641	Slc6a12	chr6:121310817-121310873	PROMOTER	0.923655542	6.86E-17
193281	A_68_P30577447	Prodh	chr16:018002143-018002195	INSIDE	1.005262715	6.97E-17
152753	A_68_P24921065	Lrmp	chr6:145073579-145073638	PROMOTER	1.013552816	7.01E-17
177100	A_68_P32464057	Slc6a8	chrX:069925429-069925480	PROMOTER	1.000134882	7.28E-17
51596	A_68_P27290286	Gna11	chr10:080932091-080932150	INSIDE	0.858867917	7.54E-17
230840	A_68_P22333817	Sprrl1	chr3:093030154-093030203	INSIDE	0.885422405	7.69E-17
47610	A_68_P23694239	Sod3	chr5:052650248-052650307	PROMOTER	0.871851943	8.03E-17
100633	A_68_P32412898	Mcf2	chrX:056493385-056493444	INSIDE	1.060395147	8.09E-17
91927	A_68_P20827004	B4galt3	chr1:173106749-173106804	PROMOTER	0.981161674	8.19E-17
30590	A_68_P23331243	Fuca1	chr4:135194861-135194917	INSIDE	0.828286752	9.21E-17
32709	A_68_P25034938	Fxyd3	chr7:030789549-030789594	PROMOTER	1.104269536	9.33E-17
193848	A_68_P26435346	Olfr914	chr9:038352076-038352135	PROMOTER	1.207842036	9.44E-17
46817	A_68_P23198170	Rab3b	chr4:108377819-108377867	INSIDE	0.839225367	9.57E-17
159008	A_68_P31022599	Vil2	chr17:006634936-006634995	PROMOTER	0.999829799	9.77E-17
4960	A_68_P28698627	Serpina10	chr12:104029260-104029319	INSIDE	1.007800014	1.01E-16
58131	A_68_P27228585	Slc16a9	chr10:069635877-069635934	PROMOTER	1.105883821	1.03E-16
141894	A_68_P29754583	Olfm4	chr14:078732591-078732650	PROMOTER	0.911303242	1.06E-16
182425	A_68_P29589391	Otx2	chr14:047587881-047587932	PROMOTER	0.977720084	1.06E-16
220801	A_68_P21732393	Cst13	chr2:148514001-148514051	INSIDE	0.867535073	1.09E-16
206782	A_68_P21070746	Gm757	chr2:025058240-025058289	INSIDE	0.803512129	1.16E-16
210407	A_68_P23440451	Atad3a	chr4:154602929-154602988	INSIDE	0.86349903	1.18E-16
188725	A_68_P22187590	Dhx36	chr3:062593368-062593427	INSIDE	1.068870715	1.21E-16
111636	A_68_P31601534	Map3k2	chr18:032307913-032307972	INSIDE	1.028855699	1.24E-16
222170	A_68_P24221499	Tac1	chr6:007507024-007507080	INSIDE	0.95526031	1.28E-16
99929	A_68_P27884872	Rcvrn	chr11:067511641-067511686	INSIDE	0.895125533	1.28E-16
4271	A_68_P24877012	Ptpro	chr6:137214831-137214890	PROMOTER	0.98934565	1.30E-16
40329	A_68_P24993170	Ckm	chr7:018570294-018570350	INSIDE	0.886846438	1.31E-16
96945	A_68_P27184980	Tacr2	chr10:061647901-061647946	PROMOTER	0.7951191	1.31E-16
130471	A_68_P24839029	Fkbp4	chr6:128404967-128405026	PROMOTER	0.832850442	1.32E-16
7221	A_68_P20321255	Ikzf2	chr1:069622760-069622819	PROMOTER	0.942591119	1.32E-16
3950	A_68_P24595342	Ankrd53	chr6:083728287-083728346	INSIDE	0.81839917	1.34E-16
92253	A_68_P24426874	Krba1	chr6:048326072-048326125	INSIDE	0.887982409	1.36E-16
80648	A_68_P21129968	Fbxw2	chr2:034648809-034648861	PROMOTER	0.880888006	1.38E-16
69108	A_68_P26700015	Rwdd2	chr9:086368963-086369008	INSIDE	0.88214942	1.40E-16
218580	A_68_P25665713	F10	chr8:013036432-013036482	PROMOTER	0.826832631	1.40E-16
195093	A_68_P30947628	Krtap13-1	chr16:088619125-088619184	DOWNSTREAM	1.015491044	1.40E-16
192362	A_68_P20786744	Sele	chr1:165886158-165886217	INSIDE	0.86729571	1.48E-16
70053	A_68_P26079823	Coq9	chr8:097741709-097741768	INSIDE	0.950403331	1.48E-16
237248	A_68_P21073567	Lcn8	chr2:025472056-025472115	PROMOTER	1.154267475	1.51E-16
95884	A_68_P28530888	Rtn1	chr12:073157170-073157221	PROMOTER	0.888134733	1.53E-16
75527	A_68_P22218914	Trim59	chr3:069133711-069133770	PROMOTER	1.043085084	1.54E-16
203059	A_68_P32415813	Sox3	chrX:057154629-057154673	PROMOTER	0.912942027	1.54E-16
107979	A_68_P20729136	EG433365	chr1:155637808-155637859	INSIDE	0.819428434	1.63E-16
225289	A_68_P26127966	Cmtm3	chr8:107224773-107224831	PROMOTER	0.903627538	1.66E-16
232005	A_68_P28540846	Snapc1	chr12:074883841-074883897	INSIDE	0.888428645	1.71E-16
34549	A_68_P27255978	Adora2a	chr10:074767558-074767613	PROMOTER	0.989382827	1.75E-16
143328	A_68_P26467664	Upk2	chr9:044204922-044204973	INSIDE	0.863412817	1.76E-16
113257	A_68_P30572538	Ube2l3-Gm603	chr16:017121893-017121942	DIVERGENT_PROMOTER	0.943312753	1.78E-16
160531	A_68_P20454230	Sned1	chr1:095065485-095065544	PROMOTER	0.808229403	1.80E-16
145767	A_68_P21932517	Stmn2	chr3:008489920-008489979	PROMOTER	1.004489568	1.83E-16
184847	A_68_P29648483	Sacs	chr14:060091798-060091846	PROMOTER	0.814228658	1.93E-16
124865	A_68_P25100866	Saa3	chr7:046583793-046583852	PROMOTER	0.826703467	1.94E-16
153924	A_68_P30358263	Rabl4	chr15:078002089-078002148	PROMOTER	0.865931166	1.94E-16
237114	A_68_P32217670	Vax1	chr19:059221088-059221146	INSIDE	0.879694758	1.97E-16
131465	A_68_P26023024	Junb-Hook2	chr8:087876666-087876723	DIVERGENT_PROMOTER	0.791668486	2.05E-16
58183	A_68_P22246562	Pdcd10	chr3:075637957-075638016	INSIDE	0.952918923	2.07E-16
43674	A_68_P31845677	Katnal2	chr18:077253609-077253660	PROMOTER	0.942823124	2.13E-16
70823	A_68_P24122120	Cutl1	chr5:136855143-136855200	PROMOTER	0.816859941	2.15E-16
240030	A_68_P22535302	Dkk2	chr3:132018882-132018930	PROMOTER	0.833867489	2.20E-16
21121	A_68_P21220343	Cacnb4	chr2:052381938-052381996	PROMOTER	0.83157364	2.23E-16
93919	A_68_P29086223	Dapk1	chr13:060606272-060606324	PROMOTER	0.816335353	2.32E-16
196578	A_68_P24954805	Zfp667	chr7:005890462-005890521	INSIDE	0.840718631	2.71E-16
14022	A_68_P24631241	V1ra8	chr6:090166843-090166902	PROMOTER	0.937843141	2.88E-16
125861	A_68_P29716879	Rb1	chr14:072057759-072057818	INSIDE	1.064338602	3.01E-16
177930	A_68_P32588990	Tbx22	chrX:103877852-103877911	PROMOTER	0.922477612	3.07E-16
150860	A_68_P24817413	Gpr162	chr6:124825936-124825985	INSIDE	0.79544532	3.14E-16
210577	A_68_P30343460	Rhpn1	chr15:075530416-075530468	PROMOTER	0.777321474	3.53E-16
141174	A_68_P26659226	Dppa5	chr9:078154495-078154554	PROMOTER	0.927692286	3.58E-16
122800	A_68_P28902752	Prlpc4	chr13:027593638-027593697	PROMOTER	1.213746884	3.69E-16
22172	A_68_P32127548	Nkx2-3	chr19:043662918-043662977	PROMOTER	0.943944122	3.72E-16
21486	A_68_P27005976	Taar3	chr10:023638948-023639007	INSIDE	0.840995771	3.74E-16
64657	A_68_P27279508	Ela2	chr10:079291302-079291359	INSIDE	0.8224791	3.87E-16
221606	A_68_P30493026	EG406223	chr15:101455943-101455994	INSIDE	0.803619026	3.96E-16
9752	A_68_P31920581	Doc2g	chr19:004004218-004004277	INSIDE	0.822087987	4.02E-16
9227	A_68_P23337028	Epha8	chr4:136230944-136230993	PROMOTER	0.812278543	4.17E-16
108030	A_68_P24486169	Gprin3	chr6:059356170-059356220	PROMOTER	0.869690166	4.24E-16
214045	A_68_P25378007	Stim1	chr7:102143344-102143403	INSIDE	0.858432534	4.46E-16
113749	A_68_P28452157	Nfkbia	chr12:056412050-056412103	PROMOTER	0.846453712	4.47E-16
161922	A_68_P24156987	Rac1	chr5:143788678-143788735	PROMOTER	0.883718979	4.67E-16
29923	A_68_P32262602	Atp6ap2	chrX:011745605-011745664	INSIDE	1.200710541	4.77E-16
10766	A_68_P24170117	Usp12	chr5:147103639-147103689	INSIDE	0.792858968	4.83E-16
216794	A_68_P28730306	AI132487	chr12:109297858-109297909	PROMOTER	0.861527729	4.95E-16
224569	A_68_P28530013	Gpr135	chr12:072990841-072990894	PROMOTER	0.792866281	4.98E-16
152591	A_68_P24397346	Clcn1	chr6:042215633-042215687	PROMOTER	0.895155764	5.26E-16
205732	A_68_P30013439	C1qtnf3	chr15:010896855-010896914	PROMOTER	0.931569129	5.27E-16
97307	A_68_P21388669	Zc3h15	chr2:083441587-083441646	PROMOTER	0.862943597	5.44E-16
16124	A_68_P20644023	Kif21b	chr1:137946485-137946543	PROMOTER	0.79233545	5.54E-16
189377	A_68_P20736171	Stx6	chr1:156920575-156920634	PROMOTER	0.865326632	5.64E-16
74443	A_68_P26169631	Ctrb1	chr8:114577875-114577922	PROMOTER	0.782275519	5.69E-16
136463	A_68_P31171367	Olfr135	chr17:037812233-037812288	PROMOTER	0.846509563	5.75E-16
156580	A_68_P25294419	Olfr305	chr7:086243273-086243332	PROMOTER	0.957408903	6.12E-16
38516	A_68_P28186426	Dcxr	chr11:120542159-120542207	INSIDE	0.948334375	6.26E-16
51773	A_68_P26288076	Mmp1a	chr9:007464082-007464141	PROMOTER	1.303226275	6.26E-16
153551	A_68_P26460552	Oaf	chr9:042995420-042995470	PROMOTER	0.811493463	6.39E-16
74410	A_68_P24173619	Pan3	chr5:147739338-147739397	PROMOTER	0.797744641	6.39E-16
238200	A_68_P32588003	Itm2a	chrX:103607017-103607075	PROMOTER	0.993814935	6.45E-16
236392	A_68_P21912040	Tcea2	chr2:181610537-181610592	INSIDE	0.795074418	6.62E-16
225820	A_68_P27056249	Tspyl4	chr10:033989591-033989644	INSIDE	0.91079153	6.76E-16
163660	A_68_P24811801	Clec4n	chr6:123192805-123192864	PROMOTER	0.829943505	6.83E-16
3795	A_68_P29060094	Neurog1	chr13:056259225-056259281	DOWNSTREAM	0.934637552	7.24E-16
164364	A_68_P21757435	Spag4l	chr2:153562180-153562239	INSIDE	0.811118316	7.30E-16
136503	A_68_P23756862	Hip2	chr5:065817259-065817318	INSIDE	0.902006169	7.94E-16
114062	A_68_P28040172	Phb	chr11:095484861-095484917	INSIDE	0.98469541	8.38E-16
40606	A_68_P30570747	Top3b	chr16:016784772-016784825	INSIDE	1.08535845	8.69E-16
14867	A_68_P20391701	Irs1	chr1:082168211-082168261	INSIDE	0.885191927	8.88E-16
227381	A_68_P24613272	Aak1	chr6:086960772-086960829	DOWNSTREAM	0.840836625	9.15E-16
94091	A_68_P21079845	Egfl7	chr2:026414653-026414707	INSIDE	0.862083142	9.93E-16
227281	A_68_P22332958	Sprrl9	chr3:092855187-092855243	PROMOTER	0.807781866	1.03E-15
216321	A_68_P23390929	MGC67181	chr4:146690363-146690421	INSIDE	0.939875239	1.05E-15
72385	A_68_P24983333	Strn4	chr7:015969159-015969203	PROMOTER	0.790047354	1.06E-15
195829	A_68_P26783246	Slco2a1	chr9:102862128-102862178	PROMOTER	0.808355068	1.08E-15
18575	A_68_P21833112	Ddx27	chr2:166702400-166702459	PROMOTER	0.824935075	1.12E-15
155299	A_68_P23891985	Cdkl2	chr5:093120290-093120349	PROMOTER	1.044429612	1.16E-15
119301	A_68_P24975614	Cabp5	chr7:012296831-012296890	PROMOTER	0.918697193	1.16E-15
180842	A_68_P21766485	Gss	chr2:155288622-155288670	PROMOTER	0.848515915	1.16E-15
104080	A_68_P27914540	P2rx1	chr11:072815767-072815817	INSIDE	0.829823394	1.21E-15
159621	A_68_P27560525	Nefh	chr11:004850374-004850427	PROMOTER	0.897622224	1.29E-15
137405	A_68_P26820786	Cdc25a	chr9:109733619-109733663	INSIDE	0.8173937	1.29E-15
92039	A_68_P24947745	Ttyh1	chr7:003722080-003722139	PROMOTER	0.773961974	1.29E-15
144624	A_68_P25004993	Plaur	chr7:024168987-024169036	PROMOTER	0.884509641	1.32E-15
99444	A_68_P21822960	Elmo2	chr2:164984438-164984496	INSIDE	0.816711651	1.32E-15
72054	A_68_P20147172	Ugcgl1	chr1:036190511-036190570	PROMOTER	0.780458907	1.38E-15
38565	A_68_P27445230	E2f7	chr10:110151143-110151197	INSIDE	0.978698272	1.41E-15
181528	A_68_P24973964	Zfp446	chr7:011879378-011879433	INSIDE	0.750774847	1.42E-15
195094	A_68_P25937661	Nat3	chr8:070452361-070452417	PROMOTER	0.797170829	1.47E-15
112255	A_68_P23991434	Tfip11	chr5:112564456-112564512	PROMOTER	0.83543969	1.50E-15
141936	A_68_P27902125	Camta2	chr11:070502489-070502542	INSIDE	0.774025823	1.50E-15
137761	A_68_P32611512	EG237009	chrX:111017754-111017813	PROMOTER	0.912085714	1.52E-15
6117	A_68_P21902647	Cables2	chr2:180204532-180204584	PROMOTER	0.78933986	1.57E-15
195365	A_68_P24979802	Kptn	chr7:015285160-015285219	INSIDE	0.799161233	1.58E-15
64579	A_68_P32412253	F9	chrX:056347750-056347809	INSIDE	0.98106834	1.60E-15
25728	A_68_P32141759	Ldb1	chr19:046092086-046092137	INSIDE	0.965467248	1.61E-15
144860	A_68_P27836025	Wnt3a	chr11:059106180-059106224	INSIDE	0.775711386	1.63E-15
37489	A_68_P30340444	Ly6e	chr15:074780321-074780380	PROMOTER	0.840512157	1.68E-15
79740	A_68_P32468043	G6pdx	chrX:070681144-070681203	INSIDE	0.835044298	1.70E-15
117950	A_68_P24468762	Aqp1	chr6:055264629-055264685	PROMOTER	0.801557485	1.71E-15
201780	A_68_P21089670	Olfm1	chr2:028024992-028025051	PROMOTER	0.756865852	1.72E-15
134615	A_68_P27836149	Wnt9a	chr11:059124918-059124966	INSIDE	0.822786098	1.74E-15
