Probeset	P Value	FDR	Fold change	Direction	Symbol	Name
217414_x_at	0.0055	0.0098	-4.47	DOWN	HBA2	hemoglobin, alpha 2
211745_x_at	0.0081	0.0124	-4.56	DOWN	HBA2	hemoglobin, alpha 2
211699_x_at	0.0148	0.0177	-3.78	DOWN	HBA2	hemoglobin, alpha 2
204018_x_at	0.0165	0.019	-3.61	DOWN	HBA2	hemoglobin, alpha 2
214414_x_at	0.0187	0.0205	-5.69	DOWN	HBA2	hemoglobin, alpha 2
217232_x_at	0.0144	0.0175	-3.94	DOWN	HBB	hemoglobin, beta
209116_x_at	0.0181	0.02	-4.92	DOWN	HBB	hemoglobin, beta
211696_x_at	0.0185	0.0203	-4.88	DOWN	HBB	hemoglobin, beta
204848_x_at	0.0284	0.0266	-1.9	DOWN	HBG1	hemoglobin, gamma A
213515_x_at	0.064	0.0444	-1.99	DOWN	HBG2	hemoglobin, gamma G
1556959_at	0.0006	0.0027	-1.52	DOWN	hCG_2007354	hCG2007354
227347_x_at	0.0081	0.0124	-1.55	DOWN	HES4	hairy and enhancer of split 4 (Drosophila)
205221_at	0.0176	0.0197	-1.55	DOWN	HGD	homogentisate 1,2-dioxygenase (homogentisate oxidase)
211990_at	0.0208	0.0218	-1.92	DOWN	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
212671_s_at	0.0501	0.0379	-1.93	DOWN	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1
212998_x_at	0.0096	0.0137	-1.54	DOWN	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
203665_at	0.0037	0.0077	-1.53	DOWN	HMOX1	heme oxygenase (decycling) 1
213418_at	0.0105	0.0144	-1.53	DOWN	HSPA6	heat shock 70kDa protein 6 (HSP70B)
201422_at	0.0002	0.0015	-2.17	DOWN	IFI30	interferon, gamma-inducible protein 30
216706_x_at	0.0001	0.0006	-1.51	DOWN	IGHA1	immunoglobulin heavy constant alpha 1
1561937_x_at	0.0032	0.0071	-1.64	DOWN	IGHA1	immunoglobulin heavy constant alpha 1
207072_at	0.0016	0.0047	-1.64	DOWN	IL18RAP	interleukin 18 receptor accessory protein
1559716_at	0.0311	0.0281	-1.58	DOWN	INO80C	INO80 complex subunit C
204057_at	0.0009	0.0033	-1.75	DOWN	IRF8	interferon regulatory factor 8
1563003_at	0.0101	0.0141	-1.65	DOWN	ITGAX	Integrin alpha-X (Leukocyte adhesionglycoprotein P150,95) (CD11C)
221051_s_at	0	0.0001	-1.52	DOWN	ITGB1BP3	integrin beta 1 binding protein 3
207322_at	0.035	0.0303	-2.22	DOWN	ITSN1	intersectin 1 (SH3 domain protein)
241045_at	0.0002	0.0013	-1.5	DOWN	JMJD5	jumonji domain containing 5
208251_at	0.0001	0.0009	-1.5	DOWN	KCNC4	Voltage-gated potassium channel proteinKV3.4 (KSHIIIC).
224099_at	0.0325	0.0289	-3.44	DOWN	KCNH7	Herg-3 potassium channel (incyte)
221802_s_at	0.0001	0.0011	-1.51	DOWN	KIAA1598	KIAA1598
1555871_at	0.0067	0.0111	-1.53	DOWN	KIAA1648	KIAA1648 protein
228409_at	0.0062	0.0106	-1.53	DOWN	KIAA1881	KIAA1881
220002_at	0.0099	0.0139	-1.83	DOWN	KIF26B	kinesin family member 26B
221841_s_at	0.001	0.0037	-2.51	DOWN	KLF4	Kruppel-like factor 4 (gut)
216670_at	0	0	-1.52	DOWN	KLK13	Kallikrein-like protein 4 (KLK-L4)
214470_at	0.0024	0.0061	-2.05	DOWN	KLRB1	killer cell lectin-like receptor subfamily B, member 1
216821_at	0	0.0004	-1.5	DOWN	KRT8	keratin 8
234985_at	0.035	0.0302	-1.83	DOWN	LDLRAD3	low density lipoprotein receptor class A domain containing 3
201105_at	0.0048	0.0091	-1.64	DOWN	LGALS1	lectin, galactoside-binding, soluble, 1
210313_at	0.0007	0.0028	-1.75	DOWN	LILRA4	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4
229937_x_at	0.0743	0.0488	-1.74	DOWN	LILRB1	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
212089_at	0	0.0006	-1.55	DOWN	LMNA	lamin A/C
235557_at	0.0035	0.0075	-1.7	DOWN	LOC150763	Acyltransferase homologue 5665262CD1(incyte)
238112_at	0	0.0001	-1.56	DOWN	LOC283177	hypothetical protein LOC283177
1553586_at	0.0002	0.0013	-1.54	DOWN	LOC283932	hypothetical LOC283932
230228_at	0	0.0005	-1.5	DOWN	LOC284297	hypothetical LOC284297
1563088_a_at	0	0.0005	-1.57	DOWN	LOC284837	hypothetical protein LOC284837
1558423_at	0.0003	0.0017	-1.61	DOWN	LOC349114	hypothetical LOC349114
1554187_at	0.0243	0.0241	-1.95	DOWN	LOC554206	hypothetical LOC554206
220816_at	0.0002	0.0012	-1.55	DOWN	LPAR3	Lysophosphatidic acid receptor 3 (LPA3)(EDG-7)
229561_at	0	0.0005	-1.58	DOWN	LRRC16B	leucine rich repeat containing 16B
1559502_s_at	0	0	-1.63	DOWN	LRRC25	leucine rich repeat containing 25
1553169_at	0.0012	0.0039	-1.51	DOWN	LRRN4	leucine rich repeat neuronal 4
1558530_at	0.0008	0.0032	-1.55	DOWN	LRTM2	leucine-rich repeats and transmembrane domains 2
214181_x_at	0.0019	0.0053	-1.73	DOWN	LST1	leukocyte specific transcript 1
214574_x_at	0.0024	0.006	-1.7	DOWN	LST1	leukocyte specific transcript 1
211582_x_at	0.0044	0.0086	-1.66	DOWN	LST1	leukocyte specific transcript 1
210629_x_at	0.0051	0.0094	-1.61	DOWN	LST1	leukocyte specific transcript 1
211581_x_at	0.0062	0.0106	-1.61	DOWN	LST1	leukocyte specific transcript 1
215633_x_at	0.0104	0.0143	-1.61	DOWN	LST1	leukocyte specific transcript 1
202625_at	0.0373	0.0315	-1.55	DOWN	LYN	Tyrosine-protein kinase LYN
222670_s_at	0	0.0006	-1.52	DOWN	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
218559_s_at	0.018	0.02	-2.13	DOWN	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
203414_at	0.042	0.0338	-1.84	DOWN	MMD	monocyte to macrophage differentiation-associated
236749_at	0	0.0005	-1.62	DOWN	MNT	MAX binding protein
219527_at	0.0001	0.0007	-1.58	DOWN	MOSC2	MOCO sulphurase C-terminal domain containing 2
226841_at	0.0004	0.002	-2.4	DOWN	MPEG1	macrophage expressed gene 1
226818_at	0.0011	0.0039	-2.43	DOWN	MPEG1	macrophage expressed gene 1
219666_at	0.0001	0.001	-1.82	DOWN	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A
223280_x_at	0.0121	0.0157	-1.6	DOWN	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A
224356_x_at	0.0129	0.0163	-1.76	DOWN	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A
223922_x_at	0.0245	0.0243	-1.51	DOWN	MS4A6A	membrane-spanning 4-domains, subfamily A, member 6A
223344_s_at	0.019	0.0206	-1.84	DOWN	MS4A7	membrane-spanning 4-domains, subfamily A, member 7
235055_x_at	0	0.0002	-1.88	DOWN	MUC4	mucin 4, cell surface associated
217182_at	0	0	-2.06	DOWN	MUC5AC	mucin 5AC, oligomeric mucus/gel-forming
211914_x_at	0.0025	0.0061	-1.51	DOWN	NF1	neurofibromin 1
209807_s_at	0.0001	0.0008	-1.52	DOWN	NFIX	nuclear factor I/X (CCAAT-binding transcription factor)
206801_at	0	0.0006	-1.57	DOWN	NPPB	natriuretic peptide precursor B
209230_s_at	0	0	-1.61	DOWN	NUPR1	nuclear protein 1
234496_x_at	0.0001	0.0011	-1.52	DOWN	NYX	nyctalopin
233301_at	0.0099	0.0139	-1.67	DOWN	OXCT2	TRANSFERASE: Succinyl CoA transferase3187086CD1 (incyte)
200906_s_at	0	0.0004	-1.51	DOWN	PALLD	palladin, cytoskeletal associated protein
233896_s_at	0	0	-1.67	DOWN	PAPLN	papilin, proteoglycan-like sulfated glycoprotein
224538_s_at	0	0.0004	-1.5	DOWN	PARD6G	par-6 partitioning defective 6 homolog gamma (C. elegans)
205463_s_at	0.0348	0.0301	-1.81	DOWN	PDGFA	platelet-derived growth factor alpha polypeptide
214442_s_at	0.0184	0.0202	-2.17	DOWN	PIAS2	protein inhibitor of activated STAT, 2
226459_at	0.0026	0.0064	-1.5	DOWN	PIK3AP1	phosphoinositide-3-kinase adaptor protein 1
222218_s_at	0.0086	0.0129	-1.59	DOWN	PILRA	paired immunoglobin-like type 2 receptor alpha
210969_at	0.0551	0.0403	-1.6	DOWN	PKN2	protein kinase N2 (PKN2) (PRK2)
211697_x_at	0.0356	0.0305	-1.88	DOWN	PNO1	partner of NOB1 homolog (S. cerevisiae)
204284_at	0.0285	0.0267	-1.61	DOWN	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C
220894_x_at	0	0	-1.54	DOWN	PRDM12	PR domain containing 12
239111_at	0	0.0004	-1.52	DOWN	PRDM8	PR domain containing 8
214617_at	0.0224	0.0229	-1.52	DOWN	PRF1	perforin 1 (pore forming protein)
241669_x_at	0.0089	0.0131	-1.79	DOWN	PRKD2	protein kinase D2 (PRKD2)
239583_x_at	0.0002	0.0013	-1.51	DOWN	PSG5	pregnancy specific beta-1-glycoprotein 5
211748_x_at	0.0519	0.0388	-1.54	DOWN	PTGDS	prostaglandin D2 synthase 21kDa (brain)
217597_x_at	0	0.0004	-1.52	DOWN	RAB40B	RAB40B, member RAS oncogene family
210051_at	0.0007	0.0029	-1.89	DOWN	RAPGEF3	Rap guanine nucleotide exchange factor (GEF) 3
1554992_at	0	0.0006	-1.57	DOWN	RASGRF1	Ras protein-specific guanine nucleotide-releasing factor 1
241990_at	0	0	-1.73	DOWN	RHOV	ras homolog gene family, member V
233781_s_at	0.0011	0.0038	-1.66	DOWN	RIF1	RAP1 interacting factor homolog (yeast)
201909_at	0.0401	0.0328	-8.56	DOWN	RPS4Y1	ribosomal protein S4, Y-linked 1
216831_s_at	0	0.0001	-1.54	DOWN	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)
230464_at	0.0496	0.0376	-1.58	DOWN	S1PR5	Sphingosine 1-phosphate receptor 5 (S1P5)(EDG-8/PFI-006)
203455_s_at	0.0042	0.0083	-1.51	DOWN	SAT1	spermidine/spermine N1-acetyltransferase 1
211429_s_at	0.025	0.0246	-1.85	DOWN	SERPINA1	Alpha-1-antitrypsin
1552807_a_at	0.0004	0.0021	-1.67	DOWN	SIGLEC10	sialic acid binding Ig-like lectin 10
220554_at	0	0.0002	-1.52	DOWN	SLC22A7	Organic anion transporter 2 (OAT-2) (NLT)
210686_x_at	0.0596	0.0424	-1.51	DOWN	SLC25A16	solute carrier family 25, member 16
204588_s_at	0.0006	0.0027	-1.81	DOWN	SLC7A7	Glycoprotein-associated amino acidtransporter y+LAT1
228898_s_at	0	0.0001	-1.58	DOWN	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
230367_at	0	0.0001	-1.84	DOWN	SMTNL1	smoothelin-like 1
204467_s_at	0.0084	0.0127	-1.51	DOWN	SNCA	synuclein, alpha (non A4 component of amyloid precursor)
207827_x_at	0.0099	0.0139	-1.52	DOWN	SNCA	synuclein, alpha (non A4 component of amyloid precursor)
208584_at	0	0.0001	-1.8	DOWN	SNCG	synuclein, gamma (breast cancer-specific protein 1)
235460_at	0.0009	0.0034	-1.54	DOWN	SNX22	sorting nexin 22
218638_s_at	0.0019	0.0053	-1.73	DOWN	SPON2	spondin 2, extracellular matrix protein
221858_at	0.012	0.0156	-1.67	DOWN	TBC1D12	TBC1 domain family, member 12
212960_at	0.0002	0.0015	-1.55	DOWN	TBC1D9	TBC1 domain family, member 9 (with GRAM domain)
242941_x_at	0	0.0005	-1.62	DOWN	TBX1	T-box 1
207555_s_at	0.0009	0.0034	-1.6	DOWN	TBXA2R	Thromboxane A2 receptor (TXA2-R)(prostanoid TP receptor)
201506_at	0	0.0001	-2.12	DOWN	TGFBI	transforming growth factor, beta-induced, 68kDa
1553812_at	0.0015	0.0045	-1.51	DOWN	TLE6	transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)
222758_s_at	0.0007	0.0028	-1.55	DOWN	TMEM132A	transmembrane protein 132A
213676_at	0	0.0002	-1.55	DOWN	TMEM151B	transmembrane protein 151B
220532_s_at	0.0004	0.0019	-1.67	DOWN	TMEM176B	transmembrane protein 176B
242782_x_at	0	0.0002	-1.55	DOWN	TMEM198	transmembrane protein 198
223502_s_at	0.003	0.0068	-1.6	DOWN	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b
1557185_at	0	0.0001	-1.56	DOWN	TPCN1	two-pore channel 1, homolog
216191_s_at	0.0044	0.0086	-2.2	DOWN	TRAJ17	T cell receptor alpha joining 17
211001_at	0	0.0001	-1.52	DOWN	TRIM29	tripartite motif-containing 29
1554295_x_at	0.0054	0.0097	-1.54	DOWN	TTBK2	tau tubulin kinase 2
204122_at	0.0016	0.0047	-1.85	DOWN	TYROBP	TYRO protein tyrosine kinase binding protein
213822_s_at	0.0268	0.0257	-1.78	DOWN	UBE3B	ubiquitin protein ligase E3B
230965_at	0	0.0003	-1.61	DOWN	USP2	Ubiquitin carboxyl-terminal hydrolaseUBP41
239810_at	0	0	-1.57	DOWN	VASH1	vasohibin 1
204620_s_at	0.0101	0.0141	-1.88	DOWN	VCAN	versican
207376_at	0.0001	0.0007	-1.51	DOWN	VENTX	VENT homeobox homolog (Xenopus laevis)
221785_at	0	0	-1.74	DOWN	WIZ	widely interspaced zinc finger motifs
1560866_at	0	0.0004	-1.52	DOWN	WNK2	WNK lysine deficient protein kinase 2
71933_at	0.0002	0.0014	-1.6	DOWN	WNT6	wingless-type MMTV integration site family, member 6
227681_at	0.0001	0.0007	-1.63	DOWN	ZFP36L2	zinc finger protein 36, C3H type-like 2
244406_at	0.0084	0.0127	-1.57	DOWN	ZNF20	zinc finger protein 20
210595_at	0.0459	0.0358	-1.77	DOWN	ZNF235	zinc finger protein 235
230756_at	0.0138	0.017	-1.59	DOWN	ZNF683	zinc finger protein 683
222760_at	0	0.0001	-1.56	DOWN	ZNF703	zinc finger protein 703
204670_x_at	0.0274	0.026	-1.52	DOWN	ZNF749	zinc finger protein 749
209312_x_at	0.0312	0.0282	-1.55	DOWN	ZNF749	zinc finger protein 749
