Gene symbol	Unique id	FDR	Geom mean of ratios in Cancer group	Geom mean of ratios in Normal group	Fold-change (Cancer/Normal)
RPL13A	PH_hs_0033702	0.0495	1.037	1.3	0.798
MFNG	PH_hs_0024190	0.0279	2.001	2.51	0.797
SS18L2	PH_hs_0030978	0.0227	1.107	1.391	0.796
TAF1	PH_hs_0000155	0.0892	0.816	1.025	0.796
CDKN1B	PH_hs_0012886	0.0541	2.21	2.777	0.796
FA2H	PH_hs_0022486	0.0389	0.749	0.941	0.795
SYNCRIP	PH_hs_0039330	0.0919	0.517	0.65	0.795
PPIH	PH_hs_0028751	0.0852	0.493	0.62	0.795
None	PH_hs_0022237	0.0273	0.807	1.016	0.794
THUMPD1	PH_hs_0013727	0.0273	0.99	1.247	0.794
PLD4	PH_hs_0024691	0.0105	1.152	1.452	0.793
THAP7	PH_hs_0026853	0.0087	0.61	0.769	0.793
BBS2	PH_hs_0023845	0.0375	0.634	0.799	0.793
TPT1	PH_hs_0038568	0.0153	1.371	1.728	0.793
SRPK2	PH_hs_0007501	0.0954	1.814	2.289	0.793
SFRS2B	PH_hs_0031886	0.0866	0.942	1.189	0.792
C17orf48	PH_hs_0028892	0.0712	1.365	1.724	0.792
None	PH_hs_0019327	0.081	0.433	0.546	0.792
CDC37L1	PH_hs_0021997	0.0273	0.932	1.182	0.789
NKTR	PH_hs_0024116	0.0956	0.824	1.045	0.788
None	PH_hs_0024869	0.0226	1.755	2.227	0.788
GDF15	PH_hs_0027358	0.0429	0.619	0.786	0.788
LPIN1	PH_hs_0004665	0.0862	0.546	0.693	0.787
CCDC16	PH_hs_0024957	0.0111	1.733	2.203	0.787
C12orf65	PH_hs_0023662	0.0099	0.753	0.959	0.786
RASSF1	PH_hs_0002383	0.0405	1.345	1.712	0.785
LIPH	PH_hs_0004088	0.0435	1.014	1.291	0.785
RBM14,TMEM137	PH_hs_0026880	0.0632	0.697	0.889	0.784
RORC,LINGO4	PH_hs_0034663	0.0712	0.809	1.032	0.783
CHMP7	PH_hs_0000516	0.0409	0.814	1.041	0.782
C9orf123	PH_hs_0000778	0.0497	0.905	1.157	0.782
RPL22	PH_hs_0032674	0.0862	0.674	0.863	0.78
SLAMF6	PH_hs_0015230	0.0712	2.869	3.676	0.78
RALBP1	PH_hs_0004329	0.0783	1.11	1.423	0.78
LEPROTL1	PH_hs_0022619	0.0273	1.023	1.311	0.78
CYP2A13	PH_hs_0032038	0.0305	0.812	1.042	0.779
RPL18	PH_hs_0035920	0.0614	0.801	1.03	0.778
C1orf156	PH_hs_0002813	0.0583	0.898	1.157	0.776
PI16	PH_hs_0002234	0.052	0.739	0.954	0.774
C15orf29	PH_hs_0022353	0.0794	1.83	2.367	0.773
ZNF22	PH_hs_0006015	0.0954	0.865	1.119	0.773
CABC1	PH_hs_0014100	0.0656	1.071	1.387	0.772
MTR	PH_hs_0040560	0.0998	0.581	0.753	0.771
HABP4	PH_hs_0015569	0.0168	0.531	0.689	0.77
TMEM66	PH_hs_0028090	0.0947	2.451	3.186	0.769
SORT1	PH_hs_0002295	0.0545	1.321	1.718	0.769
NEK7	PH_hs_0040147	0.0954	1.9	2.471	0.769
CREG2	PH_hs_0022083	0.0799	1.113	1.45	0.768
SNRPD3	PH_hs_0024004	0.0712	1.014	1.321	0.768
None	PH_hs_0001403	0.0541	0.289	0.377	0.767
PITPNB	PH_hs_0011181	0.0425	0.727	0.947	0.767
MRFAP1L1	PH_hs_0030756	0.0022	1.359	1.772	0.767
SPN	PH_hs_0026412	0.0429	2	2.608	0.767
JARID2	PH_hs_0003026	0.0351	1.219	1.592	0.766
RPS23	PH_hs_0029995	0.0816	0.621	0.811	0.766
ARL4C	PH_hs_0029090	0.0265	1.59	2.076	0.766
VPS13A	PH_hs_0003548	0.0168	0.656	0.857	0.766
FAM76B	PH_hs_0014958	0.0952	1.552	2.029	0.765
KIAA1128	PH_hs_0027167	0.0095	1.25	1.634	0.765
None	PH_hs_0032844	0.0327	0.739	0.966	0.764
ZKSCAN1	PH_hs_0022051	0.0541	0.762	0.997	0.764
RABGAP1L	PH_hs_0012972	0.0467	2.302	3.019	0.763
None	PH_hs_0000687	0.052	0.856	1.124	0.762
CWF19L2	PH_hs_0002146	0.0041	0.925	1.216	0.761
MGAT5	PH_hs_0038922	0.0429	0.813	1.07	0.76
PPTC7	PH_hs_0001326	0.052	2.695	3.551	0.759
PPARBP	PH_hs_0001448	0.009	0.794	1.047	0.758
DUSP16	PH_hs_0001766	0.0211	0.888	1.172	0.758
GOLGA4	PH_hs_0020279	0.0711	0.581	0.768	0.758
CCNI	PH_hs_0037641	0.0256	1.294	1.708	0.757
RPS25	PH_hs_0030699	0.0273	0.792	1.046	0.757
DUSP8	PH_hs_0026661	0.0405	0.496	0.656	0.756
TBCC	PH_hs_0004267	0.0041	1.74	2.301	0.756
TCF7	PH_hs_0010094	0.0216	1.155	1.528	0.756
RPS14	PH_hs_0029971	0.0409	1.185	1.569	0.755
TMCC1	PH_hs_0017382	0.029	1.892	2.507	0.755
RPL30	PH_hs_0030028	0.0381	0.813	1.079	0.754
TTLL1	PH_hs_0025038	0.0105	0.759	1.007	0.754
TMEM181	PH_hs_0022239	0.0253	0.369	0.49	0.752
ANKS3	PH_hs_0017107	0.0253	0.471	0.627	0.752
C1orf27	PH_hs_0024332	0.0216	0.628	0.836	0.75
ZNF331	PH_hs_0008852	0.0354	0.561	0.749	0.749
FAM129C	PH_hs_0020186	0.0554	1.022	1.369	0.747
FANCF	PH_hs_0030800	0.0544	0.738	0.989	0.746
RPS13	PH_hs_0036044	0.0563	0.649	0.872	0.744
RAPGEF6,FNIP1	PH_hs_0025351	0.001	1.186	1.595	0.744
ITGAE	PH_hs_0021633	0.0633	0.89	1.198	0.743
ITM2A	PH_hs_0001556	0.0256	0.64	0.863	0.742
FYN	PH_hs_0024531	0.0833	2.085	2.816	0.74
MAGEH1	PH_hs_0014406	0.0308	0.876	1.185	0.739
SGK	PH_hs_0015329	0.0714	0.537	0.727	0.739
RHOH	PH_hs_0006061	0.0979	1.621	2.194	0.739
C17orf54	PH_hs_0026419	0.0613	1.179	1.599	0.737
VSIG9	PH_hs_0025150	0.0296	2.259	3.065	0.737
PIK3R1	PH_hs_0021977	0.0531	1.624	2.206	0.736
BIN1	PH_hs_0011389	0.0339	1.423	1.935	0.735
STAT4	PH_hs_0004637	0.0928	2.372	3.229	0.735
SLC25A38	PH_hs_0000846	0.0354	0.579	0.788	0.734
KIAA1509	PH_hs_0022063	0.0405	1.67	2.28	0.732
None	PH_hs_0032374	0.0783	0.638	0.871	0.732
TXNL5	PH_hs_0038183	0.0897	1.193	1.63	0.732
CD2	PH_hs_0004986	0.0712	4.295	5.877	0.731
PTGES3	PH_hs_0040316	0.0253	0.458	0.627	0.731
None	PH_hs_0006606	0.0041	1.885	2.58	0.731
GAL3ST4,GPC2	PH_hs_0003251	0.0345	0.584	0.801	0.73
C12orf57	PH_hs_0019220	0.0253	0.477	0.654	0.729
RNF125	PH_hs_0031817	0.0927	1.51	2.074	0.728
INPP4B	PH_hs_0009243	0.0614	0.653	0.899	0.726
None	PH_hs_0029467	0.0256	0.608	0.838	0.725
RNF157	PH_hs_0025329	0.0253	0.644	0.89	0.724
GOLGA8A,GOLGA8B	PH_hs_0028226	0.0256	0.703	0.972	0.724
OCIAD2	PH_hs_0005218	0.0216	0.728	1.005	0.724
CCDC66	PH_hs_0023634	0.0253	0.898	1.245	0.721
PBXIP1	PH_hs_0026572	0.0093	2.52	3.494	0.721
MCRS1	PH_hs_0039797	0.0954	0.722	1.002	0.721
None	PH_hs_0012483	0.0041	0.52	0.724	0.718
RABGAP1L	PH_hs_0040406	0.035	2.111	2.939	0.718
RPLP2	PH_hs_0030250	0.052	0.839	1.169	0.718
CREB1	PH_hs_0022033	0.0712	2.166	3.029	0.715
Ube2b-rs1	PH_hs_0022211	0.0041	0.303	0.424	0.715
ASF1A	PH_hs_0023538	0.0712	0.944	1.32	0.715
C6orf190	PH_hs_0018474	0.0253	0.769	1.077	0.714
TRAF3IP3	PH_hs_0022629	0.0588	6.162	8.637	0.713
41158	PH_hs_0005067	0.035	0.828	1.164	0.712
ZNF91	PH_hs_0030970	0.0541	0.903	1.276	0.708
LILRA4	PH_hs_0024682	0.0614	0.803	1.135	0.707
IL11RA,GALT	PH_hs_0023030	0.0305	1.984	2.808	0.706
TIGD3	PH_hs_0003426	0.0358	1.92	2.721	0.706
KLRC4,KLRK1	PH_hs_0033086	0.0253	1.602	2.276	0.704
PDCD4	PH_hs_0032355	0.0256	1.825	2.595	0.703
BSG	PH_hs_0026427	0.0647	1.651	2.35	0.702
CR2	PH_hs_0031301	0.0471	0.8	1.139	0.702
DCK	PH_hs_0027522	0.0865	0.983	1.402	0.701
ITGA4	PH_hs_0022595	0.0695	2.082	2.979	0.699
TRAF5	PH_hs_0024370	0.0253	0.908	1.3	0.698
THEM4	PH_hs_0032546	0.0022	0.762	1.094	0.696
PIK3C2A	PH_hs_0013220	0.0763	0.545	0.786	0.693
TGFBR3	PH_hs_0016619	0.0712	0.561	0.811	0.692
BANK1	PH_hs_0011427	0.0105	1.885	2.726	0.691
CD7	PH_hs_0002921	0.0273	0.962	1.391	0.691
C13orf15	PH_hs_0004423	0.0792	2.994	4.334	0.691
SSBP2	PH_hs_0039403	0.0253	0.684	0.992	0.689
KLRG1	PH_hs_0008729	0.0656	1.915	2.784	0.688
ANK3	PH_hs_0025787	0.0041	0.396	0.578	0.686
RPS6KA5	PH_hs_0006029	0.0216	2.19	3.215	0.681
C9orf48	PH_hs_0030423	0.0866	0.618	0.912	0.677
None	PH_hs_0012342	0.0712	0.591	0.873	0.677
CYLD	PH_hs_0024407	0.0187	3.192	4.717	0.677
ALDH1A1	PH_hs_0004409	0.0447	0.695	1.031	0.674
LBH	PH_hs_0003682	0.001	1.657	2.47	0.671
NFKBIB	PH_hs_0030976	0.0852	3.022	4.506	0.671
SPOCK2	PH_hs_0020492	0.0355	4.661	6.964	0.669
CCR5	PH_hs_0031237	0.0216	2.83	4.264	0.664
MTAC2D1	PH_hs_0003705	0.0588	1.664	2.51	0.663
UBASH3A	PH_hs_0010839	0.052	2.064	3.119	0.662
AKT3	PH_hs_0023601	0.0139	0.478	0.723	0.66
PRF1	PH_hs_0000291	0.0979	6.344	9.73	0.652
PKIA	PH_hs_0020144	0.0141	0.725	1.116	0.65
PLEKHA1	PH_hs_0014922	0.0586	0.498	0.767	0.649
AQP3	PH_hs_0012796	0.0036	0.719	1.115	0.645
CD1C	PH_hs_0000177	0.0273	2.568	3.984	0.645
LRRC8C	PH_hs_0002135	0.0205	0.661	1.026	0.644
GZMA	PH_hs_0005055	0.0273	10.607	16.653	0.637
SH2D1A	PH_hs_0009133	0.0083	1.351	2.122	0.636
PTPN4	PH_hs_0023771	0.0105	1.971	3.119	0.632
CD5	PH_hs_0003778	0.028	2.72	4.309	0.631
PTPRCAP,CORO1B	PH_hs_0009399	0.0712	2.18	3.455	0.631
None	PH_hs_0002354	0.0095	3.716	5.908	0.629
LCK	PH_hs_0000240	0.0087	1.855	2.95	0.629
LY9	PH_hs_0024619	0.0151	3.269	5.198	0.629
CD3G	PH_hs_0000306	0.0956	2.226	3.563	0.625
LEF1	PH_hs_0003252	0.0273	0.661	1.06	0.624
CA5B	PH_hs_0039389	0.0095	0.822	1.318	0.624
CD3D	PH_hs_0005206	0.0201	1.277	2.068	0.618
TRAT1	PH_hs_0031781	0.0693	4.716	7.688	0.614
LAT	PH_hs_0026523	0.0187	2.093	3.432	0.61
KIAA0748	PH_hs_0002788	0.0854	0.994	1.644	0.605
CD3G	PH_hs_0030882	0.0041	2.15	3.561	0.604
GPR115	PH_hs_0022672	0.0588	0.71	1.191	0.596
VSIG9	PH_hs_0033271	0.0168	2.406	4.081	0.589
TRAV20,TRDV2	PH_hs_0036583	0.0675	7.238	12.471	0.58
CD160	PH_hs_0004672	0.0049	1.234	2.131	0.579
DYRK2	PH_hs_0010380	0.0041	1.385	2.416	0.573
EBI2	PH_hs_0040414	0.0425	4.707	8.266	0.569
MS4A1	PH_hs_0025653	0.0151	2.022	3.608	0.56
CCR3	PH_hs_0026576	0.0614	6.766	12.251	0.552
EDG1	PH_hs_0009283	0.0256	2.561	4.73	0.542
FCER1A	PH_hs_0000108	0.0584	14.549	27.554	0.528
EBI2	PH_hs_0000092	0.001	3.447	6.651	0.518
GRAMD1C	PH_hs_0037695	0.0087	1.227	2.37	0.518
