Probe ID	Gene Symbol	Entrez Gene ID	Raw P value	Fold Change	Gene Name
ILMN_1805228	LRG1	116844	0.00000002	1.336	leucine-rich alpha-2-glycoprotein 1
ILMN_1707312	NFIL3	4783	2.19E-08	1.249	nuclear factor, interleukin 3 regulated
ILMN_1756725	FFAR2	2867	2.23E-08	1.303	free fatty acid receptor 2
ILMN_1792521	SMARCD3	6604	2.26E-08	1.243	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
ILMN_1696466	ROPN1L	83853	2.52E-08	1.247	ropporin 1-like
ILMN_1659753	LAMP2	3920	2.66E-08	1.239	lysosomal-associated membrane protein 2
ILMN_1775542	FAIM3	9214	2.68E-08	0.747	Fas apoptotic inhibitory molecule 3
ILMN_1653749	B4GALT5	9334	3.11E-08	1.268	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
ILMN_1768761	MYBPC3	4607	3.46E-08	1.205	myosin binding protein C, cardiac
ILMN_1796146	EIF4E3	317649	3.46E-08	1.209	eukaryotic translation initiation factor 4E family member 3
ILMN_1728677	CREB5	9586	3.95E-08	1.401	cAMP responsive element binding protein 5
ILMN_1687960	LIMK2	3985	4.14E-08	1.243	LIM domain kinase 2
ILMN_1798475	CSF2RB	1439	4.29E-08	1.179	colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)
ILMN_1726545	LILRA5	353514	4.64E-08	1.234	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 5
ILMN_1788002	MAPK14	1432	4.67E-08	1.188	mitogen-activated protein kinase 14
ILMN_1675756	KCNJ15	3772	4.73E-08	1.325	potassium inwardly-rectifying channel, subfamily J, member 15
ILMN_1772036	STEAP4	79689	5.01E-08	1.209	STEAP family member 4
ILMN_1757361	NCF4	4689	5.67E-08	1.179	neutrophil cytosolic factor 4, 40kDa
ILMN_1757074	GNG10	2790	5.82E-08	1.343	guanine nucleotide binding protein (G protein), gamma 10
ILMN_1663753	PILRA	29992	5.84E-08	1.278	paired immunoglobin-like type 2 receptor alpha
ILMN_1675424	SIRPB1	10326	6.36E-08	1.26	signal-regulatory protein beta 1
ILMN_1651942	CDC25B	994	8.87E-08	0.808	cell division cycle 25 homolog B (S. pombe)
ILMN_1736180	FRAT1	10023	9.17E-08	1.228	frequently rearranged in advanced T-cell lymphomas
ILMN_1799765	RAB24	53917	0.0000001	1.195	RAB24, member RAS oncogene family
ILMN_1743570	CEACAM3	1084	0.0000001	1.25	carcinoembryonic antigen-related cell adhesion molecule 3
ILMN_1785005	NCF4	4689	0.000000104	1.217	neutrophil cytosolic factor 4, 40kDa
ILMN_1731048	TLR1	7096	0.00000013	1.226	toll-like receptor 1
ILMN_1798021	CCDC64	92558	0.000000164	0.839	coiled-coil domain containing 64
ILMN_1804738	MEFV	4210	0.000000169	1.198	Mediterranean fever
ILMN_1799106	MOSC1	64757	0.000000186	1.343	MOCO sulphurase C-terminal domain containing 1
ILMN_1687519	SNAP23	8773	0.000000192	1.192	synaptosomal-associated protein, 23kDa
ILMN_1697493	WDFY3	23001	0.000000229	1.214	WD repeat and FYVE domain containing 3
ILMN_1665964	GAB2	9846	0.000000239	1.237	GRB2-associated binding protein 2
ILMN_1655702	ABHD5	51099	0.000000268	1.218	abhydrolase domain containing 5
ILMN_1749892	EGLN1	54583	0.000000271	1.197	egl nine homolog 1 (C. elegans)
ILMN_1718982	BEST1	7439	0.000000299	1.256	bestrophin 1
ILMN_1808047	PHC2	1912	0.000000315	1.267	polyhomeotic homolog 2 (Drosophila)
ILMN_1807649	LOC339745	339745	0.000000322	1.173	speckle-type POZ protein-like
ILMN_1696394	IL6R	3570	0.000000336	1.225	interleukin 6 receptor
ILMN_1778968	ZNF438	220929	0.000000339	1.166	zinc finger protein 438
ILMN_1731188	KBTBD7	84078	0.000000366	1.183	kelch repeat and BTB (POZ) domain containing 7
ILMN_1781416	FRAT1	10023	0.000000368	1.248	frequently rearranged in advanced T-cell lymphomas
ILMN_1700850	PLXNC1	10154	0.000000396	1.239	plexin C1
ILMN_1703108	UBE2L6	9246	0.000000403	1.257	ubiquitin-conjugating enzyme E2L 6
ILMN_1667985	NTNG2	84628	0.000000442	1.232	netrin G2
ILMN_1688959	CD27	939	0.000000508	0.795	CD27 molecule
ILMN_1809850	RCN3	57333	0.000000558	1.173	reticulocalbin 3, EF-hand calcium binding domain
ILMN_1809173	LOC729021	729021	0.000000569	1.257	hypothetical protein LOC729021
ILMN_1653871	NAMPT	10135	0.000000627	1.291	nicotinamide phosphoribosyltransferase
ILMN_1732923	SIPA1L2	57568	0.000000666	1.271	signal-induced proliferation-associated 1 like 2
ILMN_1744508	FAM53C	51307	0.000000706	1.192	family with sequence similarity 53, member C
ILMN_1719986	PIK3IP1	113791	0.000000724	0.778	phosphoinositide-3-kinase interacting protein 1
ILMN_1745262	REM2	161253	0.000000796	1.262	RAS (RAD and GEM)-like GTP binding 2
ILMN_1746436	HCG27	253018	0.000000798	1.239	HLA complex group 27
ILMN_1798977	GPR97	222487	0.000000911	1.24	G protein-coupled receptor 97
ILMN_1700610	CLEC7A	64581	0.000000952	1.213	C-type lectin domain family 7, member A
ILMN_1794875	MAG1	84803	0.000000987	1.261	1-acylglycerol-3-phosphate O-acyltransferase 9
ILMN_1652490	MANSC1	54682	0.00000101	1.247	MANSC domain containing 1
ILMN_1755873	EMR3	84658	0.00000107	1.216	egf-like module containing, mucin-like, hormone receptor-like 3
ILMN_1679268	PELI1	57162	0.00000117	1.196	pellino homolog 1 (Drosophila)
ILMN_1665943	MAP4K1	11184	0.00000123	0.834	mitogen-activated protein kinase kinase kinase kinase 1
ILMN_1783085	IL8RB	3579	0.00000129	1.24	interleukin 8 receptor, beta
ILMN_1789019	CSF3R	1441	0.00000139	1.257	colony stimulating factor 3 receptor (granulocyte)
ILMN_1679196	KIAA0125	9834	0.00000141	0.841	KIAA0125
ILMN_1810420	DYSF	8291	0.00000146	1.36	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)
ILMN_1731714	CREB5	9586	0.00000147	1.264	cAMP responsive element binding protein 5
ILMN_1723486	HK2	3099	0.0000015	1.172	hexokinase 2
ILMN_1701837	KLHL2	11275	0.0000015	1.22	kelch-like 2, Mayven (Drosophila)
ILMN_1651429	SELM	140606	0.00000153	0.853	selenoprotein M
ILMN_1768980	ST8SIA4	7903	0.00000167	1.166	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
ILMN_1809040	LDLRAP1	26119	0.00000171	0.849	low density lipoprotein receptor adaptor protein 1
ILMN_1772131	IL1R2	7850	0.00000178	1.286	interleukin 1 receptor, type II
ILMN_1691508	PLAUR	5329	0.00000183	1.206	plasminogen activator, urokinase receptor
ILMN_1779426	RAB11FIP1	80223	0.00000188	1.172	RAB11 family interacting protein 1 (class I)
ILMN_1736048	ELL	8178	0.00000189	1.209	elongation factor RNA polymerase II
ILMN_1673111	TSEN34	79042	0.00000191	1.212	tRNA splicing endonuclease 34 homolog (S. cerevisiae)
ILMN_1798448	IDS	3423	0.00000202	1.158	iduronate 2-sulfatase
ILMN_1780546	OSM	5008	0.00000213	1.166	oncostatin M
ILMN_1809522	BTBD14A	138151	0.00000214	1.174	NACC family member 2, BEN and BTB (POZ) domain containing
ILMN_1749078	TIMP2	7077	0.00000218	1.184	TIMP metallopeptidase inhibitor 2
ILMN_1717594	DKFZp761E198	91056	0.00000221	1.263	DKFZp761E198 protein
ILMN_1697309	NCF1	653361	0.00000246	1.258	neutrophil cytosolic factor 1
ILMN_1737627	MAPK14	1432	0.00000262	1.159	mitogen-activated protein kinase 14
ILMN_1666507	PLAUR	5329	0.00000295	1.225	plasminogen activator, urokinase receptor
ILMN_1766094	MOSPD2	158747	0.00000298	1.179	motile sperm domain containing 2
ILMN_1782070	NPL	80896	0.00000302	1.194	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)
ILMN_1752455	DOCK5	80005	0.00000305	1.162	dedicator of cytokinesis 5
ILMN_1701402	IKIP	121457	0.00000318	1.161	IKK interacting protein
ILMN_1750158	ACOX1	51	0.00000323	1.253	acyl-Coenzyme A oxidase 1, palmitoyl
ILMN_1737964	HIATL1	84641	0.00000328	1.189	hippocampus abundant transcript-like 1
ILMN_1668270	ZDHHC18	84243	0.00000351	1.216	zinc finger, DHHC-type containing 18
ILMN_1729915	PILRA	29992	0.00000351	1.218	paired immunoglobin-like type 2 receptor alpha
ILMN_1656042	KIAA0319L	79932	0.00000358	1.19	KIAA0319-like
ILMN_1691119	RNF122	79845	0.00000363	1.155	ring finger protein 122
ILMN_1749673	CSF2RA	1438	0.00000367	1.174	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
ILMN_1661695	IRAK3	11213	0.00000403	1.187	interleukin-1 receptor-associated kinase 3
ILMN_1662524	IL8RA	3577	0.00000408	1.247	interleukin 8 receptor, alpha
ILMN_1750086	ST3GAL4	6484	0.0000041	1.23	ST3 beta-galactoside alpha-2,3-sialyltransferase 4
ILMN_1677511	PTGS2	5743	0.00000411	1.18	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
ILMN_1775522	MAGED1	9500	0.00000415	0.849	melanoma antigen family D, 1
ILMN_1712431	FAM113B	91523	0.00000429	0.823	family with sequence similarity 113, member B
ILMN_1658706	ST6GALNAC2	10610	0.00000445	1.249	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
ILMN_1804743	USP32	84669	0.00000455	1.17	ubiquitin specific peptidase 32
ILMN_1743933	TSHZ3	57616	0.0000049	1.205	teashirt zinc finger homeobox 3
ILMN_1685057	SLC22A4	6583	0.00000493	1.185	solute carrier family 22 (organic cation/ergothioneine transporter), member 4
ILMN_1679339	C3orf62	375341	0.00000533	1.154	chromosome 3 open reading frame 62
ILMN_1765880	C16orf57	79650	0.00000541	1.205	chromosome 16 open reading frame 57
ILMN_1797822	KIAA0746	23231	0.00000595	0.834	KIAA0746 protein
ILMN_1785095	ATP6V0E2	155066	0.00000669	0.817	ATPase, H+ transporting V0 subunit e2
ILMN_1722981	TLR5	7100	0.00000685	1.249	toll-like receptor 5
ILMN_1801767	ABHD3	171586	0.00000698	1.205	abhydrolase domain containing 3
ILMN_1708934	ADM	133	0.00000837	1.268	adrenomedullin
ILMN_1736976	HPCAL4	51440	0.0000084	0.831	hippocalcin like 4
ILMN_1688373	LST1	7940	0.00000857	1.153	leukocyte specific transcript 1
ILMN_1756937	ST8SIA4	7903	0.00000893	1.166	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
ILMN_1663618	STAT3	6774	0.00000897	1.189	signal transducer and activator of transcription 3 (acute-phase response factor)
ILMN_1793743	DIRC2	84925	0.0000092	1.163	disrupted in renal carcinoma 2
ILMN_1758963	NADK	65220	0.00000927	1.201	NAD kinase
ILMN_1781285	DUSP1	1843	0.00000947	1.201	dual specificity phosphatase 1
ILMN_1690112	LAT2	7462	0.00000985	1.162	linker for activation of T cells family, member 2
ILMN_1655414	TNFSF14	8740	0.00000989	1.205	tumor necrosis factor (ligand) superfamily, member 14
ILMN_1781102	C14orf138	79609	0.0000111	1.162	chromosome 14 open reading frame 138
ILMN_1694548	ANXA3	306	0.0000114	1.232	annexin A3
ILMN_1672417	PTPRCAP	5790	0.0000116	0.846	protein tyrosine phosphatase, receptor type, C-associated protein
ILMN_1740160	PLCG1	5335	0.0000119	0.856	phospholipase C, gamma 1
ILMN_1674394	C20orf3	57136	0.000012	1.198	chromosome 20 open reading frame 3
ILMN_1677693	GPR109B	8843	0.000012	1.201	niacin receptor 2
ILMN_1741881	C9orf72	203228	0.0000121	1.168	chromosome 9 open reading frame 72
ILMN_1806863	DGKA	1606	0.0000122	0.859	diacylglycerol kinase, alpha 80kDa
ILMN_1692742	DENND3	22898	0.0000124	1.165	DENN/MADD domain containing 3
ILMN_1766425	REPS2	9185	0.0000125	1.202	RALBP1 associated Eps domain containing 2
ILMN_1696187	PYGL	5836	0.0000127	1.188	phosphorylase, glycogen, liver
ILMN_1746836	PTAFR	5724	0.000013	1.215	platelet-activating factor receptor
ILMN_1657129	SKAP2	8935	0.0000132	1.194	src kinase associated phosphoprotein 2
ILMN_1712577	TMEM157	345757	0.0000133	1.164	family with sequence similarity 174, member A
ILMN_1745112	FAM102A	399665	0.0000143	0.875	family with sequence similarity 102, member A
ILMN_1812721	LOC728014	728014	0.0000147	0.831	NA
ILMN_1803984	MAK	4117	0.0000148	1.189	male germ cell-associated kinase
ILMN_1750497	GPR109A	338442	0.000015	1.217	niacin receptor 1
ILMN_1812618	CENTD3	64411	0.000015	1.201	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
ILMN_1674160	BIN1	274	0.0000153	0.809	bridging integrator 1
ILMN_1753312	PLXDC2	84898	0.0000157	1.176	plexin domain containing 2
ILMN_1694810	PANX2	56666	0.0000158	1.278	pannexin 2
ILMN_1685312	PSG3	5671	0.0000163	1.18	pregnancy specific beta-1-glycoprotein 3
ILMN_1652143	E2F3	1871	0.0000168	1.179	E2F transcription factor 3
ILMN_1692023	SIPA1L1	26037	0.0000182	1.183	signal-induced proliferation-associated 1 like 1
ILMN_1787127	SLC43A2	124935	0.0000186	1.207	solute carrier family 43, member 2
ILMN_1717207	MMP25	64386	0.0000189	1.282	matrix metallopeptidase 25
ILMN_1724666	INADL	10207	0.0000192	0.868	InaD-like (Drosophila)
ILMN_1678928	SLCO3A1	28232	0.0000193	1.152	solute carrier organic anion transporter family, member 3A1
ILMN_1763809	IRS2	8660	0.00002	1.206	insulin receptor substrate 2
ILMN_1665761	BCL11B	64919	0.0000207	0.833	B-cell CLL/lymphoma 11B (zinc finger protein)
ILMN_1659255	RP2	6102	0.0000217	1.153	retinitis pigmentosa 2 (X-linked recessive)
ILMN_1662741	EDG4	9170	0.0000219	1.192	lysophosphatidic acid receptor 2
ILMN_1806165	HSPA6	3310	0.0000245	1.183	heat shock 70kDa protein 6 (HSP70B)
ILMN_1754753	IL6R	3570	0.0000259	1.204	interleukin 6 receptor
ILMN_1688231	TREM1	54210	0.000026	1.248	triggering receptor expressed on myeloid cells 1
ILMN_1787749	CASP8	841	0.0000261	1.137	caspase 8, apoptosis-related cysteine peptidase
ILMN_1732575	SEC14L1	6397	0.0000263	1.164	SEC14-like 1 (S. cerevisiae)
ILMN_1741482	GNAQ	2776	0.0000272	1.168	guanine nucleotide binding protein (G protein), q polypeptide
ILMN_1663422	Rgr	266747	0.0000289	1.205	ral guanine nucleotide dissociation stimulator-like 4
ILMN_1749868	C10orf38	221061	0.0000298	0.889	family with sequence similarity 171, member A1
ILMN_1814194	TCF4	6925	0.000031	0.86	transcription factor 4
ILMN_1757730	TTC27	55622	0.0000311	0.885	tetratricopeptide repeat domain 27
ILMN_1799644	IBRDC2	255488	0.0000314	1.14	ring finger protein 144B
ILMN_1752932	EVA1	10205	0.0000318	1.224	myelin protein zero-like 2
ILMN_1663526	SPTAN1	6709	0.0000333	0.848	spectrin, alpha, non-erythrocytic 1 (alpha-fodrin)
ILMN_1790689	CRISPLD2	83716	0.0000334	1.287	cysteine-rich secretory protein LCCL domain containing 2
ILMN_1728478	CXCL16	58191	0.0000342	1.208	chemokine (C-X-C motif) ligand 16
ILMN_1685493	TMCC3	57458	0.0000349	1.17	transmembrane and coiled-coil domain family 3
ILMN_1672398	RAB20	55647	0.000035	1.239	RAB20, member RAS oncogene family
ILMN_1761260	COBLL1	22837	0.000036	0.823	COBL-like 1
ILMN_1720270	CDR2	1039	0.0000383	0.861	cerebellar degeneration-related protein 2, 62kDa
ILMN_1671568	ECHDC2	55268	0.0000395	0.847	enoyl Coenzyme A hydratase domain containing 2
ILMN_1785570	SUSD3	203328	0.0000421	0.849	sushi domain containing 3
ILMN_1769383	GIMAP5	55340	0.0000424	0.829	GTPase, IMAP family member 5
ILMN_1747759	WSB1	26118	0.0000426	1.153	WD repeat and SOCS box-containing 1
ILMN_1804935	VNN3	55350	0.0000427	1.23	vanin 3
ILMN_1733221	C9orf164	349236	0.0000458	1.148	NA
ILMN_1770299	RAB11FIP1	80223	0.0000506	1.164	RAB11 family interacting protein 1 (class I)
ILMN_1731275	DPEP3	64180	0.0000511	1.203	dipeptidase 3
ILMN_1808059	BCAS4	55653	0.0000518	0.857	breast carcinoma amplified sequence 4
ILMN_1667994	AMD1	262	0.0000524	1.132	adenosylmethionine decarboxylase 1
ILMN_1680453	ITM2C	81618	0.000053	0.848	integral membrane protein 2C
ILMN_1671260	GPR177	79971	0.0000542	1.281	G protein-coupled receptor 177
ILMN_1762284	SASP	151516	0.0000562	1.181	aspartic peptidase, retroviral-like 1
ILMN_1751400	SKAP1	8631	0.0000575	0.853	src kinase associated phosphoprotein 1
ILMN_1745256	CXXC5	51523	0.0000593	0.855	CXXC finger 5
ILMN_1696003	GNAI3	2773	0.000061	1.141	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3
ILMN_1812278	LY9	4063	0.0000626	0.875	lymphocyte antigen 9
ILMN_1699772	RRAGD	58528	0.0000627	1.127	Ras-related GTP binding D
ILMN_1690625	SLC9A8	23315	0.000066	1.143	solute carrier family 9 (sodium/hydrogen exchanger), member 8
ILMN_1715131	CCR7	1236	0.0000665	0.76	chemokine (C-C motif) receptor 7
ILMN_1770641	KLHL3	26249	0.0000666	0.87	kelch-like 3 (Drosophila)
ILMN_1813769	ARRDC3	57561	0.0000667	1.132	arrestin domain containing 3
ILMN_1689836	C5AR1	728	0.000067	1.212	complement component 5a receptor 1
ILMN_1728639	FCGR3B	2215	0.0000682	1.227	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
ILMN_1716360	CLIC1	1192	0.0000709	1.127	chloride intracellular channel 1
ILMN_1815500	ITPR3	3710	0.0000719	0.839	inositol 1,4,5-triphosphate receptor, type 3
ILMN_1806999	MGC4093	80776	0.0000725	1.138	B9 protein domain 2
ILMN_1665217	C3orf34	84984	0.000073	1.152	chromosome 3 open reading frame 34
ILMN_1664644	ATG16L2	89849	0.0000742	1.185	ATG16 autophagy related 16-like 2 (S. cerevisiae)
ILMN_1682368	DKFZp434K1815	222229	0.0000746	1.182	leucine-rich repeats and WD repeat domain containing 1
ILMN_1676665	CUEDC1	404093	0.0000748	1.171	CUE domain containing 1
ILMN_1727045	RASGRP3	25780	0.0000758	0.843	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
ILMN_1713058	PSTPIP2	9050	0.0000786	1.156	proline-serine-threonine phosphatase interacting protein 2
ILMN_1775257	PROK2	60675	0.0000792	1.25	prokineticin 2
ILMN_1807529	PADI4	23569	0.0000797	1.253	peptidyl arginine deiminase, type IV
ILMN_1779015	ZNF467	168544	0.0000851	1.204	zinc finger protein 467
ILMN_1748694	LOC340527	340527	0.0000857	1.225	NHS-like 2
ILMN_1670130	ARID3A	1820	0.000089	1.173	AT rich interactive domain 3A (BRIGHT-like)
ILMN_1796349	SMPDL3A	10924	0.0000892	1.147	sphingomyelin phosphodiesterase, acid-like 3A
ILMN_1677466	DUSP6	1848	0.0000903	1.155	dual specificity phosphatase 6
ILMN_1755555	BLR1	643	0.000104015	0.783	chemokine (C-X-C motif) receptor 5
ILMN_1719998	C9orf45	NA	0.000106394	0.817	NA
ILMN_1684402	STXBP5	134957	0.000109619	1.137	syntaxin binding protein 5 (tomosyn)
ILMN_1761566	C5orf32	84418	0.000116916	1.224	chromosome 5 open reading frame 32
ILMN_1662451	FCER2	2208	0.000116941	0.836	Fc fragment of IgE, low affinity II, receptor for (CD23)
ILMN_1706825	PKN2	5586	0.000117698	1.131	protein kinase N2
ILMN_1709233	F5	2153	0.000124418	1.174	coagulation factor V (proaccelerin, labile factor)
ILMN_1717552	MAN2C1	4123	0.000125696	0.876	mannosidase, alpha, class 2C, member 1
ILMN_1787843	HSDL2	84263	0.000126103	1.113	hydroxysteroid dehydrogenase like 2
ILMN_1702301	DOCK10	55619	0.00012623	0.862	dedicator of cytokinesis 10
ILMN_1699160	ITK	3702	0.000128786	0.845	IL2-inducible T-cell kinase
ILMN_1719756	ZAP70	7535	0.00013156	0.878	zeta-chain (TCR) associated protein kinase 70kDa
ILMN_1815010	RNF141	50862	0.00013267	1.114	ring finger protein 141
ILMN_1732296	ID3	3399	0.000137311	0.859	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein
ILMN_1729161	NOTCH1	4851	0.000139494	1.177	Notch homolog 1, translocation-associated (Drosophila)
ILMN_1775235	AFF3	3899	0.000141347	0.833	AF4/FMR2 family, member 3
ILMN_1670054	TIMP2	7077	0.000142339	1.165	TIMP metallopeptidase inhibitor 2
ILMN_1782125	DSC2	1824	0.000146442	1.271	desmocollin 2
ILMN_1774077	GBP2	2634	0.000150483	1.203	guanylate binding protein 2, interferon-inducible
ILMN_1661361	WWC3	55841	0.000151901	1.157	WWC family member 3
ILMN_1701603	ALPL	249	0.000153021	1.342	alkaline phosphatase, liver/bone/kidney
ILMN_1659227	CD79A	973	0.000153137	0.813	CD79a molecule, immunoglobulin-associated alpha
ILMN_1721563	TMEM127	55654	0.000157819	1.125	transmembrane protein 127
ILMN_1798270	C11orf75	56935	0.000160531	1.17	chromosome 11 open reading frame 75
ILMN_1736190	CYP4F3	4051	0.000161769	1.249	cytochrome P450, family 4, subfamily F, polypeptide 3
ILMN_1758735	NLRP12	91662	0.00016239	1.166	NLR family, pyrin domain containing 12
ILMN_1679797	ADARB1	104	0.000169869	0.872	adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)
ILMN_1664068	ERGIC1	57222	0.000177585	1.228	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
ILMN_1731224	PARP9	83666	0.000178888	1.174	poly (ADP-ribose) polymerase family, member 9
ILMN_1746565	CD6	923	0.000181067	0.843	CD6 molecule
ILMN_1684440	PXN	5829	0.000186407	1.127	paxillin
ILMN_1716815	CEACAM1	634	0.000187582	1.21	carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
ILMN_1759401	PISD	23761	0.000192072	1.161	phosphatidylserine decarboxylase
ILMN_1658494	C13orf15	28984	0.000192129	0.837	chromosome 13 open reading frame 15
ILMN_1744137	LOC728776	728776	0.000192714	0.855	high-mobility group nucleosome binding domain 1 pseudogene
ILMN_1665557	USP15	9958	0.000194806	1.154	ubiquitin specific peptidase 15
ILMN_1704870	PGLYRP1	8993	0.000205634	1.294	peptidoglycan recognition protein 1
ILMN_1668277	BLK	640	0.000205849	0.82	B lymphoid tyrosine kinase
ILMN_1656203	RPS8	6202	0.00020847	0.824	ribosomal protein S8
ILMN_1742126	CDCA7L	55536	0.00021099	0.815	cell division cycle associated 7-like
ILMN_1700147	VPREB3	29802	0.000212749	0.773	pre-B lymphocyte 3
ILMN_1673757	CASP8	841	0.000212749	1.15	caspase 8, apoptosis-related cysteine peptidase
ILMN_1679162	TNFAIP2	7127	0.000213634	1.168	tumor necrosis factor, alpha-induced protein 2
ILMN_1747506	DHX34	9704	0.000214492	1.192	DEAH (Asp-Glu-Ala-His) box polypeptide 34
ILMN_1721116	USP10	9100	0.000218251	1.204	ubiquitin specific peptidase 10
ILMN_1656361	LOC201175	201175	0.000222138	1.189	SH3 domain containing 20
ILMN_1748915	S100A12	6283	0.000227365	1.221	S100 calcium binding protein A12
ILMN_1716928	TLE3	7090	0.000228054	1.202	transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)
ILMN_1695079	ZNF101	94039	0.000228316	0.899	zinc finger protein 101
ILMN_1679185	LEF1	51176	0.000229911	0.799	lymphoid enhancer-binding factor 1
ILMN_1695985	OAZ2	4947	0.000233758	1.15	ornithine decarboxylase antizyme 2
ILMN_1801119	BCL2	596	0.000237549	0.876	B-cell CLL/lymphoma 2
ILMN_1716797	CD302	9936	0.000243455	1.14	CD302 molecule
ILMN_1734878	CD79A	973	0.000244235	0.731	CD79a molecule, immunoglobulin-associated alpha
ILMN_1741406	HOOK1	51361	0.000247298	0.886	hook homolog 1 (Drosophila)
ILMN_1661366	PGAM1	5223	0.000248881	1.123	phosphoglycerate mutase 1 (brain)
ILMN_1669608	PDE7A	5150	0.000250397	0.877	phosphodiesterase 7A
ILMN_1781560	ST3GAL6	10402	0.00025508	1.138	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
