S. mediterranea Gene	Human Gene	HGNC Gene Abbrev
CUFF.479111	ENSG00000131089	ARHGEF9
CUFF.679691	ENSG00000116017	ARID3A
CUFF.514652	ENSG00000166233	ARIH1
CUFF.460072	ENSG00000120805	ARL1
CUFF.285119	ENSG00000134108	ARL8B
CUFF.339980	ENSG00000165309	ARMC3
CUFF.245373	ENSG00000169126	ARMC4
CUFF.266152	ENSG00000114098	ARMC8
CUFF.689419	ENSG00000143437	ARNT
CUFF.189981	ENSG00000163466	ARPC2
CUFF.60826	ENSG00000136950	ARPC5L
CUFF.378103	ENSG00000115239	ASB3
CUFF.690341	ENSG00000138303	ASCC1
CUFF.466255	ENSG00000100325	ASCC2
CUFF.256412	ENSG00000112249	ASCC3
CUFF.501401	ENSG00000111875	ASF1A
CUFF.133956	ENSG00000116539	ASH1L
CUFF.141629	ENSG00000126522	ASL
CUFF.195956	ENSG00000198356	ASNA1
CUFF.291993	ENSG00000138381	ASNSD1
CUFF.222441	ENSG00000156802	ATAD2
CUFF.464761	ENSG00000123268	ATF1
CUFF.109605	ENSG00000144848	ATG3
CUFF.441243	ENSG00000101844	ATG4A
CUFF.438795	ENSG00000197548	ATG7
CUFF.235050	ENSG00000138363	ATIC
CUFF.333019	ENSG00000119787	ATL2
CUFF.2786	ENSG00000118322	ATP10B
CUFF.445449	ENSG00000145246	ATP10D
CUFF.37424	ENSG00000058063	ATP11B
CUFF.295800	ENSG00000101974	ATP11C
CUFF.478236	ENSG00000105726	ATP13A1
CUFF.341021	ENSG00000133657	ATP13A3
CUFF.218893	ENSG00000018625	ATP1A2
CUFF.309640	ENSG00000174437	ATP2A2
CUFF.340622	ENSG00000070961	ATP2B1
CUFF.331058	ENSG00000017260	ATP2C1
CUFF.33518	ENSG00000165629	ATP5C1
CUFF.259385	ENSG00000033627	ATP6V0A1
CUFF.167666	ENSG00000185883	ATP6V0C
CUFF.267302	ENSG00000159720	ATP6V0D1
CUFF.724464	ENSG00000114573	ATP6V1A
CUFF.180002	ENSG00000116039	ATP6V1B1
CUFF.240484	ENSG00000047249	ATP6V1H
CUFF.74602	ENSG00000165240	ATP7A
CUFF.61504	ENSG00000124406	ATP8A1
CUFF.199725	ENSG00000081923	ATP8B1
CUFF.202494	ENSG00000054793	ATP9A
CUFF.220549	ENSG00000085224	ATRX
CUFF.251264	ENSG00000123594	ATXN3L
CUFF.491574	ENSG00000087586	AURKA
CUFF.491571	ENSG00000178999	AURKB
CUFF.564672	ENSG00000086062	B4GALT1
CUFF.263439	ENSG00000143032	BARHL2
CUFF.474117	ENSG00000123636	BAZ2B
CUFF.281941	ENSG00000140463	BBS4
CUFF.279409	ENSG00000163093	BBS5
CUFF.622083	ENSG00000114200	BCHE
CUFF.266927	ENSG00000248098	BCKDHA
CUFF.682436	ENSG00000083123	BCKDHB
CUFF.410760	ENSG00000119866	BCL11A
CUFF.444657	ENSG00000127325	BEST3
CUFF.439982	ENSG00000145692	BHMT
CUFF.298053	ENSG00000185963	BICD2
CUFF.300742	ENSG00000110330	BIRC2
CUFF.49972	ENSG00000115760	BIRC6
CUFF.84407	ENSG00000204217	BMPR2
CUFF.173267	ENSG00000204177	BMS1P1
CUFF.206494	ENSG00000169594	BNC1
CUFF.104384	ENSG00000152430	BOLL
CUFF.688132	ENSG00000162813	BPNT1
CUFF.145573	ENSG00000171634	BPTF
CUFF.56534	ENSG00000157764	BRAF
CUFF.122567	ENSG00000169925	BRD3
CUFF.132687	ENSG00000141867	BRD4
CUFF.578902	ENSG00000137948	BRDT
CUFF.275515	ENSG00000143158	BRP44
CUFF.147898	ENSG00000060762	BRP44L
CUFF.553772	ENSG00000156983	BRPF1
CUFF.200082	ENSG00000160469	BRSK1
CUFF.316294	ENSG00000095564	BTAF1
CUFF.288306	ENSG00000064726	BTBD1
CUFF.392546	ENSG00000148925	BTBD10
CUFF.493487	ENSG00000183826	BTBD9
CUFF.455589	ENSG00000166167	BTRC
CUFF.430157	ENSG00000107938	C10orf137
CUFF.46526	ENSG00000148690	C10orf4
CUFF.252156	ENSG00000197748	C10orf79
CUFF.12330	ENSG00000118096	C11orf60
CUFF.296524	ENSG00000078237	C12orf5
CUFF.266518	ENSG00000126214	C14orf153
CUFF.466337	ENSG00000156206	C15orf26
CUFF.325881	ENSG00000166455	C16orf46
CUFF.46318	ENSG00000103544	C16orf62
CUFF.457560	ENSG00000070761	C16orf80
CUFF.548956	ENSG00000167861	C17orf28
CUFF.605479	ENSG00000182087	C19orf6
CUFF.550343	ENSG00000203963	C1orf141
CUFF.178522	ENSG00000163145	C1QTNF7
CUFF.203062	ENSG00000240654	C1QTNF9
CUFF.41107	ENSG00000183260	C20orf135
CUFF.292479	ENSG00000089101	C20orf26
CUFF.121006	ENSG00000159079	C21orf59
CUFF.195128	ENSG00000100220	C22orf28
CUFF.168715	ENSG00000183530	C22orf30
CUFF.267668	ENSG00000158435	C2orf29
CUFF.477859	ENSG00000163946	C3orf63
CUFF.161768	ENSG00000163683	C4orf34
CUFF.372519	ENSG00000168538	C4orf41
CUFF.519563	ENSG00000082213	C5orf22
CUFF.632625	ENSG00000152620	C5orf33
CUFF.47845	ENSG00000221886	C5orf54
CUFF.85348	ENSG00000185127	C6orf120
CUFF.176106	ENSG00000213204	C6orf165
CUFF.60308	ENSG00000154079	C6orf57
CUFF.185415	ENSG00000175600	C7orf10
CUFF.341558	ENSG00000106771	C9orf5
CUFF.187484	ENSG00000196642	C9orf86
CUFF.30842	ENSG00000163050	CABC1
CUFF.693868	ENSG00000141837	CACNA1A
CUFF.612597	ENSG00000157388	CACNA1D
CUFF.625625	ENSG00000006283	CACNA1G
CUFF.665690	ENSG00000081248	CACNA1S
CUFF.590599	ENSG00000153956	CACNA2D1
CUFF.337818	ENSG00000151062	CACNA2D4
CUFF.511129	ENSG00000067191	CACNB1
CUFF.88366	ENSG00000179218	CALR
CUFF.467873	ENSG00000183049	CAMK1D
CUFF.51166	ENSG00000148660	CAMK2G
CUFF.299329	ENSG00000152495	CAMK4
CUFF.54592	ENSG00000171735	CAMTA1
CUFF.405128	ENSG00000111530	CAND1
CUFF.218204	ENSG00000077274	CAPN6
CUFF.208711	ENSG00000135773	CAPN9
CUFF.196573	ENSG00000135387	CAPRIN1
CUFF.307197	ENSG00000180881	CAPS2
CUFF.200700	ENSG00000152611	CAPSL
CUFF.207943	ENSG00000077549	CAPZB
CUFF.168303	ENSG00000127995	CASD1
CUFF.261659	ENSG00000138794	CASP6
CUFF.261647	ENSG00000165806	CASP7
CUFF.325486	ENSG00000121691	CAT
CUFF.558077	ENSG00000107745	CBARA1
CUFF.435146	ENSG00000172785	CBWD1
CUFF.203053	ENSG00000204790	CBWD6
CUFF.11705	ENSG00000137944	CCBL2
CUFF.141929	ENSG00000150636	CCDC102B
CUFF.348868	ENSG00000156026	CCDC109A
CUFF.124488	ENSG00000163492	CCDC141
CUFF.307620	ENSG00000120051	CCDC147
CUFF.138623	ENSG00000145075	CCDC39
CUFF.233586	ENSG00000108588	CCDC47
CUFF.166823	ENSG00000108091	CCDC6
CUFF.354234	ENSG00000149231	CCDC82
CUFF.184415	ENSG00000163660	CCNL1
CUFF.459264	ENSG00000163249	CCNYL1
CUFF.674956	ENSG00000121807	CCR2
CUFF.226670	ENSG00000166226	CCT2
CUFF.153148	ENSG00000163468	CCT3
CUFF.200028	ENSG00000150753	CCT5
CUFF.477123	ENSG00000135624	CCT7
CUFF.529099	ENSG00000156535	CD109
CUFF.259854	ENSG00000198087	CD2AP
CUFF.134653	ENSG00000079335	CDC14A
CUFF.392945	ENSG00000004897	CDC27
CUFF.447682	ENSG00000143776	CDC42BPA
CUFF.251805	ENSG00000096401	CDC5L
CUFF.507097	ENSG00000111665	CDCA3
CUFF.278460	ENSG00000081138	CDH7
CUFF.534089	ENSG00000170312	CDK1
CUFF.478104	ENSG00000008128	CDK11A
CUFF.67934	ENSG00000065883	CDK13
CUFF.147019	ENSG00000058091	CDK14
CUFF.457219	ENSG00000059758	CDK17
CUFF.543762	ENSG00000164885	CDK5
CUFF.176491	ENSG00000101391	CDK5RAP1
CUFF.347308	ENSG00000134058	CDK7
CUFF.252105	ENSG00000132964	CDK8
CUFF.435333	ENSG00000205111	CDKL4
CUFF.59354	ENSG00000101290	CDS2
CUFF.653261	ENSG00000069998	CECR5
CUFF.306177	ENSG00000159409	CELF3
CUFF.689468	ENSG00000101489	CELF4
CUFF.682562	ENSG00000119397	CEP110
CUFF.271813	ENSG00000168944	CEP120
CUFF.374277	ENSG00000143375	CGN
CUFF.639260	ENSG00000181924	CHCHD8
CUFF.585277	ENSG00000173575	CHD2
CUFF.119583	ENSG00000111642	CHD4
CUFF.29154	ENSG00000100888	CHD8
CUFF.29157	ENSG00000177200	CHD9
CUFF.226126	ENSG00000130724	CHMP2A
CUFF.429388	ENSG00000083937	CHMP2B
CUFF.200442	ENSG00000106069	CHN2
CUFF.379974	ENSG00000080644	CHRNA3
CUFF.402199	ENSG00000169684	CHRNA5
CUFF.460653	ENSG00000147434	CHRNA6
CUFF.568555	ENSG00000147432	CHRNB3
CUFF.615505	ENSG00000079432	CIC
CUFF.260589	ENSG00000173207	CKS1B
CUFF.229086	ENSG00000073464	CLCN4
CUFF.450930	ENSG00000011021	CLCN6
CUFF.460080	ENSG00000153132	CLGN
CUFF.100946	ENSG00000113282	CLINT1
CUFF.21418	ENSG00000176444	CLK2
CUFF.305847	ENSG00000179335	CLK3
CUFF.637973	ENSG00000162129	CLPB
CUFF.41040	ENSG00000049656	CLPTM1L
CUFF.201419	ENSG00000166855	CLPX
CUFF.445924	ENSG00000103351	CLUAP1
CUFF.682213	ENSG00000187118	CMC1
CUFF.283351	ENSG00000162368	CMPK1
CUFF.569251	ENSG00000149970	CNKSR2
CUFF.230879	ENSG00000117519	CNN3
CUFF.507213	ENSG00000148842	CNNM2
CUFF.88989	ENSG00000080802	CNOT4
CUFF.4831	ENSG00000113300	CNOT6
CUFF.170126	ENSG00000198791	CNOT7
CUFF.97504	ENSG00000136152	COG3
CUFF.392113	ENSG00000060718	COL11A1
CUFF.11540	ENSG00000065618	COL17A1
CUFF.340717	ENSG00000082293	COL19A1
CUFF.11535	ENSG00000164692	COL1A2
CUFF.304441	ENSG00000171502	COL24A1
CUFF.554644	ENSG00000168542	COL3A1
CUFF.562080	ENSG00000113163	COL4A3BP
CUFF.428197	ENSG00000081052	COL4A4
CUFF.208811	ENSG00000197565	COL4A6
CUFF.125818	ENSG00000122218	COPA
CUFF.470543	ENSG00000129083	COPB1
CUFF.245935	ENSG00000184432	COPB2
CUFF.127733	ENSG00000121022	COPS5
CUFF.678685	ENSG00000173085	COQ2
CUFF.89483	ENSG00000132423	COQ3
CUFF.34463	ENSG00000167186	COQ7
CUFF.701917	ENSG00000166260	COX11
CUFF.614199	ENSG00000178741	COX5A
CUFF.315355	ENSG00000108582	CPD
CUFF.231733	ENSG00000166569	CPLX4
CUFF.445770	ENSG00000085719	CPNE3
CUFF.530458	ENSG00000139117	CPNE8
CUFF.459718	ENSG00000144550	CPNE9
CUFF.629090	ENSG00000144410	CPO
CUFF.16777	ENSG00000080819	CPOX
CUFF.582520	ENSG00000021826	CPS1
CUFF.440951	ENSG00000160917	CPSF4
CUFF.234111	ENSG00000111605	CPSF6
CUFF.351532	ENSG00000205560	CPT1B
CUFF.518473	ENSG00000095321	CRAT
CUFF.526567	ENSG00000157613	CREB3L1
CUFF.64701	ENSG00000105392	CRX
CUFF.404906	ENSG00000103316	CRYM
CUFF.3311	ENSG00000062485	CS
CUFF.517806	ENSG00000060138	CSDA
CUFF.336384	ENSG00000103653	CSK
CUFF.157391	ENSG00000113712	CSNK1A1
CUFF.219135	ENSG00000213923	CSNK1E
CUFF.287462	ENSG00000151292	CSNK1G3
CUFF.42076	ENSG00000101266	CSNK2A1
CUFF.215218	ENSG00000101138	CSTF1
CUFF.357424	ENSG00000177613	CSTF2T
CUFF.198767	ENSG00000176102	CSTF3
CUFF.186588	ENSG00000060069	CTDP1
CUFF.16652	ENSG00000175215	CTDSP2
CUFF.333965	ENSG00000144677	CTDSPL
CUFF.421845	ENSG00000137770	CTDSPL2
CUFF.157568	ENSG00000066032	CTNNA2
CUFF.377136	ENSG00000168036	CTNNB1
CUFF.374183	ENSG00000132792	CTNNBL1
CUFF.389013	ENSG00000198730	CTR9
CUFF.83303	ENSG00000164733	CTSB
CUFF.348241	ENSG00000109861	CTSC
CUFF.662680	ENSG00000135047	CTSL1
CUFF.359720	ENSG00000136943	CTSL2
CUFF.119433	ENSG00000085733	CTTN
CUFF.477675	ENSG00000036257	CUL3
CUFF.461476	ENSG00000139842	CUL4A
CUFF.261253	ENSG00000166266	CUL5
CUFF.420624	ENSG00000103018	CYB5B
CUFF.66630	ENSG00000071967	CYBRD1
CUFF.269918	ENSG00000068793	CYFIP1
CUFF.55708	ENSG00000119004	CYP20A1
CUFF.353296	ENSG00000100014	CYTSA
CUFF.560121	ENSG00000185610	DBX2
CUFF.438675	ENSG00000156136	DCK
CUFF.165423	ENSG00000133083	DCLK1
CUFF.205579	ENSG00000163673	DCLK3
CUFF.333208	ENSG00000129187	DCTD
CUFF.14448	ENSG00000043093	DCUN1D1
CUFF.545877	ENSG00000153904	DDAH1
CUFF.95605	ENSG00000132437	DDC
CUFF.469688	ENSG00000100523	DDHD1
CUFF.274033	ENSG00000085788	DDHD2
CUFF.265044	ENSG00000244038	DDOST
CUFF.324999	ENSG00000079785	DDX1
CUFF.503546	ENSG00000013573	DDX11
CUFF.383013	ENSG00000088205	DDX18
CUFF.85494	ENSG00000064703	DDX20
CUFF.330857	ENSG00000174243	DDX23
CUFF.136067	ENSG00000124228	DDX27
CUFF.650444	ENSG00000125485	DDX31
CUFF.156157	ENSG00000198231	DDX42
CUFF.674613	ENSG00000145833	DDX46
CUFF.223129	ENSG00000108654	DDX5
CUFF.680	ENSG00000185163	DDX51
CUFF.303598	ENSG00000111364	DDX55
CUFF.614920	ENSG00000143753	DEGS1
CUFF.483154	ENSG00000170456	DENND5B
CUFF.613366	ENSG00000100150	DEPDC5
CUFF.227090	ENSG00000072849	DERL2
CUFF.406085	ENSG00000185000	DGAT1
CUFF.72242	ENSG00000136267	DGKB
CUFF.163356	ENSG00000102967	DHODH
CUFF.211028	ENSG00000102796	DHRS12
CUFF.117315	ENSG00000181192	DHTKD1
CUFF.111980	ENSG00000109606	DHX15
CUFF.206356	ENSG00000132153	DHX30
CUFF.241492	ENSG00000108406	DHX40
CUFF.71598	ENSG00000101191	DIDO1
CUFF.59929	ENSG00000151240	DIP2C
CUFF.144272	ENSG00000083520	DIS3
CUFF.11252	ENSG00000150768	DLAT
CUFF.144312	ENSG00000176124	DLEU1
CUFF.187493	ENSG00000075711	DLG1
CUFF.326128	ENSG00000006377	DLX6
CUFF.382366	ENSG00000132837	DMGDH
CUFF.145869	ENSG00000114841	DNAH1
CUFF.91255	ENSG00000197653	DNAH10
CUFF.311337	ENSG00000183914	DNAH2
CUFF.256764	ENSG00000039139	DNAH5
CUFF.672233	ENSG00000118997	DNAH7
CUFF.66387	ENSG00000007174	DNAH9
CUFF.456243	ENSG00000122735	DNAI1
CUFF.233504	ENSG00000171595	DNAI2
CUFF.647767	ENSG00000086061	DNAJA1
CUFF.79535	ENSG00000103423	DNAJA3
CUFF.189507	ENSG00000090520	DNAJB11
CUFF.496240	ENSG00000164031	DNAJB14
CUFF.306573	ENSG00000162616	DNAJB4
CUFF.432773	ENSG00000077232	DNAJC10
CUFF.95231	ENSG00000108176	DNAJC12
CUFF.13500	ENSG00000138246	DNAJC13
CUFF.168773	ENSG00000104129	DNAJC17
CUFF.208294	ENSG00000205981	DNAJC19
CUFF.306795	ENSG00000105821	DNAJC2
CUFF.139702	ENSG00000102580	DNAJC3
CUFF.261014	ENSG00000101152	DNAJC5
CUFF.503160	ENSG00000119661	DNAL1
CUFF.218863	ENSG00000163879	DNALI1
CUFF.140422	ENSG00000197959	DNM3
CUFF.546706	ENSG00000147251	DOCK11
CUFF.633445	ENSG00000147459	DOCK5
CUFF.481823	ENSG00000116641	DOCK7
CUFF.582901	ENSG00000083097	DOPEY1
CUFF.571820	ENSG00000172269	DPAGT1
CUFF.341807	ENSG00000205683	DPF3
CUFF.345768	ENSG00000000419	DPM1
CUFF.338008	ENSG00000188641	DPYD
CUFF.38984	ENSG00000147647	DPYS
CUFF.369088	ENSG00000108591	DRG2
CUFF.404056	ENSG00000151914	DST
CUFF.531500	ENSG00000133059	DSTYK
CUFF.32901	ENSG00000161202	DVL3
CUFF.171665	ENSG00000197102	DYNC1H1
CUFF.388133	ENSG00000077380	DYNC1I2
CUFF.583366	ENSG00000187240	DYNC2H1
CUFF.189942	ENSG00000088986	DYNLL1
CUFF.320006	ENSG00000168589	DYNLRB2
CUFF.11405	ENSG00000146425	DYNLT1
CUFF.130124	ENSG00000157540	DYRK1A
CUFF.324107	ENSG00000127334	DYRK2
CUFF.622128	ENSG00000129518	EAPP
CUFF.87327	ENSG00000127884	ECHS1
CUFF.171764	ENSG00000088298	EDEM2
CUFF.690093	ENSG00000116406	EDEM3
CUFF.608769	ENSG00000034239	EFCAB1
CUFF.32948	ENSG00000203666	EFCAB2
CUFF.350290	ENSG00000096093	EFHC1
CUFF.138198	ENSG00000108883	EFTUD2
CUFF.596	ENSG00000110047	EHD1
CUFF.489998	ENSG00000013016	EHD3
CUFF.517866	ENSG00000126070	EIF2C3
CUFF.268748	ENSG00000130741	EIF2S3
CUFF.168955	ENSG00000100353	EIF3D
CUFF.601172	ENSG00000104408	EIF3E
CUFF.392525	ENSG00000084623	EIF3I
CUFF.361455	ENSG00000100129	EIF3L
CUFF.111536	ENSG00000149100	EIF3M
CUFF.489912	ENSG00000161960	EIF4A1
CUFF.528826	ENSG00000132507	EIF5A
CUFF.1241	ENSG00000158417	EIF5B
CUFF.45991	ENSG00000107105	ELAVL2
CUFF.413437	ENSG00000162374	ELAVL4
CUFF.40334	ENSG00000109381	ELF2
CUFF.310138	ENSG00000118402	ELOVL4
CUFF.363722	ENSG00000134014	ELP3
CUFF.74221	ENSG00000066629	EML1
CUFF.536149	ENSG00000165521	EML5
CUFF.522729	ENSG00000214595	EML6
CUFF.456682	ENSG00000074800	ENO1
CUFF.98979	ENSG00000132199	ENOSF1
CUFF.305667	ENSG00000176177	ENTHD1
CUFF.99469	ENSG00000187097	ENTPD5
CUFF.509866	ENSG00000100393	EP300
CUFF.535208	ENSG00000082397	EPB41L3
CUFF.580334	ENSG00000120616	EPC1
CUFF.512972	ENSG00000146904	EPHA1
CUFF.48624	ENSG00000080224	EPHA6
CUFF.48627	ENSG00000135333	EPHA7
CUFF.208838	ENSG00000138018	EPT1
CUFF.715187	ENSG00000163161	ERCC3
CUFF.68249	ENSG00000225830	ERCC6
CUFF.345455	ENSG00000087502	ERGIC2
CUFF.591787	ENSG00000125991	ERGIC3
CUFF.86476	ENSG00000100632	ERH
CUFF.59227	ENSG00000107566	ERLIN1
CUFF.59204	ENSG00000099219	ERMP1
CUFF.203791	ENSG00000086619	ERO1LB
CUFF.176759	ENSG00000104413	ESRP1
CUFF.149924	ENSG00000105379	ETFB
CUFF.294015	ENSG00000171503	ETFDH
CUFF.77150	ENSG00000105755	ETHE1
CUFF.28528	ENSG00000139163	ETNK1
CUFF.377485	ENSG00000006468	ETV1
CUFF.497394	ENSG00000244405	ETV5
CUFF.405713	ENSG00000126860	EVI2A
CUFF.11543	ENSG00000182944	EWSR1
CUFF.557697	ENSG00000138190	EXOC6
CUFF.152607	ENSG00000151348	EXT2
CUFF.64077	ENSG00000158161	EYA3
CUFF.404945	ENSG00000188107	EYS
CUFF.400386	ENSG00000101981	F9
CUFF.1004	ENSG00000103876	FAH
CUFF.210899	ENSG00000082269	FAM135A
CUFF.467091	ENSG00000205670	FAM165B
CUFF.119426	ENSG00000119906	FAM178A
CUFF.251454	ENSG00000103335	FAM38A
CUFF.231034	ENSG00000143093	FAM40A
CUFF.168901	ENSG00000174016	FAM46D
CUFF.515643	ENSG00000153310	FAM49B
CUFF.182788	ENSG00000176853	FAM91A1
CUFF.91759	ENSG00000187790	FANCM
CUFF.244696	ENSG00000006607	FARP2
CUFF.283578	ENSG00000116120	FARSB
CUFF.39465	ENSG00000026103	FAS
CUFF.534509	ENSG00000083857	FAT1
CUFF.100183	ENSG00000086570	FAT2
CUFF.40713	ENSG00000150337	FCGR1A
CUFF.242971	ENSG00000157107	FCHO2
CUFF.183134	ENSG00000066926	FECH
CUFF.672946	ENSG00000145780	FEM1C
CUFF.673558	ENSG00000214814	FER1L6
CUFF.252302	ENSG00000066468	FGFR2
CUFF.40383	ENSG00000091483	FH
CUFF.74587	ENSG00000134775	FHOD3
CUFF.386796	ENSG00000168386	FILIP1L
CUFF.358630	ENSG00000145216	FIP1L1
CUFF.500842	ENSG00000004478	FKBP4
CUFF.513770	ENSG00000096060	FKBP5
CUFF.191601	ENSG00000151702	FLI1
CUFF.145891	ENSG00000196924	FLNA
CUFF.105848	ENSG00000128591	FLNC
CUFF.528406	ENSG00000132589	FLOT2
CUFF.433214	ENSG00000162769	FLVCR1
CUFF.459397	ENSG00000157827	FMNL2
CUFF.68735	ENSG00000168522	FNTA
CUFF.216856	ENSG00000125798	FOXA2
CUFF.43483	ENSG00000176692	FOXC2
CUFF.126772	ENSG00000168269	FOXI1
CUFF.257054	ENSG00000065970	FOXJ2
CUFF.210883	ENSG00000164916	FOXK1
CUFF.358120	ENSG00000170802	FOXN2
CUFF.417498	ENSG00000053254	FOXN3
CUFF.194266	ENSG00000075539	FRYL
CUFF.633874	ENSG00000174804	FZD4
CUFF.597178	ENSG00000145907	G3BP1
CUFF.319574	ENSG00000152254	G6PC2
CUFF.369977	ENSG00000139112	GABARAPL1
CUFF.306285	ENSG00000154727	GABPA
CUFF.506764	ENSG00000111886	GABRR2
CUFF.434511	ENSG00000054983	GALC
CUFF.633808	ENSG00000156958	GALK2
CUFF.658834	ENSG00000141429	GALNT1
CUFF.346416	ENSG00000164574	GALNT10
CUFF.75328	ENSG00000214013	GANC
CUFF.465457	ENSG00000159131	GART
CUFF.127345	ENSG00000139354	GAS2L3
