Symbol	Name	Entrez GeneID	Affy probe-set
PTP4A1	protein tyrosine phosphatase type IVA, member 1	7803	200730_s_at
SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	8140	201195_s_at
HSPB8	heat shock 22kDa protein 8	26353	221667_s_at
OLFM1	olfactomedin 1	10439	213131_at
GFRA1	GDNF family receptor alpha 1	2674	205696_s_at
IGF1R	insulin-like growth factor 1 receptor	3480	225330_at
IGF1R	insulin-like growth factor 1 receptor	3480	203627_at
TUBA1A	tubulin, alpha 1a	7846	209118_s_at
DYNLT3	dynein, light chain, Tctex-type 3	6990	203303_at
TMEM64	transmembrane protein 64	169200	225974_at
NPY1R	neuropeptide Y receptor Y1	4886	205440_s_at
SYTL5	synaptotagmin-like 5	94122	242093_at
TMEM64	transmembrane protein 64	169200	242338_at
RBBP8	retinoblastoma binding protein 8	5932	203344_s_at
CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1952	204029_at
THBS1	thrombospondin 1	7057	201110_s_at
MYB	v-myb myeloblastosis viral oncogene homolog (avian)	4602	204798_at
CELSR2	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1952	36499_at
C6orf211	chromosome 6 open reading frame 211	79624	218195_at
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893	224985_at
RAP2C	RAP2C, member of RAS oncogene family	57826	218669_at
NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	4893	202647_s_at
RAB31	RAB31, member RAS oncogene family	11031	217763_s_at
RAB31	RAB31, member RAS oncogene family	11031	217764_s_at
RAB31	RAB31, member RAS oncogene family	11031	217762_s_at
THSD4	thrombospondin, type I, domain containing 4	79875	222835_at
THSD4	thrombospondin, type I, domain containing 4	79875	226506_at
DHCR7	7-dehydrocholesterol reductase	1717	201791_s_at
CD99	CD99 molecule	4267	201029_s_at
ME1	malic enzyme 1, NADP(+)-dependent, cytosolic	4199	204059_s_at
SULF2	sulfatase 2	55959	224724_at
PTP4A1	protein tyrosine phosphatase type IVA, member 1	7803	200733_s_at
C10orf58	chromosome 10 open reading frame 58	84293	224435_at
RHOBTB3	Rho-related BTB domain containing 3	22836	202975_s_at
RHOBTB3	Rho-related BTB domain containing 3	22836	216048_s_at
RHOBTB3	Rho-related BTB domain containing 3	22836	225202_at
RHOBTB3	Rho-related BTB domain containing 3	22836	202976_s_at
