Curated Gene Symbol	Gene Name	Gos3	U87	A172	SW1783	U118	U373	T98	SW1088	CCF	LN405
PDGFD	PDGFD	0.56	0.89	3.35	7.23	0.93	4.4	7.96	7.14	4.89	1.99
PDGFRA	PDGFRA	0.1	0.1	0.06	0.23	5.22	1.75	0.18	0.84	1.84	0.95
PGM2L1	PGM2L1	0.87	0.85	2.19	1.58	1.29	4.36	0.98	1.07	3.29	7.61
SEPP1	SEPP1	0.04	0.13	0.07	0.06	0.12	0.08	0.18	0.16	0.2	0.08
SIPA1L2	SIPA1L2	0.27	0.6	0.24	3.22	2.28	1.29	1.5	1.7	5.13	7.85
STK32B	STK32B	0.51	0.72	0.75	1.5	0.89	0.82	1.55	2.78	3.68	3.71
TALDO1	TALDO1	1.67	1.37	1.8	1.02	1.08	1.16	5.27	3.19	2.73	1.29
TFAP2C	TFAP2C	0.89	1.17	0.45	1.43	1.67	3.56	1.23	2.04	3.01	3.17
TFF1	TFF1	0.07	1.27	0.09	0.11	0.1	0.97	0.83	1.03	0.07	1.03
TSPAN14	TM4SF14	0.47	0.49	0.93	1.43	0.42	1.71	1.02	0.71	0.72	1.9
TP53I11	TP53I11	0.4	0.88	0.83	0.9	0.85	1.01	1.46	1.15	3.44	2.2
TYR	TYR	0.05	0.86	0.07	0.08	0.11	1.35	1.01	0.88	0.05	1
UPP1	UPP1	1.53	0.95	0.83	1.86	1.26	3.14	1.38	1.97	2.57	2.04
VAMP8	VAMP8	0.18	0.89	0.61	0.2	0.14	1	1	0.91	0.16	0.92
VCAM1	VCAM1	0.38	0.59	0.44	0.71	1.16	0.97	1.87	3.53	10.27	1.32
WISP1	WISP1	0.6	1.64	0.83	3.82	1.78	1.22	2.14	2.47	8.23	6.16
WNT5B	WNT5B	0.83	1.39	1.17	1.92	3.18	1.73	6.91	2.57	8.04	3.8
	hAA1403	1.33	1.49	0.98	1.47	1.25	1.53	4.3	4.65	18.51	5.03
	hAA5317	1.07	1.27	1	1.11	0.94	0.93	2.72	1.52	3.76	2.8
	hAA6396	0.28	1.01	0.35	0.39	1.04	1.05	1.1	1.09	0.5	1.04
	hAC7640	0.9	0.79	0.41	1.43	1.47	0.77	1.33	2.87	4.12	3.24
	hAC7689	7.47	1.72	0.38	3.36	0.44	9.25	9.55	5.41	1.64	12.03
