Gene symbol	Gene annotation	Fold change	Regulation	Domain
SPAC1002.16c	nicotinic acid plasma membrane transporter (predicted)	0.62	down	transmembrane transport
SPBC3H7.02	sulfate transporter (predicted)	0.41	down	transmembrane transport
SPAC24H6.02c	TIM23 translocase complex subunit Tim15	0.65	down	transmembrane transport
SPBC887.17	uracil permease (predicted)	0.55	down	transmembrane transport
SPCC576.17c	membrane transporter	0.44	down	transmembrane transport
SPAC9.10	amino acid permease, unknown 2	0.6	down	transmembrane transport
atp7	F0-ATPase subunit D	0.56	down	transmembrane transport
SPBC1683.01	inorganic phosphate transporter (predicted)	0.63	down	transmembrane transport
ght2	hexose transporter Ght2 (PMID 10735857)	0.57	down	transmembrane transport
SPCC1442.03	ATP-Mg/Pi carrier homolog	0.56	down	transmembrane transport
SPAC869.05c	sulfate transporter (predicted)	0.53	down	transmembrane transport
SPAC4G9.20c	mitochondrial carrier with solute carrier repeats	0.53	down	transmembrane transport
SPBC29A3.11c	mitochondrial carboxylic acid transporter	0.59	down	transmembrane transport
SPCC794.04c	membrane transporter	0.38	down	transmembrane transport
SPCC965.11c	amino acid transporter (predicted)	1.81	up	amine/amino acid/organic acid/carboxylic acid transport
SPBPB2B2.01	amino acid permease, unknown 12	3.15	up	amine/amino acid/organic acid/carboxylic acid transport
pas1	cyclin Pas1	1.85	up	amine/amino acid/organic acid/carboxylic acid transport
SPAC869.10c	proline specific permease (predicted)	1.94	up	amine/amino acid/organic acid/carboxylic acid transport
SPBPB10D8.08	amino acid permease, unknown 7	1.99	up	amine/amino acid/organic acid/carboxylic acid transport
meu22	amino acid permease, unknown 11	1.5	up	amine/amino acid/organic acid/carboxylic acid transport
SPAP7G5.06	amino acid permease, unknown 4	2.52	up	amine/amino acid/organic acid/carboxylic acid transport
isp5	amino acid permease Isp5	10.19	up	amine/amino acid/organic acid/carboxylic acid transport
SPBC409.08	spermine family transporter (predicted)	0.5	down	amine/amino acid/organic acid/carboxylic acid transport
SPCC569.05c	spermidine family transporter (predicted)	0.54	down	amine/amino acid/organic acid/carboxylic acid transport
SPBPB10D8.01	cysteine transporter (predicted)	0.54	down	amine/amino acid/organic acid/carboxylic acid transport
SPAC9.10	amino acid permease, unknown 2	0.6	down	amine/amino acid/organic acid/carboxylic acid transport
ght5	hexose transporter Ght5 (PMID 10735857)	8.64	up	carbohydrate/monosaccharide transport
ght6	hexose transporter Ght6 (PMID 10735857)	2.02	up	carbohydrate/monosaccharide transport
ght3	hexose transporter Ght3 (PMID 10735857)	4.49	up	carbohydrate/monosaccharide transport
sut1	alpha-glucoside transporter (PMID 11136464)	1.87	up	carbohydrate/monosaccharide transport
ght1	hexose transporter Ght1 (PMID 10735857)	5.43	up	carbohydrate/monosaccharide transport
ght4	hexose transporter Ght4 (PMID 10735857)	5.46	up	carbohydrate/monosaccharide transport
ght2	hexose transporter Ght2 (PMID 10735857)	0.57	down	carbohydrate/monosaccharide transport
SPBC1683.12	nicotinic acid plasma membrane transporter (predicted)	1.73	up	cofactor transport
liz1	pantothenate transporter (PMID 15075270)	1.88	up	cofactor transport
SPAC11D3.18c	nicotinic acid plasma membrane transporter (predicted)	1.81	up	cofactor transport
SPAC1002.16c	nicotinic acid plasma membrane transporter (predicted)	0.62	down	cofactor transport
SPAC227.03c	mitochondrial NAD+ transporter	0.6	down	cofactor transport
SPAC11D3.18c	nicotinic acid plasma membrane transporter (predicted)	1.81	up	nucleotide transport/nicotinamide mononucleotide transport
SPBC1683.12	nicotinic acid plasma membrane transporter (predicted)	1.73	up	nucleotide transport/nicotinamide mononucleotide transport
SPBC887.17	uracil permease (predicted)	0.55	down	nucleotide transport/nicotinamide mononucleotide transport
SPAC1002.16c	nicotinic acid plasma membrane transporter (predicted)	0.62	down	nucleotide transport/nicotinamide mononucleotide transport
vitamin transport				nucleotide transport/nicotinamide mononucleotide transport
liz1	pantothenate transporter (PMID 15075270)	1.88	up	nucleotide transport/nicotinamide mononucleotide transport
SPCC576.17c	membrane transporter	0.44	down	nucleotide transport/nicotinamide mononucleotide transport
SPAC9.10	amino acid permease, unknown 2	0.6	down	nucleotide transport/nicotinamide mononucleotide transport
fip1	iron permease Fip1	2.24	up	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
str3	siderophore-iron transporter Str3 (PMID 12888492)	2.17	up	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
frp1	ferric-chelate reductase Frp1	1.72	up	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
sod22	plasma membrane alkali metal cation/H+ antiporter Sod22	1.53	up	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
fio1	iron transport multicopper oxidase Fio1	2.25	up	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPAC19G12.05	mitochondrial citrate transporter	0.63	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPAC869.05c	sulfate transporter (predicted)	0.53	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPBP26C9.03c	iron ion transporter (predicted)	0.62	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPBC3H7.02	sulfate transporter (predicted)	0.41	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
atp7	F0-ATPase subunit D	0.56	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPBC1683.01	inorganic phosphate transporter (predicted)	0.63	down	iron ion transport/iron assimilation/iron assimilation by reduction and transport/ion transport/transition metal ion transport/di-, tri-valent inorganic cation transport/anion transport
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.51	up	mitochondrial transport
SPCC1442.03	ATP-Mg/Pi carrier homolog	0.56	down	mitochondrial transport
SPAC19G12.05	mitochondrial citrate transporter	0.63	down	mitochondrial transport
SPAC24H6.02c	TIM23 translocase complex subunit Tim15	0.65	down	mitochondrial transport
SPAC4G9.20c	mitochondrial carrier with solute carrier repeats	0.53	down	mitochondrial transport
SPBC29A3.11c	mitochondrial carboxylic acid transporter	0.59	down	mitochondrial transport
atp7	F0-ATPase subunit D	0.56	down	mitochondrial transport
SPAC227.03c	mitochondrial NAD+ transporter	0.6	down	mitochondrial transport
mas1	mitochondrial processing peptidase complex beta subunit Qcr1	0.61	down	mitochondrial transport
