Gene ID	NAME	Description	Fold change
25840	METTL7A	Methyltransferase like 7A	-0.151
28231	SLCO4A1	Solute carrier organic anion transporter family, member 4A1	-0.155333333
718	C3	Complement component 3	-0.185333333
8835	SOCS2	Suppressor of cytokine signaling 2	-0.247333333
28951	TRIB2	Tribbles homolog 2 (Drosophila)	-0.252
5137	PDE1C	Phosphodiesterase 1C, calmodulin-dependent 70kDa	-0.261
10076	PTPRU	Protein tyrosine phosphatase, receptor type, U	-0.268333333
660	BMX	BMX non-receptor tyrosine kinase	-0.303
652	BMP4	Bone morphogenetic protein 4	-0.316
5209	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	-0.333
4693	NDP	Norrie disease (pseudoglioma)	-0.361666667
3625	INHBB	Inhibin, beta B	-0.367
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	-0.368666667
168002	DACT2	Dapper, antagonist of beta-catenin, homolog 2 (Xenopus laevis)	-0.377666667
84532	ACSS1	Acyl-CoA synthetase short-chain family member 1	-0.397333333
6659	SOX4	SRY (sex determining region Y)-box 4	-0.43
3696	ITGB8	Integrin, beta 8	-0.438666667
3310	HSPA6	Heat shock 70kDa protein 6 (HSP70B)	-0.453333333
9510	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif, 1	-0.468333333
3570	IL6R	Interleukin 6 receptor	-0.519
6947	TCN1	Transcobalamin I (vitamin B12 binding protein, R binder family)	-2.587
