Genes	Entrez Gene Name	Location	Type(s)	Fold difference	PValues	Inclusion
PDE3A	phosphodiesterase 3A, cGMP-inhibited	Cytoplasm	enzyme	0.79	8.64E-03	Y
PDZK1	PDZ domain containing 1	Plasma Membrane	transporter	1.46	6.73E-03	Y
PHGDH	phosphoglycerate dehydrogenase	Cytoplasm	enzyme	0.76	1.64E-03	Y
PIP5K1B	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	Cytoplasm	kinase	0.75	2.32E-02	Y
PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	Extracellular Space	enzyme	0.79	4.94E-02	Y
PNLDC1	poly(A)-specific ribonuclease (PARN)-like domain containing 1	unknown	other	1.30	4.89E-02	Y
PNLIPRP2	pancreatic lipase-related protein 2	Extracellular Space	enzyme	1.25	4.67E-02	N
PNMA5	paraneoplastic antigen like 5	unknown	other	0.79	3.96E-02	N
POU2AF1	POU class 2 associating factor 1	Nucleus	transcription regulator	0.63	2.02E-03	Y
POU5F1	POU class 5 homeobox 1	Nucleus	transcription regulator	1.24	1.11E-02	Y
PPP1R1B	protein phosphatase 1, regulatory (inhibitor) subunit 1B	Cytoplasm	phosphatase	0.72	2.12E-02	Y
PRAP1	proline-rich acidic protein 1	Extracellular Space	other	1.24	3.17E-02	Y
PRSS36	protease, serine, 36	Extracellular Space	peptidase	1.42	3.89E-03	Y
PSAT1	phosphoserine aminotransferase 1	Cytoplasm	enzyme	0.78	2.72E-02	Y
RAB27B	RAB27B, member RAS oncogene family	Cytoplasm	enzyme	0.74	1.95E-03	Y
RANBP1	RAN binding protein 1	Nucleus	other	0.80	2.93E-05	Y
RBM11	RNA binding motif protein 11	unknown	other	1.32	4.60E-03	Y
RNF148	ring finger protein 148	unknown	enzyme	0.80	4.22E-03	Y
RP13-347D8.3	KIAA1210			0.77	4.93E-02	Y
RP13-36C9.6	cancer/testis antigen family 45, member A5			0.55	4.79E-02	Y
RP5-1103G7.6	chromosome 20 open reading frame 96			1.26	6.71E-04	Y
RPL36	ribosomal protein L36	Cytoplasm	other	1.26	8.26E-04	Y
RPS24	ribosomal protein S24	Cytoplasm	other	1.23	3.73E-03	Y
RPS28	ribosomal protein S28	Cytoplasm	other	1.29	1.68E-03	Y
RPS4Y1	ribosomal protein S4, Y-linked 1	Cytoplasm	other	1.29	6.49E-04	Y
RTN4R	reticulon 4 receptor	Plasma Membrane	other	0.78	3.43E-04	Y
RYR3	ryanodine receptor 3	Plasma Membrane	ion channel	1.34	1.09E-02	Y
S100A4	S100 calcium binding protein A4	Cytoplasm	other	0.78	4.58E-02	Y
SAPS1	SAPS domain family, member 1	unknown	other	1.27	2.67E-02	Y
SCGB1C1	secretoglobin, family 1C, member 1	unknown	other	0.68	1.43E-02	Y
SCGB3A1	secretoglobin, family 3A, member 1	Extracellular Space	cytokine	0.78	3.51E-02	Y
SDF2L1	stromal cell-derived factor 2-like 1	Cytoplasm	other	0.76	7.43E-04	Y
SERTAD4	SERTA domain containing 4	unknown	other	0.75	3.17E-02	Y
SETBP1	SET binding protein 1	Nucleus	other	0.76	1.50E-02	Y
SIDT1	SID1 transmembrane family, member 1	unknown	other	0.78	1.17E-02	Y
SLAMF7	SLAM family member 7	Plasma Membrane	other	0.75	4.44E-02	Y
SLC1A3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	Plasma Membrane	transporter	0.81	1.51E-02	Y
SLC25A41	solute carrier family 25, member 41	unknown	other	1.33	7.13E-03	Y
SLC26A9	solute carrier family 26, member 9	Plasma Membrane	transporter	0.70	3.70E-02	Y
SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	Plasma Membrane	transporter	0.73	3.94E-02	Y
SLC39A2	solute carrier family 39 (zinc transporter), member 2	Plasma Membrane	transporter	0.77	4.63E-03	Y
SLC4A11	solute carrier family 4, sodium borate transporter, member 11	unknown	transporter	1.30	1.16E-02	Y
SLC5A1	solute carrier family 5 (sodium/glucose cotransporter), member 1	Plasma Membrane	transporter	0.71	4.96E-02	Y
SPANXD	SPANX family, member D	Cytoplasm	other	1.29	7.47E-03	N
SPATA4	spermatogenesis associated 4	unknown	other	1.39	2.24E-02	Y
SPOCK2	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	Extracellular Space	other	1.29	3.39E-02	Y
ST6GALNAC1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1	Cytoplasm	enzyme	0.68	2.17E-02	Y
STXBP6	syntaxin binding protein 6 (amisyn)	Cytoplasm	other	0.71	2.48E-02	Y
SULT1C2	sulfotransferase family, cytosolic, 1C, member 2	Cytoplasm	enzyme	0.73	5.90E-03	Y
SULT2B1	sulfotransferase family, cytosolic, 2B, member 1	Cytoplasm	enzyme	1.24	1.29E-02	Y
SUSD4	sushi domain containing 4	unknown	other	0.74	1.54E-02	Y
SV2C	synaptic vesicle glycoprotein 2C	Plasma Membrane	other	0.67	3.43E-02	Y
SYT13	synaptotagmin XIII	unknown	transporter	0.72	4.37E-02	Y
TCF15	transcription factor 15 (basic helix-loop-helix)	Nucleus	transcription regulator	1.24	4.74E-02	Y
TLE2	transducin-like enhancer of split 2 (E(sp1) homolog, Drosophila)	Nucleus	transcription regulator	1.28	3.69E-02	Y
TMEM146	transmembrane protein 146	unknown	other	1.38	4.63E-02	Y
TMEM28	family with sequence similarity 155, member B	Plasma Membrane	transmembrane receptor	0.78	3.65E-02	N
TMTC1	transmembrane and tetratricopeptide repeat containing 1	unknown	other	0.79	4.17E-02	Y
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	Plasma Membrane	other	0.71	1.42E-02	Y
TREML2	triggering receptor expressed on myeloid cells-like 2	unknown	other	0.81	3.22E-02	Y
TRIM49	tripartite motif-containing 49	unknown	other	1.25	3.41E-02	Y
TRPV6	transient receptor potential cation channel, subfamily V, member 6	Plasma Membrane	ion channel	0.80	6.36E-03	Y
TSPAN3	tetraspanin 3	Plasma Membrane	other	0.81	3.35E-03	Y
TSPAN7	tetraspanin 7	Plasma Membrane	other	0.69	1.04E-02	Y
TTYH1	tweety homolog 1 (Drosophila)	unknown	ion channel	0.68	1.16E-02	Y
UGT8	UDP glycosyltransferase 8	Cytoplasm	enzyme	0.77	2.86E-02	Y
USP18	ubiquitin specific peptidase 18	Cytoplasm	peptidase	0.70	1.99E-03	Y
VTCN1	V-set domain containing T cell activation inhibitor 1	Plasma Membrane	other	0.68	2.70E-02	Y
WIT1	Wilms tumor upstream neighbor 1	unknown	other	0.73	1.65E-02	N
WNK4	WNK lysine deficient protein kinase 4	Plasma Membrane	kinase	1.24	3.93E-03	Y
XBP1	X-box binding protein 1	Nucleus	transcription regulator	0.80	9.20E-03	Y
ZYG11A	zyg-11 homolog A (C. elegans)	unknown	other	1.65	2.32E-03	Y
