Probe_ID	Gene Symbol	Gene Title	SW480 log2 ratio in KIAA1199 knockdown	SW480 log2 ratio in KIAA1199 overexpression
202146_at	IFRD1	interferon-related developmental regulator 1	-0.4	0.5
202207_at	ARL4C	ADP-ribosylation factor-like 4C	-0.4	0.6
204933_s_at	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	-0.4	1.1
207433_at	IL10	interleukin 10	-0.4	1.3
211796_s_at	TRBV21-1	T cell receptor beta variable 21-1	-0.4	1
225114_at	AGPS	alkylglycerone phosphate synthase	-0.4	1.1
228865_at	C1orf116	chromosome 1 open reading frame 116	-0.4	0.6
230466_s_at	RASSF3	Ras association (RalGDS/AF-6) domain family 3	-0.4	0.7
1552476_s_at	PLCD3	phospholipase C, delta 3	-0.3	0.8
200982_s_at	ANXA6	annexin A6	-0.3	0.6
201628_s_at	RRAGA	Ras-related GTP binding A	-0.3	0.6
202424_at	MAP2K2	mitogen-activated protein kinase kinase 2	-0.3	1.1
208753_s_at	NAP1L1	nucleosome assembly protein 1-like 1	-0.3	0.6
209090_s_at	SH3GLB1	SH3-domain GRB2-like endophilin B1	-0.3	1.4
210869_s_at	MCAM	melanoma cell adhesion molecule	-0.3	1.1
211953_s_at	RANBP5	RAN binding protein 5	-0.3	0.6
212032_s_at	PTOV1	prostate tumor overexpressed gene 1	-0.3	0.8
217887_s_at	EPS15	epidermal growth factor receptor pathway substrate 15	-0.3	0.6
218961_s_at	PNKP	polynucleotide kinase 3-phosphatase	-0.3	0.7
219282_s_at	TRPV2	transient receptor potential cation channel, subfamily V, member 2	-0.3	1.1
200998_s_at	CKAP4	cytoskeleton-associated protein 4	-0.2	0.5
202076_at	BIRC2	baculoviral IAP repeat-containing 2	-0.2	0.6
204490_s_at	CD44	CD44 molecule (Indian blood group)	-0.2	0.6
209087_x_at	MCAM	melanoma cell adhesion molecule	-0.2	1.1
202220_at	KIAA0907	KIAA0907	0.2	-0.8
202946_s_at	BTBD3	BTB (POZ) domain containing 3	0.2	-0.6
204233_s_at	CHKA	choline kinase alpha	0.2	-0.7
220011_at	C1orf135	chromosome 1 open reading frame 135	0.2	-0.9
228116_at		Clone IMAGE:120162 mRNA sequence	0.2	-2.7
201266_at	TXNRD1	thioredoxin reductase 1	0.3	-0.5
202868_s_at	DNAJB12	DnaJ (Hsp40) homolog, subfamily B, member 12	0.3	-0.6
203276_at	LMNB1	lamin B1	0.3	-0.7
204162_at	KNTC2	kinetochore associated 2	0.3	-0.6
204538_x_at	NPIP	nuclear pore complex interacting protein	0.3	-0.7
205690_s_at	BUD31	BUD31 homolog (yeast)	0.3	-0.5
208678_at	ATP6V1E1	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1	0.3	-0.6
209015_s_at	DNAJB6	DnaJ (Hsp40) homolog, subfamily B, member 6	0.3	-0.6
211767_at	GINS4	GINS complex subunit 4 (Sld5 homolog)	0.3	-0.7
211935_at	ARL6IP	ADP-ribosylation factor-like 6 interacting protein	0.3	-0.5
212643_at	C14orf32	chromosome 14 open reading frame 32	0.3	-0.8
214526_x_at	PMS2L1	postmeiotic segregation increased 2-like 1	0.3	-0.5
218067_s_at	FLJ10154	hypothetical protein FLJ10154	0.3	-0.5
219555_s_at	C16orf60	chromosome 16 open reading frame 60	0.3	-0.5
221741_s_at	YTHDF1	YTH domain family, member 1	0.3	-0.5
223221_at	SCO1	SCO cytochrome oxidase deficient homolog 1 (yeast)	0.3	-0.5
223247_at	MED10	mediator of RNA polymerase II transcription, subunit 10 homolog (NUT2, S. cerevisiae)	0.3	-0.5
225494_at		Transcribed locus, strongly similar to XP_415908.1	0.3	-0.9
225673_at	MYADM	myeloid-associated differentiation marker	0.3	-0.7
225834_at	FAM72A	hypothetical protein LOC652689	0.3	-1.2
226006_at	LOC554363	hypothetical gene LOC554363	0.3	-0.6
226461_at	HOXB9	homeobox B9	0.3	-0.5
229748_x_at	LOC389830	similar to Tektin-3	0.3	-0.8
231319_x_at	KIF9	kinesin family member 9	0.3	-0.7
235274_at		Transcribed locus	0.3	-0.6
1554469_at	BTBD15	BTB (POZ) domain containing 15	0.4	-1.5
1557293_at	LOC440993	hypothetical gene supported by AK128346	0.4	-1.3
208798_x_at	GOLGA8A	golgi autoantigen, golgin subfamily a, 8A	0.4	-1
208804_s_at	SFRS6	splicing factor, arginine/serine-rich 6	0.4	-0.8
209101_at	CTGF	connective tissue growth factor	0.4	-0.5
209189_at	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	0.4	-1
213088_s_at	DNAJC9	DnaJ (Hsp40) homolog, subfamily C, member 9	0.4	-0.5
215071_s_at	HIST1H2AC	histone 1, H2ac	0.4	-0.6
218023_s_at	FAM53C	family with sequence similarity 53, member C	0.4	-0.8
218652_s_at	PIGG	phosphatidylinositol glycan, class G	0.4	-0.5
223452_s_at	DKFZP564J0863	DKFZP564J0863 protein	0.4	-0.5
224068_x_at	RBM22	RNA binding motif protein 22	0.4	-0.5
225932_s_at	HNRPA2B1	Heterogeneous nuclear ribonucleoprotein A2/B1	0.4	-0.6
228710_at			0.4	-0.6
236075_s_at	ZNF232	Zinc finger protein 232	0.4	-0.8
238432_at	FLJ35776	hypothetical protein LOC649446	0.4	-0.7
1552287_s_at	AFG3L1	AFG3 ATPase family gene 3-like 1 (S. cerevisiae)	0.5	-1.5
1552622_s_at	POLR2J2	DNA directed RNA polymerase II polypeptide J-related gene	0.5	-1
1560019_at	DLGAP1	Discs, large (Drosophila) homolog-associated protein 1	0.5	-0.7
1569106_s_at	SETD5	SET domain containing 5	0.5	-1.4
201710_at	MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	0.5	-0.4
205399_at	DCAMKL1	doublecortin and CaM kinase-like 1	0.5	-0.5
210425_x_at	GOLGA8B	golgi autoantigen, golgin subfamily a, 8B	0.5	-1
212114_at	LOC552889	hypothetical LOC552889	0.5	-0.2
213360_s_at	POM121	POM121 membrane glycoprotein (rat) /// nuclear envelope pore membrane LOC340318	0.5	-0.7
214870_x_at	NPIP	nuclear pore complex interacting protein /// KIAA0220-like protein	0.5	-0.6
218420_s_at	C13orf23	chromosome 13 open reading frame 23	0.5	-0.8
219203_at	C14orf122	chromosome 14 open reading frame 122	0.5	-0.5
221501_x_at	LOC339047	hypothetical protein LOC339047	0.5	-0.8
223394_at	SERTAD1	SERTA domain containing 1	0.5	-0.4
224753_at	CDCA5	cell division cycle associated 5	0.5	-0.5
229765_at	ZNF207	Zinc finger protein 207	0.5	-5.1
236611_at	ZNF232	Zinc finger protein 232	0.5	-0.7
242939_at	TFDP1	transcription factor Dp-1	0.5	-0.5
201627_s_at	INSIG1	insulin induced gene 1	0.6	-0.5
202672_s_at	ATF3	activating transcription factor 3	0.6	-0.4
205260_s_at	ACYP1	acylphosphatase 1, erythrocyte (common) type	0.6	-0.6
209773_s_at	RRM2	ribonucleotide reductase M2 polypeptide	0.6	-0.5
209922_at	BRAP	BRCA1 associated protein	0.6	-0.6
213889_at	PIGL	phosphatidylinositol glycan, class L	0.6	-0.4
217755_at	HN1	hematological and neurological expressed 1	0.6	-0.2
229949_at	DKFZP434A0131	DKFZp434A0131 protein	0.6	-0.5
235428_at	LOC642405	Hypothetical protein LOC642405	0.6	-1.6
222088_s_at	SLC2A3	solute carrier family 2 (facilitated glucose transporter), member 3	0.7	-0.3
222280_at	GAPDHS	Glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	0.7	-0.7
224657_at	ERRFI1	ERBB receptor feedback inhibitor 1	0.7	-0.7
225857_s_at	LOC388796	hypothetical LOC388796	0.7	-0.4
230304_at		CDNA clone IMAGE:30332316	0.7	-0.9
235231_at	LOC285989	hypothetical protein LOC285989	0.7	-1.4
1555976_s_at	MRCL3	Myosin regulatory light chain MRCL3	0.8	-0.6
223199_at	MKNK2	MAP kinase interacting serine/threonine kinase 2	0.8	-0.9
227622_at	PCF11	cleavage and polyadenylation factor subunit, homolog (S. cerevisiae)	0.8	-0.8
229870_at	LOC644656	hypothetical protein LOC644656	0.8	-0.7
235803_at	CRLF3	Cytokine receptor-like factor 3	0.8	-1.7
240928_at		CDNA FLJ32498 fis, clone SKNSH2000319	0.8	-2
228049_x_at		Transcribed locus	0.9	-0.9
224185_at	TP53	Tumor protein p53 (Li-Fraumeni syndrome)	1	-1.2
