Probe	ChipID	name	FOLD PL 21-17	FOLD AM 21-17	 RATIO AM vs PL 	P_INT_GEA_R_AGE_TR
RAE230A:1371289_at	1371289_at	"nitric oxide synthase 2, inducible"	0.47	1.42	3.02	7.27157E-05
RAE230A:1372880_at	1372880_at	"Similar to polyomavirus late initiator promoter binding protein (LOC313666), mRNA"	0.46	1.36	2.96	0.000231362
RAE230A:1379434_at	1379434_at	"Similar to faciogenital dysplasia homolog (LOC363460), mRNA"	0.42	1.24	2.95	
RAE230A:1389905_at	1389905_at	no description	0.49	1.42	2.9	2.62516E-07
RAE230A:1387202_at	1387202_at	intercellular adhesion molecule 1	0.53	1.51	2.85	
RAE230A:1389123_at	1389123_at	"Similar to Small inducible cytokine A6 precursor (CCL6) (C10 protein) (LOC287910), mRNA"	0.55	1.56	2.84	
RAE230A:1388138_at	1388138_at	thrombospondin 4	0.39	1.1	2.82	1.50118E-08
RAE230A:1377260_at	1377260_at	Transcribed sequences	0.33	0.93	2.82	
RAE230A:1375707_at	1375707_at	no description	0.29	0.81	2.79	
RAE230A:1367952_at	1367952_at	low density lipoprotein receptor-related protein 2	0.24	0.67	2.79	
RAE230A:1368180_s_at	1368180_s_at	"glutathione-S-transferase, alpha type2"	0.43	1.19	2.77	
RAE230A:1372706_at	1372706_at	"Similar to beta-hexosaminidase (LOC294673), mRNA"	0.43	1.17	2.72	3.64742E-12
RAE230A:1374949_at	1374949_at	"Similar to hypothetical protein (LOC362195), mRNA"	0.38	1.03	2.71	9.57606E-06
RAE230A:1388456_at	1388456_at	S100 calcium binding protein A1	0.51	1.38	2.71	1.05015E-05
RAE230A:1398979_at	1398979_at	"Similar to D1Ertd396e protein (LOC305035), mRNA"	0.2	0.54	2.7	0.00029473
RAE230A:1371160_at	1371160_at	vesicle-associated membrane protein 2	0.46	1.23	2.67	
RAE230A:1368423_at	1368423_at	resistin like alpha	0.32	0.84	2.63	0
RAE230A:1389718_at	1389718_at	Transcribed sequences	0.15	0.39	2.6	
RAE230A:1376757_at	1376757_at	no description	0.43	1.1	2.56	
RAE230A:1368320_at	1368320_at	neural cell adhesion molecule 1	0.24	0.61	2.54	
RAE230A:1368550_at	1368550_at	HNF-3/forkhead homolog-1	0.31	0.78	2.52	2.81763E-05
RAE230A:1374200_at	1374200_at	"solute carrier family 29 (nucleoside transporters), member 3"	0.41	1.02	2.49	
RAE230A:1390566_a_at	1390566_a_at	"creatine kinase, mitochondrial 1, ubiquitous"	0.67	1.66	2.48	3.49942E-12
RAE230A:1390412_at	1390412_at	"solute carrier family 39 (iron-regulated transporter), member 1"	0.23	0.56	2.43	6.49936E-12
RAE230A:1368470_at	1368470_at	gamma-glutamyl hydrolase	0.34	0.82	2.41	4.16767E-09
RAE230A:1369458_at	1369458_at	GRB2-associated binding protein 2	0.4	0.96	2.4	
RAE230A:1369196_at	1369196_at	pancreatic polypeptide	0.5	1.18	2.36	
RAE230A:1388234_at	1388234_at	no description	0.59	1.37	2.32	
RAE230A:1375409_at	1375409_at	Transcribed sequences	0.19	0.44	2.32	
RAE230A:1372572_at	1372572_at	no description	0.43	0.99	2.3	4.69739E-08
RAE230A:1373685_at	1373685_at	"Similar to Lrp2bp-pending protein (LOC361149), mRNA"	0.43	0.99	2.3	
RAE230A:1387130_at	1387130_at	"solute carrier family 39 (iron-regulated transporter), member 1"	0.27	0.62	2.3	1.45997E-10
RAE230A:1374073_at	1374073_at	"Similar to DNA segment, Chr 11, ERATO Doi 18, expressed (LOC303333), mRNA"	0.44	1.01	2.3	
RAE230A:1376734_at	1376734_at	NOV protein	0.52	1.18	2.27	1.03766E-07
RAE230A:1368883_at	1368883_at	NOV protein	0.6	1.36	2.27	1.03767E-07
RAE230A:1387311_at	1387311_at	NADH/NADPH mitogenic oxidase subunit p65-mox	0.44	0.99	2.25	9.27614E-05
RAE230A:1370319_at	1370319_at	peptidylprolyl isomerase F	0.46	1.03	2.24	6.74654E-08
RAE230A:1373735_at	1373735_at	kinesin light chain KLCt	0.34	0.75	2.21	
RAE230A:1368641_at	1368641_at	"wingless-type MMTV integration site family, member 4"	0.44	0.97	2.2	0.000131501
RAE230A:1368102_at	1368102_at	hydroxysteroid 11-beta dehydrogenase 2	0.6	1.31	2.18	1.06103E-07
RAE230A:1376287_at	1376287_at	"Similar to Calpain 1, large [catalytic] subunit (Calcium-activated neutral proteinase) (CANP) (Mu-type) (muCANP) (Micromolar-calpain) (LOC362701), mRNA"	0.57	1.23	2.16	1.08486E-07
RAE230A:1376972_at	1376972_at	"solute carrier family 39 (iron-regulated transporter), member 1"	0.32	0.69	2.16	5.68525E-05
RAE230A:1372434_at	1372434_at	CASK-interacting protein CIP98	0.34	0.73	2.15	
RAE230A:1388103_at	1388103_at	voltage-dependent calcium channel gamma subunit-like protein	0.28	0.6	2.14	3.36336E-06
RAE230A:1369814_at	1369814_at	small inducible cytokine subfamily A20	0.58	1.24	2.14	4.0939E-07
RAE230A:1374122_at	1374122_at	Transcribed sequences	0.59	1.25	2.12	1.06294E-06
RAE230A:1387873_at	1387873_at	WAP four-disulfide core domain 1	0.41	0.86	2.1	0.000110099
RAE230A:1368179_at	1368179_at	"thymic stromal-derived lymphopoietin, receptor"	0.33	0.69	2.09	
RAE230A:1373963_at	1373963_at	"Similar to RIKEN cDNA 2810435D12 (LOC298097), mRNA"	0.56	1.16	2.07	
RAE230A:1371975_at	1371975_at	Transcribed sequences	0.28	0.57	2.04	
RAE230A:1398299_at	1398299_at	RhoGEF glutamate transport modulator GTRAP48	0.48	0.97	2.02	
RAE230A:1390204_at	1390204_at	Transcribed sequences	0.54	1.09	2.02	
RAE230A:1370482_at	1370482_at	"sodium channel, nonvoltage-gated 1 beta"	0.6	1.21	2.02	
RAE230A:1387022_at	1387022_at	"aldehyde dehydrogenase family 1, member A1"	0.61	1.21	1.98	
RAE230A:1376127_at	1376127_at	UDP-glucuronate decarboxylase 1	0.51	1	1.96	
RAE230A:1390119_at	1390119_at	secreted frizzled-related protein 2	0.41	0.8	1.95	0.00011463
RAE230A:1388059_a_at	1388059_a_at	solute carrier family 11 member 2	0.15	0.29	1.93	6.06411E-05
RAE230A:1374822_at	1374822_at	Transcribed sequences	0.55	1.06	1.93	6.80723E-05
RAE230A:1389921_at	1389921_at	RNB6	0.54	1.04	1.93	
RAE230A:1376249_at	1376249_at	"Similar to RIKEN cDNA 0610025O11 gene (LOC292485), mRNA"	0.52	1	1.92	1.86358E-05
RAE230A:1367592_at	1367592_at	troponin T2	0.25	0.48	1.92	
RAE230A:1387104_at	1387104_at	"sodium channel, nonvoltage-gated, type I, alpha polypeptide"	0.62	1.19	1.92	2.97009E-05
RAE230A:1388157_at	1388157_at	myristoylated alanine rich protein kinase C substrate	0.53	1.01	1.91	
RAE230A:1386308_at	1386308_at	no description	0.21	0.4	1.9	
RAE230A:1370315_a_at	1370315_a_at	stathmin-like 4	0.6	1.14	1.9	
RAE230A:1388027_a_at	1388027_a_at	reticulon 4	0.59	1.12	1.9	0.00011236
RAE230A:1377047_at	1377047_at	no description	0.54	1.02	1.89	
RAE230A:1373419_at	1373419_at	"protein tyrosine phosphatase, receptor type, G"	0.55	1.03	1.87	
RAE230A:1371102_x_at	1371102_x_at	hemoglobin beta chain complex	0.52	0.97	1.87	0.00014809
RAE230A:1375428_at	1375428_at	"Similar to cellular repressor of E1A-stimulated genes CREG (LOC289185), mRNA"	0.5	0.93	1.86	
RAE230A:1390430_at	1390430_at	no description	0.61	1.13	1.85	
RAE230A:1373248_at	1373248_at	"Similar to hypothetical protein FLJ20674 (LOC304529), mRNA"	0.6	1.11	1.85	0.000105507
RAE230A:1388888_at	1388888_at	Transcribed sequences	0.57	1.05	1.84	6.42192E-05
RAE230A:1371245_a_at	1371245_a_at	hemoglobin beta chain complex	0.5	0.92	1.84	7.12398E-05
RAE230A:1370211_at	1370211_at	neurogranin	0.6	1.1	1.83	
RAE230A:1377807_a_at	1377807_a_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.59	1.08	1.83	
RAE230A:1376047_at	1376047_at	"Similar to ATP sulfurylase/APS kinase 2 (LOC294103), mRNA"	0.47	0.86	1.83	
RAE230A:1386389_at	1386389_at	no description	0.57	1.04	1.82	
RAE230A:1367815_at	1367815_at	"solute carrier family 5, member 6"	0.45	0.82	1.82	0.000156249
RAE230A:1390326_at	1390326_at	"ribonuclease, RNase A family 4"	0.61	1.11	1.82	0.000333365
RAE230A:1375199_at	1375199_at	Transcribed sequences	0.48	0.87	1.81	
RAE230A:1370521_at	1370521_at	vacuolar protein sorting homolog r-vps33b	0.55	0.99	1.8	
RAE230A:1374652_at	1374652_at	"Similar to RIKEN cDNA 4930433D19 (LOC362403), mRNA"	0.59	1.06	1.8	0.000240932
RAE230A:1387986_at	1387986_at	"sodium channel, nonvoltage-gated 1 gamma"	0.53	0.95	1.79	
RAE230A:1390075_at	1390075_at	"Similar to RIKEN cDNA 4832415H08 gene (LOC304960), mRNA"	0.48	0.86	1.79	
RAE230A:1368167_at	1368167_at	cathepsin E	0.41	0.73	1.78	0.000125338
RAE230A:1371044_at	1371044_at	phosphodiesterase 7A	0.54	0.96	1.78	
RAE230A:1388271_at	1388271_at	Metallothionein	0.66	1.17	1.77	5.29765E-05
RAE230A:1389085_at	1389085_at	"Hypothetical LOC287534 (LOC287534), mRNA"	0.57	1.01	1.77	1.40747E-05
RAE230A:1387193_a_at	1387193_a_at	"serine protease inhibitor, Kazal type 1"	0.51	0.89	1.75	0.000134587
RAE230A:1368163_at	1368163_at	dipeptidylpeptidase 4	0.62	1.08	1.74	0.000441055
RAE230A:1369770_at	1369770_at	somatostatin receptor 1	0.54	0.94	1.74	0.000201322
RAE230A:1387692_a_at	1387692_a_at	somatostatin receptor 1	0.53	0.92	1.74	
RAE230A:1390223_at	1390223_at	Transcribed sequences	0.6	1.04	1.73	
RAE230A:1367974_at	1367974_at	Annexin III (Lipocortin III)	0.47	0.81	1.72	
RAE230A:1371339_at	1371339_at	"Troponin I, slow isoform"	0.47	0.81	1.72	
RAE230A:1387982_at	1387982_at	toll-like receptor 4	0.55	0.94	1.71	
RAE230A:1376998_a_at	1376998_a_at	"Similar to FLJ00128 protein (LOC361034), mRNA"	0.48	0.82	1.71	
RAE230A:1368612_at	1368612_at	integrin beta 4	0.63	1.07	1.7	0.00024925
RAE230A:1375418_at	1375418_at	"Similar to transformation/transcription domain-associated protein (LOC288471), mRNA"	0.63	1.07	1.7	
RAE230A:1389997_at	1389997_at	"Similar to T3-epsilon protein (LOC315609), mRNA"	0.33	0.56	1.7	
RAE230A:1375426_a_at	1375426_a_at	MAP2 RNA trans-acting protein MARTA1	0.65	1.1	1.69	
RAE230A:1389656_at	1389656_at	no description	0.65	1.1	1.69	
RAE230A:1375343_at	1375343_at	Transcribed sequences	0.64	1.08	1.69	0.000262328
RAE230A:1369703_at	1369703_at	endothelial PAS domain protein 1	0.4	0.67	1.68	
RAE230A:1370903_a_at	1370903_a_at	Eph receptor B1	0.46	0.77	1.67	
RAE230A:1388600_at	1388600_at	"Transcribed sequence with moderate similarity to protein pir:I60307 (E. coli) I60307 beta-galactosidase, alpha peptide - Escherichia coli"	0.6	1	1.67	
RAE230A:1369909_s_at	1369909_s_at	fasting-inducible integral membrane protein TM6P1	0.51	0.85	1.67	
RAE230A:1375337_at	1375337_at	"Similar to metalloprotease/disintegrin/cysteine rich protein precursor (LOC290834), mRNA"	0.56	0.93	1.66	
RAE230A:1371237_a_at	1371237_a_at	Metallothionein	0.76	1.26	1.66	3.3961E-07
RAE230A:1368887_at	1368887_at	cadherin 22	0.67	1.11	1.66	
RAE230A:1371485_at	1371485_at	"Similar to Fish protein (LOC309460), mRNA"	0.64	1.06	1.66	
RAE230A:1387144_at	1387144_at	integrin alpha 1	0.57	0.94	1.65	0.00040348
RAE230A:1389558_at	1389558_at	Transcribed sequences	0.59	0.97	1.64	
RAE230A:1387889_at	1387889_at	folate receptor 1 (adult)	0.47	0.77	1.64	
RAE230A:1387932_at	1387932_at	"solute carrier family 1, member 1"	0.63	1.03	1.63	
RAE230A:1368943_at	1368943_at	"ribonuclease, RNase A family 4"	0.62	1.01	1.63	
RAE230A:1388536_at	1388536_at	HLA-B associated transcript 2	0.62	1.01	1.63	
RAE230A:1373699_at	1373699_at	"Similar to RIKEN cDNA 1810059A23 (LOC363289), mRNA"	0.43	0.7	1.63	
RAE230A:1398318_at	1398318_at	mucin 1	0.48	0.78	1.63	
RAE230A:1371924_at	1371924_at	"Similar to RIKEN cDNA 2810002E22 (LOC310743), mRNA"	0.58	0.94	1.62	
RAE230A:1371376_at	1371376_at	"LOC362395 (LOC362395), mRNA"	0.58	0.94	1.62	
RAE230A:1389113_at	1389113_at	Transcribed sequences	0.63	1.02	1.62	
RAE230A:1373814_at	1373814_at	"Similar to mKIAA1002 protein (LOC362894), mRNA"	0.51	0.82	1.61	
RAE230A:1376843_at	1376843_at	"Similar to Bone morphogenetic protein type II receptor (LOC301443), mRNA"	0.61	0.98	1.61	
RAE230A:1368203_at	1368203_at	"sodium channel, nonvoltage-gated, type I, alpha polypeptide"	0.44	0.7	1.59	
RAE230A:1367738_at	1367738_at	UNC-119 homolog (C. elegans)	0.58	0.92	1.59	
RAE230A:1370541_at	1370541_at	"nuclear receptor subfamily 1, group D, member 2"	0.58	0.92	1.59	
RAE230A:1398254_at	1398254_at	renin-binding protein	0.58	0.92	1.59	
RAE230A:1371835_at	1371835_at	"Similar to cAMP-dependent protein kinase, beta-2-catalytic subunit (PKA C-beta-2) (LOC310986), mRNA"	0.58	0.91	1.57	
RAE230A:1376012_at	1376012_at	Transcribed sequences	0.62	0.97	1.56	
RAE230A:1370746_at	1370746_at	no description	0.48	0.75	1.56	
RAE230A:1387521_at	1387521_at	programmed cell death 4	0.64	1	1.56	
RAE230A:1368842_at	1368842_at	transcription factor 4	0.61	0.95	1.56	
RAE230A:1368711_at	1368711_at	"hepatocyte nuclear factor 3, beta"	0.61	0.95	1.56	
RAE230A:1370862_at	1370862_at	apolipoprotein E	0.65	1.01	1.55	
RAE230A:1368187_at	1368187_at	glycoprotein (transmembrane) nmb	0.56	0.87	1.55	
RAE230A:1390731_at	1390731_at	Transcribed sequences	0.58	0.9	1.55	
RAE230A:1386940_at	1386940_at	tissue inhibitor of metalloproteinase 2	0.69	1.07	1.55	
RAE230A:1373818_at	1373818_at	Transcribed sequences	0.62	0.96	1.55	
RAE230A:1369519_at	1369519_at	endothelin 1	0.44	0.68	1.55	
RAE230A:1370203_at	1370203_at	FGF receptor activating protein 1	0.66	1.02	1.55	
RAE230A:1389096_at	1389096_at	"Similar to flavoprotein oxidoreductase MICAL2 (LOC365352), mRNA"	0.63	0.97	1.54	
RAE230A:1368916_at	1368916_at	argininosuccinate lyase	0.43	0.66	1.53	
RAE230A:1376910_at	1376910_at	"Similar to 9630010P11Rik protein (LOC292820), mRNA"	0.51	0.78	1.53	
RAE230A:1379252_at	1379252_at	"Similar to RA175 (LOC363058), mRNA"	0.63	0.96	1.52	
RAE230A:1371475_at	1371475_at	"ribonuclease, RNase A family 4"	0.67	1.02	1.52	
RAE230A:1372200_at	1372200_at	Transcribed sequence with weak similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.31	0.47	1.52	
RAE230A:1388879_at	1388879_at	"Similar to 5033411B22Rik protein (LOC363767), mRNA"	0.62	0.94	1.52	
RAE230A:1372064_at	1372064_at	CDK104 mRNA	0.62	0.94	1.52	
RAE230A:1390706_at	1390706_at	spectrin beta 2	0.66	1	1.52	
RAE230A:1371499_at	1371499_at	CD9 antigen	0.68	1.03	1.51	
RAE230A:1390050_at	1390050_at	"Similar to Golgi phosphoprotein 2 (LOC306725), mRNA"	0.63	0.95	1.51	
RAE230A:1375266_at	1375266_at	Transcribed sequence with strong similarity to protein sp:P00722 (E. coli) BGAL_ECOLI Beta-galactosidase	0.7	1.05	1.5	
RAE230A:1367553_x_at	1367553_x_at	hemoglobin beta chain complex	0.52	0.78	1.5	
RAE230A:1374705_at	1374705_at	"Similar to type IV collagen alpha 5 chain (LOC300276), mRNA"	0.64	0.96	1.5	
RAE230A:1386960_at	1386960_at	"glucose-6-phosphatase, transport protein 1"	0.64	0.96	1.5	
RAE230A:1374028_at	1374028_at	Transcribed sequence with strong similarity to protein ref:NP_078907.1 (H.sapiens) hypothetical protein FLJ23342 [Homo sapiens]	0.54	0.81	1.5	
RAE230A:1373623_at	1373623_at	"inositol 1,4,5-trisphosphate 3-kinase C"	0.64	0.96	1.5	
RAE230A:1390453_at	1390453_at	"Transcribed sequence with strong similarity to protein pdb:1BGM (E. coli) O Chain O, Beta-Galactosidase"	0.59	0.88	1.49	
RAE230A:1370135_at	1370135_at	caveolin 2	0.57	0.85	1.49	
RAE230A:1386653_at	1386653_at	Transcribed sequences	0.51	0.76	1.49	
RAE230A:1367614_at	1367614_at	annexin 1	0.7	1.04	1.49	
RAE230A:1374300_at	1374300_at	"Similar to lysosomal apyrase-like 1 (LOC361063), mRNA"	0.58	0.86	1.48	
RAE230A:1368138_at	1368138_at	microtubule-associated protein tau	0.54	0.8	1.48	
RAE230A:1389618_at	1389618_at	Transcribed sequences	0.64	0.94	1.47	
RAE230A:1373839_at	1373839_at	Transcribed sequences	0.62	0.91	1.47	
RAE230A:1388809_at	1388809_at	"Similar to acid sphingomyelinase-like phosphodiesterase (LOC294422), mRNA"	0.67	0.98	1.46	
RAE230A:1387078_at	1387078_at	"inositol polyphosphate-4-phosphatase, type 1"	0.65	0.95	1.46	
RAE230A:1371854_at	1371854_at	Transcribed sequences	0.54	0.78	1.44	
RAE230A:1389244_x_at	1389244_x_at	Chemokine receptor (LCR1)	0.52	0.75	1.44	
RAE230A:1389500_at	1389500_at	no description	0.5	0.72	1.44	
RAE230A:1379783_at	1379783_at	Transcribed sequence with weak similarity to protein sp:O94772 (H.sapiens) LY6H_HUMAN Lymphocyte antigen Ly-6H precursor	0.3	0.43	1.43	
RAE230A:1371774_at	1371774_at	spermidine/spermine N1-acetyl transferase	0.56	0.8	1.43	
RAE230A:1375519_at	1375519_at	"hemoglobin, alpha 1"	0.47	0.67	1.43	
RAE230A:1373754_at	1373754_at	Transcribed sequences	0.66	0.94	1.42	
RAE230A:1398296_at	1398296_at	membrane interacting protein of RGS16	0.66	0.94	1.42	
RAE230A:1374166_at	1374166_at	Transcribed sequences	3.14	4.47	1.42	
RAE230A:1376242_at	1376242_at	Transcribed sequences	0.7	0.99	1.41	
RAE230A:1374060_at	1374060_at	Transcribed sequences	0.51	0.72	1.41	
RAE230A:1371421_at	1371421_at	"Similar to Elongation factor 1-alpha 1 (EF-1-alpha-1) (Elongation factor 1 A-1) (eEF1A-1) (Elongation factor Tu) (EF-Tu) (LOC310360), mRNA"	0.57	0.8	1.4	
RAE230A:1389600_at	1389600_at	"Similar to Coatomer gamma-2 subunit (Gamma-2 coat protein) (Gamma-2 COP) (LOC301742), mRNA"	0.6	0.84	1.4	
RAE230A:1370960_at	1370960_at	insulin-like growth factor-binding protein 5	0.6	0.84	1.4	
RAE230A:1387842_at	1387842_at	synaptotagmin 8	0.55	0.77	1.4	
RAE230A:1372968_at	1372968_at	"Similar to SET binding factor 1 (Sbf1) (Myotubularin-related protein 5) (LOC300147), mRNA"	0.62	0.86	1.39	
RAE230A:1389370_at	1389370_at	PHD finger protein 1	0.57	0.79	1.39	
RAE230A:1372651_at	1372651_at	Transcribed sequences	0.68	0.94	1.38	
RAE230A:1369871_at	1369871_at	amphiregulin	0.43	0.59	1.37	
RAE230A:1368209_at	1368209_at	membrane-associated protein 17	0.61	0.83	1.36	
RAE230A:1370239_at	1370239_at	"hemoglobin, alpha 1"	0.56	0.76	1.36	
RAE230A:1367985_at	1367985_at	aminolevulinic acid synthase 2	0.56	0.76	1.36	
RAE230A:1375200_at	1375200_at	"Similar to polyglutamine-containing protein (LOC314329), mRNA"	0.62	0.84	1.35	
RAE230A:1368713_at	1368713_at	matrix metalloproteinase 10	1.55	2.09	1.35	
RAE230A:1369415_at	1369415_at	"basic helix-loop-helix domain containing, class B2"	0.47	0.63	1.34	
RAE230A:1369289_at	1369289_at	"hepatocyte nuclear factor 4, alpha"	0.68	0.91	1.34	
RAE230A:1375523_at	1375523_at	Rat mRNA	0.57	0.76	1.33	
RAE230A:1370948_a_at	1370948_a_at	myristoylated alanine rich protein kinase C substrate	0.57	0.76	1.33	
RAE230A:1386858_at	1386858_at	ribosomal protein L13	0.78	1.04	1.33	
RAE230A:1388608_x_at	1388608_x_at	"hemoglobin, alpha 1"	0.67	0.89	1.33	
RAE230A:1367984_at	1367984_at	CTD-binding SR-like rA1	0.31	0.41	1.32	
RAE230A:1374635_at	1374635_at	Transcribed sequence with strong similarity to protein ref:NP_003803.1 (H.sapiens) a disintegrin and metalloproteinase domain 23 preproprotein [Homo sapiens]	0.62	0.82	1.32	
RAE230A:1387161_at	1387161_at	"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"	0.28	0.37	1.32	
RAE230A:1379782_a_at	1379782_a_at	Transcribed sequence with weak similarity to protein sp:O94772 (H.sapiens) LY6H_HUMAN Lymphocyte antigen Ly-6H precursor	0.6	0.79	1.32	
RAE230A:1368106_at	1368106_at	serum-inducible kinase	0.48	0.63	1.31	
RAE230A:1370905_at	1370905_at	Thyroid regulating gene	0.65	0.85	1.31	
RAE230A:1375123_at	1375123_at	"Similar to sox-4 protein - mouse (LOC364712), mRNA"	0.59	0.77	1.31	
RAE230A:1386788_at	1386788_at	no description	0.23	0.3	1.3	
RAE230A:1387057_at	1387057_at	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8"	0.43	0.56	1.3	
RAE230A:1374241_at	1374241_at	Transcribed sequences	0.63	0.81	1.29	
RAE230A:1381968_at	1381968_at	"Similar to cellular repressor of E1A-stimulated genes CREG (LOC289185), mRNA"	0.63	0.81	1.29	
RAE230A:1369559_a_at	1369559_a_at	integrin-associated protein	0.67	0.86	1.28	
RAE230A:1374864_at	1374864_at	"Similar to sprouty-2 (LOC306141), mRNA"	0.64	0.82	1.28	
RAE230A:1368413_at	1368413_at	amiloride binding protein 1	0.72	0.92	1.28	
RAE230A:1370071_at	1370071_at	adenosine deaminase	0.54	0.69	1.28	
RAE230A:1372526_at	1372526_at	folliculin	0.65	0.83	1.28	
RAE230A:1387716_at	1387716_at	utrophin	0.4	0.51	1.28	
RAE230A:1388667_at	1388667_at	Transcribed sequence with weak similarity to protein sp:Q16706 (H.sapiens) M2A1_HUMAN Alpha-mannosidase II	0.7	0.89	1.27	
RAE230A:1370240_x_at	1370240_x_at	"hemoglobin, alpha 1"	0.64	0.81	1.27	
