P-value	Hazard ratio	Description	Gene	Probe set	Pass	PCR	Statistic	Statistic
0.0027	0.4	Transforming, acidic coiled-coil containing protein 1	TACC1	242290_at			47	0.5
0.0027	0.2	POU domain, class 2, transcription factor 1	POU2F1	1562280_at			48	0.5
0.0027	2.9	p21(CDKN1A)-activated kinase 6	PAK6	1555310_a_at				0.5
0.0027	0.5	Mannosyl (alpha-1,3-)-glycoprotein ?-1,4-N-acetylglucosaminyltransferase, isozyme A	MGAT4A	226039_at			50	0.5
0.0027	5.1	Zinc finger CCCH-type containing 14	ZC3H14	204216_s_at			51	0.5
0.0028	0.5	Acyl-CoA synthetase short-chain family member 2	ACSS2	235805_at			52	0.5
0.0028	0.3	Programmed cell death 6	PDCD6	222380_s_at		PCR	53	0.6
0.0029	3.8	ERGIC and golgi 2	ERGIC2	226422_at			54	0.6
0.0029	0.4	Erythrocyte membrane protein band 4.1 like 5	EPB41L5	225855_at			55	0.6
0.003	6.5	Chromosome 14 open reading frame 32	C14orf32	212644_s_at			56	0.6
0.0031	0.2	Transcribed locus		239437_at			57	1.8
0.0031	0.3	DOT1-like, histone H3 methyltransferase (S. cerevisiae)	DOT1L	231297_at			58	1.9
0.0031	2.2	Transcription elongation factor A (SII)-like 8	TCEAL8	224819_at			59	1.9
0.0031	0.3	Laminin, ? 1	LAMB1	236437_at			60	2
0.0032	2.7	FK506 binding protein 5	FKBP5	224840_at			61	2
0.0033	0.5	Integrin, ? 6	ITGA6	244665_at			62	2.1
0.0034	2.7	COMM domain containing 9	COMMD9	218072_at			63	2.2
0.0034	0.2	Eukaryotic translation initiation factor 4 ?, 3	EIF4G3	201936_s_at			64	2.3
0.0035	0.5	235616_at	235616_at	235616_at			65	2.6
0.0036	1.9	Metallothionein 1X	MT1X	204326_x_at		PCR	66	2.6
0.0036	2.7	Peroxiredoxin 5	PRDX5	1560587_s_at			67	2.7
0.0037	0.3	Core-binding factor, runt domain, ? subunit 2; translocated to, 2	CBFA2T2	207625_s_at			68	2.7
0.0037	0.4	Transcribed locus, moderately similar to XP_531878.2		230168_at			69	2.7
0.0038	0.3	Zinc finger protein 346	ZNF346	236267_at			70	2.8
0.0038	2	Metallothionein 1H-like protein /// hypothetical protein LOC650610	LOC645745 /// LOC650610	211456_x_at			71	2.9
0.0039	0.2	Hypothetical protein DKFZp586I1420	DKFZp586I1420	213546_at			72	3.4
0.0039	2	Adrenergic, ?-2-, receptor, surface	ADRB2	206170_at			73	3.5
0.0039	0.3	CTD-binding SR-like protein rA9	KIAA1542	234952_s_at			74	3.5
0.0039	2.6	Peroxiredoxin 5	PRDX5	222994_at			75	3.6
0.004	0.2	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1	ATP6V1C1	226463_at			76	3.8
0.004	8	XK, Kell blood group complex subunit-related family, member 8	XKR8	218753_at			77	3.8
0.004	0.3	Caspase 6, apoptosis-related cystein peptidase	CASP6	242323_at			78	4
0.0041	0.4	Coagulation factor XII (Hageman factor)	F12	205774_at			79	4
0.0041	0.3	Centaurin, ? 2	CENTG2	240758_at			80	4.2
0.0042	0.6	LR8 protein	LR8	220532_s_at			81	4.2
0.0042	0.2	WD repeat domain 42A	WDR42A	243318_at			82	4.5
0.0042	2.6	Potassium channel tetramerisation domain containing 14	KCTD14	219545_at			83	4.7
0.0043	2.8	6-Phosphogluconolactonase	PGLS	218388_at			84	4.9
0.0044	3.8	Bruno-like 6, RNA binding protein (Drosophila)	BRUNOL6	227775_at			85	4.9
0.0044	2.3	Zinc finger protein 415	ZNF415	205514_at			86	5
0.0045	0.5	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	HIRA	240451_at			87	5.1
0.0046	0.5	Cardiolipin synthase 1	CRLS1	241741_at			88	5.9
0.0046	0.3	c-mer proto-oncogene tyrosine kinase	MERTK	233079_at			89	6.1
0.0047	0.2	Additional sex combs like 2 (Drosophila)	ASXL2	218659_at			90	6.5
0.0047	3.6	Platelet endothelial aggregation receptor 1	PEAR1	228618_at			91	6.9
0.0047	0.3	Core-binding factor, runt domain, ? subunit 2; translocated to, 2	CBFA2T2	238549_at			92	7.4
0.005	0.6	Lysosomal associated protein transmembrane 4 ?	LAPTM4B	208029_s_at			93	8
