Symbol	Name	ProbeId	Embryo:Log2FC	Embryo:adj_p-value	Pup:Log2FC	Pup:adj_p-value	Adult:Log2FC	Adult:adj_p-value
Asap3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3	A_51_P502203	Embryo:4.7498440499242	Embryo:2.25613813711455e-11	Pup:5.26720486526837	Pup:2.19307961331735e-12	Adult:3.67863888020906	Adult:3.63026317186007e-09
Fbxl2	F-box and leucine-rich repeat protein 2	A_51_P469220	Embryo:4.08508368901782	Embryo:1.18846366882252e-07	Pup:4.75818035595651	Pup:6.78073633272463e-09	Adult:4.80338873430066	Adult:1.38919116248324e-08
Pax6	paired box gene 6	A_51_P489935	Embryo:6.55941753386792	Embryo:3.05535668720124e-09	Pup:4.65107217777582	Pup:7.51013210971486e-07	Adult:2.38879022413554	Adult:0.00484772698296144
Dner	delta/notch-like EGF-related receptor	A_52_P671132	Embryo:5.79451509820718	Embryo:6.65569592102163e-05	Pup:4.72234484537987	Pup:0.000591232978787992	Adult:2.81164209470611	Adult:0.0455507297106471
Sox9	SRY-box containing gene 9	A_52_P1189908	Embryo:5.07464567359212	Embryo:4.42400173385699e-09	Pup:4.87560643952768	Pup:6.68301114307278e-09	Adult:3.28484681392601	Adult:1.00871074814861e-05
Slc1a1	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	A_52_P637988	Embryo:5.86043004703121	Embryo:8.60576087388821e-12	Pup:3.78824212767429	Pup:1.42151192560712e-08	Adult:3.5475747537194	Adult:1.10337916482197e-07
Sobp	sine oculis-binding protein homolog (Drosophila)	A_51_P438619	Embryo:2.83122334157061	Embryo:1.36185080962369e-06	Pup:4.93420803066865	Pup:7.60855371996503e-11	Adult:5.34533500021107	Adult:3.88842640635607e-11
Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	A_51_P268697	Embryo:2.19291390560699	Embryo:0.0120331292107979	Pup:5.61246086921158	Pup:9.98467777309545e-08	Adult:4.98546659389375	Adult:1.72191062064034e-06
Slc1a4	solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	A_52_P273098	Embryo:4.77999089264098	Embryo:3.44920362626771e-13	Pup:5.96438551608434	Pup:1.35356165913904e-15	Adult:1.98350548169379	Adult:1.44393475372239e-06
Htra3	HtrA serine peptidase 3	A_51_P106538	Embryo:5.11496091338754	Embryo:1.41123942292109e-14	Pup:4.70221968234205	Pup:2.40397970849114e-14	Adult:2.89208151183912	Adult:4.20500425659522e-10
Slc19a3	solute carrier family 19 (sodium/hydrogen exchanger), member 3	A_52_P432881	Embryo:4.12747579338621	Embryo:2.84411737637815e-11	Pup:3.90454942565547	Pup:5.52105622800166e-11	Adult:4.53816804582673	Adult:7.75388279235144e-12
Adcyap1r1	adenylate cyclase activating polypeptide 1 receptor 1	A_51_P259603	Embryo:4.15707246209476	Embryo:2.38808694877938e-09	Pup:5.02913227500951	Pup:5.86529551526648e-11	Adult:3.32034654406878	Adult:2.18552035351038e-07
3100003M19Rik	RIKEN cDNA 3100003M19 gene	A_51_P268964	Embryo:4.19877545252495	Embryo:8.14666229430881e-05	Pup:3.95103365882368	Pup:0.000141241806494764	Adult:4.28056016307551	Adult:0.000110319308096698
2610017I09Rik	RIKEN cDNA 2610017I09 gene	A_52_P385736	Embryo:4.52349727424818	Embryo:6.03587347709137e-07	Pup:3.91457019662398	Pup:4.35895025352218e-06	Adult:3.78430091294565	Adult:1.63670700286394e-05
Fam13a	family with sequence similarity 13, member A	A_52_P356343	Embryo:4.75320142971919	Embryo:4.7098782172947e-11	Pup:4.5750642334238	Pup:7.02309056724619e-11	Adult:2.88896364314207	Adult:5.42080309234689e-07
Hes5	hairy and enhancer of split 5 (Drosophila)	A_52_P622850	Embryo:4.32184437292602	Embryo:1.08741641594062e-07	Pup:4.75846682480501	Pup:1.60292518767455e-08	Adult:3.07489454751967	Adult:3.61272910299896e-05
Scg5	secretogranin V	A_51_P221223	Embryo:6.22774062447058	Embryo:3.43439471664934e-07	Pup:3.39032160045635	Pup:0.000936276466252366	Adult:2.42327402925262	Adult:0.0216168502378864
Mal	myelin and lymphocyte protein, T-cell differentiation protein	A_52_P562661	Embryo:3.12325830852312	Embryo:0.000688303495888488	Pup:3.96922419513194	Pup:3.01555921065596e-05	Adult:4.89963212599329	Adult:3.48964226214228e-06
1700018A04Rik	RIKEN cDNA 1700018A04 gene	A_52_P115369	Embryo:3.74283071071756	Embryo:3.45462150932121e-09	Pup:3.56625518295022	Pup:6.01376747125519e-09	Adult:4.67645172257673	Adult:1.02360496892234e-10
Foxg1	forkhead box G1	A_51_P432567	Embryo:6.64883865345974	Embryo:1.24131710881266e-11	Pup:3.66944562409389	Pup:2.90681847977714e-07	Adult:1.63595240629667	Adult:0.00911100570944346
Mlc1	megalencephalic leukoencephalopathy with subcortical cysts 1 homolog (human)	A_51_P405496	Embryo:4.91173473477695	Embryo:1.89521005781194e-07	Pup:4.00010019203076	Pup:3.7822890713922e-06	Adult:3.01370228495378	Adult:0.000338680097022234
Rgs4	regulator of G-protein signaling 4	A_52_P43326	Embryo:2.86585378394138	Embryo:0.00171449926641614	Pup:3.96722473988478	Pup:3.2602474804215e-05	Adult:5.08717299005391	Adult:2.11857937519096e-06
Tbx1	T-box 1	A_51_P218335	Embryo:4.28727772621544	Embryo:4.5044013912469e-12	Pup:3.68636280046092	Pup:4.27476211181257e-11	Adult:3.81043774615509	Adult:4.93049216344642e-11
Ptges	prostaglandin E synthase	A_51_P312327	Embryo:4.13772934900618	Embryo:9.34778646883673e-13	Pup:4.74337872521973	Pup:3.29602651795198e-14	Adult:2.78983655337011	Adult:1.32851505921257e-09
Ly75	lymphocyte antigen 75	A_51_P407351	Embryo:2.40472357438943	Embryo:1.84011574804871e-05	Pup:5.40068025151907	Pup:1.78334037240993e-11	Adult:3.83003812853559	Adult:2.19101078668609e-08
2610019F03Rik	RIKEN cDNA 2610019F03 gene	A_51_P214470	Embryo:3.79198263460668	Embryo:5.38885063545422e-08	Pup:4.42378755250612	Pup:2.74252924244842e-09	Adult:3.24231594995158	Adult:1.32395843279699e-06
Svop	SV2 related protein	A_51_P282594	Embryo:6.51630119042572	Embryo:1.24138884361076e-10	Pup:2.34692034459151	Pup:0.000601111796803023	Adult:2.57604982091336	Adult:0.000424017759139454
Psd2	pleckstrin and Sec7 domain containing 2	A_51_P157577	Embryo:4.18096984506897	Embryo:4.89805827501687e-06	Pup:4.24202118550638	Pup:3.19791199885e-06	Adult:2.99937483584617	Adult:0.000599248039973607
Gpr85	G protein-coupled receptor 85	A_51_P113806	Embryo:3.45395379634614	Embryo:2.20333762782762e-09	Pup:4.95699281909119	Pup:2.20441798929476e-12	Adult:3.0073046339433	Adult:4.63928775204788e-08
Ddc	dopa decarboxylase	A_52_P470150	Embryo:1.30209385356545	Embryo:5.24947555558837e-05	Pup:4.04507549712624	Pup:1.8224775285197e-13	Adult:5.9904177632434	Adult:2.17552207614231e-16
Sparcl1	SPARC-like 1	A_52_P64356	Embryo:3.24660652638372	Embryo:7.94907989845383e-07	Pup:3.29964368284184	Pup:4.71459877471728e-07	Adult:4.758558258875	Adult:2.10556183665359e-09
Sgms2	sphingomyelin synthase 2	A_51_P211998	Embryo:2.01269822863582	Embryo:0.0272418775285308	Pup:3.22295115587265	Pup:0.000446305617703447	Adult:6.03123103247807	Adult:1.51706314638175e-07
Grm3	glutamate receptor, metabotropic 3	A_51_P486543	Embryo:1.72041100842715	Embryo:0.0101965614762679	Pup:5.28234091520677	Pup:2.96508581596992e-09	Adult:4.21653270731133	Adult:3.58197866725471e-07
Elavl4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	A_51_P503722	Embryo:5.0185142321122	Embryo:6.988025173491e-08	Pup:3.95701095710397	Pup:2.47530706211813e-06	Adult:2.2200040574865	Adult:0.00440923701800081
Mtap2	microtubule-associated protein 2	A_52_P22763	Embryo:5.15022389329631	Embryo:7.57763281180105e-10	Pup:2.85660441261552	Pup:9.33253704431841e-06	Adult:3.1614488713403	Adult:5.08049765552659e-06
Stmn4	stathmin-like 4	A_51_P194249	Embryo:5.21361706574663	Embryo:4.41204297997988e-09	Pup:2.57099239054979	Pup:0.000164162666352839	Adult:3.34213708983827	Adult:1.15420034906915e-05
Kbtbd11	kelch repeat and BTB (POZ) domain containing 11	A_52_P570240	Embryo:3.65129965231902	Embryo:1.42736674149615e-11	Pup:3.99650252602417	Pup:1.79799422522596e-12	Adult:3.40009103040725	Adult:7.85289547915947e-11
Lrrc4c	leucine rich repeat containing 4C	A_52_P365660	Embryo:5.22823082544609	Embryo:1.48788388490079e-08	Pup:3.01441809138066	Pup:5.52556148489719e-05	Adult:2.69617266522143	Adult:0.000426872662101452
Cdh2	cadherin 2	A_51_P262773	Embryo:3.94555042449486	Embryo:1.25452297679326e-05	Pup:3.74869298027101	Pup:2.07636341416634e-05	Adult:3.1494299625318	Adult:0.000377724689408165
C530008M17Rik	RIKEN cDNA C530008M17 gene	A_52_P357228	Embryo:2.8543327920738	Embryo:2.3574949361547e-09	Pup:4.13737883248708	Pup:1.99359803547956e-12	Adult:3.80270022159547	Adult:2.15047747222905e-11
Sall3	sal-like 3 (Drosophila)	A_52_P405655	Embryo:2.99309784004452	Embryo:0.0142685288354042	Pup:5.26741085941926	Pup:4.17154670864473e-05	Adult:2.51237897414367	Adult:0.0450929632776397
Shroom1	shroom family member 1	A_51_P444005	Embryo:3.04719593929366	Embryo:3.06986956789029e-09	Pup:3.73972745408787	Pup:5.80218388963857e-11	Adult:3.93722887807751	Adult:4.80384877629434e-11
Rcan2	regulator of calcineurin 2	A_52_P414464	Embryo:3.92997737701396	Embryo:2.75952049207141e-09	Pup:1.2776162253964	Pup:0.00712917342030587	Adult:5.48598912467871	Adult:1.17573235811235e-11
Kif5a	kinesin family member 5A	A_51_P107020	Embryo:5.1176674761935	Embryo:2.94586009065968e-08	Pup:2.08797854047461	Pup:0.00342382455024604	Adult:3.4645873704075	Adult:2.44679204207729e-05
Glrb	glycine receptor, beta subunit	A_51_P250797	Embryo:2.32362787396552	Embryo:0.0221630510621849	Pup:3.88729302514745	Pup:0.000185117939911476	Adult:4.45064646214672	Adult:7.30203700286896e-05
Aif1l	allograft inflammatory factor 1-like	A_51_P472829	Embryo:2.73456096613678	Embryo:3.80104195602072e-07	Pup:2.05746675159317	Pup:2.15444323469002e-05	Adult:5.83812872661629	Adult:8.48530431992734e-13
Cspg4	chondroitin sulfate proteoglycan 4	A_52_P278064	Embryo:3.4085855937779	Embryo:4.70724802415339e-07	Pup:3.10438998699199	Pup:1.60135718090117e-06	Adult:4.00734290615398	Adult:6.03614882372696e-08
Lrrn3	leucine rich repeat protein 3, neuronal	A_51_P392303	Embryo:2.55493306268969	Embryo:1.08826384080192e-06	Pup:3.87772354699276	Pup:7.21553770209739e-10	Adult:4.05426861681211	Adult:7.48424870119318e-10
Ildr2	immunoglobulin-like domain containing receptor 2	A_51_P452533	Embryo:1.05840755908004	Embryo:0.00532534231958762	Pup:4.8395849582216	Pup:4.0014507887375e-13	Adult:4.48260306876936	Adult:4.61498367139165e-12
Prnp	prion protein	A_51_P483280	Embryo:2.48617855063148	Embryo:3.00381237981062e-08	Pup:3.8865366868836	Pup:6.87316138279278e-12	Adult:3.92844756681738	Adult:1.46426820440992e-11
Ebf1	early B-cell factor 1	A_51_P188054	Embryo:2.71567766853886	Embryo:3.25996272220862e-06	Pup:3.0661413602392	Pup:3.93695581778593e-07	Adult:4.46897774069584	Adult:1.41279391659408e-09
Sorbs2	sorbin and SH3 domain containing 2	A_52_P403157	Embryo:2.7737351478399	Embryo:1.53782335095804e-07	Pup:3.98623161750739	Pup:2.15306862450565e-10	Adult:3.46167837432083	Adult:6.36052734446887e-09
Dync1i1	dynein cytoplasmic 1 intermediate chain 1	A_51_P188046	Embryo:3.3101094197847	Embryo:3.70977389815514e-09	Pup:2.60275581472662	Pup:1.71898032519484e-07	Adult:4.24882798882067	Adult:6.6471317784772e-11
Napepld	N-acyl phosphatidylethanolamine phospholipase D	A_52_P292853	Embryo:1.65427529394781	Embryo:0.0151108544384366	Pup:3.78667992938904	Pup:1.05324078814406e-06	Adult:4.71811860713465	Adult:7.06076648220777e-08
Tmc7	transmembrane channel-like gene family 7	A_52_P213889	Embryo:1.74479166713214	Embryo:0.020741757348805	Pup:3.13134128954605	Pup:6.84187106072944e-05	Adult:5.27858879468157	Adult:5.973552532078e-08
Ppp2r2b	protein phosphatase 2 (formerly 2A), regulatory subunit B (PR 52), beta isoform	A_51_P220278	Embryo:4.9646772321291	Embryo:7.12987074329835e-08	Pup:3.31430713981412	Pup:2.72861929357757e-05	Adult:1.85878935155645	Adult:0.015088964102332
Rgs5	regulator of G-protein signaling 5	A_52_P136782	Embryo:3.77333504442088	Embryo:0.000107725947808499	Pup:2.77022119518837	Pup:0.00240963557645246	Adult:3.44891998973334	Adult:0.00050382895945023
Sox2ot	SOX2 overlapping transcript (non-protein coding)	A_52_P389324	Embryo:5.56692806688445	Embryo:1.75973957950079e-08	Pup:2.50214191097162	Pup:0.00105438533284941	Adult:1.91772368180703	Adult:0.0150183243297549
Scrg1	scrapie responsive gene 1	A_51_P258690	Embryo:2.07765726955467	Embryo:0.002625588165665	Pup:3.67590464351758	Pup:1.89311684461876e-06	Adult:4.20191161491564	Adult:5.53132893087908e-07
Slc3a2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	A_51_P472901	Embryo:4.34727814592882	Embryo:3.71153160109742e-12	Pup:4.26709361543557	Pup:2.59299845339943e-12	Adult:1.3259159009994	Adult:0.000714598463505375
Cd320	CD320 antigen	A_51_P337510	Embryo:2.4709130836114	Embryo:1.62096855049013e-09	Pup:3.93159648280077	Pup:2.13392684139673e-13	Adult:3.53174311314631	Adult:4.19319634665346e-12
Fry	furry homolog (Drosophila)	A_51_P264850	Embryo:2.60858854261854	Embryo:1.9863950566962e-06	Pup:3.34197384649317	Pup:2.81074471289841e-08	Adult:3.93696833370072	Adult:3.80241470036545e-09
Tagln3	transgelin 3	A_52_P265937	Embryo:4.40899687245039	Embryo:5.70280134867249e-07	Pup:3.91093837115322	Pup:2.85575652244475e-06	Adult:1.55400189015421	Adult:0.0434647845860887
Pcdh10	protocadherin 10	A_51_P209150	Embryo:3.52300807322768	Embryo:6.25915119050638e-07	Pup:4.75992039151345	Pup:2.87649104542214e-09	Adult:1.54744845543065	Adult:0.0125331790124671
Aldoc	aldolase C, fructose-bisphosphate	A_51_P220681	Embryo:2.89427351421526	Embryo:8.76109884986237e-05	Pup:3.28262407553887	Pup:1.33940164302694e-05	Adult:3.64456061046993	Adult:6.93434617636616e-06
Fam57b	family with sequence similarity 57, member B	A_51_P179697	Embryo:4.72407059099048	Embryo:3.4826441462252e-11	Pup:4.02635672239693	Pup:4.8207941640582e-10	Adult:1.02950450587189	Adult:0.0293975382117776
Nsg2	neuron specific gene family member 2	A_51_P163953	Embryo:5.20389679578608	Embryo:6.12354950816443e-07	Pup:2.06153534356516	Pup:0.0164464759867493	Adult:2.49879576903139	Adult:0.00651178827541586
Synm	synemin, intermediate filament protein	A_51_P185593	Embryo:3.52181638095124	Embryo:1.07383527863391e-10	Pup:3.25450539930187	Pup:3.35963144526433e-10	Adult:2.97728790301034	Adult:3.83644992453436e-09
Btbd17	BTB (POZ) domain containing 17	A_52_P381553	Embryo:2.48790117912636	Embryo:4.87148637935345e-05	Pup:3.85407940685408	Pup:4.8085736913868e-08	Adult:3.19064598795412	Adult:2.63339412226755e-06
Mmd2	monocyte to macrophage differentiation-associated 2	A_51_P257885	Embryo:2.32853683038944	Embryo:0.00177725225093353	Pup:3.50484408289429	Pup:1.08915499105789e-05	Adult:3.66288526588026	Adult:1.34293675950688e-05
Fam123a	family with sequence similarity 123, member A	A_51_P181891	Embryo:3.63068784660679	Embryo:7.11164119898251e-05	Pup:2.20588102642353	Pup:0.00850506085055256	Adult:3.51544395176797	Adult:0.000178343339396097
Degs2	degenerative spermatocyte homolog 2 (Drosophila), lipid desaturase	A_51_P122649	Embryo:1.73346557299301	Embryo:0.0213738626667432	Pup:2.88162144262318	Pup:0.000184796847408255	Adult:4.71704982854888	Adult:3.81581943612509e-07
Kif1a	kinesin family member 1A	A_52_P49378	Embryo:3.40627835637222	Embryo:2.76082456442463e-08	Pup:2.78942904559575	Pup:5.71380193737995e-07	Adult:3.12214315531688	Adult:2.26389584078725e-07
Slc40a1	solute carrier family 40 (iron-regulated transporter), member 1	A_51_P389988	Embryo:3.03551753780268	Embryo:2.17587599679827e-08	Pup:3.40650563215484	Pup:2.14681255839413e-09	Adult:2.87183662134045	Adult:1.04037179717223e-07
Ttc9b	tetratricopeptide repeat domain 9B	A_51_P358894	Embryo:4.28197023694858	Embryo:9.9416726382149e-08	Pup:2.67852365730118	Pup:8.22817409591105e-05	Adult:2.33673307541997	Adult:0.000772734748283533
Abcb1a	ATP-binding cassette, sub-family B (MDR/TAP), member 1A	A_51_P155445	Embryo:3.91350368925552	Embryo:8.74790538905113e-09	Pup:2.51396162774552	Pup:8.02456629598715e-06	Adult:2.81988891161126	Adult:3.55926901569004e-06
Usp53	ubiquitin specific peptidase 53	A_52_P569327	Embryo:3.4884234170149	Embryo:3.90970721797374e-05	Pup:3.55078300852822	Pup:2.51852739000087e-05	Adult:2.10604721312264	Adult:0.00981418302541343
AI467606	expressed sequence AI467606	A_52_P458000	Embryo:2.43740767245248	Embryo:1.49076356845141e-07	Pup:2.80951936650387	Pup:1.02369361199518e-08	Adult:3.88803263627621	Adult:6.64200502334733e-11
Dagla	diacylglycerol lipase, alpha	A_52_P127682	Embryo:2.72576223912931	Embryo:6.14999357870935e-08	Pup:3.2295954869718	Pup:2.39893375207899e-09	Adult:3.16720844511617	Adult:8.37241337526954e-09
Scg3	secretogranin III	A_51_P161248	Embryo:3.57416597304602	Embryo:1.41365414681434e-06	Pup:3.01779503269545	Pup:1.40242143327142e-05	Adult:2.52727975722097	Adult:0.000284284976955202
Mapk10	mitogen-activated protein kinase 10	A_51_P433989	Embryo:3.81511250336157	Embryo:1.01251540329448e-06	Pup:2.50569312837543	Pup:0.000259232281783166	Adult:2.77812910645415	Adult:0.000155339486951366
Axin2	axin2	A_52_P54176	Embryo:2.91667520742077	Embryo:2.83057866033701e-10	Pup:2.57505002908094	Pup:1.97548718684152e-09	Adult:3.52521922212596	Adult:1.54598453312788e-11
Trim9	tripartite motif-containing 9	A_52_P625640	Embryo:2.4840023542372	Embryo:0.00124460757548114	Pup:4.4645938956082	Pup:4.15543405777101e-07	Adult:1.94255961256921	Adult:0.0126226814955845
Def6	differentially expressed in FDCP 6	A_51_P320593	Embryo:2.8422943684849	Embryo:4.85734656568274e-12	Pup:3.00266232824013	Pup:9.95915762967804e-13	Adult:3.0415614700656	Adult:1.81765562383777e-12
Ooep	oocyte expressed protein homolog (dog)	A_51_P295594	Embryo:2.26160818575925	Embryo:1.73030540079661e-05	Pup:1.28632078205513	Pup:0.0063791553760547	Adult:5.29351286414032	Adult:1.81668490916636e-11
Fgfbp1	fibroblast growth factor binding protein 1	A_51_P302377	Embryo:2.08886093532714	Embryo:7.50525875064694e-05	Pup:5.23795982194344	Pup:1.60169631369195e-11	Adult:1.48206998463015	Adult:0.00419031519417418
