Probe.Set.ID	genes with decreased expression	logFC	adj.P.Val	CYTOBAND	Gene name
208857_s_at	PCMT1	-0.825340909	0.012182874	6q24-q25,	PROTEIN-L-ISOASPARTATE (D-ASPARTATE) O-METHYLTRANSFERASE
200887_s_at	STAT1	-1.183522727	0.012182874	2q32.2,	SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1, 91KDA
210105_s_at	FYN	-1.387272727	0.016973848	6q21,	FYN ONCOGENE RELATED TO SRC, FGR, YES
201916_s_at	SEC63	-0.865454545	0.016973848	6q21,	SEC63-LIKE (S. CEREVISIAE)
206150_at	CD27	-1.638068182	0.017112582	12p13,	TUMOR NECROSIS FACTOR RECEPTOR SUPERFAMILY, MEMBER 7
203915_at	CXCL9	-1.813977273	0.017112582	4q21,	CHEMOKINE (C-X-C MOTIF) LIGAND 9
218603_at	HECA	-0.694886364	0.017112582	6q23-q24,	HEADCASE HOMOLOG (DROSOPHILA)
214022_s_at	IFITM1	-1.136477273	0.017112582	11p15.5,	INTERFERON INDUCED TRANSMEMBRANE PROTEIN 1 (9-27)
202531_at	IRF1	-1.004318182	0.017112582	5q31.1,	INTERFERON REGULATORY FACTOR 1
218846_at	MED23	-0.583977273	0.017112582	6q22.33-q24.1,	COFACTOR REQUIRED FOR SP1 TRANSCRIPTIONAL ACTIVATION, SUBUNIT 3, 130KD...
213357_at	GTF2H5	-0.718181818	0.017267104	6q25.3,	GENERAL TRANSCRIPTION FACTOR IIH, POLYPEPTIDE 5
203528_at	SEMA4D	-1.100340909	0.021660159	9q22-q31,	SEMA DOMAIN, IMMUNOGLOBULIN DOMAIN (IG), TRANSMEMBRANE DOMAIN (TM) AND...
205988_at	CD84	-0.671818182	0.023425957	1q24,	CD84 ANTIGEN (LEUKOCYTE ANTIGEN)
221786_at	C6ORF120	-0.800681818	0.023993946	6q27,	CHROMOSOME 6 OPEN READING FRAME 120
201999_s_at	DYNLT1	-0.880681818	0.024732964	6q25.2-q25.3,	DYNEIN, LIGHT CHAIN, TCTEX-TYPE 1
206666_at	GZMK	-1.583636364	0.024732964	5q11-q12,	GRANZYME K (GRANZYME 3; TRYPTASE II)
201393_s_at	IGF2R	-1.161477273	0.024732964	6q26,	INSULIN-LIKE GROWTH FACTOR 2 RECEPTOR
217832_at	SYNCRIP	-0.803863636	0.024732964	6q14-q15,	SYNAPTOTAGMIN BINDING, CYTOPLASMIC RNA INTERACTING PROTEIN
201084_s_at	BCLAF1	-0.782613636	0.025634329	6q22-q23,	BCL2-ASSOCIATED TRANSCRIPTION FACTOR 1
218764_at	PRKCH	-1.029772727	0.025634329	14q22-q23,	PROTEIN KINASE C, ETA
202910_s_at	CD97	-0.856590909	0.027658566	19p13,	CD97 ANTIGEN
221081_s_at	DENND2D	-0.90625	0.028126375	1p13.3,	DENN/MADD DOMAIN CONTAINING 2D
209670_at	TRAC	-1.06125	0.030241164	14q11,	T CELL RECEPTOR ALPHA CONSTANT
209341_s_at	IKBKB	-0.690227273	0.030674387	8p11.2,	INHIBITOR OF KAPPA LIGHT POLYPEPTIDE GENE ENHANCER IN B-CELLS, KINASE ...
206854_s_at	MAP3K7	-0.630340909	0.030674387	6q16.1-q16.3,	MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 7
208654_s_at	CD164	-0.862727273	0.032831532	6q21,	CD164 ANTIGEN, SIALOMUCIN
212515_s_at	DDX3X	-0.653068182	0.033749094	Xp11.3-p11.23,	DEAD (ASP-GLU-ALA-ASP) BOX POLYPEPTIDE 3, X-LINKED
208778_s_at	TCP1	-0.528522727	0.033749094	6q25.3-q26,	T-COMPLEX 1
212368_at	ZNF292	-0.724318182	0.033749094	6q15,	ZINC FINGER PROTEIN 292
220577_at	GVIN1	-0.627159091	0.033937596	11p15.4,	HYPOTHETICAL PROTEIN FLJ13373
212641_at	HIVEP2	-0.696704545	0.033937596	6q23-q24,	HUMAN IMMUNODEFICIENCY VIRUS TYPE I ENHANCER BINDING PROTEIN 2
201010_s_at	TXNIP	-1.024772727	0.033937596	1q21.1,	THIOREDOXIN INTERACTING PROTEIN
212875_s_at	C2CD2	-0.748977273	0.034613905	21q22.3,	CHROMOSOME 21 OPEN READING FRAME 25
212543_at	AIM1	-0.972045455	0.036153045	6q21,	ABSENT IN MELANOMA 1
213295_at	CYLD	-0.727386364	0.036153045	16q12.1,	CYLINDROMATOSIS (TURBAN TUMOR SYNDROME)
218614_at	C12ORF35	-0.820909091	0.036327942	12p11.21,	HYPOTHETICAL PROTEIN FLJ20696
201360_at	CST3	-1.097727273	0.036327942	20p11.21,	CYSTATIN C (AMYLOID ANGIOPATHY AND CEREBRAL HEMORRHAGE)
217788_s_at	GALNT2	-0.842727273	0.036327942	1q41-q42,	UDP-N-ACETYL-ALPHA-D-GALACTOSAMINE:POLYPEPTIDE N-ACETYLGALACTOSAMINYLT...
212441_at	KIAA0232	-0.581931818	0.036327942	4p16.1,	KIAA0232 GENE PRODUCT
213074_at	IRAK1BP1	-0.610681818	0.037225994	6q14-q15,	INTERLEUKIN-1 RECEPTOR-ASSOCIATED KINASE 1 BINDING PROTEIN 1
213293_s_at	TRIM22	-0.783977273	0.037225994	11p15,	TRIPARTITE MOTIF-CONTAINING 22
202760_s_at	AKAP2	-0.947954545	0.039811047	9q31-q33,	A KINASE (PRKA) ANCHOR PROTEIN 2
216598_s_at	CCL2	-1.217159091	0.039811047	17q11.2-q12,	CHEMOKINE (C-C MOTIF) LIGAND 2
219243_at	GIMAP4	-1.158977273	0.039811047	7q36.1,	GTPASE, IMAP FAMILY MEMBER 4
202241_at	TRIB1	-0.975340909	0.039811047	8q24.13,	TRIBBLES HOMOLOG 1 (DROSOPHILA)
202748_at	GBP2	-1.357272727	0.039970603	1p22.2,	GUANYLATE BINDING PROTEIN 2, INTERFERON-INDUCIBLE
221972_s_at	SDF4	-0.686818182	0.039970603	1p36.33,	STROMAL CELL DERIVED FACTOR 4
200816_s_at	PAFAH1B1	-0.668409091	0.040589724	17p13.3,	PLATELET-ACTIVATING FACTOR ACETYLHYDROLASE, ISOFORM IB, ALPHA SUBUNIT ...
205831_at	CD2	-1.307840909	0.041101787	1p13,	CD2 ANTIGEN (P50), SHEEP RED BLOOD CELL RECEPTOR
213208_at	KIAA0240	-0.544772727	0.041101787	6p21.1,	KIAA0240
212888_at	DICER1	-0.715454545	0.041498278	14q32.13,	DICER1, DCR-1 HOMOLOG (DROSOPHILA)
221012_s_at	TRIM8	-0.495681818	0.041596558	10q24.3,	TRIPARTITE MOTIF-CONTAINING 8
209034_at	PNRC1	-0.519318182	0.042371266	6q15,	PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR 1
209515_s_at	RAB27A	-0.831022727	0.042371266	15q15-q21.1,	RAB27A, MEMBER RAS ONCOGENE FAMILY
212176_at	SFRS18	-0.600795455	0.042439937	6q16.3,	CHROMOSOME 6 OPEN READING FRAME 111
210116_at	SH2D1A	-1.156590909	0.042439937	Xq25-q26,	SH2 DOMAIN PROTEIN 1A, DUNCANS DISEASE (LYMPHOPROLIFERATIVE SYNDROME)
213375_s_at	CG018	-0.757159091	0.042712809	13q12-q13,	HYPOTHETICAL GENE CG018
212135_s_at	ATP2B4	-0.655113636	0.043132705	1q32.1,	ATPASE, CA++ TRANSPORTING, PLASMA MEMBRANE 4
204116_at	IL2RG	-0.775113636	0.043132705	Xq13.1,	INTERLEUKIN 2 RECEPTOR, GAMMA (SEVERE COMBINED IMMUNODEFICIENCY)
203232_s_at	ATXN1	-1.093068182	0.043221779	6p23,	ATAXIN 1
205456_at	CD3E	-0.964204545	0.043221779	11q23,	CD3E ANTIGEN, EPSILON POLYPEPTIDE (TIT3 COMPLEX)
208621_s_at	EZR	-0.852727273	0.043221779	6q25.2-q26,	VILLIN 2 (EZRIN)
212753_at	PCGF3	-0.479090909	0.043221779	4p16.3,	POLYCOMB GROUP RING FINGER 3
203250_at	RBM16	-0.654318182	0.043221779	6q25.1-q25.3,	RNA BINDING MOTIF PROTEIN 16
219598_s_at	RWDD1	-0.706704545	0.043221779	6q13-q22.33,	RWD DOMAIN CONTAINING 1
214032_at	ZAP70	-0.845454545	0.043221779	2q12,	ZETA-CHAIN (TCR) ASSOCIATED PROTEIN KINASE 70KDA
220132_s_at	CLEC2D	-0.876590909	0.043505342	12p13,	C-TYPE LECTIN DOMAIN FAMILY 2, MEMBER D
209447_at	SYNE1	-0.995795455	0.047089408	6q25,	SPECTRIN REPEAT CONTAINING, NUCLEAR ENVELOPE 1
213539_at	CD3D	-1.267159091	0.047392282	11q23,	CD3D ANTIGEN, DELTA POLYPEPTIDE (TIT3 COMPLEX)
218024_at	BRP44L	-0.577840909	0.048094303	6q27,	BRAIN PROTEIN 44-LIKE
201412_at	LRP10	-0.488068182	0.048512186	14q11.2,	LOW DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 10
209050_s_at	RALGDS	-0.650909091	0.048512186	9q34.3,	RAL GUANINE NUCLEOTIDE DISSOCIATION STIMULATOR
202643_s_at	TNFAIP3	-0.759204545	0.048512186	6q23,	TUMOR NECROSIS FACTOR, ALPHA-INDUCED PROTEIN 3
216920_s_at	TRGV9	-1.05	0.049740825	7p14,	T CELL RECEPTOR GAMMA VARIABLE 9
