Biological functions	Gene symbol	Gene name	Fold-change PHH pool #1	Fold-change PHH pool #2	Fold-change HepaRG
DNA replication and repair	ELP4	Elongation protein 4 homolog (S. cerevisiae)	-1.74	-1.65	-1.62
DNA replication and repair	PCNA	Proliferating cell nuclear antigen	3.36	2.82	2.32
DNA replication and repair	POLH	Polymerase (DNA directed), eta	2.31	2.46	1.63
DNA replication and repair	SLC29A1	Solute carrier family 29 (nucleoside transporters), member 1	2.22	1.51	2.66
DNA replication and repair	SMYD3	SET and MYND domain containing 3	-1.51	-4.71	-1.75
DNA replication and repair	TYMS	Thymidylate synthetase	3.97	3.81	1.53
RNA maturation, damage and repair	AUH	AU RNA binding protein/enoyl-Coenzyme A hydratase	1.55	-1.52	-1.69
RNA maturation, damage and repair	CTIF (KIAA0427)	CBP80/20-dependent translation initiation factor	-1.56	-1.59	-1.67
RNA maturation, damage and repair	RSRC1	Arginine/serine-rich coiled-coil 1	-1.73	-2.07	-1.64
RNA maturation, damage and repair	STAU2	Staufen, RNA binding protein, homolog 2 (Drosophila)	-1.76	-1.77	-1.75
Immune and inflammatory response	FAS	Fas (TNF receptor superfamily, member 6)	1.51	1.6	1.84
Immune and inflammatory response	MASP1	Mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor)	-2.56	-1.55	-1.94
Immune and inflammatory response	MR1	Major histocompatibility complex, class I-related	2.5	1.88	1.67
Immune and inflammatory response	NIBP	NIK and IKK â binding protein	-2.03	-3.14	-2.24
Drug metabolism	GNMT	Glycine N-methyltransferase	1.82	-1.99	-2.63
Drug metabolism	SLC29A1	Solute carrier family 29 (nucleoside transporters), member 1	2.22	1.51	2.66
Metabolism	FDXR	Ferredoxin reductase	4.78	4.1	1.89
Metabolism	GLT8D3	Glycosyltransferase 8 domain containing 3	1.82	2.01	1.93
Metabolism	GMDS	GDP-mannose 4,6-dehydratase	-1.76	-2.65	-1.66
Metabolism	HHAT	Hedgehog acyltransferase	-1.58	-3.35	-3.28
Metabolism	PDSS2	Prenyl (decaprenyl) diphosphate synthase, subunit 2	-1.67	-1.67	-1.85
Metabolism	TPK1	Thiamin pyrophosphokinase 1	-1.75	-3.14	-2.08
Intracellular trafficking	DENND1A	DENN/MADD domain containing 1A	-1.87	-2.47	-2.02
Intracellular trafficking	DIAPH2	Diaphanous homolog 2 (Drosophila)	-2.18	-2.3	-1.66
Intracellular trafficking	KIF16B	Kinesin family member 16B	-1.6	-2.75	-1.55
Intracellular trafficking	LRBA	LPS-responsive vesicle trafficking, beach and anchor containing	-1.68	-1.92	-1.82
Intracellular trafficking	RIN1	Ras and Rab interactor 1	2.76	2.87	2.67
Cellular movement	DOCK4	Dedicator of cytokinesis 4	-1.52	-1.54	-1.59
Cellular movement	DYSF	Dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	-2.09	-1.55	-1.65
Cellular movement	IQGAP2	IQ motif containing GTPase activating protein 2	-3.11	-1.88	-2.69
Cellular movement	LPP	LIM domain containing preferred translocation partner in lipoma	-2.25	-2.21	-1.65
Cellular movement	MYO10	Myosin X	2.36	8.24	3.06
Cellular movement	MYO1D	Myosin ID	-2.46	-2.08	-1.71
Cellular movement	MYLK	Myosin light chain kinase	-1.54	-1.59	-1.67
Cellular movement	NMB	Neuromedin B	1.61	1.71	1.88
Miscelleanous	BLOC1S2	Biogenesis of lysosome-related organelles complex-1, subunit 2	1.72	1.8	1.57
Miscelleanous	HSPA4L	Heat shock 70 kDa protein 4-like	2.01	2.52	1.73
Miscelleanous	ICA1	Islet cell autoantigen 1, 69 kDa	-1.98	-1.64	-1.61
Miscelleanous	MCHR1	Melanin-concentrating hormone receptor 1	3.37	2.24	3.69
Miscelleanous	PDE6C	Phosphodiesterase 6C, cGMP-specific, cone, alpha prime	13.82	17.87	2.79
Miscelleanous	RABGAP1L	RAB GTPase activating protein 1-like	-1.66	-2.34	-1.63
Miscelleanous	RCAN2	Regulator of calcineurin 2	-3.75	-1.99	-2.12
Miscelleanous	SNN	Stannin	1.55	1.54	1.56
Miscelleanous	SORCS2	Sortilin-related VPS10 domain containing receptor 2	-2.75	-2.99	-1.58
Miscelleanous	TBC1D22A	TBC1 domain family, member 22A	-1.56	-1.76	-1.82
Miscelleanous	TSHZ2	Teashirt zinc finger homeobox 2	-2.03	-1.72	-2.1
Miscelleanous	VPS13B	Vacuolar protein sorting 13 homolog B (yeast)	-2.43	-2.71	-1.53
Miscelleanous	VWCE	von Willebrand factor C and EGF domains	2.99	2.36	1.65
Miscelleanous	ZNF337	Zinc finger protein 337	2.26	2.38	1.6
Unknown function	ANKRA2	Ankyrin repeat, family A (RFXANK-like), 2	2.41	1.83	1.88
Unknown function	ARL14	ADP-ribosylation factor-like 14	4.64	3.31	4.72
Unknown function	BBS9	Bardet-Biedl syndrome 9	-2.33	-3.42	-1.85
Unknown function	BCAS3	Breast carcinoma amplified sequence 3	-1.9	-2.29	-1.88
Unknown function	DHRSX	Dehydrogenase/reductase (SDR family) X-linked	-1.7	-2.38	-2.55
Unknown function	ESPNL	Espin-like	2.08	1.56	2.13
Unknown function	FAM117A	Family with sequence similarity 117, member A	-2.76	-1.89	-2
Unknown function	GTDC1	Glycosyltransferase-like domain containing 1	-2.17	-3.12	-1.74
Unknown function	LACE1	Lactation elevated 1	-1.92	-1.92	-2.22
Unknown function	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	-1.55	-1.69	-1.81
Unknown function	SEC31B	SEC31 homolog B (S. cerevisiae)	1.56	-1.88	-1.64
Unknown function	TMEM117	Transmembrane protein 117	-1.75	-2.83	-1.54
Unknown function	TMEM68	Transmembrane protein 68	2.23	1.75	1.64
Non-annotated genes	C10orf11	Chromosome 10 open reading frame 11	-2.73	-7.02	-3.1
Non-annotated genes	C12orf5	Chromosome 12 open reading frame 5	1.92	2.31	1.68
Non-annotated genes	C5orf23	Chromosome 5 open reading frame 23	-1.66	-1.57	-1.64
Non-annotated genes	C5orf4	Chromosome 5 open reading frame 4	2.01	1.66	1.59
Non-annotated genes	FLJ45248	FLJ45248 protein	1.81	1.77	1.66
Non-annotated genes	LOC285535	Hypothetical protein LOC285535	-1.57	-1.71	-1.68
Non-annotated genes	LOC348751	Hypothetical protein LOC348751	-1.87	-2.2	-1.71
Non-annotated genes	LOC644662	Similar to hCG2042541	2.42	2.11	2.19
