Probe Set ID	Gene Symbol	Gene Title	Log2 FC	p value
208816_x_at	ANXA2P2	annexin A2 pseudogene 2	128860	0,00701
218196_at	OSTM1	osteopetrosis associated transmembrane protein 1	129077	0,00669
201887_at	IL13RA1	interleukin 13 receptor, alpha 1	129694	0,00338
213836_s_at	WIPI1	WD repeat domain, phosphoinositide interacting 1	130010	0,00280
212681_at	EPB41L3	erythrocyte membrane protein band 4.1-like 3	131094	0,02843
203725_at	GADD45A	growth arrest and DNA-damage-inducible, alpha	131499	0,00006
204205_at	APOBEC3G	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G	133245	0,00002
201811_x_at	SH3BP5	SH3-domain binding protein 5 (BTK-associated)	133395	0,00359
202729_s_at	LTBP1	latent transforming growth factor beta binding protein 1	133467	0,01033
209201_x_at	CXCR4	chemokine (C-X-C motif) receptor 4	134431	0,00894
211368_s_at	CASP1	caspase 1, apoptosis-related cysteine peptidase	134952	0,00118
212192_at	KCTD12	potassium channel tetramerisation domain containing 12	137789	0,00846
203923_s_at	CYBB	cytochrome b-245, beta polypeptide (chronic granulomatous disease)	144564	0,00116
206488_s_at	CD36	CD36 molecule (thrombospondin receptor)	145957	0,00152
208683_at	CAPN2	calpain 2, (m/II) large subunit	147085	0,00251
205857_at	SLC18A2	solute carrier family 18 (vesicular monoamine), member 2	147264	0,02073
216598_s_at	CCL2	chemokine (C-C motif) ligand 2	147501	0,01802
218854_at	DSE	dermatan sulfate epimerase	149659	0,00383
201590_x_at	ANXA2	annexin A2	151947	0,00140
200999_s_at	CKAP4	cytoskeleton-associated protein 4	158573	0,00007
217763_s_at	RAB31	RAB31, member RAS oncogene family	158597	0,02581
209606_at	PSCDBP	pleckstrin homology, Sec7 and coiled-coil domains, binding protein	158711	0,00292
200872_at	S100A10	S100 calcium binding protein A10	160517	0,01536
201422_at	IFI30	interferon, gamma-inducible protein 30	160873	0,00809
218217_at	SCPEP1	serine carboxypeptidase 1	161274	0,00290
201125_s_at	ITGB5	integrin, beta 5	162270	0,01385
211962_s_at	ZFP36L1	zinc finger protein 36, C3H type-like 1	168276	0,00181
202838_at	FUCA1	fucosidase, alpha-L- 1, tissue	169346	0,00009
201739_at	SGK	serum/glucocorticoid regulated kinase	170255	0,00099
205859_at	LY86	lymphocyte antigen 86	170680	0,00244
204588_s_at	SLC7A7	solute carrier family 7, member 7	175347	0,00526
214211_at	FTH1	ferritin, heavy polypeptide 1	176721	0,00571
218501_at	ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3	177429	0,00074
202283_at	SERPINF1	serpin peptidase inhibitor, clade F, member 1	178087	0,02872
209710_at	GATA2	GATA binding protein 2	178190	0,00002
206857_s_at	FKBP1B	FK506 binding protein 1B, 12.6 kDa	182930	0,00481
208653_s_at	CD164	CD164 molecule, sialomucin	182987	0,00000
204232_at	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	183335	0,00319
213274_s_at	CTSB	cathepsin B	186087	0,02332
209568_s_at	RGL1	ral guanine nucleotide dissociation stimulator-like 1	187007	0,00043
204122_at	TYROBP	TYRO protein tyrosine kinase binding protein	187737	0,02880
206726_at	PGDS	prostaglandin D2 synthase, hematopoietic	188987	0,00000
206214_at	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase)	190600	0,00324
210946_at	PPAP2A	phosphatidic acid phosphatase type 2A	190797	0,00041
219099_at	C12orf5	chromosome 12 open reading frame 5	194723	0,00064
205147_x_at	NCF4	neutrophil cytosolic factor 4, 40kDa	194789	0,00010
209392_at	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	197298	0,00209
205609_at	ANGPT1	angiopoietin 1	198389	0,00000
221698_s_at	CLEC7A	C-type lectin domain family 7, member A	203102	0,00173
221841_s_at	KLF4	Kruppel-like factor 4 (gut)	205333	0,01125
209906_at	C3AR1	complement component 3a receptor 1	206433	0,00000
208949_s_at	LGALS3	lectin, galactoside-binding, soluble, 3	209029	0,01306
209473_at	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	209414	0,00008
201926_s_at	CD55	CD55 molecule, decay accelerating factor for complement	209775	0,00000
201841_s_at	HSPB1	heat shock 27kDa protein 1	212139	0,00328
209616_s_at	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	216852	0,00000
205419_at	EBI2	Epstein-Barr virus induced gene 2	217430	0,00000
210986_s_at	TPM1	tropomyosin 1 (alpha)	223025	0,00000
34210_at	CD52	CD52 molecule	224777	0,00003
201565_s_at	ID2	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	224853	0,00001
201105_at	LGALS1	lectin, galactoside-binding, soluble, 1 (galectin 1)	225032	0,00002
201785_at	RNASE1	ribonuclease, RNase A family, 1 (pancreatic)	225172	0,02035
217232_x_at	HBB	hemoglobin, beta	229610	0,01202
211734_s_at	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	230538	0,00003
201631_s_at	IER3	immediate early response 3	231247	0,00009
209122_at	ADFP	adipose differentiation-related protein	233943	0,00003
212473_s_at	MICAL2	microtubule associated monoxygenase, calponin and LIM domain containing 2	240294	0,00000
204417_at	GALC	galactosylceramidase	240368	0,00001
215049_x_at	CD163	CD163 molecule	242000	0,00088
209348_s_at	MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	247174	0,00003
201141_at	GPNMB	glycoprotein (transmembrane) nmb	247427	0,00222
36711_at	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	248249	0,00158
218559_s_at	MAFB	v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)	255924	0,00112
201743_at	CD14	CD14 molecule	277650	0,00006
207067_s_at	HDC	histidine decarboxylase	287939	0,00062
214414_x_at	HBA1	hemoglobin, alpha 1	300021	0,00110
210997_at	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	300060	0,00071
209875_s_at	SPP1	secreted phosphoprotein 1	300324	0,00002
204438_at	MRC1	mannose receptor, C type 1	372470	0,00000
