Gene Symbol	Gene ID	r	P
C8orf34	116328	0.323	7.30E-04
TMCO4	255104	0.323	7.41E-04
TSTA3	7264	0.321	7.92E-04
SLC23A3	151295	0.321	7.98E-04
FBXL6	26233	0.320	8.30E-04
TRIM54	57159	0.314	1.04E-03
KRT86	3892	0.314	1.04E-03
RASL11A	387496	0.313	1.07E-03
ERLIN2	11160	0.310	1.20E-03
ABI1	10006	0.310	1.22E-03
	652745	-0.309	1.25E-03
ZNF696	79943	0.309	1.25E-03
	641835	-0.307	1.37E-03
TRIM10	10107	-0.306	1.40E-03
HIST1H3H	8357	0.305	1.47E-03
CHRM2	1129	-0.305	1.50E-03
C9orf47	286223	0.304	1.55E-03
C14orf104	55172	0.303	1.57E-03
FAM118A	55007	0.303	1.57E-03
C20orf12	55184	0.303	1.59E-03
PAQR6	79957	0.303	1.60E-03
TNFRSF1A	7132	-0.303	1.60E-03
INO80B	83444	0.303	1.62E-03
FAM5B	57795	0.302	1.65E-03
FAM178B	51252	0.302	1.67E-03
ADCK5	203054	0.301	1.72E-03
C12orf64	283310	0.301	1.73E-03
TMED9	54732	0.301	1.74E-03
MS4A15	219995	0.300	1.77E-03
GPR137C	283554	0.300	1.80E-03
ATP2C2	9914	0.300	1.81E-03
HOXC13	3229	0.299	1.85E-03
hCG_1660379	643496	-0.299	1.86E-03
KIAA0391	9692	0.299	1.86E-03
	644408	-0.299	1.87E-03
WIT1	51352	0.299	1.92E-03
EGLN3	112399	0.298	1.93E-03
ZNF766	90321	0.298	1.94E-03
RAB6B	51560	0.297	1.99E-03
HSD17B1	3292	0.296	2.03E-03
LIN7A	8825	0.296	2.04E-03
LOC283547	283547	0.296	2.05E-03
UCN	7349	0.296	2.08E-03
HDAC3	8841	-0.296	2.08E-03
TTTY13	83868	-0.295	2.12E-03
OR4C15	81309	-0.295	2.13E-03
	643943	-0.295	2.15E-03
JPH1	56704	0.294	2.19E-03
SQLE	6713	0.294	2.20E-03
PTCHD1	139411	0.294	2.21E-03
NT5DC3	51559	0.294	2.21E-03
	647625	-0.293	2.28E-03
C16orf48	84080	0.293	2.28E-03
SP1	6667	0.293	2.31E-03
RUFY1	80230	0.293	2.33E-03
C21orf67	84536	0.292	2.36E-03
C21orf59	56683	0.292	2.42E-03
	649858	0.291	2.46E-03
GLI4	2738	0.291	2.48E-03
HIST1H1C	3006	0.291	2.52E-03
HIST1H2BK	85236	0.290	2.54E-03
HIST1H2AI	8329	0.290	2.56E-03
HIST2H4A	8370	0.290	2.58E-03
LOC643790	643790	0.289	2.63E-03
	653941	0.289	2.67E-03
NHP2	55651	0.289	2.67E-03
	647366	-0.288	2.72E-03
HIST1H4B	8366	0.288	2.73E-03
ITIH5L	347365	0.288	2.74E-03
C8orf55	51337	0.287	2.81E-03
ZNF780A	284323	-0.286	2.97E-03
	730432	0.285	3.03E-03
SLC24A2	25769	-0.284	3.14E-03
	643346	-0.284	3.16E-03
	654134	-0.284	3.17E-03
	648480	-0.284	3.21E-03
HIST1H3J	8356	0.284	3.21E-03
	647089	0.284	3.21E-03
ZNF396	252884	0.283	3.29E-03
hCG_1795560	441347	-0.283	3.31E-03
C4orf19	55286	0.282	3.36E-03
ATP6V1B1	525	0.281	3.48E-03
LMF2	91289	-0.281	3.54E-03
	652819	-0.281	3.56E-03
HIST1H4H	8365	0.280	3.65E-03
ACCN1	40	0.280	3.69E-03
	653547	-0.278	3.85E-03
CSTF2	1478	0.278	3.85E-03
SMYD3	64754	0.278	3.90E-03
HCG4	54435	0.278	3.97E-03
LPCAT2	54947	0.277	4.06E-03
LOC389641	389641	0.277	4.06E-03
CYTSA	23384	-0.277	4.11E-03
USP5	8078	-0.276	4.20E-03
C1orf141	400757	-0.276	4.22E-03
NOD2	64127	0.275	4.32E-03
NWD1	284434	0.275	4.35E-03
GCET2	257144	0.274	4.42E-03
TMEM184A	202915	0.274	4.43E-03
ELL3	80237	0.274	4.50E-03
CALML4	91860	0.274	4.54E-03
AGGF1	55109	0.273	4.57E-03
SLC16A4	9122	0.273	4.65E-03
LOC652510	652510	-0.272	4.73E-03
CALCR	799	0.272	4.85E-03
OR6W1P	89883	0.272	4.85E-03
FAM55A	120400	-0.272	4.87E-03
HTR1B	3351	-0.271	4.88E-03
C3orf57	165679	0.271	4.98E-03
TMEM45B	120224	0.271	5.00E-03
DBNDD1	79007	0.271	5.03E-03
	645391	-0.270	5.06E-03
SETD4	54093	0.270	5.06E-03
TEF	7008	-0.270	5.13E-03
HOOK3	84376	0.270	5.16E-03
PTPN3	5774	0.270	5.17E-03
TOMM34	10953	0.270	5.19E-03
OSGIN2	734	0.270	5.20E-03
RAB18	22931	0.269	5.26E-03
KBTBD11	9920	-0.269	5.35E-03
DSCAM	1826	0.269	5.36E-03
RBMY1A1	5940	-0.269	5.38E-03
RBMY1B	378948	-0.269	5.39E-03
ZNF398	57541	-0.268	5.39E-03
GPR172A	79581	0.268	5.40E-03
	641995	-0.268	5.46E-03
CACNA1I	8911	0.268	5.50E-03
LOC400927	400927	0.268	5.53E-03
HMGN1	3150	0.267	5.75E-03
PYCRL	65263	0.265	6.02E-03
OR7D2	162998	0.265	6.08E-03
IRAK2	3656	0.264	6.26E-03
C10orf81	79949	0.264	6.29E-03
	643146	-0.264	6.29E-03
INSIG2	51141	0.264	6.33E-03
TRIB3	57761	0.263	6.35E-03
	729446	-0.263	6.39E-03
SLC38A9	153129	-0.263	6.41E-03
NR1D2	9975	-0.263	6.47E-03
	653729	-0.262	6.67E-03
	647928	-0.262	6.71E-03
GPR112	139378	-0.261	6.79E-03
DOK6	220164	-0.261	6.83E-03
HIST1H4E	8367	0.261	6.88E-03
ADAM9	8754	0.261	6.90E-03
MRPL55	128308	0.260	7.08E-03
CBS	875	0.260	7.11E-03
	643350	-0.260	7.11E-03
PTTG1IP	754	0.260	7.19E-03
BANP	54971	0.260	7.21E-03
GRHL1	29841	0.260	7.23E-03
TTC1	7265	0.259	7.33E-03
KLHDC2	23588	0.259	7.36E-03
OTUD6B	51633	0.259	7.40E-03
OR10H5	284433	-0.258	7.54E-03
PSMA6	5687	0.258	7.54E-03
LOC646278	646278	-0.258	7.68E-03
ATP6V0B	533	0.257	7.75E-03
	650439	-0.257	7.78E-03
DNAJC17	55192	0.257	7.84E-03
GRASP	160622	-0.256	8.01E-03
EML6	400954	-0.256	8.03E-03
CPA2	1358	-0.256	8.05E-03
CNKSR1	10256	0.256	8.07E-03
ARSJ	79642	0.256	8.18E-03
SARNP	84324	0.256	8.19E-03
TMEM212	389177	-0.255	8.23E-03
PPP4R1	9989	-0.255	8.25E-03
C7orf68	29923	0.255	8.27E-03
G2E3	55632	0.255	8.38E-03
FAM71F1	84691	0.254	8.49E-03
FGD1	2245	-0.254	8.52E-03
	651876	0.254	8.57E-03
	647661	-0.254	8.65E-03
C15orf58	390637	0.254	8.67E-03
TRPM2	7226	0.254	8.68E-03
OR4F15	390649	-0.253	8.80E-03
EXOSC4	54512	0.253	8.81E-03
KL	9365	0.253	8.85E-03
C1orf106	55765	0.253	8.99E-03
DOPEY1	23033	-0.252	9.04E-03
LMAN2	10960	0.252	9.05E-03
KCNJ13	3769	0.251	9.38E-03
BEX5	340542	0.251	9.53E-03
PKD1L2	114780	0.251	9.57E-03
	648645	-0.250	9.61E-03
C1orf56	54964	0.250	9.76E-03
MAP1LC3B2	643246	0.250	9.86E-03
ZNF790	388536	-0.250	9.90E-03
TMEM101	84336	-0.250	9.90E-03
	652545	0.249	9.90E-03
