Entrez gene	Gene name	Description	4H 0.5 mM	4H 1 mM	4H 2 mM	4H 3.2 mM	4H 6 mM	4H 8 mM	20H 0.5 mM	20H 1 mM	20H 2 mM	20H 3.2 mM	20H 6 mM	20H 8 mM	48H 0.5 mM	48H 1 mM	48H 2 mM	48H 3.2 mM	48H 6 mM	48H 8 mM
735	C9	Complement component 9	-1.3	-1.1	-1.3	-1.6	-1.8	-1.8	-2	-2	-2.2	1	-2.1	-6.7	-2.5	-2.7	-21.6	-2.1	-2.1	-1.3
771	CA12	Carbonic anhydrase XII	1.2	1.3	1.1	1.3	1.1	1.1	1.6	1.8	2	2.5	1.1	-1.1	1.5	1.9	2.6	4.4	2.4	2.1
133690	CAPSL	Calcyphosine-like	-1.1	-1.2	-1.4	-2	-2.5	-1.5	-1.2	-1.9	-1.8	-4.6	-4.3	-2.6	-1.6	-3.2	-2.6	-7.6	-5.2	-5.4
164592	CCDC116	Coiled-coil domain containing 116	1.1	1.4	3.6	4.6	11.1	11.4	1.5	2.1	2.3	2.4	13.5	14.1	1	1.2	1.4	1.8	8.2	4.5
1236	CCR7	Chemokine (C-C motif) receptor 7	-1.3	-2.7	-3	-4	-2.1	-2	-1.4	-1.9	-2.3	-3.9	-5.6	-4.1	-1.2	-1.7	-2.1	-4.8	-5.6	-3.5
929	CD14	CD14 molecule	1.3	1.3	1.2	1.3	1.1	1.4	1.9	2.1	2.4	1.9	1.2	1.4	1.9	2.1	2.4	2.6	-1.1	-1.3
374286	CDRT1	CMT1A duplicated region transcript 1	1.3	1.5	2.6	2.1	2.8	2.7	2.4	3	2.7	3.9	5.1	3.6	2.3	2.8	3	3.7	6.9	7.7
57530	CGN	Cingulin	-1.1	-1.4	-1.5	-1.6	-1.4	-1.3	-1.4	-1.9	-2.2	-4.1	-5.7	-2.6	-1.2	-1.6	-2.4	-3.8	-6	-5.4
149111	CNIH3	Cornichon homolog 3 (Drosophila)	1.2	1	1.2	1.3	1.3	1	1.8	3.4	2.4	3.8	6.8	4.5	1	-1.1	7.4	1.4	14.9	7.8
1264	CNN1	Calponin 1, basic, smooth muscle	-2.1	-1.5	-1.9	3.2	12.7	13.7	-2.2	-3.2	-3.7	1	21.3	39.3	-1.6	-3.9	-3.3	-2.8	2.8	8.7
1286	COL4A4	Collagen, type IV, alpha 4	-1	-1.1	-1.1	-1.4	-2	-2.1	-1.2	-2.2	-2.2	-2.6	1.2	-2	-1.3	-1.7	-1	1.3	1.3	1.6
1401	CRP	C-reactive protein	-1.1	-1.6	-1.6	-3.9	-4.4	-3.4	-1.5	-1.8	2.3	3.4	-2.9	-4.8	-2.4	-3	2.2	2.3	-9.2	-6.8
1490	CTGF	Connective tissue growth factor	-1.4	-1.9	-1.9	-1.2	2.1	2.7	-1.4	-2.6	-3.8	-7.8	-1.5	2.1	-1.2	-2	-6.9	-25.3	-21.8	-4.4
29119	CTNNA3	Catenin (cadherin-associated protein), alpha 3	-1.1	-1.1	1	-1.1	-1.1	1	-1.4	-1.9	-2.4	-1.9	-2.5	-2.6	-1.1	-1.3	1.1	1.4	1.3	-1.1
83992	CTTNBP2	Cortactin binding protein 2	1.1	1	-1.2	-1.4	1.2	1.3	-2.1	-2.5	-5.3	-24.4	-20.3	-7	-1.4	-1.6	-3.5	-6.8	-7.4	-5.2
1524	CX3CR1	Chemokine (C-X3-C motif) receptor 1	1.5	1.6	2.6	5.3	9.1	8.9	2	3	4	2.7	1.9	1.2	1.5	1.8	2	1.6	2.4	2.9
1528	CYB5A	Cytochrome b5 type A (microsomal)	1.4	1.5	1.3	1.1	-1.1	-1	2.7	3.1	2.1	1.3	-1.6	1.2	2.5	3.1	1.1	-1.2	-5.5	-5.1
1591	CYP24A1	Cytochrome P450, family 24, subfamily A, polypeptide 1	1.2	1.4	1.5	2.5	2	1.3	2.6	3.1	3	7.4	6.6	5	1.2	1.3	1.4	1.6	3.6	3.3
1548	CYP2A6	Cytochrome P450, family 2, subfamily A, polypeptide 6	1.2	1.3	-1.2	1.2	-1	1.2	3.2	2.7	2	1.8	1.7	1.2	3	3.7	-1.7	1.1	3.7	3.2
1549	CYP2A7	Cytochrome P450, family 2, subfamily A, polypeptide 7	1.2	1.2	-1.3	1.2	-1.1	1.3	3.4	2.7	2.1	2.3	1.7	-1	3.4	3.9	-1.6	1.3	3.2	3.8
1555	CYP2B6	Cytochrome P450, family 2, subfamily B, polypeptide 6	1.6	2.1	1.3	1.8	1.5	1.9	3.7	4.1	2.3	1.8	1.9	1.9	3.3	2.8	1.2	-1.1	1.5	2.4
1557	CYP2C19	Cytochrome P450, family 2, subfamily C, polypeptide 19	1.5	1.5	1.5	1.1	1.1	-1	2.4	2.2	1.9	1.1	-1.3	-2	2.7	2.9	1.6	-2.2	-21.8	-15.4
1576	CYP3A4	Cytochrome P450, family 3, subfamily A, polypeptide 4	1.7	1.6	1.6	1.3	1.5	1.4	16.9	16	4.3	3.7	2.5	2.8	16	16.2	2.6	1.9	-1.1	1.1
1551	CYP3A7	Cytochrome P450, family 3, subfamily A, polypeptide 7	1.6	1.7	2	1.5	1.9	1.9	4.3	4	2.9	2.5	2.9	2.8	4.5	4	1.3	-1	-1.3	-1.2
1579	CYP4A11	Cytochrome P450, family 4, subfamily A, polypeptide 22	-1.1	-1.1	-1.9	-1.4	-1.3	-1.1	-1.9	-2	-2.3	-3.4	-2.5	-3.1	-1.4	-1.7	-3.6	-6.3	-4.2	-4.2
4051	CYP4F3	Cytochrome P450, family 4, subfamily F, polypeptide 3	1.4	1.7	1.5	1.2	1.2	1.5	2.6	3.6	2.8	1.4	-3.4	-2	2	2.8	1.6	1.8	-4.5	-7.8
1582	CYP8B1	Cytochrome P450, family 8, subfamily B, polypeptide 1	-1	1.2	-1.9	-1.4	-1.2	1.3	-1.5	-1.8	-3.6	-9.4	-9.4	-4.8	-1	-1.1	-3.8	-15.7	-24.6	-13.9
3491	CYR61	Cysteine-rich, angiogenic inducer, 61	-1.2	-1.5	-2	1.5	2.9	4.2	-1.3	-2.5	-2.7	-2.2	2.8	2.5	1.3	-1.1	-3.1	-5.3	-2.3	-1.8
10170	DHRS9	Dehydrogenase/reductase (SDR family) member 9	1.3	1.2	1.9	2.8	4	3.1	1.5	2.5	3.4	5.2	5.7	7	1.1	1.7	3.3	5.3	7	8.62
29103	DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	-1.1	-1	-1	-1.4	-1.1	1.2	-1.4	-2.7	-2.2	-4.4	-5.7	-4	-2.4	-6.1	-3	-11.1	-17.4	-14.9
26052	DNM3	Dynamin 3	1.1	-1.1	-1.2	-2.2	-2.7	-1.5	-1.8	-1.9	-2.6	-7.4	-8.8	-6.7	-1.8	-2.6	-5.5	-5.3	-4.8	-2.8
90527	DUOXA1	Dual oxidase maturation factor 1	1	1.5	2.7	3.7	2.6	1.7	1.8	2.4	2.4	4.1	8	7.9	1.8	4.1	2.8	4.5	8.4	11.3
144455	E2F7	E2F transcription factor 7	-1.4	-1.6	-1.1	3.8	6.7	4.2	-1.3	-1.9	-1.8	-2.1	4.8	3.8	-1.2	-1.4	-1.8	-1	6.3	7.1
1906	EDN1	Endothelin 1	-1.4	-2	-2.5	-1.5	1.4	2.8	-1.4	-2.1	-4.3	-5.9	-1	2.6	-1.5	-2.3	-14.7	-14	-2.3	1.4
2167	FABP4	Fatty acid binding protein 4, adipocyte	1.3	2.1	1.7	1.4	-1.4	-2	1.4	2.7	3.3	3.7	2.1	-1.2	1.3	2.4	3.2	4	1.4	-1.1
55179	FAIM	Fas apoptotic inhibitory molecule	-1.1	-1.1	-1.2	-1.8	-1.3	-1.3	-1.3	-1.9	-2.1	-3	-3.3	-3.7	-1.6	-2.1	-3.1	-3.1	-2.7	-2.7
356	FASLG	Fas ligand (TNF superfamily, member 6)	1.6	1.4	6.3	4.1	2.6	-1.3	1.6	2.5	2.5	3.3	3.3	3.4	1	-1	-1	-1.2	-1.4	-1.3
10517	FBXW10	F-box and WD repeat domain containing 10	1.1	1.5	3.5	2.8	4.1	5.1	2.7	4.2	4	5	6.7	7.2	2.2	3	4.1	3.5	7.3	8.8
121643	FOXN4	Forkhead box N4	1.3	1.4	1.5	1.4	1.5	1.9	1.8	1.3	-3.3	-3.5	-3.4	-2.6 2.3	2.2	-1.2	-7.1	-9.1	-4.3
2523	FUT1	CDNA FLJ39093 fis, clone NT2RP7020112	4.5	5.9	14.8	8	4.1	1.6	4	18.2	1.3	6	7.1	3.2	3.9	4.8	10.9	25.2	12.9	10
2538	G6PC	Glucose-6-phosphatase, catalytic subunit	1	1.2	-1.2	1.1	2.3	3.3	-1.7	-1.9	-3.4	-3.8	-2.1	1.1 -2.2	-2.3	-2.4	-4.3	-3.8	-3
2617	GARS	Glycyl-tRNA synthetase	1.4	1.4	1.4	1.7	1.2	-1.2	1.4	1.9	1.8	3.7	3.8	2.9	1.5	1.9	3.7	6.8	5	4.4
284161	GDPD1	Glycerophosphodiester phosphodiesterase domain containing 1	1.7	2.3	1.9	5.9	2.2	2.6	-1.1	2.5	2.3	5.5	3.2	8.7	1	1	6.5	7.7	2.3	3.2
168537	GIMAP7	GTPase, IMAP family member 7	-1.7	-2.2	-2.6	-7.6	-2.8	-2.6	-1.8	-2.2	-2.1	-13.4	-14.1	-17	-1.1	-1.6	-2.8	-14.6	-12.5	-15.4
144423	GLT1D1	Glycosyltransferase 1 domain containing 1	1.2	1	1.3	1.8	2.4	1.8	1.7	1.8	2.5	3.9	3.5	3.5	1.3	1.3	3	3.9	4.7	4.7
50810	HDGFRP3	hepatoma-derived growth factor, related protein 3	1.3	1.5	1.8	5	1.5	1	4.1	12	8.3	37.4	52.3	35.1	1.1	2.1	6.1	117.6	92.2	44
3009	HIST1H1B	Histone cluster 1, H1b	1	-1.1	-1.5	-1.2	1	1	-1.5	-4.7	-2.1	-10.2	-10	-10	-1.2	-1.7	-3.4	-8.3	-8.2	-6
3162	HMOX1	Heme oxygenase (decycling) 1	2	2.1	1.1	5.1	2.4	1.8	2.1	1.8	2.5	2.6	3.9	2.9	3.2	3	2.3	1.1	1.7	1.1
3204	HOXA7	Homeobox A7	-1.8	-2.9	-3.5	-3.6	-3.6	-3.1	-1.2	-2.8	-3.3	-2.7	-3.1	-2.2	-1.2	-1.2	-3	-9	-12.4	-9.2
23553	HYAL4	Hyaluronoglucosaminidase 4	1	-1.1	1	-1.4	1	1.1	1.4	1.9	2.1	2.6	-1.1	-1.1	1.3	1.3	1.3	1.8	-1.5	-2
3484	IGFBP1	Insulin-like growth factor binding protein 1	1.1	1.4	2	8	6.4	3.6	-2.2	-2	-1	20.2	31.2	13	-1.3	-1.3	1.2	54.8	67.7	46
3553	IL1B	Interleukin 1, beta	1.6	2.5	8.7	24.4	13.8	6	1.5	3.3	10.4	28.6	65.7	41.8	1.5	2.6	7.5	31	100.9	121.1
3706	ITPKA	Inositol 1,4,5-trisphosphate 3-kinase A	1.2	1.1	1.4	2	1.2	-1.3	1.4	1.8	2.3	6.5	6.6	5.6	1.3	1.8	5.2	9.8	7.2	6.8
3708	ITPR1	Inositol 1,4,5-triphosphate receptor, type 1	1	1.3	1.4	1.1	-1.1	-1.2	1.5	1.9	2.3	3.7	3.1	2.5	-1.1	1.1	2.4	3.7	3.4	3.7
9992	KCNE2	Potassium voltage-gated channel, Isk-related family, member 2	1	1	1.8	1.6	-1	1.6	1.4	2.1	4.2	6	61.2	27.9	1.1	1.4	3.3	5.4	62.3	51.4
57528	KCTD16	Transcribed locus, strongly similar to XP_518011.1 similar to golgi membrane protein SB140; smooth muscle cell associated protein 5 [Pan troglodytes]	1.1	1	-1.3	1.4	-1	-1	-1.1	-1.9	-2.6	-2.6	-2.2	-9.5	1.6	1.6	-1.5	1	-6.2	-2.8
9365	KL	Klotho	-1.1	-1.3	-2.2	-2.3	-1.2	-1.1	-2	-2.8	-5.5	-1.2	1	-1.4	-2	-1.9	-3.8	-1.7	-1.9	-1.1
25984 KRT23	Keratin 23 (histone deacetylase inducible)	1	-1.3	1.3	3	1.6	-4.6	-2.5	1.8	4.4	16.3	5.7 -1.0	-2	-3	-1.8	1	1.1
3910	LAMA4	Laminin, alpha 4	1.1	1.2	1.5	-1.2	-1.7	-1.7	1.3	1.9	2.2	3.1	-1	-1.7	1.1	1.4	2.5	3.4	1.7	-1.1
93273	LEMD1	LEM domain containing 1	1.2	1.1	1	1.3	1	1	2	2.7	2.2	2.3	13	13.9	1	1	1.2	-4	2.9	5.1
4017	LOXL2	Lysyl oxidase-like 2	1.4	1.8	3.7	5.1	5	4.8	1.5	2.4	3.4	3.3	7	7.2	-1	1.1	2.7	4.6	9.4	13.6
2615	LRRC32	Leucine rich repeat containing 32	1.2	1.7	1.6	1.9	3	2.2	1.9	2.6	1.5	2.7	4	2.1	1.5	1.2	1.4	2.5	11.7	8
84230	LRRC8C	Leucine rich repeat containing 8 family, member C	1.7	1.2	2.2	3.4	4.2	2.7	1.4	1.9	2.7	4.7	4.1	7.9	-1.1	1	4.4	5.5	6.5	9.2
347731	LRRTM3	Leucine rich repeat transmembrane neuronal 3	1	1	1	1	1	1	-1.9	-2.7	-1.6	-2.4	1	-1.4	-2.8	-3.8	-3.3	-1.2	1. 2	1.1
57574	4-Mar	Membrane-associated ring finger (C3HC4) 4	-1	1	1	1	1	1	-2.1	-3.1	1.3	1.8	3.8	2.3	1	1	-4	-3.1	2.2	1.9
8735	MYH13	Myosin, heavy chain 8, skeletal muscle, perinatal	2.1	4	2.9	1.1	-1.2	-1.1	9.5	9.6	5.4	5.5	2	1.4	13.9	11.2	2.9	1.7	1.7	1.1
4620	MYH2	Myosin, heavy chain 3, skeletal muscle, embryonic	6.8	4.8	5.9	1.8	1.2	-1.2	17	19.6	8.6	9.5	7.1	3.1	18.9	23.8	9.9	4.3	2.8	2.5
25924	MYRIP	Myosin VIIA and Rab interacting protein	-1.2	-1.1	-1.1	1.2	1.1	1.3	-1.2	-1.9	-1.9	-2.8	-1.5	-1.6	1.1	1.2	1.6	-2.1	-3.2	-2.8
123264	OSTbeta	organic solute transporter beta	1.7	1.9	1.4	1.1	-1.2	1.2	7.4	9.2	7.8	10.3	4.6	4.3	3	6	5.8	6.5	7.5	8.7
5146	PDE6C	Phosphodiesterase 6C, cGMP-specific, cone, alpha prime	-1.6	-1.5	-1.5	-1.9	-2.3	-2.5	-1.7	-2.9	-4.1	-4.9	-4.4	-6.6	-1.1	-1.5	-2.6	-9.1	-8.1	-5.2
8864	PER2	Period homolog 2 (Drosophila)	1.2	1.3	1.7	2.5	3	2.3	1.4	2	2.4	3.5	10.4	5.8	1.1	1.2	2.8	4.7	5.7	5.5
8863	PER3	Period homolog 3 (Drosophila)	1.2	1.5	2.2	2.5	3.4	2.7	1.5	1.9	2.1	2.6	5.3	4.9	1.1	1.4	1.7	2.9	4.5	4
5409	PNMT	Phenylethanolamine N-methyltransferase	1	-1.1	-1.5	-1.4	-1.3	-1.2	-1.3	-1.9	-1.9	-3.1	-3.2	-2.9	-1.4	-1.9	-6.5	-1.3	-1.7	-1.6
5447	POR	P450 (cytochrome) oxidoreductase	1.4	1.4	1.5	1.4	1.4	1.4	2.3	2.6	2.7	3	3.5	2.8	2.2	2.2	2.7	2.9	4.3	4.1
10631	POSTN	Periostin, osteoblast specific factor	-1.4	-1.8	-1.2	1	-1.4	-2.3	-2	-1.8	-1.5	-2.4	-9.2	-6.3	-2.5	-3.6	-1.1	-1.4	-2.9	-6.6
285755	PPIL6	Peptidylprolyl isomerase (cyclophilin)-like 6	1.2	1.5	2.3	2.2	1.7	1.5	1.5	2.3	2.5	6.3	18.4	14.3	1.3	2.1	4.5	11.3	25.3	39.4
81706	PPP1R14C	Protein phosphatase 1, regulatory (inhibitor) subunit 14C	-1.3	-1.6	-1.4	1.3	1.3	1.2	-1.5	-2.3	-3.3	-6.3	-1.9	1.4 -2.0	-2.8	-3.2	-6.3	-4.2	-2.1
58510	PRODH2	Proline dehydrogenase (oxidase) 2	1.2	1.1	1.1	-1.2	-1.3	-1.2	2.4	2.5	1.9	1	-2.3	-2.1	1.7	1.7	-1.2	-3	-11.7	-13.1
84249	PSD2	Pleckstrin and Sec7 domain containing 2	1.7	1.7	3.9	8.1	8.2	2.6	1.5	2.2	2.9	4.2	8.3	3.8	1	1.3	-1.3	3.6	6.9	6
115827	RAB3C	RAB3C, member RAS oncogene family	1.2	1.3	1.2	1	1	1.2	1.8	1.9	2	1.9	1.2	-1.5	1.5	1.7	1.8	1.2	-1.3	-1.5
284654	RSPO1	R-spondin homolog (Xenopus laevis)	-1.1	-1.3	-1.9	-2.9	-2.2	-1.8	-1.4	-1.9	-2.9	-6.9	-4.7	-3.2	-1.5	-1.8	-4.8	-10.3	-18	-9.8
148398	SAMD11	Sterile alpha motif domain containing 11	-1.3	-1.4	-1.5	-1.2	-1.1	-1.1	-1.6	-1.8	-1.9	-2.5	1	1	-1.1	-1.3	-1.5	-2.1	-1.4	-1.3
9805	SCRN1	Secernin 1	1.3	1.3	1.2	-1.7	-4.2	-3.9	1.9	2.5	3.2	4	2.6	-1.1	1.7	2.5	4.2	10.1	13.8	5.9
10110	SGK2	Serum/glucocorticoid regulated kinase 2	1.3	1.5	1.4	1.1	1.2	1.5	1.9	2.5	2.4	2.1	-1.2	-1.5	2	2.6	2.6	2.2	-1.6	-2.3
6563	SLC14A1	Solute carrier family 14 (urea transporter), member 1 (Kidd blood group)	1.1	1.1	-1.2	-1.9	-1.9	-2.1	1.1	-1.9	-2.2	-2.1	-1.4	-1.5	-1.2	-2.1	-1.3	-2.2	-3.1	-1.5
5172	SLC26A4	Solute carrier family 26, member 4	1.2	1.3	1.8	-1.7	-2	-1.9	1.7	2.5	2.6	1.9	3.9	3.6	-1.5	1.2	3	2.9	2.7	2.6
11001	SLC27A2	Solute carrier family 27 (fatty acid transporter), member 2	1.2	1.3	1.1	-1.1	-1.3	-1.2	2.1	2.3	1.4	-2.2	-6.7	-3.9	2.1	3	1.2	-1.8	-5.9	-5
219855	SLC37A2	Solute carrier family 37 (glycerol-3-phosphate	1	1.3	1.8	2.3	1	-1.4	1.2	1.8	2.2	3.7	4.2	3.8	-1	1.2	1.6	3.1	3.2	2.9
6519	SLC3A1	Solute carrier family 3 (cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	-1.1	-1	-1.4	-3	-4.4	-5	-1.5	-2	-2	-4.4	-13.1	-13.7	-1.3	-1.9	-1.3	-2.6	-6.2	-7.2
6520	SLC3A2	Solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2	1.4	1.5	2	3	3	2.7	1.4	1.9	2.4	3.6	5.3	5.2	1.4	1.6	3.1	5.1	7.3	8
115584	SLC5A11	Solute carrier family 5 (sodium/glucose cotransporter), member 11	1.5	1.2	1.9	1.2	1.2	-1.1	3	3.8	3.2	2.9	1.5	1.3	1.6	2.2	1.5	1.8	2.4	1.4
23657	SLC7A11	Solute carrier family 7, (cationic amino acid transporter, y+ system) member 11	1.4	1.5	1.9	2.6	1.4	-1.2	2	4.1	2.2	11.1	3.1	5	2.1	3.3	3.5	14.3	10.7	6
6578	SLCO2A1	Solute carrier organic anion transporter family, member 2A1	1.6	1.6	2.9	7.7	11.6	7.1	1.2	2.9	2.5	4.7	14.1	11	-1	1.2	1.6	4.3	6	2.7
6696	SPP1	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	1.4	1.2	1.5	1.5	-2.6	-4.1	2	2.3	3.3	2.9	-1.4	-2.6	2.5	3.3	17.4	5.8	-3.9	-9.5
342667	STAC2	SH3 and cysteine rich domain 2	-1.1	-1.1	-1.4	-1.9	-1.1	-1.1	-1.5	-2.2	-2.7	-11.7	-15.5	-7	-1.5	-2.4	-3.4	-7.4	-15	-16.3
8614	STC2	Stanniocalcin 2	1.8	2.2	3.2	5.4	6	5.5	1.7	2.2	2.4	8.9	9.6	11.6	1.2	1.2	2.5	7	10.8	9.1
55359	STYK1	Serine/threonine/tyrosine kinase 1	1	-1.8	1.4	1.2	1.4	1.3	-1.4	-2.5	-2.1	-4.3	1.3	1.7	1.4	-1.3	-3.6	-2.4	2.4	2.5
6783	SULT1E1	Sulfotransferase family 1E, estrogen-preferring, member 1	-2.1	-3.5	-8.7	-12.1	-10	-11.9	-2.2	-4.2	-7.1	-5.4	-6.4	-15.8	-1.8	-3	-4.6	-28.5	-31.4	-24.1
90019	SYT8	Synaptotagmin VIII	-1	-1.5	-1.1	1.2	-1.2	-1	-1.8	-2.7	-1.8	-4	-4.5	-4.9	-2.5	-3.7	-3	-11.3	-12.3	-8.2
389932	tAKR	aldo-keto reductase, truncated	1.2	1.4	2.3	1.9	2.8	3.1	1.5	2.1	2.1	2	1.5	1.2	1.3	1.8	2.2	-1.7	-13.4	-12
79816	TLE6	Transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)	-1	1.1	-1	1	1.1	1.2	2	2.2	2	1.7	1.1	-1	1.5	1.9	2.7	2.1	1.3	-1
8600	TNFSF11	Tumor necrosis factor (ligand) superfamily, member 11	1.4	1.4	3.7	13.6	20	11.7	2.3	2.1	3.1	10.1	29.2	28	1.8	3	4.4	6	18.2	19.4
7136	TNNI2	Troponin I type 2 (skeletal, fast)	-1.4	-1.3	1.2	-1	-1.6	-1.7	-1.7	-2.6	-3.1	-8.6	-7.8	-5.8	-1.5	-4.5	-3.3	-9.3	-11	-5.6
11074	TRIM31	Tripartite motif-containing 31	3.1	2.5	4	1.4	2.8	1.8	4	3.3	4.4	12.8	22.2	15.4	5.9	7	18.6	24.5	18.3	37.6
114088	TRIM9	Tripartite motif-containing 9	1.3	1.3	1.6	2	1.7	-1	1.4	2	2.2	3.2	1.7	1.7	1.2	1.6	2.2	2.8	2.4	1.7
79054	TRPM8	Transient receptor potential cation channel, subfamily M, member 8	2.1	2.1	5.4	3.3	1.5	-1.2	2	4.1	4.5	8.8	2.5	1.9	1.7	2.4	2.4	2.4	2	-1.8
25987	TSKU	Tsukushin	1.8	2	1.8	2.4	1.9	1.6	2.2	2.2	2.3	2.3	-1.1	-1.3	2.3	2.6	2.3	1.4	-1.2	-1.5
219699	UNC5B	Unc-5 homolog B (C. elegans)	1.4	1.4	1.7	2.8	1.4	1.2	1.3	2.7	2.5	13.3	24.4	15	1.5	2.1	5.3	46.4	34.6	24.6
7378	UPP1	Uridine phosphorylase 1	1.2	1.1	1.7	6.2	7.3	6.2	1.4	2	3.1	12.2	25.7	18.7	1.3	1.4	3.8	13.5	47.2	96.5
257313	UTS2D	Urotensin 2 domain containing	-1.7	-2.6	-1.8	-2	-2.4	-2.1	-1.5	-2.1	-3.8	-3.9	-4.3	-4.6	1	1	-2	-3.1	-3.1	-2
7429	VIL1	Villin 1	-1.4	-2.2	-2.7	-2.9	-4.8	-4.4	-1.6	-2.1	-2.3	-3.5	-4.7	-4.9	1	-1.5	-1.7	-8.2	-13.6	-11.8
8565	YARS	Transcribed locus, strongly similar to XP_001106675.1 similar to NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 6, 14 kDa [Macaca mulatta]	1.3	1.2	1.2	1.6	1.3	1.2	1.6	2	1.9	2.9	3.7	3.5	1.9	2.1	3.5	5.9	5.8	5.1
79413	ZBED2	Zinc finger, BED-type containing 2	1.1	-1.2	-1.1	1	1	1	-2.7	-4.7	-3.9	-18.6	-32.1	-35	-1.3	-1.3	-5.6	-11	-8.5	-7.6
84215	ZNF541	Zinc finger protein 541	-1.2	-1.3	-1.9	-2.3	-2.3	-2.1	-1.5	-2.3	-2.7	-5.6	-5.2	-3.4	-1	-1.5	-4.4	-13.2	-8.4	-6.3
