Gene Symbol	Fold change	Regulation	Probe Set ID
TARP /// TRGC2	2.3675156	up	215806_x_at
FAM69A	2.5099254	down	216044_x_at
RIMS1	2.464737	down	216184_s_at
NHP2	2.3047683	down	216583_x_at
TARP /// TRGC2	2.6486413	up	216920_s_at
IFIT2	6.560725	up	217502_at
SLC7A11	7.120732	up	217678_at
CMPK1	2.4132667	down	217870_s_at
CDC27	2.333893	down	217879_at
CCDC92	2.3289862	down	218175_at
MUC13	2.353235	up	218687_s_at
SCML1	2.931155	down	218793_s_at
RPP21 /// TRIM39R	3.0158484	down	218836_at
TNFRSF21	2.5684812	up	218856_at
DDX58	4.972566	up	218943_s_at
DDX60	4.2247334	up	218986_s_at
ALG13	2.9004266	down	219015_s_at
OSBPL10	2.3112519	down	219073_s_at
IFIH1	3.3956707	up	219209_at
DHX58	2.3532383	up	219364_at
LIN7C	2.6197846	down	219399_at
WFDC1	3.6215708	down	219478_at
GCNT3	2.3380349	up	219508_at
ATP8A2	2.362144	up	219659_at
SAMD9	3.399673	up	219691_at
HERC5	2.3735688	up	219863_at
GPR87	4.6001353	up	219936_s_at
ACE2	2.6924803	up	219962_at
ZC3HAV1	4.1676474	up	220104_at
STEAP4	3.6815522	up	220187_at
AIDA	2.9209714	down	220199_s_at
KLF4	2.3989844	up	220266_s_at
DUSP10	2.6395402	up	221563_at
LIN7C	2.5457737	down	221568_s_at
GDF15	6.405331	up	221577_x_at
ATF1	2.7664263	down	222103_at
ACE2	2.854036	up	222257_s_at
ISG20	3.5810635	up	33304_at
SFI1	2.426184	up	36545_s_at
BTN3A3	2.5550716	up	38241_at
CYBRD1	2.7863097	up	222453_at
PPIL1	2.7566168	down	222500_at
MUC13	3.461822	up	222712_s_at
SCML1	2.5856798	down	222747_s_at
DDX58	5.901522	up	222793_at
NFKBIZ	2.456519	up	223217_s_at
NFKBIZ	3.5662887	up	223218_s_at
RRM2B	2.3968062	up	223342_at
GBP3	2.6361382	up	223434_at
SLC25A39	2.4247017	down	223649_s_at
TMEM27	5.035465	up	223784_at
DCBLD2	2.6886013	up	224911_s_at
TMEM173	2.3906674	up	224916_at
CHCHD10	3.0621202	down	224932_at
FOSL2	2.3880877	up	225262_at
ZCRB1	2.444222	down	225394_s_at
DOCK8	2.430395	up	225502_at
RPL22L1	2.4454098	down	225541_at
PAG1	2.4516244	up	225626_at
ZC3HAV1	2.406791	up	225634_at
JAZF1	2.43739	down	225798_at
JAZF1	2.303583	down	225800_at
TP53INP1	2.3225935	up	225912_at
KLHDC5	2.4003386	up	225961_at
STEAP4	3.7809808	up	225987_at
OTUD1	2.696608	up	226140_s_at
IL7R	6.6879487	up	226218_at
MXD1	4.1784544	up	226275_at
PRSS23	4.6865377	up	226279_at
CCDC34	2.410729	down	226287_at
LAMP2	2.6304278	up	226671_at
NAPRT1	2.3074086	down	226707_at
IFIT2	9.2571125	up	226757_at
MBTPS2	2.3894005	down	226760_at
AIDA	2.7734246	down	226801_s_at
ACPL2	2.607566	up	226925_at
C12orf73	2.7131352	down	226943_at
ZNF697	2.4688375	up	227080_at
SLC2A13	2.304366	up	227176_at
EGR1	2.5630577	up	227404_s_at
UBLCP1	2.4814615	down	227413_at
ZCRB1	2.4233394	down	227416_s_at
PLEKHA3	2.3360493	down	227658_s_at
SYTL4	2.3589435	up	227703_s_at
KATNAL1	3.3931231	up	227713_at
DDX60L	2.342366	up	228152_s_at
FOSL2	2.4832342	up	228188_at
SORCS1	2.3963537	up	228194_s_at
SAMD9	3.9448957	up	228531_at
MXD1	2.423824	up	228846_at
VANGL1	2.5194638	up	229134_at
PCGF5	2.591687	down	229194_at
PGM2L1	2.376156	up	229256_at
KPNA5	2.3718426	down	229317_at
PRSS23	3.9412348	up	229441_at
IFIT3	8.448827	up	229450_at
CHCHD4	2.7885032	down	229595_at
SEPP1	2.300169	up	229620_at
HSPA5	2.702873	up	230031_at
LOC100133660	2.5312903	up	230082_at
CREM	3.0161777	up	230511_at
SLC16A6	2.376965	up	230748_at
RIMS1	2.7573667	down	231986_at
PNKD	2.797675	up	233177_s_at
IL1RL1	2.532385	up	234066_at
C12orf59	3.105224	up	236646_at
GKN2	16.76224	up	238222_at
LRIG2	2.3917878	up	238653_at
TEX19	6.363028	up	241367_at
LOC344887	3.243845	up	241418_at
FLJ27352	2.3200321	up	243309_at
LOC100130476	4.5665793	up	243871_at
UBLCP1	2.353806	down	243916_x_at
TTC39C	2.3231869	down	1552307_a_at
CARD16	2.4314451	up	1552701_a_at
SH2D1B	2.3139255	up	1553177_at
RHEBL1	3.1046357	up	1570253_a_at
RHEBL1	2.3860514	up	1553713_a_at
SPINK6	4.267866	up	1553973_a_at
FGFR1OP2	3.626861	down	1556283_s_at
ATF3	2.626018	up	1554980_a_at
PTGS2	3.3184834	up	1554997_a_at
SLC39A6	4.2631946	down	1555460_a_at
CCL5	5.256571	up	1555759_a_at
SLC39A6	3.3042738	down	1556551_s_at
ZNF831	2.9773664	down	1558826_at
BRE	3.4961345	up	1568768_s_at
