Curated Gene Symbol	Average change	Abbreviation	Gene	Function
ELAVL4	-3.4	ELAVL4	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 4 (Hu antigen D)	Development
TPM4	-3.2	TPM4	Tropomyosin 4	Development
LARP1	-3.2	LARP	Likely ortholog of mouse la related protein	Development
BHLHE40	5.3	BHLHB2	Basic helix–loop–helix domain containing, class B, 2	Gene expression
EGR1	5	EGR1	Early growth response 1	Gene expression
FOS	4.9	FOS	V-fos FBJ murine osteosarcoma viral oncogene homolog	Gene expression
ELL2	4.3	ELL2	ELL-RELATED RNA POLYMERASE II, ELONGATION FACTOR	Gene expression
SOX9	3.3	SOX9	SRY (sex determining region Y)-box 9	Gene expression
PTRF	3.2	PTRF	Polymerase I and transcript release factor	Gene expression
	-10.7	hnRNPA3	Heterogeneous nuclear ribonucleoprotein A3	Gene expression
HNRNPH3	-9.7	HNRPH3	Heterogeneous nuclear ribonucleoprotein H3 (2H9)	Gene expression
HNRNPD	-9.6	HNRPD	Heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA-binding protein 1, 37 kDa)	Gene expression
U2AF2	-8.8	U2AF2	U2 small nuclear ribonucleoprotein auxiliary factor (65 kDa)	Gene expression
ADNP	-8.2	ADNP	Activity-dependent neuroprotector	Gene expression
SRSF3	-7.5	SFRS3	Splicing factor, arginine/serine-rich 3	Gene expression
QKI	-6.9	QKI	Homolog of mouse quaking QKI (KH domain RNA binding protein)	Gene expression
ANP32B	-6.8	ANP32B	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member B (APRIL)	Gene expression
TCF4	-6.7	TCF4	Transcription factor 4	Gene expression
BRD1	-6.5	BRD1	Bromodomain-containing 1	Gene expression
ATF1	-6.4	ATF1	Activating transcription factor 1	Gene expression
PATZ1	-6.1	ZNF278	Zinc finger protein 278	Gene expression
HSPB1	-6	HSPB1	Heat shock 27 kDa protein 1	Gene expression
RUNX1T1	-5.9	CBFA2T1	Core-binding factor, runt domain, alpha subunit 2; translocated to, 1; cyclin D-related	Gene expression
IGF2BP3	-5.9	IMP-3	IGF-II mRNA-binding protein 3	Gene expression
SCAF8	-5.8	RBM16	RNA binding motif protein 16	Gene expression
PTBP2	-5.8	PTBP2	Neural polypyrimidine tract binding protein	Gene expression
TCF3	-5.7	TCF3	Transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	Gene expression
CREBBP	-5.3	CREBBP	CREB binding protein (Rubinstein–Taybi syndrome)	Gene expression
PCGF2	-5	RNF110	Ring finger protein 110	Gene expression
SYNCRIP	-4.9	SYNCRIP	NS1-associated protein 1	Gene expression
BAZ1A	-4.8	BAZ1A	Bromodomain adjacent to zinc finger domain, 1A	Gene expression
ARID1A	-4.7	ARID1A	AT-rich interactive domain 1A (SWI- like)	Gene expression
NCOA2	-4.7	NCOA2	Nuclear receptor coactivator 2	Gene expression
SET	-4.6	SET	SET translocation (myeloid leukemia-associated)	Gene expression
SMARCA4	-4.6	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	Gene expression
ZMYND11	-4.5	BS69	Adenovirus 5 E1A binding protein	Gene expression
EIF5A	-4.5	EIF5A	Eukaryotic translation initiation factor 5A	Gene expression
E2F3	-4.5	E2F3	E2F transcription factor 3	Gene expression
RBPMS	-4.4	RBPMS	RNA-binding protein gene with multiple splicing	Gene expression
LRRC41	-4.3	MUF1	MUF1 protein	Gene expression
KAT6B	-4.3	MYST4	MYST histone acetyltransferase (monocytic leukemia) 4	Gene expression
SLTM	-4.3	FLJ13213	Hypothetical protein FLJ13213	Gene expression
CERS2	-4.2	LASS2	Longevity assurance (LAG1, S. cerevisiae) homolog 2	Gene expression
PHF2	-4.2	PHF2	PHD finger protein 2	Gene expression
HNRNPUL1	-4.1	HNRPUL1	E1B-55 kDa-associated protein 5	Gene expression
PRPF4B	-4	PRPF4B	PRP4 pre-mRNA processing factor 4 homolog B	Gene expression
RBMX	-4	RBMX	RNA binding motif protein, X-linked	Gene expression
NFIB	-4	NFIB	Nuclear factor I/B	Gene expression
RBM39	-3.9	RNPC2	Splicing factor (CC1.3)	Gene expression
PTBP1	-3.8	PTBP1	Polypyrimidine tract binding protein	Gene expression
SRSF10	-3.8	FUSIP1	FUS-interacting protein (serine–arginine rich) 1	Gene expression
SMARCC1	-3.8	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1	Gene expression
SRSF1	-3.7	SFRS1	Splicing factor, arginine/serine-rich 1 (splicing factor 2, alternate splicing factor)	Gene expression
DICER1	-3.7	DICER1	Dicer1, Dcr-1 homolog (Drosophila)	Gene expression
SMARCB1	-3.7	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1	Gene expression
TOP2B	-3.6	TOP2B	Topoisomerase (DNA) II beta (180 kDa)	Gene expression
HIF1A	-3.6	HIF1A	Hypoxia-inducible factor 1, alpha subunit (basic helix–loop–helix transcription factor)	Gene expression
ILF3	-3.6	ILF3	Interleukin enhancer binding factor 3, 90 kDa	Gene expression
HMGB3	-3.5	HMGB3	High-mobility group (nonhistone chromosomal) protein 4	Gene expression
	-3.5	KIAA1196	KIAA1196 protein	Gene expression
E2F5	-3.5	E2F5	E2F transcription factor 5, p130-binding	Gene expression
TFDP1	-3.5	TFDP1	Transcription factor Dp-1	Gene expression
PMF1	-3.5	PMF1	Polyamine-modulated factor 1	Gene expression
CNOT3	-3.4	CNOT3	CCR4-NOT transcription complex, subunit 3	Gene expression
TCF12	-3.4	TCF12	Transcription factor 12 (HTF4, helix–loop–helix transcription factors 4)	Gene expression
H2AFY2	-3.3	H2AFY2	Core histone macroH2A2.2	Gene expression
FOXM1	-3.3	FOXM1	Forkhead box M1	Gene expression
SRSF4	-3.3	SFRS4	Splicing factor, arginine/serine-rich 4	Gene expression
TLX2	-3.1	TLX2	T-cell leukemia, homeobox 2	Gene expression
SNRPB	-3.1	SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	Gene expression
EWSR1	-3.1	EWSR1	Ewing sarcoma breakpoint region 1	Gene expression
MEIS1	-3.1	MEIS1	Meis1 (mouse) homolog	Gene expression
MEIS2	-3	MEIS2	Meis (mouse) homolog 2	Gene expression
DDX39B	-3	BAT1	HLA-B associated transcript 1	Gene expression
TRIP13	-3	TRIP13	Thyroid hormone receptor interactor 13	Gene expression
IGFBP3	6	IGFBP3	Insulin-like growth factor binding protein 3	Growth
	-10.9	HDGFRP3	CGI-142	Growth
TGFB1I1	-5.2	TGFB1I1	Transforming growth factor beta 1 induced transcript 1	Growth
HDGF	-4.2	HDGF	Hepatoma-derived growth factor (high-mobility group protein 1-like)	Growth
INHBC	-3.5	INHBC	Inhibin, beta C	Growth
MKI67	-3.3	MKI67	Antigen identified by monoclonal antibody Ki-67	Growth
ALDOC	11.9	ALDOC	Aldolase C, fructose-bisphosphate	Metabolism
DHRS2	6.4	HEP27	Short-chain alcohol dehydrogenase (DHRS2)	Metabolism
HBA2	5.8	HBA2	Hemoglobin, alpha 2	Metabolism
NEU1	4.9	NEU1	Sialidase 1 (lysosomal sialidase)	Metabolism
P4HA1	4	P4HA1	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I	Metabolism
BLVRB	3.7	BLVRB	Biliverdin reductase B (flavin reductase (NADPH))	Metabolism
P4HA2	3.7	P4HA2	Procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II	Metabolism
CHST6	3.4	CHST6	Carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 6	Metabolism
GLA	3.2	GLA	Galactosidase, alpha	Metabolism
SLC20A1	-10.4	SLC20A1	Solute carrier family 20 (phosphate transporter), member 1	Metabolism
SEPHS1	-9.2	SEPHS1	SELENOPHOSPHATE SYNTHETASE; Human selenium donor protein	Metabolism
ZNF423	-9.2	ZNF423	Zinc finger protein 423	Metabolism
PAIP1	-9.2	PAIP1	Polyadenylate binding protein-interacting protein 1	Metabolism
CTBP2	-7.3	CTBP2	C-terminal binding protein 2	Metabolism
UNG	-5.5	UNG	Uracil-DNA glycosylase	Metabolism
UBE2E3	-5.3	UBE2E3	Ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)	Metabolism
UBQLN2	-5.2	UBQLN2	Ubiquilin 2	Metabolism
MRPS6	-5	MRPS6	Mitochondrial ribosomal protein S6	Metabolism
USP46	-4.9	USP46	Ubiquitin-specific protease 46	Metabolism
USP7	-4.8	USP7	Ubiquitin-specific protease 7 (herpes virus-associated)	Metabolism
UBE2E1	-4.8	UBE2E1	Ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	Metabolism
SEH1L	-4.6	SEC13L	Sec13-like protein	Metabolism
SIAH1	-4.6	SIAH1	Seven in absentia (Drosophila) homolog 1	Metabolism
AUTS2	-4.4	AUTS2	Autism susceptibility candidate 2	Metabolism
	-4.4	LOC221061	Hypothetical protein LOC221061	Metabolism
UBE2J1	-4.2	UBE2J1	Non-canonical ubiquitin conjugating enzyme 1	Metabolism
CTBP1	-4.1	CTBP1	C-terminal binding protein 1	Metabolism
MTMR4	-4	MTMR4	Myotubularin related protein 4	Metabolism
DCK	-4	DCK	Deoxycytidine kinase	Metabolism
CMPK1	-3.9	UMP-CMPK	UMP–CMP kinase	Metabolism
ADSS	-3.8	ADSS	Adenylosuccinate synthase	Metabolism
FKBP4	-3.8	FKBP4	FK506-binding protein 4 (59 kDa)	Metabolism
SENP6	-3.8	SENP6	SUMO-1-specific protease	Metabolism
GPX7	-3.8	GPX7	Glutathione peroxidase 7	Metabolism
PABPN1	-3.6	PABPN1	Poly(A)-binding protein, nuclear 1	Metabolism
OTUB1	-3.5	OTUB1	OTU domain, ubiquitin aldehyde binding 1	Metabolism
TYMS	-3.5	TYMS	Thymidylate synthetase	Metabolism
FADS1	-3.4	FADS1	Fatty acid desaturase 1	Metabolism
MEPCE	-3.3	FLJ20257	Hypothetical protein FLJ20257	Metabolism
DIMT1	-3.3	HSA9761	Putative dimethyladenosine transferase	Metabolism
MTMR1	-3.2	MTMR1	Myotubularin-related protein 1	Metabolism
MRPL9	-3.2	MRPL9	Mitochondrial ribosomal protein L9	Metabolism
DDC	-3.1	DDC	Dopa decarboxylase (aromatic l-amino acid decarboxylase)	Metabolism
CAD	-3.1	CAD	Carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Metabolism
KLHL23	-3.1	MGC22679	Hypothetical protein MGC22679	Metabolism
UCK2	-3	UCK2	Uridine monophosphate kinase	Metabolism
ERBB3	14.3	ERBB3	V-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3	Signaling
NDRG1	10.1	NDRG1	N-myc downstream regulated	Signaling
PCDH9	9.1	PCDH9	Protocadherin 9	Signaling
ADM	7.6	ADM	Adrenomedullin	Signaling
STC1	7	STC1	Stanniocalcin 1	Signaling
DUSP5	5.5	DUSP5	Dual specificity phosphatase 5	Signaling
EPAS1	4.8	EPAS1	Endothelial PAS domain protein 1	Signaling
CXCR4	4.5	CXCR4	Homo sapiens CXCR4 gene encoding receptor CXCR4	Signaling
ENPP2	3.5	ENPP2	Ectonucleotide pyrophosphatase/phosphodiesterase 2 (autotaxin)	Signaling
ANGPTL4	3.3	ANGPTL4	Angiopoietin-like 4	Signaling
RGS16	3.3	RGS16	Regulator of G-protein signaling 16	Signaling
GOLGA8A	3.2	GOLGIN-67	Golgin-67	Signaling
RGS4	3.1	RGS4	Regulator of G-protein signaling 4	Signaling
ARHGDIA	-10.1	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha	Signaling
CHRNA3	-7.8	CHRNA3	Cholinergic receptor, nicotinic, alpha polypeptide 3	Signaling
RCN1	-5.8	RCN1	Reticulocalbin 1, EF-hand calcium binding domain	Signaling
EFS	-5.7	EFS	Signal transduction protein (SH3 containing)	Signaling
SUMO3	-5.2	SMT3H1	SMT3 (suppressor of mif two 3, yeast) homolog 1	Signaling
	-4.9	Cab45	Calcium binding protein Cab45 precursor	Signaling
ZNF532	-4.7	ZNF532	Zinc finger protein 532	Signaling
ANP32E	-4.6	ANP32E	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member E	Signaling
ANP32A	-4.5	ANP32A	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A	Signaling
VEZF1	-4.4	ZNF161	Zinc finger protein 161	Signaling
TBL1XR1	-4.3	IRA1	Likely ortholog of mouse IRA1 protein	Signaling
WSB2	-3.9	WSB2	CS box-containing WD protein	Signaling
PTPRC	-3.8	PTPRC	Protein tyrosine phosphatase, receptor type, C	Signaling
AES	-3.7	AES	Amino-terminal enhancer of split	Signaling
	-3.7	TRIM8 / GERP	Ring finger protein 27	Signaling
ITPKB	-3.6	ITPKB	Inositol 1,4,5-trisphosphate 3-kinase B	Signaling
HMMR	-3.6	HMMR	Hyaluronan-mediated motility receptor (RHAMM)	Signaling
FAM208A	-3.5	RAP140	Retinoblastoma-associated protein 140	Signaling
BMPR1A	-3.5	BMPR1A	Bone morphogenetic protein receptor, type IA	Signaling
TIMELESS	-3.3	TIMELESS	Timeless (Drosophila) homolog	Signaling
TNS3	-3.3	TENS1	Tumor endothelial marker 6	Signaling
RHOBTB3	-3.2	RHOBTB3	Rho-related BTB domain containing 3	Signaling
IRAK1	-3.2	IRAK1	Interleukin-1 receptor-associated kinase 1	Signaling
RASL11B	-3.1	RASL11B	RAS-like, family 11, member B	Signaling
NEFM	4.7	NEF3	Neurofilament 3 (150 kDa medium)	Structure
MAP1LC3B	3	MAP1LC3B	Microtubule-associated protein 1 light chain 3 beta	Structure
TMPO	-14.6	TMPO	Thymopoietin	Structure
LAMB1	-5.8	LAMB1	Laminin, beta 1	Structure
DLG5	-5	DLG5	Discs, large (Drosophila) homolog 5	Structure
LMNB1	-4.6	LMNB1	Lamin B1	Structure
CKAP4	-4.2	CKAP4	Cytoskeleton-associated protein 4	Structure
PNN	-4	PNN	Pinin, desmosome associated protein	Structure
SCHIP1	-4	SCHIP1	Schwannomin-interacting protein 1	Structure
DBN1	-3.9	DBN1	Drebrin 1	Structure
WIPF1	-3.7	WASPIP	Wiskott–Aldrich syndrome protein interacting protein	Structure
VCAN	-3.4	CSPG2	Chondroitin sulfate proteoglycan 2 (versican)	Structure
NEXN	-3.3	NEXN	Nexilin (F actin binding protein)	Structure
SERPINH1	-3.3	SERPINH1	Serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1	Structure
COIL	-3.3	COIL	Coilin	Structure
ANK3	-3.3	ANK3	Ankyrin 3, node of Ranvier (ankyrin G)	Structure
	-3		Beta 5-tubulin	Structure
SLC38A1	-5.7	SLC38A1	Amino acid transporter system A1	Transport
KPNB1	-4.4	KPNB1	Karyopherin (importin) beta 1	Transport
SLC25A13	-4.3	SLC25A13	Solute carrier family 25, member 13 (citrin)	Transport
NBEA	-4.1	NBEA	Neurobeachin	Transport
TXNDC15	-3.6	FLJ22625	Hypothetical protein FLJ22625	Transport
	-3.4	DKFZp586G0123	DKFZp586G0123: calcium-binding transporter	Transport
SLC7A1	-3.1	SLC7A1	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	Transport
FAM162A	7.5	E2IG5	Growth and transformation-dependent protein, estradiol-induced	Unknown
AAMDC	3.5	PTD015	PTD015 protein	Unknown
PDS5A	-6.7	KIAA0648	KIAA0648 protein	Unknown
	-6.3	FLJ20373	Hypothetical protein FLJ20373	Unknown
	-5.8	FLJ11539	Hypothetical protein FLJ11539	Unknown
CCDC75	-5.3	FLJ38348	Hypothetical protein FLJ38348	Unknown
	-5.2	LOC90806	LOC90806: similar to RIKEN cDNA 2610307I21	Unknown
LUC7L2	-4.9	LUC7L2	CGI-74 protein	Unknown
FAM216A	-4.7	HSU79274	Protein predicted by clone 23733	Unknown
KIAA0368	-4.7	KIAA0368	KIAA0368 protein	Unknown
FAM120A	-4.6	C9orf10	Chromosome 9 open reading frame 10	Unknown
FAM60A	-4.4	TERA	TERA protein	Unknown
LSM14A	-4	C19orf13	Chromosome 19 open reading frame 13	Unknown
STRAP	-4	UNRIP	CGI-26 protein	Unknown
SUV420H1	-3.9	CGI-85	CGI-85 protein	Unknown
CASC3	-3.6	CASC3	Cancer susceptibility candidate 3	Unknown
SETD1B	-3.5	KIAA1076	KIAA1076 protein	Unknown
ARHGEF40	-3.2	FLJ10357	FLJ10357: hypothetical protein FLJ10357	Unknown
HDDC2	-3.1	C6orf74	Chromosome 6 open reading frame 74	Unknown
ZC3H4	-3.1	C19orf7	Chromosome 19 open reading frame 7	Unknown
