Curated Gene Symbol	Category	Gene symbol	Ratio	Gene title
SSR1	DNA repair, cell cycle, cell growth	SSR1	2.66	Signal sequence receptor, alpha
ARHGDIB	Immune response	ARHGDIB	1.78	Rho GDP dissociation inhibitor (GDI) beta
HLA-DRA	Immune response	HLA-DRA	2.16	Major histocompatibility complex, class II, DR alpha
IL2RG	Immune response	IL2RG	2.43	Interleukin 2 receptor, gamma
BCLAF1	Apoptosis	BCLAF1	6.42	BCL2-associated transcription factor 1
FXR1	Apoptosis	FXR1	3.32	Fragile X mental retardation, autosomal homolog 1
VDAC1	Apoptosis	VDAC1	1.94	Voltage-dependent anion channel 1
ANP32A	Signal transduction	ANP32A	3.2	Acidic (leucine-rich) nuclear phosphoprotein 32 family, member A
OGT	Signal transduction	OGT	2.74	O-linked N-acetylglucosamine (GlcNAc) transferase
PIP5K1A	Signal transduction	PIP5K1A	4.25	Phosphatidylinositol-4-phosphate 5-kinase, type I, alpha
PLEK	Signal transduction	PLEK	2.95	Pleckstrin
PTPN11	Signal transduction	PTPN11	2.61	Protein tyrosine phosphatase, non-receptor type 11
SPTLC1	Signal transduction	SPTLC1	2.62	Serine palmitoyltransferase, long chain base subunit 1
SRPR	Signal transduction	SRPR	2.52	Signal recognition particle receptor
CDC5L	Transcription regulation	CDC5L	4.37	CDC5 cell division cycle 5-like
HNRNPC	Transcription regulation	HNRPC	4.4	Heterogeneous nuclear ribonucleoprotein C (C1/C2)
MED6	Transcription regulation	MED6	2.45	Mediator of RNA polymerase II transcription, subunit 6 homolog
MED6	Transcription regulation	MED6	2.45	Mediator of RNA polymerase II transcription, subunit 6 homolog
NONO	Transcription regulation	NO NO	2.68	Non-POU domain containing, octamer-binding
POLR1C	Transcription regulation	POLR1C	2.67	Polymerase (RNA) I polypeptide C, 30 kDa
PRPF4	Transcription regulation	PRPF4	2.51	PRP4 pre-mRNA processing factor 4 homolog
CBX5	Chromosome organization	CBX5	2.68	Chromobox homolog 5 (HP1 alpha homolog, Drosophila)
CANX	Protein modification	CANX	2.56	Calnexin
COPA	Protein modification	COPA	6.55	Coatomer protein complex, subunit alpha
EIF2S3	Protein modification	EIF2S3	2.4	Eukaryotic translation initiation factor 2, subunit 3 gamma
EIF4B	Protein modification	EIF4B	2.86	Eukaryotic translation initiation factor 4B
RANBP2	Protein modification	RANBP2	3.96	RAN binding protein 2
SEC23IP	Protein modification	SEC23IP	2.67	SEC23 interacting protein
ATP13A3	Energy pathway	AFURS1	2.83	ATPase family homolog up-regulated in senescence cells
CYB5B	Energy pathway	CYB5-M	2.54	Cytochrome b5 outer mitochondrial membrane precursor
TOMM22	Energy pathway	TOMM22	3.07	Translocase of outer mitochondrial membrane 22 homolog
HMGCS1	Lipid metabolism	HMGCS1	2.58	3-Hydroxy-3-methylglutaryl-Coenzyme A synthase 1
SCD	Lipid metabolism	SCD	2.56	Stearovl-CoA desaturase
ENTPD1	Purine biosynthesis	ENTPD1	2.36	Ectonucleoside triphosphate diphosphohydrolase 1
GART	Purine biosynthesis	GART	2.64	Phosphoribosylglycinamide formyltransferase
PAICS	Purine biosynthesis	PAICS	1.79	Phosphoribosylaminoimidazole carboxylase
BANF1	Unclassified	BANF1	2.77	Barrier to autointegration factor 1
DDX39B	Unclassified	BAT1	1.95	HLA-B associated transcript 1///HLA-B associated transcript 1
SMG7	Unclassified	C1orf16	2.37	Chromosome 1 open reading frame 16
CALU	Unclassified	CALU	2.4	Calumenin
DAZAP2	Unclassified	DAZAP2	2.57	DAZ associated protein 2
DDX18	Unclassified	DDX18	2.34	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
DHX9	Unclassified	DHX9	9.37	DEAH (Asp-Glu-Ala-His) box polypeptide 9
EXOSC2	Unclassified	EXOSC2	3.03	Exosome component 2
TSR1	Unclassified	FLJ10534	2.07	Hypothetical protein FLJ10534
FANCI	Unclassified	FLJ10719	2.42	Hypothetical protein FLJ10719
WDR76	Unclassified	FLJ12973	2.76	Hypothetical protein FLJ12973
GANAB	Unclassified	GANAB	2.07	Glucosidase, alpha; neutral AB
NCKAP1L	Unclassified	HEM1	2.37	Hematopoietic protein 1
IGHM	Unclassified	IGHM	2.76	Anti-HIV-1 gp120 V3 loop antibody DO142-10 light chain variable region
IGKC	Unclassified	IGKC	3.15	Anti-rabies virus immunoglobulin rearranged kappa chain V-region
LIN7C	Unclassified	LIN7C	3.51	lin-7 homolog C (C.elegans)
	Unclassified	LOC54499	2.31	Putative membrane protein
M6PR	Unclassified	M6PR	3.59	Mannose-6-phosphate receptor
NBPF15	Unclassified	MGC8902	2.27	Hypothetical protein MGC8902/
MOB1A	Unclassified	MOBK1B	2.67	MOB1, Mps one binder kinase activator-like 1B (yeast)
GNL3	Unclassified	NS	2.15	Nucleostemin
NUSAP1	Unclassified	NUSAP1	3.25	Nucleolar and spindle associated protein 1
TUBB	Unclassified	OK/SW-cl.56	1.85	Beta 5-tubulin
SIGMAR1	Unclassified	OPRS1	2.76	Opioid receptor, sigma 1
PEG10	Unclassified	PEG 10	2.5	Paternally expressed 10
PEX19	Unclassified	PEX19	2.34	Peroxisomal biogenesis factor 19
PGK1	Unclassified	PGK1	2.11	Phosphoglycerate kinase 1
RPE	Unclassified	RPE	2.35	Ribulose-5-phosphate-3-epimerase
ERGIC3	Unclassified	SDBCAG84	3.16	Serologically defined breast cancer antigen 84
SMU1	Unclassified	SMU1	2.7	smu-1 suppressor of mec-8 and unc-52 homolog (C.elegans)
TAGLN2	Unclassified	TAGLN2	2.03	Transgelin 2
UBC	Unclassified	UBC	2.65	Ubiquitin C
XPNPEP1	Unclassified	XPNPEP1	2.84	X-prolyl aminopeptidase
YWHAE	Unclassified	YWHAE	6.39	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation  protein, epsilon polypeptide
YWHAZ	Unclassified	YWHAZ	2.5	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide
