Symbol	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	EZH2 Knockdown Normalized	EZH2 Knockdown Raw	EZH2 Knockdown+Tsa Normalized	EZH2 Knockdown+Tsa Raw	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	DZNep Normalized	DZNep Raw	DZNep+TSA Normalized	DZNep+TSA Raw	CTRL Normalized	CTRL Raw	TSA Normalized	TSA Raw	DZNep Normalized	DZNep Raw	DZNep+TSA Normalized	DZNep+TSA Raw	Map	RefSeq
IRAK2	1	18.1	1.4740801	28.5	1.4220994	27.3	8.761349	175.8	1	39.3	1.157755	50.9	3.090984	136.2	9.50978	500.2	1	204.2	0.91022545	189.4	1.1297511	215.9	0.38159612	84.4	3p25.3	NM_001570
IFITM1	0.99999994	455.5	1.0648292	518.1	5.461947	2638.7	7.626133	3850.9	1	206.3	1.4567665	336.2	7.0573163	1632.4	1.0829073	299	1	251.1	0.91608465	234.4	0.2383017	56	0.31988195	87	11p15.5	NM_003641
IL28A	1	-2.8	0.9361702	-0.9	76.27715	80.9	264.6615	293.4	0.99999994	7	0.12770072	0.1	28.132816	220.8	17.48377	163.8	1	7.5	0.13084692	-4.1	1.8093736	12.7	0.12309941	-0.8	19q13.13	NM_172138
PLAU	1	210.2	1.2537198	281.5	1.1227267	250.3	4.878022	1136.7	1	95.2	1.446023	154	5.2586017	561.3	9.001354	1146.9	1	870.1	0.8922508	791.1	0.32666177	266	0.08679633	81.8	10q24	NM_002658
CRYM	1	4.5	0.20803782	-7.4	0.98476195	4.7	3.9690204	19.8	1	-7.5	6.7042894	7.5	0.89189184	-5.8	40.19774	53.8	1	-13	0.9813519	-10.3	5.128934	4.8	0.9232456	0	16p13.11-p12.3	NM_001014444
CD14	1	8.3	1.2971033	11.5	3.328399	29.3	4.336361	39.9	1	9.2	0.7967415	8.2	3.7226791	38.4	12.580064	154.9	1	279.4	0.99013275	281.9	0.26694074	69.8	0.17215852	52.1	5q22-q32	NM_000591
CCL5	1	33.3	1.4562647	51.8	10.235523	361.5	8.129286	300.1	1	23.4	0.9626671	25.2	9.170478	240.6	5.453701	170.8	1	16.2	0.55731094	9.2	0.85746056	13	0.1481752	2.6	17q11.2-q12	NM_002985
HLA-DPA1	1	0.4	6.740425	7.2	4.9028573	5.2	37.34487	41.4	1	-10.9	1.5196388	1.7	46.91351	52.6	107.443	143.8	1	-12.4	3.5328667	3.6	1.0685278	-12.7	1.7541666	1.9	6p21.3	NM_033554
CXCL10	1	22.6	0.8201845	19.8	4.9646025	119	20.216301	506.5	1	24.3	1.2213025	33.2	3.1564896	86	31.92844	1038.4	1	24.5	0.3645022	9.1	0.5451672	12.5	0.5953992	15.8	4q21	NM_001565
IRF1	1	364.8	1.3234184	515.7	3.8474154	1488.6	19.255112	7787	0.99999994	464.6	1.2511978	650.3	8.310948	4329.3	24.276423	15095.4	1	480.9	1.0693042	524	1.3431587	604.5	1.925204	1002.8	5q31.1	NM_002198
CD274	1	-5	0.9361702	-2.2	0.94285715	-7.5	4.8710704	5.4	1	-2.8	0.9832956	1.1	0.89189184	-6.5	16.213587	21.7	1	9.7	0.1011703	-3	0.11015752	0.8	0.14276995	1.5	9p24	NM_014143
SOD2	1	854.2	1.0127778	924.1	0.9207813	834.2	3.6595223	3465.4	0.99999994	524.9	1.1491848	674.8	4.9274087	2899.9	5.2804365	3709.6	0.99999994	787.6	0.90385044	725.4	4.181992	3082.5	1.8155442	1548.8	6q25.3	NM_000636
IL28B	1	-1.2	0.9361702	-5.7	33.754284	35.8	77.84693	86.3	1	-2.2	0.89390516	-6.1	84.997284	95.3	43.70944	58.5	1	-5.2	0.9813519	-7.1	1.0685278	-3.6	0.9232456	-6.5	19q13.13	NM_172139
GBP1	0.99999994	4.4	0.70212764	3.3	9.57857	44.7	32.637802	159.2	1	13.2	0.09480812	1.4	6.8175673	100.9	26.977358	476.6	0.99999994	230.6	0.7949546	186.8	2.5216515	544.2	1.0589697	264.5	1p22.2	NM_002053
LCP2	1	-0.9	0.9361702	-4.1	0.94285715	-1	4.6906605	5.2	1	7.8	0.11460323	-8.3	1.1091474	9.7	3.4580548	36.1	1	7.2	0.13629887	-4.8	0.8755992	5.9	0.12822856	0.5	5q33.1-qter	NM_005565
TFPI2	1	2.3	1.9944496	4.9	0.40993786	-0.6	6.706546	17.1	1	-3.9	0.89390516	-7.5	10.435134	11.7	55.365284	74.1	1	-6.4	0.9813519	-16.4	1.0685278	-14.1	0.9232456	-12.3	7q22	NM_006528
IFNB1	1	1.6	0.5851064	-2	35.12143	59.6	104.637825	185.6	1	-7.1	9.117831	10.2	123.97298	139	100.7185	134.8	1	-0.1	0.9813519	-2.8	1.0685278	-7	0.9232456	-6.9	9p21	NM_002176
CCL2	1	15.2	0.80683094	13.1	0.9118421	14.7	6.3143506	106.4	1	-2.2	19.576525	21.9	88.56485	99.3	197.17807	263.9	1	12.9	0.5781608	7.6	1.0105457	12.2	1.6031551	22.4	17q11.2-q12	NM_002982
IFIT1	1	54.3	0.9154814	53.1	37.226364	2143.9	32.900734	1980.5	1	14.7	1.447275	23.8	71.2482	1174.3	58.96035	1160	0.99999994	123.2	1.0466691	131.4	1.085874	125.2	1.8607296	248.3	10q25-q26	NM_001001887
IL1R1	1	-6	0.9361702	-4.4	9.145715	9.7	0.90205	-1.6	1	-1.5	0.89390516	-1.4	14.716217	16.5	26.524525	35.5	1	695.9	1.0483359	743.4	0.6909578	450	0.6366799	479.9	2q12	NM_000877
ENTPD1	1	0.2	0.9361702	-2.3	3.3942857	3.6	7.306606	8.1	1	-1.6	0.89390516	-0.8	7.1351347	8	23.760002	31.8	1	-14.3	0.9813519	-10	1.0685278	-8.3	0.9232456	-13.7	10q24	NM_001776
IL15	1	-2.7	3.6510637	3.9	27.719995	29.4	28.41458	31.5	1	6.2	3.0709965	21.3	4.401918	30.6	13.822642	114.7	1	90.5	1.049667	96.8	0.8560029	72.5	1.4190437	139.1	4q31	NM_000585
APOL3	1	-0.6	0.9361702	-3.9	73.73141	78.2	106.98315	118.6	1	10.6	1.8637078	22.1	17.972462	213.6	12.21552	173.3	1	49.6	0.9061677	45.8	0.9931277	46.1	0.65520656	35.2	22q13.1	NM_014349
OAS2	1	6.5	1.281833	8.9	52.930542	364.9	76.16078	548.8	1	11.8	1.3711596	18.1	44.435863	587.9	29.449883	465.1	1	16.8	1.5946968	27.3	0.2607717	4.1	0.5220734	9.5	12q24.2	NM_001032731
CCL20	1	15.3	1.3216519	21.6	1.4358542	23.3	61.93487	1050.5	1	5.8	2.0806413	13.5	14.224138	92.5	336.25223	2610.2	1	1972.3	1.0254861	2061	1.6829462	3106.4	0.63844985	1363.9	2q33-q37	NM_004591
IL8	1	-8.2	0.9361702	-5.8	0.94285715	-5.9	33.466057	37.1	1	-6.9	0.89390516	-9.3	2.5864863	2.9	1858.2864	2487.1	1	530.1	1.1583322	625.7	5.076163	2518.3	1.5558108	893.3	4q13-q21	NM_000584
PSMB8	1	17.2	1.1919839	21.9	2.5928566	47.3	4.394871	83.8	0.99999994	32.4	1.310509	47.5	3.757507	136.5	2.5205448	109.3	1	492	1.1598701	581.5	1.2307616	566.7	0.5107875	272.2	6p21.3	NM_004159
KLRA1	1	5.6	0.668693	4	3.6367347	21.6	3.44712	21.4	1	4.6	1.1659632	6	4.575793	23.6	8.41378	51.8	1	33.1	1.1977831	40.4	0.6908307	21.4	0.8563033	30.7	12p13-p12	NM_006611
C3	0.99999994	8.1	2.4733384	21.4	1.9904761	17.1	9.6998205	87.1	1	0.3	5.0952587	5.7	45.75405	51.3	353.11243	472.6	1	5789.3	1.3670411	8064.6	0.8783845	4759.1	1.7262954	10824.9	19p13.3-p13.2	NM_000064
OAS3	1	172.6	0.9969182	183.8	2.38828	437.2	4.321583	826.9	1	144.4	0.8994766	145.3	3.3007414	534.4	2.9540114	570.9	1	60.3	0.6721365	41.3	0.5067976	28.6	0.55731577	36.4	12q24.2	NM_006187
TNFRSF14	1	0.8	0.9361702	-3.6	0.94285715	0.3	5.141685	5.7	0.99999994	29.8	1.3198599	44	3.1605294	105.6	1.6121818	64.3	1	315.1	0.91314626	293.2	0.514087	151.6	0.07705921	26.3	1p36.3-p36.2	NM_003820
IL29	1	-6.6	0.9361702	-13.4	82.12286	87.1	139.27654	154.4	1	1.3	1.6502866	2.4	67.715164	98.7	21.09318	36.7	1	3.5	0.9533133	3.4	0.30529368	-0.9	0.26378447	-7.5	19q13.13	NM_172140
BST2	1	711.7	1.2451576	946.6	3.3751822	2547.7	4.896825	3863.5	1	185	1.5041765	311.3	5.6314526	1168.1	2.3598447	584.3	1	1136.9	0.98989743	1146.8	0.63337225	673.9	0.56544626	696.3	19p13.2	NM_004335
IL23A	1	4.3	0.9361701	4.3	1.3375413	6.1	10.593842	50.5	1	7.5	0.7985552	6.7	1.6767566	14.1	11.107925	111.5	1	-8.4	0.9813519	-7.1	6.304314	5.9	0.9232456	-10.2	12q13.2	NM_016584
IFIT2	1	36.3	1.4390715	55.8	82.42856	3173.5	52.55001	2114.7	0.99999994	17.9	0.9088868	18.2	101.19233	2030.9	117.898384	2824.5	1	215.2	0.8965325	196.6	2.5968406	523	1.0064751	234.6	10q23-q25	NM_001547
OAS1	1	18.2	0.55552953	10.8	16.753841	323.4	25.024452	504.9	1	14.3	1.3127278	21	25.615385	410.7	30.090569	575.9	1	29.6	0.59345263	17.9	0.40791774	11.3	0.6830769	21.9	12q24.1	NM_001032409
CFB	1	88.4	3.428035	323.7	2.0275695	190.1	28.45335	2788.4	1	81.5	3.168702	288.9	4.0775323	372.6	22.706627	2476.8	1	545.9	1.1454797	637.2	0.37679353	192.5	0.5773878	341.4	6p21.3	NM_001710
ADORA2A	1	53.1	1.2112032	68.7	1.5767554	88.8	5.8217053	342.7	1	28.3	1.4403559	45.6	2.7355556	86.8	7.925809	300.2	1	21.7	1.1305896	25	1.1226927	22.8	0.71051615	16.7	22q11.23	NM_000675
MGLL	1	-0.1	0.9361702	-7.4	21.874289	23.2	17.31936	19.2	1	-4.3	20.7386	23.2	17.124323	19.2	0.7471698	-6.2	1	-3.3	0.9813519	-18.9	1.2822335	1.2	0.9232456	-11.9	3q21.3	NM_001003794
ABCG2	1	3.8	0.24636059	-3.4	6.327068	25.5	3.1096992	13.1	1	-10.2	0.89390516	-3.1	2.1405406	2.4	15.840001	21.2	1	-23.1	0.9813519	-23.2	1.0685278	-38.7	0.9232456	-30.2	4q22	NM_004827
IFIT3	1	0.4	5.1489363	5.5	444.9343	471.9	431.90158	478.8	1	-5.4	0.89390516	-3.1	279.16208	313	388.0053	519.3	1	121.5	0.8262741	102.3	1.4458106	164.4	0.3214262	42.3	10q24	NM_001031683
ISGF3G	1	796.7	0.9889303	841.6	4.4155817	3731.1	5.6540313	4993.7	1	639.2	0.94075406	672.7	6.9537425	4983.6	4.238599	3626.1	1	1213.9	1.0882262	1346.1	1.0452894	1187.5	0.75333613	990.5	14q11.2	NM_006084
IFNA5	1	-0.2	0.9361702	-1.4	2.1685715	2.3	4.8710704	5.4	1	-6.8	1.9665912	2.2	11.594593	13	13.897359	18.6	1	11.4	0.1893837	2.2	0.8060825	8.6	0.251058	3.1	9p22	NM_002169
