Significant regulation	Affy ID	Gene	Human product	EC-specific expression (q-value)	EC/Non-EC Transcript ratio (per million)	Glioblastoma	Lung cancer (adenocarcioma)	Colon cancer	Renal carcinoma (clear cell)
Up E7 to E10	Gga.2431.1.S1_at	C1orf115	chromosome 1 open reading frame 115	0.57	4.571428571	-1	-1	-1	-1
Up E7 to E10	GgaAffx.12362.1.S1_s_at	C1orf144	chromosome 1 open reading frame 144	0.38	2.072580645	1	0	-1	0
Up E5 to E7	Gga.6277.1.S1_at	C8orf4	chromosome 8 open reading frame 4	0.1	--	1	0	1	0
Up E10 to E14	Gga.14964.1.S1_at	CABLES1	Cdk5 and Abl enzyme substrate 1	0.29	9.142857143	-1	0	0	0
Up E7 to E10	Gga.4593.3.A1_a_at	CAP1	CAP, adenylate cyclase-associated protein 1 (yeast)	0.01	2.194779116	0	0	-1	0
Up E7 to E10	GgaAffx.11627.1.S1_s_at	CCPG1	cell cycle progression 1	0.32	4.363636364	-1	0	0	0
Up E7 to E10	GgaAffx.9549.1.S1_at	CDC2L6	cell division cycle 2-like 6 (CDK8-like)	0.57	4.571428571	-1	0	0	1
Down E7 to E10	GgaAffx.12087.1.S1_s_at	CENPL	centromere protein L	0.29	--	1	0	0	0
Up E7 to E10	Gga.17614.1.S1_at	CHD3	chromodomain helicase DNA binding protein 3	0.32	4.363636364	-1	1	0	0
Up E7 to E10	Gga.17590.1.S1_s_at	CLIC2	chloride intracellular channel 2	0.29	2.924242424	-1	1	0	0
Up E7 to E10	Gga.16544.1.S1_s_at	CLIC2	chloride intracellular channel 2	0.29	2.924242424	0	0	-1	0
Down E5 to E7	GgaAffx.5110.6.S1_s_at	COL4A5	collagen, type IV, alpha 5	0.62	2.133333333	1	0	0	0
Up E5 to E7	Gga.3040.1.S1_at	COL5A2	collagen, type V, alpha 2	0.48	2.205479452	1	1	0	1
Down E10 to E14	Gga.10960.1.S1_at	COLEC12	collectin sub-family member 12	0.29	--	-1	-1	0	1
Up E7 to E10	Gga.5001.1.S1_at	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	0.25	3.271186441	-1	-1	0	0
Up E5 to E7	Gga.18046.1.S1_at	CTSK	cathepsin K	0.32	4.363636364	1	0	1	0
Up E5 to E7	Gga.483.1.S1_at	CTSK	cathepsin K	0.32	4.363636364	1	0	1	0
Down E10 to E14	GgaAffx.23892.1.S1_s_at	CUL1	cullin 1	0.42	2.439393939	0	0	1	1
Down E10 to E14	Gga.2200.1.S1_at	CYR61	cysteine-rich, angiogenic inducer, 61	0	6.005050505	1	-1	1	0
Up E7 to E10	Gga.7235.1.S1_at	DHRS3	dehydrogenase/reductase (SDR family) member 3	0.62	2.133333333	1	0	0	0
Down E10 to E14	GgaAffx.22916.1.S1_at	DISP1	dispatched homolog 1 (Drosophila)	0.29	--	1	0	0	0
Down E10 to E14	Gga.2406.1.S1_at	DPY19L1	dpy-19-like 1 (C. elegans)	0.02	--	1	0	0	1
Down E10 to E14	GgaAffx.12419.1.S1_s_at	DTL	denticleless homolog (Drosophila)	0.29	--	1	-1	-1	1
Down E10 to E14	Gga.9377.1.S1_at	ECOP	EGFR-coamplified and overexpressed protein	0	8.675675676	1	0	0	0
Up E7 to E10	Gga.5255.1.S1_at	EFEMP1	EGF-containing fibulin-like extracellular matrix protein 1	0	15.90526316	1	-1	-1	0
Up E7 to E10	GgaAffx.12884.1.S1_at	EIF4B	eukaryotic translation initiation factor 4B	0.02	2.407166124	0	0	0	0
Down E7 to E10	GgaAffx.12469.1.S1_at	ELOVL6	ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	0.44	4.266666667	1	0	0	0
Up E5 to E7	Gga.1939.1.S1_at	EMP1	epithelial membrane protein 1	0	19.86818182	1	-1	0	0
Up E7 to E10	GgaAffx.24545.1.S1_at	ENC1	ectodermal-neural cortex (with BTB-like domain)	0.01	4.090909091	-1	1	1	1
Up E7 to E10	Gga.3035.1.S1_at	EPAS1	endothelial PAS domain protein 1	0.02	4.898305085	1	-1	-1	0
Down E10 to E14	Gga.3035.1.S1_at	EPAS1	endothelial PAS domain protein 1	0.02	4.898305085	1	-1	-1	0
Up E7 to E10	GgaAffx.12694.1.S1_at	EXOC8	exocyst complex component 8	0.29	--	0	0	0	0
Down E10 to E14	Gga.5308.1.S1_at	EXOSC3	exosome component 3	0.57	4.571428571	1	0	1	0
Up E7 to E10	Gga.16202.1.S1_at	FAM65A	family with sequence similarity 65, member A	0.22	3.082191781	-1	-1	0	0
Up E7 to E10	GgaAffx.13211.1.S1_s_at	FBXO32	F-box protein 32	0.57	4.571428571	1	0	0	0
Up E7 to E10	GgaAffx.3112.1.S1_s_at	FLII	flightless I homolog (Drosophila)	0.19	2.920454545	1	0	0	0
Up E5 to E7	Gga.15805.1.S1_at	FLT4	fms-related tyrosine kinase 4	0.62	2.133333333	1	0	0	0
Up E7 to E10	GgaAffx.24465.1.S1_at	FNBP4	formin binding protein 4	0.59	2.206896552	1	0	0	1
Down E10 to E14	Gga.17508.1.S1_at	FSTL1	follistatin-like 1	0	4.623287671	1	0	0	0
Down E10 to E14	GgaAffx.8095.1.S1_at	GNPTAB	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	0.1	8.6	-1	0	0	0
Up E5 to E7	Gga.1761.1.S1_at	GPR116	G protein-coupled receptor 116	0.57	4.571428571	0	-1	0	0
Up E10 to E14	Gga.6962.1.S1_at	GPR137B	G protein-coupled receptor 137B	0.1	--	1	0	0	0
Up E10 to E14	GgaAffx.11756.1.S1_at	GPR137B	G protein-coupled receptor 137B	0.1	--	1	0	0	0
Up E10 to E14	Gga.4451.1.S1_at	GSN	gelsolin (amyloidosis, Finnish type)	0	6.542372881	0	-1	-1	0
Down E10 to E14	GgaAffx.843.1.S1_s_at	GTF2IRD1	GTF2I repeat domain containing 1	0.57	4.571428571	1	1	1	0
Down E10 to E14	Gga.9693.1.S1_at	HEATR2	HEAT repeat containing 2	0.62	2.133333333	1	1	1	0
Up E7 to E10	Gga.9980.2.S1_a_at	HEXIM1	hexamethylene bis-acetamide inducible 1	0.29	--	-1	0	-1	0
Up E5 to E7	Gga.6311.1.S1_at	HEY1	hairy/enhancer-of-split related with YRPW motif 1	0.01	--	1	0	0	1
Down E5 to E7	GgaAffx.9721.1.S1_s_at	HISPPD1	histidine acid phosphatase domain containing 1	0.29	9.142857143	0	0	0	1
Up E7 to E10	Gga.3381.1.S2_at	HOXA3	homeobox A3	0.57	4.571428571	1	0	0	0
Down E10 to E14	Gga.9290.1.S2_at	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	0.57	4.571428571	1	1	0	1
Down E10 to E14	Gga.9290.1.S1_at	HS2ST1	heparan sulfate 2-O-sulfotransferase 1	0.57	4.571428571	1	1	0	1
Up E7 to E10	Gga.7770.1.S1_at	HSD17B8	hydroxysteroid (17-beta) dehydrogenase 8	0.57	4.571428571	0	1	0	0
Down E10 to E14	GgaAffx.11965.1.S1_s_at	HSPD1	heat shock 60kDa protein 1 (chaperonin)	0	2.550868486	1	1	1	-1
Up E7 to E10	Gga.7471.1.S1_at	HSPG2	heparan sulfate proteoglycan 2	0.18	5.863636364	1	0	0	1
Down E5 to E7	GgaAffx.10937.1.S1_at	HSPH1	heat shock 105kDa/110kDa protein 1	0.48	2.205479452	-1	0	1	0
Up E7 to E10	Gga.13148.1.S1_at	IL17RC	interleukin 17 receptor C	0.53	2.909090909	1	0	0	0
Up E5 to E7	Gga.3209.3.S1_at	IPMK	inositol polyphosphate multikinase	0.57	4.571428571	0	0	0	0
Down E10 to E14	GgaAffx.24058.1.S1_at	IPO8	importin 8	0.1	--	0	0	0	0
Up E7 to E10	Gga.3363.1.S1_at	IRF2	interferon regulatory factor 2	0.59	2.206896552	0	0	0	0
Up E5 to E7	Gga.2967.1.S2_at	ITGA6	integrin, alpha 6	0.01	6.945945946	1	-1	1	0
Down E7 to E10	Gga.12177.2.S1_a_at	IWS1	IWS1 homolog (S. cerevisiae)	0.29	3.156862745	0	0	0	0
Up E10 to E14	GgaAffx.12606.1.S1_s_at	JAM2	junctional adhesion molecule 2	0	--	1	-1	0	0
Up E7 to E10	Gga.9174.3.S1_s_at	KCTD10	potassium channel tetramerisation domain containing 10	0.05	6.655172414	-1	0	0	0
Up E7 to E10	GgaAffx.21985.1.S1_at	KIAA1324L	KIAA1324-like	0.29	--	-1	0	0	0
Down E10 to E14	GgaAffx.11490.1.S1_s_at	KIAA1524	KIAA1524	0.1	--	0	0	0	0
Down E10 to E14	Gga.9398.1.S1_at	KIF15	kinesin family member 15	0.57	4.571428571	1	1	0	0
Down E7 to E10	GgaAffx.7711.1.S1_at	KIF18A	kinesin family member 18A	0.44	4.266666667	-1	-1	0	0
Down E10 to E14	GgaAffx.12208.1.S1_s_at	KIF20A	kinesin family member 20A	0.26	3.659090909	1	1	0	1
Down E5 to E7	Gga.5687.2.S1_a_at	KIF2C	kinesin family member 2C	0.57	2.181818182	1	1	1	0
Down E10 to E14	GgaAffx.26234.1.S1_s_at	KNTC1	kinetochore associated 1	0.57	4.571428571	1	0	0	0
Up E7 to E10	GgaAffx.26564.1.S1_at	KSR1	kinase suppressor of ras 1	0.57	4.571428571	-1	0	-1	0
Up E7 to E10	Gga.3673.1.S2_at	LDB2	LIM domain binding 2	0	8.675675676	-1	-1	0	0
Down E10 to E14	GgaAffx.26771.1.S1_s_at	LIMA1	LIM domain and actin binding 1	0.38	2.072580645	1	0	-1	0
Down E10 to E14	GgaAffx.21814.1.S1_s_at	LIMS1	LIM and senescent cell antigen-like domains 1	0.62	2.133333333	1	0	0	1
Up E7 to E10	GgaAffx.22707.2.S1_s_at	LPHN2	latrophilin 2	0.12	13.71428571	0	-1	0	0
Up E10 to E14	Gga.8737.1.S1_at	MAL2	mal, T-cell differentiation protein 2	0.59	2.206896552	-1	0	0	-1
Up E5 to E7	GgaAffx.24899.1.S1_s_at	MAOA	monoamine oxidase A	0.44	4.266666667	-1	-1	0	0
Up E7 to E10	Gga.5972.1.S1_at	MBD2	methyl-CpG binding domain protein 2	0.62	2.133333333	1	0	0	1
Down E10 to E14	GgaAffx.7758.2.S1_s_at	METAP1	methionyl aminopeptidase 1	0.26	3.659090909	AMB	1	0	0
Up E7 to E10	Gga.1644.1.S1_a_at	MGLL	monoglyceride lipase	0.1	4.411764706	-1	0	-1	0
Up E7 to E10	Gga.17146.1.S1_at	MGLL	monoglyceride lipase	0.1	4.411764706	-1	0	-1	0
Up E7 to E10	Gga.18923.1.S1_at	MMP15	matrix metallopeptidase 15 (membrane-inserted)	0.29	--	0	0	0	0
Up E7 to E10	GgaAffx.6568.1.S1_at	MMRN1	multimerin 1	0	--	1	-1	0	0
Down E7 to E10	Gga.10898.1.S1_s_at	MTIF2	mitochondrial translational initiation factor 2	0.26	3.659090909	0	0	0	0
Up E7 to E10	GgaAffx.10146.1.S1_s_at	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae)	0.12	13.71428571	0	0	0	0
Up E7 to E10	GgaAffx.12290.1.S1_s_at	MVP	major vault protein	0.01	3.887096774	1	0	0	0
Up E7 to E10	GgaAffx.12659.1.S1_at	MXD1	MAX dimerization protein 1	0.29	--	-1	0	0	AMB
Up E7 to E10	Gga.1030.1.S1_at	MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	0.03	6.081081081	1	1	AMB	0
Up E7 to E10	Gga.1964.1.S1_s_at	MYO10	myosin X	0.3	2.643835616	1	0	0	0
Down E10 to E14	GgaAffx.24061.2.S1_s_at	MYO10	myosin X	0.3	2.643835616	1	0	0	0
Down E10 to E14	Gga.1964.1.S1_s_at	MYO10	myosin X	0.3	2.643835616	1	0	0	0
Up E7 to E10	GgaAffx.23778.1.S1_s_at	NAT12	N-acetyltransferase 12 (GCN5-related, putative)	0.12	13.71428571	-1	0	0	-1
Down E5 to E7	GgaAffx.9403.1.S1_s_at	NAT13	N-acetyltransferase 13 (GCN5-related)	0.13	3.042105263	0	0	0	0
Down E10 to E14	GgaAffx.9403.1.S1_s_at	NAT13	N-acetyltransferase 13 (GCN5-related)	0.13	3.042105263	0	0	0	0
Up E10 to E14	GgaAffx.12517.1.S1_at	NET1	neuroepithelial cell transforming 1	0.3	3.486486486	0	1	0	0
Up E7 to E10	Gga.710.1.S1_a_at	NFIA	nuclear factor I/A	0.57	4.571428571	1	-1	0	0
Down E5 to E7	Gga.9666.1.S1_a_at	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5	0.11	3.520547945	1	0	1	0
Down E10 to E14	Gga.2325.2.S1_s_at	NUPL1	nucleoporin like 1	0	8.675675676	1	0	0	0
Up E7 to E10	Gga.7238.1.S1_s_at	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	0	5.950617284	1	0	-1	0
Up E7 to E10	Gga.7238.2.S1_s_at	OGDH	oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide)	0	5.950617284	1	0	-1	0
Down E10 to E14	Gga.7812.2.S1_a_at	ORC6L	origin recognition complex, subunit 6 like (yeast)	0.29	9.142857143	1	1	0	0
Down E10 to E14	GgaAffx.23250.1.S1_s_at	PAPSS1	3-phosphoadenosine 5-phosphosulfate synthase 1	0	17.13333333	0	-1	0	0
Down E10 to E14	Gga.18504.1.S1_at	PARVA	parvin, alpha	0.26	3.659090909	0	0	0	0
Down E10 to E14	Gga.16689.1.S1_s_at	PARVB	parvin, beta	0.05	6.655172414	0	0	0	0
Up E7 to E10	Gga.4916.1.S1_s_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.53	2.186440678	-1	0	-1	0
Up E10 to E14	GgaAffx.20739.1.S1_at	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)	0.53	2.186440678	-1	0	-1	0
Up E5 to E7	GgaAffx.24123.1.S1_at	PDE3A	phosphodiesterase 3A, cGMP-inhibited	0.29	--	0	0	0	0
Up E5 to E7	GgaAffx.25881.1.S1_at	PECAM1	platelet/endothelial cell adhesion molecule	0	179	1	-1	0	1
Up E5 to E7	Gga.5541.1.S1_at	PECAM1	platelet/endothelial cell adhesion molecule	0	179	1	-1	0	1
Up E7 to E10	Gga.4674.2.S1_at	PHACTR4	phosphatase and actin regulator 4	0.02	5.666666667	0	0	0	0
Up E7 to E10	GgaAffx.13048.1.S1_s_at	PLS3	plastin 3 (T isoform)	0	7.924657534	0	0	1	0
Down E5 to E7	Gga.20018.1.S1_at	PODXL	podocalyxin-like	0	13.13636364	1	-1	1	0
Down E5 to E7	Gga.5170.1.S1_s_at	PODXL	podocalyxin-like	0	13.13636364	1	-1	1	0
Up E7 to E10	Gga.2475.1.S1_at	PON2	paraoxonase 2	0.46	2.529411765	1	0	0	0
Down E10 to E14	GgaAffx.24988.1.S1_at	PPM1G	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform	0	3.384210526	1	1	0	0
Up E7 to E10	GgaAffx.23583.1.S1_s_at	PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B	0.57	4.571428571	-1	0	0	0
Up E7 to E10	Gga.7098.1.S1_at	PPP1R13B	protein phosphatase 1, regulatory (inhibitor) subunit 13B	0.57	4.571428571	-1	0	0	0
Up E7 to E10	Gga.6383.1.S1_at	PPP2R1A	protein phosphatase 2 (formerly 2A), regulatory subunit A, alpha isoform	0	6.088105727	-1	1	0	0
Up E7 to E10	Gga.19289.1.S1_at	PRCP	prolylcarboxypeptidase (angiotensinase C)	0	17.52272727	1	0	0	0
Down E10 to E14	GgaAffx.9818.5.S1_s_at	PREP	prolyl endopeptidase	0.26	4.448275862	0	0	0	0
Up E7 to E10	GgaAffx.4077.1.S1_at	PROCR	protein C receptor, endothelial (EPCR)	0.06	3.95890411	1	0	1	1
Up E7 to E10	GgaAffx.20528.1.S1_at	PROS1	protein S (alpha)	0.29	--	1	-1	0	1
Up E5 to E7	GgaAffx.13038.1.S1_s_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	0.53	2.909090909	0	1	0	0
Up E5 to E7	Gga.7766.1.S1_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	0.53	2.909090909	0	1	0	0
Up E7 to E10	Gga.7766.1.S1_at	PRPS2	phosphoribosyl pyrophosphate synthetase 2	0.53	2.909090909	0	1	0	0
Up E10 to E14	Gga.4401.1.S1_a_at	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	0.1	8.6	-1	0	1	0
Down E10 to E14	Gga.4888.1.S1_s_at	PTP4A1	protein tyrosine phosphatase type IVA, member 1	0.13	3.042105263	0	0	-1	0
Down E10 to E14	GgaAffx.6715.1.S1_s_at	PTPN21	protein tyrosine phosphatase, non-receptor type 21	0.29	--	1	-1	-1	0
Up E7 to E10	Gga.18461.1.S1_s_at	PTPRF	protein tyrosine phosphatase, receptor type, F	0	5.950617284	-1	-1	0	0
Up E5 to E7	GgaAffx.8830.1.S1_at	PTPRM	protein tyrosine phosphatase, receptor type, M	0.62	2.133333333	-1	-1	0	1
Up E7 to E10	Gga.977.1.S1_at	PTRF	polymerase I and transcript release factor	0	12.65060241	1	-1	1	1
Up E10 to E14	Gga.977.1.S1_at	PTRF	polymerase I and transcript release factor	0	12.65060241	1	-1	1	1
Down E10 to E14	Gga.14999.1.S1_at	PXDN	peroxidasin homolog (Drosophila)	0.01	3.651515152	1	0	0	1
Down E10 to E14	GgaAffx.24944.3.S1_s_at	PXDN	peroxidasin homolog (Drosophila)	0.01	3.651515152	1	0	0	1
Down E7 to E10	Gga.5246.2.S1_a_at	RAB33A	RAB33A, member RAS oncogene family	0.57	4.571428571	-1	0	0	0
Down E10 to E14	Gga.1029.3.S1_a_at	RBBP4	retinoblastoma binding protein 4	0.29	2.556818182	1	0	0	0
Up E7 to E10	GgaAffx.24195.1.S1_at	RBM14	RNA binding motif protein 14	0.02	4.863636364	0	0	0	0
Up E10 to E14	Gga.5334.1.S1_a_at	RGS4	regulator of G-protein signaling 4	0	20.2345679	-1	0	0	0
Up E7 to E10	GgaAffx.22160.1.S1_at	RNF10	ring finger protein 10	0.02	3.12987013	-1	-1	0	0
Up E7 to E10	Gga.5370.1.S1_at	RPL36	ribosomal protein L36	0	4.672727273	1	0	0	1
Up E5 to E7	Gga.639.1.S1_at	S100A11	S100 calcium binding protein A11	0.03	3.509090909	1	0	1	0
Up E5 to E7	GgaAffx.3009.1.S1_s_at	SEMA6D	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	0.29	--	0	0	-1	-1
Down E10 to E14	GgaAffx.2075.1.S1_at	SETD8	SET domain containing (lysine methyltransferase) 8	0.26	6.4	0	0	0	0
Down E5 to E7	GgaAffx.11447.1.S1_s_at	SF3B3	splicing factor 3b, subunit 3, 130kDa	0.08	3.378947368	1	1	1	1
Down E10 to E14	GgaAffx.11447.1.S1_s_at	SF3B3	splicing factor 3b, subunit 3, 130kDa	0.08	3.378947368	1	1	1	1
Down E10 to E14	GgaAffx.2568.1.S1_at	SH3BP4	SH3-domain binding protein 4	0.25	3.271186441	0	0	0	0
Up E7 to E10	Gga.2219.1.S1_at	SHC1	SHC (Src homology 2 domain containing) transforming protein 1	0	5.495726496	1	0	0	1
Up E7 to E10	GgaAffx.20390.1.S1_at	SHE	Src homology 2 domain containing E	0.29	--	0	1	0	0
Down E10 to E14	GgaAffx.23225.1.S1_s_at	SMARCAD1	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1	0.26	4.448275862	0	0	0	0
Up E5 to E7	Gga.7231.1.S1_at	SOX17	SRY (sex determining region Y)-box 17	0.1	--	0	-1	0	1
Up E7 to E10	GgaAffx.20877.1.S1_at	SOX7	SRY (sex determining region Y)-box 7	0	--	-1	0	0	0
Up E5 to E7	Gga.6976.1.S1_at	SPINK5	serine peptidase inhibitor, Kazal type 5	0	--	0	0	0	0
Up E10 to E14	Gga.1148.1.S2_at	ST6GAL1	ST6 beta-galactosamide alpha-2,6-sialyltranferase 1	0.42	2.439393939	0	0	0	0
Up E7 to E10	Gga.8853.3.S1_s_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.29	--	0	0	0	0
Up E7 to E10	Gga.133.1.S1_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.29	--	0	0	0	0
Up E10 to E14	Gga.133.1.S1_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.29	--	0	0	0	0
Up E10 to E14	Gga.8853.3.S1_s_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.29	--	0	0	0	0
Up E10 to E14	Gga.8853.2.S1_a_at	SULT1B1	sulfotransferase family, cytosolic, 1B, member 1	0.29	--	0	0	0	0
Up E5 to E7	GgaAffx.23678.1.S1_s_at	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	0.1	--	0	0	0	0
Up E7 to E10	Gga.16921.1.S1_at	TCP11L2	t-complex 11 (mouse)-like 2	0.62	2.133333333	0	0	0	0
Up E7 to E10	Gga.8030.1.S1_at	TFPI2	tissue factor pathway inhibitor 2	0	8.115789474	0	0	1	1
Up E5 to E7	Gga.239.1.S1_at	TLL1	tolloid-like 1	0.57	4.571428571	0	0	0	0
Up E5 to E7	Gga.11781.1.S1_at	TM6SF1	transmembrane 6 superfamily member 1	0.01	--	-1	-1	0	1
Up E10 to E14	Gga.11781.1.S1_at	TM6SF1	transmembrane 6 superfamily member 1	0.01	--	-1	-1	0	1
Up E7 to E10	Gga.18969.1.S1_s_at	TMBIM1	transmembrane BAX inhibitor motif containing 1	0	7.6	0	0	0	0
Up E10 to E14	Gga.7211.1.S1_at	TMBIM1	transmembrane BAX inhibitor motif containing 1	0	7.6	0	0	0	0
Up E7 to E10	GgaAffx.20299.1.S1_s_at	TMEM106B	transmembrane protein 106B	0.44	3.310344828	1	1	0	0
Up E7 to E10	Gga.1332.1.S1_at	TMEM87A	transmembrane protein 87A	0.05	6.655172414	0	0	0	1
Up E5 to E7	Gga.8774.1.S2_s_at	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	0.26	4.448275862	0	1	-1	0
Up E7 to E10	Gga.3041.1.S1_at	TNNC1	troponin C type 1 (slow)	0.29	--	0	0	0	0
Up E10 to E14	Gga.4128.3.S1_a_at	TNS1	tensin 1	0.29	--	0	-1	0	0
Up E7 to E10	Gga.7415.1.S1_at	TPP1	tripeptidyl peptidase I	0	6	1	0	0	0
Up E7 to E10	GgaAffx.12161.1.S1_s_at	TRPC4AP	transient receptor potential cation channel, subfamily C, member 4 associated protein	0.06	3.95890411	0	0	1	0
Up E7 to E10	Gga.9700.1.S1_at	TSPAN7	tetraspanin 7	0.18	5.863636364	-1	-1	-1	0
Down E5 to E7	GgaAffx.10107.1.S1_at	TTK	TTK protein kinase	0.12	13.71428571	1	1	1	0
Down E5 to E7	GgaAffx.21140.1.S1_at	TTLL12	tubulin tyrosine ligase-like family, member 12	0.62	2.133333333	-1	1	0	0
Up E10 to E14	Gga.13174.1.S1_at	TUBD1	tubulin, delta 1	0.29	--	1	0	0	0
Up E7 to E10	Gga.13758.1.S1_at	UBL5	ubiquitin-like 5	0	11.68181818	1	0	0	0
Up E10 to E14	Gga.11757.1.S1_at	UBTD1	ubiquitin domain containing 1	0.57	4.571428571	0	0	0	0
Down E7 to E10	Gga.15354.1.S1_at	UGCG	UDP-glucose ceramide glucosyltransferase	0.57	4.571428571	1	0	0	1
Up E7 to E10	Gga.1452.1.S1_at	UNC5B	unc-5 homolog B (C. elegans)	0.29	--	0	0	0	0
Up E7 to E10	Gga.7311.1.S1_s_at	USP48	ubiquitin specific peptidase 48	0.53	2.909090909	0	0	0	0
Down E10 to E14	GgaAffx.10754.1.S1_at	UXS1	UDP-glucuronate decarboxylase 1	0.44	4.266666667	0	0	1	-1
Up E5 to E7	GgaAffx.25229.1.S1_at	VWF	von Willebrand factor	0	--	0	-1	0	1
Down E7 to E10	Gga.5890.1.S1_at	WDR77	WD repeat domain 77	0.29	2.924242424	1	0	1	0
Down E10 to E14	GgaAffx.11836.1.S1_at	WDSOF1	WD repeats and SOF1 domain containing	0.01	12.86666667	1	0	1	0
Up E7 to E10	Gga.5832.1.S1_at	WSB2	WD repeat and SOCS box-containing 2	0.34	2.728813559	-1	0	0	0
Up E7 to E10	Gga.5978.2.S1_s_at	ZDHHC9	zinc finger, DHHC-type containing 9	0.57	2.181818182	0	0	1	0
