General Function	Specific Function	Biological Process	Gene Symbol	Entrez GeneID	Description	5 dpi	6 dpi	7 dpi	8 dpi
Immune response	MHC class II presentation	Antigen presentation	Cd74	16149	CD74 antigen (invariant polypeptide of major histocompatibility complex class II antigen-associated)	1.84	1.53	1.72	3.191
Immune response	MHC class I presentation	Antigen presentation	H2-Q2	15013	Histocompatibility 2, Q region locus 2	4.38	5.68	2.24	11.2
Immune response	MHC class I presentation	Antigen presentation	H2-Q8	15019	Histocompatibility 2, Q region locus 8	3.4	3.88	2.47	5.53
Immune response	MHC class I presentation	Antigen presentation	H2-Q7	15018	Histocompatibility 2, Q region locus 7	3.2	5.67	3.57	6.31
Immune response	MHC class I presentation	Antigen presentation	H2-Q6	110557	Histocompatibility 2, Q region locus 6	2.81	5.25	3.43	7.32
Immune response	MHC class I presentation	Antigen presentation	H2-Q5	15016	Histocompatibility 2, Q region locus 5	2.59	1.86	2.05	4.65
Immune response	MHC class I presentation	Antigen presentation	H2-L	14980	Histocompatibility 2, D region	3.69	5.99	3.75	12.5
Immune response	MHC class I presentation	Antigen presentation	H2-T9	15051	Histocompatibility 2, T region locus 9	3.86	2.34	2.43	5.07
Immune response	MHC class I presentation	Antigen presentation	H2-T10	15024	Histocompatibility 2, T region locus 10	5.94	3.65	2.59	6.34
Immune response	MHC class I presentation	Antigen presentation	H2-T22	15039	Histocompatibility 2, T region locus 22	3.74	2.34	2.12	5.09
Immune response	MHC class I presentation	Antigen presentation	H2-T23	15040	Histocompatibility 2, T region locus 23	4.24	5.48	2.63	8.09
Immune response	MHC class I presentation	Antigen presentation	H2-K1	14973	Histocompatibility 2, K1, K region	5.06	6.41	3.69	12.22
Immune response	MHC class I presentation	Antigen presentation	B2m	12010	Beta-2 microglobulin	4.79	6.28	4.36	11.3
Immune response	GTP binding	Interferon-induced	Gbp1	14468	Guanylate nucleotide binding protein 1	4.41	1.46	1.59	9.57
Immune response	GTP binding	Interferon-induced	Gbp2	14469	Guanylate nucleotide binding protein 2	7.97	6.7	3.63	27.6
Immune response	GTP binding	Interferon-induced	Gbp4	17472	Guanylate nucleotide binding protein 4	3.82	6.81	3.48	12.99
Immune response	GTP binding	Interferon-induced	Gbp5	229898	Guanylate nucleotide binding protein 5	2.17	1.51	1.71	4.6
Immune response	GTP binding	Interferon-induced	Irgm	15944	Immunity-related GTPase family, M	8.86	11.5	7.48	12.4
Immune response	GTP binding	Interferon-induced	Gbp6	229900	Guanylate nucleotide binding protein 6	4.39	8.21	3.57	9.92
Immune response	GTP binding	Interferon-induced	BC057170	236573	cDNA sequence BC057170	3.56	2.49	3.09	7.44
Immune response	GTP binding	Interferon-induced	Mpa2l	100702	Macrophage activation 2 like	8.89	9.13	8.1	30.3
Immune response	RNA binding	Interferon-induced	Oas1b	23961	2?-5?oligoadenylate synthetase 1B	7.25	11.3	8.79	12.5
Immune response	RNA binding	Interferon-induced	Oas1g	23960	2?-5?oligoadenylate synthetase 1G	8.23	13.7	9.24	14.6
Immune response	RNA binding	Interferon-induced	Oasl1	231655	2?-5?oligoadenylate synthetase-like 1	3.84	7.16	2.86	9.03
Immune response	RNA binding	Interferon-induced	Oasl2	23962	2?-5?oligoadenylate synthetase-like 2	5.91	15.2	10.1	13.7
Immune response	RNA binding	Interferon-induced	Oas1a	246730	2?-5?oligoadenylate synthetase 1A	2.11	4.33	2.23	4.21
Immune response	RNA binding	Interferon-induced	Oas2	246728	2?-5?oligoadenylate synthetase 2	2.6	2.94	1.79	5.19
Immune response	DNAbinding	Interferon-induced	Sp110	109032	Sp110 nuclear body protein	3.04	2.75	2.37	5.79
Immune response	Binding	Interferon-induced	Ifit1	15957	Interferon-induced protein with tetracopeptide repeats 1	8.82	23.7	12.4	37.6
Immune response	Binding	Interferon-induced	Ifit2	15958	Interferon-induced protein with tetracopeptide repeats 2	3.28	4.54	4.51	6.53
Immune response	Binding	Interferon-induced	Ifit3	15959	Interferon-induced protein with tetracopeptide repeats 3	15.4	37	14.8	49.2
Immune response	Helicase	Interferon-induced	Ifih1	71586	Interferon induce with helicase C domain 1	6.34	9.32	4.73	12.8
Immune response	Helicase	Interferon type I biosynthetic process	Dhx58	230073	DEXH (Asp-Glu-X-His) box polypeptide 58	4.57	6.67	4.44	7.97
Immune response	Helicase	Interferon type I biosynthetic process	Ddx58		DEAD (Asp-Glu-Ala-Asp) box polypeptide 58	4	6.35	4.27	6.43
Immune response	Protein binding	NC	Ifi203	15950	Interferon activated gene 203	2.47	2.85	2.56	7.44
Immune response	Protein binding	Interferon-induced	Pyhin1	236312	Pyrin and HIN domain family, member 1	6.45	1.48	1.93	11.25
Immune response	Protein binding	Apoptosis	Bcl2a1a	12044	B-cell leukemia/lymphoma 2 related protein A1a	2.32	1.87	2.2	3.91
Immune response	NC	NC	Ifi205	15952	Interferon activated gene 205	5.12	5.45	6.41	25.2
Immune response	NC	Apoptosis	Bcl2a1b	12045	B-cell leukemia/lymphoma 2 realted protein A1b	3.09	1.97	1.89	3.15
Immune response	NC	Apoptosis	Bcl2a1c	12046	B-cell/leukemia/lymphoma 2 related protein A1c	3.28	1.41	1.75	7.93
Immune response	Receptor	Interferon-induced	Ifitm1	68713	Interferon-induced transmembrane protein 1	3.09	5.72	2.38	7.59
Immune response	Receptor	Interferon-induced	Ifitm2	80876	Interferon-induced transmembrane protein 2	2.34	4.39	2.25	5.8
Immune response	Receptor	Interferon-induced	Ifitm3	66141	Interferon-induced transmembrane protein 3	4.29	8.23	5.34	14.3
Immune response	Receptor	Cell adhesion	Lgals9	16859	Lectin, galactose binding, soluble 9	3.46	4.02	4.47	5.46
Immune response	Receptor	Cell adhesion	Lgals3bp	19039	Lectin, galactosidase-binding, soluble, 3 binding protein	6.98	7.13	7.29	11.4
Immune response	Receptor	Cell adhesion	Icam1	15894	Intercellular adhesion molecule 1	1.91	1.52	1.47	3.91
Immune response	Receptor	Cell adhesion	Itgb2	16414	Integrin beta-2	1.74	1.51	1.74	3.06
Immune response	Receptor	Cell adhesion	Siglec1	20612	Sialic acid binding Ig-like lectin 1, sialoadhesin	1.44	2.56	3.58	4.46
Immune response	Receptor	B-cell activation	Bst2	69550	Bone marrow stromal cell antigen 2	7.58	14	8.75	16.8
Immune response	Receptor	Cell proliferation	Cd274	60533	CD274 antigen	4.87	1.84	1.89	9.12
Immune response	Receptor	Inhibition of proinflamatory cytokines	Il10ra	16154	Interleukin 10 receptor, alpha	1.93	2.79	1.71	3.68
Immune response	Receptor	NC	Ly6e	17069	Lymphocyte antigen 6 complex, locus E	2.16	3.92	2.3	5.33
Immune response	GTPase	Interferon-induced	Igtp	16145	Interferon gamma induced GTPase	8.15	6.5	5.75	23.9
Immune response	GTPase	Interferon-induced	Mx1	17857	Myxovirus (influenza virus) resistance 1	3.97	4.34	2.75	11.3
Immune response	GTPase	Interferon-induced	Mx2	17858	Myxovirus (influenza virus) resistance 2	6.89	9.61	8.36	20
Immune response	GTPase	Interferon-induced	Gvin1	74558	GTPase, very large interferon inducible 1	2.85	4.01	1.61	4
Immune response	GTPase	Interferon-induced	Iigp2	54396	Interferon inducible GTPase 2	7.43	3.27	3.29	21
Immune response	GTPase	Interferon-induced	Iigp1	60440	Interferon inducible GTPase 1	19.8	19.9	13.6	60.1
Immune response	Transcription	Interferon-induced	Ifi204	15951	Interferon activated gene 204	5.5	4.06	6.05	19.7
Immune response	Exonulcease	Interferon-induced	Isg20	57444	Interferon-stimulated protein	1.38	2.31	1.82	4.2
Immune response	Kinase	Interferon-induced	Eif2ak2	19106	Eukaryotic translation initiation factor 2-alpha kinase 2	3.9	7.07	4.36	7.84
Immune response	Cytokine/chemokine	Chemotaxis	Ccl5	20304	Chemokine (C-C motif) ligand 5	13.1	9.37	7.33	26.9
Immune response	Cytokine/chemokine	Chemotaxis	Ccl12	20293	Chemokine (C-C motif) ligand 12	3.97	9.89	6.14	23
Immune response	Cytokine/chemokine	Chemotaxis	Cxcl10	15945	Chemokine (C-X-C motif) ligand 10	2.37	2.47	2.84	20.5
Immune response	Cytokine/chemokine	Apoptosis	Tnfsf10	22035	Tumor necrosis factor (ligand) superfamily, member 10	1.47	2.8	1.86	2.91
Immune response	Peptidase	Complement activation	Cfb	14962	Histocompatibility 2, complement component factor B	7.52	5.71	6.61	19.7
Immune response	Peptidase	Complement activation	C2	12263	Complement component 2 (within H2-S)	2.2	2.42	1.9	5.89
Immune response	Peptidase	Complement activation	C1r	50909	Complement component 1, r subcomponent	4.52	1.73	2.39	5.62
Immune response	Peptidase inhibitor Endopeptidase inhibitor	Complementactivation	C4b	12268	Complement component 4B (Childo blood group)	2.69	2.41	2.4	5.08
Immune response	Peptidase inhibitor Endopeptidase inhibitor	Apoptosis	Serpina3g	20715	Serine (or cysteine) proteinase inhibitor, clade A, member 3G	5.29	1.52	2.83	7.88
Immune response	NC	Complementactivation	C1qb	12260	Complement component 1, q subcomponent, beta polypeptide	1.41	1.91	1.91	3.26
Immune response	NC	Apoptosis	Bcl2a1d	12047	B-cell leukemia/lymphoma 2 related protein A1d	2.4	1.58	1.53	3.39
Immune response	Caspaseactivity	Apoptosis	Casp1	12362	Caspase 1	2.88	2.01	2.04	4.84
Immune response	Poly-A-polymerase	NC	Parp9	80285	Poly (ADP-ribose) polymerase family, member 9	4.53	6.1	3.32	9.47
Immune response	Poly-A-polymerase	Virusresponse	Zc3hav1	78781	Zinc finger CCCH type, antiviral 1	4.25	3.92	2.38	6.85
Immune response	Apoptosis	IFN-induced	Sp110	109032	Sp110 nuclear body protein	1.31	3.95	2.07	4.92
Immune response	Catalyticactivity	Virusresponse	Rsad2	58185	Radical S-adenosyl methionine domain containing 2	2.64	2.48	2.03	7.77
Immune response	Catalyticactivity	IFN-induced	Samhd1	56045	SAM domain and HD domain 1	1.78	2.01	1.89	5.65
Immune response	dTTPbiosynthesis	LPSresponse	Tyki	22169	Thymidylate kinase family LPS-inducible member	1.2	2.51	1.76	3.73
Immune response	NC	IFN-induced	Ifi44	99899	Interferon-induced protein 44	7.55	12.8	5.51	16.1
Immune response	NC	IFN-induced	Ifi27	76933	Interferon, alpha-inducible protein 27	8.62	6.24	12.9	21
Immune response	NC	Interferon-induced	Ifi47	15953	Interferon gamma inducible protein 47	9.47	12.4	8.7	38
Immune response	NC	NC	Ifi202b	26388	Interferon activated 202B	8.29	11.5	8.38	40.1
Immune response	NC	NC	Plac8	231507	Placenta-specific 8	15.2	14.1	12.4	33
Defense response	GPIanchored	Cellproliferation	Ly6a	110454	Lymphocyte antigen 6 complex, locus A	3.11	2.4	2.38	10.79
Defense response	GPIanchored	NC	Ly6c1	56778	Lymphocyte antigen 6 complex, locus C	1.82	2.14	1.62	5.3
Defense response	GPIanchored	NC	Ly6f	17071	Lymphocyte antigen 6 complex, locus F	3.33	1.67	2.7	7.41
Defense response	Protein binding	Celladhesion	Ly9	17085	Lymphocyte antigen 9	2.53	1.69	1.81	3.39
Defense response	Macrophage associated	NC	Mpeg1	17476	Macrophage expressed gene 1	1.51	2.91	2.3	4.41
Ubiquitin cycle	Ubiquitin ligase	Interferon-induced	Dtx31	209200	Deltex 3-like (Drosophila)	3.04	3.73	3.59	4.74
Ubiquitin cycle	Ubiquitin ligase	Interferon-induced	Herc5	67138	Hect domain and RLD5	3.48	4.15	3	6.98
Ubiquitin cycle	Ubiquitin ligase	Interferon-induced	Trim25	217069	Tripartite motif protein 25	3.23	4.52	3.57	4.61
Ubiquitin cycle	Ubiquitin ligase	Proteinmodification	Ube2l6	56791	Ubiquitin-conjugating enzyme E2L6	1.33	2.08	3.28	2.59
Ubiquitin cycle	Ubiquitin ligase	Proteinmodification	Trim21	20821	Tripartite motif protein 21	3.52	6.72	3.3	9.68
Ubiquitin cycle	Ubiquitinactivating	Proteinmodification	Ube1l	74153	Ubiqutin-activating enzyme E1-like	1.84	4.32	2.9	5.91
Ubiquitin cycle	Protein binding	Interferon-induced	Isg15	53606	ISG15 ubiquitin-like modifier	10.4	22.3	9.41	26.9
Ubiquitin cycle	Peptidase	Interferon-induced	Usp18	24110	Ubiquitin specific protease	18	31.6	18.3	26.9
Signal transduction	Receptor	Apoptosis	Tspo	12257	Translocator protein	1.51	2.06	1.82	2.68
Signal transduction	Receptor	NC	Fgl2	14190	Fibrinogen-like protein 2	1.94	1.42	1.67	3.43
Signal transduction	Receptor	NC	Ms4a6d	68774	Membrane-spaning 4-domains, subfamily A, member 4D	4.92	3.2	2.16	5.11
Signal transduction	Receptor	NC	Ms4a4c	64380	Membrane-spaning 4-domains, subfamily A, member 4C	4.2	2.85	-1.03	14.48
Signal transduction	Receptor	NC	Ms4a6b	293749	membrane-spanning 4-domains, subfamily A, member 6B	3.05	1.52.	2.18	3.51
Chaperone	ATP binding	Proteinfolding	Tor3a	30935	Torsin family 3, member A	2.66	6.12	4.53	19.1
Metabolism	Phospholipase	Lipidcatabolism	Pld4	104759	Phospholipase D family, member 4	2	2.16	1.48	3.71
Inflamatory response	Oxireductase activity	Phagocytickilling	Cybb	13058	Cytochrome b-245, beta polypeptide	2.96	1.77	1.18	8.21
Inflamatory response	Receptor	Phagocytickilling	Cd14	12475	CD14 antigen	3.27	1.68	1.76	2.01
NC	Poly-A-polymerase	Transcriptionregulation	Parp14	547253	Poly (ADP-ribose) polymerase family, member 14	5.42	6.51	2.71	13.2
NC	Poly-A-polymerase	NC	Parp12	243771	Poly (ADP-ribose) polymerase family, member 12	4.12	4.51	4.31	7.9
NC	Helicase	NC	BC013672	234311	cDNA sequence BC013672	5.65	4.51	2.33	7.62
NC	Helicase	NC	BC013672	234311	cDNA sequence BC013672	8.96	11.4	3.86	19.8
NC	Protein transport	NC	4930599N23Rik	75379	RIKEN cDNA 4930599N23 gene	2.11	2.95	1.74	2.07
NC	Protein transport	NC	Mitd1	69028	RMIT, microtubule interacting and transport, domain containing 1	1.8	1.66	1.55	3.17
NC	Kinase	NC	Mlkl	74568	Mixed lineage kinase domain-like	4.29	4.48	2.3	3.96
NC	DNA binding	NC	Zbp1	58203	Z-DNA binding protein 1	2.79	2.48	1.96	4.98
NC	DNA binding	Apoptosis	Scotin	66940	Scotin	3.49	2.59	3.77	2.69
NC	Receptor	Interferon-induced	Rtp4	67775	Receptor transporter protein 4	2.75	4.1	2.4	2.64
NC	Protein/nucleic acid binding	Interferon-induced	Trim34	94094	Tripartite motif protein 34	2.47	2.72	2.04	2.72
NC	Protein/nucleic acid binding	NC	Trim30	20128	Tripartite motif protein 30	3.93	5.54	2.82	8.05
NC	NC	Cellproliferation	Slfn2	20556	Schlafen 2	3.32	2.51	2.02	5.3
NC	NC	NC	BC006779	229003	cDNA sequence BC006779	2.24	3.67	2.34	3.88
NC	NC	NC	Epsti1	108670	Epithelial stromal interaction 1 (breast)	2.24	4.41	2.89	4.64
NC	NC	NC	D12Ertd647e	52668	DNA segment, Chr 12, ERATO Doi 647, expressed	2.96	3.06	2.24	1.86
NC	NC	NC	Samd9l	209086	Sterile alpha motif domain containing 9-like	4.04	6.67	4.16	13
NC	NC	NC	D14Ertd668e	219132	DNA segment, Chr 14, ERATO Doi 668, expressed	3.56	5.97	3.3	10.4
NC	NC	NC	Rnf213	629974	Ring finger protein 213	4.19	8.44	3.43	7.04
NC	NC	NC	Phf11	219131	PHD finger protein 11	9.3	8.5	4.53	22.8
NC	NC	NC	0610037M15Rik	68395	RIKEN cDNA 0610037M15 gene	3.59	6.29	3.07	6.14
NC	NC	NC	9830115L13Rik	319257	RIKEN cDNA 9830115L13 gene	3.14	5.85	8.29	5.27
NC	NC	NC	A630077B13Rik	215900	RIKEN cDNA A630077B13 gene	2.85	1.36	1.32	7.16
NC	NC	NC	C4a	625018	Complement component 4A (Rodgers blood group)	1.73	2.94	2.62	5.25
NC	NC	NC	Gp49a	14727	Glycoprotein 49A	3.95	1.26	1.61	4.59
NC	NC	NC	Drld	114573	Differentially regulated in lymphoid organs and differentiation	1.87	1.33	1.88	3.54
NC	NC	NC	H2-T17	15032	Histocompatibility 2, T region locus 17	5.46	3.17	1.37	9.83
NC	NC	NC	Rnf213	629974	Ring finger protein 213	4.2	8.44	3.43	7.05
