GO	MiRNA Name	p	FDR	Enrichment
cell adhesion	mmu-miR-92b	1.7595E-09	0.37	1.89188123
positive regulation of transcription from RNA polymerase II promoter	mmu-let-7c-1	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-let-7f	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-129-3p	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-184	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-186	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-18a	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-191	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-29b	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-351	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-718	2.1361E-09	0.35	2.122826542
positive regulation of transcription from RNA polymerase II promoter	mmu-miR-92b	2.1361E-09	0.35	2.122826542
translation	mmu-let-7c-1	3.5328E-09	0.3225	2.138536637
translation	mmu-let-7f	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-129-3p	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-184	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-186	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-18a	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-191	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-29b	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-351	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-718	3.5328E-09	0.3225	2.138536637
translation	mmu-miR-92b	3.5328E-09	0.3225	2.138536637
ion transport	mmu-let-7c-1	6.9109E-09	0.3725	1.789259568
ion transport	mmu-let-7f	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-129-3p	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-184	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-186	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-18a	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-191	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-29b	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-351	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-718	6.9109E-09	0.3725	1.789259568
ion transport	mmu-miR-92b	6.9109E-09	0.3725	1.789259568
nervous system development	mmu-let-7c-1	2.0064E-08	0.31	2.38587244
nervous system development	mmu-let-7f	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-129-3p	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-184	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-186	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-18a	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-191	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-29b	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-351	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-718	2.0064E-08	0.31	2.38587244
nervous system development	mmu-miR-92b	2.0064E-08	0.31	2.38587244
apoptosis	mmu-let-7c-1	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-let-7f	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-129-3p	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-184	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-186	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-18a	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-191	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-29b	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-351	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-718	8.9078E-08	0.3825	1.855664065
apoptosis	mmu-miR-92b	8.9078E-08	0.3825	1.855664065
inflammatory response	mmu-let-7c-1	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-let-7f	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-129-3p	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-184	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-186	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-18a	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-191	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-29b	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-351	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-718	1.0975E-07	0.3225	2.516091195
inflammatory response	mmu-miR-92b	1.0975E-07	0.3225	2.516091195
ubiquitin-dependent protein catabolic process	mmu-let-7c-1	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-let-7f	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-129-3p	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-184	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-186	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-18a	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-191	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-29b	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-351	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-718	1.1865E-07	0.295	2.621380602
ubiquitin-dependent protein catabolic process	mmu-miR-92b	1.1865E-07	0.295	2.621380602
heart development	mmu-let-7c-1	1.677E-07	0.315	2.549967576
heart development	mmu-let-7f	1.677E-07	0.315	2.549967576
heart development	mmu-miR-129-3p	1.677E-07	0.315	2.549967576
heart development	mmu-miR-184	1.677E-07	0.315	2.549967576
heart development	mmu-miR-186	1.677E-07	0.315	2.549967576
heart development	mmu-miR-18a	1.677E-07	0.315	2.549967576
heart development	mmu-miR-191	1.677E-07	0.315	2.549967576
heart development	mmu-miR-29b	1.677E-07	0.315	2.549967576
heart development	mmu-miR-351	1.677E-07	0.315	2.549967576
heart development	mmu-miR-718	1.677E-07	0.315	2.549967576
heart development	mmu-miR-92b	1.677E-07	0.315	2.549967576
forebrain development	mmu-let-7c-1	1.7609E-07	0.325	3.335870281
forebrain development	mmu-let-7f	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-129-3p	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-184	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-18a	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-191	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-29b	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-351	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-718	1.7609E-07	0.325	3.335870281
forebrain development	mmu-miR-92b	1.7609E-07	0.325	3.335870281
cell division	mmu-let-7c-1	2.797E-07	0.3575	2.144925778
cell division	mmu-let-7f	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-129-3p	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-184	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-186	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-18a	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-191	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-29b	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-351	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-718	2.797E-07	0.3575	2.144925778
cell division	mmu-miR-92b	2.797E-07	0.3575	2.144925778
negative regulation of transcription from RNA polymerase II promoter	mmu-let-7c-1	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-let-7f	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-129-3p	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-184	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-186	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-18a	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-191	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-29b	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-351	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-718	3.9201E-07	0.36	2.200626468
negative regulation of transcription from RNA polymerase II promoter	mmu-miR-92b	3.9201E-07	0.36	2.200626468
morphogenesis of embryonic epithelium	mmu-let-7c-1	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-let-7f	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-184	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-186	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-29b	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-351	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-718	7.2146E-07	0.1125	6.85303786
morphogenesis of embryonic epithelium	mmu-miR-92b	7.2146E-07	0.1125	6.85303786
intracellular signaling cascade	mmu-let-7c-1	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-let-7f	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-129-3p	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-184	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-186	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-18a	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-191	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-29b	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-351	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-718	1.3117E-06	0.375	1.970808273
intracellular signaling cascade	mmu-miR-92b	1.3117E-06	0.375	1.970808273
in utero embryonic development	mmu-let-7c-1	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-let-7f	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-129-3p	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-184	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-186	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-191	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-29b	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-351	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-718	0.000002092	0.3475	2.351532599
in utero embryonic development	mmu-miR-92b	0.000002092	0.3475	2.351532599
mRNA processing	mmu-let-7c-1	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-let-7f	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-129-3p	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-184	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-186	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-18a	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-191	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-29b	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-351	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-718	2.8315E-06	0.3625	1.995061968
mRNA processing	mmu-miR-92b	2.8315E-06	0.3625	1.995061968
ubiquitin cycle	mmu-let-7c-1	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-let-7f	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-129-3p	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-184	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-186	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-18a	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-191	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-29b	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-351	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-718	4.0322E-06	0.3425	2.469563193
ubiquitin cycle	mmu-miR-92b	4.0322E-06	0.3425	2.469563193
metanephros development	mmu-let-7c-1	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-129-3p	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-184	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-186	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-18a	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-29b	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-351	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-718	4.4257E-06	0.3025	4.568691907
metanephros development	mmu-miR-92b	4.4257E-06	0.3025	4.568691907
response to lipopolysaccharide	mmu-let-7c-1	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-let-7f	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-129-3p	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-184	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-186	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-18a	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-191	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-29b	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-351	4.4257E-06	0.2925	4.568691907
response to lipopolysaccharide	mmu-miR-718	4.4257E-06	0.2925	4.568691907
organ morphogenesis	mmu-let-7c-1	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-let-7f	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-129-3p	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-184	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-18a	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-191	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-29b	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-351	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-718	5.0677E-06	0.3125	2.533136107
organ morphogenesis	mmu-miR-92b	5.0677E-06	0.3125	2.533136107
regulation of small GTPase mediated signal transduction	mmu-let-7c-1	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-let-7f	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-129-3p	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-184	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-186	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-18a	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-191	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-29b	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-351	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-718	6.0065E-06	0.3075	3.156550772
regulation of small GTPase mediated signal transduction	mmu-miR-92b	6.0065E-06	0.3075	3.156550772
mitosis	mmu-let-7c-1	7.2436E-06	0.35	2.236422612
mitosis	mmu-let-7f	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-129-3p	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-184	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-186	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-18a	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-191	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-29b	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-351	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-718	7.2436E-06	0.35	2.236422612
mitosis	mmu-miR-92b	7.2436E-06	0.35	2.236422612
heart morphogenesis	mmu-let-7c-1	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-129-3p	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-184	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-18a	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-191	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-29b	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-718	7.6605E-06	0.3125	4.38594423
heart morphogenesis	mmu-miR-92b	7.6605E-06	0.3125	4.38594423
insulin receptor signaling pathway	mmu-let-7c-1	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-let-7f	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-129-3p	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-184	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-191	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-29b	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-351	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-718	7.6605E-06	0.275	4.38594423
insulin receptor signaling pathway	mmu-miR-92b	7.6605E-06	0.275	4.38594423
ureteric bud branching	mmu-let-7c-1	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-129-3p	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-184	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-18a	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-191	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-351	7.6605E-06	0.3025	4.38594423
ureteric bud branching	mmu-miR-92b	7.6605E-06	0.3025	4.38594423
embryonic development	mmu-let-7c-1	8.1604E-06	0.32	3.100183794
embryonic development	mmu-let-7f	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-129-3p	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-184	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-186	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-18a	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-191	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-351	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-718	8.1604E-06	0.32	3.100183794
embryonic development	mmu-miR-92b	8.1604E-06	0.32	3.100183794
cell-cell signaling	mmu-let-7c-1	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-let-7f	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-129-3p	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-184	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-186	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-18a	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-191	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-351	9.6564E-06	0.305	3.305011166
cell-cell signaling	mmu-miR-718	9.6564E-06	0.305	3.305011166
patterning of blood vessels	mmu-let-7c-1	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-129-3p	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-184	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-191	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-29b	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-351	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-718	0.000011854	0.3	4.568691907
patterning of blood vessels	mmu-miR-92b	0.000011854	0.3	4.568691907
respiratory gaseous exchange	mmu-let-7c-1	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-let-7f	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-miR-129-3p	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-miR-191	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-miR-351	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-miR-718	0.000017672	0.2875	4.809149375
respiratory gaseous exchange	mmu-miR-92b	0.000017672	0.2875	4.809149375
lung development	mmu-let-7c-1	0.000018248	0.3225	2.7809429
lung development	mmu-let-7f	0.000018248	0.3225	2.7809429
lung development	mmu-miR-129-3p	0.000018248	0.3225	2.7809429
lung development	mmu-miR-184	0.000018248	0.3225	2.7809429
lung development	mmu-miR-186	0.000018248	0.3225	2.7809429
lung development	mmu-miR-18a	0.000018248	0.3225	2.7809429
lung development	mmu-miR-29b	0.000018248	0.3225	2.7809429
lung development	mmu-miR-351	0.000018248	0.3225	2.7809429
lung development	mmu-miR-718	0.000018248	0.3225	2.7809429
lung development	mmu-miR-92b	0.000018248	0.3225	2.7809429
embryonic limb morphogenesis	mmu-let-7c-1	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-let-7f	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-129-3p	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-184	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-191	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-29b	0.000019283	0.3275	3.045794604
embryonic limb morphogenesis	mmu-miR-351	0.000019283	0.3275	3.045794604
