TargetD	Name	Fold change	p-value	q-value
6900180	Asph	1.393446	0.009832	0.040726
6860333	A130099L09Rik	1.396766	5.09E-04	0.034432
6330452	Slc35d1	1.39975	9.80E-04	0.03715
4610674	Ckmt1	1.405074	8.19E-05	0.023945
2810603	AW536289	1.409657	0.001623	0.047689
1710162	Fer1l3	1.410391	8.65E-04	0.040726
840475	Tax1bp1	1.412185	9.99E-04	0.040726
6560477	Stk2	1.419962	0.00521	0.043696
4570278	Krt15	1.421589	6.24E-04	0.037146
6480554	BC023892	1.421948	7.08E-04	0.038338
6980154	Vwa2	1.429539	8.30E-04	0.036594
4560465	8430403M15Rik	1.435287	0.003255	0.039648
1780156	Maged1	1.437094	0.005787	0.037146
1770592	1200013B22Rik	1.442367	0.003228	0.041068
2570309	Robo2	1.445943	0.001893	0.024905
6980612	Lrrc1	1.446231	0.002788	0.036594
5560204	9930031P18Rik	1.449604	0.001797	0.038338
2470753	AI415330	1.449709	8.50E-04	0.036594
5220475	B230373P09Rik	1.4583	0.001842	0.037146
3400487	Thsd2	1.458432	0.003226	0.048147
5720619	4732465J09Rik	1.463987	0.001061	0.040726
840243	Hectd2	1.46851	0.004611	0.036594
2320273	Dock11	1.469417	0.00593	0.04293
1740541	Adcy2	1.475829	6.70E-04	0.03715
6770139	Hrb	1.47794	6.64E-04	0.0337
6520154	BC027231	1.480934	9.54E-04	0.034432
2630040	A130026C10Rik	1.481753	0.001287	0.037215
2690689	Elys	1.48912	0.016317	0.047689
2480129	Pmp22	1.492014	0.001355	0.040786
5570240	BB128963	1.494299	0.002631	0.046255
870309	Serpine2	1.495062	3.44E-04	0.031621
3170465	AI505012	1.49809	0.00212	0.035821
3800228	Tmem23	1.501213	7.39E-04	0.036594
510041	Epb4.1l3	1.502335	0.011583	0.046765
4640376	Zdhhc17	1.502478	0.004006	0.041305
5310050	Jak2	1.514057	0.001914	0.040726
4010056	Pdgfc	1.516232	4.78E-05	0.023945
2120634	Serpine2	1.529581	3.21E-04	0.034981
2060592	Ddah1	1.530376	5.01E-05	0.023945
5490347	Sestd1	1.530957	1.53E-04	0.023945
5890273	Has3	1.531682	0.002551	0.046395
3310441	Twsg1	1.532081	0.008884	0.045753
1030598	D630029N22Rik	1.542926	5.76E-04	0.036594
4610095	Dnajc3	1.545027	0.002355	0.049529
7510154	Ets2	1.54861	0.001106	0.040726
6060452	Fgfr2	1.551387	0.002096	0.047689
2760431	Jak2	1.565484	0.004102	0.047689
6380632	Cspg2	1.583869	0.003439	0.040726
510240	4732455L03Rik	1.602204	0.005878	0.040833
5910241	Peg3	1.605959	0.011291	0.046765
1440286	Hectd2	1.606717	0.001983	0.036594
4860441	Rftn2	1.608498	0.006128	0.036594
3290133	Enpp1	1.615265	0.001235	0.037611
3060670	9430089E08Rik	1.625655	0.009835	0.046766
6130433	Eppk1	1.646172	0.00161	0.042166
1170626	Pik3r1	1.652784	0.001358	0.043209
4640397	Nin	1.654658	0.003007	0.04293
110347	Pcdh20	1.671517	8.46E-05	0.023945
510504	3110068G20Rik	1.693148	0.002085	0.039648
5810039	Lama3	1.697899	0.002047	0.039648
3870670	Thbs1	1.704254	8.69E-04	0.038338
360445	Cd109	1.710668	7.10E-04	0.031776
6270682	Slc15a2	1.762516	1.53E-04	0.031621
6660292	Spo11	1.780484	0.002529	0.034432
4290300	Sp5	1.792365	0.002255	0.038338
3140370	Nid1	1.820393	0.002088	0.04293
1850687	Mef2a	1.822892	0.001537	0.040726
1850215	Zfp288	1.82622	4.35E-04	0.034981
160066	Smpd3	1.841468	1.70E-04	0.023945
430008	Lrrn1	2.066969	0.00495	0.03715
6840121	Odc1	2.102129	2.28E-04	0.021604
6280392	Hmgcs2	2.166179	1.57E-04	0.023945
6290592	LOC226691	2.219279	7.06E-04	0.036594
1450491	Serpina3h	2.963004	0.00377	0.039382
