Gene symbol	Description	PEDF/Control Hybr. 1	PEDF/Control Hybr. 2	Function
NFATC2	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2	0.29	0.22	TRANSCRIPTION FACTORS
SOX2	SRY (sex determining region Y)-box 2	0.41	0.46	TRANSCRIPTION FACTORS
SOX5	SRY (sex determining region Y)-box 5	0.2	0.08	TRANSCRIPTION FACTORS
TBX2	T-box 2	0.24	0.19	TRANSCRIPTION FACTORS
BID	BH3 interacting domain death agonist	2.17	2.28	APOPTOSIS
NGFR	Nerve growth factor receptor (TNFR superfamily, member 16)	6.67	4.56	APOPTOSIS
ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	0.46	0.23	APOPTOSIS
BCL2A1	BCL2-related protein A1	0.04	0.05	APOPTOSIS
BIRC3	Baculoviral IAP repeat-containing 3	0.36	0.18	APOPTOSIS
FAIM3	Fas apoptotic inhibitory molecule	0.32	0.3	APOPTOSIS
FAS	Fas (TNF receptor superfamily, member 6)	0.19	0.19	APOPTOSIS
TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7	0.33	0.35	APOPTOSIS
CCNJ	Cyclin J	2.04	2.91	CELL PROLIFERATION
CLEC11A	C-type lectin domain family 11, member A	3.94	3.52	CELL PROLIFERATION
CYR61	Cysteine-rich, angiogenic inducer, 61	2.06	2.55	CELL PROLIFERATION
E2F5	E2F transcription factor 5, p130-binding	3.72	3.91	CELL PROLIFERATION
HDAC9	Histone deacetylase 9	2.51	3.35	CELL PROLIFERATION
MDK	Midkine (neurite growth-promoting factor 2)	7.29	9.42	CELL PROLIFERATION
CCNA1	Cyclin A1	0.1	0.08	CELL PROLIFERATION
CDKN1A	Cyclin-dependent kinase inhibitor 1A (p21, Cip1)	0.21	0.37	CELL PROLIFERATION
DUSP4	Dual specificity phosphatase 4	0.39	0.32	CELL PROLIFERATION
HIPK2	Homeodomain interacting protein kinase 2	0.41	0.41	CELL PROLIFERATION
IGF1R	Insulin-like growth factor 1 receptor	0.25	0.25	CELL PROLIFERATION
IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	0.24	0.14	CELL PROLIFERATION
IGFBP5	Insulin-like growth factor binding protein 5	0.27	0.27	CELL PROLIFERATION
IGFBP7	Insulin-like growth factor binding protein 7	0.32	0.45	CELL PROLIFERATION
NDN	Necdin homolog (mouse)	0.07	0.09	CELL PROLIFERATION
IL13RA2	Interleukin 13 receptor, alpha 2	0.41	0.44	CYTOKINES
IL1A	Interleukin 1, alpha	0.16	0.11	CYTOKINES
IL1RAP	Interleukin 1 receptor accessory protein	0.17	0.14	CYTOKINES
IL24	Interleukin 24	0.06	0.07	CYTOKINES
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	0.38	0.38	CYTOKINES
PLTP	phospholipid transfer protein	2.73	2.71	METABOLISM
ACOX2	acyl-Coenzyme A oxidase 2, branched chain	0.49	0.3	METABOLISM
ACSL1	acyl-CoA synthetase long-chain family member 1	0.34	0.39	METABOLISM
ADPGK	ADP-dependent glucokinase	0.39	0.38	METABOLISM
B3GAT1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)	0.35	0.29	METABOLISM
CHST11	carbohydrate (chondroitin 4) sulfotransferase 11	0.36	0.18	METABOLISM
IRS2	insulin receptor substrate 2	0.44	0.4	METABOLISM
MGLL	monoglyceride lipase /// monoglyceride lipase	0.24	0.44	METABOLISM
PLA2G4A	phospholipase A2, group IVA (cytosolic, calcium-dependent)	0.24	0.38	METABOLISM
