ID	logFC	AveExpr	t	P.Value	adj.P.Val	B
202908_at	-0.3275	5.28125	-0.772287	0.475048	0.731038	-4.628199
218523_at	0.1375	3.07625	0.762095	0.480586	0.731038	-4.629349
219122_s_at	-0.4175	6.28375	-0.752831	0.485661	0.731038	-4.630386
244116_at	0.14	5.3825	0.75274	0.485711	0.731038	-4.630396
215064_at	-0.1275	1.73125	-0.747266	0.488728	0.731038	-4.631005
222666_s_at	0.2875	2.80875	0.728265	0.499303	0.740633	-4.633098
233002_at	0.11	2.3325	0.709196	0.510077	0.749711	-4.635163
206984_s_at	0.1225	1.59875	0.70259	0.513847	0.749711	-4.63587
218611_at	0.265	5.7825	0.691851	0.520016	0.752543	-4.63701
227490_at	0.1275	3.08625	0.67593	0.529255	0.757617	-4.638678
239242_at	0.5475	3.17875	0.663251	0.536691	0.757617	-4.639987
203294_s_at	-0.1025	2.30125	-0.648565	0.54539	0.757617	-4.641482
238619_at	-0.255	3.9325	-0.64038	0.550279	0.757617	-4.642305
212425_at	-0.2475	3.12125	-0.638035	0.551685	0.757617	-4.64254
204696_s_at	-0.1225	1.96875	-0.637806	0.551822	0.757617	-4.642562
229677_at	0.0975	3.34625	0.619177	0.563076	0.757617	-4.644402
235360_at	0.1075	6.79875	0.618609	0.563421	0.757617	-4.644457
202132_at	-0.245	7.505	-0.614313	0.566038	0.757617	-4.644875
230631_s_at	-0.195	2.635	-0.614236	0.566085	0.757617	-4.644883
214845_s_at	-0.345	4.615	-0.596357	0.577059	0.760856	-4.6466
238526_at	0.185	6.9225	0.593007	0.57913	0.760856	-4.646917
1563469_a	0.16	2.8025	0.58946	0.581328	0.760856	-4.647252
205968_at	-0.25	7.77	-0.554463	0.603287	0.779274	-4.650471
229912_at	-0.18	3.725	-0.528745	0.619735	0.779274	-4.652739
239877_at	-0.0825	1.66625	-0.52855	0.619861	0.779274	-4.652755
242445_at	-0.08	1.625	-0.521703	0.624284	0.779274	-4.653344
230133_at	-0.0975	2.31875	-0.513201	0.629801	0.779274	-4.654067
1556678_a	-0.125	5.1575	-0.51303	0.629912	0.779274	-4.654081
225726_s_at	0.21	8.94	0.51197	0.630602	0.779274	-4.654171
239342_at	0.08	1.8425	0.507773	0.633338	0.779274	-4.654523
215253_s_at	-0.1075	2.14625	-0.505531	0.634802	0.779274	-4.654711
227997_at	-0.2525	6.12125	-0.485814	0.647759	0.789734	-4.656328
231011_at	-0.08	2.465	-0.449584	0.671939	0.813641	-4.65916
238228_at	-0.105	5.1625	-0.418907	0.692772	0.833199	-4.661411
227019_at	-0.085	3.055	-0.394656	0.709464	0.839466	-4.663092
243724_at	-0.0775	4.15375	-0.39137	0.71174	0.839466	-4.663312
235974_at	0.195	2.815	0.390806	0.712131	0.839466	-4.66335
214222_at	-0.1075	2.67375	-0.374761	0.723297	0.847019	-4.664404
238127_at	-0.1425	3.99125	-0.365163	0.730015	0.849298	-4.665015
228489_at	-0.2225	3.14875	-0.33062	0.754414	0.871985	-4.667096
1553346_a	0.05	1.5775	0.286033	0.786392	0.903082	-4.669498
241360_at	-0.06	2.6625	-0.249608	0.812879	0.919757	-4.671218
1560071_a	-0.0425	1.98125	-0.236178	0.822719	0.919757	-4.671795
205020_s_at	-0.1125	6.80125	-0.23138	0.826244	0.919757	-4.671994
222412_s_at	-0.1275	7.53375	-0.229831	0.827382	0.919757	-4.672058
220363_s_at	-0.0375	2.07875	-0.215256	0.838122	0.919757	-4.672634
230334_at	-0.065	3.9075	-0.214097	0.838978	0.919757	-4.672678
206085_s_at	0.0325	1.70875	0.208734	0.842941	0.919757	-4.67288
229370_at	0.105	3.985	0.207089	0.844158	0.919757	-4.672941
228806_at	-0.1275	6.94125	-0.202687	0.847416	0.919757	-4.673102
242722_at	-0.0625	6.23625	-0.186135	0.859698	0.927431	-4.673676
220031_at	-0.0275	1.72875	-0.170472	0.871362	0.934352	-4.674176
220080_at	0.03	1.7025	0.15513	0.882822	0.940972	-4.674624
238339_x_at	0.02	2.0325	0.1311	0.900837	0.954459	-4.675242
204695_at	-0.025	4.005	-0.112314	0.91497	0.958219	-4.675653
206143_at	-0.0175	1.52625	-0.110068	0.916662	0.958219	-4.675698
1555270_a	0.0175	2.45875	0.092775	0.929706	0.958219	-4.676014
235405_at	0.065	6.2575	0.091605	0.930589	0.958219	-4.676034
225625_at	-0.0225	5.34375	-0.090362	0.931528	0.958219	-4.676054
1552266_a	0.015	2.215	0.080738	0.9388	0.958219	-4.676203
216307_at	0.0125	1.61125	0.076416	0.942069	0.958219	-4.676264
204942_s_at	-0.025	6.595	-0.062059	0.952935	0.963763	-4.676444
239642_at	-0.005	1.8875	-0.029958	0.977267	0.982788	-4.676711
221919_at	-0.005	5.0225	-0.020658	0.984322	0.984322	-4.676754
