# Generate Mapping Tables Script: Version 4 11:06 on 02(MM)14(DD)2014(YYYY)
# Image/GenBank Handler Script: Version 2 11:06 on 02(MM)14(DD)2014(YYYY)
# Clone ID to GenBank   lookuptable: IMAGECLONE_UCSC_HG19
# GenBank  to Unigene   lookuptable: GB_TO_UG
# Unigene to EntrezGene lookuptable: UG_TO_ENTREZGENE
# Contig ID to Ensembl Lookuptable: PHRAP_CONTIGS 
refseq_dna|NM_003226.2|NM_003226	hgnc_symbol|TFF3|TFF3
refseq_dna|NM_001443.1|NM_001443	hgnc_symbol|FABP1|FABP1
refseq_dna|NM_001025158.1|NM_001025158	hgnc_symbol|CD74|CD74
refseq_dna|NM_033049.2|NM_033049	hgnc_symbol|MUC13|MUC13
refseq_dna|NM_000343.1|NM_000343	hgnc_symbol|SLC5A1|SLC5A1
refseq_dna|NM_004684.2|NM_004684	hgnc_symbol|SPARCL1|SPARCL1
refseq_dna|NM_000790.2|NM_000790	hgnc_symbol|DDC|DDC
refseq_dna|NM_000669.3|NM_000669	hgnc_symbol|ADH1C|ADH1C
refseq_dna|NM_000385.3|NM_000385	hgnc_symbol|AQP1|AQP1
refseq_dna|NM_004497.2|NM_004497	hgnc_symbol|FOXA3|FOXA3
refseq_dna|NM_002980.1|NM_002980	hgnc_symbol|SCTR|SCTR
refseq_dna|NM_001216.1|NM_001216	hgnc_symbol|CA9|CA9
refseq_dna|NM_017899.1|NM_017899	hgnc_symbol|TESC|TESC
refseq_dna|NM_001012993.1|NM_001012993	hgnc_symbol|C9ORF152|C9ORF152
refseq_dna|NM_020796.2|NM_020796	hgnc_symbol|SEMA6A|SEMA6A
refseq_dna|NM_004363.1|NM_004363	hgnc_symbol|CEACAM5|CEACAM5
refseq_dna|NM_000371.1|NM_000371	hgnc_symbol|TTR|TTR
refseq_dna|NM_020384.2|NM_020384	hgnc_symbol|CLDN2|CLDN2
refseq_dna|XM_936120.1|XM_936120	hgnc_symbol|HLA-DQA1|HLA-DQA1
refseq_dna|NM_015234.3|NM_015234	hgnc_symbol|GPR116|GPR116
refseq_dna|NM_018419.2|NM_018419	hgnc_symbol|SOX18|SOX18
refseq_dna|NM_001175.4|NM_001175	hgnc_symbol|ARHGDIB|ARHGDIB
refseq_dna|NM_000508.3|NM_000508	hgnc_symbol|FGA|FGA
refseq_dna|NM_005143.2|NM_005143	hgnc_symbol|HP|HP
refseq_dna|NM_000591.1|NM_000591	hgnc_symbol|CD14|CD14
refseq_dna|NM_032782.3|NM_032782	hgnc_symbol|HAVCR2|HAVCR2
refseq_dna|NM_022349.2|NM_022349	hgnc_symbol|MS4A6A|MS4A6A
refseq_dna|NM_033554.2|NM_033554	hgnc_symbol|HLA-DPA1|HLA-DPA1
refseq_dna|NM_006418.3|NM_006418	hgnc_symbol|OLFM4|OLFM4
refseq_dna|NM_012067.2|NM_012067	hgnc_symbol|AKR7A3|AKR7A3
refseq_dna|XM_939969.1|XM_939969	hgnc_symbol|LOC284422|LOC284422
refseq_dna|NM_005565.3|NM_005565	hgnc_symbol|LCP2|LCP2
refseq_dna|NM_001091.2|NM_001091	hgnc_symbol|ABP1|ABP1
refseq_dna|NM_004364.2|NM_004364	hgnc_symbol|CEBPA|CEBPA
refseq_dna|NM_016619.1|NM_016619	hgnc_symbol|PLAC8|PLAC8
refseq_dna|NM_001063.2|NM_001063	hgnc_symbol|TF|TF
refseq_dna|NM_014571.2|NM_014571	hgnc_symbol|HEYL|HEYL
refseq_dna|NM_005849.1|NM_005849	hgnc_symbol|IGSF6|IGSF6
refseq_dna|NM_001482.1|NM_001482	hgnc_symbol|GATM|GATM
refseq_dna|NM_024889.3|NM_024889	hgnc_symbol|C10ORF81|C10ORF81
refseq_dna|NM_005379.2|NM_005379	hgnc_symbol|MYO1A|MYO1A
refseq_dna|NM_000384.1|NM_000384	hgnc_symbol|APOB|APOB
refseq_dna|NM_018326.2|NM_018326	hgnc_symbol|GIMAP4|GIMAP4
refseq_dna|NM_002928.2|NM_002928	hgnc_symbol|RGS16|RGS16
refseq_dna|NM_000587.2|NM_000587	hgnc_symbol|C7|C7
refseq_dna|NM_022555.3|NM_022555	hgnc_symbol|HLA-DRB3|HLA-DRB3
refseq_dna|NM_006408.2|NM_006408	hgnc_symbol|AGR2|AGR2
refseq_dna|NM_006120.2|NM_006120	hgnc_symbol|HLA-DMA|HLA-DMA
refseq_dna|NM_005940.3|NM_005940	hgnc_symbol|MMP11|MMP11
refseq_dna|NM_000142.2|NM_000142	hgnc_symbol|FGFR3|FGFR3
refseq_dna|XM_940969.1|XM_940969	hgnc_symbol|LOC651751|LOC651751
refseq_dna|NM_001643.1|NM_001643	hgnc_symbol|APOA2|APOA2
refseq_dna|NM_005170.2|NM_005170	hgnc_symbol|ASCL2|ASCL2
refseq_dna|NM_018487.2|NM_018487	hgnc_symbol|HCA112|HCA112
refseq_dna|NM_024795.1|NM_024795	hgnc_symbol|TM4SF20|TM4SF20
refseq_dna|NM_033229.1|NM_033229	hgnc_symbol|TRIM15|TRIM15
refseq_dna|NM_004877.1|NM_004877	hgnc_symbol|GMFG|GMFG
refseq_dna|NM_002163.2|NM_002163	hgnc_symbol|IRF8|IRF8
refseq_dna|NM_206939.1|NM_206939	hgnc_symbol|MS4A7|MS4A7
refseq_dna|NM_000784.2|NM_000784	hgnc_symbol|CYP27A1|CYP27A1
refseq_dna|NM_002664.1|NM_002664	hgnc_symbol|PLEK|PLEK
refseq_dna|XM_944822.1|XM_944822	hgnc_symbol|LOC649143|LOC649143
refseq_dna|NM_004120.3|NM_004120	hgnc_symbol|GBP2|GBP2
refseq_dna|NM_004004.3|NM_004004	hgnc_symbol|GJB2|GJB2
refseq_dna|NM_000773.3|NM_000773	hgnc_symbol|CYP2E1|CYP2E1
refseq_dna|NM_003196.1|NM_003196	hgnc_symbol|TCEA3|TCEA3
refseq_dna|NM_000341.2|NM_000341	hgnc_symbol|SLC3A1|SLC3A1
refseq_dna|NM_001145.2|NM_001145	hgnc_symbol|ANG|ANG
refseq_dna|NM_174896.2|NM_174896	hgnc_symbol|C1ORF162|C1ORF162
refseq_dna|NM_001463.2|NM_001463	hgnc_symbol|FRZB|FRZB
refseq_dna|NM_021175.2|NM_021175	hgnc_symbol|HAMP|HAMP
refseq_dna|NM_004106.1|NM_004106	hgnc_symbol|FCER1G|FCER1G
refseq_dna|NM_024320.2|NM_024320	hgnc_symbol|ATAD4|ATAD4
refseq_dna|NM_001150.1|NM_001150	hgnc_symbol|ANPEP|ANPEP
refseq_dna|NM_020980.2|NM_020980	hgnc_symbol|AQP9|AQP9
refseq_dna|NM_005241.1|NM_005241	hgnc_symbol|EVI1|EVI1
refseq_dna|NM_022138.1|NM_022138	hgnc_symbol|SMOC2|SMOC2
refseq_dna|NM_000715.3|NM_000715	hgnc_symbol|C4BPA|C4BPA
refseq_dna|NM_032044.2|NM_032044	hgnc_symbol|REG4|REG4
refseq_dna|NM_000507.2|NM_000507	hgnc_symbol|FBP1|FBP1
refseq_dna|NM_001031733.1|NM_001031733	hgnc_symbol|CALML4|CALML4
refseq_dna|NM_005630.1|NM_005630	hgnc_symbol|SLCO2A1|SLCO2A1
embl|BG545303|BG545303	hgnc_symbol|Hs.137274|Hs.137274
refseq_dna|NM_002029.3|NM_002029	hgnc_symbol|FPR1|FPR1
refseq_dna|NM_001007595.1|NM_001007595	hgnc_symbol|NLF2|NLF2
refseq_dna|NM_003810.2|NM_003810	hgnc_symbol|TNFSF10|TNFSF10
refseq_dna|NM_152311.1|NM_152311	hgnc_symbol|TMEM12|TMEM12
refseq_dna|NM_001666.2|NM_001666	hgnc_symbol|ARHGAP4|ARHGAP4
refseq_dna|NM_000494.2|NM_000494	hgnc_symbol|COL17A1|COL17A1
refseq_dna|NM_002885.1|NM_002885	hgnc_symbol|RAP1GA1|RAP1GA1
refseq_dna|NM_005161.2|NM_005161	hgnc_symbol|AGTRL1|AGTRL1
refseq_dna|NM_004591.1|NM_004591	hgnc_symbol|CCL20|CCL20
refseq_dna|NM_001074.1|NM_001074	hgnc_symbol|UGT2B7|UGT2B7
refseq_dna|XM_939056.1|XM_939056	hgnc_symbol|LOC649970|LOC649970
refseq_dna|NM_031457.1|NM_031457	hgnc_symbol|MS4A8B|MS4A8B
refseq_dna|NM_000377.1|NM_000377	hgnc_symbol|WAS|WAS
refseq_dna|NM_138788.2|NM_138788	hgnc_symbol|TMEM45B|TMEM45B
refseq_dna|NM_004847.2|NM_004847	hgnc_symbol|AIF1|AIF1
refseq_dna|NM_003641.2|NM_003641	hgnc_symbol|IFITM1|IFITM1
refseq_dna|NM_000856.2|NM_000856	hgnc_symbol|GUCY1A3|GUCY1A3
refseq_dna|NM_001311.3|NM_001311	hgnc_symbol|CRIP1|CRIP1
refseq_dna|NM_001185.2|NM_001185	hgnc_symbol|AZGP1|AZGP1
entrezgene|X00437|51561	hgnc_symbol|Hs.534427|Hs.534427
refseq_dna|NM_019062.1|NM_019062	hgnc_symbol|RNF186|RNF186
refseq_dna|NM_001066.2|NM_001066	hgnc_symbol|TNFRSF1B|TNFRSF1B
refseq_dna|NM_000493.2|NM_000493	hgnc_symbol|COL10A1|COL10A1
refseq_dna|NM_001979.4|NM_001979	hgnc_symbol|EPHX2|EPHX2
refseq_dna|NM_007256.2|NM_007256	hgnc_symbol|SLCO2B1|SLCO2B1
refseq_dna|NM_013261.2|NM_013261	hgnc_symbol|PPARGC1A|PPARGC1A
refseq_dna|NM_000574.2|NM_000574	hgnc_symbol|CD55|CD55
refseq_dna|XM_937586.1|XM_937586	hgnc_symbol|FLJ21438|FLJ21438
refseq_dna|NM_153338.1|NM_153338	hgnc_symbol|GGT6|GGT6
refseq_dna|NM_002304.1|NM_002304	hgnc_symbol|LFNG|LFNG
refseq_dna|NM_014033.2|NM_014033	hgnc_symbol|METTL7A|METTL7A
refseq_dna|NM_024027.3|NM_024027	hgnc_symbol|COLEC11|COLEC11
embl|BC038512|BC038512	hgnc_symbol|Hs.296031|Hs.296031
refseq_dna|NM_002155.3|NM_002155	hgnc_symbol|HSPA6|HSPA6
refseq_dna|NM_145740.2|NM_145740	hgnc_symbol|GSTA1|GSTA1
refseq_dna|NM_145202.3|NM_145202	hgnc_symbol|PRAP1|PRAP1
refseq_dna|NM_002983.1|NM_002983	hgnc_symbol|CCL3|CCL3
refseq_dna|NM_173561.1|NM_173561	hgnc_symbol|UNC5CL|UNC5CL
refseq_dna|NM_003621.1|NM_003621	hgnc_symbol|PPFIBP2|PPFIBP2
refseq_dna|NM_153206.1|NM_153206	hgnc_symbol|AMICA1|AMICA1
embl|CR627122|CR627122	hgnc_symbol|Hs.291319|Hs.291319
refseq_dna|NM_025047.1|NM_025047	hgnc_symbol|ARL14|ARL14
refseq_dna|NM_002432.1|NM_002432	hgnc_symbol|MNDA|MNDA
refseq_dna|NM_199327.1|NM_199327	hgnc_symbol|SPRY1|SPRY1
refseq_dna|NM_194431.1|NM_194431	hgnc_symbol|RNASE4|RNASE4
refseq_dna|NM_025243.2|NM_025243	hgnc_symbol|SLC19A3|SLC19A3
refseq_dna|NM_006113.3|NM_006113	hgnc_symbol|VAV3|VAV3
refseq_dna|NM_001001437.2|NM_001001437	hgnc_symbol|CCL3L3|CCL3L3
refseq_dna|NM_000958.2|NM_000958	hgnc_symbol|PTGER4|PTGER4
refseq_dna|NM_006209.2|NM_006209	hgnc_symbol|ENPP2|ENPP2
refseq_dna|NM_006748.1|NM_006748	hgnc_symbol|SLA|SLA
refseq_dna|NM_003105.3|NM_003105	hgnc_symbol|SORL1|SORL1
refseq_dna|NM_014694.2|NM_014694	hgnc_symbol|ADAMTSL2|ADAMTSL2
refseq_dna|NM_007028.3|NM_007028	hgnc_symbol|TRIM31|TRIM31
refseq_dna|NM_003467.2|NM_003467	hgnc_symbol|CXCR4|CXCR4
refseq_dna|NM_000300.2|NM_000300	hgnc_symbol|PLA2G2A|PLA2G2A
refseq_dna|NM_173452.1|NM_173452	hgnc_symbol|FCN3|FCN3
refseq_dna|NM_006096.2|NM_006096	hgnc_symbol|NDRG1|NDRG1
refseq_dna|NM_024743.2|NM_024743	hgnc_symbol|UGT2A3|UGT2A3
refseq_dna|NM_001073.1|NM_001073	hgnc_symbol|UGT2B11|UGT2B11
refseq_dna|NM_004093.2|NM_004093	hgnc_symbol|EFNB2|EFNB2
refseq_dna|XM_937295.1|XM_937295	hgnc_symbol|ALOX5|ALOX5
refseq_dna|NM_001033047.1|NM_001033047	hgnc_symbol|NPNT|NPNT
refseq_dna|NM_001010919.1|NM_001010919	hgnc_symbol|LOC441168|LOC441168
refseq_dna|NM_024829.4|NM_024829	hgnc_symbol|FLJ22662|FLJ22662
refseq_dna|NM_001461.1|NM_001461	hgnc_symbol|FMO5|FMO5
refseq_dna|NM_023944.1|NM_023944	hgnc_symbol|CYP4F12|CYP4F12
refseq_dna|NM_138933.1|NM_138933	hgnc_symbol|ACF|ACF
refseq_dna|NM_198998.1|NM_198998	hgnc_symbol|AQP12A|AQP12A
refseq_dna|NM_016323.1|NM_016323	hgnc_symbol|HERC5|HERC5
refseq_dna|NM_006864.1|NM_006864	hgnc_symbol|LILRB3|LILRB3
refseq_dna|NM_133367.2|NM_133367	hgnc_symbol|PAQR8|PAQR8
refseq_dna|NM_017817.1|NM_017817	hgnc_symbol|RAB20|RAB20
refseq_dna|NM_031311.2|NM_031311	hgnc_symbol|CPVL|CPVL
refseq_dna|NM_005461.3|NM_005461	hgnc_symbol|MAFB|MAFB
refseq_dna|NM_000531.3|NM_000531	hgnc_symbol|OTC|OTC
refseq_dna|NM_032501.2|NM_032501	hgnc_symbol|ACSS1|ACSS1
refseq_dna|NM_144765.1|NM_144765	hgnc_symbol|EVA1|EVA1
refseq_dna|NM_001005915.1|NM_001005915	hgnc_symbol|ERBB3|ERBB3
refseq_dna|NM_004079.3|NM_004079	hgnc_symbol|CTSS|CTSS
refseq_dna|NM_005335.3|NM_005335	hgnc_symbol|HCLS1|HCLS1
refseq_dna|NM_006332.3|NM_006332	hgnc_symbol|IFI30|IFI30
refseq_dna|NM_000716.3|NM_000716	hgnc_symbol|C4BPB|C4BPB
refseq_dna|NM_014234.3|NM_014234	hgnc_symbol|HSD17B8|HSD17B8
refseq_dna|NM_001075.2|NM_001075	hgnc_symbol|UGT2B10|UGT2B10
refseq_dna|NM_020247.3|NM_020247	hgnc_symbol|CABC1|CABC1
refseq_dna|XM_941789.1|XM_941789	hgnc_symbol|LOC652358|LOC652358
refseq_dna|NM_003645.2|NM_003645	hgnc_symbol|SLC27A2|SLC27A2
refseq_dna|NM_001306.2|NM_001306	hgnc_symbol|CLDN3|CLDN3
refseq_dna|XM_496697.2|XM_496697	hgnc_symbol|LOC441018|LOC441018
embl|BQ438671|BQ438671	hgnc_symbol|Hs.583806|Hs.583806
refseq_dna|NM_000846.3|NM_000846	hgnc_symbol|GSTA2|GSTA2
refseq_dna|NM_014266.3|NM_014266	hgnc_symbol|HCST|HCST
refseq_dna|NM_003774.3|NM_003774	hgnc_symbol|GALNT4|GALNT4
refseq_dna|NM_001003954.1|NM_001003954	hgnc_symbol|ANXA13|ANXA13
refseq_dna|NM_138393.1|NM_138393	hgnc_symbol|REEP6|REEP6
refseq_dna|NM_021220.2|NM_021220	hgnc_symbol|OVOL2|OVOL2
refseq_dna|NM_001001435.2|NM_001001435	hgnc_symbol|CCL4L1|CCL4L1
refseq_dna|NM_000492.2|NM_000492	hgnc_symbol|CFTR|CFTR
refseq_dna|NM_006144.2|NM_006144	hgnc_symbol|GZMA|GZMA
refseq_dna|NM_033086.1|NM_033086	hgnc_symbol|FGD3|FGD3
refseq_dna|NM_001024912.1|NM_001024912	hgnc_symbol|CEACAM1|CEACAM1
refseq_dna|NM_025195.2|NM_025195	hgnc_symbol|TRIB1|TRIB1
refseq_dna|NM_006059.2|NM_006059	hgnc_symbol|LAMC3|LAMC3
refseq_dna|NM_002612.2|NM_002612	hgnc_symbol|PDK4|PDK4
refseq_dna|NM_016339.1|NM_016339	hgnc_symbol|RAPGEFL1|RAPGEFL1
refseq_dna|NM_001015001.1|NM_001015001	hgnc_symbol|CKMT1A|CKMT1A
refseq_dna|NM_000397.2|NM_000397	hgnc_symbol|CYBB|CYBB
refseq_dna|NM_014585.3|NM_014585	hgnc_symbol|SLC40A1|SLC40A1
refseq_dna|NM_001251.1|NM_001251	hgnc_symbol|CD68|CD68
refseq_dna|NM_018490.1|NM_018490	hgnc_symbol|LGR4|LGR4
refseq_dna|NM_052972.2|NM_052972	hgnc_symbol|LRG1|LRG1
refseq_dna|NM_015888.3|NM_015888	hgnc_symbol|HOOK1|HOOK1
refseq_dna|NM_020998.2|NM_020998	hgnc_symbol|MST1|MST1
refseq_dna|NM_004951.3|NM_004951	hgnc_symbol|EBI2|EBI2
refseq_dna|NM_001077.2|NM_001077	hgnc_symbol|UGT2B17|UGT2B17
refseq_dna|NM_013314.2|NM_013314	hgnc_symbol|BLNK|BLNK
refseq_dna|NM_000096.1|NM_000096	hgnc_symbol|CP|CP
refseq_dna|NM_005693.1|NM_005693	hgnc_symbol|NR1H3|NR1H3
refseq_dna|XM_941665.1|XM_941665	hgnc_symbol|LOC387763|LOC387763
refseq_dna|NM_003120.1|NM_003120	hgnc_symbol|SPI1|SPI1
refseq_dna|NM_018593.3|NM_018593	hgnc_symbol|SLC16A10|SLC16A10
refseq_dna|NM_203416.1|NM_203416	hgnc_symbol|CD163|CD163
refseq_dna|NM_006472.1|NM_006472	hgnc_symbol|TXNIP|TXNIP
refseq_dna|NM_000130.2|NM_000130	hgnc_symbol|F5|F5
refseq_dna|NM_005615.2|NM_005615	hgnc_symbol|RNASE6|RNASE6
refseq_dna|NM_015393.2|NM_015393	hgnc_symbol|DKFZP564O0823|DKFZP564O0823
refseq_dna|XM_938054.1|XM_938054	hgnc_symbol|LOC388564|LOC388564
embl|AV735490|AV735490	hgnc_symbol|Hs.580229|Hs.580229
refseq_dna|NM_031469.1|NM_031469	hgnc_symbol|SH3BGRL2|SH3BGRL2
refseq_dna|NM_152637.1|NM_152637	hgnc_symbol|METTL7B|METTL7B
refseq_dna|NM_007127.1|NM_007127	hgnc_symbol|VIL1|VIL1
refseq_dna|NM_014430.1|NM_014430	hgnc_symbol|CIDEB|CIDEB
refseq_dna|NM_198053.1|NM_198053	hgnc_symbol|CD3Z|CD3Z
refseq_dna|NM_033255.2|NM_033255	hgnc_symbol|EPSTI1|EPSTI1
refseq_dna|NM_007029.2|NM_007029	hgnc_symbol|STMN2|STMN2
refseq_dna|NM_015419.1|NM_015419	hgnc_symbol|MXRA5|MXRA5
refseq_dna|NM_005258.2|NM_005258	hgnc_symbol|GCHFR|GCHFR
refseq_dna|NM_015136.2|NM_015136	hgnc_symbol|STAB1|STAB1
refseq_dna|NM_005949.1|NM_005949	hgnc_symbol|MT1F|MT1F
refseq_dna|NM_004288.3|NM_004288	hgnc_symbol|PSCDBP|PSCDBP
refseq_dna|NM_004946.1|NM_004946	hgnc_symbol|DOCK2|DOCK2
refseq_dna|NM_002661.1|NM_002661	hgnc_symbol|PLCG2|PLCG2
refseq_dna|NM_020990.3|NM_020990	hgnc_symbol|CKMT1B|CKMT1B
refseq_dna|NM_002763.3|NM_002763	hgnc_symbol|PROX1|PROX1
refseq_dna|NM_006633.1|NM_006633	hgnc_symbol|IQGAP2|IQGAP2
refseq_dna|NM_174918.1|NM_174918	hgnc_symbol|MCEMP1|MCEMP1
refseq_dna|NM_175571.2|NM_175571	hgnc_symbol|GIMAP8|GIMAP8
refseq_dna|NM_017786.2|NM_017786	hgnc_symbol|FLJ20366|FLJ20366
refseq_dna|NM_021784.3|NM_021784	hgnc_symbol|FOXA2|FOXA2
refseq_dna|NM_001767.2|NM_001767	hgnc_symbol|CD2|CD2
refseq_dna|NM_005623.2|NM_005623	hgnc_symbol|CCL8|CCL8
refseq_dna|NM_152309.2|NM_152309	hgnc_symbol|PIK3AP1|PIK3AP1
embl|BC035116|BC035116	hgnc_symbol|Hs.19339|Hs.19339
refseq_dna|NM_000442.2|NM_000442	hgnc_symbol|PECAM1|PECAM1
refseq_dna|NM_001776.3|NM_001776	hgnc_symbol|ENTPD1|ENTPD1
refseq_dna|NM_021969.1|NM_021969	hgnc_symbol|NR0B2|NR0B2
refseq_dna|NM_014141.3|NM_014141	hgnc_symbol|CNTNAP2|CNTNAP2
refseq_dna|NM_001467.3|NM_001467	hgnc_symbol|SLC37A4|SLC37A4
refseq_dna|NM_003294.3|NM_003294	hgnc_symbol|TPSAB1|TPSAB1
refseq_dna|NM_000247.1|NM_000247	hgnc_symbol|MICA|MICA
refseq_dna|NM_145244.2|NM_145244	hgnc_symbol|DDIT4L|DDIT4L
refseq_dna|NM_017420.2|NM_017420	hgnc_symbol|SIX4|SIX4
refseq_dna|NM_052839.2|NM_052839	hgnc_symbol|PANX2|PANX2
refseq_dna|NM_003596.2|NM_003596	hgnc_symbol|TPST1|TPST1
refseq_dna|NM_052947.2|NM_052947	hgnc_symbol|HAK|HAK
refseq_dna|NM_013451.2|NM_013451	hgnc_symbol|FER1L3|FER1L3
refseq_dna|NM_007085.3|NM_007085	hgnc_symbol|FSTL1|FSTL1
refseq_dna|NM_207371.2|NM_207371	hgnc_symbol|FLJ45187|FLJ45187
refseq_dna|NM_002064.1|NM_002064	hgnc_symbol|GLRX|GLRX
refseq_dna|NM_012068.2|NM_012068	hgnc_symbol|ATF5|ATF5
refseq_dna|NM_002430.2|NM_002430	hgnc_symbol|MN1|MN1
refseq_dna|NM_033184.2|NM_033184	hgnc_symbol|KRTAP2-4|KRTAP2-4
refseq_dna|NM_000992.2|NM_000992	hgnc_symbol|RPL29|RPL29
refseq_dna|NM_022475.1|NM_022475	hgnc_symbol|HHIP|HHIP
refseq_dna|NM_203394.1|NM_203394	hgnc_symbol|E2F7|E2F7
refseq_dna|NM_024692.3|NM_024692	hgnc_symbol|RSNL2|RSNL2
refseq_dna|NM_014365.2|NM_014365	hgnc_symbol|HSPB8|HSPB8
refseq_dna|NM_014903.3|NM_014903	hgnc_symbol|NAV3|NAV3
refseq_dna|NM_013943.1|NM_013943	hgnc_symbol|CLIC4|CLIC4
refseq_dna|NM_005953.2|NM_005953	hgnc_symbol|MT2A|MT2A
refseq_dna|NM_078467.1|NM_078467	hgnc_symbol|CDKN1A|CDKN1A
refseq_dna|NM_001235.2|NM_001235	hgnc_symbol|SERPINH1|SERPINH1
refseq_dna|NM_002300.3|NM_002300	hgnc_symbol|LDHB|LDHB
refseq_dna|NM_017946.2|NM_017946	hgnc_symbol|FKBP14|FKBP14
refseq_dna|NM_032211.6|NM_032211	hgnc_symbol|LOXL4|LOXL4
refseq_dna|NM_003798.1|NM_003798	hgnc_symbol|CTNNAL1|CTNNAL1
refseq_dna|NM_005168.3|NM_005168	hgnc_symbol|RND3|RND3
