Probe Set ID	Gene Title	Gene Symbol	Chromosomal Location	FFPE FD	FFPE p value	FF FD	FF p value
1555564_a_at	complement factor I	CFI	chr4q25	-3.81055199217575	0.000219081	-2.58470566127498	0.004757594
1555628_a_at	hepatitis A virus cellular receptor 2	HAVCR2	chr5q33.3	-2.97935492624541	0.002995598	-7.54227628734591	0.000317074
1555800_at	zinc finger protein 385B	ZNF385B	chr2q31.2-q31.3	-8.96932862422807	2.88299E-05	-11.9174197049816	1.30668E-05
1555801_s_at	zinc finger protein 385B	ZNF385B	chr2q31.2-q31.3	-3.64267933436791	0.001372016	-7.16020056742378	3.17392E-05
1555847_a_at	hypothetical protein LOC284454	LOC284454	chr19p13.13	-2.73208051350879	5.18738E-07	-2.25011696937762	1.91141E-05
1556294_at	MRNA; cDNA DKFZp547P0115 (from clone DKFZp547P0115)	---	---	-2.02791895958006	0.009781304	-2.33755449712249	0.002197969
1556314_a_at	(clone 1NIB-4) normalized cDNA library sequence	---	---	-5.61777950295199	4.64008E-06	-3.00007797857164	0.000888825
1556364_at	Hypothetical protein LOC730057	LOC730057	chr3p14.1	-2.02791895958006	0.005788913	-3.14923190627681	0.004478414
1556667_at	hypothetical protein LOC348751	LOC348751	chr2q33.1	-1.44894215455488	0.007991342	-2.04202425141439	1.90874E-05
1556698_a_at	GPRIN family member 3	GPRIN3	chr4q22.1	-2.09216987958506	0.005575448	-3.9176811903477	0.000360294
1557829_at	CDNA clone IMAGE:4837142	---	---	-2.47941539987797	0.000855132	-2.43682052735038	0.002250112
1558152_at	CDNA FLJ35102 fis, clone PLACE6006474, weakly similar to ADHESIVE PLAQUE MATRIX PROTEIN PRECURSOR	---	---	-1.62450479271247	0.009086408	-1.59107296750984	0.007697099
1558392_at	spectrin repeat containing, nuclear envelope 2	SYNE2	chr14q23.2	-1.7111900513652	0.008352105	-2.16595009105185	0.001699241
1558397_at	CDNA FLJ34100 fis, clone FCBBF3007597	---	---	-1.38991821984234	0.007704864	-1.63014466480525	0.00763294
1558631_at	peroxisome proliferator-activated receptor alpha	PPARA	chr22q12-q13.1|22q13.31	-1.70526978353591	0.005630672	-1.8276629004588	0.007680982
1558647_at	SH3 domain protein D19	SH3D19	chr4q31.3	-2.34566989846376	6.22933E-05	-1.80875875512218	0.001260069
1558693_s_at	chromosome 1 open reading frame 85	C1orf85	chr1q22	-2.47083727425386	2.95165E-05	-1.53687518128801	0.00505824
1558733_at	zinc finger and BTB domain containing 38	ZBTB38	chr3q23	-2.45376995450761	0.000177663	-1.91852823865053	0.001365992
1558742_at	Homo sapiens, clone IMAGE:4872114, mRNA	---	---	-2.12874036490672	0.001032085	-2.71320865489534	0.00125111
1558828_s_at	Hypothetical protein LOC728264	LOC728264	chr5q33.1	-4.74037108376633	0.000475807	-6.16884330163176	0.007951953
1558881_at	hypothetical protein LOC145820	LOC145820	chr15q26.2	-7.06162397032524	2.59397E-05	-13.6421582682873	4.13351E-06
1559332_at	Homo sapiens, clone IMAGE:4108653, mRNA	---	---	-1.83400808640934	0.00077537	-2.75108363627949	0.000186845
1559376_at	chromosome 1 open reading frame 203	C1orf203	chr1p12	-2.81864151028404	7.2217E-05	-2.35381347443753	0.002808442
1559400_s_at	pregnancy-associated plasma protein A, pappalysin 1	PAPPA	chr9q33.2	-12.0003119142865	5.56385E-06	-7.28535866873582	0.000126723
1560063_a_at	MRNA; cDNA DKFZp667J114 (from clone DKFZp667J114)	---	---	-4.59479341998814	0.000374364	-6.32033049490702	0.000157473
1560884_at	Solute carrier family 17 (sodium phosphate), member 1	SLC17A1	chr6p23-p21.3	-79.8931551297031	0.001195782	-58.688258765099	0.000874507
1560885_x_at	Solute carrier family 17 (sodium phosphate), member 1	SLC17A1	chr6p23-p21.3	-98.7014928261082	0.000202422	-39.9465775648516	0.000818714
1561211_at	CDNA clone IMAGE:5265906	---	---	-3.6807506024995	3.62469E-06	-3.05251841792112	4.29907E-05
1561336_at	deoxyribonuclease I-like 3	DNASE1L3	chr3p21.1-p14.3	-3.78423058690238	0.000721969	-2.39495740923786	0.003599436
1561615_s_at	solute carrier family 8 (sodium/calcium exchanger), member 1	SLC8A1	chr2p23-p22	-5.50216727255897	0.000113577	-2.67585510957222	0.007864217
1562453_at	MRNA; cDNA DKFZp686F1318 (from clone DKFZp686F1318)	---	---	-4.11245530662426	0.006100407	-24.0839479585771	0.00022087
1562638_at	hypothetical LOC339874	LOC339874	chr3q22.1	-3.931282394181	3.53116E-05	-3.53081198516262	0.00063616
1563445_x_at	cathepsin L-like 3	CTSLL3	---	-1.54756499354239	0.006138718	-1.63014466480525	0.003764806
1563874_at	WD repeat domain 72	WDR72	chr15q21.3	-12.2950014503041	0.00102603	-82.9977314976646	8.29179E-06
1564207_at	hypothetical protein FLJ35390	FLJ35390	chr7p13	-3.37526318452007	0.000285883	-3.78423058690238	0.000244275
1564208_x_at	hypothetical protein FLJ35390	FLJ35390	chr7p13	-2.84810039119414	0.000152368	-1.67017583885674	0.008672723
1564479_a_at	CDNA FLJ37609 fis, clone BRCOC2011010	---	---	-8.22491061324853	2.94977E-05	-12.4235020000166	0.000131228
1564744_at	CDNA clone IMAGE:4616798	---	---	-2.12874036490672	0.002550127	-2.34566989846376	0.005074782
1566194_at	MRNA; cDNA DKFZp313O2015 (from clone DKFZp313O2015)	---	---	-2.01391110011344	0.001382334	-1.82133966718396	0.006673722
1566967_at	CDNA: FLJ20903 fis, clone ADSE00222	---	---	-1.84037530124975	0.000800891	-1.72309231942403	0.008840918
1568574_x_at	Secreted phosphoprotein 1 (osteopontin, bone sialoprotein I, early T-lymphocyte activation 1)	SPP1	chr4q21-q25	-143.012753673244	2.88981E-06	-74.0280437699384	0.000626757
1568768_s_at	brain and reproductive organ-expressed (TNFRSF1A modulator)	BRE	chr2p23.2	-2.28944832119737	0.006205818	-7.75431853548052	1.70685E-05
1569434_at	chromosome 14 open reading frame 105	C14orf105	chr14q23.1	-3.4822022531845	0.000317594	-5.8360813769607	5.24039E-05
1570177_at	Homo sapiens, clone IMAGE:4770655, mRNA	---	---	-1.70526978353591	0.009089399	-1.71713087287551	0.007468533
1570181_a_at	Homo sapiens, clone IMAGE:3857181, mRNA	---	---	-3.6553258009176	0.006535129	-4.99332219560645	0.008744018
200070_at	chromosome 2 open reading frame 24	C2orf24	chr2q35	-2.05622765331213	0.001921345	-1.91852823865053	0.001115161
200609_s_at	WD repeat domain 1	WDR1	chr4p16.1	-2.10672207190967	8.15203E-07	-1.4439291955225	0.002972514
200632_s_at	N-myc downstream regulated gene 1	NDRG1	chr8q24.3	-3.50642288526414	0.000570174	-3.89061978964914	0.004585644
200661_at	cathepsin A	CTSA	chr20q13.1	-3.29436406907029	1.82049E-05	-3.50642288526414	1.84961E-05
200701_at	Niemann-Pick disease, type C2	NPC2	chr14q24.3	-2.12137548273643	2.20517E-05	-1.87254449486898	0.000400285
200742_s_at	tripeptidyl peptidase I	TPP1	chr11p15	-2.37018554188316	0.000209795	-3.95862662566083	2.51703E-05
200743_s_at	tripeptidyl peptidase I	TPP1	chr11p15	-1.71713087287551	0.004454435	-2.93833726655662	0.000231167
200758_s_at	nuclear factor (erythroid-derived 2)-like 1	NFE2L1	chr17q21.3	-1.80250092522166	0.000779913	-2.07052984768275	0.000383084
200766_at	cathepsin D	CTSD	chr11p15.5	-3.0314331330208	0.000549936	-2.28152743173685	0.001824479
200838_at	cathepsin B	CTSB	chr8p22	-3.17113654644114	9.57289E-05	-2.07771820659533	0.001652502
200866_s_at	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	PSAP	chr10q21-q22	-1.95884059517385	0.009449065	-1.93187265784969	0.009149141
200871_s_at	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	PSAP	chr10q21-q22	-1.63580411711556	0.000619124	-1.52097875324101	0.00325946
200872_at	S100 calcium binding protein A10	S100A10	chr1q21	-3.28296643524199	0.001427473	-6.63455636651553	0.00220588
200878_at	endothelial PAS domain protein 1	EPAS1	chr2p21-p16	-8.33972608672896	2.21631E-06	-5.31474325638605	2.86582E-05
200879_s_at	endothelial PAS domain protein 1	EPAS1	chr2p21-p16	-3.53081198516262	8.583E-05	-3.01049349482213	0.000550591
200983_x_at	CD59 molecule, complement regulatory protein	CD59	chr11p13	-2.62078680771673	0.000496698	-2.12137548273643	0.005813597
200984_s_at	CD59 molecule, complement regulatory protein	CD59	chr11p13	-3.3987399965546	6.52648E-08	-2.21146130664054	9.45451E-06
201008_s_at	thioredoxin interacting protein	TXNIP	chr1q21.1	-3.31727818325777	4.08314E-06	-2.07771820659533	0.003887851
201041_s_at	dual specificity phosphatase 1	DUSP1	chr5q34	-11.042538827173	1.10212E-09	-3.02094517112565	2.80918E-05
201060_x_at	stomatin	STOM	chr9q34.1	-3.60500185044332	6.49456E-06	-2.24233215605702	0.004362594
201061_s_at	stomatin	STOM	chr9q34.1	-6.98858316733356	9.57694E-11	-2.92817139189125	2.99653E-07
201107_s_at	thrombospondin 1	THBS1	chr15q15	-4.16986304336449	0.00161747	-4.37717480504296	0.003772987
201108_s_at	thrombospondin 1	THBS1	chr15q15	-11.712685567565	2.77377E-06	-5.91755003699535	0.000798207
201109_s_at	thrombospondin 1	THBS1	chr15q15	-10.0561069961746	5.10483E-05	-5.11594232510972	0.003964213
201110_s_at	thrombospondin 1	THBS1	chr15q15	-11.1193457587387	1.19792E-07	-4.45368647291474	0.000504782
201150_s_at	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	TIMP3	chr22q12.1-q13.2|22q12.3	-5.4076433321125	2.43081E-07	-2.25792880961226	0.000835363
201162_at	insulin-like growth factor binding protein 7	IGFBP7	chr4q12	-4.05583791916011	1.98016E-07	-3.79736848380208	1.69638E-06
201235_s_at	BTG family, member 2	BTG2	chr1q32	-1.94530989482457	0.006202129	-1.72309231942403	0.0027626
201236_s_at	BTG family, member 2	BTG2	chr1q32	-7.4384395409053	5.63574E-05	-2.808889751476	0.004960643
201278_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	chr5p13	-4.89056111076827	2.14865E-05	-2.58470566127499	0.002084546
201279_s_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	chr5p13	-4.97604661319388	3.77947E-05	-3.29436406907029	0.001936063
201280_s_at	disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	DAB2	chr5p13	-3.53081198516262	0.00187054	-3.69352924291758	0.001678789
201289_at	cysteine-rich, angiogenic inducer, 61	CYR61	chr1p31-p22	-9.64646262152609	3.66294E-05	-6.29846381255362	0.003059025
201328_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2	chr21q22.3|21q22.2	-1.69349062472505	0.000524611	-3.282966435242	4.48089E-05
201329_s_at	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	ETS2	chr21q22.3|21q22.2	-1.67017583885674	0.009595489	-2.1961856275741	0.001671332
201348_at	glutathione peroxidase 3 (plasma)	GPX3	chr5q23	-28.9401400819548	0.00032328	-30.2738446952191	0.001910966
201363_s_at	influenza virus NS1A binding protein	IVNS1ABP	chr1q25.1-q31.1	-2	0.000106398	-2.05622765331213	0.000334704
201412_at	low density lipoprotein receptor-related protein 10	LRP10	chr14q11.2	-1.87254449486898	0.001114181	-2.18858740252148	0.004200238
201442_s_at	ATPase, H+ transporting, lysosomal accessory protein 2	ATP6AP2	chrXp11.4	-2.64817782079079	4.0065E-05	-2.37841423000544	0.000533822
201473_at	jun B proto-oncogene	JUNB	chr19p13.2	-2.9690471412581	0.000932788	-2.62988552041014	0.002112224
201487_at	cathepsin C	CTSC	chr11q14.1-q14.3	-1.75321144263207	0.00931934	-3.59252949153574	5.86245E-05
201496_x_at	myosin, heavy chain 11, smooth muscle	MYH11	chr16p13.11	-2.84810039119414	0.000612229	-6.91629785046292	5.68883E-05
201497_x_at	myosin, heavy chain 11, smooth muscle	MYH11	chr16p13.11	-5.55967287936935	2.70889E-05	-6.12623198837753	7.05467E-05
201508_at	insulin-like growth factor binding protein 4	IGFBP4	chr17q12-q21.1	-5.27803164309158	9.10954E-08	-2.28152743173685	0.00155132
201510_at	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	ELF3	chr1q32.2	-3.9041270431049	0.009574009	-17.3877578004169	0.000866425
201531_at	zinc finger protein 36, C3H type, homolog (mouse)	ZFP36	chr19q13.1	-8.36867951834024	1.88022E-07	-4.57889664239474	6.22599E-05
201536_at	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	DUSP3	chr17q21	-2.15098878091476	0.000190588	-2.1361308160957	0.000219487
201537_s_at	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	DUSP3	chr17q21	-2.54030196507758	1.23005E-05	-2.18101546533052	0.000429215
201538_s_at	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	DUSP3	chr17q21	-1.37554181813974	0.004244997	-1.77153503820472	5.50144E-05
201552_at	lysosomal-associated membrane protein 1	LAMP1	chr13q34	-2.09216987958506	0.000362059	-1.67017583885674	0.003768472
201553_s_at	lysosomal-associated membrane protein 1	LAMP1	chr13q34	-1.57461595313841	0.009784055	-1.72907446261573	0.009331953
201739_at	serum/glucocorticoid regulated kinase 1	SGK1	chr6q23	-4.40762046350644	8.94008E-05	-6.964404506369	8.19043E-05
201835_s_at	protein kinase, AMP-activated, beta 1 non-catalytic subunit	PRKAB1	chr12q24.1	-2.0491136460656	0.000334024	-1.47938750924884	0.008578756
201842_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	chr2p16	-8.13983753682149	6.12697E-06	-3.54307007640944	0.002410563
201843_s_at	EGF-containing fibulin-like extracellular matrix protein 1	EFEMP1	chr2p16	-2.77021893622185	0.000741591	-4.65893434587382	0.000609582
201866_s_at	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	NR3C1	chr5q31.3	-2.51402674904366	0.000391258	-2.92817139189125	0.003878397
201883_s_at	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1	B4GALT1	chr9p13	-1.64718203453515	0.000705444	-2.81864151028404	1.37421E-05
201957_at	protein phosphatase 1, regulatory (inhibitor) subunit 12B	PPP1R12B	chr1q32.1	-2.27363394647203	0.004229576	-2.15098878091476	0.009991528
201958_s_at	protein phosphatase 1, regulatory (inhibitor) subunit 12B	PPP1R12B	chr1q32.1	-2.41161565538152	0.001173131	-2.53151318794056	0.001383717
201963_at	acyl-CoA synthetase long-chain family member 1	ACSL1	chr4q34-q35	-3.6807506024995	0.001477372	-8.13983753682149	4.15131E-05
201971_s_at	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	ATP6V1A	chr3q13.2-q13.31	-2.90794503464062	0.003025608	-2.77983643968467	0.001931646
202062_s_at	sel-1 suppressor of lin-12-like (C. elegans)	SEL1L	chr14q24.3-q31	-1.97246540898672	0.001326629	-2.42838976879009	0.000391751
202064_s_at	sel-1 suppressor of lin-12-like (C. elegans)	SEL1L	chr14q24.3-q31	-1.77768536233314	0.00484027	-2.77983643968467	0.000875998
202071_at	syndecan 4	SDC4	chr20q12	-2.60268371088387	0.001272056	-4.77334297212689	3.38533E-05
202074_s_at	optineurin	OPTN	chr10p13	-2.45376995450761	3.03578E-07	-2.25792880961226	1.10963E-06
202087_s_at	cathepsin L1	CTSL1	chr9q21-q22	-3.3287949388461	9.48373E-06	-1.84037530124975	0.000585091
202181_at	KIAA0247	KIAA0247	chr14q24.1	-2.04202425141439	0.001185968	-2.71320865489534	0.000356714
202286_s_at	tumor-associated calcium signal transducer 2	TACSTD2	chr1p32-p31	-15.0323639874242	0.008484718	-194.011720513331	0.001824368
202295_s_at	cathepsin H	CTSH	chr15q24-q25	-3.44618463884807	0.000417713	-7.21000370088664	3.10113E-06
202340_x_at	nuclear receptor subfamily 4, group A, member 1	NR4A1	chr12q13	-1.57461595313841	0.006178765	-1.65290063630842	0.004814851
202377_at	leptin receptor /// leptin receptor overlapping transcript	LEPR /// LEPROT	chr1p31 /// chr1p31.3	-2.23457427614444	7.27046E-05	-2.06336635860272	0.001180967
202378_s_at	leptin receptor overlapping transcript	LEPROT	chr1p31.3	-1.88556907183648	5.36525E-05	-2.18858740252148	2.3579E-05
202458_at	protease, serine, 23	PRSS23	chr11q14.1	-5.37029001112106	1.00781E-05	-3.85037777240701	0.000805428
202524_s_at	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	SPOCK2	chr10pter-q25.3	-1.68179283050743	0.005749876	-1.74110112659225	0.002252279
202545_at	protein kinase C, delta	PRKCD	chr3p21.31	-1.65863909162888	0.003159588	-2.16595009105185	0.000264329
202546_at	vesicle-associated membrane protein 8 (endobrevin)	VAMP8	chr2p12-p11.2	-3.09512998708478	4.14065E-05	-3.56771407768037	0.000146587
202551_s_at	cysteine rich transmembrane BMP regulator 1 (chordin-like)	CRIM1	chr2p21	-3.53081198516262	0.001140956	-4.30197756182951	0.006936767
202555_s_at	myosin, light chain kinase	MYLK	chr3q21	-7.88986163594687	1.18475E-05	-5.42641730979069	0.000487927
202597_at	interferon regulatory factor 6	IRF6	chr1q32.3-q41	-6.82107913414365	0.001050804	-20.3929700371082	6.20356E-05
202672_s_at	activating transcription factor 3	ATF3	chr1q32.3	-5.75573432004328	7.25186E-06	-2.34566989846376	0.004388712
202674_s_at	LIM domain 7	LMO7	chr13q22.2	-2.37841423000544	0.008681989	-4.31691294601771	0.003882902
202747_s_at	integral membrane protein 2A	ITM2A	chrXq13.3-Xq21.2	-2.28944832119737	0.001778651	-3.63007662126864	0.000726927
202833_s_at	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1	SERPINA1	chr14q32.1	-19.2929252430522	1.07574E-07	-29.3441293825495	9.66149E-08
202838_at	fucosidase, alpha-L- 1, tissue	FUCA1	chr1p34	-2.03495938420537	0.003991026	-2.73208051350879	0.001879292
202888_s_at	alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)	ANPEP	chr15q25-q26	-9.6130883962148	3.75802E-05	-6.91629785046292	0.000150916
202992_at	complement component 7	C7	chr5p13	-8.57418770029035	1.65759E-08	-2.68514500556053	0.001811953
203088_at	fibulin 5	FBLN5	chr14q32.1	-18.1890715717762	1.09083E-05	-5.25977104082029	0.004406395
203110_at	PTK2B protein tyrosine kinase 2 beta	PTK2B	chr8p21.1	-1.99308052565574	0.004592325	-2.00694349701901	0.007105991
203134_at	phosphatidylinositol binding clathrin assembly protein	PICALM	chr11q14	-1.404444875738	0.00899244	-1.51047258556283	0.001160586
203143_s_at	KIAA0040	KIAA0040	chr1q24-q25	-1.87254449486898	0.001777052	-3.86374531569938	1.56157E-06
203157_s_at	glutaminase	GLS	chr2q32-q34	-8.11167583832023	0.000856598	-9.91766159951189	0.001767836
203159_at	glutaminase	GLS	chr2q32-q34	-6.964404506369	0.00048132	-7.11074144933256	0.000859661
203402_at	potassium voltage-gated channel, shaker-related subfamily, beta member 2	KCNAB2	chr1p36.3	-1.63580411711556	0.001245932	-1.53687518128801	0.001667423
203453_at	sodium channel, nonvoltage-gated 1 alpha	SCNN1A	chr12p13	-7.97232210262294	0.006692583	-25.7232317037809	0.001668116
203458_at	sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase)	SPR	chr2p14-p12	-2.1961856275741	0.006343444	-3.69352924291758	0.000267116
203498_at	regulator of calcineurin 2	RCAN2	chr6p12.3	-6.68070335542695	3.84183E-06	-5.1515265180393	1.22968E-05
203542_s_at	Kruppel-like factor 9	KLF9	chr9q13	-3.86374531569938	3.71703E-06	-6.43080792594521	1.11337E-06
203559_s_at	amiloride binding protein 1 (amine oxidase (copper-containing))	ABP1	chr7q34-q36	-3.50642288526414	0.001579489	-8.93829710457775	5.66495E-05
203641_s_at	COBL-like 1	COBLL1	chr2q24.3	-4.87364105470076	0.000606808	-18.5070109424846	6.98168E-06
203676_at	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)	GNS	chr12q14	-1.87254449486898	0.002042925	-1.97246540898672	0.003526744
203747_at	aquaporin 3 (Gill blood group)	AQP3	chr9p13	-2.88785839104499	0.001699544	-2.22684323645737	0.00271693
203758_at	cathepsin O	CTSO	chr4q31-q32	-2	0.002146031	-2.37841423000544	0.002215634
203765_at	grancalcin, EF-hand calcium binding protein	GCA	chr2q24.2	-6.14750072515205	1.72783E-05	-5.79576861821952	0.000213502
203769_s_at	steroid sulfatase (microsomal), isozyme S	STS	chrXp22.32	-2.18858740252148	0.002547549	-1.95206352155245	0.00297004
203811_s_at	DnaJ (Hsp40) homolog, subfamily B, member 4	DNAJB4	chr1p31.1	-1.89868424190104	0.000751394	-1.84037530124975	0.004014076
203821_at	heparin-binding EGF-like growth factor	HBEGF	chr5q23	-1.91852823865053	0.008994615	-3.27160823423112	0.000305179
203827_at	WD repeat domain, phosphoinositide interacting 1	WIPI1	chr17q24.2	-3.2265670368885	6.56908E-06	-2.25792880961226	0.000265639
203834_s_at	trans-golgi network protein 2	TGOLN2	chr2p11.2	-1.84676462145879	0.004874804	-1.9251888862035	0.001774702
203835_at	leucine rich repeat containing 32	LRRC32	chr11q13.5-q14	-2.62078680771673	0.001403617	-2.83824671240076	0.001250279
203836_s_at	mitogen-activated protein kinase kinase kinase 5	MAP3K5	chr6q22.33	-2.65737162819302	0.000201591	-2.9485384345822	0.000202036
203868_s_at	vascular cell adhesion molecule 1	VCAM1	chr1p32-p31	-8.11167583832023	1.46878E-06	-4.64281565753488	0.00049394
203903_s_at	hephaestin	HEPH	chrXq11-q12	-7.38705848583516	0.000107574	-7.33603234563737	0.000218208
203934_at	kinase insert domain receptor (a type III receptor tyrosine kinase)	KDR	chr4q11-q12	-4.83997635687717	4.92584E-05	-2.72262823299895	0.002826884
203963_at	carbonic anhydrase XII	CA12	chr15q22	-17.3877578004169	6.97849E-05	-27.1899199724368	3.76375E-05
203973_s_at	CCAAT/enhancer binding protein (C/EBP), delta	CEBPD	chr8p11.2-p11.1	-5.50216727255897	1.17543E-06	-3.77113814367296	0.000105772
204041_at	monoamine oxidase B	MAOB	chrXp11.23	-4.11245530662426	0.000134288	-11.6317801385625	5.14175E-07
204110_at	histamine N-methyltransferase	HNMT	chr2q22.1	-3.58010028371189	2.20233E-05	-3.51859630368974	0.000154609
204112_s_at	histamine N-methyltransferase	HNMT	chr2q22.1	-3.12747857251437	0.009868935	-3.44618463884807	0.005288953
204168_at	microsomal glutathione S-transferase 2	MGST2	chr4q28.3	-1.53687518128801	0.008364776	-1.53155799709438	0.005752184
204213_at	polymeric immunoglobulin receptor	PIGR	chr1q31-q41	-3.6807506024995	0.000959389	-6.36429187003935	7.04843E-05
204254_s_at	vitamin D (1,25- dihydroxyvitamin D3) receptor	VDR	chr12q13.11	-3.66801617281868	0.002839044	-9.15779328478948	7.85868E-05
204268_at	S100 calcium binding protein A2	S100A2	chr1q21	-6.86852349150203	4.40031E-07	-24.0006238285731	4.9341E-09
204271_s_at	endothelin receptor type B	EDNRB	chr13q22	-3.36358566101486	6.71038E-05	-2.50532887724826	0.003421012
204273_at	endothelin receptor type B	EDNRB	chr13q22	-3.75809099685605	0.00051632	-4.14105969536551	0.001770182
204288_s_at	sorbin and SH3 domain containing 2	SORBS2	chr4q35.1	-1.95884059517385	0.000563151	-2.21146130664054	0.000144655
204326_x_at	metallothionein 1X	MT1X	chr16q13	-3.02094517112565	3.98374E-05	-4.5630548634737	3.91616E-06
204363_at	coagulation factor III (thromboplastin, tissue factor)	F3	chr1p22-p21	-2.75108363627949	0.001361767	-3.58010028371189	0.002079894
204438_at	mannose receptor, C type 1 /// mannose receptor, C type 1-like 1	MRC1 /// MRC1L1	chr10p12.33	-2.27363394647203	0.004038627	-2.81864151028404	0.003812216
