Gene symbol	Gene annotation	Fold change	Domain
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	CESR
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	CESR
SPCC757.11c	membrane transporter	1.569103046	CESR
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	CESR
ucp10	UBA/UAS domain protein Ucp10	1.664172019	CESR
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	CESR
SPCC320.03	transcription factor (predicted)	1.538795305	CESR
SPBPB2B2.10c	galactose-1-phosphate uridylyltransferase (predicted)	1.618599064	CESR
plr	pyridoxal reductase (PMID 10438489)	1.513517826	CESR
SPBPB2B2.11	nucleotide-sugar 4,6-dehydratase (predicted)	1.523267731	CESR
SPAC4H3.04c	UPF0103 family	1.581694053	CESR
ubc8	ubiquitin conjugating enzyme Ubc8	1.528132881	CESR
SPAC977.13c		1.614646076	CESR
SPCC576.04	bax inhibitor-like protein	1.583882339	CESR
SPCC1235.01	sequence orphan	1.678534279	CESR
isp6	vacuolar serine protease Isp6	1.503063542	CESR
rad16	Rad16 homolog Rhp16	1.519723294	CESR
SPAC13F5.07c	previusly annotated as dubious, may not be protein coding	1.53545298	CESR
SPBC1711.12	serine peptidase (predicted)	1.509729936	CESR
SPCC663.08c	short chain dehydrogenase (predicted)	1.755059571	CESR
gst2	glutathione S-transferase Gst2	1.628208362	CESR
SPCC1739.08c	short chain dehydrogenase	6.906164666	H2O2
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	H2O2
SPAC4F10.17	conserved fungal protein	2.075419872	H2O2
SPAC1F8.04c	hydrolase (predicted)	2.270608484	H2O2
SPCC663.08c	short chain dehydrogenase (predicted)	1.755059571	H2O2
SPAC11D3.01c	conserved fungal protein	1.887686909	H2O2
SPCC70.08c	methyltransferase (predicted)	2.667895208	H2O2
SPCC18B5.02c		1.762166241	H2O2
ppr1	L-azetidine-2-carboxylic acid acetyltransferase (PMID 12761200)	1.951194144	H2O2
SPBC1271.08c	sequence orphan	6.801654858	H2O2
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	H2O2
SPBPB2B2.01	amino acid permease, unknown 12	3.146372394	H2O2
SPCC576.02	hydantoin racemase family (predicted)	1.915124478	H2O2
SPCC338.18	sequence orphan	4.490559889	H2O2
isp6	vacuolar serine protease Isp6	1.503063542	H2O2
SPCC191.01	sequence orphan	2.160802629	H2O2
SPBPB2B2.12c	UDP-glucose 4-epimerase	6.455934314	H2O2
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	H2O2
SPAPJ691.02	yippee-like protein	2.022390792	H2O2
gst2	glutathione S-transferase Gst2	1.628208362	H2O2
SPBP4H10.10	rhomboid family protease	2.527950884	H2O2
SPAC13F5.07c	previusly annotated as dubious, may not be protein coding	1.53545298	H2O2
SPAC3A11.10c	dipeptidyl aminopeptidase (predicted)	1.573910313	H2O2
SPBC1683.06c	uridine ribohydrolase (predicted)	5.452011606	H2O2
SPBPB2B2.10c	galactose-1-phosphate uridylyltransferase (predicted)	1.618599064	H2O2
SPAC977.13c		1.614646076	H2O2
alr2	alanine racemase Alr2 (PMID 11244061)	1.686027421	H2O2
SPBPB2B2.11	nucleotide-sugar 4,6-dehydratase (predicted)	1.523267731	H2O2
SPCC576.04	bax inhibitor-like protein	1.583882339	H2O2
SPBC1271.07c	N-acetyltransferase (predicted)	6.516101907	H2O2
SPBC119.03	S-adenosylmethionine-dependent methyltransferase (predicted)	1.556868399	H2O2
SPAC4H3.04c	UPF0103 family	1.581694053	H2O2
SPBC1271.05c	zinc finger protein zf-AN1 type	1.919692408	H2O2
SPAC186.03 /// SPBPB21E7.09	L-asparaginase /// L-asparaginase (predicted)	2.326284533	H2O2
SPAC11D3.09	agmatinase (predicted)	2.276599214	H2O2
SPAC1399.01c	purine permease (predicted)	1.678943289	H2O2
SPCC757.11c	membrane transporter	1.569103046	H2O2
plr	pyridoxal reductase (PMID 10438489)	1.513517826	H2O2
pof14	F-box protein Pof14	1.524580611	H2O2
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	H2O2
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	H2O2
SPCC1235.01	sequence orphan	1.678534279	H2O2
ucp10	UBA/UAS domain protein Ucp10	1.664172019	H2O2
SPBP26C9.01c	hydroxyacid dehydrogenase (predicted)	2.521750132	H2O2
frp1	ferric-chelate reductase Frp1	1.720406317	H2O2
SPAC11D3.17	zinc finger protein	2.436150788	H2O2
SPBC1711.12	serine peptidase (predicted)	1.509729936	H2O2
ubc8	ubiquitin conjugating enzyme Ubc8	1.528132881	H2O2
SPCC1223.09	uricase (predicted)	2.74750194	H2O2
car1	arginase Car1 (PMID 7985419)	2.335024467	H2O2
gti1	gluconate transporter inducer Gti1	1.874890492	H2O2
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	H2O2
hsp16	heat shock protein Hsp16	1.851772671	H2O2
SPBC215.10	haloacid dehalogenase-like hydrolase	1.596776064	H2O2
SPCC1223.13	transcription factor (predicted)	1.838086847	H2O2
gmh1	alpha-1,2-galactosyltransferase Gmh1	1.534909505	H2O2
SPAC17G6.03	phosphoprotein phosphatase	1.991281338	H2O2
SPBPB2B2.13	galactokinase Gal1 (predicted)	1.627946927	H2O2
SPAC922.07c	aldehyde dehydrogenase (predicted)	1.669253733	H2O2
SPBC30D10.14	dienelactone hydrolase family	1.632537729	H2O2
SPAC22H12.01c	sequence orphan	2.552601508	H2O2
pas1	cyclin Pas1	1.849813084	H2O2
rad16	Rad16 homolog Rhp16	1.519723294	H2O2
SPBC8E4.03	agmatinase 2 (predicted)	2.227086098	H2O2
SPAC4G9.12	gluconokinase	1.553901081	H2O2
SPBC1105.13c	sequence orphan	1.898592251	H2O2
SPCC584.16c	sequence orphan	3.234078431	H2O2
SPBC1773.13	aromatic aminotransferase (predicted)	1.659948175	H2O2
SPBC359.06	adducin	5.862100493	H2O2
SPCC320.03	transcription factor (predicted)	1.538795305	H2O2
liz1	pantothenate transporter (PMID 15075270)	1.876444994	H2O2
hsp16	heat shock protein Hsp16	1.851772671	Heat
SPBC16D10.08c	heat shock protein Hsp104 (predicted)	2.157897991	Heat
SPCC338.18	sequence orphan	4.490559889	Heat
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.507718367	Heat
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	Heat
psi	DNAJ domain protein Psi1	2.116711771	Heat
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	Heat
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	Heat
SPBC1105.13c	sequence orphan	1.898592251	Heat
SPBC1271.08c	sequence orphan	6.801654858	Heat
SPBC3B9.01	Hsp70 nucleotide exchange factor (predicted)	1.975835492	Heat
SPAC17G6.13	sequence orphan	2.521758581	Heat
SPCC191.01	sequence orphan	2.160802629	Heat
SPBC1711.12	serine peptidase (predicted)	1.509729936	Heat
SPAC22H12.01c	sequence orphan	2.552601508	Heat
SPCC576.04	bax inhibitor-like protein	1.583882339	Heat
SPBC30D10.14	dienelactone hydrolase family	1.632537729	Heat
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	Heat
SPBPB2B2.12c	UDP-glucose 4-epimerase	6.455934314	Heat
SPACUNK4.16c	alpha,alpha-trehalose-phosphate synthase (predicted)	1.848975361	Heat
sti1	chaperone activator Sti1 (predicted)	1.647090698	Heat
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	Heat
SPCC1739.08c	short chain dehydrogenase	6.906164666	Heat
SPBC1271.07c	N-acetyltransferase (predicted)	6.516101907	Heat
SPAPB1A10.05	sequence orphan	1.517674425	Heat
SPBC359.06	adducin	5.862100493	Heat
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	Heat
SPBC119.03	S-adenosylmethionine-dependent methyltransferase (predicted)	1.556868399	Heat
pas1	cyclin Pas1	1.849813084	Heat
SPBC1683.04	glycosyl hydrolase family 3	1.821525679	Heat
otu1	ubiquitin-specific protease (predicted)	1.542006664	Heat
SPCC584.16c	sequence orphan	3.234078431	Heat
SPCC338.06c	heat shock protein Hsp20 family	1.925850882	Heat
SPCC1235.01	sequence orphan	1.678534279	Heat
ubc8	ubiquitin conjugating enzyme Ubc8	1.528132881	Heat
SPCC330.04c	DUF1773 family protein 3	1.755366403	Heat
SPBP4H10.10	rhomboid family protease	2.527950884	Heat
SPAC4F10.17	conserved fungal protein	2.075419872	Heat
SPBPB2B2.13	galactokinase Gal1 (predicted)	1.627946927	Heat
SPBPB2B2.11	nucleotide-sugar 4,6-dehydratase (predicted)	1.523267731	Heat
mug39	UBX domain protein Ubx3	1.90083328	Heat
rad16	Rad16 homolog Rhp16	1.519723294	Heat
ppr1	L-azetidine-2-carboxylic acid acetyltransferase (PMID 12761200)	1.951194144	Heat
isp6	vacuolar serine protease Isp6	1.503063542	Heat
SPBPB2B2.10c	galactose-1-phosphate uridylyltransferase (predicted)	1.618599064	Heat
SPCC757.11c	membrane transporter	1.569103046	Heat
SPAC977.13c		1.614646076	Heat
ght3	hexose transporter Ght3 (PMID 10735857)	4.49080766	Heat
SPCC320.03	transcription factor (predicted)	1.538795305	Heat
SPAPJ691.02	yippee-like protein	2.022390792	Heat
SPCC70.08c	methyltransferase (predicted)	2.667895208	Heat
ucp10	UBA/UAS domain protein Ucp10	1.664172019	Heat
ero11	ER oxidoreductin Ero1a	1.847046687	Heat
SPAC3A11.10c	dipeptidyl aminopeptidase (predicted)	1.573910313	Heat
SPAC11D3.01c	conserved fungal protein	1.887686909	Heat
SPAC11D3.09	agmatinase (predicted)	2.276599214	Heat
ssa1	heat shock protein Ssa1	2.981661882	Heat
hri1	eIF2 alpha kinase Hri1	2.985200087	Heat
SPAC1093.02	pyridoxamine 5-phosphate oxidase (predicted)	1.517052486	Heat
SPAC4H3.04c	UPF0103 family	1.581694053	Heat
hri2	eIF2 alpha kinase Hri2	1.758747655	Heat
plr	pyridoxal reductase (PMID 10438489)	1.513517826	Heat
agl	alpha-glucosidase Agl1	1.677894879	Heat
ght4	hexose transporter Ght4 (PMID 10735857)	5.458862405	Heat
SPCC63.05	TAP42 family protein (predicted)	1.734204901	Heat
SPAC186.03 /// SPBPB21E7.09	L-asparaginase /// L-asparaginase (predicted)	2.326284533	Heat
SPAC16C9.05	PHD finger containing protein	1.583735781	Heat
SPBPB2B2.05	GMP synthase [glutamine-hydrolyzing] (predicted)	2.921971689	Heat
pof14	F-box protein Pof14	1.524580611	Heat
SPBP26C9.01c	hydroxyacid dehydrogenase (predicted)	2.521750132	Heat
SPBPB7E8.02	conserved protein (fungal bacterial protazoan)	2.64264445	Heat
ats1	N-acetyltransferase Ats1 (predicted)	1.584791814	Heat
SPCC550.07	acetamidase (predicted)	3.718017773	Heat
SPAC922.07c	aldehyde dehydrogenase (predicted)	1.669253733	Heat
SPAC11D3.18c	nicotinic acid plasma membrane transporter (predicted)	1.80760673	Heat
inv1	beta-fructofuranosidase	7.940955623	Heat
SPBC1683.06c	uridine ribohydrolase (predicted)	5.452011606	Heat
hsp16	heat shock protein Hsp16	1.851772671	Cd
SPBC16D10.08c	heat shock protein Hsp104 (predicted)	2.157897991	Cd
SPCC338.18	sequence orphan	4.490559889	Cd
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	Cd
urg1	GTP cyclohydrolase (predicted)	5.055606465	Cd
SPAC17G6.13	sequence orphan	2.521758581	Cd
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.507718367	Cd
SPAC1002.17c	uracil phosphoribosyltransferase (predicted)	3.463127092	Cd
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	Cd
psi	DNAJ domain protein Psi1	2.116711771	Cd
SPAPB1A10.05	sequence orphan	1.517674425	Cd
SPCC191.01	sequence orphan	2.160802629	Cd
SPBC3B9.01	Hsp70 nucleotide exchange factor (predicted)	1.975835492	Cd
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	Cd
SPBC30D10.14	dienelactone hydrolase family	1.632537729	Cd
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	Cd
SPBC1271.08c	sequence orphan	6.801654858	Cd
SPBC1711.12	serine peptidase (predicted)	1.509729936	Cd
SPACUNK4.16c	alpha,alpha-trehalose-phosphate synthase (predicted)	1.848975361	Cd
SPCC576.04	bax inhibitor-like protein	1.583882339	Cd
SPAC22H12.01c	sequence orphan	2.552601508	Cd
SPAC977.13c		1.614646076	Cd
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	Cd
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	Cd
SPCC757.11c	membrane transporter	1.569103046	Cd
SPBPB2B2.05	GMP synthase [glutamine-hydrolyzing] (predicted)	2.921971689	Cd
SPBC1683.06c	uridine ribohydrolase (predicted)	5.452011606	Cd
isp7	2-OG-Fe(II) oxygenase superfamily protein	2.074244556	Cd
isp6	vacuolar serine protease Isp6	1.503063542	Cd
SPBPB2B2.12c	UDP-glucose 4-epimerase	6.455934314	Cd
SPCC1235.01	sequence orphan	1.678534279	Cd
ssa1	heat shock protein Ssa1	2.981661882	Cd
SPBC1683.04	glycosyl hydrolase family 3	1.821525679	Cd
otu1	ubiquitin-specific protease (predicted)	1.542006664	Cd
pas1	cyclin Pas1	1.849813084	Cd
SPBC119.03	S-adenosylmethionine-dependent methyltransferase (predicted)	1.556868399	Cd
SPCC1739.08c	short chain dehydrogenase	6.906164666	Cd
SPBPB7E8.02	conserved protein (fungal bacterial protazoan)	2.64264445	Cd
frp1	ferric-chelate reductase Frp1	1.720406317	Cd
sti1	chaperone activator Sti1 (predicted)	1.647090698	Cd
hri2	eIF2 alpha kinase Hri2	1.758747655	Cd
SPAC11D3.09	agmatinase (predicted)	2.276599214	Cd
rad16	Rad16 homolog Rhp16	1.519723294	Cd
plr	pyridoxal reductase (PMID 10438489)	1.513517826	Cd
SPBP4H10.10	rhomboid family protease	2.527950884	Cd
ubc8	ubiquitin conjugating enzyme Ubc8	1.528132881	Cd
SPBPB2B2.01	amino acid permease, unknown 12	3.146372394	Cd
mug39	UBX domain protein Ubx3	1.90083328	Cd
gst2	glutathione S-transferase Gst2	1.628208362	Cd
SPAC1093.02	pyridoxamine 5-phosphate oxidase (predicted)	1.517052486	Cd
SPCC338.06c	heat shock protein Hsp20 family	1.925850882	Cd
gti1	gluconate transporter inducer Gti1	1.874890492	Cd
SPAC186.03 /// SPBPB21E7.09	L-asparaginase /// L-asparaginase (predicted)	2.326284533	Cd
hpm1	homologous Pmf1p factor 1	4.24689027	Cd
ero11	ER oxidoreductin Ero1a	1.847046687	Cd
SPCC584.16c	sequence orphan	3.234078431	Cd
SPCC320.03	transcription factor (predicted)	1.538795305	Cd
SPBPB2B2.13	galactokinase Gal1 (predicted)	1.627946927	Cd
ucp10	UBA/UAS domain protein Ucp10	1.664172019	Cd
SPBP26C9.01c	hydroxyacid dehydrogenase (predicted)	2.521750132	Cd
SPAC11D3.01c	conserved fungal protein	1.887686909	Cd
SPCC663.08c	short chain dehydrogenase (predicted)	1.755059571	Cd
ght3	hexose transporter Ght3 (PMID 10735857)	4.49080766	Cd
SPBPB2B2.10c	galactose-1-phosphate uridylyltransferase (predicted)	1.618599064	Cd
SPAPJ691.02	yippee-like protein	2.022390792	Cd
SPAC922.07c	aldehyde dehydrogenase (predicted)	1.669253733	Cd
ght4	hexose transporter Ght4 (PMID 10735857)	5.458862405	Cd
SPCC320.03	transcription factor (predicted)	1.538795305	Sb
SPBC1105.13c	sequence orphan	1.898592251	Sb
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	Sb
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	Sb
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	Sb
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	Sb
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	Sb
SPCC191.01	sequence orphan	2.160802629	Sb
SPCC1235.01	sequence orphan	1.678534279	Sb
isp6	vacuolar serine protease Isp6	1.503063542	Sb
SPACUNK4.16c	alpha,alpha-trehalose-phosphate synthase (predicted)	1.848975361	Sb
psi	DNAJ domain protein Psi1	2.116711771	Sb
SPBP4H10.10	rhomboid family protease	2.527950884	Sb
SPCC576.04	bax inhibitor-like protein	1.583882339	Sb
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	Sb
SPBC30D10.14	dienelactone hydrolase family	1.632537729	Sb
SPAC22H12.01c	sequence orphan	2.552601508	Sb
SPAC11D3.01c	conserved fungal protein	1.887686909	Sb
hsp16	heat shock protein Hsp16	1.851772671	Sb
hsp16	heat shock protein Hsp16	1.851772671	MMS
SPCC18B5.02c		1.762166241	MMS
gst2	glutathione S-transferase Gst2	1.628208362	MMS
SPAC27D7.09c	S. pombe specific But2 family protein	2.380005653	MMS
SPAC27D7.09c /// SPAC27D7.10c	S. pombe specific But2 family protein /// S. pombe specific But2 family protein	1.826163578	MMS
SPCC663.08c	short chain dehydrogenase (predicted)	1.755059571	MMS
SPBC16D10.08c	heat shock protein Hsp104 (predicted)	2.157897991	MMS
SPAC1F8.04c	hydrolase (predicted)	2.270608484	MMS
SPAC2E1P3.01	zinc binding dehydrogenase	1.730194627	MMS
SPAC4H3.03c	glucan 1,4-alpha-glucosidase (predicted)	1.903007789	MMS
SPBC1271.07c	N-acetyltransferase (predicted)	6.516101907	MMS
SPBC1105.13c	sequence orphan	1.898592251	MMS
SPAC17G6.13	sequence orphan	2.521758581	MMS
SPBC1271.08c	sequence orphan	6.801654858	MMS
SPBC30D10.14	dienelactone hydrolase family	1.632537729	MMS
psi	DNAJ domain protein Psi1	2.116711771	MMS
SPAC22H12.01c	sequence orphan	2.552601508	MMS
SPCC338.18	sequence orphan	4.490559889	MMS
SPCC1235.01	sequence orphan	1.678534279	MMS
SPBC4F6.17c	mitochondrial matrix chaperone Hsp78 (predicted)	2.507718367	MMS
tps1	alpha,alpha-trehalose-phosphate synthase [UDP-forming]	1.529186462	MMS
SPCC576.02	hydantoin racemase family (predicted)	1.915124478	MMS
SPBC119.03	S-adenosylmethionine-dependent methyltransferase (predicted)	1.556868399	MMS
SPCC70.08c	methyltransferase (predicted)	2.667895208	MMS
etr1	enoyl-[acyl-carrier protein] reductase	1.697089127	MMS
SPACUNK4.16c	alpha,alpha-trehalose-phosphate synthase (predicted)	1.848975361	MMS
plr	pyridoxal reductase (PMID 10438489)	1.513517826	MMS
SPBPB2B2.12c	UDP-glucose 4-epimerase	6.455934314	MMS
SPCC191.01	sequence orphan	2.160802629	MMS
cdc37	Hsp90 co-chaperone Cdc37	1.639054319	MMS
SPAC13F5.07c	previusly annotated as dubious, may not be protein coding	1.53545298	MMS
frp1	ferric-chelate reductase Frp1	1.720406317	MMS
SPBC3B9.01	Hsp70 nucleotide exchange factor (predicted)	1.975835492	MMS
SPAC11D3.01c	conserved fungal protein	1.887686909	MMS
SPAC977.13c		1.614646076	MMS
SPAC11D3.17	zinc finger protein	2.436150788	MMS
ppr1	L-azetidine-2-carboxylic acid acetyltransferase (PMID 12761200)	1.951194144	MMS
SPBP26C9.01c	hydroxyacid dehydrogenase (predicted)	2.521750132	MMS
