Affymetrix Probe ID	Mean HN	Mean DCIS	Fold Change	Probability	Gene Name	Gene Description
202503_s_at	121.29	4.21E+02	3.05	2.39E-03	KIAA0101	KIAA0101
201754_at	1155.73	4.01E+03	3.02	3.90E-03	COX6C	CYTOCHROME C OXIDASE SUBUNIT VIC
221234_s_at	787.75	2.49E+03	2.93	1.55E-02	MUC1	MUCIN 1, TRANSMEMBRANE
204567_s_at	42.89	1.55E+02	2.93	8.16E-04	ABCG1	ATP-BINDING CASSETTE, SUB-FAMILY G (WHITE), MEMBER 1
203963_at	1111.7	3.32E+03	2.88	3.10E-03	CA12	CARBONIC ANHYDRASE XII
216442_x_at	155.71	6.71E+02	2.83	4.67E-03	WWP1	WW DOMAIN CONTAINING E3 UBIQUITIN PROTEIN LIGASE 1
219402_s_at	170.59	5.01E+02	2.81	1.73E-03	DERL1	DER1-LIKE DOMAIN FAMILY, MEMBER 1
212464_s_at	97.3	3.09E+02	2.79	2.07E-03	WWP1	WW DOMAIN CONTAINING E3 UBIQUITIN PROTEIN LIGASE 1
214164_x_at	1134.5	3.03E+03	2.78	3.87E-03	CA12	CARBONIC ANHYDRASE XII
214290_s_at	100.41	4.09E+02	2.77	4.14E-03	HIST2H2AA3	HISTONE 2, H2AA3
212150_at	226.59	8.86E+02	2.77	1.25E-02	TFF3	TREFOIL FACTOR 3 (INTESTINAL)
218546_at	347.42	1.23E+03	2.75	1.01E-02	RAB31	RAB31, MEMBER RAS ONCOGENE FAMILY
213001_at	54.18	1.54E+02	2.74	4.03E-03	MELK	MATERNAL EMBRYONIC LEUCINE ZIPPER KINASE
219787_s_at	46.57	1.60E+02	2.69	2.65E-03	ECT2	EPITHELIAL CELL TRANSFORMING SEQUENCE 2 ONCOGENE
221732_at	44.5	1.30E+02	2.69	2.35E-02	RNF170	RING FINGER PROTEIN 170
202708_s_at	190.4	5.82E+02	2.66E+00	1.73E-02	HIST1H2BB	HISTONE 1, H2BB
202357_s_at	193.5	7.24E+02	2.65	1.16E-02	CFB	COMPLEMENT FACTOR B
201641_at	254.03	1.01E+03	2.64	1.47E-02	BST2	BONE MARROW STROMAL CELL ANTIGEN 2
823_at	30-Jun	6.93E+02	2.62	1.36E-03	SLC39A6	SOLUTE CARRIER FAMILY 39 (ZINC TRANSPORTER), MEMBER 6
215867_x_at	1060.96	2.60E+03	2.53	3.51E-03	CA12	CARBONIC ANHYDRASE XII
218280_x_at	131.26	4.36E+02	2.53	5.78E-03	HIST1H2BD	HISTONE 1, H2BD
205666_at	390.84	1.05E+03	2.52	6.75E-03	UGDH	UDP-GLUCOSE DEHYDROGENASE
218992_at	44.44	1.49E+02	2.50E+00	7.89E-03	RBM35A	RNA BINDING MOTIF PROTEIN 35A
203213_at	37.8	9.72E+01	2.45	6.39E-03	CDC2	CELL DIVISION CYCLE 2, G1 TO S AND G2 to M
41660_at	124.81	3.99E+02	2.43	2.62E-03	CELSR1	CADHERIN, EGF LAG SEVEN-PASS G-TYPE RECEPTOR 1 (FLAMINGO HOMOLOG, DROS…)
201693_s_at	49.75	1.26E+02	2.41	5.67E-03	THBS1	THROMBOSPONDIN 1
203881_s_at	184.41	5.71E+02	2.4	1.01E-02	SQLE	SQUALENE EPOXIDASE
208653_s_at	30.97	79.93	2.38	6.68E-03	CD164	CD164 ANTIGEN, SIALOMUCIN
210735_s_at	4.73E+01	164.36	2.37E+00	1.80E-03	CA12	CARBONIC ANHYDRASE XII
203358_s_at	42.78	104.86	2.37	5.20E-03	EZH2	ENHANCER OF ZESTE HOMOLOG 2 (DROSOPHILA)
204170_s_at	104.32	290.42	2.36	4.33E-03	CKS2	CDC28 PROTEIN KINASE REGULATORY SUBUNIT 2
202723_s_at	199.06	617.09	2.34	2.78E-03	YWHAZ	TYROSINE 3-MONOOXYGENASE/TRYPTOPHAN 5-MONOOXYGENASE ACTIVATION PROTEIN…
218567_x_at	73.86	194.58	2.31	2.26E-02	DPP3	DIPEPTIDYL-PEPTIDASE 3
212254_s_at	76.81	189.48	2.31	7.04E-03	SYNCRIP	SYNAPTOTAGMIN BINDING, CYTOPLASMIC RNA INTERACTING PROTEIN
213591_at	110.94	291.24	2.3	7.70E-03	NUSAP1	NUCLEOLAR AND SPINDLE ASSOCIATED PROTEIN 1
208712_at	222.72	529.23	2.3	2.34E-04	CCND1	CYCLIN D1
200618_at	331.17	939.48	2.29	7.28E-03	LASP1	LIM AND SH3 PROTEIN 1
219696_at	83.72	315.92	2.28	1.84E-03	RAB31	RAB31, MEMBER RAS ONCOGENE FAMILY
200621_at	168.2	504.37	2.28	1.14E-03	SLC25A44	KIAA0446 GENE PRODUCT
209911_x_at	125.07	294.05	2.27	3.34E-03	HIST2H2AA3	HISTONE 2, H3PS2
200700_s_at	401.39	905.86	2.26	1.04E-02	KDELR2	KDEL (LYS-ASP-GLU-LEU) ENDOPLASMIC RETICULUM PROTEIN RETENTION   RECEPTO…
202956_at	241.57	702.77	2.26	1.94E-03	ARFGEF1	ADP-RIBOSYLATION FACTOR GUANINE NUCLEOTIDE-EXCHANGE FACTOR   1(BREFELDIN...
210980_s_at	270.66	680.16	2.25	2.05E-02	ASAH1	N-ACYLSPHINGOSINE AMIDOHYDROLASE (ACID CERAMIDASE) 1
209613_s_at	425.7	1015.56	2.25	1.05E-02	NRIP1	NUCLEAR RECEPTOR INTERACTING PROTEIN 1
207828_s_at	41.89	116.36	2.25	1.37E-03	CENPF	CENTROMERE PROTEIN F, 350/400KA (MITOSIN)
210201_x_at	232.07	671.35	2.23	9.82E-03	PRSS23	PROTEASE, SERINE, 23
202543_s_at	113.7	271.87	2.23	6.73E-04	GMFB	GLIA MATURATION FACTOR, BETA
208650_s_at	211.86	509.33	2.22	2.23E-03	CD24	CD24 ANTIGEN (SMALL CELL LUNG CARCINOMA CLUSTER 4 ANTIGEN)
209047_at	367.06	997.63	2.22	1.03E-02	MICAL2	MICROTUBULE ASSOCIATED MONOXYGENASE, CALPONIN AND LIM DOMAIN CONTAININ…
214974_x_at	323.65	767.79	2.22	4.06E-03	SLC9A3R1	SOLUTE CARRIER FAMILY 9 (SODIUM/HYDROGEN EXCHANGER), MEMBER 3 REGULATO…
205066_s_at	160.52	371.61	2.21	1.53E-02	ENPP1	ECTONUCLEOTIDE PYROPHOSPHATASE/PHOSPHODIESTERASE 1)
222155_s_at	37.41	91.75	2.19	1.01E-02	GPR172A	G PROTEIN-COUPLED RECEPTOR 172A
211762_s_at	101.52	264.02	2.18	2.07E-03	KPNA2	KARYOPHERIN ALPHA 2 (RAG COHORT 1, IMPORTIN ALPHA 1)
220452_x_at	163.12	394.42	2.15	2.17E-03	SCCPDH	SACCHAROPINE DEHYDROGENASE (PUTATIVE)
210652_s_at	299.85	909.11	2.14	1.46E-02	RAB31	RAB31, MEMBER RAS ONCOGENE FAMILY
201626_at	98.46	235.19	2.13	9.95E-04	INSIG1	INSULIN INDUCED GENE 1
200776_s_at	91.71	206.76	2.13	6.35E-04	BZW1	BASIC LEUCINE ZIPPER AND W2 DOMAINS 1
217191_x_at	31.7	80.9	2.13	3.37E-03	COX6CP1	CYTOCHROME C OXIDASE SUBUNIT VIC PSEUDOGENE 1
203744_at	95.75	250.13	2.13	7.25E-04	HMGB3	HIGH-MOBILITY GROUP BOX 3
203481_at	276.32	643.7	2.11	1.24E-02	RAB2A	RAB2, MEMBER RAS ONCOGENE FAMILY
208079_s_at	55.79	141.44	2.11	6.38E-03	AURKA	AURORA KINASE A
201818_at	94.41	288.57	2.11	5.43E-03	AYTL2	ACYLTRANSFERASE LIKE 2
212961_x_at	327.93	746.28	2.1	5.61E-03	SMS	SPERMINE SYNTHASE
210652_s_at	190.92	452.92	2.09	9.34E-03	C1ORF34	CHROMOSOME 1 OPEN READING FRAME 34
203499_at	46.51	168.37	2.09	4.22E-03	TPD52	TUMOR PROTEIN D52
203560_at	84.73	242.27	2.08	2.76E-03	GGH	GAMMA-GLUTAMYL HYDROLASE (CONJUGASE, FOLYPOLYGAMMAGLUTAMYL HYDROLASE)
202655_at	119.1	243.43	2.08	1.43E-02	MOBKL1B	MOB1, MPS ONE BINDER KINASE ACTIVATOR-LIKE 1B (YEAST)
211126_s_at	109.4	277.79	2.08	8.88E-03	SLC31A1	SOLUTE CARRIER FAMILY 31 (COPPER TRANSPORTERS), MEMBER 1
208091_s_at	260.46	685.63	2.08	6.46E-03	TCEB1	TRANSCRIPTION ELONGATION FACTOR B (SIII), POLYPEPTIDE 1 (15KDA, ELONGI…)
220751_s_at	43.4	109.91	2.08	1.94E-02	RAMP1	RECEPTOR (CALCITONIN) ACTIVITY MODIFYING PROTEIN 1
202191_s_at	155.16	321.84	2.07	9.95E-03	ZWINT	ZW10 INTERACTOR
204567_s_at	99.29	247.99	2.07	2.48E-03	LPGAT1	LYSOPHOSPHATIDYLGLYCEROL ACYLTRANSFERASE 1
209283_at	251.07	561.31	2.06	2.06E-03	SLC20A1	SOLUTE CARRIER FAMILY 20 (PHOSPHATE TRANSPORTER)
202357_s_at	176.78	421.08	2.06	9.88E-04	SDC1	SYNDECAN 1
200021_at	2986.48	5753.64	2.05	1.79E-02	CFL1	COFILIN 1 (NON-MUSCLE)
217191_x_at	116	342.5	2.05	4.62E-03	SH3BGRL	SH3 DOMAIN BINDING GLUTAMIC ACID-RICH PROTEIN LIKE
204908_s_at	47.99	99.01	2.05	2.44E-02	BCL3	B-CELL CLL LYMPHOMA 3
211712_s_at	63.13	155.88	2.04	9.67E-03	ANXA9	ANNEXIN A9
202381_at	163.74	361.57	2.04	3.56E-03	ADAM9	ADAM METALLOPEPTIDASE DOMAIN 9 (MELTRIN GAMMA)
202596_at	928.09	1853.04	2.03	7.18E-03	ENSA	ENDOSULFINE ALPHA
205376_at	121.35	251.73	2.03	1.73E-02	INPP4B	INOSITOL POLYPHOSPHATE-4-PHOSPHATASE, TYPE II, 105KDA
202956_at	440.42	944.9	2.02	6.11E-03	MIRN21	MICRORNA 21
203042_at	370.9	725.17	2.01	1.85E-02	LAMP2	LYSOSOMAL-ASSOCIATED MEMBRANE PROTEIN 2
203349_s_at	899.61	2060.2	2.01	1.46E-02	TP63	TUMOR PROTEIN P73-LIKE
203687_at	3303.73	6482.47	2	2.43E-02	SLC39A6	SOLUTE CARRIER FAMILY 39 (ZINC TRANSPORTER), MEMBER 6
46323_at	293.62	616.98	2	3.68E-03	CANT1	CALCIUM ACTIVATED NUCLEOTIDASE 1
209570_s_at	41.7	87.05	1.99	3.24E-03	SNX24	SORTING NEXING 24
212738_at	67.33	142.9	1.99	6.20E-03	MLF1IP	MLF1 INTERACTING PROTEIN
202965_s_at	43.6	88.66	1.99	2.30E-02	ROD1	ROD1 REGULATOR OF DIFFERENTIATION 1 (S. POMBE)
204137_at	116.2	246.7	1.98	8.60E-03	GPR137B	G PROTEIN-COUPLED RECEPTOR 137B
218183_at	146.2	342.84	1.98	5.76E-03	RAB2A	RAB2, MEMBER RAS ONCOGENE FAMILY
204154_at	995.12	2028.41	1.97	7.08E-03	SAT1	SPERMIDINE/SPERMINE N1-ACETYLTRANSFERASE
221732_at	241.57	548.7	1.97	2.03E-03	CANT1	CALCIUM ACTIVATED NUCLEOTIDASE 1
218980_at	202.48	394.39	1.96	1.30E-02	UBE2K	HUNTINGTIN INTERACTING PROTEIN 2
217852_s_at	50.74	105.76	1.96	6.50E-03	MOBKL1B	MOB1, MPS ONE BINDER KINASE ACTIVATOR-LIKE 1B (YEAST)
205133_s_at	224.41	493.14	1.96	1.04E-02	HSPE1	HEAT SHOCK 10KDA PROTEIN 1 (CHAPERONIN 10)
203213_at	139.88	331.91	1.95	1.45E-02	SAR1B	SAR1 GENE HOMOLOG B (S. CEREVISIAE)
218549_s_at	54.71	120.84	1.95	8.43E-03	FAM82B	FAMILY WITH SEQUENCE SIMILARITY 82, MEMBER B
215380_s_at	663.35	1306.26	1.94	1.03E-02	C7ORF24	CHROMOSOME 7 OPEN READING FRAME 24
37577_at	1482.99	2757.04	1.93	2.36E-02	MLPH	MELANOPHILIN
204017_at	93.28	210.81	1.93	5.92E-03	KDELR3	KDEL (LYS-ASP-GLU-LEU) ENDOPLASMIC RETICULUM PROTEIN RETENTION  RECEPTO…
202934_at	166.11	349.77	1.92	2.04E-03	HK2	HEXOKINASE 2
211935_at	297.84	620.54	1.92	5.83E-03	ARL6IP1	ADP-RIBOSYLATION FACTOR-LIKE 6 INTERACTING PROTEIN
204170_s_at	198.19	384.4	1.92	9.93E-03	SEPT2	SEPTIN 2
217867_x_at	37.64	88.89	1.92	7.76E-03	MUC1	MUCIN 1, TRANSMEMBRANE
208934_s_at	80.39	168.41	1.91	4.69E-03	LGALS8	LECTIN, GALACTOSIDE-BINDING, SOLUBLE, 8 (GALECTIN 8)
212706_at	171.09	364.26	1.91	1.06E-02	UGCG	UDP-GLUCOSE CERAMIDE GLUCOSYLTRANSFERASE
215386_at	363.62	830.78	1.91	8.80E-03	POLB	POLYMERASE (DNA DIRECTED), BETA
201437_s_at	157.08	390.13	1.89	1.37E-02	TIAM1	T-CELL LYMPHOMA INVASION AND METASTASIS 1
204975_at	642.81	1178.56	1.89	2.42E-02	EMP2	EPITHELIAL MEMBRANE PROTEIN 2
212150_at	256.02	515.83	1.89	1.19E-02	EFR3A	KIAA0143 PROTEIN
209135_at	30.3	63.32	1.89	1.29E-02	MRPL19	MITOCHONDRIAL RIBOSOMAL PROTEIN L19
214164_x_at	25.28	57.07	1.88	4.53E-03	RIT1	RAS-LIKE WITHOUT CAAX 1
209135_at	421.74	845.18	1.87	6.42E-03	ASPH	ASPARTATE BETA-HYDROXYLASE
206976_s_at	290.01	527.88	1.87	1.82E-02	HSPH1	HEAT SHOCK 105KDA/110KDA PROTEIN 1
204359_at	61.48	125.39	1.87	5.65E-03	UGCGL1	UDP-GLUCOSE CERAMIDE GLUCOSYLTRANSFERASE-LIKE 1
218238_at	136.93	275.97	1.86	3.45E-03	GTPBP4	GTP BINDING PROTEIN 4
219060_at	95.24	207.81	1.85	1.52E-03	C8ORF32	CHROMOSOME 8 OPEN READING FRAME 32
213315_x_at	333.75	637.87	1.85	2.19E-04	CXORF40B	CHROMOSOME X OPEN READING FRAME 40A
201437_s_at	118.4	245.6	1.85	9.08E-03	EIF4E	EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
201096_s_at	81.2	160.67	1.85	4.97E-03	ARF4	ADP-RIBOSYLATION FACTOR 4
211726_s_at	297.99	612.78	1.85	1.02E-02	VEGFA	VASCULAR ENDOTHELIAL GROWTH FACTOR
222212_s_at	381.44	784.5	1.83	4.08E-03	LASS2	LAG1 LONGEVITY ASSURANCE HOMOLOG 2 (S. CEREVISIAE)
200777_s_at	461.37	852.22	1.83	6.84E-03	PXDN	PEROXIDASIN HOMOLOG (DROSOPHILA)
201341_at	141.4	265.35	1.82	5.60E-03	ENC1	ECTODERMAL-NEURAL CORTEX (WITH BTB-LIKE DOMAIN)
37577_at	244.11	473.59	1.82	4.33E-03	PGK1	PHOSPHOGLYCERATE KINASE 1
200853_at	238.1	456.15	1.82	2.37E-02	H2AFZ	H2A HISTONE FAMILY, MEMBER Z
201091_s_at	76.59	151.38	1.81	1.33E-03	CBX3	CHROMOBOX HOMOLOG 3 (HP1 GAMMA HOMOLOG, DROSOPHILA)
222352_at	46.06	87.21	1.81	4.95E-03	TSPAN3	TETRASPANIN 3
219787_s_at	407.51	749.7	1.8	9.16E-03	TEGT	TESTIS ENHANCED GENE TRANSCRIPT (BAX INHIBITOR 1)
207030_s_at	265.38	516.98	1.8	1.21E-02	SLC2A10	SOLUTE CARRIER FAMILY 2 (FACILITATED GLUCOSE TRANSPORTER)
201091_s_at	241.52	518.84	1.8	1.30E-02	S100A14	S100 CALCIUM BINDING PROTEIN A14
215438_x_at	343.32	611.3	1.8	8.55E-03	GSPT1	G1 TO S PHASE TRANSITION 1
213492_at	1008.37	1917.54	1.8	5.38E-03	SERP1	STRESS-ASSOCIATED ENDOPLASMIC RETICULUM PROTEIN 1
208091_s_at	210.75	394.15	1.79	6.98E-03	ECOP	EGFR-COAMPLIFIED AND OVEREXPRESSED PROTEIN
221802_s_at	377.46	680.32	1.79	1.93E-02	KIAA1598	KIAA1598
202641_at	912.59	1633.81	1.79	1.35E-02	PGK1	PHOSPHOGLYCERATE KINASE 1
221935_s_at	223.21	448.27	1.79	2.84E-03	RAD23B	RAD23 HOMOLOG B (S. CEREVISIAE)
212446_s_at	173.31	322.03	1.78	2.08E-02	LASS6	LAG1 LONGEVITY ASSURANCE HOMOLOG 6 (S. CEREVISIAE)
213800_at	525.8	973.32	1.78	1.76E-02	SDHC	SUCCINATE DEHYDROGENASE COMPLEX, SUBUNIT C, INTEGRAL MEMBRANE PROTEIN,…
205249_at	51.49	100.78	1.78	3.26E-04	THBS1	THROMBOSPONDIN 1
209770_at	87.16	172.32	1.78	5.20E-03	PTP4A1	PROTEIN TYROSINE PHOSPHATASE TYPE IVA, MEMBER 1
200777_s_at	154	324.15	1.78	6.10E-03	NA
203358_s_at	748.11	1497.03	1.77	5.14E-03	TRIB1	TRIBBLES HOMOLOG 1 (DROSOPHILA)
218992_at	88.35	168.91	1.77	2.30E-02	C9ORF46	CHROMOSOME 9 OPEN READING FRAME 46
222041_at	155.32	306.69	1.77	1.32E-02	STK39	SERINE THREONINE KINASE 39 (STE20/SPS1 HOMOLOG, YEAST)
221896_s_at	199.15	382.99	1.77	1.30E-02	HIGD1A	HIG1 DOMAIN FAMILY, MEMBER 1A
201277_s_at	544.84	925.04	1.76	5.33E-04	HNRPAB	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A/B
209569_x_at	671.22	1167.75	1.75	1.06E-03	SNRPG	SMALL NUCLEAR RIBONUCLEOPROTEIN POLYPEPTIDE G
201422_at	237.08	479.86	1.75	1.31E-02	IFI30	INTERFERON, GAMMA-INDUCIBLE PROTEIN 30
204851_s_at	722.97	1383.53	1.75	2.39E-02	SPARC	SECRETED PROTEIN, ACIDIC, CYSTEINE-RICH (OSTEONECTIN)
204437_s_at	241.58	431.11	1.75	5.04E-03	YME1L1	YME1-LIKE 1 (S. CEREVISIAE)
49452_at	358.34	673.15	1.75	1.32E-02	LSM4	LSM4 HOMOLOG, U6 SMALL NUCLEAR RNA ASSOCIATED (S. CEREVISIAE)
203575_at	105.78	208.86	1.75	1.86E-03	SLC25A44	KIAA0446 GENE PRODUCT
215016_x_at	787.24	1304.08	1.74	6.52E-03	TACSTD1	TUMOR-ASSOCIATED CALCIUM SIGNAL TRANSDUCER 1
210495_x_at	160.54	305.23	1.74	3.14E-03	VPS13B	COHEN SYNDROME 1
200881_s_at	301.86	535.51	1.74	1.11E-02	DNAJA1	DNAJ (HSP40) HOMOLOG, SUBFAMILY A, MEMBER 1
215867_x_at	65.95	122.49	1.74	4.11E-03	RMI1	CHROMOSOME 9 OPEN READING FRAME 76
201888_s_at	54.63	99.72	1.73	2.11E-03	IL13RA1	INTERLEUKIN 13 RECEPTOR, ALPHA 1
213004_at	219.9	398.12	1.73	1.53E-03	MEMO1	CHROMOSOME 2 OPEN READING FRAME 4
211653_x_at	256.8	464.34	1.73	9.29E-04	MAP7	MICROTUBULE-ASSOCIATED PROTEIN 7
203963_at	298.18	545.99	1.72	1.57E-02	NME1	NON-METASTATIC CELLS 1, PROTEIN (NM23A) EXPRESSED IN
204971_at	215.88	381.05	1.71	2.45E-02	SLC35A2	SOLUTE CARRIER FAMILY 35 (UDP-GALACTOSE TRANSPORTER), MEMBER A2
60474_at	271.58	514.65	1.71	6.03E-03	RAB8A	RAB8A, MEMBER RAS ONCOGENE FAMILY
212961_x_at	344.81	583.41	1.7	1.01E-03	CXORF40B	CHROMOSOME X OPEN READING FRAME 40A
221234_s_at	1167.2	1962.42	1.7	1.42E-03	PRDX1	PEROXIREDOXIN 1
208687_x_at	794.5	1397.87	1.7	3.62E-03	HSPA8	HEAT SHOCK 70KDA PROTEIN 8
210347_s_at	74.18	135.3	1.7	7.82E-04	PRKAR1A	PROTEIN KINASE, CAMP-DEPENDENT, REGULATORY, TYPE I, ALPHA (TISSUE SPEC…)
209691_s_at	71.42	129.77	1.7	1.56E-02	SSR1	SIGNAL SEQUENCE RECEPTOR
222108_at	168.11	311.6	1.69	7.17E-03	MB	MYOGLOBIN
219696_at	151.95	277.4	1.69	4.64E-03	C1ORF218	HYPOTHETICAL PROTEIN FLJ20054
213005_s_at	118.52	200.78	1.69	1.74E-02	PCK2	PHOSPHOENOLPYRUVATE CARBOXYKINASE 2 (MITOCHONDRIAL)
211931_s_at	857.9	1489.77	1.68	1.57E-04	HNRPA3	HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN A3
202641_at	322.14	551.87	1.68	1.10E-02	ARL3	ADP-RIBOSYLATION FACTOR-LIKE 3
201096_s_at	150.2	274.39	1.68	1.52E-02	PDIA4	PROTEIN DISULFIDE ISOMERASE FAMILY A, MEMBER 4
217867_x_at	546.97	969.58	1.67	4.04E-03	BACE2	BETA-SITE APP-CLEAVING ENZYME 2
201413_at	504.41	884.73	1.67	1.30E-02	HSD17B4	HYDROXYSTEROID (17-BETA) DEHYDROGENASE 4
203755_at	52.99	90.71	1.66	1.86E-02	BUB1B	BUB1 BUDDING UNINHIBITED BY BENZIMIDAZOLES 1 HOMOLOG BETA (YEAST)
213591_at	569.25	928.27	1.65	1.17E-02	MARCKSL1	MARCKS-LIKE 1
214112_s_at	285.95	470.77	1.64	1.98E-03	CXCL5	CHEMOKINE (C-X-C MOTIF) LIGAND 5
202655_at	147.1	248.23	1.64	7.02E-03	ARMET	ARGININE-RICH, MUTATED IN EARLY STAGE TUMORS
205022_s_at	210.72	344.35	1.63	9.98E-03	YME1L1	YME1-LIKE 1 (S. CEREVISIAE)
200777_s_at	661.09	1078.01	1.62	6.88E-03	BZW1	BASIC LEUCINE ZIPPER AND W2 DOMAINS 1
201341_at	126.03	212.36	1.62	3.13E-03	TMEM33	TRANSMEMBRANE PROTEIN 33
221932_s_at	328.99	540.19	1.62	1.05E-02	GLRX5	GLUTAREDOXIN 5 HOMOLOG (S. CEREVISIAE)
217852_s_at	863.05	1437.16	1.6	5.12E-03	ARL8B	ADP-RIBOSYLATION FACTOR-LIKE 8B
201098_at	219.18	353.8	1.58	1.85E-03	COPB2	COATOMER PROTEIN COMPLEX, SUBUNIT BETA 2 (BETA PRIME)
203481_at	38.16	66.32	1.58	3.65E-03	C10ORF6	CHROMOSOME 10 OPEN READING FRAME 6
200881_s_at	363.94	561.44	1.58	3.22E-04	SQRDL	SULFIDE QUINONE REDUCTASE-LIKE (YEAST)
200776_s_at	455.9	741.97	1.57	2.53E-03	RAB11A	RAB11A, MEMBER RAS ONCOGENE FAMILY
213524_s_at	403.55	629.77	1.53	6.66E-04	ZNF706	ZINC FINGER PROTEIN 706
213540_at	229.24	132.11	0.62	1.30E-02	HSD17B8	HYDROXYSTEROID (17-BETA) DEHYDROGENASE 8
201117_s_at	89.06	55.18	0.62	4.00E-03	SIPA1L1	SIGNAL-INDUCED PROLIFERATION-ASSOCIATED 1 LIKE 1
203755_at	186.57	115.19	0.61	2.00E-03	NA
200974_at	787.86	464.45	0.61	4.00E-03	LTBP2	LATENT TRANSFORMING GROWTH FACTOR BETA BINDING PROTEIN 2
219060_at	76.39	44.1	0.6	3.00E-03	RASL12	RAS-LIKE, FAMILY 12
211366_x_at	145.73	84.63	0.6	7.00E-03	CASP1	CASPASE 1, APOPTOSIS_RELATED CYSTEINE PEPTIDASE (INTERLEUKIN 1, BETA,…
65718_at	95.29	59.4	0.6	1.30E-02	GPR124	G PROTEIN-COUPLED RECEPTOR 124
219498_s_at	82.28	48.91	0.6	9.00E-03	PRKD3	PROTEIN KINASE D3
204920_at	78.01	46.94	0.6	3.00E-03	SIRPA	PROTEIN TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE SUBSTRATE 1
218183_at	282.56	162.02	0.59	0.00E+00	NA
215380_s_at	93.37	55.15	0.59	1.90E-02	RARB	RETINOIC ACID RECEPTOR, BETA
204781_s_at	102.07	58.96	0.59	2.00E-03	FAS	FAS (TNF RECEPTOR SUPERFAMILY, MEMBER 6)
204975_at	133.8	74.73	0.59	1.30E-02	TMCO6	HYPOTHETICAL PROTEIN PRO1580
215513_at	109.44	64.95	0.58	1.10E-02	HYMAI	HYDATIDIFORM MOLE ASSOCIATED AND IMPRINTED
207016_s_at	79.7	50.41	0.58	2.30E-02	NTRK3	NEUROTROPHIC TYROSINE KINASE, RECEPTR, TYPE 3
212738_at	68.97	41.6	0.58	1.80E-02	PGAP1	GPI DEACYLASE
204567_s_at	110.49	63.35	0.58	1.00E-03	NMT2	N-MYRISTOYLTRANSFERASE 2
204457_s_at	96.92	51.38	0.58	5.00E-03	ZSCAN12	ZINC FINGER PROTEIN 96
202022_at	97.59	54.18	0.58	1.40E-02	ALDOC	ALDOLASE C, FRUCTOSE-BIPHOSPHATE
219696_at	469.89	255.26	0.58	2.00E-03	NAB1	NGFI-A BINDING PROTEIN 1 (EGR1 BINDING PROTEIN 1)
200974_at	97.4	57.64	0.58	6.00E-03	NR3C1	NUCLEAR RECEPTOR SUBFAMILY 3, GROUP C, MEMBER 1 (GLUCOCORTICOID RECEPT…
210201_x_at	160.77	94.16	0.57	7.00E-03	BIN1	BRIDGING INTEGRATOR 1
215016_x_at	833.3	471.44	0.57	2.00E-02	DST	DYSTONIN
213900_at	113.54	61.06	0.57	1.30E-02	NLRP1	NACHT, LEUCINE RICH REPEAT AND PYD (PYRIN DOMAIN) CONTAINING 1
204154_at	67.53	36.15	0.57	1.30E-02	CDO1	CYSTEINE DIOXYGENASE, TYPE 1
