UID	NAME	C1	C3	C2	E1	E6	E5	E3	E4	E2
A_01_P018392	||  || A_01_P018392 ||  || Homo sapiens Cas-Br-M (murine) ecotropic retroviral transforming sequence (CBL), mRNA [NM_005188] ||  ||  || 6275006	-2.33	-1.65	-1.89	-0.43	-0.26	0	-0.33	-0.09	0.06
A_01_P004949	||  || A_01_P004949 ||  || Homo sapiens chromosome 2 open reading frame 29 (C2orf29), mRNA. [NM_017546] ||  ||  || 6292275	-0.87	-0.99	-0.76	0.29	0.74	0.83	0.79	1.01	0.63
A_01_P006535	||  || A_01_P006535 ||  || PREDICTED: Homo sapiens nucleoporin 160kDa (NUP160), mRNA [XM_113678] ||  ||  || 6269110	-2.1	-1.49	-1.71	-0.12	-0.1	-0.14	-0.04	-0.03	-0.56
A_01_P002948	||  || A_01_P002948 ||  || Homo sapiens tumor protein, translationally-controlled 1 (TPT1), mRNA [NM_003295] ||  ||  || 6276742	-2.03	-1.66	-1.52	-0.46	-0.39	-0.21	-0.49	-0.41	-0.54
A_01_P013009	||  || A_01_P013009 ||  || Homo sapiens golgi autoantigen, golgin subfamily a, 2 (GOLGA2), mRNA. [NM_004486] ||  ||  || 6272447	-2.71	-2.33	-2.36	-0.4	-1.16	-0.64	-0.79	-0.8	-1.07
A_01_P017967	||  || A_01_P017967 ||  || Homo sapiens hypothetical protein FLJ33318 (FLJ33318), mRNA [NM_153229] ||  ||  || 6288600	-2.45	-1.63	-1.9	-0.35	0.16	-0.19	-0.35	-0.5	0
A_01_P015482	||  || A_01_P015482 ||  || Homo sapiens platelet-derived growth factor receptor, beta polypeptide (PDGFRB), mRNA. [NM_002609] ||  ||  || 6283416	-1.7	-1.55	-1.84	0.52	0.19	-0.19	-0.39	0.42	0.01
A_01_P018992	||  || A_01_P018992 ||  || Homo sapiens exostoses (multiple) 1 (EXT1), mRNA [NM_000127] ||  ||  || 6289372	-1.58	-1.31	-1.13	-0.19	0.11	0.28	0.15	0.54	0.08
A_01_P002620	||  || A_01_P002620 ||  || Homo sapiens CUG triplet repeat, RNA binding protein 1 (CUGBP1), transcript variant 2, mRNA [NM_198700] ||  ||  || 6293448	-1.79	-1.32	-1.33	0.1	0.83	0.53	1.15	1.57	0.84
A_01_P010090	||  || A_01_P010090 ||  || Homo sapiens peroxisomal biogenesis factor 5 (PEX5), mRNA. [NM_000319] ||  ||  || 6277154	-2.55	-1.77	-1.6	-0.07	0	-0.06	-0.07	-0.41	-0.45
A_01_P003423	||  || A_01_P003423 ||  || Homo sapiens protein kinase D3 (PRKD3), mRNA. [NM_005813] ||  ||  || 6284063	-2.57	-1.72	-2	-0.32	0.43	-0.07	-0.5	-0.35	-0.04
A_01_P011026	||  || A_01_P011026 ||  || Homo sapiens likely ortholog of mouse phosphorylated adaptor for RNA export (PHAX), mRNA [NM_032177] ||  ||  || 6292282	-1.51	-1.03	-1.2	-0.04	0.67	1.04	0.62	0.51	0.53
A_01_P014288	||  || A_01_P014288 ||  || Homo sapiens zinc finger protein 195 (ZNF195), mRNA. [NM_007152] ||  ||  || 6278793	-2	-1.09	-1.37	-0.01	0.06	0.15	0.13	-0.04	0.06
A_01_P016432	||  || A_01_P016432 ||  || Homo sapiens natural killer-tumor recognition sequence (NKTR), transcript variant 1, mRNA. [NM_005385] ||  ||  || 6275059	-2.72	-2.9	-3.25	-1.38	-1.69	-1.44	-1.3	-1.83	-1.62
A_01_P002071	||  || A_01_P002071 ||  || Homo sapiens beta-2-microglobulin (B2M), mRNA. [NM_004048] ||  ||  || 6275874	-1.65	-1.92	-1.57	-0.56	-0.47	-0.29	-0.77	-0.58	-0.49
A_01_P011212	||  || A_01_P011212 ||  || ILLUMIGEN_MCQ_5177 Katze_MMBR Macaca mulatta cDNA clone IBIUW:5985 5 similar to Bases 207 to 967 highly similar to human Unigene Hs.351680, mRNA sequence [CN641683] ||  ||  || 6278725	-1.98	-1.89	-2.71	-0.78	-0.41	-0.09	-0.08	-0.48	-0.52
A_01_P018386	||  || A_01_P018386 ||  ||  ||  ||  || 6280285	-2.02	-1.17	-1.09	-0.08	0.69	0.67	0.56	0.57	0.62
A_01_P013771	||  || A_01_P013771 ||  || Homo sapiens tumor protein, translationally-controlled 1 (TPT1), mRNA [NM_003295] ||  ||  || 6290006	-2	-1.75	-1.53	-0.65	-0.04	-0.32	-0.55	-0.39	-0.23
A_01_P013654	||  || A_01_P013654 ||  || PREDICTED: Macaca mulatta similar to phosphoribosyl pyrophosphate synthetase-associated protein 2 (PRPSAP2), mRNA [XR_011920] ||  ||  || 6271855	-2.01	-1.84	-2.18	-0.64	-0.09	0.36	-0.04	-0.14	-0.64
A_01_P004749	||  || A_01_P004749 ||  || Homo sapiens hypothetical protein MGC45416 (MGC45416), mRNA [NM_152398] ||  ||  || 6268510	-0.93	-1.13	-0.9	0.37	1	1.04	1.73	0.81	0.88
A_01_P007195	||  || A_01_P007195 ||  || Homo sapiens Rho-associated, coiled-coil containing protein kinase 2 (ROCK2), mRNA. [NM_004850] ||  ||  || 6288790	-0.36	-1.13	-1.23	1.79	1.33	2.24	1.93	1.94	0.65
A_01_P006524	||  || A_01_P006524 ||  || Homo sapiens signal recognition particle 72kDa (SRP72), mRNA [NM_006947] ||  ||  || 6268820	-1.75	-1.62	-1.27	-0.03	-0.14	0.47	0.17	0.64	-0.24
A_01_P007767	||  || A_01_P007767 ||  || PREDICTED: Homo sapiens similar to Heat shock cognate 71 kDa protein (LOC441198), mRNA [XM_496854] ||  ||  || 6293574	-0.64	-0.71	-0.5	0.54	0.56	0.55	0.62	1.06	0.42
A_01_P018990	||  || A_01_P018990 ||  || Homo sapiens RAE1 RNA export 1 homolog (S. pombe) (RAE1), transcript variant 1, mRNA. [NM_003610] ||  ||  || 6291075	-2.36	-1.95	-1.4	-0.63	0.25	0.17	0.58	0.4	0.33
A_01_P002917	||  || A_01_P002917 ||  || Homo sapiens 3-hydroxyisobutyryl-Coenzyme A hydrolase (HIBCH), transcript variant 1, mRNA. [NM_014362] ||  ||  || 6291089	-0.92	-1.76	-1.45	-0.22	0.38	0.33	0.55	0.6	0.41
A_01_P012217	||  || A_01_P012217 ||  || Homo sapiens chromosome 6 open reading frame 157 (C6orf157), mRNA [NM_198920] ||  ||  || 6268194	-1.42	-1.8	-1.5	-0.53	-0.65	-0.3	-0.25	-0.53	-0.36
A_01_P019101	||  || A_01_P019101 ||  || Homo sapiens ribosomal protein, large, P1 (RPLP1), transcript variant 1, mRNA [NM_001003] ||  ||  || 6281256	-1.27	-0.98	-0.72	0.24	0.03	0.11	0.21	0.08	0.06
A_01_P017443	||  || A_01_P017443 ||  || PREDICTED: Macaca mulatta artemis protein (DCLRE1C), mRNA [XR_010705] ||  ||  || 6274952	-1.51	-0.83	-1.14	-0.01	0.29	0.26	0.14	0.23	-0.06
A_01_P009447	||  || A_01_P009447 ||  || Homo sapiens BCL2/adenovirus E1B 19kDa interacting protein 3-like (BNIP3L), mRNA. [NM_004331] ||  ||  || 6280846	-1.67	-1.23	-1.42	-0.07	0.19	0.34	0.23	-0.24	-0.36
A_01_P006417	||  || A_01_P006417 ||  || Homo sapiens SEC22 vesicle trafficking protein-like 2 (S. cerevisiae) (SEC22L2), mRNA [NM_012430] ||  ||  || 6277806	-1.55	-1.74	-2.08	-0.16	0.21	0.52	0.06	0.31	-0.66
A_01_P005643	||  || A_01_P005643 ||  || Homo sapiens hypothetical protein DKFZp566M1046 (DKFZP566M1046), mRNA [NM_032127] ||  ||  || 6271624	-2.25	-1.49	-1.88	-0.44	-0.2	-0.56	-0.53	-0.64	-0.12
A_01_P005062	||  || A_01_P005062 ||  || Homo sapiens leucine rich repeat (in FLII) interacting protein 2 (LRRFIP2), mRNA. [NM_006309] ||  ||  || 6270473	-1.44	-1.44	-1.66	-0.38	0.01	0.44	0.88	0.46	0.34
A_01_P004369	||  || A_01_P004369 ||  || Homo sapiens CWF19-like 2, cell cycle control (S. pombe) (CWF19L2), mRNA [NM_152434] ||  ||  || 6290252	-2.45	-1.59	-1.8	-0.64	0.74	0.35	0.31	0.16	0
A_01_P003364	||  || A_01_P003364 ||  || Homo sapiens phosphatidylinositol glycan, class X (PIGX), mRNA. [NM_017861] ||  ||  || 6270769	-1.04	-0.84	-1.06	0.13	0.89	0.63	0.43	0.22	0.23
A_01_P003737	||  || A_01_P003737 ||  || Homo sapiens hypothetical protein MGC10198 (MGC10198), mRNA. [NM_152682] ||  ||  || 6278247	-1.36	-1.34	-1.14	-0.33	0.24	0.32	0.31	-0.02	-0.15
A_01_P001421	||  || A_01_P001421 ||  || Homo sapiens heat shock 70kDa protein 8 (HSPA8), transcript variant 1, mRNA [NM_006597] ||  ||  || 6268311	-1.09	-0.99	-0.8	-0.03	0.01	0.19	0.32	0.14	-0.09
A_01_P015902	||  || A_01_P015902 ||  || Homo sapiens leucine-rich repeats and immunoglobulin-like domains 3 (LRIG3), mRNA [NM_153377] ||  ||  || 6270310	-1.72	-1.65	-2.16	-0.19	-0.3	0.61	-0.17	-0.48	-0.21
A_01_P012857	||  || A_01_P012857 ||  || Homo sapiens ribosomal protein SA (RPSA), transcript variant 2, mRNA. [NM_001012321] ||  ||  || 6278988	-1.36	-1.16	-0.95	0	-0.09	0.71	0.43	0.42	0.48
A_01_P011537	||  || A_01_P011537 ||  || Homo sapiens glutamate receptor, ionotropic, N-methyl D-aspartate-like 1A (GRINL1A), mRNA [NM_015532] ||  ||  || 6287655	-0.84	-1.26	-1.27	0.03	-0.08	-0.02	-0.14	-0.2	0.12
A_01_P011003	||  || A_01_P011003 ||  ||  ||  ||  || 6280171	-0.79	-1.18	-0.87	0.46	0.51	1.24	0.91	1.4	0.45
A_01_P018380	||  || A_01_P018380 ||  ||  ||  ||  || 6270835	-1.94	-1.24	-1.62	-0.27	1.22	0.77	0.66	0.8	0.14
A_01_P000075	||  || A_01_P000075 ||  || Homo sapiens transmembrane protein 5 (TMEM5), mRNA [NM_014254] ||  ||  || 6270360	-2.25	-1.63	-1.87	-0.58	0.03	0.2	-0.74	0.18	0.06
A_01_P014102	||  || A_01_P014102 ||  || Homo sapiens ribosomal protein L7 (RPL7), mRNA [NM_000971] ||  ||  || 6269628	-1.81	-1.12	-1.61	-0.18	-0.43	0.03	-0.06	0.22	-0.26
A_01_P003569	||  || A_01_P003569 ||  || Homo sapiens cylindromatosis (turban tumor syndrome) (CYLD), mRNA [NM_015247] ||  ||  || 6293371	-1.73	-0.68	-1.54	0.38	0.48	1.04	0.85	0.77	0.05
A_01_P013875	||  || A_01_P013875 ||  || Homo sapiens family with sequence similarity 61, member B (FAM61B), mRNA. [NM_144703] ||  ||  || 6269644	-1.22	-1.13	-1.35	0	-0.17	-0.17	-0.09	-0.2	-0.53
A_01_P000117	||  || A_01_P000117 ||  || Homo sapiens zinc finger protein 426 (ZNF426), mRNA [NM_024106] ||  ||  || 6275589	-2.12	-1.39	-1.6	-0.32	0.36	0.87	0.5	-0.09	-0.1
A_01_P018026	||  || A_01_P018026 ||  || Homo sapiens guanine nucleotide binding protein (G protein), beta polypeptide 1 (GNB1), mRNA [NM_002074] ||  ||  || 6274001	-0.51	-1.08	-1.03	0.8	0.26	0.76	0.93	0.58	0.25
A_01_P019056	||  || A_01_P019056 ||  || Homo sapiens hypothetical protein FLJ32440 (FLJ32440), mRNA [NM_173685] ||  ||  || 6288755	-1.52	-1.14	-1.33	-0.09	1.48	0.43	0.81	0.72	1.29
A_01_P015710	||  || A_01_P015710 ||  || Homo sapiens mutS homolog 6 (E. coli) (MSH6), mRNA. [NM_000179] ||  ||  || 6271377	-1.49	-0.93	-2.21	-0.04	0.38	0.27	0.27	0.82	0.19
A_01_P013923	||  || A_01_P013923 ||  || Homo sapiens amyloid beta precursor protein (cytoplasmic tail) binding protein 2 (APPBP2), mRNA. [NM_006380] ||  ||  || 6292396	-1.44	-1.41	-1.05	-0.28	0.97	0.47	0.73	0.23	0.54
A_01_P012812	||  || A_01_P012812 ||  || Homo sapiens integrin beta 1 binding protein 1 (ITGB1BP1), transcript variant 1, mRNA. [NM_004763] ||  ||  || 6276465	-1.14	-0.33	-1.69	0.99	0.61	1.06	0.69	1.13	0.5
A_01_P006835	||  || A_01_P006835 ||  || PREDICTED: Macaca mulatta similar to WD repeat and FYVE domain containing 1 (LOC706913), mRNA [XR_013603] ||  ||  || 6282742	-2.21	-1.97	-1.64	-0.15	0.66	0.51	0.68	-0.65	-0.21
A_01_P019428	||  || A_01_P019428 ||  || Homo sapiens hypothetical protein LOC134218 (LOC134218), mRNA [NM_194283] ||  ||  || 6292634	-0.95	-0.69	-0.98	-0.04	0.35	0.71	0.63	0.71	0.37
A_01_P016113	||  || A_01_P016113 ||  || Homo sapiens similar to splicing factor, arginine/serine-rich 4 (FLJ11021), transcript variant 2, mRNA [NM_198261] ||  ||  || 6292754	-1.5	-1.73	-1.46	-0.49	-0.23	0.16	0.11	0.44	-0.39
A_01_P005524	||  || A_01_P005524 ||  || Homo sapiens ubiquitin-fold modifier 1 (UFM1), mRNA. [NM_016617] ||  ||  || 6284650	-1.6	-1.13	-1.32	0	1.21	0.59	0.77	0.37	-0.03
A_01_P007490	||  || A_01_P007490 ||  || Homo sapiens zinc finger protein 227 (ZNF227), mRNA. [NM_182490] ||  ||  || 6286389	-2.46	-1.79	-2.18	-0.9	-0.39	-0.97	-0.94	-0.92	-0.55
A_01_P009981	||  || A_01_P009981 ||  || PREDICTED: Homo sapiens similar to interleukin 9 receptor (LOC400481), mRNA [XM_375284] ||  ||  || 6275058	-1.3	-0.9	-0.72	0	-0.01	0.33	0.4	0.23	0.24
A_01_P010787	||  || A_01_P010787 ||  ||  ||  ||  || 6277015	-1.62	-1.13	-1.38	-0.13	0.21	0.23	0.29	0.67	-0.35
A_01_P018749	||  || A_01_P018749 ||  || ILLUMIGEN_MCQ_10540 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:9366 5 similar to Bases 1 to 970 highly similar to human TGIF (Hs.161999), mRNA sequence [CN644550] ||  ||  || 6276573	-1.22	-1.45	-1.78	-0.1	0.24	0.72	0.5	0.53	-0.41
A_01_P009577	||  || A_01_P009577 ||  || Homo sapiens golgi phosphoprotein 4 (GOLPH4), mRNA. [NM_014498] ||  ||  || 6267184	-1.22	-1.85	-1.42	-0.52	0.05	0.18	0.07	-0.08	-0.34
A_01_P012718	||  || A_01_P012718 ||  || Homo sapiens hypothetical protein DKFZp564O0523 (DKFZP564O0523), mRNA [NM_032120] ||  ||  || 6273433	-0.85	-1.24	-0.3	0.66	1.18	0.83	0.84	0.42	0.57
A_01_P008570	||  || A_01_P008570 ||  || Homo sapiens potassium channel modulatory factor 1 (KCMF1), mRNA [NM_020122] ||  ||  || 6288456	-2.36	-1.44	-1.37	0.73	0.43	-0.29	-0.14	-0.09	0.38
A_01_P005326	||  || A_01_P005326 ||  || Homo sapiens COBW domain containing 2 (CBWD2), mRNA [NM_172003] ||  ||  || 6284962	-2.56	-2.1	-2.31	-0.19	0.42	-1.1	-0.78	-0.34	-0.44
A_01_P000915	||  || A_01_P000915 ||  || Homo sapiens hypothetical protein FLJ11151 (FLJ11151), mRNA. [NM_018340] ||  ||  || 6285880	-2.29	-1.39	-1.54	-0.48	0.5	0.07	-0.01	0.42	-0.27
A_01_P000799	||  || A_01_P000799 ||  || Homo sapiens KIAA1160 protein (KIAA1160), mRNA. [NM_020701] ||  ||  || 6275145	-0.74	-0.73	-0.81	0.36	0.37	0.45	0.78	0.04	0.24
A_01_P007376	||  || A_01_P007376 ||  || MMPL0013_C08 MMPL Macaca mulatta cDNA, mRNA sequence [CB549199] ||  ||  || 6271834	-1.09	-0.9	-1.29	0.26	0.57	0.31	-0.11	0.79	0.06
A_01_P020203	||  || A_01_P020203 ||  || Homo sapiens ubiquitin specific protease 49 (USP49), mRNA [NM_004275] ||  ||  || 6293880	-1.38	-1.08	-1.23	0.76	-0.02	1.38	1.22	1.29	0.22
A_01_P012530	||  || A_01_P012530 ||  || Homo sapiens hypothetical protein FLJ11016 (FLJ11016), mRNA [NM_018301] ||  ||  || 6291658	-2.34	-1.52	-1.82	-0.69	-0.32	-0.61	-0.49	-0.79	-0.19
A_01_P006136	||  || A_01_P006136 ||  || Homo sapiens UBX domain containing 4 (UBXD4), mRNA. [NM_181713] ||  ||  || 6275552	-0.98	-1.13	-1.42	-0.03	0.69	-0.19	0.59	0.49	0.75
A_01_P007430	||  || A_01_P007430 ||  ||  ||  ||  || 6273295	-0.79	-1.72	-1.95	-0.08	0.72	0.64	1.04	0.54	0.03
A_01_P006967	||  || A_01_P006967 ||  || Homo sapiens ribosomal protein L41 (RPL41), mRNA [NM_021104] ||  ||  || 6274055	-1.6	-1.14	-1.11	-0.4	-0.18	0	-0.26	-0.3	-0.29
A_01_P013005	||  || A_01_P013005 ||  || Homo sapiens chromosome 3 open reading frame 23 (C3orf23), mRNA. [NM_173826] ||  ||  || 6293301	-1.49	-1.49	-1.22	0.02	0.12	-0.25	-0.19	-0.55	0.33
A_01_P015747	||  || A_01_P015747 ||  || PREDICTED: Macaca mulatta similar to transcription factor B2, mitochondrial (LOC710669), mRNA [XR_011737] ||  ||  || 6279507	-1.1	-1.22	-1.41	-0.42	0.98	0.96	0.83	1.11	0.81
A_01_P004472	||  || A_01_P004472 ||  || Homo sapiens ADP-ribosylation factor-like 10C (ARL10C), mRNA. [NM_018184] ||  ||  || 6278019	-0.81	-2.04	-1.27	0.25	0.43	0.32	0.28	0.28	-0.15
A_01_P012466	||  || A_01_P012466 ||  || Homo sapiens delta-like 1 (Drosophila) (DLL1), mRNA [NM_005618] ||  ||  || 6274750	-2.63	-1.8	-1.9	-0.23	0.16	-0.03	-1.13	-0.19	-0.28
A_01_P012939	||  || A_01_P012939 ||  || Homo sapiens mitochondrial ribosome recycling factor (MRRF), nuclear gene encoding mitochondrial protein, transcript variant 3, mRNA [NM_199176] ||  ||  || 6282108	-1.32	-2.16	-2.06	-0.03	-0.36	0.04	-0.02	-0.08	-0.87
A_01_P000014	||  || A_01_P000014 ||  || PREDICTED: Homo sapiens similar to 60S ribosomal protein L7a (Surfeit locus protein 3) (PLA-X polypeptide) (LOC401640), mRNA [XM_497217] ||  ||  || 6269222	-2	-1.73	-1.71	-1.1	-0.69	-0.38	-0.63	-0.55	-0.72
A_01_P006497	||  || A_01_P006497 ||  || ILLUMIGEN_MCQ_9480 Katze_MMBR Macaca mulatta cDNA clone IBIUW:8890 5 similar to Bases 275 to 328 highly similar to human HP1-BP74 (Hs.142442), mRNA sequence [CN644083] ||  ||  || 6273769	-2.25	-1.9	-1.5	0.25	0.15	0.16	-0.8	-0.33	-0.48
A_01_P009935	||  || A_01_P009935 ||  || Homo sapiens COX15 homolog, cytochrome c oxidase assembly protein (yeast) (COX15), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA. [NM_078470] ||  ||  || 6286428	-0.69	-1.47	-1.66	-0.28	0.9	0.72	0.58	0.31	0.92
A_01_P011827	||  || A_01_P011827 ||  || Homo sapiens IK cytokine, down-regulator of HLA II (IK), mRNA [NM_006083] ||  ||  || 6293242	-1.35	-1.47	-1.59	-0.58	-0.44	-0.49	-0.79	-0.8	-0.49
A_01_P007131	||  || A_01_P007131 ||  || Homo sapiens mitogen-activated protein kinase kinase kinase kinase 5 (MAP4K5), transcript variant 1, mRNA. [NM_006575] ||  ||  || 6271293	-2.3	-1.23	-1.52	0	-0.05	0.27	-0.64	-0.25	0.08
A_01_P004670	||  || A_01_P004670 ||  || Homo sapiens cell division cycle and apoptosis regulator 1 (CCAR1), mRNA [NM_018237] ||  ||  || 6271055	-1.86	-1.87	-2.49	-0.82	-0.81	-0.16	0.24	-0.32	-0.79
A_01_P011822	||  || A_01_P011822 ||  || Homo sapiens v-rel reticuloendotheliosis viral oncogene homolog (avian) (REL), mRNA [NM_002908] ||  ||  || 6275557	-0.97	-1.31	-0.91	-0.02	0.28	0.23	-0.27	0.13	-0.22
A_01_P001434	||  || A_01_P001434 ||  || Homo sapiens coproporphyrinogen oxidase (CPOX), mRNA [NM_000097] ||  ||  || 6281818	-1.16	-1.51	-0.86	0.05	1.06	0.99	1.05	1.26	-0.06
A_01_P002792	||  || A_01_P002792 ||  || Homo sapiens small acidic protein (SMAP), mRNA [NM_014267] ||  ||  || 6273695	-1.66	-0.97	-1.51	-0.49	0.37	0.05	0.18	-0.25	-0.01
A_01_P007735	||  || A_01_P007735 ||  || ILLUMIGEN_MCQ_8080 Katze_MMPL2 Macaca mulatta cDNA clone IBIUW:3409 5 similar to Bases 1 to 848 highly similar to human PHF3 (Hs.348921), mRNA sequence [CN643569] ||  ||  || 6267181	-2.33	-2.05	-1.39	-0.88	-0.04	-0.14	-0.12	-0.58	0.31
