Probe Set ID	Gene Symbol	Gene Title	SRA/RCAS; Linear fold change	CEF 72-4; Linear fold change	CNR 72-4; Linear fold change
Gga.15793.1.S1_at	LOC418654	Similar to Steryl-sulfatase precursor (Steroid sulfatase) (Steryl-sulfate sulfohydrolase) (Arylsulfatase C) (ASC)	-2.31	-2.16	-3.25
Gga.4851.1.A1_at	COL3A1	Collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	-2.33	-2.99	-11.31
Gga.18811.1.S1_at	---	Finished cDNA, clone ChEST987f14	-2.41	-4.99	-3.48
Gga.15998.1.S1_at	COLEC12	collectin sub-family member 12	-2.48	-2.38	-11.71
Gga.18643.1.S1_s_at	LOC768444	similar to voltage-gated calcium channel alpha2/delta-1 subunit	-2.48	-2.13	-3.84
GgaAffx.25534.1.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	-2.62	-3.76	-25.46
Gga.17021.1.S1_at	LOC769894	similar to Transmembrane anchor protein 1	-3.14	-2.97	-4.38
GgaAffx.22988.1.S1_at	---	GgaAffx.22988.1	-3.14	-2.16	-3.66
Gga.16844.2.S1_s_at	COL3A1	collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)	-3.16	-3.97	-26.72
GgaAffx.8024.1.S1_at	LOC771624	hypothetical protein LOC771624	-3.23	-5.21	-8
Gga.15017.1.S1_at	LOC424815	hypothetical LOC424815	-3.32	-2.11	-2.08
Gga.16392.1.S1_at	COL11A1	collagen, type XI, alpha 1	-3.48	-3.03	-13.64
Gga.9052.1.S1_at	LOC768655	similar to pim-3 protein	-3.53	-2.66	-5.98
Gga.4941.1.S1_at	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	-3.63	-2.43	-4.38
GgaAffx.20781.1.S1_at	---	Finished cDNA, clone ChEST229d1	-3.71	-2.39	-7.46
Gga.2724.1.S1_at	---	Finished cDNA, clone ChEST446j8	-3.71	-2.35	-4.82
GgaAffx.1064.1.S1_s_at	ATG16L1	ATG16 autophagy related 16-like 1 (S. cerevisiae)	-4.06	-2.1	-3.03
GgaAffx.9643.2.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	-4.08	-2.39	-2.04
GgaAffx.9643.1.S1_at	PCSK5	proprotein convertase subtilisin/kexin type 5	-4.26	-2.38	-3.68
Gga.16374.1.S1_at	---	Finished cDNA, clone ChEST84l23	-4.38	-2.57	-3.39
Gga.7551.1.S1_at	WISP1	WNT1 inducible signaling pathway protein 1	-4.56	-2.1	-14.32
Gga.3562.1.S1_at	COL11A1	collagen, type XI, alpha 1	-4.82	-3.1	-11.71
Gga.1615.1.S1_at	TMTC1	transmembrane and tetratricopeptide repeat containing 1	-4.82	-2.77	-3.23
Gga.1784.1.S1_at	ITGA8	integrin, alpha 8	-5.03	-3.68	-10.34
Gga.7316.1.S1_at	---	Transcribed locus, strongly similar to XP_425758.1  similar to tumor endothelial marker 8 isoform 1 precursor; tumor endothelial marker 8; 2310008J16Rik; 2810405N18Rik [Gallus gallus]	-5.13	-5.7	-6.96
Gga.16662.1.S1_at	---	Gga.16662.1	-5.21	-2.5	-2.25
Gga.2829.1.S1_at	---	Finished cDNA, clone ChEST888b4	-5.35	-2.51	-5.1
Gga.12310.1.S1_at	BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1	-5.78	-2.28	-2.33
Gga.13535.1.S1_at	LOC776634	similar to DNA-dependent protein kinase catalytic subunit	-5.78	-2.62	-4.53
Gga.8078.1.S1_at	LOC418737	similar to growth arrest-specific 6	-5.9	-6.06	-17.63
Gga.16495.1.S1_at	---	Finished cDNA, clone ChEST400g6	-5.94	-2.71	-5.7
Gga.4965.3.S1_a_at	COL12A1	collagen, type XII, alpha 1	-6.59	-2.68	-3.05
Gga.1784.1.S2_at	ITGA8	integrin, alpha 8	-6.63	-4.96	-8.75
Gga.3573.2.S1_a_at	DKK3	dickkopf homolog 3 (Xenopus laevis)	-7.89	-3.14	-4.76
Gga.3972.1.S2_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	-8	-2.95	-2.14
Gga.17936.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	-8.17	-2.91	-2.62
GgaAffx.26432.1.S1_s_at	COL11A1	collagen, type XI, alpha 1	-8.51	-3.46	-14.12
Gga.4108.2.S1_a_at	TPM1	tropomyosin 1 (alpha)	-8.57	-2.03	-3.07
Gga.696.1.S1_at	BDNF	brain-derived neurotrophic factor	-9.45	-2.53	-4.79
Gga.3972.1.S1_at	SEMA3D	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3D	-9.78	-4.17	-3.48
Gga.665.1.S1_at	CSRP2	cysteine and glycine-rich protein 2	-11	-3.25	-6.54
Gga.918.1.S1_at	KCNMB1	potassium large conductance calcium-activated channel, subfamily M, beta member 1	-11.16	-3.68	-5.86
Gga.16710.2.S1_a_at	LOC419422	hypothetical LOC419422	-11.96	-2.89	-11.47
Gga.4870.3.S1_a_at	LOC423298	alpha-cardiac actin	-12.3	-3.32	-19.29
Gga.2587.1.S1_at	NOV	nephroblastoma overexpressed gene	-12.73	-5.98	-26.72
Gga.1819.1.S1_at	DIO2	deiodinase, iodothyronine, type II	-12.82	-5.78	-9.85
Gga.14498.1.S1_at	---	Finished cDNA, clone ChEST533o24	-13.09	-3.29	-3.01
Gga.7900.2.S1_a_at	LOC426933	similar to RIKEN cDNA 1110018M03	-15.24	-4.76	-9
Gga.4091.1.S2_a_at	MYLK	myosin, light chain kinase	-15.78	-3.76	-37.27
Gga.3908.1.S1_at	TAGLN	Transgelin	-16.68	-2.48	-5.13
Gga.2582.1.S1_at	TGFBI	transforming growth factor, beta-induced, 68kDa	-18.38	-4.44	-3.68
Gga.14976.1.S1_at	---	Finished cDNA, clone ChEST132d10	-19.7	-4.69	-2.27
Gga.5962.1.S1_at	---	Gga.5962.1	-71.51	-6.77	-16
