Genes	Regulation
C7	Up
CA1	Up
CA12	Up
CA2	Up
CA4	Up
CAV1	Up
CD177	Up
CD36	Up
CDKN2B	Up
CEACAM1	Up
CEACAM7	Up
CES2	Up
CFD	Up
CFL2	Up
CHGA	Up
CHP2	Up
CHRDL1	Up
CITED2	Up
CLCA1	Up
CLCA4	Up
CLDN23	Up
CLDN8	Up
CLEC3B	Up
CLIC5	Up
CLU	Up
CMBL	Up
CNN1	Up
CRYAB	Up
CSRP1	Up
CXCL12	Up
DCN	Up
DES	Up
DHRS9	Up
DMD	Up
DMN	Up
DNASE1L3	Up
DPT	Up
EDG2	Up
EDIL3	Up
EDN3	Up
EMP1	Up
ENTPD5	Up
EPB41L3	Up
ETHE1	Up
EXOC3	Up
FABP1	Up
FABP4	Up
FAM107A	Up
FAM129A	Up
FAM46C	Up
FAM55D	Up
FBLN1	Up
FCGBP	Up
FERMT2	Up
FGL2	Up
FHL1	Up
FLNA	Up
FNBP1	Up
FOSB	Up
FOXF1	Up
FOXF2	Up
FOXP2	Up
FXYD6	Up
GCG	Up
GCNT2	Up
GCNT3	Up
GPM6B	Up
GPX3	Up
GUCA1B	Up
GUCA2B	Up
HBA1	Up
HBA2	Up
HBB	Up
HHLA2	Up
HIGD1A	Up
HLA-C	Up
HMGCS2	Up
HPGD	Up
HSD11B2	Up
HSD17B2	Up
HSPB6	Up
HSPB8	Up
IGHA1	Up
IGHM	Up
IGJ	Up
IGKV1D-13	Up
IGL@	Up
IGLJ3	Up
IGLV1-44	Up
IL1R2	Up
IL8	Up
ITLN1	Up
ITM2A	Up
ITM2C	Up
IVD	Up
KCNMA1	Up
KCNMB1	Up
KCTD12	Up
KLF4	Up
KRT20	Up
LGALS2	Up
LIFR	Up
LMOD1	Up
LOC253012	Up
LOC572558	Up
LOC646627	Up
LOC652128	Up
LOC96610	Up
LRRC19	Up
LYVE1	Up
MAB21L2	Up
MALL	Up
MAMDC2	Up
MAOA	Up
MATN2	Up
MEP1A	Up
METTL7A	Up
MGC13057	Up
MGC4172	Up
MGP	Up
MIER3	Up
MMP28	Up
MPEG1	Up
MRGPRF	Up
MS4A12	Up
MSRB3	Up
MT1E	Up
MT1F	Up
MT1G	Up
MT1H	Up
MT1M	Up
MT1X	Up
MUC12	Up
MUC4	Up
MUPCDH	Up
MYH11	Up
MYL9	Up
MYLK	Up
NDE1	Up
NR3C2	Up
NTN2L	Up
OGN	Up
OSTbeta	Up
P2RY1	Up
P2RY14	Up
PADI2	Up
PAPSS2	Up
PCDH7	Up
PCK1	Up
PDCD4	Up
PDE9A	Up
PDK4	Up
PGM5	Up
PIGR	Up
PKIB	Up
PLAC8	Up
PLCE1	Up
PLN	Up
POU2AF1	Up
PPAP2A	Up
PPID	Up
PPP1R12B	Up
PPP1R14A	Up
PRIMA1	Up
PRKACB	Up
PTGER4	Up
PYY	Up
RELL1	Up
RGS2	Up
RPL14	Up
SCARA5	Up
SCNN1B	Up
SDCBP2	Up
SDPR	Up
SELENBP1	Up
SEMA6D	Up
SEPP1	Up
SFRP1	Up
SGK1	Up
SI	Up
SLC26A2	Up
SLC26A3	Up
SLC4A4	Up
SMPDL3A	Up
SMTN	Up
SORBS1	Up
SORBS2	Up
SPARCL1	Up
SRPX	Up
SST	Up
ST6GALNAC1	Up
STMN2	Up
SULT1A1	Up
SYNPO2	Up
TAGLN	Up
TCF21	Up
TMEM47	Up
TNFRSF17	Up
TNS1	Up
TNXB	Up
TP53INP2	Up
TPM2	Up
TRPM6	Up
TSC22D3	Up
TSPAN1	Up
TSPAN7	Up
UGDH	Up
UGP2	Up
UGT1A1	Up
UGT1A3	Up
UGT1A6	Up
UGT1A9	Up
UGT2A3	Up
UGT2B15	Up
UGT2B17	Up
VSIG2	Up
XDH	Up
ZCWPW2	Up
ZG16	Up
