Symbol	probe set	Description	CP1	CP2	CP2 vs CP1
Oxct1	1455804_x_at	3-oxoacid CoA transferase 1	326.1	139.2	-2.342672414
Pafah2	1448489_at	platelet-activating factor acetylhydrolase 2	536.7	231.9	-2.314359638
Pank1	1418715_at	pantothenate kinase 1	345	149.5	-2.307692308
Pcx	AFFX-PyruCarbMur/L09192_5_at	pyruvate carboxylase	3515.6	1533.9	-2.291935589
Pdhb	1448214_at	pyruvate dehydrogenase (lipoamide) beta	1449.6	642.2	-2.257240735
Pdhx	1456090_at	pyruvate dehydrogenase complex, component X	7258.3	3216.9	-2.256302652
Pdk4	1417273_at	pyruvate dehydrogenase kinase, isoenzyme 4	542.2	246.2	-2.202274574
Pgd	1438627_x_at	phosphogluconate dehydrogenase	4709	2144.7	-2.195645079
Ppara	1449051_at	peroxisome proliferator activated receptor alpha	755.4	344.6	-2.19210679
Prim1	1449061_a_at	DNA primase, p49 subunit	1355.2	619.3	-2.188277087
Rhbdd3	1438548_x_at	rhomboid domain containing 3	68.8	31.9	-2.156739812
Rspo1	1449319_at	R-spondin homolog (Xenopus laevis)	861	399.7	-2.154115587
Scd1	1415823_at	stearoyl-Coenzyme A desaturase 1	543.2	252.3	-2.152992469
Scrn3	1426916_at	secernin 3	403.6	188.7	-2.138844727
Slc15a2	1424730_a_at	solute carrier family 15 (H+/peptide transporter), member 2	323.5	151.3	-2.138136153
Slc27a2	1416316_at	solute carrier family 27 (fatty acid transporter), member 2	827.2	388.2	-2.130860381
Slc28a3	1419571_at	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3	2595.3	1225.3	-2.118093528
Slc2a5	1416639_at	solute carrier family 2 (facilitated glucose transporter), member 5	477.5	226.1	-2.111897391
Smpd1	1447874_x_at	sphingomyelin phosphodiesterase 1, acid lysosomal	633.8	300.2	-2.111259161
Snrpn	1435716_x_at	small nuclear ribonucleoprotein N	375.3	178	-2.108426966
Sycp3	1449534_at	synaptonemal complex protein 3	386.8	186.5	-2.073994638
Tatdn1	1444644_x_at	TatD DNase domain containing 1	655.4	317.5	-2.064251969
Tatdn2	1454769_at	TatD DNase domain containing 2	655.3	318.3	-2.058749607
Tcap	1423145_a_at	titin-cap	562.1	274.9	-2.044743543
Tcf4	1446953_at	transcription factor 4	2568.1	1256.9	-2.043201528
Tcfe2a	1427764_a_at	transcription factor E2a	982.4	481.8	-2.03902034
Tkt	1451015_at	transketolase	464.4	228.1	-2.035949145
Tmem45a	1422587_at	transmembrane protein 45a	519.8	256.6	-2.025720966
Tmem69	1446160_x_at	transmembrane protein 69	574.8	284	-2.023943662
Trdn	1426143_at	triadin	700.7	348.1	-2.01292732
Ucp1	1418197_at	uncoupling protein 1 (mitochondrial, proton carrier)	229.1	114.7	-1.997384481
Zbp1	1419604_at	Z-DNA binding protein 1	346.2	176.3	-1.963698242
Zbtb16	1439163_at	zinc finger and BTB domain containing 16	354.1	180.6	-1.9606866
Zdhhc12	1448857_a_at	zinc finger, DHHC domain containing 12	252.4	129.1	-1.955073586
