Gene Symbol	Probeset ID	p-value	Fold-Change
HLA-DMA	217478_s_at	0.000129636	9.00577
TNFRSF19	227812_at	0.000406977	8.96948
SOX2	228038_at	0.00102427	8.90981
LAMA4	202202_s_at	7.77E-07	8.82756
LSAMP	214460_at	5.55E-08	8.35439
JPH1	229139_at	1.84E-06	8.31868
LIPG	219181_at	3.64E-11	8.22907
APOE	203381_s_at	0.000127477	8.20987
SERPINI1	205352_at	3.32E-06	8.12746
ENPP2	210839_s_at	0.00569064	8.09763
CBS	1553972_a_at	1.00E-04	8.07664
BGN	201262_s_at	1.76E-07	7.90919
SPRY1	212558_at	0.000114769	7.89832
	235639_at	0.000297723	7.88218
NUPR1	209230_s_at	8.60E-06	7.84049
	215126_at	1.51E-06	7.78067
EDN3	217154_s_at	8.34E-09	7.77695
CBS	212816_s_at	0.000276818	7.75926
NR0B1	206645_s_at	5.50E-06	7.68761
CDC42EP5	227850_x_at	5.93E-08	7.6643
GPR126	213094_at	0.00148993	7.50653
BGN	201261_x_at	1.74E-09	7.46773
PCOLCE	202465_at	7.49E-05	7.46
APOE	203382_s_at	0.000187109	7.45294
PPM1E	236302_at	7.89E-08	7.28314
SLAIN1	225619_at	0.00240572	7.23366
ITIH5	219064_at	0.000342639	6.92733
C13orf15	218723_s_at	7.78E-08	6.84948
MTUS1	212093_s_at	1.07E-05	6.84222
NRCAM	216959_x_at	4.82E-07	6.84161
IFITM1	214022_s_at	0.000739132	6.7927
STXBP6	220994_s_at	6.76E-08	6.75341
ASNS	205047_s_at	8.27E-05	6.72536
	243932_at	3.94E-08	6.67709
TMTC1	226322_at	0.00023307	6.56268
LRP5	209468_at	4.72E-05	6.50298
CX3CL1	823_at	1.15E-05	6.48484
SORCS1	228194_s_at	0.00451965	6.45466
PTPRO	1554199_at	1.13E-09	6.39959
CXCL11	211122_s_at	0.00758083	6.28551
BEST1	207671_s_at	0.000107038	6.03247
HLA-DMB	203932_at	0.000502861	6.03225
RGS5	209071_s_at	1.03E-05	6.0266
MGAT4A	226039_at	6.71E-05	5.94753
RDH10	226021_at	0.000578774	5.93892
KIAA0746	212314_at	0.000268909	5.92561
CSPG4	214297_at	0.0110373	5.8779
METTL7A	207761_s_at	0.00174053	5.84959
	235111_at	3.85E-07	5.84489
FAM134B	218510_x_at	2.13E-06	5.80512
CHAC1	219270_at	1.96E-05	5.80477
RGS5	218353_at	1.35E-05	5.77818
RDH10	227467_at	0.000120567	5.7775
PDE7B	230109_at	1.96E-06	5.70996
NR4A2	216248_s_at	7.83E-10	5.64385
CHST6	223786_at	6.82E-06	5.58408
CSPG4	204736_s_at	0.00134064	5.52761
QPRT	204044_at	0.00531562	5.47998
COL15A1	203477_at	0.00266865	5.4015
SEMA6D	226492_at	0.000340837	5.39247
HHEX	215933_s_at	1.39E-06	5.29524
CHRNA1	206633_at	1.53E-08	5.17298
IFITM1	201601_x_at	0.00257113	5.12887
EPHB3	1438_at	0.000482825	5.12625
RGS5	209070_s_at	1.50E-05	5.09097
SOX2	213721_at	0.00163644	5.02154
NR4A2	204622_x_at	1.63E-09	4.99677
SCD	200832_s_at	0.00072294	4.94334
KIAA0746	212311_at	0.000791408	4.91418
NR4A2	204621_s_at	5.41E-09	4.86025
MACROD2	235278_at	0.000936319	4.7451
SLC27A1	226728_at	5.16E-07	4.60364
SLITRK2	233051_at	0.000116575	4.59186
IL12RB2	206999_at	0.00335841	4.55945
BMP8B	235275_at	0.000499454	4.54517
RDH10	1552378_s_at	5.38E-05	4.44497
GPR155	239533_at	0.002972	4.36783
SPARCL1	200795_at	0.000285011	4.28003
ACSS2	234312_s_at	2.48E-06	4.25204
LRRC33	235359_at	9.53E-05	4.22306
SORL1	203509_at	2.50E-05	4.20727
DEPDC6	218858_at	0.000854411	4.19757
WWP2	204022_at	1.26E-09	4.17657
PCSK2	204870_s_at	4.55E-11	4.17164
OLFML2A	213075_at	0.0117458	4.16944
TMEM163	223503_at	0.0090898	4.13034
PDGFRL	205226_at	0.0121033	4.06487
PSAT1	220892_s_at	0.0116325	4.05259
RGS5	1555725_a_at	0.000166665	4.04734
FOS	209189_at	8.52E-05	4.04518
SDC3	202898_at	1.89E-07	3.99533
GDPD1	238681_at	6.38E-05	3.98457
SDC2	212158_at	0.000625689	3.96206
GAA	202812_at	1.62E-06	3.93265
SORBS1	218087_s_at	0.00274912	3.89132
SDC2	212154_at	0.00264899	3.87397
NTSR1	207360_s_at	5.50E-15	3.81571
WWP2	1552737_s_at	4.27E-10	3.81486
PLEKHH2	227148_at	0.000306645	3.75532
CTH	206085_s_at	7.03E-06	3.7289
ASS1	207076_s_at	0.00197261	3.71941
PPM1E	205938_at	5.81E-09	3.70387
DNAJC12	218976_at	0.00105317	3.70079
FBLL1	244071_at	5.08E-08	3.69211
CTH	217127_at	4.05E-05	3.67786
KIAA0644	205150_s_at	2.18E-07	3.6099
LY6E	202145_at	0.00648708	3.60643
	231192_at	0.00699897	3.57046
KIAA1161	232244_at	9.97E-05	3.54362
CA11	209726_at	1.13E-05	3.52248
TSC22D3	208763_s_at	0.00362406	3.51366
ACSS3	229222_at	0.00754896	3.51201
ART3	210147_at	0.00400136	3.48388
KCNA2	239118_at	0.00222286	3.45057
CLMN	213839_at	0.00334651	3.43294
NXN	219489_s_at	0.000266038	3.42205
	214896_at	2.29E-05	3.37706
IGDCC4	227870_at	0.0678677	3.33513
ANO1	218804_at	0.00847109	3.33398
ITM2C	221004_s_at	3.24E-07	3.33001
	242488_at	2.74E-05	3.32267
3-Sep	223362_s_at	0.00450021	3.32218
TOX	204529_s_at	0.00106447	3.30447
TXNIP	201010_s_at	0.00276544	3.26865
ARRDC4	225283_at	0.0557023	3.21499
PCK2	202847_at	9.65E-06	3.21496
GJB1	204973_at	0.0101036	3.20122
CXXC5	233955_x_at	0.000136431	3.15736
DDIT4	202887_s_at	0.00109371	3.14657
PTCH1	209815_at	0.00494136	3.08822
RLBP1	206154_at	0.0191035	3.0766
PPL	203407_at	0.00405259	3.07338
WFDC1	219478_at	0.00262264	3.06441
CX3CL1	203687_at	0.000113245	3.04874
TMEM163	1552626_a_at	0.0146846	3.03575
CCPG1	222156_x_at	7.35E-05	3.01783
EMILIN1	204163_at	0.000108444	2.97183
CD24	209771_x_at	0.00205817	2.9685
PEG10	212094_at	0.00582643	2.93498
BOC	225990_at	0.0756352	2.91733
PELI1	218319_at	0.000661306	2.88493
CD24	216379_x_at	0.000900293	2.87073
PCYOX1L	218953_s_at	9.87E-06	2.86593
TXNIP	201008_s_at	0.00813498	2.85584
PPP1R9A	228494_at	0.0166756	2.85178
BMP8B	207865_s_at	0.00136828	2.83961
CD24	208650_s_at	4.10E-07	2.79633
AFAP1L2	226829_at	0.0223885	2.7517
ATL1	223340_at	0.00222828	2.75101
FST	226847_at	0.112978	2.63212
TXNIP	201009_s_at	0.0165116	2.6145
NCRNA00084	234989_at	0.0383654	2.614
DDR2	225442_at	0.0030046	2.61316
IGFBP5	211959_at	0.0927676	2.53008
C4orf19	219450_at	0.0647883	2.52099
ITIH5	1553243_at	0.0152496	2.47924
FST	204948_s_at	0.0337398	2.46678
FAM70A	219895_at	0.102676	2.42788
DDR2	227561_at	0.00180796	2.41419
JDP2	226267_at	0.000824243	2.40772
NR4A1	202340_x_at	0.000396743	2.37894
LINGO1	227933_at	0.00673571	2.34672
4-Sep	210657_s_at	0.124275	2.28449
IFITM2	201315_x_at	0.00107957	2.27671
DCHS1	222101_s_at	0.00426782	2.26875
	236709_at	0.000666332	2.20882
DDR2	205168_at	0.00258456	2.1783
RAB11FIP4	224482_s_at	0.00102595	2.17668
MRC2	37408_at	0.0432579	2.17303
SCARA5	229839_at	0.0929761	2.1532
	235171_at	0.000283264	2.10199
CNTNAP1	219400_at	0.00220368	2.08965
DNM1	215116_s_at	0.00414942	2.07773
IFITM3	212203_x_at	0.00252088	2.07391
MTSS1	203037_s_at	0.200598	2.05759
MCC	226225_at	0.0382023	2.05386
SCARA5	235849_at	0.0634404	2.05024
KLF4	221841_s_at	0.0688093	2.00854
SLC2A10	221024_s_at	0.146821	2.00845
VLDLR	209822_s_at	0.0269437	1.9956
FRY	204072_s_at	0.138279	1.981
OLIG2	213825_at	0.4137	1.88699
CHST1	205567_at	0.201621	1.87916
SLC2A3	202499_s_at	0.182677	1.85565
EGR3	206115_at	0.0683055	1.838
SV2A	203069_at	0.227213	1.78197
SLC7A11	217678_at	0.0325214	1.75213
USP53	237465_at	0.03771	1.74858
DLK1	209560_s_at	0.0931149	1.7411
TMEM100	219230_at	2.77E-05	1.73427
TRIB3	1555788_a_at	0.133129	1.72733
TRIB3	218145_at	0.15739	1.71203
EDIL3	225275_at	0.432481	1.6866
C9orf3	212848_s_at	0.000414657	1.66868
SLC7A11	209921_at	0.0593882	1.6652
USP53	230083_at	0.150782	1.6344
FAM119A	1553743_at	0.0593799	1.63097
LAMP3	205569_at	0.243268	1.62574
IGFBP4	201508_at	0.13446	1.60485
FGFRL1	223321_s_at	0.266901	1.58594
TCN1	205513_at	0.243334	1.5844
COL9A1	222008_at	0.0190161	1.57972
NOG	231798_at	0.000737282	1.50961
CA8	220234_at	0.483403	1.4872
SEMA3G	219689_at	0.0366774	1.46448
FCER1G	1554899_s_at	0.332649	1.45492
MTHFD2	201761_at	0.0608307	1.45473
KDR	203934_at	0.192442	1.39603
BEAN	214068_at	0.0567526	1.39495
TUBE1	226181_at	0.323503	1.37295
OLIG2	213824_at	0.393752	1.35139
CA12	215867_x_at	0.582125	1.31837
LRRC17	205381_at	0.26343	1.30835
BMP2	205290_s_at	0.754161	1.25507
	236277_at	0.266083	1.2437
CA12	203963_at	0.73364	1.24238
CEBPG	225527_at	0.0470518	1.23712
CA12	204508_s_at	0.682252	1.23299
HNMT	204112_s_at	0.581327	1.23036
H1F0	208886_at	0.603741	1.21755
VSNL1	203797_at	0.167321	1.21132
MYOZ2	213782_s_at	0.629289	1.18764
CA12	214164_x_at	0.716178	1.17065
IL27RA	222062_at	0.714389	1.16964
KLHDC8A	219331_s_at	0.629676	1.15638
CA6	206873_at	0.425206	1.13942
EGR1	227404_s_at	0.672096	1.13343
SLC7A11	207528_s_at	0.109674	1.12678
CA12	210735_s_at	0.781569	1.12672
VSNL1	203798_s_at	0.197161	1.12575
B3GNT5	225612_s_at	0.727967	1.11454
EGR1	201693_s_at	0.75105	1.09213
NPPC	221348_at	0.600806	1.08017
BMP2	205289_at	0.912351	1.06658
SPP1	209875_s_at	0.921633	1.05514
PLN	204939_s_at	0.887097	1.05243
EGR1	201694_s_at	0.887087	1.03965
HTN1	206639_x_at	0.953997	1.0269
CRABP1	205350_at	0.88707	1.02074
HTN3	206786_at	0.983888	1.00962
PAQR5	242871_at	0.593027	-1.06095
LONRF2	225996_at	0.851555	-1.07253
DEPDC7	228293_at	0.821576	-1.08388
PLN	204938_s_at	0.727016	-1.14861
MLF1IP	229305_at	0.584377	-1.22901
SPSB1	226075_at	0.397307	-1.26924
CPE	201116_s_at	0.380837	-1.35282
SMAD1	210993_s_at	0.16932	-1.39864
TFRC	207332_s_at	0.3035	-1.41216
HNMT	211732_x_at	0.273755	-1.41903
TFRC	237215_s_at	0.320618	-1.53967
SMAD1	227798_at	0.149943	-1.57015
AKAP12	227530_at	0.419282	-1.58776
AKAP12	227529_s_at	0.464711	-1.58837
CPE	201117_s_at	0.192807	-1.62728
FAM111A	218248_at	0.00421771	-1.64318
STS	203767_s_at	0.0183467	-1.65785
MAFB	218559_s_at	0.200796	-1.70156
CCNE2	211814_s_at	0.144751	-1.73683
	232569_at	0.0562005	-1.74282
IRS1	204686_at	0.223805	-1.75624
PCLO	210650_s_at	0.206252	-1.77034
FLI1	204236_at	0.0575418	-1.81425
AKAP12	210517_s_at	0.222335	-1.83199
ID3	207826_s_at	0.197959	-1.83954
RARB	205080_at	0.0634447	-1.91886
RARB	208530_s_at	0.0611611	-1.97001
LOC344595	235606_at	0.0392181	-2.00373
CCNE2	205034_at	0.108167	-2.0234
NRIP1	202599_s_at	0.00235038	-2.1052
CHML	206079_at	0.00164203	-2.17104
RBPMS	209487_at	0.0109636	-2.17186
RUNX2	232231_at	0.209109	-2.22741
RBPMS	207836_s_at	0.00558682	-2.23999
RBPMS	209488_s_at	0.0252271	-2.25446
SLAMF7	222838_at	0.140082	-2.31341
TXK	206828_at	2.54E-06	-2.33821
C1orf43	1555225_at	0.0019814	-2.36917
ANKH	223093_at	0.0112578	-2.40012
NRIP1	202600_s_at	0.0937202	-2.45342
LOC221710	235707_at	0.0019222	-2.49244
	241456_at	0.124621	-2.49431
IL1RAPL1	222963_s_at	0.00258967	-2.54827
ANKH	223092_at	0.0207176	-2.62877
LOC221710	1564651_at	5.85E-05	-2.70456
CLEC2B	209732_at	0.00117726	-2.9873
PCLO	213558_at	0.153431	-3.00068
IL1RAPL1	220663_at	0.0055822	-3.03156
	1560240_at	0.00088059	-3.20556
ISL1	206104_at	5.92E-05	-3.25815
TKT	228205_at	0.000583518	-3.2723
CHST11	219634_at	2.95E-05	-3.32998
ID1	208937_s_at	0.00233125	-3.43691
TM4SF18	228489_at	2.02E-07	-3.60258
TPM1	206116_s_at	0.0166591	-4.05881
LPXN	216250_s_at	0.00554021	-4.08324
ABCG2	209735_at	0.000198677	-4.16546
DUSP10	215501_s_at	0.00357734	-4.21347
	234986_at	9.87E-11	-4.54354
MMD	203414_at	0.000469624	-4.71672
DUSP10	221563_at	0.00159694	-4.76638
IGFBP6	203851_at	0.00508545	-4.77045
RFTN1	212646_at	4.13E-05	-4.83232
FMN2	1555471_a_at	0.00399013	-5.0442
GHR	205498_at	3.08E-05	-5.16783
ATP8B1	226302_at	6.26E-09	-5.194
FAM176A	227828_s_at	1.41E-05	-5.22288
DHRS3	202481_at	0.00247438	-5.58422
TBX3	225544_at	1.62E-05	-6.02074
NKX3-1	209706_at	5.18E-08	-7.30207
PPAPDC1A	236044_at	0.0315612	-7.42301
TBX3	229576_s_at	9.25E-05	-7.88885
ACSL5	222592_s_at	1.78E-06	-8.20962
SALL1	229273_at	5.92E-11	-8.35506
TGFB2	209909_s_at	2.13E-10	-9.46708
SALL1	206893_at	1.24E-09	-10.1698
TBX3	219682_s_at	0.000276756	-10.251
BEX1	218332_at	2.75E-06	-11.6511
PMEPA1	217875_s_at	0.00092371	-12.5769
DNER	226281_at	0.00032277	-15.567
PMEPA1	222449_at	0.00135609	-16.0209
PODXL	201578_at	7.78E-16	-17.5342
FAP	209955_s_at	0.000193351	-18.125
SPANXB1 /// SPANXB2 /// SPANXF1	220921_at	2.81E-22	-20.117
PMEPA1	222450_at	0.00126664	-20.4979
IL1B	39402_at	6.29E-13	-21.1625
EDN1	222802_at	1.06E-15	-21.4093
IL1B	205067_at	2.39E-10	-22.4501
SCG5	203889_at	1.40E-09	-23.424
KYNU	217388_s_at	5.35E-07	-25.4827
MAEL	229475_at	4.37E-22	-26.9871
KRT34	206969_at	5.83E-25	-33.5215
BASP1	202391_at	9.64E-09	-38.0676
KRT81	213711_at	1.81E-22	-39.4524
IL6	205207_at	2.95E-13	-55.0418
