Gene symbol	Gene title	Avg FC	FC range	Category
SMYD1	SET and MYND domain containing 1	292	631 -48	-
FLJ21986	hypothetical protein FLJ21986	279	445 -76	-
HSPB7	heat shock 27kDa protein family, member 7 (cardiovascular)	256	422 -117	O
CMYA1	cardiomyopathy associated 1	253	661 -76	O
HOP	homeodomain-only protein	235	345 -106	X
RUNX1	runt-related transcription factor 1 (acute myeloid leukemia 1)	234	447 -17	N
MYBPC3	myosin binding protein C, cardiac	229	416 -59	O
AFP	alpha-fetoprotein	221	275 -191	O
MYOCD	myocardin	218	374 -125	O
INHBA	inhibin, beta A (activin A, activin AB alpha polypeptide)	209	611 -27	N
SYNPO2L	synaptopodin 2-like	209	279 -71	O
TBX5	T-box 5	205	275 -120	O
MYL2	myosin, light polypeptide 2, regulatory, cardiac, slow	201	539 -74	O
GPRC5A	G protein-coupled receptor, family C, group 5, member A	196	311 -32	-
UNC45B	unc-45 homolog B (C. elegans)	193	410 -85	O
MEP1A	meprin A, alpha (PABA peptide hydrolase)	191	379 -48	X
WNT2	wingless-type MMTV integration site family member 2	186	390 -90	X
SHOX2	short stature homeobox 2	181	421 -15	O
PITX1	paired-like homeodomain transcription factor 1	172	368 -77	N
HOXB2	homeobox B2	171	369 -9	X
GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	170	292 -46	N
SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	169	439 -10	N
NBLA00301	putative protein product of Nbla00301	168	299 -41	-
NPPA	natriuretic peptide precursor A	166	291 -90	O
LMOD2	leiomodin 2 (cardiac)	165	506 -12	-
RGS13	regulator of G-protein signalling 13	165	191 -125	X
CD14	CD14 molecule	162	419 -30	N
RRAD	Ras-related associated with diabetes	159	284 -78	O
H19	H19, imprinted maternally expressed untranslated mRNA	155	186 -132	-
NPR3	natriuretic peptide receptor C/guanylate cyclase C	152	232 -51	N
CCDC3	coiled-coil domain containing 3	151	285 -47	O
HMGCS2	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	148	206 -84	N
MB	myoglobin	146	306 -56	O
CFI	complement factor I	145	230 -61	N
ACTA2	actin, alpha 2, smooth muscle, aorta	144	184 -99	U
LOC400043	hypothetical gene supported by BC009385	143	237 -72	-
KBTBD10	kelch repeat and BTB (POZ) domain containing 10	142	267 -63	O
LOC255130	hypothetical LOC255130	141	212 -42	-
TM4SF4	transmembrane 4 L six family member 4	139	263 -56	X
HSPB3	heat shock 27kDa protein 3	139	276 -37	O
DUSP27	dual specificity phosphatase 27 (putative)	138	302 -13	N
ASGR2	asialoglycoprotein receptor 2	137	360 -15	X
C21orf34	chromosome 21 open reading frame 34	137	308 -21	-
PRRX1	paired related homeobox 1	136	290 -28	O
C4orf26	chromosome 4 open reading frame 26	133	269 -31	X
RGS1	regulator of G-protein signalling 1	131	298 -39	N
WFDC1	WAP four-disulfide core domain 1	131	202 -68	N
BMP4	bone morphogenetic protein 4	130	239 -22	N
CFB	complement factor B	130	200 -26	N
MYL4	myosin, light polypeptide 4, alkali; atrial, embryonic	129	328 -25	O
BNC1	basonuclin 1	128	213 -61	-
ASPN	asporin (LRR class 1)	127	298 -32	O
ANXA1	annexin A1	127	241 -49	N
POSTN	periostin, osteoblast specific factor	126	184 -48	O
OSR2	odd-skipped related 2 (Drosophila)	124	263 -21	N
APOA2	apolipoprotein A-II	123	282 -13	O
PDE1A	phosphodiesterase 1A, calmodulin-dependent	122	175 -40	X
C1orf105	chromosome 1 open reading frame 105	121	272 -14	O
SLC6A13	solute carrier family 6 (neurotransmitter transporter), member 13	118	219 -16	-
MAB21L2	mab-21-like 2 (C. elegans)	118	147 -60	X
TRIM55	tripartite motif-containing 55	114	238 -54	O
FOXF1	forkhead box F1	113	151 -81	X
RGS4	regulator of G-protein signalling 4	112	174 -67	X
MYL3	myosin, light polypeptide 3, alkali; ventricular, skeletal, slow	112	295 -23	O
DPF3	D4, zinc and double PHD fingers, family 3	105	209 -17	-
C20orf75	chromosome 20 open reading frame 75	105	244 -9	X
VTN	vitronectin	104	256 -11	N
IGFBP1	insulin-like growth factor binding protein 1	103	228 -44	X
BGN	biglycan	102	313 -18	N
SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	101	239 -18	O
CRIP2	cysteine-rich protein 2	101	163 -49	N
ABCA8	ATP-binding cassette, sub-family A, member 8	101	128 -74	N
ANKRD38	ankyrin repeat domain 38	98	243 -40	N
PGM5	phosphoglucomutase 5	92	210 -18	N
ANXA8	annexin A8	88	120 -40	-
TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	88	109 -70	N
HOXA13	homeobox A13	87	198 -34	X
TYRP1	tyrosinase-related protein 1	87	177 -15	O
UBD	ubiquitin D	87	205 -10	-
LIPC	lipase, hepatic	87	108 -56	N
ALDH1A2	aldehyde dehydrogenase 1 family, member A2	85	169 -38	-
HHIP	hedgehog interacting protein	85	102 -61	X
COLEC11	collectin sub-family member 11	84	207 -20	N
MEIS2	meis1, myeloid ecotropic viral integration site 1 homolog 2	84	137 -35	N
TGFBI	transforming growth factor, beta-induced, 68kDa	82	117 -26	U
FGA	fibrinogen alpha chain	81	161 -33	U
APOB	apolipoprotein B (including Ag(x) antigen)	80	134 -21	N
IGSF10	immunoglobulin superfamily, member 10	79	160 -35	N
DLX2	distal-less homeobox 2	79	177 -9	X
PLG	plasminogen	79	204 -14	N
SNAI2	snail homolog 2 (Drosophila)	79	178 -37	N
TMEM12	transmembrane protein 12	78	139 -20	X
LOC645722	hypothetical protein LOC645722	77	175 -26	-
IL1R1	interleukin 1 receptor, type I	76	141 -23	-
PPP1R14C	protein phosphatase 1, regulatory (inhibitor) subunit 14C	75	173 -17	-
PAPPA	pregnancy-associated plasma protein A, pappalysin 1	75	90 -58	U
NID2	nidogen 2 (osteonidogen)	74	102 -41	O
SKIP	SPHK1 (sphingosine kinase type 1) interacting protein	74	95 -34	X
LGALS2	lectin, galactoside-binding, soluble, 2 (galectin 2)	74	118 -34	N
EDN1	endothelin 1	73	102 -43	N
TGM2	transglutaminase 2	71	79 -51	U
LYST	lysosomal trafficking regulator	71	130 -19	N
ITGA8	integrin, alpha 8	69	141 -29	X
ALDH1A1	aldehyde dehydrogenase 1 family, member A1	69	103 -23	U
TCEA3	transcription elongation factor A (SII), 3	68	177 -8	O
GATA4	GATA binding protein 4	67	162 -7	N
DHRS9	dehydrogenase/reductase (SDR family) member 9	67	119 -14	N
CLSTN2	calsyntenin 2	67	134 -8	N
GATA6	GATA binding protein 6	67	136 -5	O
COL1A1	collagen, type I, alpha 1	66	125 -41	N
TRIM63	tripartite motif-containing 63	66	110 -42	O
CRISPLD2	cysteine-rich secretory protein LCCL domain containing 2	65	126 -26	N
SFXN3	sideroflexin 3	64	156 -12	N
HCA112	hepatocellular carcinoma-associated antigen 112	64	121 -34	X
ALPK2	alpha-kinase 2	64	130 -40	N
RERG	RAS-like, estrogen-regulated, growth inhibitor	64	132 -14	X
WISP1	WNT1 inducible signaling pathway protein 1	63	97 -34	X
BMP5	bone morphogenetic protein 5	63	131 -26	O
NPY6R	neuropeptide Y receptor Y6 (pseudogene)	63	105 -36	-
GLRB	glycine receptor, beta	63	115 -17	N
PHOX2B	paired-like homeobox 2b	63	79 -36	X
F5	coagulation factor V (proaccelerin, labile factor)	62	146 -10	N
HAPLN1	hyaluronan and proteoglycan link protein 1	62	146 -19	N
EPAS1	endothelial PAS domain protein 1	62	98 -39	N
MEF2C	MADS box transcription enhancer factor 2	62	146 -18	O
LR8	LR8 protein	62	103 -13	X
LOC644192	hypothetical protein LOC644192	62	76 -23	-
VCAM1	vascular cell adhesion molecule 1	62	113 -38	N
CLDN4	claudin 4	61	107 -41	X
TNNC1	troponin C type 1 (slow)	61	122 -15	O
AGT	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	60	131 -14	O
TBX2	T-box 2	60	72 -47	N
ORM1	orosomucoid 1	60	120 -10	U
HLX1	H2.0-like homeobox 1 (Drosophila)	60	126 -22	N
CFC1	cripto, FRL-1, cryptic family 1	59	173 -7	-
CORIN	corin, serine peptidase	58	127 -19	X
COL5A1	collagen, type V, alpha 1	58	108 -32	-
HES4	hairy and enhancer of split 4 (Drosophila)	58	100 -26	X
SPINK1	serine peptidase inhibitor, Kazal type 1	57	152 -9	X
MASP1	mannan-binding lectin serine peptidase 1	57	115 -27	N
ACTN2	actinin, alpha 2	56	99 -28	O
ST7L	suppression of tumorigenicity 7 like	55	114 -10	-
CCDC80	coiled-coil domain containing 80	55	74 -34	O
SERPIND1	serpin peptidase inhibitor, clade D (heparin cofactor), member 1	55	131 -12	X
TXNIP	thioredoxin interacting protein	54	78 -27	O
ZFPM2	zinc finger protein, multitype 2	54	74 -28	N
OLFML1	olfactomedin-like 1	53	140 -9	O
HOXA3	homeobox A3	52	81 -36	X
COL8A1	collagen, type VIII, alpha 1	52	109 -19	-
TSHZ1	teashirt family zinc finger 1	52	100 -23	N
GBP3	guanylate binding protein 3	52	142 -15	-
LOC651619	hypothetical protein LOC651619	52	77 -13	-
SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain	50	87 -17	-
CPNE5	copine V	50	59 -33	N
RBM24	RNA binding motif protein 24	49	130 -10	O
PPFIA4	protein tyrosine phosphatase, receptor type, alpha 4	49	108 -12	N
CSMD1	CUB and Sushi multiple domains 1	49	79 -20	-
SST	somatostatin	49	102 -19	U
MATN1	matrilin 1, cartilage matrix protein	49	88 -11	-
MEIS1	meis1, myeloid ecotropic viral integration site 1 homolog	48	89 -9	N
EBF	early B-cell factor	48	65 -31	X
NR2F1	nuclear receptor subfamily 2, group F, member 1	48	85 -11	X
CDC42EP5	CDC42 effector protein (Rho GTPase binding) 5	47	68 -18	X
LOC284244	hypothetical protein LOC284244	47	86 -10	-
MMP28	matrix metallopeptidase 28	47	72 -25	-
DKFZp451A211	DKFZp451A211 protein	47	121 -7	X
SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)	47	125 -16	O
MEOX2	mesenchyme homeobox 2	47	71 -27	N
C8orf4	chromosome 8 open reading frame 4	47	106 -16	N
TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy)	46	77 -20	-
TMEM119	transmembrane protein 119	46	71 -15	N
DPP7	dipeptidyl-peptidase 7	45	82 -8	N
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif, 18	45	84 -25	N
NKX2-3	NK2 transcription factor related, locus 3	45	74 -17	X
GPR56	G protein-coupled receptor 56	45	122 -13	U
PLEKHA2	pleckstrin homology domain containing, family A member 2	44	86 -15	N
JPH2	junctophilin 2	44	67 -15	N
SULF1	sulfatase 1	44	68 -14	U
LOC399959	hypothetical gene supported by BX647608	43	63 -19	-
LOC255480	hypothetical protein LOC255480	43	65 -23	-
FOXC1	forkhead box C1	43	72 -24	O
RELN	reelin	43	57 -22	N
SLN	sarcolipin	43	60 -30	O
IFIT1	interferon-induced protein with tetratricopeptide repeats 1	43	66 -26	O
LOC283999	hypothetical protein LOC283999	43	48 -29	-
ISL1	ISL1 transcription factor, LIM/homeodomain, (islet-1)	43	81 -8	X
C6orf142	chromosome 6 open reading frame 142	42	97 -7	O
AQP1	aquaporin 1 (Colton blood group)	42	81 -9	O
APOBEC2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2	41	92 -12	O
ZNF503	zinc finger protein 503	41	55 -27	X
SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1	41	71 -22	O
DLK1	delta-like 1 homolog (Drosophila)	40	96 -15	U
STMN2	stathmin-like 2	40	106 -13	U
TNS1	tensin 1	40	52 -21	-
HSD17B2	hydroxysteroid (17-beta) dehydrogenase 2	40	66 -17	N
KCNJ8	potassium inwardly-rectifying channel, subfamily J, member 8	40	63 -17	N
LOC149703	hypothetical protein LOC149703	39	89 -14	-
SH3RF2	SH3 domain containing ring finger 2	39	73 -21	O
SLIT3	slit homolog 3 (Drosophila)	39	80 -13	N
COL2A1	collagen, type II, alpha 1	39	66 -17	N
SEMA3C	sema domain, immunoglobulin domain, short basic domain, 3C	38	54 -22	N
LOC138046	hypothetical protein LOC138046	38	52 -27	-
AKR1B10	aldo-keto reductase family 1, member B10 (aldose reductase)	38	76 -9	-
DDC	dopa decarboxylase (aromatic L-amino acid decarboxylase)	37	64 -21	X
LOC285147	hypothetical protein LOC285147	37	69 -10	-
IGFBP3	insulin-like growth factor binding protein 3	36	56 -20	N
LOX	lysyl oxidase	36	82 -16	O
IL6ST	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	36	58 -27	-
HLF	hepatic leukemia factor	36	51 -23	N
SNAP25	synaptosomal-associated protein, 25kDa	36	56 -24	U
ADAM12	ADAM metallopeptidase domain 12 (meltrin alpha)	36	85 -7	U
SYNPO2	synaptopodin 2	36	52 -28	N
EDNRA	endothelin receptor type A	36	48 -29	O
NR2F2	nuclear receptor subfamily 2, group F, member 2	35	42 -26	N
BHLHB2	basic helix-loop-helix domain containing, class B, 2	35	78 -8	N
RBMS3	RNA binding motif, single stranded interacting protein	34	67 -13	-
CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1	33	56 -14	N
MLLT3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3	33	56 -9	-
ITIH2	inter-alpha (globulin) inhibitor H2	33	56 -14	N
ZNF533	zinc finger protein 533	33	45 -28	-
PRDM6	PR domain containing 6	33	51 -16	N
LCP1	lymphocyte cytosolic protein 1 (L-plastin)	33	51 -16	N
NR1H4	nuclear receptor subfamily 1, group H, member 4	33	71 -9	N
THBD	thrombomodulin	33	58 -13	N
WNT11	wingless-type MMTV integration site family, member 11	33	50 -21	O
TBX3	T-box 3 (ulnar mammary syndrome)	33	68 -6	N
MAP4	microtubule-associated protein 4	33	43 -23	-
GPR133	G protein-coupled receptor 133	33	45 -23	N
MITF	microphthalmia-associated transcription factor	33	67 -16	N
TMOD1	tropomodulin 1	33	57 -17	O
MBD2	methyl-CpG binding domain protein 2	33	40 -29	N
CCDC85A	coiled-coil domain containing 85A	32	69 -9	X
PDLIM3	PDZ and LIM domain 3	32	41 -27	O
LMOD1	leiomodin 1 (smooth muscle)	32	40 -17	N
RBM20	RNA binding motif protein 20	31	67 -14	N
PDGFRA	platelet-derived growth factor receptor, alpha polypeptide	31	45 -19	O
C12orf46	chromosome 12 open reading frame 46	31	52 -16	X
G0S2	G0/G1switch 2	31	77 -10	N
HOXB4	homeobox B4	31	57 -11	X
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	30	42 -12	X
AREG	amphiregulin (schwannoma-derived growth factor)	30	53 -18	-
SEMA5A	sema domain, seven thrombospondin repeats, 5A	30	48 -12	-
SLC2A2	solute carrier family 2 (facilitated glucose transporter), member 2	29	53 -18	N
PPARA	peroxisome proliferative activated receptor, alpha	29	44 -16	N
LAMA4	laminin, alpha 4	29	48 -12	O
CDKN1A	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	29	30 -26	N
CAPN3	calpain 3, (p94)	29	60 -14	-
TWIST1	twist homolog 1 (acrocephalosyndactyly 3)	29	33 -24	X
TFPI	tissue factor pathway inhibitor	28	53 -15	-
PAG1	phosphoprotein associated with glycosphingolipid microdomains 1	28	46 -14	N
MEOX1	mesenchyme homeobox 1	28	52 -6	N
GLIS3	GLIS family zinc finger 3	28	52 -15	N
GPR158	G protein-coupled receptor 158	28	51 -8	-
ZNF703	zinc finger protein 703	27	53 -6	X
LIX1	lix1 homolog (mouse)	27	55 -11	X
GATA5	GATA binding protein 5	27	38 -17	X
KLHDC1	kelch domain containing 1	27	45 -12	X
RNF128	ring finger protein 128	27	51 -11	X
KLF9	kruppel-like factor 9	26	35 -15	N
FREM1	FRAS1 related extracellular matrix 1	26	36 -17	N
ITGB3	Integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)	26	39 -18	-
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)	26	44 -13	-
ARRDC4	arrestin domain containing 4	26	37 -17	N
ARHGAP29	rho GTPase activating protein 29	26	49 -10	N
TSHZ3	teashirt family zinc finger 3	25	49 -15	X
C11orf9	chromosome 11 open reading frame 9	25	34 -16	N
HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	25	32 -12	N
PDZRN3	PDZ domain containing RING finger 3	25	39 -12	-
HBG1	hemoglobin, gamma A	25	39 -19	-
P4HA2	procollagen-proline, 2-oxoglutarate 4-dioxygenase	25	40 -12	O
COL11A1	collagen, type XI, alpha 1	25	55 -14	N
PCDH9	protocadherin 9	25	53 -10	-
PLCL1	phospholipase C-like 1	25	43 -8	-
SCD5	stearoyl-CoA desaturase 5	25	37 -11	X
HRC	histidine rich calcium binding protein	25	49 -13	-
AFF3	AF4/FMR2 family, member 3	25	43 -10	N
MBNL2	muscleblind-like 2 (Drosophila)	25	31 -19	-
PDZRN4	PDZ domain containing RING finger 4	25	38 -19	X
F2RL2	coagulation factor II (thrombin) receptor-like 2	25	33 -15	N
TMEM71	transmembrane protein 71	25	43 -13	N
TNC	tenascin C (hexabrachion)	25	44 -8	N
LONRF2	LON peptidase N-terminal domain and ring finger 2	25	47 -14	-
SDPR	serum deprivation response (phosphatidylserine binding protein)	25	41 -9	O
ACTC1	actin, alpha, cardiac muscle 1	24	38 -14	O
DOC1	downregulated in ovarian cancer 1	24	44 -13	X
MAML2	mastermind-like 2 (Drosophila)	24	48 -9	-
WNT5A	wingless-type MMTV integration site family, member 5A	24	26 -21	-
DKFZP564O0823	DKFZP564O0823 protein	24	33 -16	X
COL5A2	collagen, type V, alpha 2	24	55 -8	O
ELF4	E74-like factor 4 (ets domain transcription factor)	24	38 -14	N
PLD1	phospholipase D1, phosphatidylcholine-specific	24	51 -8	N
MSRB3	methionine sulfoxide reductase B3	24	25 -21	O
FLJ42875	FLJ42875 protein	23	47 -5	-
LOC254057	hypothetical protein LOC254057	23	32 -16	-
ARID5B	AT rich interactive domain 5B (MRF1-like)	23	28 -18	N
AMBP	alpha-1-microglobulin/bikunin precursor	23	39 -14	N
LAMA2	laminin, alpha 2 (merosin, congenital muscular dystrophy)	23	47 -11	-
CA4	carbonic anhydrase IV	22	31 -11	N
CLEC2B	C-type lectin domain family 2, member B	22	41 -13	N
RNASE4	ribonuclease, RNase A family, 4	22	42 -13	-
MSX2	msh homeobox homolog 2 (Drosophila)	22	42 -6	N
RGC32	response gene to complement 32	22	39 -6	X
FER1L3	fer-1-like 3, myoferlin (C. elegans)	21	41 -8	N
FLJ30901	hypothetical protein FLJ30901	21	27 -14	-
PTPRB	protein tyrosine phosphatase, receptor type, B	21	44 -6	N
SNX24	sorting nexing 24	21	34 -15	-
PMP22	peripheral myelin protein 22	21	29 -9	O
LHFP	lipoma HMGIC fusion partner	21	25 -16	N
ITGA11	integrin, alpha 11	21	38 -12	X
CDH5	cadherin 5, type 2, VE-cadherin (vascular epithelium)	21	32 -13	N
TGFB2	transforming growth factor, beta 2	21	26 -15	N
LGALS3	lectin, galactoside-binding, soluble, 3 (galectin 3)	21	29 -12	N
FOXF2	forkhead box F2	21	31 -10	X
5-Sep	septin 5	20	24 -15	-
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif, 9	20	25 -14	N
SLC16A3	solute carrier family 16 (monocarboxylic acid transporters), member 3	20	41 -10	-
LOC654096	similar to Ovarian cancer-related protein 10-2 (OVC10-2)	20	43 -7	-
GPBAR1	G protein-coupled bile acid receptor 1	20	32 -12	X
PTGER4	prostaglandin E receptor 4 (subtype EP4)	20	35 -9	-
GHR	growth hormone receptor	20	40 -8	N
MICAL2	microtubule associated monoxygenase	20	23 -16	N
PRELP	proline/arginine-rich end leucine-rich repeat protein	20	30 -11	N
PENK	proenkephalin	19	36 -11	X
HBD	hemoglobin, delta	19	45 -6	-
FLJ25076	similar to CG4502-PA	19	33 -14	-
PRSS35	protease, serine, 35	19	24 -12	N
HOXB6	homeobox B6	19	35 -8	X
MAN1A1	mannosidase, alpha, class 1A, member 1	19	36 -10	N
AHNAK	AHNAK nucleoprotein (desmoyokin)	19	37 -8	N
EMCN	endomucin	19	31 -10	O
SLAMF8	SLAM family member 8	19	31 -11	X
RIN2	Ras and Rab interactor 2	19	23 -14	N
ACTG2	actin, gamma 2, smooth muscle, enteric	18	24 -9	U
SCML1	sex comb on midleg-like 1 (Drosophila)	18	24 -12	N
PROS1	protein S (alpha)	18	30 -10	N
COL1A2	collagen, type I, alpha 2	18	29 -10	N
PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	18	23 -12	O
ADH6	alcohol dehydrogenase 6 (class V)	18	22 -11	N
COL21A1	collagen, type XXI, alpha 1	18	26 -10	O
NIPSNAP3B	nipsnap homolog 3B (C. elegans)	18	34 -8	N
STMN4	stathmin-like 4	18	45 -6	X
KCTD12	potassium channel tetramerisation domain containing 12	18	20 -11	N
PDGFC	platelet derived growth factor C	18	26 -11	N
TNFRSF9	tumor necrosis factor receptor superfamily, member 9	18	27 -11	X
SORBS2	sorbin and SH3 domain containing 2	17	27 -7	O
LCAT	lecithin-cholesterol acyltransferase	17	27 -12	-
SPON1	spondin 1, extracellular matrix protein	17	24 -8	N
AGTR1	angiotensin II receptor, type 1	17	29 -6	N
GSTM3	glutathione S-transferase M3 (brain)	17	24 -11	N
RHOJ	ras homolog gene family, member J	17	21 -8	O
PLK2	polo-like kinase 2 (Drosophila)	17	29 -10	N
SAMD4A	sterile alpha motif domain containing 4A	17	33 -6	-
SPARC	secreted protein, acidic, cysteine-rich (osteonectin)	17	26 -9	O
EGFR	epidermal growth factor receptor	16	26 -10	-
SCN7A	sodium channel, voltage-gated, type VII, alpha	16	21 -10	-
LOH3CR2A	loss of heterozygosity, 3, chromosomal region 2, gene A	16	25 -8	-
LIFR	leukemia inhibitory factor receptor alpha	16	23 -12	N
ACF	apobec-1 complementation factor	16	31 -10	X
RASSF5	Ras association (RalGDS/AF-6) domain family 5	16	24 -10	N
LOC92689	hypothetical protein BC001096	16	22 -10	X
RCSD1	RCSD domain containing 1	16	24 -11	N
ZNF160	zinc finger protein 160	16	28 -12	N
LOC340061	hypothetical protein LOC340061	16	27 -8	X
GPR126	G protein-coupled receptor 126	16	22 -11	N
LOC283588	hypothetical protein LOC283588	16	31 -5	-
GUCY1B3	guanylate cyclase 1, soluble, beta 3	16	20 -10	-
DNAH1	dynein, axonemal, heavy polypeptide 1	16	25 -10	N
FN1	fibronectin 1	16	24 -11	-
KCNJ13	potassium inwardly-rectifying channel, subfamily J, member 13	15	26 -8	X
MATN2	matrilin 2	15	23 -8	N
MYO1D	myosin ID	15	18 -14	-
GRK5	G protein-coupled receptor kinase 5	15	24 -8	N
LOC644320	hypothetical protein LOC644320	15	22 -9	-
C9orf94	chromosome 9 open reading frame 94	15	18 -13	-
ARHGEF12	rho guanine nucleotide exchange factor (GEF) 12	15	18 -11	-
TM4SF1	transmembrane 4 L six family member 1	14	21 -9	N
SMTNL2	smoothelin-like 2	14	18 -12	O
SYNE1	spectrin repeat containing, nuclear envelope 1	14	25 -7	N
CAMK2B	calcium/calmodulin-dependent protein kinase, II beta	14	19 -9	N
RHOBTB2	rho-related BTB domain containing 2	14	23 -8	N
DSC3	desmocollin 3	14	23 -9	N
FGF9	fibroblast growth factor 9 (glia-activating factor)	14	18 -12	N
ATXN1	ataxin 1	14	15 -13	N
DLC1	deleted in liver cancer 1	14	24 -6	O
NDRG1	N-myc downstream regulated gene 1	14	25 -7	O
CAV2	caveolin 2	14	19 -8	N
ZNF436	zinc finger protein 436	14	21 -8	N
MUM1L1	melanoma associated antigen (mutated) 1-like 1	14	15 -11	N
H2AFY	H2A histone family, member Y	13	19 -8	N
BCDO2	beta-carotene dioxygenase 2	13	21 -10	N
TLR5	toll-like receptor 5	13	23 -7	X
FAM46A	family with sequence similarity 46, member A	13	17 -8	N
FLRT2	fibronectin leucine rich transmembrane protein 2	13	16 -8	O
RAFTLIN	raft-linking protein	13	14 -12	N
TMEM56	transmembrane protein 56	13	19 -8	N
LOC647248	hypothetical protein LOC647248	13	19 -10	-
FBN2	fibrillin 2 (congenital contractural arachnodactyly)	13	18 -8	-
CNTN4	contactin 4	13	17 -10	N
ZNF83	zinc finger protein 83	13	20 -5	-
PLAGL1	pleiomorphic adenoma gene-like 1	13	18 -7	N
PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	13	22 -8	O
RUNX2	runt-related transcription factor 2	13	22 -8	N
LNPEP	leucyl/cystinyl aminopeptidase	12	22 -6	N
PPBP	pro-platelet basic protein (chemokine (C-X-C motif) ligand 7)	12	20 -9	N
PKP2	plakophilin 2	12	25 -7	O
CORO6	coronin 6	12	27 -6	N
REEP1	receptor accessory protein 1	12	19 -9	N
LOC646576	hypothetical protein LOC646576	12	14 -11	-
ZBTB20	zinc finger and BTB domain containing 20	12	15 -9	U
C14orf139	chromosome 14 open reading frame 139	12	22 -7	-
PLAT	plasminogen activator, tissue	12	14 -7	N
EVI1	ecotropic viral integration site 1	12	22 -6	N
CNN1	calponin 1, basic, smooth muscle	12	17 -7	N
SOX6	SRY (sex determining region Y)-box 6	12	16 -9	N
KIAA1713	KIAA1713	12	16 -8	X
KCNIP4	kv channel interacting protein 4	12	17 -9	X
FIGF	c-fos induced growth factor (vascular endothelial growth factor D)	12	14 -10	N
GPX5	glutathione peroxidase 5 (epididymal androgen-related protein)	12	22 -6	X
FLNC	filamin C, gamma (actin binding protein 280)	12	23 -6	O
