Gene	GeneID	Probeset	Is.Sense	Fold.change	P.Adj	Symbol	Symbol.alt	Chromosome	Alternative symbols	Official full name
ABLIM3	22885	ADXCRAD_AJ709424_s_at	TRUE	-0.751037862	9.15819E-09	ABLIM3	ABLIM3	5q32		actin binding LIM protein family, member 3
TRERF1	55809	ADXCRAD_CV572327_x_at	TRUE	-0.764523834	1.14589E-08	TRERF1	TRERF1	6p21.1-p12.1	BCAR2|FLJ21198|HSA277276|RAPA|RP1-139D8.5|TReP-132|dJ139D8.5	transcriptional regulating factor 1
CDX2	1045	ADXCRAD_BG470190_s_at	TRUE	0.92247922	1.74466E-08	CDX2	CDX2	13q12.3	CDX-3|CDX3	caudal type homeobox 2
AXIN2	8313	ADXCRAD_BP376354_at	TRUE	1.584251391	2.26516E-08	AXIN2	AXIN2	17q23-q24	AXIL|DKFZp781B0869|MGC10366|MGC126582	axin 2
MUC12	10071	ADXCRAD_XM_168585_at	TRUE	1.736533134	2.28638E-08	MUC12	MUC12	7q22	MUC-11|MUC-12|MUC11	mucin 12, cell surface associated
LOC100130716	100130716	ADXCRAD_XM_168585_s_at	TRUE	2.177768963	2.3939E-08	LOC100130716				mucin-12-like
KLK11	11012	ADXCRAD_NM_144947_s_at	TRUE	-0.940248457	2.44872E-08	KLK11	KLK11	19q13.33	MGC33060|PRSS20|TLSP	kallikrein-related peptidase 11
MIR142	406934	ADXCRPD.15182.C1_at	FALSE	1.172670618	2.73805E-08	MIR142	MIR142	17q22	MIRN142	microRNA 142
RNF43	54894	ADXCRPDRC.4289.C1_at	TRUE	1.540408495	2.76525E-08	RNF43	RNF43	17q22	DKFZp781H02126|DKFZp781H0392|FLJ20315|FLJ77466|FLJ99338|MGC125630|RNF124|URCC	ring finger protein 43
PLAGL2	5326	ADXCRPD.16547.C1_at	FALSE	0.940686949	3.85298E-08	PLAGL2	PLAGL2	20q11.21	FLJ23283|ZNF900	pleiomorphic adenoma gene-like 2
ABLIM3	22885	ADXCRAG_BC001665_at	TRUE	-1.584643164	4.06204E-08	ABLIM3	ABLIM3	5q32		actin binding LIM protein family, member 3
C10orf99	387695	ADXCRIH.1562.C1_s_at	TRUE	1.494790656	4.14236E-08	C10orf99	C10orf99	10q23.1	FLJ21763|UNQ1833	chromosome 10 open reading frame 99
LYZ	4069	ADXCRIHRC.31.C9_s_at	TRUE	-2.175319929	4.46913E-08	LYZ	LYZ	12q15	LZM	lysozyme
ANO1	55107	ADXCRPD.14261.C1_at	FALSE	-1.31947389	4.93057E-08	ANO1	ANO1	11q13.3	DOG1|FLJ10261|ORAOV2|TAOS2|TMEM16A	anoctamin 1, calcium activated chloride channel
VAV3	10451	ADXCRAD_NM_006113_s_at	TRUE	1.6011449	5.41215E-08	VAV3	VAV3	1p13.3	FLJ40431	vav 3 guanine nucleotide exchange factor
DNAH14	127602	ADXCRAD_AI076810_s_at	FALSE	1.267432461	5.41215E-08	DNAH14	DNAH14	1q42.12	C1orf67|DKFZp781B1548|Dnahc14|HL-18|HL18|MGC149665|MGC149666|MGC27277|MGC51214	dynein, axonemal, heavy chain 14
FLJ32063	150538	ADXCRAD_XM_498917_at	FALSE	2.275782227	6.05093E-08	FLJ32063		2q33.1	MGC126831	hypothetical LOC150538
MUC3B	57876	ADXCRPD.9207.C1_s_at	FALSE	1.518436204	7.79172E-08	MUC3B	MUC3B	7q22	MUC3|MUC3A	mucin 3B, cell surface associated
CCDC113	29070	ADXCRAD_CN256031_s_at	TRUE	1.475709963	8.92504E-08	CCDC113	CCDC113	16q21	DKFZp434N1418|FLJ23555	coiled-coil domain containing 113
AXIN2	8313	ADXCRPDRC.1943.C1_at	FALSE	1.523336257	9.06399E-08	AXIN2	AXIN2	17q23-q24	AXIL|DKFZp781B0869|MGC10366|MGC126582	axin 2
DPP4	1803	ADXCRPDRC.8144.C1_s_at	TRUE	-1.614847718	1.00612E-07	DPP4	DPP4	2q24.3	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl-peptidase 4
ARID3A	1820	ADXCRAD_BP389511_at	TRUE	1.388820574	1.18815E-07	ARID3A	ARID3A	19p13.3	BRIGHT|DRIL1|DRIL3|E2FBP1	AT rich interactive domain 3A (BRIGHT-like)
ARID3A	1820	ADXCRAD_BP389511_x_at	TRUE	1.36106501	1.25943E-07	ARID3A	ARID3A	19p13.3	BRIGHT|DRIL1|DRIL3|E2FBP1	AT rich interactive domain 3A (BRIGHT-like)
AIFM3	150209	ADXCRAG_BC032485_s_at	TRUE	2.134533671	1.48601E-07	AIFM3	AIFM3	22q11.21	AIFL|FLJ30473|FLJ45137	apoptosis-inducing factor, mitochondrion-associated, 3
HSF5	124535	ADXCRPD.8346.C1_at	FALSE	1.61110881	1.64561E-07	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
ANTXR2	118429	ADXCRPD.11175.C1_x_at	TRUE	-0.669320488	1.89139E-07	ANTXR2	ANTXR2	4q21.21	CMG-2|CMG2|FLJ31074|ISH|JHF|MGC111533|MGC45856	anthrax toxin receptor 2
HSF5	124535	ADXCRSS.Hs#S2981042_at	TRUE	1.302760185	1.89139E-07	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
RNF43	54894	ADXCRPD.16268.C1_at	TRUE	0.968150079	2.0528E-07	RNF43	RNF43	17q22	DKFZp781H02126|DKFZp781H0392|FLJ20315|FLJ77466|FLJ99338|MGC125630|RNF124|URCC	ring finger protein 43
PSCA	8000	ADXCRPD.17568.C1_at	TRUE	-0.898430427	2.35309E-07	PSCA	PSCA	8q24.2	PRO232	prostate stem cell antigen
KLK7	5650	ADXCRAG_NM_005046_s_at	TRUE	-1.466940715	2.65219E-07	KLK7	KLK7	19q13.41	PRSS6|SCCE|hK7	kallikrein-related peptidase 7
LOC100133408	100133408	ADXCRPD.17832.C1_x_at	FALSE	0.916457178	2.65219E-07	LOC100133408				hypothetical protein LOC100133408
SLC14A1	6563	ADXCRAG_L36121_s_at	TRUE	-0.756621079	2.80357E-07	SLC14A1	SLC14A1	18q11-q12	FLJ33745|FLJ41687|HUT11|HsT1341|JK|RACH1|UT-B1|UT1|UTE	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
SERPINB5	5268	ADXCRAG_U04313_s_at	TRUE	-0.980274438	2.88929E-07	SERPINB5	SERPINB5	18q21.3	PI5|maspin	serpin peptidase inhibitor, clade B (ovalbumin), member 5
PCLO	27445	ADXCRAD_XM_374484_at	TRUE	2.040534055	3.36931E-07	PCLO	PCLO	7q11.23-q21.3	ACZ|DKFZp779G1236	piccolo (presynaptic cytomatrix protein)
GRM8	2918	ADXCRAD_BG198589_at	TRUE	1.692813517	4.51323E-07	GRM8	GRM8	7q31.3-q32.1	FLJ41058|GLUR8|GPRC1H|MGC126724|MGLUR8|mGlu8	glutamate receptor, metabotropic 8
SLC5A6	8884	ADXCRAG_BC015631_s_at	TRUE	1.150318615	4.54791E-07	SLC5A6	SLC5A6	2p23	SMVT	solute carrier family 5 (sodium-dependent vitamin transporter), member 6
SPINK1	6690	ADXCRIH.4080.C1_s_at	TRUE	2.227053676	5.58865E-07	SPINK1	SPINK1	5q32	PCTT|PSTI|Spink3|TATI	serine peptidase inhibitor, Kazal type 1
KIAA0040	9674	ADXCRAD_NM_014656_at	TRUE	-0.684614029	6.08552E-07	KIAA0040	KIAA0040	1q24-q25	FLJ75822|MGC133301	KIAA0040
INPP5J	27124	ADXCRAG_U45975_s_at	TRUE	1.21250259	6.48644E-07	INPP5J	INPP5J	22q12.2	INPP5|MGC129984|PIB5PA|PIPP	inositol polyphosphate-5-phosphatase J
DUSP4	1846	ADXCRAD_BP391850_at	TRUE	-0.937555624	6.48644E-07	DUSP4	DUSP4	8p12-p11	HVH2|MKP-2|MKP2|TYP	dual specificity phosphatase 4
KLK6	5653	ADXCRIH.482.C1_at	FALSE	-0.851300987	7.64788E-07	KLK6	KLK6	19q13.3	Bssp|Klk7|MGC9355|PRSS18|PRSS9|SP59|hK6	kallikrein-related peptidase 6
ANTXR2	118429	ADXCRPD.11175.C1_at	TRUE	-0.60740663	8.7074E-07	ANTXR2	ANTXR2	4q21.21	CMG-2|CMG2|FLJ31074|ISH|JHF|MGC111533|MGC45856	anthrax toxin receptor 2
XKR9	389668	ADXCRSS.Hs#S5955802_at	TRUE	-0.634432017	8.7074E-07	XKR9	XKR9	8q13.3	XRG9	XK, Kell blood group complex subunit-related family, member 9
TSPAN6	7105	ADXCRIH.1064.C1_at	TRUE	1.24100412	9.53405E-07	TSPAN6	TSPAN6	Xq22	T245|TM4SF6|TSPAN-6	tetraspanin 6
FSCN1	6624	ADXCRAD_BC004908_s_at	TRUE	-1.26781259	9.82941E-07	FSCN1	FSCN1	7p22	FLJ38511|SNL|p55	fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)
TNNC2	7125	ADXCRAG_M33772_s_at	TRUE	1.819477014	1.38121E-06	TNNC2	TNNC2	20q12-q13.11		troponin C type 2 (fast)
KLK10	5655	ADXCRPDRC.7217.C1_s_at	TRUE	-2.478399622	1.4039E-06	KLK10	KLK10	19q13	NES1|PRSSL1	kallikrein-related peptidase 10
AMACR	23600	ADXCRAG_AF047020_s_at	TRUE	1.129126216	1.47802E-06	AMACR	AMACR	5p13	CBAS4|RACE|RM	alpha-methylacyl-CoA racemase
HSF5	124535	ADXCRPD.11441.C1_at	TRUE	1.126800587	1.67088E-06	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
PLLP	51090	ADXCRPD.6652.C1_s_at	TRUE	-0.772039929	1.67088E-06	PLLP	PLLP	16q13	PMLP|TM4SF11	plasmolipin
SATB2	23314	ADXCRIH.1289.C1_at	FALSE	1.69709381	1.78738E-06	SATB2	SATB2	2q33	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2
PLAGL2	5326	ADXCRAG_D83784_s_at	TRUE	1.08726933	1.85172E-06	PLAGL2	PLAGL2	20q11.21	FLJ23283|ZNF900	pleiomorphic adenoma gene-like 2
TRERF1	55809	ADXCRAD_CV572327_at	TRUE	-0.60581762	1.9541E-06	TRERF1	TRERF1	6p21.1-p12.1	BCAR2|FLJ21198|HSA277276|RAPA|RP1-139D8.5|TReP-132|dJ139D8.5	transcriptional regulating factor 1
ND6	4541	ADXCRPD.13339.C1_at	TRUE	0.906303587	2.02678E-06	ND6	MT-ND6		MTND6	NADH dehydrogenase, subunit 6 (complex I)
LOC100133408	100133408	ADXCRPD.17832.C1_at	FALSE	0.839273824	2.57338E-06	LOC100133408				hypothetical protein LOC100133408
SATB2	23314	RDCR114_A04_at	TRUE	1.342460293	2.63771E-06	SATB2	SATB2	2q33	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2
MUC12	10071	ADXCRPD.17771.C1_at	FALSE	1.214686431	2.83419E-06	MUC12	MUC12	7q22	MUC-11|MUC-12|MUC11	mucin 12, cell surface associated
TFCP2L1	29842	ADXCRAG_NM_014553_s_at	TRUE	0.694880355	2.95586E-06	TFCP2L1	TFCP2L1	2q14	CRTR1|LBP-9|LBP9	transcription factor CP2-like 1
LMO4	8543	RDCR470_G06_s_at	TRUE	-0.81594401	3.40026E-06	LMO4	LMO4	1p22.3		LIM domain only 4
DCBLD2	131566	ADXCRAD_CN404528_s_at	TRUE	-0.757062725	3.40026E-06	DCBLD2	DCBLD2	3q12.1|3	CLCP1|ESDN	discoidin, CUB and LCCL domain containing 2
DPEP1	1800	ADXCRPD.6962.C1_x_at	TRUE	1.296207337	3.40026E-06	DPEP1	DPEP1	16q24.3	MBD1|MDP|RDP	dipeptidase 1 (renal)
KIAA0802	23255	ADXCRAG_XM_031357_s_at	TRUE	-0.906950281	3.77111E-06	KIAA0802	KIAA0802	18p11.22		KIAA0802
GPR126	57211	ADXCRPD.7041.C1_s_at	TRUE	-0.702761297	4.51217E-06	GPR126	GPR126	6q24.1	APG1|DREG|PS1TP2|VIGR	G protein-coupled receptor 126
DPP4	1803	ADXCRAD_BP334262_s_at	TRUE	-2.012509402	4.54032E-06	DPP4	DPP4	2q24.3	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl-peptidase 4
PLLP	51090	ADXCRAD_BM547615_at	TRUE	-1.131852663	4.73368E-06	PLLP	PLLP	16q13	PMLP|TM4SF11	plasmolipin
BST2	684	ADXCRIH.286.C1_s_at	TRUE	-0.715115912	4.92789E-06	BST2	BST2	19p13.1	CD317|TETHERIN	bone marrow stromal cell antigen 2
SUPT4H1	6827	ADXCRIH.1402.C1_s_at	TRUE	0.678015591	5.94157E-06	SUPT4H1	SUPT4H1	17q21-q23	SPT4|SPT4H|SUPT4H	suppressor of Ty 4 homolog 1 (S. cerevisiae)
GCNT3	9245	ADXCRIH.1160.C1_s_at	TRUE	-1.706862427	5.94157E-06	GCNT3	GCNT3	15q21.3	C2/4GnT|C24GNT|C2GNT2|C2GNTM|GNTM	glucosaminyl (N-acetyl) transferase 3, mucin type
GDA	9615	ADXCRAG_NM_004293_s_at	TRUE	-1.066064732	6.49527E-06	GDA	GDA	9q21.13	CYPIN|GUANASE|KIAA1258|MGC9982|NEDASIN	guanine deaminase
KLK6	5653	ADXCRIHRC.482.C1_s_at	TRUE	-1.170335198	6.75242E-06	KLK6	KLK6	19q13.3	Bssp|Klk7|MGC9355|PRSS18|PRSS9|SP59|hK6	kallikrein-related peptidase 6
VAV3	10451	ADXCRIH.2748.C1_s_at	TRUE	1.128065127	6.8571E-06	VAV3	VAV3	1p13.3	FLJ40431	vav 3 guanine nucleotide exchange factor
MLPH	79083	ADXCRPD.1115.C1_s_at	TRUE	-1.415207461	7.23639E-06	MLPH	MLPH	2q37.3	MGC2771|MGC59733|SLAC2-A	melanophilin
CELP	1057	ADXCRAD_NM_001808_s_at	TRUE	1.836475064	7.62356E-06	CELP	CELP	9q34.3	CELL|FLJ25862|cell1|cell2|cell3	carboxyl ester lipase pseudogene
CD109	135228	ADXCRAG_AF410459_s_at	TRUE	-0.870093686	8.23306E-06	CD109	CD109	6q13	CPAMD7|DKFZp762L1111|FLJ38569|FLJ41966|RP11-525G3.1	CD109 molecule
MUC3B	57876	ADXCRPD.16234.C1_at	FALSE	0.995564499	8.27875E-06	MUC3B	MUC3B	7q22	MUC3|MUC3A	mucin 3B, cell surface associated
SYT13	57586	ADXCRAD_BM931884_at	TRUE	-2.146905751	8.73466E-06	SYT13	SYT13	11p12-p11	KIAA1427	synaptotagmin XIII
EPHB6	2051	ADXCRAD_BM716129_s_at	TRUE	-0.69977507	9.20167E-06	EPHB6	EPHB6	7q33-q35	HEP|MGC129910|MGC129911	EPH receptor B6
DAPK1	1612	ADXCRAD_BG110813_x_at	TRUE	-0.684372724	1.0016E-05	DAPK1	DAPK1	9q34.1	DAPK|DKFZp781I035	death-associated protein kinase 1
CRIP1	1396	ADXCRPD.5224.C1_x_at	TRUE	-1.089575613	1.02592E-05	CRIP1	CRIP1	14q32.33	CRHP|CRIP|CRP1|FLJ40971	cysteine-rich protein 1 (intestinal)
WDR18	57418	ADXCRPD.470.C1_x_at	TRUE	1.247850464	1.08158E-05	WDR18	WDR18	19p13.3	MGC2436|R32184_1	WD repeat domain 18
NT5E	4907	ADXCRAG_NM_002526_at	TRUE	-1.302521099	1.19663E-05	NT5E	NT5E	6q14-q21	CD73|E5NT|NT|NT5|NTE|eN|eNT	5-nucleotidase, ecto (CD73)
ZNRF3	84133	ADXCRAG_BC021570_at	TRUE	0.916493479	1.3513E-05	ZNRF3	ZNRF3	22q12.1	BK747E2.3|RNF203	zinc and ring finger 3
CD109	135228	ADXCRAD_CB267302_at	TRUE	-0.804891663	1.4577E-05	CD109	CD109	6q13	CPAMD7|DKFZp762L1111|FLJ38569|FLJ41966|RP11-525G3.1	CD109 molecule
AK3L1	205	ADXCRPDRC.963.C1_at	TRUE	1.012808716	1.61854E-05	AK4	AK4	1p31.3	AK3|AK3L1|AK3L2|MGC166959	adenylate kinase 4
MYRIP	25924	ADXCRAG_AF396687_s_at	TRUE	1.315765751	1.70836E-05	MYRIP	MYRIP	3p22.1	DKFZp586F1018|FLJ44025|MGC130034|MGC130035|SLAC2-C|SLAC2C	myosin VIIA and Rab interacting protein
HSF5	124535	ADXCRPD.11457.C1_at	FALSE	1.145919844	1.70836E-05	HSF5	HSF5	17q22	FLJ40311|HSF 5|HSTF 5|MGC134827	heat shock transcription factor family member 5
TFAP2A	7020	ADXCRAD_BM719170_at	TRUE	-1.067889294	1.71074E-05	TFAP2A	TFAP2A	6p24	AP-2|AP-2alpha|AP2TF|BOFS|FLJ51761|TFAP2	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
BECN1	8678	ADXCRAD_AJ709876_at	TRUE	0.738570159	1.71074E-05	BECN1	BECN1	17q21	ATG6|VPS30|beclin1	beclin 1, autophagy related
UBASH3B	84959	ADXCRAD_CR741636_at	TRUE	-0.759419795	1.83259E-05	UBASH3B	UBASH3B	11q24.1	KIAA1959|MGC15437|STS-1|STS1|TULA-2|p70	ubiquitin associated and SH3 domain containing B
SPRED1	161742	ADXCRPD.3092.C1_at	FALSE	-0.682293458	1.83335E-05	SPRED1	SPRED1	15q14	FLJ33903|NFLS	sprouty-related, EVH1 domain containing 1
MYOF	26509	ADXCRSS.Hs#S1921456_at	TRUE	-0.732465113	1.83335E-05	MYOF	MYOF	10q24	FER1L3|FLJ36571|FLJ90777	myoferlin
PPP1R14C	81706	ADXCRAG_AF407165_at	TRUE	2.058057349	1.86499E-05	PPP1R14C	PPP1R14C	6q24.3-q25.3	CPI17-like|KEPI|NY-BR-81	protein phosphatase 1, regulatory (inhibitor) subunit 14C
SLC14A1	6563	ADXCRAD_BE673587_at	FALSE	-0.776627129	1.99039E-05	SLC14A1	SLC14A1	18q11-q12	FLJ33745|FLJ41687|HUT11|HsT1341|JK|RACH1|UT-B1|UT1|UTE	solute carrier family 14 (urea transporter), member 1 (Kidd blood group)
CEACAM5	1048	ADXCRPD.11630.C1_at	FALSE	1.076920398	2.09472E-05	CEACAM5	CEACAM5	19q13.1-q13.2	CD66e|CEA|DKFZp781M2392	carcinoembryonic antigen-related cell adhesion molecule 5
AMACR	23600	ADXCRAD_CK003929_x_at	FALSE	1.00120721	2.25912E-05	AMACR	AMACR	5p13	CBAS4|RACE|RM	alpha-methylacyl-CoA racemase
ZNRF3	84133	ADXCRAG_BC021570_x_at	TRUE	0.887428401	2.30288E-05	ZNRF3	ZNRF3	22q12.1	BK747E2.3|RNF203	zinc and ring finger 3
KIAA0406	9675	ADXCRAD_BG283497_x_at	TRUE	0.671056782	2.93479E-05	TTI1	TTI1	20q11.23	KIAA0406	Tel2 interacting protein 1 homolog (S. pombe)
TP53RK	112858	ADXCRAD_BX460824_s_at	TRUE	0.810886888	2.95112E-05	TP53RK	TP53RK	20q13.2	BUD32|C20orf64|Nori-2|Nori-2p|PRPK|dJ101A2	TP53 regulating kinase
CA9	768	ADXCRAG_BC014950_s_at	TRUE	-0.988667875	3.11493E-05	CA9	CA9	9p12	CAIX|MN	carbonic anhydrase IX
EPDR1	54749	ADXCRPD.4010.C1_s_at	TRUE	1.104488579	3.16375E-05	EPDR1	EPDR1	7p14.1	EPDR|MERP-1|MERP1|UCC1	ependymin related protein 1 (zebrafish)
SOX8	30812	ADXCRAG_AK024491_at	TRUE	-0.656400467	3.27891E-05	SOX8	SOX8	16p13.3	MGC24837	SRY (sex determining region Y)-box 8
RPS21	6227	ADXCRAD_CN272199_s_at	FALSE	0.722487691	3.29607E-05	RPS21	RPS21	20q13.3	S21	ribosomal protein S21
MYB	4602	ADXCRIHRC.2957.C1_s_at	TRUE	0.950350751	3.33294E-05	MYB	MYB	6q22-q23	Cmyb|c-myb|c-myb_CDS|efg	v-myb myeloblastosis viral oncogene homolog (avian)
MYO1D	4642	ADXCRPD.12583.C1_at	TRUE	0.693551173	3.49624E-05	MYO1D	MYO1D	17q11-q12	KIAA0727|myr4	myosin ID
SOBP	55084	ADXCRAD_BU581071_at	TRUE	-0.728214713	3.49624E-05	SOBP	SOBP	6q21	FLJ10159|JXC1|MRAMS	sine oculis binding protein homolog (Drosophila)
ZIC2	7546	ADXCRAG_AF193855_at	TRUE	-2.695014915	3.75987E-05	ZIC2	ZIC2	13q32	HPE5	Zic family member 2
DPEP1	1800	ADXCRPD.6962.C1_at	TRUE	1.504043957	3.81247E-05	DPEP1	DPEP1	16q24.3	MBD1|MDP|RDP	dipeptidase 1 (renal)
SATB2	23314	ADXCRAD_NM_015265_s_at	TRUE	1.432783892	4.31154E-05	SATB2	SATB2	2q33	FLJ21474|FLJ32076|KIAA1034|MGC119474|MGC119477	SATB homeobox 2
RAMP1	10267	ADXCRPD.8370.C1_at	TRUE	-1.181744991	4.57548E-05	RAMP1	RAMP1	2q36-q37.1		receptor (G protein-coupled) activity modifying protein 1
